statement_id	page	record	events	surface_sequence	card_sequence	component_sequence	event_phrases_de	fluent_workshop_reading_de	reading_source	fluency_grade	closes
H4-S002	f55v	H4	3	daiin chedy talam	PROC009|PROC042|PROC043	AIIN | CHD+Y | TALAM	nach Sollmass | den laufenden Posten umsetzen | den Posten verwahren	Nach Sollmass den laufenden Posten umsetzen und anschliessend verwahren.	HAND_POLISHED_FRAGMENT_V3	POLISHED	NO
H4-S003	f55v	H4	4	ykaiin cheoar cheeky oldy	PROC044|PROC045|PROC046|PROC047	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	den laufenden Posten nach Sollmass zudosieren | kurz im Arbeitsgang aus dem Vorrat abnehmen | laenger ihn erwaermen | fortsetzen; den Schritt schliessen	Den laufenden Posten nach Sollmass zudosieren; dann kurz im Arbeitsgang aus dem Vorrat abnehmen; dann ihn laenger erwaermen; dann fortsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
H4-S004	f55v	H4	6	aiin okal oltchy or y orain	PROC009|PROC048|PROC049|PROC016|PROC019|PROC050	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	nach Sollmass | zur Zielstelle ansetzen | weiter den laufenden Posten eintragen | den Ansatz | ihn beibehalten | den Ansatz als Portion	Nach Sollmass an der Zielstelle ansetzen, den laufenden Posten weiter eintragen, als Ansatz beibehalten und als Ansatzportion fuehren.	HAND_POLISHED_LONG_V2	POLISHED	NO
H5-S001	f56r	H5	9	chochor cho chodaly daiin sho kchol otchor choky dal	PROC051|PROC052|PROC053|PROC009|PROC052|PROC054|PROC020|PROC008|PROC055	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	die Zutat den Ansatz abnehmen | die Zutat | den laufenden Posten die Zutat zur Zielstelle | nach Sollmass | die Zutat | weiter zudosieren | danach den Ansatz abnehmen | ihn ansetzen | zur Zielstelle	Eine Zutat fuer den Ansatz abnehmen, zur Zielstelle bringen und nach Sollmass weiter zudosieren; danach vom Ansatz abnehmen und den Posten an der Zielstelle ansetzen.	HAND_POLISHED_LONG_V2	POLISHED	NO
H5-S002	f56r	H5	4	schol choy choky cheeckhody	PROC034|PROC056|PROC008|PROC057	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	den vorigen Vorgang wiederaufnehmen | den laufenden Posten die Zutat | ihn ansetzen | laenger im Arbeitsgang durch den Durchlass abnehmen; den Schritt schliessen	Den vorigen Vorgang wiederaufnehmen, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass abnehmen und schliessen.	HAND_POLISHED_FRAGMENT_V3	POLISHED	YES
H5-S003	f56r	H5	4	sh cho kchey qokokchy	PROC058|PROC052|PROC059|PROC060	SH | HO | K+E+Y | OK+OK+Y	halten | die Zutat | kurz den laufenden Posten zudosieren | ihn ansetzen und ansetzen	Die Zutat halten, dem laufenden Posten kurz zudosieren und ihn zweimal ansetzen.	HAND_POLISHED_FRAGMENT_V3	POLISHED	NO
H5-S004	f56r	H5	3	okchy chokcheo kchal	PROC011|PROC061|PROC062	OK+Y | OK+CH+E+O | K+AL	den laufenden Posten ansetzen | kurz im Arbeitsgang ansetzen und abnehmen | zur Zielstelle zudosieren	Den laufenden Posten ansetzen; dann kurz im Arbeitsgang ansetzen und abnehmen; dann zur Zielstelle zudosieren.	NORMALIZED_SHORT_V3	CLEAN	NO
H5-S005	f56r	H5	4	sho chokchy kchoar sotodan	PROC052|PROC011|PROC063|PROC064	HO | OK+Y | K+HO+AR | OT+O+AIN	die Zutat | den laufenden Posten ansetzen | die Zutat aus dem Vorrat zudosieren | danach im Arbeitsgang als Portion	Die Zutat bereitstellen, den laufenden Posten ansetzen und die Zutat aus dem Vorrat zudosieren; danach eine Portion in den Arbeitsgang nehmen.	HAND_POLISHED_FRAGMENT_V3	POLISHED	NO
H5-S006	f56r	H5	3	otchey keol daiin	PROC065|PROC066|PROC009	OT+Y | K+E+OL | AIIN	danach den laufenden Posten | weiter kurz zudosieren | nach Sollmass	Danach den laufenden Posten kurz weiterdosieren, bis das Sollmass erreicht ist.	HAND_POLISHED_FRAGMENT_V3	POLISHED	NO
B1-S001	f81v	B1	1	qokedy	PROC067	OK+E+DY	kurz ansetzen; den Schritt schliessen	Kurz ansetzen und den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B1-S002	f81v	B1	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	PROC038|PROC068|PROC048|PROC003|PROC013|PROC069|PROC070|PROC055|PROC013|PROC071|PROC072|PROC022|PROC013|PROC073|PROC009|PROC074|PROC009|PROC075|PROC076	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	nach Sollmass ansetzen | die laufende Fluessigkeit zudosieren | zur Zielstelle ansetzen | aus dem Vorrat | fortsetzen | als Portion zudosieren | weiter als Portion zudosieren | zur Zielstelle | fortsetzen | weiter kuehlen | weiterleiten | den Ansatz fortsetzen | fortsetzen | kurz durch den Durchlass zur Zielstelle halten | nach Sollmass | laenger zur Zielstelle ansetzen | nach Sollmass | den laufenden Posten durch den Durchlass | umsetzen; den Schritt schliessen	Nach Sollmass ansetzen und die laufende Fluessigkeit zudosieren. An der Zielstelle aus dem Vorrat weiterarbeiten: eine Portion und dann eine weitere Portion zudosieren, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass der Zielstelle halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	HAND_POLISHED_LONG_V2	POLISHED	YES
B1-S003	f81v	B1	2	qol sshkchdy	PROC013|PROC077	OL | SH+K+CHD+DY	fortsetzen | halten, zudosieren und umsetzen; den Schritt schliessen	Fortsetzen; dann halten, zudosieren und umsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B1-S004	f81v	B1	3	chedy ol shedy	PROC042|PROC013|PROC078	CHD+Y | OL | SHED+DY	den laufenden Posten umsetzen | fortsetzen | absetzen lassen; den Schritt schliessen	Den laufenden Posten umsetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B1-S005	f81v	B1	1	qolchedy	PROC079	OL+CHD+DY	weiter umsetzen; den Schritt schliessen	Weiter umsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B1-S006	f81v	B1	4	qokain shckhy dl ral	PROC080|PROC075|PROC072|PROC081	OK+AIN | CKH+Y | L | R+AL	als Portion ansetzen | den laufenden Posten durch den Durchlass | weiterleiten | zur Zielstelle kuehlen	Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann weiterleiten; dann zur Zielstelle kuehlen.	NORMALIZED_SHORT_V3	CLEAN	NO
B1-S007	f81v	B1	1	qokchdy	PROC082	OK+CHD+DY	ansetzen und umsetzen; den Schritt schliessen	Ansetzen und umsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B1-S008	f81v	B1	5	chey ol cheky ol shedy	PROC019|PROC013|PROC083|PROC013|PROC078	Y | OL | CHK+E+Y | OL | SHED+DY	den laufenden Posten beibehalten | fortsetzen | kurz ihn erwaermen | fortsetzen | absetzen lassen; den Schritt schliessen	Den Posten beibehalten und fortsetzen, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen.	HAND_POLISHED_LONG_V2	POLISHED	YES
B1-S009	f81v	B1	1	qokedy	PROC067	OK+E+DY	kurz ansetzen; den Schritt schliessen	Kurz ansetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B1-S010	f81v	B1	1	qokedy	PROC067	OK+E+DY	kurz ansetzen; den Schritt schliessen	Kurz ansetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B1-S011	f81v	B1	2	chckhy qoky	PROC075|PROC008	CKH+Y | OK+Y	den laufenden Posten durch den Durchlass | ihn ansetzen	Den laufenden Posten durch den Durchlass; dann ihn ansetzen.	NORMALIZED_SHORT_V3	CLEAN	NO
B1-S012	f81v	B1	3	lsho qokey lshedy	PROC084|PROC085|PROC086	LSH+O | OK+E+Y | LSH+E+DY	im Arbeitsgang waschen | kurz den laufenden Posten ansetzen | kurz waschen; den Schritt schliessen	Den Arbeitsgang waschen, den Posten kurz ansetzen, nochmals kurz waschen und den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B1-S013	f81v	B1	1	lshedy	PROC086	LSH+E+DY	kurz waschen; den Schritt schliessen	Kurz waschen und den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B1-S014	f81v	B1	5	chedy qolky lchedal qol otar	PROC042|PROC087|PROC088|PROC013|PROC089	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	den laufenden Posten umsetzen | ihn auffangen | zur Zielstelle weiterleiten und umsetzen | fortsetzen | danach aus dem Vorrat	Den Posten umsetzen und auffangen; zur Zielstelle weiterleiten und umsetzen, dort fortsetzen und danach zum Vorrat wechseln.	HAND_POLISHED_LONG_V2	POLISHED	NO
B1-S015	f81v	B1	2	ytey okchedy	PROC090|PROC091	T+E+Y | OK+CHD+DY	kurz den laufenden Posten eintragen | ansetzen und umsetzen; den Schritt schliessen	Kurz den laufenden Posten eintragen; dann ansetzen und umsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B1-S016	f81v	B1	4	qokal okeey qol cheedy	PROC048|PROC092|PROC013|PROC078	OK+AL | OK+EE+Y | OL | SHED+DY	zur Zielstelle ansetzen | laenger den laufenden Posten ansetzen | fortsetzen | absetzen lassen; den Schritt schliessen	Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B1-S017	f81v	B1	3	sal teol dchdy	PROC055|PROC093|PROC094	AL | E+OL | CHD+DY	zur Zielstelle | kurz fortsetzen | umsetzen; den Schritt schliessen	An der Zielstelle kurz fortsetzen, umsetzen und den Schritt schliessen.	HAND_POLISHED_FRAGMENT_V3	POLISHED	YES
B1-S018	f81v	B1	4	ly dsheol oiiin olkeedy	PROC095|PROC096|PROC097|PROC098	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	den laufenden Posten weiterleiten | weiter kurz halten | im Arbeitsgang bis zur Arbeitsstufe | laenger auffangen; den Schritt schliessen	Den laufenden Posten weiterleiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Arbeitsstufe; dann laenger auffangen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B1-S019	f81v	B1	1	tedy	PROC078	SHED+DY	absetzen lassen; den Schritt schliessen	Absetzen lassen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B1-S020	f81v	B1	2	cheky shckhedy	PROC083|PROC099	CHK+E+Y | SH+CKH+E+DY	kurz den laufenden Posten erwaermen | kurz durch den Durchlass halten; den Schritt schliessen	Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B1-S021	f81v	B1	1	chal	PROC055	AL	zur Zielstelle	Die Zielstelle festlegen.	HAND_POLISHED_FRAGMENT_V3	POLISHED	NO
B2-S001	f82r	B2	1	dchedy	PROC076	CHD+DY	umsetzen; den Schritt schliessen	Umsetzen und den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B2-S002	f82r	B2	1	qolchedy	PROC079	OL+CHD+DY	weiter umsetzen; den Schritt schliessen	Weiter umsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B2-S003	f82r	B2	3	qokain dy qokeedy	PROC080|PROC019|PROC100	OK+AIN | Y | OK+EE+DY	als Portion ansetzen | den laufenden Posten beibehalten | laenger ansetzen; den Schritt schliessen	Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B2-S004	f82r	B2	5	qokal lcheckhy lched qokeey lcheckhedy	PROC048|PROC101|PROC102|PROC092|PROC103	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	zur Zielstelle ansetzen | den laufenden Posten durch den Durchlass weiterleiten | weiterleiten und umsetzen | laenger ihn ansetzen | kurz durch den Durchlass weiterleiten; den Schritt schliessen	An der Zielstelle ansetzen; den Posten durch den Durchlass weiterleiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass weiterleiten und schliessen.	HAND_POLISHED_LONG_V2	POLISHED	YES
B2-S005	f82r	B2	8	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	PROC104|PROC105|PROC075|PROC038|PROC038|PROC106|PROC107|PROC108	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	den laufenden Posten zur Zielstelle ansetzen | nach Sollmass auffangen | ihn durch den Durchlass | nach Sollmass ansetzen | nach Sollmass ansetzen | kurz bis bereit im Arbeitsgang fortsetzen | laenger ihn erwaermen | weiterleiten; den Schritt schliessen	Den Posten an der Zielstelle ansetzen und nach Sollmass auffangen. Ihn durch den Durchlass fuehren, zweimal nach Sollmass ansetzen, im Arbeitsgang kurz bis zur Bereitschaft fortsetzen, laenger erwaermen, weiterleiten und schliessen.	HAND_POLISHED_LONG_V2	POLISHED	YES
B2-S006	f82r	B2	4	oteey qokal sheckhy qoky	PROC109|PROC048|PROC110|PROC008	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	danach laenger den laufenden Posten | zur Zielstelle ansetzen | kurz ihn durch den Durchlass halten | ihn ansetzen	Danach laenger den laufenden Posten; dann zur Zielstelle ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.	NORMALIZED_SHORT_V3	CLEAN	NO
B2-S007	f82r	B2	1	dshedy	PROC111	SH+E+DY	kurz halten; den Schritt schliessen	Kurz halten; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B2-S008	f82r	B2	3	sotaiin qokar shedy	PROC112|PROC113|PROC078	OT+AIIN | OK+AR | SHED+DY	danach nach Sollmass | aus dem Vorrat ansetzen | absetzen lassen; den Schritt schliessen	Danach nach Sollmass; dann aus dem Vorrat ansetzen; dann absetzen lassen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B2-S009	f82r	B2	1	solshedy	PROC114	OL+SH+E+DY	weiter kurz halten; den Schritt schliessen	Kurz weiter halten; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B2-S010	f82r	B2	4	qokeey qoky ls cheey	PROC092|PROC008|PROC115|PROC031	OK+EE+Y | OK+Y | OL | SH+EE+Y	laenger den laufenden Posten ansetzen | ihn ansetzen | fortsetzen | laenger ihn halten	Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann fortsetzen; dann ihn laenger halten.	NORMALIZED_SHORT_V3	CLEAN	NO
B2-S011	f82r	B2	4	okain char okain qokeedy	PROC080|PROC003|PROC080|PROC100	OK+AIN | AR | OK+AIN | OK+EE+DY	als Portion ansetzen | aus dem Vorrat | als Portion ansetzen | laenger ansetzen; den Schritt schliessen	Eine Portion ansetzen, aus dem Vorrat eine zweite Portion ansetzen, laenger ansetzen und schliessen.	HAND_POLISHED_FRAGMENT_V3	POLISHED	YES
B2-S012	f82r	B2	8	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	PROC116|PROC031|PROC117|PROC092|PROC118|PROC009|PROC019|PROC119	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	den laufenden Posten weiterleiten und abnehmen | laenger ihn halten | kurz ihn bereithalten | laenger ihn ansetzen | laenger ihn weiterleiten | nach Sollmass | ihn beibehalten | vollstaendig ansetzen; den Schritt schliessen	Den Posten weiterleiten und abnehmen; laenger halten, kurz bereithalten, laenger ansetzen und laenger weiterleiten; nach Sollmass beibehalten, vollstaendig ansetzen und schliessen.	HAND_POLISHED_LONG_V2	POLISHED	YES
B2-S013	f82r	B2	1	lchedy	PROC120	L+CHD+DY	weiterleiten und umsetzen; den Schritt schliessen	Weiterleiten und umsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B2-S014	f82r	B2	1	lar	PROC121	L+AR	aus dem Vorrat weiterleiten	Aus dem Vorrat weiterleiten.	NORMALIZED_SHORT_V3	CLEAN	NO
B2-S015	f82r	B2	2	tshey qokeedy	PROC122|PROC100	SH+E+Y | OK+EE+DY	kurz den laufenden Posten halten | laenger ansetzen; den Schritt schliessen	Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B2-S016	f82r	B2	8	cheal lchedar ches aiin oteey qokaiin okey pchedy	PROC055|PROC123|PROC124|PROC009|PROC109|PROC038|PROC085|PROC125	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	zur Zielstelle | aus dem Vorrat weiterleiten und umsetzen | kurz abnehmen und teilen | nach Sollmass | danach laenger den laufenden Posten | nach Sollmass ansetzen | kurz ihn ansetzen | einfuellen und umsetzen; den Schritt schliessen	An der Zielstelle aus dem Vorrat weiterleiten und umsetzen. Kurz abnehmen und teilen; nach Sollmass den naechsten Posten laenger fuehren, nach Sollmass und kurz ansetzen, einfuellen, umsetzen und schliessen.	HAND_POLISHED_LONG_V2	POLISHED	YES
B2-S017	f82r	B2	2	rsheal daldy	PROC126|PROC127	R+SH+E+AL | AL+DY	kurz zur Zielstelle kuehlen und halten | zur Zielstelle; den Schritt schliessen	An der Zielstelle kurz kuehlen und halten, dann den Zielschritt schliessen.	HAND_POLISHED_FRAGMENT_V3	POLISHED	YES
B2-S018	f82r	B2	1	qokeedy	PROC100	OK+EE+DY	laenger ansetzen; den Schritt schliessen	Laenger ansetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B2-S019	f82r	B2	1	rshedy	PROC128	R+SHED+DY	kuehlen und absetzen lassen; den Schritt schliessen	Kuehlen und absetzen lassen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B2-S020	f82r	B2	1	qoteedy	PROC129	OT+EE+DY	danach laenger; den Schritt schliessen	Danach laenger; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B2-S021	f82r	B2	1	qokeedy	PROC100	OK+EE+DY	laenger ansetzen; den Schritt schliessen	Laenger ansetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B2-S022	f82r	B2	1	lochedy	PROC130	L+O+CHD+DY	im Arbeitsgang weiterleiten und umsetzen; den Schritt schliessen	Im Arbeitsgang weiterleiten und umsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S001	f83r	B3	1	olkeedy	PROC098	SOLK+EE+DY	laenger auffangen; den Schritt schliessen	Laenger auffangen und den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S002	f83r	B3	2	qotal chkeedy	PROC131|PROC132	OT+AL | CHK+EE+DY	danach zur Zielstelle | laenger erwaermen; den Schritt schliessen	Danach zur Zielstelle; dann laenger erwaermen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S003	f83r	B3	4	chey daiin chey lchedy	PROC019|PROC009|PROC019|PROC120	Y | AIIN | Y | L+CHD+DY	den laufenden Posten beibehalten | nach Sollmass | ihn beibehalten | weiterleiten und umsetzen; den Schritt schliessen	Den laufenden Posten nach Sollmass beibehalten, anschliessend weiterleiten und umsetzen, dann schliessen.	HAND_POLISHED_FRAGMENT_V3	POLISHED	YES
B3-S004	f83r	B3	3	qokaiin qotal dar	PROC038|PROC131|PROC003	OK+AIIN | OT+AL | AR	nach Sollmass ansetzen | danach zur Zielstelle | aus dem Vorrat	Nach Sollmass ansetzen; danach zur Zielstelle wechseln und aus dem Vorrat weiterarbeiten.	HAND_POLISHED_FRAGMENT_V3	POLISHED	NO
B3-S005	f83r	B3	1	schedy	PROC076	CHD+DY	umsetzen; den Schritt schliessen	Umsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S006	f83r	B3	3	chedchy qokal olchedy	PROC133|PROC048|PROC079	CHD+Y | OK+AL | OL+CHD+DY	den laufenden Posten umsetzen | zur Zielstelle ansetzen | weiter umsetzen; den Schritt schliessen	Den laufenden Posten umsetzen; dann zur Zielstelle ansetzen; dann weiter umsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S007	f83r	B3	3	qokaiin chedy qokeedy	PROC038|PROC042|PROC100	OK+AIIN | CHD+Y | OK+EE+DY	nach Sollmass ansetzen | den laufenden Posten umsetzen | laenger ansetzen; den Schritt schliessen	Nach Sollmass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S008	f83r	B3	1	lchedy	PROC120	L+CHD+DY	weiterleiten und umsetzen; den Schritt schliessen	Weiterleiten und umsetzen; den Schritt schliessen.	NORMALIZED_SHORT_V3	CLEAN	YES
B3-S009	f83r	B3	1	qoky	PROC008	OK+Y	den laufenden Posten ansetzen	Den laufenden Posten ansetzen.	NORMALIZED_SHORT_V3	CLEAN	NO
B3-S010	f83r	B3	2	pchedal otedy	PROC134|PROC135	P+CHD+AL | OT+E+DY	zur Zielstelle einfuellen und umsetzen | danach kurz; den Schritt schliessen	An der Zielstelle einfuellen und umsetzen; danach den kurzen Folgeschritt schliessen.	HAND_POLISHED_FRAGMENT_V3	POLISHED	YES
