phrase_no	n	component_phrase	spoken_phrase_de	occurrences	statements	records	boundary_behavior	example_statements
PF021	2	OK+AL	setze an · dorthin	7	7	4	WITHIN_CARD	B1-S002|B1-S016|B2-S004|B2-S005|B2-S006|B3-S006|H4-S004
PF022	2	OK+AIN	setze an · Teil	7	6	4	WITHIN_CARD	B1-S006|B2-S003|B2-S011|B3-S026|B4-S011|B4-S015
PF023	2	T+Y	trage ein · dies	6	5	4	WITHIN_CARD	B3-S029|B3-S034|H1-S001|H3-S002|H4-S004
PF024	2	Y+SH	dies · halte	6	5	4	CROSSES_CARD	B1-S018|B1-S020|B2-S012|B4-S008|H3-S001
PF025	2	SH+EE	halte · länger	6	6	4	WITHIN_CARD	B2-S010|B2-S012|B3-S014|B4-S008|B4-S015|H3-S001
PF026	2	CKH+Y	Durchlass · dies	6	6	2	WITHIN_CARD	B1-S002|B1-S006|B1-S011|B2-S004|B2-S005|B2-S006
PF027	2	CH+E	ziehe ab · kurz	5	5	5	WITHIN_CARD	B2-S016|H1-S001|H2-S001|H4-S003|H5-S004
PF028	2	Y+Y	dies · dies	5	4	3	CROSSES_CARD	B3-S021|H2-S001|H3-S003|H3-S004
PF029	2	AIIN+OK	Maß · setze an	5	5	3	CROSSES_CARD	B1-S002|B2-S005|B2-S008|B2-S016|H4-S004
PF030	2	AL+OL	dorthin · fort	5	5	4	CROSSES_CARD	B1-S002|B1-S014|B3-S006|B5-S003|H4-S004
PF031	2	AL+Y	dorthin · dies	5	5	4	CROSSES_CARD|WITHIN_CARD	B2-S005|B3-S021|B3-S034|B6-S001|H5-S001
PF032	2	Y+AL	dies · dorthin	5	3	2	CROSSES_CARD	B3-S021|B3-S026|H5-S001
PF033	2	OL+SHED	fort · setze ab	5	5	2	CROSSES_CARD	B1-S004|B1-S008|B1-S016|B4-S003|B4-S013
PF034	2	OL+CHD	fort · setze um	5	5	4	CROSSES_CARD|WITHIN_CARD	B1-S005|B1-S017|B2-S002|B3-S006|B5-S003
PF035	2	OK+CHD	setze an · setze um	5	5	3	WITHIN_CARD	B1-S007|B1-S015|B3-S016|B3-S025|B5-S002
PF036	2	CKH+E	Durchlass · kurz	5	5	3	WITHIN_CARD	B1-S020|B2-S004|B4-S006|B4-S007|B4-S014
PF037	2	OT+Y	danach · dies	4	4	4	WITHIN_CARD	B4-S003|H1-S001|H3-S004|H5-S006
PF038	2	Y+T	dies · trage ein	4	4	3	CROSSES_CARD|WITHIN_CARD	B3-S034|H1-S001|H3-S001|H3-S002
PF039	2	Y+OT	dies · danach	4	4	3	CROSSES_CARD	B3-S032|B3-S034|B4-S003|H1-S002
PF040	2	AIIN+Y	Maß · dies	4	4	4	CROSSES_CARD	B2-S012|B3-S003|H2-S001|H4-S001
PF041	2	OL+SH	fort · halte	4	4	3	CROSSES_CARD|WITHIN_CARD	B1-S002|B1-S003|B2-S009|H3-S001
PF042	2	AIIN+CHD	Maß · setze um	4	4	2	CROSSES_CARD	B3-S007|B3-S026|B3-S030|H4-S002
PF043	2	CHK+EE	wärme · länger	4	4	4	WITHIN_CARD	B2-S005|B3-S002|B4-S008|H4-S003
PF044	2	K+E	gib zu · kurz	4	4	3	WITHIN_CARD	B4-S011|B6-S001|H5-S003|H5-S006
PF045	2	E+OL	kurz · fort	4	4	3	WITHIN_CARD	B1-S017|B1-S018|B2-S005|H5-S006
PF046	2	SOLK+EE	fange auf · länger	4	4	3	WITHIN_CARD	B1-S018|B3-S001|B3-S026|B6-S001
PF047	2	OT+EE	danach · länger	4	4	2	WITHIN_CARD	B2-S006|B2-S016|B2-S020|B3-S027
PF048	2	AIIN+OT	Maß · danach	4	3	2	CROSSES_CARD	B2-S016|B3-S004|B3-S032
PF049	2	OT+CH	danach · ziehe ab	3	3	3	WITHIN_CARD	H1-S002|H2-S002|H5-S001
PF050	2	OL+OL	fort · fort	3	2	2	CROSSES_CARD	H1-S002|H2-S002
PF051	2	Y+CH	dies · ziehe ab	3	3	2	CROSSES_CARD|WITHIN_CARD	H2-S001|H2-S003|H5-S002
PF052	2	Y+OR	dies · Ansatz	3	2	2	CROSSES_CARD	H2-S001|H4-S004
PF053	2	OL+Y	fort · dies	3	3	3	CROSSES_CARD|WITHIN_CARD	B4-S002|H2-S001|H3-S003
PF054	2	CH+OR	ziehe ab · Ansatz	3	2	2	WITHIN_CARD	H2-S002|H5-S001
PF055	2	OR+OR	Ansatz · Ansatz	3	2	1	CROSSES_CARD	H2-S002|H2-S003
PF056	2	OL+AIIN	fort · Maß	3	3	3	CROSSES_CARD	B6-S001|H2-S002|H5-S006
PF057	2	OR+Y	Ansatz · dies	3	3	3	CROSSES_CARD	B4-S014|H2-S003|H4-S004
PF058	2	O+DY	Gang · schließe	3	3	3	WITHIN_CARD	H3-S001|H4-S001|H5-S002
PF059	2	AIN+Y	Teil · dies	3	3	3	CROSSES_CARD	B2-S003|B6-S001|H4-S001
PF060	2	OL+K	fort · gib zu	3	2	2	CROSSES_CARD|WITHIN_CARD	B1-S002|B4-S016
PF061	2	OL+L	fort · führe	3	3	3	CROSSES_CARD	B1-S002|B4-S011|B5-S003
PF062	2	AL+AIIN	dorthin · Maß	3	2	2	CROSSES_CARD	B1-S002|B5-S003
PF063	2	CHK+E	wärme · kurz	3	3	2	WITHIN_CARD	B1-S008|B1-S020|B4-S011
PF064	2	CHD+AL	setze um · dorthin	3	3	3	WITHIN_CARD	B1-S014|B3-S010|B5-S003
PF065	2	SH+CKH	halte · Durchlass	3	3	2	WITHIN_CARD	B1-S020|B4-S006|B4-S007
PF066	2	AL+L	dorthin · führe	3	3	2	CROSSES_CARD	B2-S004|B2-S016|B3-S020
PF067	2	CTH+E	bereit · kurz	3	3	2	WITHIN_CARD	B2-S005|B2-S012|B3-S013
PF068	2	OT+AIIN	danach · Maß	3	3	2	WITHIN_CARD	B2-S008|B3-S032|B3-S034
PF069	2	OT+AL	danach · dorthin	3	3	2	WITHIN_CARD	B3-S002|B3-S004|B4-S003
PF070	2	OT+E	danach · kurz	3	2	1	WITHIN_CARD	B3-S010|B3-S032
PF071	2	OT+CHD	danach · setze um	3	3	2	WITHIN_CARD	B3-S022|B3-S030|B5-S001
PF072	2	AIN+CHD	Teil · setze um	3	3	2	CROSSES_CARD	B3-S032|B4-S005|B4-S011
PF073	2	AIIN+OL	Maß · fort	3	3	3	CROSSES_CARD	B3-S034|B5-S003|B6-S001
PF074	2	Y+CTH	dies · bereit	2	2	2	CROSSES_CARD	B2-S012|H1-S001
PF075	2	AIR+OT	Lauf · danach	2	2	2	CROSSES_CARD	B3-S030|H1-S001
PF076	2	T+CH	trage ein · ziehe ab	2	2	2	WITHIN_CARD	H1-S001|H3-S001
PF077	2	CH+OL	ziehe ab · fort	2	2	1	WITHIN_CARD	H1-S001|H1-S002
PF078	2	OL+OK	fort · setze an	2	2	2	CROSSES_CARD	B4-S011|H1-S001
PF079	2	OL+CTH	fort · bereit	2	2	2	CROSSES_CARD	H1-S002|H3-S004
PF080	2	OR+CTH	Ansatz · bereit	2	1	1	CROSSES_CARD	H2-S001
PF081	2	AIIN+O	Maß · Gang	2	2	2	CROSSES_CARD	B2-S005|H2-S001
PF082	2	O+CTH	Gang · bereit	2	2	2	WITHIN_CARD	B2-S005|H2-S001
PF083	2	OL+OR	fort · Ansatz	2	2	2	WITHIN_CARD	B1-S002|H2-S002
PF084	2	OR+OL	Ansatz · fort	2	2	2	CROSSES_CARD	B1-S002|H2-S002
PF085	2	O+Y	Gang · dies	2	2	2	WITHIN_CARD	H2-S003|H3-S002
PF086	2	CH+O	ziehe ab · Gang	2	2	2	WITHIN_CARD	H2-S003|H3-S001
PF087	2	SH+O	halte · Gang	2	2	1	WITHIN_CARD	H3-S001|H3-S002
PF088	2	OK+OL	setze an · fort	2	2	2	WITHIN_CARD	B4-S013|H3-S004
PF089	2	E+O	kurz · Gang	2	2	2	WITHIN_CARD	H4-S003|H5-S004
PF090	2	OL+DY	fort · schließe	2	2	2	WITHIN_CARD	B4-S010|H4-S003
PF091	2	HO+K	Gabe · gib zu	2	2	1	CROSSES_CARD	H5-S001|H5-S003
PF092	2	OL+OT	fort · danach	2	2	2	CROSSES_CARD	B1-S014|H5-S001
PF093	2	AIIN+K	Maß · gib zu	2	2	2	CROSSES_CARD	B1-S002|B3-S013
PF094	2	AL+AR	dorthin · davon	2	2	2	CROSSES_CARD	B1-S002|B3-S004
PF095	2	AIN+AL	Teil · dorthin	2	2	2	CROSSES_CARD	B1-S002|B4-S016
PF096	2	L+OL	führe · fort	2	2	2	CROSSES_CARD|WITHIN_CARD	B1-S002|B5-S003
PF097	2	E+CKH	kurz · Durchlass	2	2	2	WITHIN_CARD	B1-S002|B2-S006
PF098	2	CKH+AL	Durchlass · dorthin	2	2	2	WITHIN_CARD	B1-S002|B4-S015
PF099	2	AIIN+CKH	Maß · Durchlass	2	2	2	CROSSES_CARD	B1-S002|B2-S005
PF100	2	Y+CHD	dies · setze um	2	2	2	CROSSES_CARD	B1-S002|B3-S011
PF101	2	R+AL	kühle · dorthin	2	2	2	WITHIN_CARD	B1-S006|B6-S001
PF102	2	OL+CHK	fort · wärme	2	2	2	CROSSES_CARD	B1-S008|B2-S005
PF103	2	O+OK	Gang · setze an	2	2	2	CROSSES_CARD	B1-S012|B3-S016
PF104	2	LSH+E	wasche · kurz	2	2	1	WITHIN_CARD	B1-S012|B1-S013
PF105	2	Y+SOLK	dies · fange auf	2	2	2	CROSSES_CARD	B1-S014|B2-S005
PF106	2	O+IIN	Gang · Grad	2	2	2	WITHIN_CARD	B1-S018|B3-S034
PF107	2	L+CKH	führe · Durchlass	2	1	1	WITHIN_CARD	B2-S004
PF108	2	L+DY	führe · schließe	2	2	2	WITHIN_CARD	B2-S005|B3-S033
PF109	2	AL+SH	dorthin · halte	2	2	2	CROSSES_CARD	B2-S006|B3-S021
PF110	2	AR+SHED	davon · setze ab	2	2	2	CROSSES_CARD	B2-S008|B4-S016
PF111	2	P+CHD	gib hinein · setze um	2	2	2	WITHIN_CARD	B2-S016|B3-S010
PF112	2	AL+AL	dorthin · dorthin	2	2	2	CROSSES_CARD	B2-S017|B5-S003
PF113	2	L+O	führe · Gang	2	2	2	WITHIN_CARD	B2-S022|B3-S016
PF114	2	AL+OT	dorthin · danach	2	2	2	CROSSES_CARD	B3-S010|B4-S003
PF115	2	E+CTH	kurz · bereit	2	2	1	WITHIN_CARD	B3-S011|B3-S021
PF116	2	AIN+CTH	Teil · bereit	2	2	1	CROSSES_CARD	B3-S013|B3-S026
PF117	2	SHED+AL	setze ab · dorthin	2	2	2	WITHIN_CARD	B3-S021|B5-S003
PF118	2	AIIN+CHK	Maß · wärme	2	2	1	CROSSES_CARD	B4-S008|B4-S011
PF119	3	OK+EE+DY	setze an · länger · schließe	10	10	3	WITHIN_CARD	B2-S003|B2-S011|B2-S015|B2-S018|B2-S021|B3-S007|B3-S017|B3-S031
PF120	3	OK+E+DY	setze an · kurz · schließe	8	8	3	WITHIN_CARD	B1-S001|B1-S009|B1-S010|B3-S013|B3-S028|B3-S029|B4-S002|B4-S008
PF121	3	Y+OK+EE	dies · setze an · länger	8	8	3	CROSSES_CARD	B2-S003|B2-S012|B2-S015|B3-S007|B4-S002|B4-S003|B4-S005|B4-S011
PF122	3	L+CHD+DY	führe · setze um · schließe	8	8	3	WITHIN_CARD	B2-S013|B3-S003|B3-S008|B3-S015|B3-S020|B3-S023|B4-S012|B4-S015
PF123	3	OK+EE+Y	setze an · länger · dies	7	7	4	WITHIN_CARD	B1-S016|B2-S004|B2-S010|B2-S012|B3-S028|B4-S002|B4-S003
PF124	3	EE+Y+OK	länger · dies · setze an	7	7	3	CROSSES_CARD	B2-S006|B2-S010|B2-S016|B3-S028|B4-S002|B4-S003|B4-S008
PF125	3	Y+OK+Y	dies · setze an · dies	6	6	5	CROSSES_CARD	B1-S011|B2-S006|B2-S010|B3-S011|B4-S003|H5-S002
PF126	3	E+Y+OK	kurz · dies · setze an	6	6	5	CROSSES_CARD	B1-S015|B2-S012|B2-S015|B3-S013|B4-S011|H5-S003
PF127	3	SH+EE+Y	halte · länger · dies	5	5	3	WITHIN_CARD	B2-S010|B2-S012|B4-S008|B4-S015|H3-S001
PF128	3	OL+SHED+DY	fort · setze ab · schließe	5	5	2	CROSSES_CARD	B1-S004|B1-S008|B1-S016|B4-S003|B4-S013
PF129	3	OK+CHD+DY	setze an · setze um · schließe	5	5	3	WITHIN_CARD	B1-S007|B1-S015|B3-S016|B3-S025|B5-S002
PF130	3	CHD+Y+OK	setze um · dies · setze an	5	5	2	CROSSES_CARD	B3-S006|B3-S007|B3-S011|B3-S026|B4-S005
PF131	3	Y+OK+E	dies · setze an · kurz	5	5	2	CROSSES_CARD	B3-S013|B3-S028|B3-S029|B4-S002|B4-S008
PF132	3	Y+OL+SHED	dies · fort · setze ab	4	4	2	CROSSES_CARD	B1-S004|B1-S008|B1-S016|B4-S003
PF133	3	OL+CHD+DY	fort · setze um · schließe	4	4	3	CROSSES_CARD|WITHIN_CARD	B1-S005|B1-S017|B2-S002|B3-S006
PF134	3	Y+L+CHD	dies · führe · setze um	4	4	4	CROSSES_CARD	B1-S014|B2-S004|B3-S003|B4-S015
PF135	3	CKH+E+DY	Durchlass · kurz · schließe	4	4	3	WITHIN_CARD	B1-S020|B2-S004|B4-S006|B4-S007
PF136	3	Y+AIIN+Y	dies · Maß · dies	3	3	3	CROSSES_CARD	B2-S012|B3-S003|H2-S001
PF137	3	Y+SH+EE	dies · halte · länger	3	3	3	CROSSES_CARD	B2-S012|B4-S008|H3-S001
PF138	3	Y+K+AIN	dies · gib zu · Teil	3	2	2	CROSSES_CARD|WITHIN_CARD	B4-S015|H4-S001
PF139	3	AIIN+CHD+Y	Maß · setze um · dies	3	3	2	CROSSES_CARD	B3-S007|B3-S026|H4-S002
PF140	3	CHK+EE+Y	wärme · länger · dies	3	3	3	WITHIN_CARD	B2-S005|B4-S008|H4-S003
PF141	3	OL+K+AIN	fort · gib zu · Teil	3	2	2	CROSSES_CARD|WITHIN_CARD	B1-S002|B4-S016
PF142	3	CHK+E+Y	wärme · kurz · dies	3	3	2	WITHIN_CARD	B1-S008|B1-S020|B4-S011
PF143	3	CKH+Y+OK	Durchlass · dies · setze an	3	3	2	CROSSES_CARD	B1-S011|B2-S005|B2-S006
PF144	3	SOLK+EE+DY	fange auf · länger · schließe	3	3	2	WITHIN_CARD	B1-S018|B3-S001|B3-S026
PF145	3	SH+CKH+E	halte · Durchlass · kurz	3	3	2	WITHIN_CARD	B1-S020|B4-S006|B4-S007
PF146	3	EE+Y+L	länger · dies · führe	3	3	1	CROSSES_CARD	B2-S004|B2-S005|B2-S012
PF147	3	SH+E+DY	halte · kurz · schließe	3	3	2	WITHIN_CARD	B2-S007|B2-S009|B3-S019
PF148	3	CTH+Y+AL	bereit · dies · dorthin	3	2	1	CROSSES_CARD	B3-S021|B3-S026
PF149	3	OT+CHD+DY	danach · setze um · schließe	3	3	2	WITHIN_CARD	B3-S022|B3-S030|B5-S001
PF150	3	AIN+CHD+Y	Teil · setze um · dies	3	3	2	CROSSES_CARD	B3-S032|B4-S005|B4-S011
PF151	3	Y+T+CH	dies · trage ein · ziehe ab	2	2	2	CROSSES_CARD|WITHIN_CARD	H1-S001|H3-S001
PF152	3	OK+Y+AIIN	setze an · dies · Maß	2	2	2	CROSSES_CARD	B3-S030|H1-S001
PF153	3	OL+CTH+Y	fort · bereit · dies	2	2	2	CROSSES_CARD	H1-S002|H3-S004
PF154	3	AIIN+O+CTH	Maß · Gang · bereit	2	2	2	CROSSES_CARD	B2-S005|H2-S001
PF155	3	Y+Y+AIIN	dies · dies · Maß	2	2	2	CROSSES_CARD	H2-S001|H3-S003
PF156	3	OT+CH+OR	danach · ziehe ab · Ansatz	2	2	2	WITHIN_CARD	H2-S002|H5-S001
PF157	3	OL+OR+OL	fort · Ansatz · fort	2	2	2	CROSSES_CARD	B1-S002|H2-S002
PF158	3	Y+T+Y	dies · trage ein · dies	2	2	2	CROSSES_CARD|WITHIN_CARD	B3-S034|H3-S002
PF159	3	OT+Y+OK	danach · dies · setze an	2	2	2	CROSSES_CARD	B4-S003|H3-S004
PF160	3	CTH+Y+Y	bereit · dies · dies	2	2	2	CROSSES_CARD	B3-S021|H3-S004
PF161	3	CH+E+O	ziehe ab · kurz · Gang	2	2	2	WITHIN_CARD	H4-S003|H5-S004
PF162	3	EE+Y+OL	länger · dies · fort	2	2	2	CROSSES_CARD	B1-S016|H4-S003
PF163	3	OK+AL+OL	setze an · dorthin · fort	2	2	2	CROSSES_CARD	B3-S006|H4-S004
PF164	3	AL+Y+AIIN	dorthin · dies · Maß	2	2	2	CROSSES_CARD	B3-S021|H5-S001
PF165	3	K+E+Y	gib zu · kurz · dies	2	2	2	WITHIN_CARD	B6-S001|H5-S003
PF166	3	OK+AIIN+K	setze an · Maß · gib zu	2	2	2	CROSSES_CARD	B1-S002|B3-S013
PF167	3	K+AIN+AL	gib zu · Teil · dorthin	2	2	2	CROSSES_CARD	B1-S002|B4-S016
PF168	3	OL+L+OL	fort · führe · fort	2	2	2	CROSSES_CARD	B1-S002|B5-S003
PF169	3	OL+SH+E	fort · halte · kurz	2	2	2	CROSSES_CARD|WITHIN_CARD	B1-S002|B2-S009
PF170	3	SH+E+CKH	halte · kurz · Durchlass	2	2	2	WITHIN_CARD	B1-S002|B2-S006
PF171	3	AIIN+CKH+Y	Maß · Durchlass · dies	2	2	2	CROSSES_CARD	B1-S002|B2-S005
PF172	3	CHD+Y+OL	setze um · dies · fort	2	2	2	CROSSES_CARD	B1-S004|B4-S011
PF173	3	CKH+Y+L	Durchlass · dies · führe	2	2	2	CROSSES_CARD	B1-S006|B2-S004
PF174	3	OK+E+Y	setze an · kurz · dies	2	2	2	WITHIN_CARD	B1-S012|B2-S016
PF175	3	LSH+E+DY	wasche · kurz · schließe	2	2	1	WITHIN_CARD	B1-S012|B1-S013
PF176	3	Y+OK+AIIN	dies · setze an · Maß	2	2	1	CROSSES_CARD	B2-S005|B2-S016
PF177	3	OK+AIIN+OK	setze an · Maß · setze an	2	2	1	CROSSES_CARD	B2-S005|B2-S016
PF178	3	OT+EE+Y	danach · länger · dies	2	2	1	WITHIN_CARD	B2-S006|B2-S016
PF179	3	Y+OK+AL	dies · setze an · dorthin	2	2	2	CROSSES_CARD	B2-S006|B3-S006
PF180	3	AL+SH+E	dorthin · halte · kurz	2	2	2	CROSSES_CARD	B2-S006|B3-S021
PF181	3	AR+SHED+DY	davon · setze ab · schließe	2	2	2	CROSSES_CARD	B2-S008|B4-S016
PF182	3	CTH+E+Y	bereit · kurz · dies	2	2	2	WITHIN_CARD	B2-S012|B3-S013
PF183	3	AL+L+CHD	dorthin · führe · setze um	2	2	2	CROSSES_CARD	B2-S016|B3-S020
PF184	3	OT+EE+DY	danach · länger · schließe	2	2	2	WITHIN_CARD	B2-S020|B3-S027
PF185	3	OT+E+DY	danach · kurz · schließe	2	2	1	WITHIN_CARD	B3-S010|B3-S032
PF186	3	SH+E+CTH	halte · kurz · bereit	2	2	1	WITHIN_CARD	B3-S011|B3-S021
PF187	3	CHD+Y+OT	setze um · dies · danach	2	2	2	CROSSES_CARD	B3-S032|B4-S003
