locus	page	section	currier	source_lattice_paths	selected_source	literal_decoded	normalized_plaintext_or_record	confidence	alternative_analysis	uncertainty_reason
f100r.25	f100r	P	A	f100r.25|P01	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	s<qkeeody>sa<ctheol><olcheol>th<cheockhy>c	s<qkeeody>sa<ctheol><olcheol>th<cheockhy>c	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.26	f100r	P	A	f100r.26|P01|f100r.26|P02	yaiin chekeey chol cholody chos olchor qokeol okeeol cheols al	<yaiin><chekeey>s<cholody><chos><olchor>x<okeeol><cheols>i	<yaiin><chekeey>s<cholody><chos><olchor>x<okeeol><cheols>i	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.27	f100r	P	A	f100r.27|P01|f100r.27|P02	chol cheol cho chckheody otolchey	shp<chckheody><otolchey>	shp<chckheody><otolchey>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.3	f100r	P	A	f100r.3|P01	otear	<otear>	<otear>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.4	f100r	P	A	f100r.4|P01|f100r.4|P02	chofary	<chofary>	<chofary>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.5	f100r	P	A	f100r.5|P01|f100r.5|P02|f100r.5|P03	sar char daiindy	rc<daiindy>	rc<daiindy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.6	f100r	P	A	f100r.6|P01|f100r.6|P02|f100r.6|P03	oraro	<oraro>	<oraro>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.7	f100r	P	A	f100r.7|P01|f100r.7|P02	chalsain	<chalsain>	<chalsain>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.8	f100r	P	A	f100r.8|P01	soity	<soity>	<soity>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.9	f100r	P	A	f100r.9|P01	sosam	<sosam>	<sosam>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.1	f100v	P	A	f100v.1|P01	tolchd	<tolchd>	<tolchd>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.10	f100v	P	A	f100v.10|P01	okcheor	<okcheor>	<okcheor>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.11	f100v	P	A	f100v.11|P01|f100v.11|P02	ytchol	<ytchol>	<ytchol>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.12	f100v	P	A	f100v.12|P01	dykchal	<dykchal>	<dykchal>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.13	f100v	P	A	f100v.13|P01|f100v.13|P02|f100v.13|P03	chos cthoral	<chos><cthoral>	<chos><cthoral>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.14	f100v	P	A	f100v.14|P01|f100v.14|P02|f100v.14|P03	cthdeecthy sheocphy qoteody ckhoor ar chor oteey daiin qokomo	<cthdeecthy><sheocphy><qoteody><ckhoor>tkna<qokomo>	<cthdeecthy><sheocphy><qoteody><ckhoor>tkna<qokomo>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.15	f100v	P	A	f100v.15|P01|f100v.15|P02|f100v.15|P03	sor cheey dair ol cheol qoolkeey chol cheey qokeol chotols	ulikh<qoolkeey>slx<chotols>	ulikh<qoolkeey>slx<chotols>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.16	f100v	P	A	f100v.16|P01|f100v.16|P02|f100v.16|P03	ykeeol chol chey eeoseeos sheeo okeol ches okeor okeol dy	<ykeeol>s <eeoseeos><sheeo>c<ches><okeor>cc	<ykeeol>s <eeoseeos><sheeo>c<ches><okeor>cc	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.17	f100v	P	A	f100v.17|P01|f100v.17|P02|f100v.17|P03	chockhey cholkcheol qokeol okol chol chotor chso solcthy	<chockhey><cholkcheol>xvs<chotor><chso><solcthy>	<chockhey><cholkcheol>xvs<chotor><chso><solcthy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.18	f100v	P	A	f100v.18|P01|f100v.18|P02|f100v.18|P03	tocheo sol cheo cheeor odaidy ckhod sh chod qokeol sal	<tocheo>rh<cheeor><odaidy><ckhod><sh><chod>xn	<tocheo>rh<cheeor><odaidy><ckhod><sh><chod>xn	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.19	f100v	P	A	f100v.19|P01|f100v.19|P02	sain cheokeos chockhy chocthey kchody chockhhor chckhey dan	m<cheokeos><chockhy><chocthey><kchody><chockhhor><chckhey><dan>	m<cheokeos><chockhy><chocthey><kchody><chockhhor><chckhey><dan>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.2	f100v	P	A	f100v.2|P01	chols	<chols>	<chols>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.20	f100v	P	A	f100v.20|P01|f100v.20|P02|f100v.20|P03	ycheoky shokeesy qokeey chokeol saraloaly cheor ol chockhar	<ycheoky><shokeesy>g<chokeol><saraloaly>yk<chockhar>	<ycheoky><shokeesy>g<chokeol><saraloaly>yk<chockhar>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.21	f100v	P	A	f100v.21|P01	soral okor ol choy ly araroy okar cheeeal cheokeol orey	<soral><okor>k<choy><ly><araroy>x<cheeeal><cheokeol><orey>	<soral><okor>k<choy><ly><araroy>x<cheeeal><cheokeol><orey>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.22	f100v	P	A	f100v.22|P01|f100v.22|P02	daiin cheky chory	at<chory>	at<chory>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.3	f100v	P	A	f100v.3|P01	opchor	<opchor>	<opchor>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.4	f100v	P	A	f100v.4|P01|f100v.4|P02	solsy	<solsy>	<solsy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.5	f100v	P	A	f100v.5|P01|f100v.5|P02	soleesos	<soleesos>	<soleesos>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.6	f100v	P	A	f100v.6|P01	ykchochdy	<ykchochdy>	<ykchochdy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.7	f100v	P	A	f100v.7|P01	ykchdy	<ykchdy>	<ykchdy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.8	f100v	P	A	f100v.8|P01	dchdy	<dchdy>	<dchdy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100v.9	f100v	P	A	f100v.9|P01	dalsy	<dalsy>	<dalsy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.1	f101r	P	A	f101r.1|P01|f101r.1|P02|f101r.1|P03	pcheol sheol ol shey qockhol shor yteol sheockhey qpol chear s aiin oleeey qkeey chopcheey checkhey cpheocthy ykchy cheey chekeey dal chey	<pcheol>vkj<qockhol>n<yteol><sheockhey><qpol>qod<oleeey><qkeey><chopcheey><checkhey><cpheocthy><ykchy>l<chekeey>i 	<pcheol>vkj<qockhol>n<yteol><sheockhey><qpol>qod<oleeey><qkeey><chopcheey><checkhey><cpheocthy><ykchy>l<chekeey>i 	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.10	f101r	P	A	f101r.10|P01|f101r.10|P02|f101r.10|P03	kor aithy ol chs sho olcheeol kalshey okeoly oiin aiioly	<kor><aithy>k<chs>l<olcheeol><kalshey><okeoly><oiin><aiioly>	<kor><aithy>k<chs>l<olcheeol><kalshey><okeoly><oiin><aiioly>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.2	f101r	P	A	f101r.2|P01|f101r.2|P02|f101r.2|P03	dol chokeey chkey cthey okal chol kol okeey r or ol okolol olchey qokchor okey qokeol kor shey teol or aiin chol daiin	n<chokeey><chkey> es<kol>ucok<okolol><olchey><qokchor>jx<kor>j<teol>odsa	n<chokeey><chkey> es<kol>ucok<okolol><olchey><qokchor>jx<kor>j<teol>odsa	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.3	f101r	P	A	f101r.3|P01|f101r.3|P02|f101r.3|P03	etolctheol okeor r sheol qotol sheo dol shey okeey ctheea yteeoldy kchdol sheody or ol sheor qotoiir otol sheey ssheo tchey ol dar am	<etolctheol><okeor>cv<qotol><sheo>nju<ctheea><yteeoldy><kchdol>loks<qotoiir>pl<ssheo><tchey>klz	<etolctheol><okeor>cv<qotol><sheo>nju<ctheea><yteeoldy><kchdol>loks<qotoiir>pl<ssheo><tchey>klz	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.4	f101r	P	A	f101r.4|P01|f101r.4|P02|f101r.4|P03	ycheeo or sheeol daiin sheeol okeol ctheol shkeeo qockheol daiin shy csol okeeor ctody chkchol doteoda okeol daisin okeey okeey dairin	<ycheeo>o<sheeol>a<sheeol>c<ctheol><shkeeo><qockheol>ad<csol><okeeor><ctody><chkchol><doteoda>c<daisin>uu<dairin>	<ycheeo>o<sheeol>a<sheeol>c<ctheol><shkeeo><qockheol>ad<csol><okeeor><ctody><chkchol><doteoda>c<daisin>uu<dairin>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.5	f101r	P	A	f101r.5|P01|f101r.5|P02|f101r.5|P03	daiin ctheol cheol okor or aiin cheol cho keeo dchey okol okeol dor chol chy r aiin oteol oraiin olchey oteeod sheol okeol chosaiin sheom	a<ctheol>h<okor>odhp<keeo><dchey>vcvsecd<oteol><oraiin><olchey><oteeod>vc<chosaiin><sheom>	a<ctheol>h<okor>odhp<keeo><dchey>vcvsecd<oteol><oraiin><olchey><oteeod>vc<chosaiin><sheom>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.6	f101r	P	A	f101r.6|P01|f101r.6|P02|f101r.6|P03	okeeol sho shody sho shol okeeeol cheos sheokeey sheeor chchy chodaiin sheeckhey teeol scheol sar oeeor	<okeeol>lklp<okeeeol><cheos><sheokeey><sheeor><chchy>y<sheeckhey><teeol><scheol>r<oeeor>	<okeeol>lklp<okeeeol><cheos><sheokeey><sheeor><chchy>y<sheeckhey><teeol><scheol>r<oeeor>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.7	f101r	P	A	f101r.7|P01|f101r.7|P02|f101r.7|P03	cphoar oaiin ypcholy daiin otaiin otaiin yfolaiin fcheolain ypchey yphoo shotey odariin sheoor sheor ckheey ykhey qokchey cholp cheol dy	<cphoar><oaiin><ypcholy>app<yfolaiin><fcheolain><ypchey><yphoo><shotey><odariin><sheoor>s<ckheey><ykhey><qokchey><cholp>hc	<cphoar><oaiin><ypcholy>app<yfolaiin><fcheolain><ypchey><yphoo><shotey><odariin><sheoor>s<ckheey><ykhey><qokchey><cholp>hc	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.8	f101r	P	A	f101r.8|P01|f101r.8|P02|f101r.8|P03	olaiin oteol chor oteey chokchey kor daiin shok chol chol qoky daiin ol s al ydar daiin or ory okeey daiin shey daiin okol cheor	g<oteol>kn<chokchey><kor>a<shok>sscakoi<ydar>ao<ory>uajavy	g<oteol>kn<chokchey><kor>a<shok>sscakoi<ydar>ao<ory>uajavy	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101r.9	f101r	P	A	f101r.9|P01|f101r.9|P02|f101r.9|P03	daiin okeol qokcheol ykeor dar ol otechy ykeor dor aiin chls cheol okol shey qodar soiin choko qokeol daiin odar okchol cheor chety	ac<qokcheol><ykeor>lk<otechy><ykeor>vd<chls>hvj<qodar><soiin><choko>xa<odar><okchol>y<chety>	ac<qokcheol><ykeor>lk<otechy><ykeor>vd<chls>hvj<qodar><soiin><choko>xa<odar><okchol>y<chety>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.1	f101v	P	A	f101v.1|P01|f101v.1|P02	sairaly	<sairaly>	<sairaly>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.10	f101v	P	A	f101v.10|P01	okol	v	v	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.11	f101v	P	A	f101v.11|P01	arom	<arom>	<arom>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.12	f101v	P	A	f101v.12|P01|f101v.12|P02	oraram	<oraram>	<oraram>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.13	f101v	P	A	f101v.13|P01|f101v.13|P02|f101v.13|P03	oraeep	<oraeep>	<oraeep>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.14	f101v	P	A	f101v.14|P01|f101v.14|P02	dytoly	<dytoly>	<dytoly>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.15	f101v	P	A	f101v.15|P01	olkor	<olkor>	<olkor>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.16	f101v	P	A	f101v.16|P01	dolary	<dolary>	<dolary>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.17	f101v	P	A	f101v.17|P01	odor	<odor>	<odor>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.18	f101v	P	A	f101v.18|P01	olaran	<olaran>	<olaran>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.19	f101v	P	A	f101v.19|P01|f101v.19|P02|f101v.19|P03	tolchor cheopor or ody cphey r shee fol s oiin otsheey otchy kcho pcholy chor or choror sy dorar okoraiin orolodain	<tolchor><cheopor>o<ody><cphey>c<shee><fol>o<oiin><otsheey>a<kcho><pcholy>ko<choror><sy><dorar><okoraiin><orolodain>	<tolchor><cheopor>o<ody><cphey>c<shee><fol>o<oiin><otsheey>a<kcho><pcholy>ko<choror><sy><dorar><okoraiin><orolodain>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.2	f101v	P	A	f101v.2|P01|f101v.2|P02	otaldy	<otaldy>	<otaldy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.20	f101v	P	A	f101v.20|P01|f101v.20|P02|f101v.20|P03	or aiin or o or odam chor s aiin okor cheeor sheeol qokol etol qoor cheey qykeod oeeo r choy s okeeody chodaiin cthy okody dar	odoro<odam>kod<okor><cheeor><sheeol>q<etol><qoor>l<qykeod><oeeo>c<choy>o<okeeody>yr<okody>l	odoro<odam>kod<okor><cheeor><sheeol>q<etol><qoor>l<qykeod><oeeo>c<choy>o<okeeody>yr<okody>l	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.21	f101v	P	A	f101v.21|P01|f101v.21|P02|f101v.21|P03	ycheor oeo dain cheokal ykhody cheeods oraiin qoeey cthey eocthy dain chedo dydy	<ycheor><oeo>p<cheokal><ykhody><cheeods><oraiin><qoeey> <eocthy>p<chedo><dydy>	<ycheor><oeo>p<cheokal><ykhody><cheeods><oraiin><qoeey> <eocthy>p<chedo><dydy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.22	f101v	P	A	f101v.22|P01|f101v.22|P02|f101v.22|P03	kshar lol keeol otal or ol aiin okeod ykeey dain olcheol opcheol cthey qekeoldy qocthor sheody qockheey odaiin sho ytolaiir sodaiin dy	<kshar><lol><keeol>xokd<okeod>wp<olcheol><opcheol> <qekeoldy><qocthor>l<qockheey>hl<ytolaiir><sodaiin>c	<kshar><lol><keeol>xokd<okeod>wp<olcheol><opcheol> <qekeoldy><qocthor>l<qockheey>hl<ytolaiir><sodaiin>c	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.23	f101v	P	A	f101v.23|P01|f101v.23|P02|f101v.23|P03	oaiin ol olor daiin okeey qok ykeol daiin qockhy daiin olch dar qokeol dol oraiin oldaiin keeol rch qokeeeor sydy cheor okeey chol do dar	<oaiin>k<olor>au<qok><ykeol>a<qockhy>a<olch>lxn<oraiin><oldaiin><keeol><rch><qokeeeor><sydy>yus<do>l	<oaiin>k<olor>au<qok><ykeol>a<qockhy>a<olch>lxn<oraiin><oldaiin><keeol><rch><qokeeeor><sydy>yus<do>l	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.24	f101v	P	A	f101v.24|P01|f101v.24|P02|f101v.24|P03	teeal sheol qokeor qkhol olchor chokey chor ctheey das daiin cheeody cheey keo cheol daiiin deeor cheedy	<teeal>v<qokeor><qkhol><olchor><chokey>k<ctheey><das>a<cheeody>l<keo>h<daiiin><deeor>g	<teeal>v<qokeor><qkhol><olchor><chokey>k<ctheey><das>a<cheeody>l<keo>h<daiiin><deeor>g	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.25	f101v	P	A	f101v.25|P01|f101v.25|P02|f101v.25|P03	daiin dair yteol chor qockhol daiin ckheey chey kchey dos iin okeey ckheo lcheody kcheol daiin eteeys ctheody ctheockhosho olchor	ai<yteol>k<qockhol>a<ckheey> <kchey><dos><iin>u<ckheo><lcheody><kcheol>a<eteeys><ctheody><ctheockhosho><olchor>	ai<yteol>k<qockhol>a<ckheey> <kchey><dos><iin>u<ckheo><lcheody><kcheol>a<eteeys><ctheody><ctheockhosho><olchor>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.26	f101v	P	A	f101v.26|P01|f101v.26|P02|f101v.26|P03	olaiin okeol cheo kol ches sheey qoor qokeody cheor okeo oiin cheey cthey ory ctheey qokeey shol ody cheol oralar shey qokar ary	gch<kol><ches>l<qoor><qokeody>y<okeo><oiin>l <ory><ctheey>gp<ody>h<oralar>jj<ary>	gch<kol><ches>l<qoor><qokeody>y<okeo><oiin>l <ory><ctheey>gp<ody>h<oralar>jj<ary>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.27	f101v	P	A	f101v.27|P01|f101v.27|P02|f101v.27|P03	sal chol choly okeey dal qol shckheol chol cthear keeol cheeo ol chs oraiin qokeeey soiin qodaiin cheol qokeey daiin cheodam	ns<choly>uip<shckheol>s<cthear><keeol><cheeo>k<chs><oraiin><qokeeey><soiin><qodaiin>hga<cheodam>	ns<choly>uip<shckheol>s<cthear><keeol><cheeo>k<chs><oraiin><qokeeey><soiin><qodaiin>hga<cheodam>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.28	f101v	P	A	f101v.28|P01|f101v.28|P02|f101v.28|P03	teol cheol etchey cheo r cheol cthol cholaiin chol qkar	<teol>h<etchey>hchw<cholaiin>s<qkar>	<teol>h<etchey>hchw<cholaiin>s<qkar>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.3	f101v	P	A	f101v.3|P01|f101v.3|P02|f101v.3|P03	otal	x	x	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.4	f101v	P	A	f101v.4|P01|f101v.4|P02	yta	<yta>	<yta>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.5	f101v	P	A	f101v.5|P01	dokor	<dokor>	<dokor>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.6	f101v	P	A	f101v.6|P01	orar	<orar>	<orar>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.7	f101v	P	A	f101v.7|P01|f101v.7|P02	otarar	<otarar>	<otarar>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.8	f101v	P	A	f101v.8|P01|f101v.8|P02|f101v.8|P03	otala	<otala>	<otala>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f101v.9	f101v	P	A	f101v.9|P01	soraly	<soraly>	<soraly>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f102r1.1	f102r1	P	A	f102r1.1|P01|f102r1.1|P02|f102r1.1|P03	daarod	<daarod>	<daarod>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f102r1.10	f102r1	P	A	f102r1.10|P01|f102r1.10|P02|f102r1.10|P03	ycheol sholdy chol chol ykeeol dol doleodaiin dal cthedy	<ycheol><sholdy>ss<ykeeol>n<doleodaiin>i<cthedy>	<ycheol><sholdy>ss<ykeeol>n<doleodaiin>i<cthedy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f102r1.11	f102r1	P	A	f102r1.11|P01|f102r1.11|P02|f102r1.11|P03	dcheo qockhy sol sheey okeody qokeodol shockhey oleeol	<dcheo><qockhy>rl<okeody><qokeodol><shockhey><oleeol>	<dcheo><qockhy>rl<okeody><qokeodol><shockhey><oleeol>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f102r1.12	f102r1	P	A	f102r1.12|P01|f102r1.12|P02|f102r1.12|P03	dardsh	<dardsh>	<dardsh>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f102r1.13	f102r1	P	A	f102r1.13|P01|f102r1.13|P02|f102r1.13|P03	teesody qoeol olcheor qokey okshey qokeol sheo folcfhhy	<teesody><qoeol><olcheor>e<okshey>x<sheo><folcfhhy>	<teesody><qoeol><olcheor>e<okshey>x<sheo><folcfhhy>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f102r1.14	f102r1	P	A	f102r1.14|P01|f102r1.14|P02|f102r1.14|P03	doeey keeol qokeo daor shey qoteol okol chos sor oeeaiin	<doeey><keeol><qokeo><daor>j<qoteol>v<chos>u<oeeaiin>	<doeey><keeol><qokeo><daor>j<qoteol>v<chos>u<oeeaiin>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f102r1.15	f102r1	P	A	f102r1.15|P01|f102r1.15|P02|f102r1.15|P03	or chol daiin dykeor sheey qokeody dor os ykeeykam	osa<dykeor>l<qokeody>v<os><ykeeykam>	osa<dykeor>l<qokeody>v<os><ykeeykam>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f102r1.16	f102r1	P	A	f102r1.16|P01|f102r1.16|P02|f102r1.16|P03	ddor chordam soraiin ykeey dy okeol doeoear s aral dor	<ddor><chordam><soraiin>wcc<doeoear>o<aral>v	<ddor><chordam><soraiin>wcc<doeoear>o<aral>v	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f102r1.17	f102r1	P	A	f102r1.17|P01|f102r1.17|P02|f102r1.17|P03	ydar arody oldaiin sody chockhy oly	<ydar><arody><oldaiin><sody><chockhy>o	<ydar><arody><oldaiin><sody><chockhy>o	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f102r1.2	f102r1	P	A	f102r1.2|P01	otodeeodor	<otodeeodor>	<otodeeodor>	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
