page	locus	token_ordinal	surface	token_gloss_de	component_id	render_position	render_size	component_role	edge_ids	source_edge_ids	reference_edge_ids	target_edge_ids	membership_class	is_edge_node	is_hull_only	is_render_only_structural	is_action_target	is_shared_edge_node	action_output_role	component_microrecord_de	word_delta	v76_change	status
f80v	f80v.35	4	y	Hierzu:	M006	2	4	REFERENCE:C004	C004	NONE	C004	NONE	EDGE_NODE	1	0	0	0	0	NONE	Dem Anteil I des heißen Holzansatzes Drogenstoff zugeben. Dem Anteil I des heißen Holzansatzes nochmals Drogenstoff zugeben.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f80v	f80v.35	5	qol	Drogenstoff zugeben	M006	3	4	TARGET_ACTION:C004	C004	NONE	NONE	C004	EDGE_NODE	1	0	0	1	0	NONE	Dem Anteil I des heißen Holzansatzes Drogenstoff zugeben. Dem Anteil I des heißen Holzansatzes nochmals Drogenstoff zugeben.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f80v	f80v.35	6	qol	Drogenstoff zugeben	M006	4	4	TARGET_ACTION:C008	C008	NONE	NONE	C008	EDGE_NODE	1	0	0	1	0	NONE	Dem Anteil I des heißen Holzansatzes Drogenstoff zugeben. Dem Anteil I des heißen Holzansatzes nochmals Drogenstoff zugeben.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f86v6	f86v6.25	2	qokar	heißer Drogenanteil I	M007	1	4	OUTPUT_LABEL:C007	C007	C007	NONE	NONE	EDGE_NODE	1	0	0	0	0	NONE	Aus dem Anteil I des heißen Holzansatzes einen heißen Drogenanteil I abmessen. Den so abgemessenen Drogenanteil I auf Stufe III erhitzen.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f86v6	f86v6.25	3	olkar	Anteil I des heißen Holzansatzes	M007	2	4	DONOR_SOURCE_SHARE:C007	C007	C007	NONE	NONE	EDGE_NODE	1	0	0	0	0	NONE	Aus dem Anteil I des heißen Holzansatzes einen heißen Drogenanteil I abmessen. Den so abgemessenen Drogenanteil I auf Stufe III erhitzen.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f86v6	f86v6.25	4	qodar	Drogenanteil I abmessen	M007	3	4	DONOR_ACTION_OUTPUT:C006|TARGET_ACTION:C007	C006|C007	C006	NONE	C007	EDGE_NODE	1	0	0	1	1	WRITTEN_SERIAL_ACTION_OUTPUT_BRIDGE	Aus dem Anteil I des heißen Holzansatzes einen heißen Drogenanteil I abmessen. Den so abgemessenen Drogenanteil I auf Stufe III erhitzen.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f86v6	f86v6.25	5	ykaiin	erhitze hiervon auf Stufe III	M007	4	4	REFERENCE:C006|TARGET_ACTION:C006	C006	NONE	C006	C006	EDGE_NODE	1	0	0	1	0	NONE	Aus dem Anteil I des heißen Holzansatzes einen heißen Drogenanteil I abmessen. Den so abgemessenen Drogenanteil I auf Stufe III erhitzen.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f86v5	f86v5.24	1	oar	Anteil I des Ansatzes	M008	1	3	DONOR_MATERIAL:C010	C010	C010	NONE	NONE	EDGE_NODE	1	0	0	0	0	NONE	Anteil I des Ansatzes. [Ungebundene Mengenangabe #2: „Menge III“.] Den Ansatzanteil auf Stufe II erhitzen.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f86v5	f86v5.24	2	aiin	Menge III	M008	2	3	UNBOUND_QUANTITY_REGISTER_HULL_ONLY	NONE	NONE	NONE	NONE	HULL_ONLY	0	1	0	0	0	NONE	Anteil I des Ansatzes. [Ungebundene Mengenangabe #2: „Menge III“.] Den Ansatzanteil auf Stufe II erhitzen.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f86v5	f86v5.24	3	ykain	erhitze hiervon auf Stufe II	M008	3	3	REFERENCE:C010|TARGET_ACTION:C010	C010	NONE	C010	C010	EDGE_NODE	1	0	0	1	0	NONE	Anteil I des Ansatzes. [Ungebundene Mengenangabe #2: „Menge III“.] Den Ansatzanteil auf Stufe II erhitzen.	0	NONE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f26r	f26r.2	4	ykecthey	hiervon Krautdroge bis zur Mittelstufe erhitzen und abschließen	M009	1	4	INFERRED_ACTION_OUTPUT_OF_WRITTEN_PATIENT:C011|SOURCE_ACTION:C013	C011|C013	C011|C013	NONE	NONE	EDGE_NODE	1	0	0	0	1	INFERRED_C011_SOURCE_RESULT|C013_WRITTEN_STATE_SOURCE	Die Krautdroge bis zur Mittelstufe erhitzen und abschließen [Quelle von ‚hiervon‘ offen]. Zustand: mittlere Trockenstufe erreicht. Dieselbe erhitzte Krautdroge bis zur Mittelstufe abkühlen und abschließen [C011/C013-Arbeitshypothese].	0	SHARED_SOURCE_FOR_C011_C013	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f26r	f26r.2	5	chedy	mittlere Trockenstufe erreicht	M009	2	4	WRITTEN_INTERMEDIATE_STATE_CHECKPOINT:C013	C013	NONE	NONE	C013	EDGE_NODE	1	0	0	0	0	WRITTEN_C013_STATE_RESULT	Die Krautdroge bis zur Mittelstufe erhitzen und abschließen [Quelle von ‚hiervon‘ offen]. Zustand: mittlere Trockenstufe erreicht. Dieselbe erhitzte Krautdroge bis zur Mittelstufe abkühlen und abschließen [C011/C013-Arbeitshypothese].	0	HULL_ONLY_TO_C013_EDGE_NODE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f26r	f26r.2	6	ytedy	hiervon bis zur Mittelstufe abkühlen und abschließen	M009	3	4	REFERENCE:C011|TARGET_ACTION:C011	C011	NONE	C011	C011	EDGE_NODE	1	0	0	1	0	NONE	Die Krautdroge bis zur Mittelstufe erhitzen und abschließen [Quelle von ‚hiervon‘ offen]. Zustand: mittlere Trockenstufe erreicht. Dieselbe erhitzte Krautdroge bis zur Mittelstufe abkühlen und abschließen [C011/C013-Arbeitshypothese].	0	COMPONENT_READING_EXTENDED_BY_C013	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f26r	f26r.2	7	dy	;	M009	4	4	FREE_DY_STRUCTURAL_CLOSURE:C011	NONE	NONE	NONE	NONE	RENDER_ONLY_STRUCTURAL	0	0	1	0	0	NONE	Die Krautdroge bis zur Mittelstufe erhitzen und abschließen [Quelle von ‚hiervon‘ offen]. Zustand: mittlere Trockenstufe erreicht. Dieselbe erhitzte Krautdroge bis zur Mittelstufe abkühlen und abschließen [C011/C013-Arbeitshypothese].	0	COMPONENT_READING_EXTENDED_BY_C013	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f115r	f115r.23	3	qokeod	heißen Auszug bereiten und abschließen	M010	1	2	SOURCE_ACTION:C014	C014	C014	NONE	NONE	EDGE_NODE	1	0	0	0	0	C014_WRITTEN_RESULT_SOURCE	Heißen Auszug bereiten und abschließen. Ergebnis: leicht getrocknete, abgeschlossene Zubereitung.	0	NEW_C014_EDGE_NODE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
f115r	f115r.23	4	chody	leicht getrocknete Zubereitung, abgeschlossen	M010	2	2	WRITTEN_FINAL_PREPARATION_STATE:C014	C014	NONE	NONE	C014	EDGE_NODE	1	0	0	0	0	WRITTEN_C014_FINAL_PREPARATION	Heißen Auszug bereiten und abschließen. Ergebnis: leicht getrocknete, abgeschlossene Zubereitung.	0	NEW_C014_EDGE_NODE	PASS_V76_83_ACTION_RIGHT_CONTEXTS__60_NOMINAL_15_ACTION_8_EOS__7_FINISHED_STATE_FIRSTS__3_LOCAL_READS_4_OPEN__C013_C014_ADDED__ZERO_WORD_DELTA
