global_statement_id	token_start	token_end	token_count	owner_de	surface_sequence	gdt407_literal_core_sequence_de	generic_filler_hits	comparison_only_not_meaning_input
G407-S408	81	84	4	F81R_UPPER_POOL	qol chedy chetyry qokechedy	FORTSETZEN | UMSETZEN · AKTIVER POSTEN | NEHMEN · GRAD I · EINSTELLEN · AKTIVER POSTEN · MARKIEREN · AKTIVER POSTEN | SETZEN · GRAD I · UMSETZEN · SCHLUSS	3	1
G407-S409	85	85	1	F81R_UPPER_POOL	qolsheedy	FORTSETZEN · HALTEN · GRAD II · SCHLUSS	0	1
G407-S410	86	89	4	F81R_UPPER_POOL	or ain arol oeeedy	EINHEIT | ANTEIL | AUSGANG · FORTSETZEN | AUSFÜHRUNG · GRAD III · SCHLUSS	0	1
G407-S411	90	93	4	F81R_UPPER_POOL	sain ol cheedy qokeedy	WÄHLEN · ANTEIL | FORTSETZEN | NEHMEN · GRAD II · HIER · AKTIVER POSTEN | SETZEN · GRAD II · SCHLUSS	1	1
G407-S412	94	94	1	F81R_UPPER_POOL	otedy	DANACH · GRAD I · SCHLUSS	0	1
G407-S413	95	95	1	F81R_LOWER_POOL	polchdy	EINSETZEN · FORTSETZEN · UMSETZEN · SCHLUSS	0	1
G407-S414	96	98	3	F81R_LOWER_POOL	qopchol qokor olpchedy	BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · NEHMEN · FORTSETZEN | SETZEN · EINHEIT | FORTSETZEN · EINSETZEN · UMSETZEN · SCHLUSS	0	1
G407-S415	99	103	5	F81R_LOWER_POOL	opol oraisy y checthy okeedy	AUSFÜHRUNG · EINSETZEN · FORTSETZEN | EINHEIT · ANTEIL · WÄHLEN · AKTIVER POSTEN | AKTIVER POSTEN | NEHMEN · EINSTELLEN · AKTIVER POSTEN | SETZEN · GRAD II · SCHLUSS	3	1
G407-S416	104	105	2	F81R_LOWER_POOL	shey qokedy	HALTEN · GRAD I · AKTIVER POSTEN | SETZEN · GRAD I · SCHLUSS	1	1
G407-S417	106	108	3	F81R_LOWER_POOL	ol ochedar osheedy	FORTSETZEN | AUSFÜHRUNG · UMSETZEN · AUSGANG | AUSFÜHRUNG · HALTEN · GRAD II · SCHLUSS	0	1
G407-S418	109	109	1	F81R_LOWER_POOL	shedy	HALTEN · GRAD I · SCHLUSS	0	1
G407-S419	110	111	2	F81R_LOWER_POOL	ol shedy	FORTSETZEN | HALTEN · GRAD I · SCHLUSS	0	1
G407-S420	112	112	1	F81R_LOWER_POOL	okeedy	SETZEN · GRAD II · SCHLUSS	0	1
G407-S421	113	114	2	F81R_LOWER_POOL	oror qokedy	EINHEIT · EINHEIT | SETZEN · GRAD I · SCHLUSS	0	1
G407-S422	115	115	1	F81R_LOWER_POOL	sheedy	HALTEN · GRAD II · SCHLUSS	0	1
G407-S423	116	117	2	F81R_LOWER_POOL	chedy qoteedy	UMSETZEN · AKTIVER POSTEN | DANACH · GRAD II · SCHLUSS	1	1
G407-S424	118	126	9	F81R_LOWER_POOL	olam qopchedy qol chedy qokeey odaiin rain daly dshedy	FORTSETZEN · HIER | BEGINNMARKER · AUSFÜHRUNG · EINSETZEN · UMSETZEN · AKTIVER POSTEN | FORTSETZEN | UMSETZEN · AKTIVER POSTEN | SETZEN · GRAD II · AKTIVER POSTEN | AUSFÜHRUNG · HIER · WERT | MARKIEREN · ANTEIL | ZIELORT · AKTIVER POSTEN | HALTEN · GRAD I · SCHLUSS	4	1
G407-S425	127	149	23	F81R_LOWER_POOL	qokal olkeey oteey olshey otey lol qotal chedy qol ol daiin ol chedar ol oly chey okain sheckhy soiin chey lchey par ody	SETZEN · ZIELORT | FORTSETZEN · GEBEN · GRAD II · AKTIVER POSTEN | DANACH · GRAD II · AKTIVER POSTEN | FORTSETZEN · HALTEN · GRAD I · AKTIVER POSTEN | DANACH · GRAD I · AKTIVER POSTEN | VERBINDUNG · FORTSETZEN | DANACH · ZIELORT | UMSETZEN · AKTIVER POSTEN | FORTSETZEN | FORTSETZEN | WERT | FORTSETZEN | UMSETZEN · AUSGANG | FORTSETZEN | FORTSETZEN · AKTIVER POSTEN | AKTIVER POSTEN | SETZEN · ANTEIL | HALTEN · GRAD I · NEHMEN · GEBEN · AKTIVER POSTEN | WÄHLEN · AUSFÜHRUNG · STUFE | AKTIVER POSTEN | VERBINDUNG · AKTIVER POSTEN | EINSETZEN · AUSGANG | AUSFÜHRUNG · SCHLUSS	10	1
G407-S426	150	153	4	F81R_LOWER_POOL	shecphy cheol qotaldar otedy	HALTEN · GRAD I · NEHMEN · EINSETZEN · AKTIVER POSTEN | NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG | DANACH · ZIELORT · HIER · AUSGANG | DANACH · GRAD I · SCHLUSS	1	1
G407-S427	154	156	3	F81R_LOWER_POOL	oly sar shedy	FORTSETZEN · AKTIVER POSTEN | WÄHLEN · AUSGANG | HALTEN · GRAD I · SCHLUSS	1	1
G407-S428	157	163	7	F81R_LOWER_POOL	qol otain okair okal chedy dy pchedy	FORTSETZEN | DANACH · ANTEIL | SETZEN · LAUF | SETZEN · ZIELORT | UMSETZEN · AKTIVER POSTEN | AKTIVER POSTEN | EINSETZEN · UMSETZEN · SCHLUSS	2	1
G407-S429	164	168	5	F81R_LOWER_POOL	qokey oteol qol sheor shedy	SETZEN · GRAD I · AKTIVER POSTEN | DANACH · GRAD I · FORTSETZEN | FORTSETZEN | HALTEN · GRAD I · EINHEIT | HALTEN · GRAD I · SCHLUSS	1	1
G407-S430	169	172	4	F81R_LOWER_POOL	qcthdys sol chedy qokedy	NEHMEN · EINSTELLEN · HIER · AKTIVER POSTEN · WÄHLEN | FORTSETZEN | UMSETZEN · AKTIVER POSTEN | SETZEN · GRAD I · SCHLUSS	2	1
G407-S431	173	173	1	F81R_LOWER_POOL	olkedy	FORTSETZEN · GEBEN · GRAD I · SCHLUSS	0	1
G407-S432	174	176	3	F81R_LOWER_POOL	dol qokchedy qokesdy	HIER · FORTSETZEN | SETZEN · UMSETZEN · AKTIVER POSTEN | SETZEN · GRAD I · WÄHLEN · SCHLUSS	1	1
G407-S433	177	184	8	F81R_LOWER_POOL	chedy qokar chey taiin otey lchl y sheedy	UMSETZEN · AKTIVER POSTEN | SETZEN · AUSGANG | AKTIVER POSTEN | EINSTELLEN · WERT | DANACH · GRAD I · AKTIVER POSTEN | VERBINDUNG · NEHMEN · VERBINDUNG | AKTIVER POSTEN | HALTEN · GRAD II · SCHLUSS	4	1
G407-S434	185	193	9	F81R_LOWER_POOL	shy chey l chcthy ytar olkaiin ol l shedy	AKTIVER POSTEN | AKTIVER POSTEN | VERBINDUNG | NEHMEN · NEHMEN · EINSTELLEN · AKTIVER POSTEN | AKTIVER POSTEN · EINSTELLEN · AUSGANG | FORTSETZEN · GEBEN · WERT | FORTSETZEN | VERBINDUNG | HALTEN · GRAD I · SCHLUSS	4	1
G407-S435	194	194	1	F81R_LOWER_POOL	qokedy	SETZEN · GRAD I · SCHLUSS	0	1
G407-S436	195	201	7	F81R_LOWER_POOL	sor olkar ol kaiin olkshdy sol shedy	WÄHLEN · EINHEIT | FORTSETZEN · GEBEN · AUSGANG | FORTSETZEN | GEBEN · WERT | FORTSETZEN · GEBEN · HALTEN · HIER · AKTIVER POSTEN | FORTSETZEN | HALTEN · GRAD I · SCHLUSS	1	1
G407-S437	202	203	2	F81R_LOWER_POOL	ol lchedy	FORTSETZEN | VERBINDUNG · UMSETZEN · SCHLUSS	0	1
G407-S438	204	204	1	F81R_LOWER_POOL	shedy	HALTEN · GRAD I · SCHLUSS	0	1
G407-S439	205	206	2	F81R_LOWER_POOL	shy olkedy	AKTIVER POSTEN | FORTSETZEN · GEBEN · GRAD I · SCHLUSS	1	1
G407-S440	207	210	4	F81R_LOWER_POOL	ches ar or oraiiin	NEHMEN · GRAD I · WÄHLEN | AUSGANG | EINHEIT | EINHEIT · VARIANTE · WERT	0	1
