global_ordinal	line_ordinal	page	locus	token_index	eva	section	language	hand	v48_line_surface_match	route	review_class	review_position	raw_v48_unknown_before	working_meaning_de	contextual_render_de	composition	semantic_features	confidence	meaning_source	scope_state	baseline_v48_gloss_de	baseline_v48_source	baseline_v48_scope_state	value_attachment	explicit_action	explicit_action_de
13	2	f81r	f81r.2	6	otar	B	B	2	1	INHERITED_V48	E	0	0	kalte Drogenfraktion I im Ansatz	kalte Drogenfraktion I im Ansatz	INHERITED_V48_LINE_CARD	MATERIAL+STATE	KNOWN_EXACT_WHOLE	GDT654:NEW_EXACT_WHOLE	KNOWN_EXACT_WHOLE	kalte Drogenfraktion I im Ansatz	GDT654:NEW_EXACT_WHOLE	KNOWN_EXACT_WHOLE	0	0	NONE
14	2	f81r	f81r.2	7	chedy	B	B	2	1	INHERITED_V48	E	0	0	trocken in der Mitte des Grades, abgeschlossen	trocken in der Mitte des Grades, abgeschlossen	INHERITED_V48_LINE_CARD	STAGE+STATE	KNOWN_EXACT_WHOLE	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	trocken in der Mitte des Grades, abgeschlossen	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	0	0	NONE
15	2	f81r	f81r.2	8	oky	B	B	2	1	INHERITED_V48	E	0	0	heißer Ansatz am Anfang des Grades	heißer Ansatz am Anfang des Grades	INHERITED_V48_LINE_CARD	STAGE+MATERIAL+STATE	KNOWN_EXACT_WHOLE	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	heißer Ansatz am Anfang des Grades	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	0	0	NONE
16	3	f81r	f81r.3	1	qotey	B	B	2	1	INHERITED_V48	E	0	0	kalt in der Mitte des Grades	kalt in der Mitte des Grades	INHERITED_V48_LINE_CARD	STAGE+STATE	KNOWN_EXACT_WHOLE	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	kalt in der Mitte des Grades	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	0	0	NONE
17	3	f81r	f81r.3	2	l	B	B	2	1	INHERITED_V48	E	0	0	Holzdroge in der gebundenen Anschlussform	Holzdroge in der gebundenen Anschlussform	INHERITED_V48_LINE_CARD	MATERIAL	READER_BOUNDARY_UNSTABLE	GDT663:L_READER_MERGE_RIGHT:lchees	READER_BOUNDARY_UNSTABLE	Holzdroge in der gebundenen Anschlussform	GDT663:L_READER_MERGE_RIGHT:lchees	READER_BOUNDARY_UNSTABLE	0	0	NONE
18	3	f81r	f81r.3	3	chees	B	B	2	1	INHERITED_V48	E	0	0	vollständig getrocknete Kräutermischung	vollständig getrocknete Kräutermischung	INHERITED_V48_LINE_CARD	DESCRIPTOR	READER_BOUNDARY_UNSTABLE	GDT664:EXACT_WHOLE:chees	READER_BOUNDARY_UNSTABLE	vollständig getrocknete Kräutermischung	GDT664:EXACT_WHOLE:chees	READER_BOUNDARY_UNSTABLE	0	0	NONE
19	3	f81r	f81r.3	4	olkal	B	B	2	1	INHERITED_V48	E	0	0	Holzdrogenansatz aus Rohstoff I leicht erhitzt	Holzdrogenansatz aus Rohstoff I leicht erhitzt	INHERITED_V48_LINE_CARD	MATERIAL+STATE	KNOWN_EXACT_WHOLE	GDT665:EXACT_WHOLE:olkal	KNOWN_EXACT_WHOLE	Holzdrogenansatz aus Rohstoff I leicht erhitzt	GDT665:EXACT_WHOLE:olkal	KNOWN_EXACT_WHOLE	0	0	NONE
20	3	f81r	f81r.3	5	ol	B	B	2	1	INHERITED_V48	E	0	0	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	INHERITED_V48_LINE_CARD	MATERIAL	AMBIGUOUS_ACTIVE_RIVAL	V13:QUALITY_STATE_MATERIAL_CARRIER	AMBIGUOUS_ACTIVE_RIVAL	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	V13:QUALITY_STATE_MATERIAL_CARRIER	AMBIGUOUS_ACTIVE_RIVAL	0	0	NONE
21	3	f81r	f81r.3	6	chedy	B	B	2	1	INHERITED_V48	E	0	0	trocken in der Mitte des Grades, abgeschlossen	trocken in der Mitte des Grades, abgeschlossen	INHERITED_V48_LINE_CARD	STAGE+STATE	KNOWN_EXACT_WHOLE	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	trocken in der Mitte des Grades, abgeschlossen	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	0	0	NONE
22	3	f81r	f81r.3	7	okar	B	B	2	1	INHERITED_V48	E	0	0	heiße Drogenfraktion I im Ansatz	heiße Drogenfraktion I im Ansatz	INHERITED_V48_LINE_CARD	MATERIAL+STATE	KNOWN_EXACT_WHOLE	GDT654:NEW_EXACT_WHOLE	KNOWN_EXACT_WHOLE	heiße Drogenfraktion I im Ansatz	GDT654:NEW_EXACT_WHOLE	KNOWN_EXACT_WHOLE	0	0	NONE
23	3	f81r	f81r.3	8	shedy	B	B	2	1	INHERITED_V48	E	0	0	feucht in der Mitte des Grades, abgeschlossen	feucht in der Mitte des Grades, abgeschlossen	INHERITED_V48_LINE_CARD	STAGE+STATE	READER_BOUNDARY_UNSTABLE	GDT647:FAMILY_MIGRATION	READER_BOUNDARY_UNSTABLE	feucht in der Mitte des Grades, abgeschlossen	GDT647:FAMILY_MIGRATION	READER_BOUNDARY_UNSTABLE	0	0	NONE
24	4	f81r	f81r.4	1	dchedy	B	B	2	1	INHERITED_V48	E	0	0	abgemessene Trockendroge, fertig	abgemessene Trockendroge, fertig	INHERITED_V48_LINE_CARD	MATERIAL+STATE	KNOWN_EXACT_WHOLE	GDT662:EXACT_WHOLE:dchedy	KNOWN_EXACT_WHOLE	abgemessene Trockendroge, fertig	GDT662:EXACT_WHOLE:dchedy	KNOWN_EXACT_WHOLE	0	0	NONE
25	4	f81r	f81r.4	2	qokain	B	B	2	1	INHERITED_V48	E	0	0	heiß, Grad II	heiß, Grad II	INHERITED_V48_LINE_CARD	STAGE+STATE	KNOWN_EXACT_WHOLE	V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE	heiß, Grad II	V13:TARGET_SURFACE_DEFAULT	KNOWN_EXACT_WHOLE	0	0	NONE
26	4	f81r	f81r.4	3	ol	B	B	2	1	INHERITED_V48	E	0	0	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	INHERITED_V48_LINE_CARD	MATERIAL	AMBIGUOUS_ACTIVE_RIVAL	V13:QUALITY_STATE_MATERIAL_CARRIER	AMBIGUOUS_ACTIVE_RIVAL	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	V13:QUALITY_STATE_MATERIAL_CARRIER	AMBIGUOUS_ACTIVE_RIVAL	0	0	NONE
27	4	f81r	f81r.4	4	ol	B	B	2	1	INHERITED_V48	E	0	0	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	INHERITED_V48_LINE_CARD	MATERIAL	AMBIGUOUS_ACTIVE_RIVAL	V13:QUALITY_STATE_MATERIAL_CARRIER	AMBIGUOUS_ACTIVE_RIVAL	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	V13:QUALITY_STATE_MATERIAL_CARRIER	AMBIGUOUS_ACTIVE_RIVAL	0	0	NONE
28	4	f81r	f81r.4	5	chcthy	B	B	2	1	INHERITED_V48	E	0	0	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	INHERITED_V48_LINE_CARD	MATERIAL+STATE	KNOWN_CONTEXT_LICENSED	V13:DRY_CTH_MATERIAL	KNOWN_CONTEXT_LICENSED	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	V13:DRY_CTH_MATERIAL	KNOWN_CONTEXT_LICENSED	0	0	NONE
29	4	f81r	f81r.4	6	ykeedy	B	B	2	1	INHERITED_V48	E	0	0	Eintrag/Bezug: heiß am Gradende, abgeschlossen	Eintrag/Bezug: heiß am Gradende, abgeschlossen	INHERITED_V48_LINE_CARD	STAGE+STATE	KNOWN_EXACT_WHOLE	GDT661:EXACT_WHOLE:ykeedy	KNOWN_EXACT_WHOLE	Eintrag/Bezug: heiß am Gradende, abgeschlossen	GDT661:EXACT_WHOLE:ykeedy	KNOWN_EXACT_WHOLE	0	0	NONE
30	4	f81r	f81r.4	7	al	B	B	2	1	INHERITED_V48	E	0	0	Rohstoffklasse I	Rohstoffklasse I	INHERITED_V48_LINE_CARD	MATERIAL	KNOWN_EXACT_WHOLE	GDT655:NEW_EXACT_WHOLE	KNOWN_EXACT_WHOLE	Rohstoffklasse I	GDT655:NEW_EXACT_WHOLE	KNOWN_EXACT_WHOLE	0	0	NONE
31	5	f81r	f81r.5	1	qol	B	B	2	1	INHERITED_V48	E	0	0	Drogenstoff zugeben	Drogenstoff zugeben	INHERITED_V48_LINE_CARD	ACTION+MATERIAL	KNOWN_EXACT_WHOLE	GDT662:EXACT_WHOLE:qol	KNOWN_EXACT_WHOLE	Drogenstoff zugeben	GDT662:EXACT_WHOLE:qol	KNOWN_EXACT_WHOLE	0	1	Drogenstoff zugeben
32	5	f81r	f81r.5	2	cheol	B	B	2	1	INHERITED_V48	E	0	0	trockener Drogenstoff	trockener Drogenstoff	INHERITED_V48_LINE_CARD	MATERIAL+STATE	KNOWN_EXACT_WHOLE	GDT642:ROUND_01	KNOWN_EXACT_WHOLE	trockener Drogenstoff	GDT642:ROUND_01	KNOWN_EXACT_WHOLE	0	0	NONE
33	5	f81r	f81r.5	3	okeey	B	B	2	1	INHERITED_V48	E	0	0	heißer Ansatz am Ende des Grades	heißer Ansatz am Ende des Grades	INHERITED_V48_LINE_CARD	STAGE+MATERIAL+STATE	KNOWN_EXACT_WHOLE	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	heißer Ansatz am Ende des Grades	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	0	0	NONE
34	5	f81r	f81r.5	4	ol	B	B	2	1	INHERITED_V48	E	0	0	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	INHERITED_V48_LINE_CARD	MATERIAL	AMBIGUOUS_ACTIVE_RIVAL	V13:QUALITY_STATE_MATERIAL_CARRIER	AMBIGUOUS_ACTIVE_RIVAL	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	V13:QUALITY_STATE_MATERIAL_CARRIER	AMBIGUOUS_ACTIVE_RIVAL	0	0	NONE
35	5	f81r	f81r.5	5	ol	B	B	2	1	INHERITED_V48	E	0	0	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	INHERITED_V48_LINE_CARD	MATERIAL	AMBIGUOUS_ACTIVE_RIVAL	V13:QUALITY_STATE_MATERIAL_CARRIER	AMBIGUOUS_ACTIVE_RIVAL	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	V13:QUALITY_STATE_MATERIAL_CARRIER	AMBIGUOUS_ACTIVE_RIVAL	0	0	NONE
36	5	f81r	f81r.5	6	olaiin	B	B	2	1	INHERITED_V48	E	0	0	Drogenstoff, Menge III	Drogenstoff, Menge III	INHERITED_V48_LINE_CARD	QUANTITY+MATERIAL	READER_BOUNDARY_UNSTABLE	GDT663:EXACT_WHOLE:olaiin	READER_BOUNDARY_UNSTABLE	Drogenstoff, Menge III	GDT663:EXACT_WHOLE:olaiin	READER_BOUNDARY_UNSTABLE	0	0	NONE
37	5	f81r	f81r.5	7	ol	B	B	2	1	INHERITED_V48	E	0	0	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	INHERITED_V48_LINE_CARD	MATERIAL	AMBIGUOUS_ACTIVE_RIVAL	V13:QUALITY_STATE_MATERIAL_CARRIER	AMBIGUOUS_ACTIVE_RIVAL	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	V13:QUALITY_STATE_MATERIAL_CARRIER	AMBIGUOUS_ACTIVE_RIVAL	0	0	NONE
38	5	f81r	f81r.5	8	or	B	B	2	1	INHERITED_V48	E	0	0	Drogenportion	Drogenportion	INHERITED_V48_LINE_CARD	MATERIAL	READER_BOUNDARY_UNSTABLE	GDT654:REVISE_AMBIGUOUS_TO_EXACT	READER_BOUNDARY_UNSTABLE	Drogenportion	GDT654:REVISE_AMBIGUOUS_TO_EXACT	READER_BOUNDARY_UNSTABLE	0	0	NONE
39	5	f81r	f81r.5	9	ain	B	B	2	1	INHERITED_V48	E	0	0	Menge-/Klassenwert II	Klassenwert II der unmittelbar vorangehenden Drogenportion	INHERITED_V48_LINE_CARD	MATERIAL	READER_BOUNDARY_UNSTABLE	V13:VALUE_MINIM_SERIES	READER_BOUNDARY_UNSTABLE	Menge-/Klassenwert II	V13:VALUE_MINIM_SERIES	READER_BOUNDARY_UNSTABLE	1	0	NONE
40	6	f81r	f81r.6	1	sar	B	B	2	1	INHERITED_V48	E	0	0	Samenfraktion I	Samenfraktion I	INHERITED_V48_LINE_CARD	MATERIAL	KNOWN_EXACT_WHOLE	V13:SCOPED_RESIDUAL_HEAD_FORM	KNOWN_EXACT_WHOLE	Samenfraktion I	V13:SCOPED_RESIDUAL_HEAD_FORM	KNOWN_EXACT_WHOLE	0	0	NONE
41	6	f81r	f81r.6	2	ol	B	B	2	1	INHERITED_V48	E	0	0	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	INHERITED_V48_LINE_CARD	MATERIAL	AMBIGUOUS_ACTIVE_RIVAL	V13:QUALITY_STATE_MATERIAL_CARRIER	AMBIGUOUS_ACTIVE_RIVAL	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	V13:QUALITY_STATE_MATERIAL_CARRIER	AMBIGUOUS_ACTIVE_RIVAL	0	0	NONE
42	6	f81r	f81r.6	3	eses	B	B	2	1	LOCAL_WHOLE_REVIEW	W	1	1	zwei Arzneispecies der Mittelstufe	zwei Arzneispecies der Mittelstufe	LEARNED_ES_REPEAT	QUANTITY+STAGE+MATERIAL	LOW	GDT674_RAW_UNKNOWN_REVIEW_CARD	PAGE_LOCAL_REVIEW_NOT_PROMOTED	[eses:?]	OPEN	UNKNOWN_SURFACE	0	0	NONE
43	6	f81r	f81r.6	4	oteey	B	B	2	1	INHERITED_V48	E	0	0	kalter Ansatz am Ende des Grades	kalter Ansatz am Ende des Grades	INHERITED_V48_LINE_CARD	STAGE+MATERIAL+STATE	KNOWN_EXACT_WHOLE	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	kalter Ansatz am Ende des Grades	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	0	0	NONE
44	6	f81r	f81r.6	5	shor	B	B	2	1	INHERITED_V48	E	0	0	Blüten-/Fruchtstand; reproduktiver Teil	Blüten-/Fruchtstand; reproduktiver Teil	INHERITED_V48_LINE_CARD	QUANTITY	KNOWN_CONTEXT_LICENSED	V13:PART_OR_FORM	KNOWN_CONTEXT_LICENSED	Blüten-/Fruchtstand; reproduktiver Teil	V13:PART_OR_FORM	KNOWN_CONTEXT_LICENSED	0	0	NONE
45	6	f81r	f81r.6	6	qokeey	B	B	2	1	INHERITED_V48	E	0	0	heiß am Ende des Grades	heiß am Ende des Grades	INHERITED_V48_LINE_CARD	STAGE+STATE	KNOWN_EXACT_WHOLE	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	heiß am Ende des Grades	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	0	0	NONE
46	6	f81r	f81r.6	7	ol	B	B	2	1	INHERITED_V48	E	0	0	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	INHERITED_V48_LINE_CARD	MATERIAL	AMBIGUOUS_ACTIVE_RIVAL	V13:QUALITY_STATE_MATERIAL_CARRIER	AMBIGUOUS_ACTIVE_RIVAL	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	V13:QUALITY_STATE_MATERIAL_CARRIER	AMBIGUOUS_ACTIVE_RIVAL	0	0	NONE
47	7	f81r	f81r.7	1	dshees	B	B	2	1	ROLE_COMPOSED_REVIEW	P	1	1	eine Charge vollständig eingeweichter Droge abmessen	eine Charge vollständig eingeweichter Droge abmessen	D_MEASURE+SH_MOIST+EE_END+S_TERM_SPECIES	ACTION+QUANTITY+MATERIAL+STATE	MEDIUM	GDT674_RAW_UNKNOWN_REVIEW_CARD	PAGE_LOCAL_REVIEW_NOT_PROMOTED	[dshees:?]	OPEN	UNKNOWN_SURFACE	0	0	NONE
48	7	f81r	f81r.7	2	okain	B	B	2	1	INHERITED_V48	E	0	0	heiß im Zubereitungsrahmen, Grad II	heiß im Zubereitungsrahmen, Grad II	INHERITED_V48_LINE_CARD	STAGE+STATE	KNOWN_CONTEXT_LICENSED	V13:QUALITY_DEGREE_SERIES	KNOWN_CONTEXT_LICENSED	heiß im Zubereitungsrahmen, Grad II	V13:QUALITY_DEGREE_SERIES	KNOWN_CONTEXT_LICENSED	0	0	NONE
49	7	f81r	f81r.7	3	chcthy	B	B	2	1	INHERITED_V48	E	0	0	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	INHERITED_V48_LINE_CARD	MATERIAL+STATE	KNOWN_CONTEXT_LICENSED	V13:DRY_CTH_MATERIAL	KNOWN_CONTEXT_LICENSED	trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut	V13:DRY_CTH_MATERIAL	KNOWN_CONTEXT_LICENSED	0	0	NONE
50	7	f81r	f81r.7	4	otey	B	B	2	1	INHERITED_V48	E	0	0	kalter Ansatz in der Mitte des Grades	kalter Ansatz in der Mitte des Grades	INHERITED_V48_LINE_CARD	STAGE+MATERIAL+STATE	KNOWN_EXACT_WHOLE	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	kalter Ansatz in der Mitte des Grades	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	0	0	NONE
51	7	f81r	f81r.7	5	okain	B	B	2	1	INHERITED_V48	E	0	0	heiß im Zubereitungsrahmen, Grad II	heiß im Zubereitungsrahmen, Grad II	INHERITED_V48_LINE_CARD	STAGE+STATE	KNOWN_CONTEXT_LICENSED	V13:QUALITY_DEGREE_SERIES	KNOWN_CONTEXT_LICENSED	heiß im Zubereitungsrahmen, Grad II	V13:QUALITY_DEGREE_SERIES	KNOWN_CONTEXT_LICENSED	0	0	NONE
52	8	f81r	f81r.8	1	pchedy	B	B	2	1	INHERITED_V48	E	0	0	getrocknetes Pulver	getrocknetes Pulver	INHERITED_V48_LINE_CARD	MATERIAL	READER_BOUNDARY_UNSTABLE	V13:SCOPED_CONCRETE_HEAD_FORM	READER_BOUNDARY_UNSTABLE	getrocknetes Pulver	V13:SCOPED_CONCRETE_HEAD_FORM	READER_BOUNDARY_UNSTABLE	0	0	NONE
53	8	f81r	f81r.8	2	qokeey	B	B	2	1	INHERITED_V48	E	0	0	heiß am Ende des Grades	heiß am Ende des Grades	INHERITED_V48_LINE_CARD	STAGE+STATE	KNOWN_EXACT_WHOLE	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	heiß am Ende des Grades	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	0	0	NONE
54	8	f81r	f81r.8	3	oty	B	B	2	1	INHERITED_V48	E	0	0	kalter Ansatz am Anfang des Grades	kalter Ansatz am Anfang des Grades	INHERITED_V48_LINE_CARD	STAGE+MATERIAL+STATE	KNOWN_EXACT_WHOLE	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	kalter Ansatz am Anfang des Grades	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	0	0	NONE
55	8	f81r	f81r.8	4	qotey	B	B	2	1	INHERITED_V48	E	0	0	kalt in der Mitte des Grades	kalt in der Mitte des Grades	INHERITED_V48_LINE_CARD	STAGE+STATE	KNOWN_EXACT_WHOLE	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	kalt in der Mitte des Grades	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	0	0	NONE
56	8	f81r	f81r.8	5	oteey	B	B	2	1	INHERITED_V48	E	0	0	kalter Ansatz am Ende des Grades	kalter Ansatz am Ende des Grades	INHERITED_V48_LINE_CARD	STAGE+MATERIAL+STATE	KNOWN_EXACT_WHOLE	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	kalter Ansatz am Ende des Grades	GDT647:FAMILY_MIGRATION	KNOWN_EXACT_WHOLE	0	0	NONE
57	8	f81r	f81r.8	6	oly	B	B	2	1	INHERITED_V48	E	0	0	abseihen	abseihen	INHERITED_V48_LINE_CARD	ACTION	KNOWN_EXACT_WHOLE	GDT662:EXACT_WHOLE:oly	KNOWN_EXACT_WHOLE	abseihen	GDT662:EXACT_WHOLE:oly	KNOWN_EXACT_WHOLE	0	1	abseihen
