global_ordinal	locus	token_index	surface	review_class	working_meaning_de	it2a_operation	it2a_form	rf1b_operation	rf1b_form	reader_support	decision	zl3b_line	it2a_line	rf1b_line
96	f81r.16	2	qopchol	P	nimm getrockneten Pulverstoff	EXACT	qopchol	EXACT	qopchol	BOTH_EXACT	HOLD_EXPLORATORY_COMPOSITION	polchdy qopchol qokor olpchedy opol oraisy	polchdy qopchol qokor olpchedy opol oroiry	polch y qopchol qo or olpche y opol oraisy
98	f81r.16	4	olpchedy	P	Holzdrogenansatz zu Trockenpulver verarbeiten und fertigstellen	EXACT	olpchedy	ONE	y	ONE_EXACT	HOLD_EXPLORATORY_COMPOSITION	polchdy qopchol qokor olpchedy opol oraisy	polchdy qopchol qokor olpchedy opol oroiry	polch y qopchol qo or olpche y opol oraisy
100	f81r.16	6	oraisy	P	eine Portion Arzneispecies der Form I abteilen und abschließen	ONE	oroiry	EXACT	oraisy	ONE_EXACT	HOLD_EXPLORATORY_COMPOSITION	polchdy qopchol qokor olpchedy opol oraisy	polchdy qopchol qokor olpchedy opol oroiry	polch y qopchol qo or olpche y opol oraisy
101	f81r.17	1	y	O	Eintrag:	MERGE_2	ychecthy	EXACT	y	ONE_EXACT	HOLD_OCCURRENCE_CONTEXT_ONLY	y checthy okeedy shey qokedy ol ochedar	ychecthy okeedy shey qokedy ol ochedar	y checthy okeedy shey qokedy ol ochedar
108	f81r.18	1	osheedy	P	Ansatz vollständig einweichen und fertigstellen	EXACT	osheedy	ONE	she	ONE_EXACT	HOLD_EXPLORATORY_COMPOSITION	osheedy shedy ol shedy okeedy oror	osheedy shedy ol shedy okeedy orar	oshee y she y ol shedy okeedy orar
113	f81r.18	6	oror	P	zwei Portionen	ONE	orar	ONE	orar	NEITHER_EXACT	HOLD_EXPLORATORY_COMPOSITION	osheedy shedy ol shedy okeedy oror	osheedy shedy ol shedy okeedy orar	oshee y she y ol shedy okeedy orar
118	f81r.19	5	olam	P	ein Maß Holzdroge im Ansatz	EXACT	olam	SPLIT_2	olam	ONE_EXACT	HOLD_EXPLORATORY_COMPOSITION	qokedy sheedy chedy qoteedy olam	qokedy sheedy chedy qoteedy olam	qokedy shee y chedy qoteedy ol am
150	f81r.24	3	shecphy	P	Arzneikompositum bis zur Mittelstufe einweichen und abschließen	EXACT	shecphy	EXACT	shecphy	BOTH_EXACT	HOLD_EXPLORATORY_COMPOSITION	par ody shecphy cheol qotaldar otedy oly	parody shecphy cheol qotal dar otedy oly	par ody shecphy cheol qotal ar otedy oly
152	f81r.24	5	qotaldar	P	erste Fraktion gekühlter Rohdroge I abmessen	SPLIT_2	qotaldar	ONE	ar	NEITHER_EXACT	HOLD_EXPLORATORY_COMPOSITION	par ody shecphy cheol qotaldar otedy oly	parody shecphy cheol qotal dar otedy oly	par ody shecphy cheol qotal ar otedy oly
162	f81r.25	8	dy	O	Qualitäts-/Wertfeld geschlossen	EXACT	dy	EXACT	dy	BOTH_EXACT	HOLD_OCCURRENCE_CONTEXT_ONLY	sar shedy qol otain okair okal chedy dy	sar shedy qol otain okais okal chedy dy	s r shedy qol otain okair okal chedy dy
176	f81r.28	1	qokesdy	P	erhitze Saatgut bis zur Mittelstufe und stelle es fertig	EXACT	qokesdy	EXACT	qokesdy	BOTH_EXACT	HOLD_EXPLORATORY_COMPOSITION	qokesdy chedy qokar chey taiin otey lchl	qokesdy chedy qokar chey taiin otey lchl	qokesdy chedy qokar chey taiin otey lchl
182	f81r.28	7	lchl	W	getrocknetes Drogenholz	EXACT	lchl	EXACT	lchl	BOTH_EXACT	HOLD_LOCAL_WHOLE	qokesdy chedy qokar chey taiin otey lchl	qokesdy chedy qokar chey taiin otey lchl	qokesdy chedy qokar chey taiin otey lchl
183	f81r.29	1	y	O	Eintrag:	EXACT	y	MERGE_2	ysheedy	ONE_EXACT	HOLD_OCCURRENCE_CONTEXT_ONLY	y sheedy shy chey l chcthy ytar olkaiin ol	y sheedy shy chey lchcthy ytar olkaiin ol	ysheedy shy chey l chcthy ytar olkaiin ol
196	f81r.30	5	olkar	P	erste erhitzte Holzdrogenfraktion im Ansatz	EXACT	olkar	EXACT	olkar	BOTH_EXACT	HOLD_EXPLORATORY_COMPOSITION	l shedy qokedy sor olkar ol kaiin olkshdy	l shedy qokedy sor olkar olkaiin olkshdy	l e y qokedy sor olkar ol kaiin olkdy
199	f81r.30	8	olkshdy	P	Holzdrogenansatz erhitzen, einweichen und fertigstellen	EXACT	olkshdy	ONE	olkdy	ONE_EXACT	HOLD_EXPLORATORY_COMPOSITION	l shedy qokedy sor olkar ol kaiin olkshdy	l shedy qokedy sor olkar olkaiin olkshdy	l e y qokedy sor olkar ol kaiin olkdy
