global_ordinal	line_ordinal	page	locus	token_index	eva	section	language	hand	v48_line_surface_match
171	27	f81r	f81r.27	2	chedy	B	B	2	1
172	27	f81r	f81r.27	3	qokedy	B	B	2	1
173	27	f81r	f81r.27	4	olkedy	B	B	2	1
174	27	f81r	f81r.27	5	dol	B	B	2	1
175	27	f81r	f81r.27	6	qokchedy	B	B	2	1
176	28	f81r	f81r.28	1	qokesdy	B	B	2	1
177	28	f81r	f81r.28	2	chedy	B	B	2	1
178	28	f81r	f81r.28	3	qokar	B	B	2	1
179	28	f81r	f81r.28	4	chey	B	B	2	1
180	28	f81r	f81r.28	5	taiin	B	B	2	1
181	28	f81r	f81r.28	6	otey	B	B	2	1
182	28	f81r	f81r.28	7	lchl	B	B	2	1
183	29	f81r	f81r.29	1	y	B	B	2	1
184	29	f81r	f81r.29	2	sheedy	B	B	2	1
185	29	f81r	f81r.29	3	shy	B	B	2	1
186	29	f81r	f81r.29	4	chey	B	B	2	1
187	29	f81r	f81r.29	5	l	B	B	2	1
188	29	f81r	f81r.29	6	chcthy	B	B	2	1
189	29	f81r	f81r.29	7	ytar	B	B	2	1
190	29	f81r	f81r.29	8	olkaiin	B	B	2	1
191	29	f81r	f81r.29	9	ol	B	B	2	1
192	30	f81r	f81r.30	1	l	B	B	2	1
193	30	f81r	f81r.30	2	shedy	B	B	2	1
194	30	f81r	f81r.30	3	qokedy	B	B	2	1
195	30	f81r	f81r.30	4	sor	B	B	2	1
196	30	f81r	f81r.30	5	olkar	B	B	2	1
197	30	f81r	f81r.30	6	ol	B	B	2	1
198	30	f81r	f81r.30	7	kaiin	B	B	2	1
199	30	f81r	f81r.30	8	olkshdy	B	B	2	1
200	31	f81r	f81r.31	1	sol	B	B	2	1
201	31	f81r	f81r.31	2	shedy	B	B	2	1
202	31	f81r	f81r.31	3	ol	B	B	2	1
203	31	f81r	f81r.31	4	lchedy	B	B	2	1
204	31	f81r	f81r.31	5	shedy	B	B	2	1
205	31	f81r	f81r.31	6	shy	B	B	2	1
206	31	f81r	f81r.31	7	olkedy	B	B	2	1
207	31	f81r	f81r.31	8	ches	B	B	2	1
208	31	f81r	f81r.31	9	ar	B	B	2	1
209	31	f81r	f81r.31	10	or	B	B	2	1
210	31	f81r	f81r.31	11	oraiiin	B	B	2	1
