statement_id	record_id	page	clause_count	clause_family_sequence	macro_token_count	macro_program	macro_covered_clauses	single_clauses	compression_saved_tokens	reconstructed_clause_family_sequence
H4-S004	H4	f55v	2	SET>CONTINUE	1	M06[H4-S004-U01+H4-S004-U02]	2	0	1	SET>CONTINUE
H5-S001	H5	f56r	2	PROCESS>SET	2	SINGLE_PROCESS[H5-S001-U01] | SINGLE_SET[H5-S001-U02]	0	2	0	PROCESS>SET
H5-S002	H5	f56r	2	SET>PASSAGE	1	M07[H5-S002-U01+H5-S002-U02]	2	0	1	SET>PASSAGE
H5-S003	H5	f56r	3	HOLD>PROCESS>SET	3	SINGLE_HOLD[H5-S003-U01] | SINGLE_PROCESS[H5-S003-U02] | SINGLE_SET[H5-S003-U03]	0	3	0	HOLD>PROCESS>SET
H5-S004	H5	f56r	3	SET>SET>PROCESS	2	M19[H5-S004-U01+H5-S004-U02] | SINGLE_PROCESS[H5-S004-U03]	2	1	1	SET>SET>PROCESS
H5-S005	H5	f56r	2	SET>APPLY	2	SINGLE_SET[H5-S005-U01] | SINGLE_APPLY[H5-S005-U02]	0	2	0	SET>APPLY
H5-S006	H5	f56r	1	CONTINUE	1	SINGLE_CONTINUE[H5-S006-U01]	0	1	0	CONTINUE
B1-S001	B1	f81v	1	SET	1	SINGLE_SET[B1-S001-U01]	0	1	0	SET
B1-S002	B1	f81v	12	SET>SET>CONTINUE>CONTINUE>CONTINUE>CONTINUE>CONTINUE>CONTINUE>PASSAGE>SET>PASSAGE>TRANSFER	6	M19[B1-S002-U01+B1-S002-U02] | M01[B1-S002-U03+B1-S002-U04+B1-S002-U05] | M01[B1-S002-U06+B1-S002-U07+B1-S002-U08] | M08[B1-S002-U09+B1-S002-U10] | SINGLE_PASSAGE[B1-S002-U11] | SINGLE_TRANSFER[B1-S002-U12]	10	2	6	SET>SET>CONTINUE>CONTINUE>CONTINUE>CONTINUE>CONTINUE>CONTINUE>PASSAGE>SET>PASSAGE>TRANSFER
B1-S003	B1	f81v	2	CONTINUE>HOLD	2	SINGLE_CONTINUE[B1-S003-U01] | SINGLE_HOLD[B1-S003-U02]	0	2	0	CONTINUE>HOLD
B1-S004	B1	f81v	3	TRANSFER>CONTINUE>SETTLE	2	M15[B1-S004-U01+B1-S004-U02] | SINGLE_SETTLE[B1-S004-U03]	2	1	1	TRANSFER>CONTINUE>SETTLE
B1-S005	B1	f81v	1	CONTINUE	1	SINGLE_CONTINUE[B1-S005-U01]	0	1	0	CONTINUE
B1-S006	B1	f81v	2	SET>PASSAGE	1	M07[B1-S006-U01+B1-S006-U02]	2	0	1	SET>PASSAGE
B1-S007	B1	f81v	1	SET	1	SINGLE_SET[B1-S007-U01]	0	1	0	SET
B1-S008	B1	f81v	4	CONTINUE>WARM>CONTINUE>SETTLE	3	SINGLE_CONTINUE[B1-S008-U01] | M18[B1-S008-U02+B1-S008-U03] | SINGLE_SETTLE[B1-S008-U04]	2	2	1	CONTINUE>WARM>CONTINUE>SETTLE
B1-S009	B1	f81v	1	SET	1	SINGLE_SET[B1-S009-U01]	0	1	0	SET
B1-S010	B1	f81v	1	SET	1	SINGLE_SET[B1-S010-U01]	0	1	0	SET
B1-S011	B1	f81v	2	PASSAGE>SET	1	M08[B1-S011-U01+B1-S011-U02]	2	0	1	PASSAGE>SET
B1-S012	B1	f81v	3	WASH>SET>WASH	3	SINGLE_WASH[B1-S012-U01] | SINGLE_SET[B1-S012-U02] | SINGLE_WASH[B1-S012-U03]	0	3	0	WASH>SET>WASH
B1-S013	B1	f81v	1	WASH	1	SINGLE_WASH[B1-S013-U01]	0	1	0	WASH
B1-S014	B1	f81v	4	TRANSFER>CONTINUE>LEAD_OUT>CONTINUE	2	M03[B1-S014-U01+B1-S014-U02+B1-S014-U03] | SINGLE_CONTINUE[B1-S014-U04]	3	1	2	TRANSFER>CONTINUE>LEAD_OUT>CONTINUE
B1-S015	B1	f81v	1	SET	1	SINGLE_SET[B1-S015-U01]	0	1	0	SET
B1-S016	B1	f81v	4	SET>SET>CONTINUE>SETTLE	2	M19[B1-S016-U01+B1-S016-U02] | M11[B1-S016-U03+B1-S016-U04]	4	0	2	SET>SET>CONTINUE>SETTLE
B1-S017	B1	f81v	2	CONTINUE>TRANSFER	1	M17[B1-S017-U01+B1-S017-U02]	2	0	1	CONTINUE>TRANSFER
B1-S018	B1	f81v	3	LEAD_OUT>HOLD>COLLECT	3	SINGLE_LEAD_OUT[B1-S018-U01] | SINGLE_HOLD[B1-S018-U02] | SINGLE_COLLECT[B1-S018-U03]	0	3	0	LEAD_OUT>HOLD>COLLECT
B1-S019	B1	f81v	1	SETTLE	1	SINGLE_SETTLE[B1-S019-U01]	0	1	0	SETTLE
B1-S020	B1	f81v	2	WARM>STRAIN	2	SINGLE_WARM[B1-S020-U01] | SINGLE_STRAIN[B1-S020-U02]	0	2	0	WARM>STRAIN
B1-S021	B1	f81v	1	OWNER_ACTION	1	SINGLE_OWNER_ACTION[B1-S021-U01]	0	1	0	OWNER_ACTION
B2-S001	B2	f82r	1	TRANSFER	1	SINGLE_TRANSFER[B2-S001-U01]	0	1	0	TRANSFER
B2-S002	B2	f82r	1	CONTINUE	1	SINGLE_CONTINUE[B2-S002-U01]	0	1	0	CONTINUE
B2-S003	B2	f82r	2	SET>SET	1	M19[B2-S003-U01+B2-S003-U02]	2	0	1	SET>SET
B2-S004	B2	f82r	5	SET>LEAD_OUT>LEAD_OUT>SET>LEAD_OUT	5	SINGLE_SET[B2-S004-U01] | SINGLE_LEAD_OUT[B2-S004-U02] | SINGLE_LEAD_OUT[B2-S004-U03] | SINGLE_SET[B2-S004-U04] | SINGLE_LEAD_OUT[B2-S004-U05]	0	5	0	SET>LEAD_OUT>LEAD_OUT>SET>LEAD_OUT
B2-S005	B2	f82r	8	SET>COLLECT>PASSAGE>SET>SET>READY>WARM>LEAD_OUT	6	SINGLE_SET[B2-S005-U01] | SINGLE_COLLECT[B2-S005-U02] | M08[B2-S005-U03+B2-S005-U04] | M09[B2-S005-U05+B2-S005-U06] | SINGLE_WARM[B2-S005-U07] | SINGLE_LEAD_OUT[B2-S005-U08]	4	4	2	SET>COLLECT>PASSAGE>SET>SET>READY>WARM>LEAD_OUT
B2-S006	B2	f82r	3	SET>PASSAGE>SET	2	M07[B2-S006-U01+B2-S006-U02] | SINGLE_SET[B2-S006-U03]	2	1	1	SET>PASSAGE>SET
B2-S007	B2	f82r	1	SETTLE	1	SINGLE_SETTLE[B2-S007-U01]	0	1	0	SETTLE
B2-S008	B2	f82r	2	SET>SETTLE	1	M10[B2-S008-U01+B2-S008-U02]	2	0	1	SET>SETTLE
B2-S009	B2	f82r	1	CONTINUE	1	SINGLE_CONTINUE[B2-S009-U01]	0	1	0	CONTINUE
B2-S010	B2	f82r	3	SET>SET>LEAD_OUT	2	M19[B2-S010-U01+B2-S010-U02] | SINGLE_LEAD_OUT[B2-S010-U03]	2	1	1	SET>SET>LEAD_OUT
B2-S011	B2	f82r	3	SET>SET>SET	2	M19[B2-S011-U01+B2-S011-U02] | SINGLE_SET[B2-S011-U03]	2	1	1	SET>SET>SET
B2-S012	B2	f82r	5	LEAD_OUT>READY>SET>LEAD_OUT>SET	4	SINGLE_LEAD_OUT[B2-S012-U01] | M12[B2-S012-U02+B2-S012-U03] | SINGLE_LEAD_OUT[B2-S012-U04] | SINGLE_SET[B2-S012-U05]	2	3	1	LEAD_OUT>READY>SET>LEAD_OUT>SET
B2-S013	B2	f82r	1	LEAD_OUT	1	SINGLE_LEAD_OUT[B2-S013-U01]	0	1	0	LEAD_OUT
B2-S014	B2	f82r	1	LEAD_OUT	1	SINGLE_LEAD_OUT[B2-S014-U01]	0	1	0	LEAD_OUT
B2-S015	B2	f82r	1	SET	1	SINGLE_SET[B2-S015-U01]	0	1	0	SET
B2-S016	B2	f82r	5	LEAD_OUT>DIVIDE>SET>SET>LEAD_IN	4	SINGLE_LEAD_OUT[B2-S016-U01] | SINGLE_DIVIDE[B2-S016-U02] | M19[B2-S016-U03+B2-S016-U04] | SINGLE_LEAD_IN[B2-S016-U05]	2	3	1	LEAD_OUT>DIVIDE>SET>SET>LEAD_IN
B2-S017	B2	f82r	1	HOLD	1	SINGLE_HOLD[B2-S017-U01]	0	1	0	HOLD
B2-S018	B2	f82r	1	SET	1	SINGLE_SET[B2-S018-U01]	0	1	0	SET
B2-S019	B2	f82r	1	WASH	1	SINGLE_WASH[B2-S019-U01]	0	1	0	WASH
B2-S020	B2	f82r	1	OWNER_ACTION	1	SINGLE_OWNER_ACTION[B2-S020-U01]	0	1	0	OWNER_ACTION
B2-S021	B2	f82r	1	SET	1	SINGLE_SET[B2-S021-U01]	0	1	0	SET
B2-S022	B2	f82r	1	LEAD_OUT	1	SINGLE_LEAD_OUT[B2-S022-U01]	0	1	0	LEAD_OUT
B3-S001	B3	f83r	1	COLLECT	1	SINGLE_COLLECT[B3-S001-U01]	0	1	0	COLLECT
B3-S002	B3	f83r	1	WARM	1	SINGLE_WARM[B3-S002-U01]	0	1	0	WARM
B3-S003	B3	f83r	1	LEAD_OUT	1	SINGLE_LEAD_OUT[B3-S003-U01]	0	1	0	LEAD_OUT
B3-S004	B3	f83r	1	SET	1	SINGLE_SET[B3-S004-U01]	0	1	0	SET
B3-S005	B3	f83r	1	TRANSFER	1	SINGLE_TRANSFER[B3-S005-U01]	0	1	0	TRANSFER
B3-S006	B3	f83r	3	TRANSFER>SET>CONTINUE	2	M13[B3-S006-U01+B3-S006-U02] | SINGLE_CONTINUE[B3-S006-U03]	2	1	1	TRANSFER>SET>CONTINUE
B3-S007	B3	f83r	3	SET>TRANSFER>SET	2	M14[B3-S007-U01+B3-S007-U02] | SINGLE_SET[B3-S007-U03]	2	1	1	SET>TRANSFER>SET
B3-S008	B3	f83r	1	LEAD_OUT	1	SINGLE_LEAD_OUT[B3-S008-U01]	0	1	0	LEAD_OUT
B3-S009	B3	f83r	1	SET	1	SINGLE_SET[B3-S009-U01]	0	1	0	SET
B3-S010	B3	f83r	1	LEAD_IN	1	SINGLE_LEAD_IN[B3-S010-U01]	0	1	0	LEAD_IN
B3-S011	B3	f83r	3	READY>SET>TRANSFER	2	M12[B3-S011-U01+B3-S011-U02] | SINGLE_TRANSFER[B3-S011-U03]	2	1	1	READY>SET>TRANSFER
B3-S012	B3	f83r	1	SETTLE	1	SINGLE_SETTLE[B3-S012-U01]	0	1	0	SETTLE
B3-S013	B3	f83r	3	SET>READY>SET	2	M09[B3-S013-U01+B3-S013-U02] | SINGLE_SET[B3-S013-U03]	2	1	1	SET>READY>SET
B3-S014	B3	f83r	2	SET>SETTLE	1	M10[B3-S014-U01+B3-S014-U02]	2	0	1	SET>SETTLE
B3-S015	B3	f83r	1	LEAD_OUT	1	SINGLE_LEAD_OUT[B3-S015-U01]	0	1	0	LEAD_OUT
B3-S016	B3	f83r	2	LEAD_OUT>SET	2	SINGLE_LEAD_OUT[B3-S016-U01] | SINGLE_SET[B3-S016-U02]	0	2	0	LEAD_OUT>SET
B3-S017	B3	f83r	1	SET	1	SINGLE_SET[B3-S017-U01]	0	1	0	SET
B3-S018	B3	f83r	1	SETTLE	1	SINGLE_SETTLE[B3-S018-U01]	0	1	0	SETTLE
B3-S019	B3	f83r	1	SET	1	SINGLE_SET[B3-S019-U01]	0	1	0	SET
B3-S020	B3	f83r	1	LEAD_OUT	1	SINGLE_LEAD_OUT[B3-S020-U01]	0	1	0	LEAD_OUT
B3-S021	B3	f83r	6	SET>READY>SETTLE>READY>READY>TRANSFER	5	M09[B3-S021-U01+B3-S021-U02] | SINGLE_SETTLE[B3-S021-U03] | SINGLE_READY[B3-S021-U04] | SINGLE_READY[B3-S021-U05] | SINGLE_TRANSFER[B3-S021-U06]	2	4	1	SET>READY>SETTLE>READY>READY>TRANSFER
B3-S022	B3	f83r	1	TRANSFER	1	SINGLE_TRANSFER[B3-S022-U01]	0	1	0	TRANSFER
B3-S023	B3	f83r	1	LEAD_OUT	1	SINGLE_LEAD_OUT[B3-S023-U01]	0	1	0	LEAD_OUT
B3-S024	B3	f83r	1	TRANSFER	1	SINGLE_TRANSFER[B3-S024-U01]	0	1	0	TRANSFER
B3-S025	B3	f83r	1	SET	1	SINGLE_SET[B3-S025-U01]	0	1	0	SET
B3-S026	B3	f83r	6	TRANSFER>SETTLE>TRANSFER>SET>READY>COLLECT	5	SINGLE_TRANSFER[B3-S026-U01] | SINGLE_SETTLE[B3-S026-U02] | M13[B3-S026-U03+B3-S026-U04] | SINGLE_READY[B3-S026-U05] | SINGLE_COLLECT[B3-S026-U06]	2	4	1	TRANSFER>SETTLE>TRANSFER>SET>READY>COLLECT
B3-S027	B3	f83r	1	OWNER_ACTION	1	SINGLE_OWNER_ACTION[B3-S027-U01]	0	1	0	OWNER_ACTION
B3-S028	B3	f83r	2	SET>SET	1	M19[B3-S028-U01+B3-S028-U02]	2	0	1	SET>SET
B3-S029	B3	f83r	2	CONTINUE>SET	1	M05[B3-S029-U01+B3-S029-U02]	2	0	1	CONTINUE>SET
B3-S030	B3	f83r	2	SET>TRANSFER	1	M14[B3-S030-U01+B3-S030-U02]	2	0	1	SET>TRANSFER
B3-S031	B3	f83r	1	SET	1	SINGLE_SET[B3-S031-U01]	0	1	0	SET
B3-S032	B3	f83r	2	TRANSFER>TRANSFER	2	SINGLE_TRANSFER[B3-S032-U01] | SINGLE_TRANSFER[B3-S032-U02]	0	2	0	TRANSFER>TRANSFER
B3-S033	B3	f83r	1	LEAD_OUT	1	SINGLE_LEAD_OUT[B3-S033-U01]	0	1	0	LEAD_OUT
B3-S034	B3	f83r	3	READY>DIVIDE>SETTLE	2	M04[B3-S034-U01+B3-S034-U02] | SINGLE_SETTLE[B3-S034-U03]	2	1	1	READY>DIVIDE>SETTLE
B4-S001	B4	f83r	1	SET	1	SINGLE_SET[B4-S001-U01]	0	1	0	SET
B4-S002	B4	f83r	3	CONTINUE>SET>SET	2	M05[B4-S002-U01+B4-S002-U02] | SINGLE_SET[B4-S002-U03]	2	1	1	CONTINUE>SET>SET
B4-S003	B4	f83r	5	TRANSFER>SET>SET>CONTINUE>SETTLE	2	M13[B4-S003-U01+B4-S003-U02] | M02[B4-S003-U03+B4-S003-U04+B4-S003-U05]	5	0	3	TRANSFER>SET>SET>CONTINUE>SETTLE
B4-S004	B4	f83r	1	SET	1	SINGLE_SET[B4-S004-U01]	0	1	0	SET
B4-S005	B4	f83r	2	TRANSFER>SET	1	M13[B4-S005-U01+B4-S005-U02]	2	0	1	TRANSFER>SET
B4-S006	B4	f83r	1	STRAIN	1	SINGLE_STRAIN[B4-S006-U01]	0	1	0	STRAIN
B4-S007	B4	f83r	1	STRAIN	1	SINGLE_STRAIN[B4-S007-U01]	0	1	0	STRAIN
B4-S008	B4	f83r	3	WARM>HOLD>SET	3	SINGLE_WARM[B4-S008-U01] | SINGLE_HOLD[B4-S008-U02] | SINGLE_SET[B4-S008-U03]	0	3	0	WARM>HOLD>SET
B4-S009	B4	f83r	1	SETTLE	1	SINGLE_SETTLE[B4-S009-U01]	0	1	0	SETTLE
B4-S010	B4	f83r	1	CONTINUE	1	SINGLE_CONTINUE[B4-S010-U01]	0	1	0	CONTINUE
B4-S011	B4	f83r	6	WARM>SET>SET>TRANSFER>CONTINUE>LEAD_OUT	3	SINGLE_WARM[B4-S011-U01] | M19[B4-S011-U02+B4-S011-U03] | M03[B4-S011-U04+B4-S011-U05+B4-S011-U06]	5	1	3	WARM>SET>SET>TRANSFER>CONTINUE>LEAD_OUT
B4-S012	B4	f83r	1	LEAD_OUT	1	SINGLE_LEAD_OUT[B4-S012-U01]	0	1	0	LEAD_OUT
B4-S013	B4	f83r	2	SET>SETTLE	1	M10[B4-S013-U01+B4-S013-U02]	2	0	1	SET>SETTLE
B4-S014	B4	f83r	1	SET	1	SINGLE_SET[B4-S014-U01]	0	1	0	SET
B4-S015	B4	f83r	4	SET>PASSAGE>COLLECT>LEAD_OUT	3	M07[B4-S015-U01+B4-S015-U02] | SINGLE_COLLECT[B4-S015-U03] | SINGLE_LEAD_OUT[B4-S015-U04]	2	2	1	SET>PASSAGE>COLLECT>LEAD_OUT
B4-S016	B4	f83r	3	CONTINUE>POUR>SETTLE	3	SINGLE_CONTINUE[B4-S016-U01] | SINGLE_POUR[B4-S016-U02] | SINGLE_SETTLE[B4-S016-U03]	0	3	0	CONTINUE>POUR>SETTLE
B5-S001	B5	f83r	1	TRANSFER	1	SINGLE_TRANSFER[B5-S001-U01]	0	1	0	TRANSFER
B5-S002	B5	f83r	1	SET	1	SINGLE_SET[B5-S002-U01]	0	1	0	SET
B5-S003	B5	f83r	6	SETTLE>CONTINUE>LEAD_OUT>TRANSFER>CONTINUE>TRANSFER	4	SINGLE_SETTLE[B5-S003-U01] | M16[B5-S003-U02+B5-S003-U03] | M15[B5-S003-U04+B5-S003-U05] | SINGLE_TRANSFER[B5-S003-U06]	4	2	2	SETTLE>CONTINUE>LEAD_OUT>TRANSFER>CONTINUE>TRANSFER
B6-S001	B6	f83r	4	COLLECT>PROCESS>CONTINUE>CONTINUE	3	SINGLE_COLLECT[B6-S001-U01] | SINGLE_PROCESS[B6-S001-U02] | M20[B6-S001-U03+B6-S001-U04]	2	2	1	COLLECT>PROCESS>CONTINUE>CONTINUE
