cell_id	body	body_default_de	head	head_class	form	working_default_de	occurrences	pages	loci	reader_exact_occurrences	line_first	line_middle	line_last	section_counts	language_counts	strength	status
G636-C39	cheey	Trockenform II	r	INGREDIENT	rcheey	Wurzel/Wurzeldroge, trocken gebunden, Form II	5	4	5	4	0	5	0	B:1|H:1|S:3	A:1|B:4	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C40	cheey	Trockenform II	l	INGREDIENT	lcheey	Drogenholz, trocken gebunden, Form II	13	11	13	10	3	10	0	B:3|S:9|T:1	B:13	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C41	chy	Trocken-Grundform	p	ENTRY	pchy	Pulver, trockene Grundform	2	2	2	1	0	2	0	H:2	A:2	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C42	chy	Trocken-Grundform	s	ENTRY	schy	Samen/Saatgut, trockene Grundform	2	2	2	2	1	1	0	H:2	A:2	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C43	chy	Trocken-Grundform	r	INGREDIENT	rchy	Wurzel/Wurzeldroge, trockene Grundform	3	3	3	2	0	2	1	B:2|H:1	A:1|B:2	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C44	chy	Trocken-Grundform	l	INGREDIENT	lchy	Drogenholz, trockene Grundform	8	8	8	7	1	2	5	B:5|S:2|T:1	B:8	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C45	olchedy	getrockneter Zubereitungsstoff	p	ENTRY	polchedy	getrockneter Pulverstoff/-ansatz	7	6	7	3	5	2	0	B:2|H:1|S:4	B:7	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C46	olchedy	getrockneter Zubereitungsstoff	s	ENTRY	solchedy	getrockneter Samen/Saatgutstoff/-ansatz	6	6	6	2	5	0	1	B:4|S:1|T:1	B:6	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C47	olchedy	getrockneter Zubereitungsstoff	r	INGREDIENT	rolchedy	getrockneter Wurzel/Wurzeldrogestoff/-ansatz	1	1	1	0	0	1	0	B:1	B:1	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C48	olchedy	getrockneter Zubereitungsstoff	l	INGREDIENT	lolchedy	getrockneter Drogenholzstoff/-ansatz	1	1	1	0	0	0	1	B:1	B:1	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C49	chol	trockener Stoff/Trockengut	p	ENTRY	pchol	trockener Pulverstoff/Trockengut	5	5	5	5	2	3	0	H:1|P:2|S:2	A:3|B:2	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C50	chol	trockener Stoff/Trockengut	s	ENTRY	schol	trockener Samen/Saatgutstoff/Trockengut	3	3	3	3	2	1	0	H:3	A:3	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C51	chol	trockener Stoff/Trockengut	r	INGREDIENT	rchol	trockener Wurzel/Wurzeldrogestoff/Trockengut	1	1	1	0	0	1	0	P:1	A:1	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C52	chol	trockener Stoff/Trockengut	l	INGREDIENT	lchol	trockener Drogenholzstoff/Trockengut	3	3	3	3	1	2	0	B:1|H:1|P:1	A:2|B:1	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C53	odaiin	Zubereitungsdosis III	p	ENTRY	podaiin	Pulverzubereitung, Dosis III	4	4	4	4	3	1	0	H:2|T:2	A:1|B:3	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C54	odaiin	Zubereitungsdosis III	s	ENTRY	sodaiin	Samen/Saatgutzubereitung, Dosis III	3	3	3	2	3	0	0	H:3	A:2|B:1	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C55	odaiin	Zubereitungsdosis III	r	INGREDIENT	rodaiin	Wurzel/Wurzeldrogezubereitung, Dosis III	2	2	2	1	0	2	0	S:2	B:2	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C56	odaiin	Zubereitungsdosis III	l	INGREDIENT	lodaiin	Drogenholzzubereitung, Dosis III	3	3	3	2	1	1	1	H:2|T:1	B:3	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C57	oraiin	Portion III	p	ENTRY	poraiin	Pulverportion III	2	2	2	2	2	0	0	S:2	B:2	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C58	oraiin	Portion III	s	ENTRY	soraiin	Samenportion III	8	7	8	6	5	1	2	H:2|P:1|S:4|T:1	A:3|B:5	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C59	oraiin	Portion III	r	INGREDIENT	roraiin	Wurzelportion III	1	1	1	0	1	0	0	T:1	B:1	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C60	oraiin	Portion III	l	INGREDIENT	loraiin	Holzportion III	1	1	1	0	0	1	0	B:1	B:1	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C61	ody	aufbereitete/fertige Grundform	p	ENTRY	pody	Pulver, fertig aufbereitet	2	2	2	1	2	0	0	H:2	B:2	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C62	ody	aufbereitete/fertige Grundform	s	ENTRY	sody	Samen/Saatgut, fertig aufbereitet	4	4	4	4	1	2	1	H:3|P:1	A:4	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C63	ody	aufbereitete/fertige Grundform	r	INGREDIENT	rody	Wurzel/Wurzeldroge, fertig aufbereitet	2	2	2	2	0	2	0	S:2	B:2	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C64	ody	aufbereitete/fertige Grundform	l	INGREDIENT	lody	Drogenholz, fertig aufbereitet	3	3	3	3	0	2	1	H:1|S:2	A:1|B:2	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C65	cheo	trockene Zubereitung/Trockenansatz	p	ENTRY	pcheo	trockene Pulverzubereitung/Trockenansatz	3	3	3	2	2	1	0	S:2|T:1	B:3	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C66	cheo	trockene Zubereitung/Trockenansatz	s	ENTRY	scheo	trockene Samen/Saatgutzubereitung/Trockenansatz	2	2	2	1	0	2	0	H:1|S:1	A:1|B:1	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C67	cheo	trockene Zubereitung/Trockenansatz	r	INGREDIENT	rcheo	trockene Wurzel/Wurzeldrogezubereitung/Trockenansatz	1	1	1	0	0	1	0	S:1	B:1	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C68	cheo	trockene Zubereitung/Trockenansatz	l	INGREDIENT	lcheo	trockene Drogenholzzubereitung/Trockenansatz	3	3	3	3	0	3	0	S:3	B:3	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C69	oaiin	Zubereitungscharge III	p	ENTRY	poaiin	Pulverzubereitung, Charge III	1	1	1	0	1	0	0	P:1	A:1	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C70	oaiin	Zubereitungscharge III	s	ENTRY	soaiin	Samen/Saatgutzubereitung, Charge III	3	3	3	2	2	0	1	H:1|S:2	A:1|B:2	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C71	oaiin	Zubereitungscharge III	r	INGREDIENT	roaiin	Wurzel/Wurzeldrogezubereitung, Charge III	1	1	1	0	0	1	0	H:1	A:1	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C72	oaiin	Zubereitungscharge III	l	INGREDIENT	loaiin	Drogenholzzubereitung, Charge III	1	1	1	1	0	1	0	S:1	B:1	WORKING_HIGH	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C73	oral	Rohstoff-/Zutatenportion	p	ENTRY	poral	Pulver-Rohstoffportion	1	1	1	0	1	0	0	S:1	B:1	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C74	oral	Rohstoff-/Zutatenportion	s	ENTRY	soral	Samen-Rohstoffportion	3	3	3	3	3	0	0	B:1|P:1|S:1	A:1|B:2	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C75	oral	Rohstoff-/Zutatenportion	r	INGREDIENT	roral	Wurzel-Rohstoffportion	1	1	1	1	0	1	0	S:1	B:1	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
G636-C76	oral	Rohstoff-/Zutatenportion	l	INGREDIENT	loral	Holz-Rohstoffportion	1	1	1	1	0	0	1	T:1	B:1	WORKING_MEDIUM	ATTESTED_SCOPED_CONCRETE_DEFAULT
