surface	source_event_count	source_families	external_host_unit_count	external_local_count	external_running_paragraph_count	external_local_domain_counts	external_running_domain_counts	same_domain_local_running_bridges	noncelestial_minimal_bridge	target_surface	semantic_export
otal	1	AQAB	6	1	5	CELESTIAL_ARRAY:1	CELESTIAL_ARRAY:1|FIGURE_STATION_SYSTEM:2|PLANT_DRUG_MATERIAL:1|TEXT_OR_OTHER:1	CELESTIAL_ARRAY	NO	NO	NONE
otalaiin	2	AQABAG	0	0	0	NONE	NONE	NONE	NO	NO	NONE
otalalg	1	AQABABB	0	0	0	NONE	NONE	NONE	NO	NO	NONE
otalam	1	AQABAB	1	0	1	NONE	TEXT_OR_OTHER:1	NONE	NO	NO	NONE
otalar	1	AQABAC	0	0	0	NONE	NONE	NONE	NO	NO	NONE
otald	1	AQABB	0	0	0	NONE	NONE	NONE	NO	NO	NONE
otaldar	1	AQABBAC	0	0	0	NONE	NONE	NONE	NO	NO	NONE
otaldy	1	AQABBA	2	1	1	PLANT_DRUG_MATERIAL:1	PLANT_DRUG_MATERIAL:1	PLANT_DRUG_MATERIAL	YES	YES	NONE
otalody	1	AQABABA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
otalshy	1	AQABLA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
otaly	2	AQABA	3	1	2	PLANT_DRUG_MATERIAL:1	CELESTIAL_ARRAY:2	NONE	NO	NO	NONE
otam	1	AQAB	5	0	5	NONE	CELESTIAL_ARRAY:1|FIGURE_STATION_SYSTEM:1|PLANT_DRUG_MATERIAL:2|TEXT_OR_OTHER:1	NONE	NO	NO	NONE
otar	2	AQACL|AQACZ	16	3	13	CELESTIAL_ARRAY:2|PLANT_DRUG_MATERIAL:1	CELESTIAL_ARRAY:3|FIGURE_STATION_SYSTEM:5|PLANT_DRUG_MATERIAL:4|TEXT_OR_OTHER:1	CELESTIAL_ARRAY|PLANT_DRUG_MATERIAL	NO	NO	NONE
otaraldy	2	AQACABBA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
otchdal	1	AQKBAB	0	0	0	NONE	NONE	NONE	NO	NO	NONE
otchodals	1	AQKABABC	0	0	0	NONE	NONE	NONE	NO	NO	NONE
otchody	1	AQKABA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
otchoshy	1	AQKALA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
oteeary	1	AQKACA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
oteosal	1	AQJACAB	0	0	0	NONE	NONE	NONE	NO	NO	NONE
otody	1	AQABA	3	1	2	CELESTIAL_ARRAY:1	FIGURE_STATION_SYSTEM:1|PLANT_DRUG_MATERIAL:1	NONE	NO	NO	NONE
otolam	1	AQABAB	0	0	0	NONE	NONE	NONE	NO	NO	NONE
oty	1	AQA	9	1	8	CELESTIAL_ARRAY:1	CELESTIAL_ARRAY:1|FIGURE_STATION_SYSTEM:2|PLANT_DRUG_MATERIAL:3|TEXT_OR_OTHER:2	CELESTIAL_ARRAY	NO	NO	NONE
ralal	1	CABAB	0	0	0	NONE	NONE	NONE	NO	NO	NONE
salols	1	CABABC	0	0	0	NONE	NONE	NONE	NO	NO	NONE
sholshdy	1	LABLBA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
ykary	1	AQACA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
ykolaiin	1	AQABAG	0	0	0	NONE	NONE	NONE	NO	NO	NONE
ytalshdy	1	AQABLBA	0	0	0	NONE	NONE	NONE	NO	NO	NONE
