external_contact_ordinal	canonical_boundary_family	surface	source_register_event_count	external_host_unit_id	occurrence_kind	physical_page	source_selector	register	topology_family	independent_domain	representative_locus	host_unit_definition	target_family	component_export_credit
19	AQAB	okyd	1	f66r:P3	RUNNING_EVENT	f66r	f66r	SOURCE_SECTION_T	TEXT_BLOCK	TEXT_OR_OTHER	f66r.57	COMPLETE_PARAGRAPH	NO	ZERO
20	AQAB	otal	1	LOCAL:f70v2.32	LOCAL_ADDRESS_OR_LABEL	f70v	f70v2	CELESTIAL	RADIAL_ARRAY	CELESTIAL_ARRAY	f70v2.32	LOCAL_VISIBLE_OWNER_LOCUS	NO	ZERO
21	AQAB	otal	1	f71v:P1	RUNNING_EVENT	f71v	f71v	CELESTIAL	RADIAL_ARRAY	CELESTIAL_ARRAY	f71v.12	COMPLETE_PARAGRAPH	NO	ZERO
22	AQAB	otal	1	f76r:P3	RUNNING_EVENT	f76r	f76r	BIOLOGICAL	TEXT_BLOCK	TEXT_OR_OTHER	f76r.50	COMPLETE_PARAGRAPH	NO	ZERO
23	AQAB	otal	1	f83r:P2	RUNNING_EVENT	f83r	f83r	BIOLOGICAL	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	f83r.12	COMPLETE_PARAGRAPH	NO	ZERO
24	AQAB	otal	1	f83r:P4	RUNNING_EVENT	f83r	f83r	BIOLOGICAL	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	f83r.25	COMPLETE_PARAGRAPH	NO	ZERO
25	AQAB	otal	1	f95v1:P1	RUNNING_EVENT	f95v	f95v1	HERBAL	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	f95v1.2	COMPLETE_PARAGRAPH	NO	ZERO
26	AQAB	otam	1	f55v:P2	RUNNING_EVENT	f55v	f55v	HERBAL	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	f55v.12	COMPLETE_PARAGRAPH	NO	ZERO
27	AQAB	otam	1	f66r:P6	RUNNING_EVENT	f66r	f66r	SOURCE_SECTION_T	TEXT_BLOCK	TEXT_OR_OTHER	f66r.74	COMPLETE_PARAGRAPH	NO	ZERO
28	AQAB	otam	1	f72r1:P1	RUNNING_EVENT	f72r	f72r1	CELESTIAL	RADIAL_ARRAY	CELESTIAL_ARRAY	f72r1.1	COMPLETE_PARAGRAPH	NO	ZERO
29	AQAB	otam	1	f75r:P3	RUNNING_EVENT	f75r	f75r	BIOLOGICAL	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	f75r.44	COMPLETE_PARAGRAPH	NO	ZERO
30	AQAB	otam	1	f88r:P2	RUNNING_EVENT	f88r	f88r	PHARMA	MATERIAL_REGISTER	PLANT_DRUG_MATERIAL	f88r.9	COMPLETE_PARAGRAPH	NO	ZERO
31	AQABA	okaly	2	f72r2:P1	RUNNING_EVENT	f72r	f72r2	CELESTIAL	RADIAL_ARRAY	CELESTIAL_ARRAY	f72r2.22	COMPLETE_PARAGRAPH	NO	ZERO
32	AQABA	okody	1	LOCAL:f69v.11	LOCAL_ADDRESS_OR_LABEL	f69v	f69v	CELESTIAL	RADIAL_ARRAY	CELESTIAL_ARRAY	f69v.11	LOCAL_VISIBLE_OWNER_LOCUS	NO	ZERO
33	AQABA	okody	1	LOCAL:f69v.3	LOCAL_ADDRESS_OR_LABEL	f69v	f69v	CELESTIAL	RADIAL_ARRAY	CELESTIAL_ARRAY	f69v.3	LOCAL_VISIBLE_OWNER_LOCUS	NO	ZERO
34	AQABA	otaly	2	LOCAL:f88r.6	LOCAL_ADDRESS_OR_LABEL	f88r	f88r	PHARMA	MATERIAL_REGISTER	PLANT_DRUG_MATERIAL	f88r.6	LOCAL_VISIBLE_OWNER_LOCUS	NO	ZERO
35	AQABA	otaly	2	f71v:P1	RUNNING_EVENT	f71v	f71v	CELESTIAL	RADIAL_ARRAY	CELESTIAL_ARRAY	f71v.12	COMPLETE_PARAGRAPH	NO	ZERO
36	AQABA	otaly	2	f72r2:P1	RUNNING_EVENT	f72r	f72r2	CELESTIAL	RADIAL_ARRAY	CELESTIAL_ARRAY	f72r2.22	COMPLETE_PARAGRAPH	NO	ZERO
37	AQABA	otody	1	LOCAL:f69v.12	LOCAL_ADDRESS_OR_LABEL	f69v	f69v	CELESTIAL	RADIAL_ARRAY	CELESTIAL_ARRAY	f69v.12	LOCAL_VISIBLE_OWNER_LOCUS	NO	ZERO
38	AQABA	otody	1	f75r:P2	RUNNING_EVENT	f75r	f75r	BIOLOGICAL	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	f75r.27	COMPLETE_PARAGRAPH	NO	ZERO
39	AQABA	otody	1	f95v1:P4	RUNNING_EVENT	f95v	f95v1	HERBAL	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	f95v1.13	COMPLETE_PARAGRAPH	NO	ZERO
40	AQABAB	okalal	1	f72r1:P1	RUNNING_EVENT	f72r	f72r1	CELESTIAL	RADIAL_ARRAY	CELESTIAL_ARRAY	f72r1.12	COMPLETE_PARAGRAPH	NO	ZERO
41	AQABAB	otalam	1	f76r:P2	RUNNING_EVENT	f76r	f76r	BIOLOGICAL	TEXT_BLOCK	TEXT_OR_OTHER	f76r.42	COMPLETE_PARAGRAPH	NO	ZERO
42	AQABAC	okalar	1	LOCAL:f72r3.22	LOCAL_ADDRESS_OR_LABEL	f72r	f72r3	CELESTIAL	RADIAL_ARRAY	CELESTIAL_ARRAY	f72r3.22	LOCAL_VISIBLE_OWNER_LOCUS	NO	ZERO
43	AQABAC	okalar	1	f71v:P1	RUNNING_EVENT	f71v	f71v	CELESTIAL	RADIAL_ARRAY	CELESTIAL_ARRAY	f71v.12	COMPLETE_PARAGRAPH	NO	ZERO
44	AQABAC	okolar	1	LOCAL:f69v.21	LOCAL_ADDRESS_OR_LABEL	f69v	f69v	CELESTIAL	RADIAL_ARRAY	CELESTIAL_ARRAY	f69v.21	LOCAL_VISIBLE_OWNER_LOCUS	NO	ZERO
45	AQABBA	okaldy	1	LOCAL:f82r.37	LOCAL_ADDRESS_OR_LABEL	f82r	f82r	BIOLOGICAL	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	f82r.37	LOCAL_VISIBLE_OWNER_LOCUS	YES	ZERO
46	AQABBA	okaldy	1	f75r:P2	RUNNING_EVENT	f75r	f75r	BIOLOGICAL	POOL_APPARATUS_NETWORK	FIGURE_STATION_SYSTEM	f75r.27	COMPLETE_PARAGRAPH	YES	ZERO
47	AQABBA	otaldy	1	LOCAL:f88r.12	LOCAL_ADDRESS_OR_LABEL	f88r	f88r	PHARMA	MATERIAL_REGISTER	PLANT_DRUG_MATERIAL	f88r.12	LOCAL_VISIBLE_OWNER_LOCUS	YES	ZERO
48	AQABBA	otaldy	1	f95v1:P1	RUNNING_EVENT	f95v	f95v1	HERBAL	WHOLE_PLANT_ARTICLE	PLANT_DRUG_MATERIAL	f95v1.4	COMPLETE_PARAGRAPH	YES	ZERO
