surface	card_class	composition	working_meaning_de	external_working_meaning_de	applied_meaning_de	render_mode	strongest_rival_de	confidence	page	locus	section	language	hand	ordinal	line_token_count	line_position	source_f81r	was_v48_unknown	was_v49_unknown	was_gdt674_unknown	target_v49_gloss_de	target_v49_source	target_v49_scope_state	left_surface	left_v49_gloss_de	right_surface	right_v49_gloss_de	it2a_operation	it2a_render	rf1b_operation	rf1b_render	reader_support	zl3b_line	decision	promote_external	review_note
alched	P	AL_RAW_I+CH_DRY+E_MIDDLE+D_TERM_CLOSE	Rohdroge I bis zur Mittelstufe trocknen und abschließen	Rohdroge I, bis zur Mittelstufe getrocknet und abgeschlossen	Rohdroge I bis zur Mittelstufe trocknen und abschließen	EXTERNAL_NOMINAL_RESULT	Rohdroge I bis zur Mittelstufe trocknen und abziehen	HIGH	f81r	f81r.2	B	B	2	3	8	MEDIAL	1	1	1	0	[alched:?]	OPEN	UNKNOWN_SURFACE	lshl	[lshl:?]	qokol	erhitzen	ONE	olched	EXACT	alched	ONE_EXACT	dchey lshl alched qokol chol otar chedy oky	SOURCE_PAGE_CARD	0	The external S/B/hand-3 occurrence is nominal inside a raw, fraction and cold-stage chain; RF1b al ched confirms the component boundary while abziehen remains a rival.
shecphy	P	SH_MOIST+E_MIDDLE+CPH_COMPOSITE+Y_START_OR_CLOSE	Arzneikompositum bis zur Mittelstufe einweichen und abschließen	bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum	Arzneikompositum bis zur Mittelstufe einweichen und abschließen	EXTERNAL_NOMINAL_RESULT	feuchtes Arzneikompositum der Mittelstufe	MEDIUM	f81r	f81r.24	B	B	2	3	7	MEDIAL	1	1	1	0	[shecphy:?]	OPEN	UNKNOWN_SURFACE	ody	fertiggestellter Ansatz	cheol	trockener Drogenstoff	EXACT	shecphy	EXACT	shecphy	BOTH_EXACT	par ody shecphy cheol qotaldar otedy oly	SOURCE_PAGE_CARD	0	Two external S/B and B/B occurrences retain the moist-middle-composite-close stack; grade and field-close neighbors select a nominal result head.
qotaldar	P	QO_COMMAND+T_COLD+AL_RAW_I+D_MEASURE+AR_FRACTION_I	erste Fraktion gekühlter Rohdroge I abmessen	erste Fraktion gekühlter Rohdroge I abmessen	erste Fraktion gekühlter Rohdroge I abmessen	LOCAL_UNTESTED	kühle Rohdroge I und miss die erste Fraktion ab	HIGH	f81r	f81r.24	B	B	2	5	7	MEDIAL	1	1	1	0	[qotaldar:?]	OPEN	UNKNOWN_SURFACE	cheol	trockener Drogenstoff	otedy	kalter Ansatz in der Mitte des Grades, abgeschlossen	SPLIT_2	qotaldar	ONE	ar	NEITHER_EXACT	par ody shecphy cheol qotaldar otedy oly	SOURCE_PAGE_CARD	0	The cold raw-I measured-first-fraction command has no external exact occurrence.
qokesdy	P	QO_COMMAND+K_HOT+E_MIDDLE+S_SEED+DY_FINISHED	erhitze Saatgut bis zur Mittelstufe und stelle es fertig	erhitze Saatgut bis zur Mittelstufe und stelle es fertig	erhitze Saatgut bis zur Mittelstufe und stelle es fertig	LOCAL_UNTESTED	heiße Mittelstufen-Saatgutzubereitung, fertig	MEDIUM	f81r	f81r.28	B	B	2	1	7	INITIAL	1	1	1	0	[qokesdy:?]	OPEN	UNKNOWN_SURFACE	BOUNDARY	BOUNDARY	chedy	trocken in der Mitte des Grades, abgeschlossen	EXACT	qokesdy	EXACT	qokesdy	BOTH_EXACT	qokesdy chedy qokar chey taiin otey lchl	SOURCE_PAGE_CARD	0	The seed versus terminal-species issue cannot be tested outside f81r; retain the seed-heating card locally.
lchl	W	LEARNED_LCHL_WHOLE	getrocknetes Drogenholz	getrocknetes Drogenholz	getrocknetes Drogenholz	LEARNED_EXACT_WHOLE	Drogenholz trocknen; Holzstoff	LOW	f81r	f81r.28	B	B	2	7	7	FINAL	1	1	1	0	[lchl:?]	OPEN	UNKNOWN_SURFACE	otey	kalter Ansatz in der Mitte des Grades	BOUNDARY	BOUNDARY	EXACT	lchl	EXACT	lchl	BOTH_EXACT	qokesdy chedy qokar chey taiin otey lchl	SOURCE_PAGE_CARD	0	One external S/B/hand-3 occurrence admits the unchanged exact learned wood-drying whole; it does not license L-CH-L as a productive rule.
olkar	P	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	erste erhitzte Holzdrogenfraktion im Ansatz	erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen	erste erhitzte Holzdrogenfraktion im Ansatz	OL_BOUNDARY_AND_READER_OPEN	erste heiße Holzfraktion	HIGH	f81r	f81r.30	B	B	2	5	8	MEDIAL	1	1	1	0	[olkar:?]	OPEN	UNKNOWN_SURFACE	sor	Samenportion	ol	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	EXACT	olkar	EXACT	olkar	BOTH_EXACT	l shedy qokedy sor olkar ol kaiin olkshdy	SOURCE_PAGE_CARD	0	Sixteen external positions across B, C, T, H and S secure heat plus fraction I; O+L versus OL remains open and two alternate-reader rivals are quarantined explicitly.
olkshdy	P	O_PREP+L_WOOD+K_HOT+SH_MOIST+DY_FINISHED	Holzdrogenansatz erhitzen, einweichen und fertigstellen	Holzdrogenansatz erhitzen, einweichen und fertigstellen	Holzdrogenansatz erhitzen, einweichen und fertigstellen	LOCAL_UNTESTED	Holzdroge erhitzen, bis zur Mittelstufe einweichen und abschließen	HIGH	f81r	f81r.30	B	B	2	8	8	FINAL	1	1	1	0	[olkshdy:?]	OPEN	UNKNOWN_SURFACE	kaiin	heiß, Grad III	BOUNDARY	BOUNDARY	EXACT	olkshdy	ONE	olkdy	ONE_EXACT	l shedy qokedy sor olkar ol kaiin olkshdy	SOURCE_PAGE_CARD	0	The ordered wood-heat-moist-finish chain has no external exact occurrence and remains f81r-local.
eses	W	LEARNED_ES_REPEAT	zwei Arzneispecies der Mittelstufe	zwei Arzneispecies der Mittelstufe	zwei Arzneispecies der Mittelstufe	LEARNED_LOCAL_UNTESTED	Doppelcharge Mittelstufen-Species	LOW	f81r	f81r.6	B	B	2	3	7	MEDIAL	1	1	1	0	[eses:?]	OPEN	UNKNOWN_SURFACE	ol	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz	oteey	kalter Ansatz am Ende des Grades	EXACT	eses	EXACT	eses	BOTH_EXACT	sar ol eses oteey shor qokeey ol	SOURCE_PAGE_CARD	0	The repeated learned species whole is unique to f81r; no general reduplication rule is exported.
dshees	P	D_MEASURE+SH_MOIST+EE_END+S_TERM_SPECIES	eine Charge vollständig eingeweichter Droge abmessen	Dosis oder Charge vollständig eingeweichter Arzneispecies	eine Charge vollständig eingeweichter Droge abmessen	NOMINAL_MEASURE_OR_CHARGE	eine Dosis vollständig eingeweichter Arzneispecies	MEDIUM	f81r	f81r.7	B	B	2	1	5	INITIAL	1	1	1	0	[dshees:?]	OPEN	UNKNOWN_SURFACE	BOUNDARY	BOUNDARY	okain	heiß im Zubereitungsrahmen, Grad II	EXACT	dshees	ONE	ees	ONE_EXACT	dshees okain chcthy otey okain	SOURCE_PAGE_CARD	0	The external S/B/hand-3 line begins with the same D-SH-EE-S stack but has no independent action anchor; abmessen is reserved for explicit head syntax.
qoteesy	P	QO_COMMAND+T_COLD+EE_END+S_TERM_SPECIES+Y_START_OR_CLOSE	Arzneispecies vollständig abkühlen und abschließen	Arzneispecies vollständig abkühlen und abschließen	Arzneispecies vollständig abkühlen und abschließen	LOCAL_UNTESTED	Saatgut vollständig abkühlen und den Posten abschließen	MEDIUM	f81r	f81r.9	B	B	2	1	4	INITIAL	1	1	1	0	[qoteesy:?]	OPEN	UNKNOWN_SURFACE	BOUNDARY	BOUNDARY	qotedy	kalt in der Mitte des Grades, abgeschlossen	EXACT	qoteesy	EXACT	qoteesy	BOTH_EXACT	qoteesy qotedy qokeedy chcphey	SOURCE_PAGE_CARD	0	The terminal-species versus seed rival has no external exact occurrence and stays visible on f81r.
chcphey	P	CH_DRY+CPH_COMPOSITE+E_MIDDLE+Y_START_OR_CLOSE	Arzneikompositum bis zur Mittelstufe trocknen und abschließen	bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum	Arzneikompositum bis zur Mittelstufe trocknen und abschließen	EXTERNAL_NOMINAL_RESULT	getrocknete Arzneikompositum-Fraktion der Mittelstufe	HIGH	f81r	f81r.9	B	B	2	4	4	FINAL	1	1	1	0	[chcphey:?]	OPEN	UNKNOWN_SURFACE	qokeedy	heiß am Ende des Grades, abgeschlossen	BOUNDARY	BOUNDARY	EXACT	chcphey	EXACT	chcphey	BOTH_EXACT	qoteesy qotedy qokeedy chcphey	SOURCE_PAGE_CARD	0	Two external occurrences in S and B place the dry-composite-middle-close form among other composite, add and moist fields; catalogue position selects a result head.
