page	locus	section	language	hand	zl3b_line	unknown_after_gdt673	unknown_after_gdt674	applied_ordinals	applied_surfaces	unknown_after_gdt675	remaining_unknown_ordinals	remaining_unknown_surfaces	before_overlay_glosses_de	gdt675_overlay_glosses_de
f112r	f112r.36	S	B	3	sain ol checkhy olchain okeey olam	2	2	6	olam	1	4	olchain	Saatgut, Typ/Charge II | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockenes Arzneikompositum am Gradanfang | [olchain:?] | heißer Ansatz am Ende des Grades | [olam:?]	Saatgut, Typ/Charge II | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | trockenes Arzneikompositum am Gradanfang | [olchain:?] | heißer Ansatz am Ende des Grades | ein Maß Ansatz-/Drogenmaterial; Holzbindung offen
f112v	f112v.10	S	B	3	dain sheey okchedy oror	1	1	4	oror	0	NONE	NONE	Grad-/Maßwert II | feucht am Ende des Grades | heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen | [oror:?]	Grad-/Maßwert II | feucht am Ende des Grades | heiß-trockener Ansatz in der Mitte des Grades, abgeschlossen | zwei Portionen
f113v	f113v.12	S	B	3	solchedy otsheody arl olchey oror	3	3	5	oror	2	2|4	otsheody|olchey	getrockneter Samen/Saatgutstoff/-ansatz | [otsheody:?] | erste Holzdrogenfraktion | [olchey:?] | [oror:?]	getrockneter Samen/Saatgutstoff/-ansatz | [otsheody:?] | erste Holzdrogenfraktion | [olchey:?] | zwei Portionen
f113v	f113v.17	S	B	3	saraiin shedy lcheey olkar okaiin cthororaiin yteeeor	4	4	4	olkar	3	1|6|7	saraiin|cthororaiin|yteeeor	[saraiin:?] | feucht in der Mitte des Grades, abgeschlossen | Drogenholz, trocken gebunden, Form II | [olkar:?] | heiß, Grad III, im Ansatzrahmen | [cthororaiin:?] | [yteeeor:?]	[saraiin:?] | feucht in der Mitte des Grades, abgeschlossen | Drogenholz, trocken gebunden, Form II | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | heiß, Grad III, im Ansatzrahmen | [cthororaiin:?] | [yteeeor:?]
f113v	f113v.3	S	B	3	sar aiin chotar okeeodar qokain olol olam	3	3	7	olam	2	3|4	chotar|okeeodar	Samenfraktion I | Menge III | [chotar:?] | [okeeodar:?] | heiß, Grad II | Holzdrogen-Grundansatz | [olam:?]	Samenfraktion I | Menge III | [chotar:?] | [okeeodar:?] | heiß, Grad II | Holzdrogen-Grundansatz | ein Maß Ansatz-/Drogenmaterial; Holzbindung offen
f114r	f114r.24	S	B	3	tchedaiin oldal chor chpcheey chcphey cphochy chos aiir chty chopo sair cphy dair	6	6	5	chcphey	5	1|4|6|8|10	tchedaiin|chpcheey|cphochy|aiir|chopo	[tchedaiin:?] | abgemessener Drogenrohstoff I | Pflanzen-/Reproduktionsteil | [chpcheey:?] | [chcphey:?] | [cphochy:?] | eine Charge Trockenansatz | [aiir:?] | trocken-kalt am Gradanfang | [chopo:?] | Samenfraktion II | Arzneikompositum in Grundform | abgemessene Fraktion II	[tchedaiin:?] | abgemessener Drogenrohstoff I | Pflanzen-/Reproduktionsteil | [chpcheey:?] | bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum | [cphochy:?] | eine Charge Trockenansatz | [aiir:?] | trocken-kalt am Gradanfang | [chopo:?] | Samenfraktion II | Arzneikompositum in Grundform | abgemessene Fraktion II
f114r	f114r.26	S	B	3	ycheeodaiin olkaiir qokaiin chodaiin okar olkaiin okaiin cheody airoy olam	4	4	10	olam	3	1|2|9	ycheeodaiin|olkaiir|airoy	[ycheeodaiin:?] | [olkaiir:?] | heiß, Grad III | Trockenansatz, Dosis III | heiße Drogenfraktion I im Ansatz | heiße Drogenbasis, Stufe III | heiß, Grad III, im Ansatzrahmen | getrockneter Ansatz | [airoy:?] | [olam:?]	[ycheeodaiin:?] | [olkaiir:?] | heiß, Grad III | Trockenansatz, Dosis III | heiße Drogenfraktion I im Ansatz | heiße Drogenbasis, Stufe III | heiß, Grad III, im Ansatzrahmen | getrockneter Ansatz | [airoy:?] | ein Maß Ansatz-/Drogenmaterial; Holzbindung offen
f114v	f114v.36	S	B	3	tshey oidal op shoko otchey qopchol qopaiin qotar al kal ram	5	5	6	qopchol	4	2|3|4|7	oidal|op|shoko|qopaiin	kalt und feucht in der Mitte des Grades | [oidal:?] | [op:?] | [shoko:?] | kalt-trockener Ansatz in der Mitte des Grades | [qopchol:?] | [qopaiin:?] | kalte Drogenfraktion I | Rohstoffklasse I | Rohstoffklasse I, heiß am Gradanfang | Wurzel/Wurzeldroge: Maß-/Einheitsform I	kalt und feucht in der Mitte des Grades | [oidal:?] | [op:?] | [shoko:?] | kalt-trockener Ansatz in der Mitte des Grades | nimm getrockneten Pulverstoff | [qopaiin:?] | kalte Drogenfraktion I | Rohstoffklasse I | Rohstoffklasse I, heiß am Gradanfang | Wurzel/Wurzeldroge: Maß-/Einheitsform I
f115r	f115r.1	S	B	@	fdar qopchol qochedain otedy cheop ol teeedy oroiir oechedy oteedy qotchedy	6	6	2	qopchol	5	1|3|5|8|9	fdar|qochedain|cheop|oroiir|oechedy	[fdar:?] | [qopchol:?] | [qochedain:?] | kalter Ansatz in der Mitte des Grades, abgeschlossen | [cheop:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | vollständig abgekühlt und abgeschlossen | [oroiir:?] | [oechedy:?] | kalter Ansatz am Ende des Grades, abgeschlossen | kalt und trocken in der Mitte des Grades, abgeschlossen	[fdar:?] | nimm getrockneten Pulverstoff | [qochedain:?] | kalter Ansatz in der Mitte des Grades, abgeschlossen | [cheop:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | vollständig abgekühlt und abgeschlossen | [oroiir:?] | [oechedy:?] | kalter Ansatz am Ende des Grades, abgeschlossen | kalt und trocken in der Mitte des Grades, abgeschlossen
f115r	f115r.23	S	B	@	dchey keey qokeod chody qokcho s checthy qokeeey keeey lol chedy qokchedy ldy	3	3	1	dchey	2	3|9	qokeod|keeey	[dchey:?] | heiß am Ende des Grades | [qokeod:?] | Trockenansatz, abgeschlossen | erhitze, trockne und setze an | Samen-/Saatgutposten | trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut | stark erhitzt, Endstufe III | [keeey:?] | Holzstoff | trocken in der Mitte des Grades, abgeschlossen | heiß und trocken in der Mitte des Grades, abgeschlossen | Holzdroge, fertig aufbereitet	eine Dosis bis zur Mittelstufe trocknen und abschließen | heiß am Ende des Grades | [qokeod:?] | Trockenansatz, abgeschlossen | erhitze, trockne und setze an | Samen-/Saatgutposten | trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut | stark erhitzt, Endstufe III | [keeey:?] | Holzstoff | trocken in der Mitte des Grades, abgeschlossen | heiß und trocken in der Mitte des Grades, abgeschlossen | Holzdroge, fertig aufbereitet
f116r	f116r.12	S	B	3	qoin ar cholches okain dain cheey okeey otain olchdy otal dain olam	3	3	12	olam	2	1|3	qoin|cholches	[qoin:?] | Drogenfraktion I | [cholches:?] | heiß im Zubereitungsrahmen, Grad II | Grad-/Maßwert II | trocken am Ende des Grades | heißer Ansatz am Ende des Grades | kalt im Zubereitungsrahmen, Grad II | Drogenstoff trocknen und fertigstellen | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Grad-/Maßwert II | [olam:?]	[qoin:?] | Drogenfraktion I | [cholches:?] | heiß im Zubereitungsrahmen, Grad II | Grad-/Maßwert II | trocken am Ende des Grades | heißer Ansatz am Ende des Grades | kalt im Zubereitungsrahmen, Grad II | Drogenstoff trocknen und fertigstellen | Rohstoffklasse I im Ansatz, kalt am Gradanfang | Grad-/Maßwert II | ein Maß Ansatz-/Drogenmaterial; Holzbindung offen
f23r	f23r.6	H	A	1	tshol y kor qokaiin yky dar okol dchey daiidal dam ytcho ldals	5	5	8	dchey	4	1|9|11|12	tshol|daiidal|ytcho|ldals	[tshol:?] | hierzu: | heiße Drogenportion | heiß, Grad III | hierzu leicht erhitzen | abgemessene Fraktion I | heißer Ansatzstoff | [dchey:?] | [daiidal:?] | Dosis I | [ytcho:?] | [ldals:?]	[tshol:?] | hierzu: | heiße Drogenportion | heiß, Grad III | hierzu leicht erhitzen | abgemessene Fraktion I | heißer Ansatzstoff | abgemessene Trockendroge der Mittelstufe, abgeschlossen | [daiidal:?] | Dosis I | [ytcho:?] | [ldals:?]
f24v	f24v.15	H	A	1	dchey kchod dchal ochdy	4	4	1	dchey	3	2|3|4	kchod|dchal|ochdy	[dchey:?] | [kchod:?] | [dchal:?] | [ochdy:?]	eine Dosis bis zur Mittelstufe trocknen und abschließen | [kchod:?] | [dchal:?] | [ochdy:?]
f26r	f26r.2	H	B	2	dchey aiin adeeody ykecthey chedy ytedy dy checthedy ls	6	6	1	dchey	5	3|4|6|8|9	adeeody|ykecthey|ytedy|checthedy|ls	[dchey:?] | Menge III | [adeeody:?] | [ykecthey:?] | trocken in der Mitte des Grades, abgeschlossen | [ytedy:?] | Qualitäts-/Wertfeld geschlossen | [checthedy:?] | [ls:?]	eine Dosis bis zur Mittelstufe trocknen und abschließen | Menge III | [adeeody:?] | [ykecthey:?] | trocken in der Mitte des Grades, abgeschlossen | [ytedy:?] | Qualitäts-/Wertfeld geschlossen | [checthedy:?] | [ls:?]
f27r	f27r.9	H	A	1	dchey keeod shotchey chol oty chy tolg	4	4	1	dchey	3	2|3|7	keeod|shotchey|tolg	[dchey:?] | [keeod:?] | [shotchey:?] | trocken; nominal trockenes Gut/Material | kalter Ansatz am Anfang des Grades | trocken am Anfang des Grades | [tolg:?]	eine Dosis bis zur Mittelstufe trocknen und abschließen | [keeod:?] | [shotchey:?] | trocken; nominal trockenes Gut/Material | kalter Ansatz am Anfang des Grades | trocken am Anfang des Grades | [tolg:?]
f30r	f30r.9	H	A	1	dchey qochar chol keeaiin chcthey chor cheky	3	3	1	dchey	2	2|4	qochar|keeaiin	[dchey:?] | [qochar:?] | trocken; nominal trockenes Gut/Material | [keeaiin:?] | Krautdroge bis zur mittleren Stufe trocknen | Pflanzen-/Reproduktionsteil | bis zur mittleren Trockenstufe, dann leicht erhitzen	eine Dosis bis zur Mittelstufe trocknen und abschließen | [qochar:?] | trocken; nominal trockenes Gut/Material | [keeaiin:?] | Krautdroge bis zur mittleren Stufe trocknen | Pflanzen-/Reproduktionsteil | bis zur mittleren Trockenstufe, dann leicht erhitzen
f49r	f49r.16	H	A	1	qocho cheey dchey qotchody	3	3	3	dchey	2	1|4	qocho|qotchody	[qocho:?] | trocken am Ende des Grades | [dchey:?] | [qotchody:?]	[qocho:?] | trocken am Ende des Grades | abgemessene Trockendroge der Mittelstufe, abgeschlossen | [qotchody:?]
f56r	f56r.6	H	A	1	ykcho dy dchey keey daiin y	2	2	3	dchey	1	1	ykcho	[ykcho:?] | Qualitäts-/Wertfeld geschlossen | [dchey:?] | heiß am Ende des Grades | Grad-/Maßwert III | Eintrag abgeschlossen	[ykcho:?] | Qualitäts-/Wertfeld geschlossen | abgemessene Trockendroge der Mittelstufe, abgeschlossen | heiß am Ende des Grades | Grad-/Maßwert III | Eintrag abgeschlossen
f75r	f75r.3	B	B	2	qokain chal orchey qey kain sheeky ltain olkar or	4	4	8	olkar	3	3|4|7	orchey|qey|ltain	heiß, Grad II | Rohstoffklasse I, trocken am Gradanfang | [orchey:?] | [qey:?] | heiß, Grad II | vollständig einweichen, erhitzen und abschließen | [ltain:?] | [olkar:?] | Drogenportion	heiß, Grad II | Rohstoffklasse I, trocken am Gradanfang | [orchey:?] | [qey:?] | heiß, Grad II | vollständig einweichen, erhitzen und abschließen | [ltain:?] | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | Drogenportion
f76v	f76v.10	B	B	2	cphdor shedal qopchdy dshedy shedy tchedy lsheetal shecphy daiin dy	3	3	8	shecphy	2	1|7	cphdor|lsheetal	[cphdor:?] | feuchte abgemessene Rohstoffmenge I in der Gradmitte | nimm fertig getrocknetes Pulver | weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab | feucht in der Mitte des Grades, abgeschlossen | kalt und trocken in der Mitte des Grades, abgeschlossen | [lsheetal:?] | [shecphy:?] | Grad-/Maßwert III | Qualitäts-/Wertfeld geschlossen	[cphdor:?] | feuchte abgemessene Rohstoffmenge I in der Gradmitte | nimm fertig getrocknetes Pulver | weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab | feucht in der Mitte des Grades, abgeschlossen | kalt und trocken in der Mitte des Grades, abgeschlossen | [lsheetal:?] | bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum | Grad-/Maßwert III | Qualitäts-/Wertfeld geschlossen
f77r	f77r.38	B	B	2	pol shedy qoeedy qokaiin chcphey qol ltaiin shedy qol	2	2	5	chcphey	1	7	ltaiin	Pulverstoff | feucht in der Mitte des Grades, abgeschlossen | nimm den vollständig fertiggestellten Ansatz | heiß, Grad III | [chcphey:?] | Drogenstoff zugeben | [ltaiin:?] | feucht in der Mitte des Grades, abgeschlossen | Drogenstoff zugeben	Pulverstoff | feucht in der Mitte des Grades, abgeschlossen | nimm den vollständig fertiggestellten Ansatz | heiß, Grad III | bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum | Drogenstoff zugeben | [ltaiin:?] | feucht in der Mitte des Grades, abgeschlossen | Drogenstoff zugeben
f77v	f77v.7	B	B	2	olshedy qolsheedy qy rr ycheedy okedy lshedy chs shdal chedy qolky	3	3	2	qolsheedy	2	3|4	qy|rr	Holzdroge im Ansatz vollständig eingeweicht | [qolsheedy:?] | [qy:?] | [rr:?] | trockne hiervon vollständig und stelle es fertig | heißer Ansatz in der Mitte des Grades, abgeschlossen | eingeweichtes Drogenholz | Trockengut, Grundform | feuchte abgemessene Rohstoffmenge I am Gradanfang | trocken in der Mitte des Grades, abgeschlossen | leicht erhitzten Drogenstoff hinzugeben	Holzdroge im Ansatz vollständig eingeweicht | vollständig eingeweichten und fertigen Drogenstoff zugeben | [qy:?] | [rr:?] | trockne hiervon vollständig und stelle es fertig | heißer Ansatz in der Mitte des Grades, abgeschlossen | eingeweichtes Drogenholz | Trockengut, Grundform | feuchte abgemessene Rohstoffmenge I am Gradanfang | trocken in der Mitte des Grades, abgeschlossen | leicht erhitzten Drogenstoff hinzugeben
f7r	f7r.2	H	A	1	dcheey keo r shor dold dchey kchey otchy cheody	3	3	6	dchey	2	2|5	keo|dold	eine Dosis vollständig trocknen und abschließen | [keo:?] | Wurzel | Blüten-/Fruchtstand; reproduktiver Teil | [dold:?] | [dchey:?] | heiß und trocken in der Mitte des Grades | kalt-trockener Ansatz am Anfang des Grades | getrockneter Ansatz	eine Dosis vollständig trocknen und abschließen | [keo:?] | Wurzel | Blüten-/Fruchtstand; reproduktiver Teil | [dold:?] | abgemessene Trockendroge der Mittelstufe, abgeschlossen | heiß und trocken in der Mitte des Grades | kalt-trockener Ansatz am Anfang des Grades | getrockneter Ansatz
f80r	f80r.17	B	B	2	solky sheckhy sheky shkeol qokar sheky chetain ol olkar okain sheky qokal da	5	5	9	olkar	4	1|4|7|13	solky|shkeol|chetain|da	[solky:?] | feuchtes Arzneikompositum am Gradanfang | bis zur Mittelstufe einweichen, erhitzen und abschließen | [shkeol:?] | heiße Drogenfraktion I | bis zur Mittelstufe einweichen, erhitzen und abschließen | [chetain:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | [olkar:?] | heiß im Zubereitungsrahmen, Grad II | bis zur Mittelstufe einweichen, erhitzen und abschließen | Rohstoffklasse I, heiß am Gradanfang | [da:?]	[solky:?] | feuchtes Arzneikompositum am Gradanfang | bis zur Mittelstufe einweichen, erhitzen und abschließen | [shkeol:?] | heiße Drogenfraktion I | bis zur Mittelstufe einweichen, erhitzen und abschließen | [chetain:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | heiß im Zubereitungsrahmen, Grad II | bis zur Mittelstufe einweichen, erhitzen und abschließen | Rohstoffklasse I, heiß am Gradanfang | [da:?]
f80v	f80v.27	B	B	2	pshol kain olkar shey qokain dal oltaiin okain shal qoty	2	2	3	olkar	1	7	oltaiin	eingeweichter Pulverstoff | heiß, Grad II | [olkar:?] | feucht in der Mitte des Grades | heiß, Grad II | abgemessene Rohstoffmenge I | [oltaiin:?] | heiß im Zubereitungsrahmen, Grad II | Rohstoffklasse I, feucht am Gradanfang | kalt am Anfang des Grades	eingeweichter Pulverstoff | heiß, Grad II | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | feucht in der Mitte des Grades | heiß, Grad II | abgemessene Rohstoffmenge I | [oltaiin:?] | heiß im Zubereitungsrahmen, Grad II | Rohstoffklasse I, feucht am Gradanfang | kalt am Anfang des Grades
f80v	f80v.35	B	B	2	tol oltain olkar y qol qol kain okiin ol kain shey ldy	3	3	3	olkar	2	2|8	oltain|okiin	kalt; nominal kaltes Gut/Material | [oltain:?] | [olkar:?] | hierzu: | Drogenstoff zugeben | Drogenstoff zugeben | heiß, Grad II | [okiin:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiß, Grad II | feucht in der Mitte des Grades | Holzdroge, fertig aufbereitet	kalt; nominal kaltes Gut/Material | [oltain:?] | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | hierzu: | Drogenstoff zugeben | Drogenstoff zugeben | heiß, Grad II | [okiin:?] | Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz | heiß, Grad II | feucht in der Mitte des Grades | Holzdroge, fertig aufbereitet
f83v	f83v.12	B	B	2	daiin shckhy qoeeo lldar cheey qoal qokeedy olkar sheedy qokain olal	3	3	8	olkar	2	3|4	qoeeo|lldar	Grad-/Maßwert III | Arzneikompositum: feucht, Gradanfang | [qoeeo:?] | [lldar:?] | trocken am Ende des Grades | Rohstoffklasse I | heiß am Ende des Grades, abgeschlossen | [olkar:?] | feucht am Ende des Grades, abgeschlossen | heiß, Grad II | Ansatz aus Holzrohstoff, Form I	Grad-/Maßwert III | Arzneikompositum: feucht, Gradanfang | [qoeeo:?] | [lldar:?] | trocken am Ende des Grades | Rohstoffklasse I | heiß am Ende des Grades, abgeschlossen | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | feucht am Ende des Grades, abgeschlossen | heiß, Grad II | Ansatz aus Holzrohstoff, Form I
f85r2	f85r2.5	C	B	2	ockhdar olkar shoral	3	3	2	olkar	2	1|3	ockhdar|shoral	[ockhdar:?] | [olkar:?] | [shoral:?]	[ockhdar:?] | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | [shoral:?]
f86v3	f86v3.13	C	B	2	osheey orsheey tcheody qokain qodaiin olkar chedaiin y chedy qokady cholkain	4	4	6	olkar	3	1|2|11	osheey|orsheey|cholkain	[osheey:?] | [orsheey:?] | abkühlen, bis zur Mittelstufe trocknen, ansetzen und fertigstellen | heiß, Grad II | Qualitätsgrad III | [olkar:?] | abgemessene Trockendroge, Dosis III | hierzu: | trocken in der Mitte des Grades, abgeschlossen | erhitze einen gleichen Teil und schließe ab | [cholkain:?]	[osheey:?] | [orsheey:?] | abkühlen, bis zur Mittelstufe trocknen, ansetzen und fertigstellen | heiß, Grad II | Qualitätsgrad III | erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen | abgemessene Trockendroge, Dosis III | hierzu: | trocken in der Mitte des Grades, abgeschlossen | erhitze einen gleichen Teil und schließe ab | [cholkain:?]
f86v3	f86v3.18	C	B	2	pchedaiin dchedy qokchdy qopchol shol sheody solkam	3	3	4	qopchol	2	1|7	pchedaiin|solkam	[pchedaiin:?] | abgemessene Trockendroge, fertig | heiß und trocken am Anfang des Grades, abgeschlossen | [qopchol:?] | feucht; nominal feuchtes Gut/Material | angefeuchteter Ansatz, abgeschlossen | [solkam:?]	[pchedaiin:?] | abgemessene Trockendroge, fertig | heiß und trocken am Anfang des Grades, abgeschlossen | nimm getrockneten Pulverstoff | feucht; nominal feuchtes Gut/Material | angefeuchteter Ansatz, abgeschlossen | [solkam:?]
