surface	card_class	composition	working_meaning_de	external_working_meaning_de	render_mode	confidence	source_positions	external_positions	external_lines	external_pages	sections	languages	hands	position_profile	reader_exact_both	reader_exact_one	reader_exact_neither	first_external_loci	decision	promote_to_v50	review_note
osheedy	P	O_PREP+SH_MOIST+EE_END+DY_FINISHED	Ansatz vollständig einweichen und fertigstellen	Ansatz vollständig einweichen und fertigstellen	LOCAL_UNTESTED	HIGH	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	The regular complete-moist process is morphologically supported but its exact surface occurs only on f81r.
oror	P	OR_PORTION+OR_PORTION	zwei Portionen	zwei Portionen	QUANTITY_ATTACHMENT	LOW	1	3	3	3	P:1|S:2	A:1|B:2	1:1|3:2	FINAL:2|SINGLETON:1	2	1	0	f102v2.3|f112v.10|f113v.12	HOLD_SAME_CARD	1	Three external occurrences are quantity-like, including one singleton and two post-state positions; retain the literal two-OR double-portion card without exporting a general repetition rule.
olam	P	O_PREP+L_WOOD+AM_UNIT_I	ein Maß Holzdroge im Ansatz	ein Maß Ansatz-/Drogenmaterial; Holzbindung offen	OL_BOUNDARY_OPEN	HIGH	1	4	4	4	S:4	B:4	3:4	FINAL:4	4	0	0	f112r.36|f113v.3|f114r.26|f116r.12	HOLD_WITH_SCOPE_SPLIT	1	Four external S/B/hand-3 occurrences are line-final and securely preserve AM as measure I; the surface does not decide O+L+AM versus OL+AM, so wood remains an explicit rival.
eses	W	LEARNED_ES_REPEAT	zwei Arzneispecies der Mittelstufe	zwei Arzneispecies der Mittelstufe	LEARNED_LOCAL_UNTESTED	LOW	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	The repeated learned species whole is unique to f81r; no general reduplication rule is exported.
dshees	P	D_MEASURE+SH_MOIST+EE_END+S_TERM_SPECIES	eine Charge vollständig eingeweichter Droge abmessen	Dosis oder Charge vollständig eingeweichter Arzneispecies	NOMINAL_MEASURE_OR_CHARGE	MEDIUM	1	1	1	1	S:1	B:1	3:1	INITIAL:1	1	0	0	f105r.2	HOLD_WITH_SCOPE_SPLIT	1	The external S/B/hand-3 line begins with the same D-SH-EE-S stack but has no independent action anchor; abmessen is reserved for explicit head syntax.
qoteesy	P	QO_COMMAND+T_COLD+EE_END+S_TERM_SPECIES+Y_START_OR_CLOSE	Arzneispecies vollständig abkühlen und abschließen	Arzneispecies vollständig abkühlen und abschließen	LOCAL_UNTESTED	MEDIUM	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	The terminal-species versus seed rival has no external exact occurrence and stays visible on f81r.
chcphey	P	CH_DRY+CPH_COMPOSITE+E_MIDDLE+Y_START_OR_CLOSE	Arzneikompositum bis zur Mittelstufe trocknen und abschließen	bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum	EXTERNAL_NOMINAL_RESULT	HIGH	1	2	2	2	B:1|S:1	B:2	2:1|3:1	MEDIAL:2	2	0	0	f114r.24|f77r.38	HOLD_WITH_ACTION_RESULT_SPLIT	1	Two external occurrences in S and B place the dry-composite-middle-close form among other composite, add and moist fields; catalogue position selects a result head.
shecphy	P	SH_MOIST+E_MIDDLE+CPH_COMPOSITE+Y_START_OR_CLOSE	Arzneikompositum bis zur Mittelstufe einweichen und abschließen	bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum	EXTERNAL_NOMINAL_RESULT	MEDIUM	1	2	2	2	B:1|S:1	B:2	2:1|3:1	MEDIAL:2	0	2	0	f106r.23|f76v.10	HOLD_WITH_ACTION_RESULT_SPLIT	1	Two external S/B and B/B occurrences retain the moist-middle-composite-close stack; grade and field-close neighbors select a nominal result head.
qotaldar	P	QO_COMMAND+T_COLD+AL_RAW_I+D_MEASURE+AR_FRACTION_I	erste Fraktion gekühlter Rohdroge I abmessen	erste Fraktion gekühlter Rohdroge I abmessen	LOCAL_UNTESTED	HIGH	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	The cold raw-I measured-first-fraction command has no external exact occurrence.
qokesdy	P	QO_COMMAND+K_HOT+E_MIDDLE+S_SEED+DY_FINISHED	erhitze Saatgut bis zur Mittelstufe und stelle es fertig	erhitze Saatgut bis zur Mittelstufe und stelle es fertig	LOCAL_UNTESTED	MEDIUM	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	The seed versus terminal-species issue cannot be tested outside f81r; retain the seed-heating card locally.
lchl	W	LEARNED_LCHL_WHOLE	getrocknetes Drogenholz	getrocknetes Drogenholz	LEARNED_EXACT_WHOLE	LOW	1	1	1	1	S:1	B:1	3:1	MEDIAL:1	1	0	0	f105r.31	HOLD_LEARNED_WHOLE	1	One external S/B/hand-3 occurrence admits the unchanged exact learned wood-drying whole; it does not license L-CH-L as a productive rule.
olkar	P	O_PREP+L_WOOD+K_HOT+AR_FRACTION_I	erste erhitzte Holzdrogenfraktion im Ansatz	erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen	OL_BOUNDARY_AND_READER_OPEN	HIGH	1	16	16	11	B:5|C:2|H:1|S:2|T:6	B:16	2:13|3:3	MEDIAL:16	13	1	2	f107r.40|f113v.17|f75r.3|f80r.17|f80v.27|f80v.35|f83v.12|f85r2.5	HOLD_WITH_SCOPE_SPLIT	1	Sixteen external positions across B, C, T, H and S secure heat plus fraction I; O+L versus OL remains open and two alternate-reader rivals are quarantined explicitly.
olkshdy	P	O_PREP+L_WOOD+K_HOT+SH_MOIST+DY_FINISHED	Holzdrogenansatz erhitzen, einweichen und fertigstellen	Holzdrogenansatz erhitzen, einweichen und fertigstellen	LOCAL_UNTESTED	HIGH	1	0	0	0	NONE	NONE	NONE	NONE	0	0	0	NONE	SOURCE_PAGE_ONLY_UNTESTED	0	The ordered wood-heat-moist-finish chain has no external exact occurrence and remains f81r-local.
