statement_id	physical_page	register	event_count	surface_sequence	pass1025_recipe_sequence	pass1026_recipe_sequence	literal_core_reading_de	changed_event_ids
P1009-S056	f72r	CELESTIAL	13	okeeols aroly okees alaiin okeor chol o oteos aiin chal otaiin atchor chckhy	OK+EE+OL | AR+OL | OK+EE+Y | AL+AIIN | OK+E+OR | OL | O | OT+EE+O+S_ADDR | AIIN | CH+AL | OT+AIIN | T+CH+OR | CH+K+Y	OK+EE+OL+S | AR+OL+Y | OK+EE+S | AL+AIIN | OK+E+OR | OL | O | OT+E+O+S_ADDR | AIIN | CH+AL | OT+AIIN | A_ADDR+T+CH+OR | CH+K+Y	SETZEN · GRAD II · FORTSETZEN · WÄHLEN / AUSGANG · FORTSETZEN · AKTIVER POSTEN / SETZEN · GRAD II · WÄHLEN / ZIELORT · WERT / SETZEN · GRAD I · EINHEIT / FORTSETZEN / AUSFÜHRUNG / DANACH · GRAD I · AUSFÜHRUNG · HIER / WERT / NEHMEN · ZIELORT / DANACH · WERT / HIER · EINSTELLEN · NEHMEN · EINHEIT / NEHMEN · GEBEN · AKTIVER POSTEN	P1008-E0177|P1008-E0178|P1008-E0179|P1008-E0184|P1008-E0188
P1009-S057	f72r	CELESTIAL	41	oteos aiin okeo daiin okeey cheo keodal chol okeol oly oteeykeey tey okalaiin okalchal chey al o keey daiin otar al chotaiin otchey qoeeeo s ckhal chekaiin otaiin chy d r aiin al y o chekaiin okedal qokeodal saiin otois otees	OT+EE+O+S_ADDR | AIIN | OK+E+O | AIIN | OK+EE+Y | CH+E+O | T+E+O+D_ADDR+AL | OL | OK+E+OL | OL+Y | OT+E+O+K+EE+Y | T+EE+Y | OK+AIIN | OK+CH+AL | Y | AL | O | K+EE+Y | AIIN | OT+AR | AL | OT+AIIN | OT+Y | O+EE+Y | S | CH+AL | CH+K+EE+K+AIIN | OT+AIIN | Y | D_ADDR | R | AIIN | AL | Y | O | CH+K+EE+K+AIIN | OK+AL | OK+EE+AL | S+AIIN | OT+O | OT+EE+Y	OT+E+O+S_ADDR | AIIN | OK+E+O | AIIN | OK+EE+Y | CH+E+O | K+E+O+AL | OL | OK+E+OL | OL+Y | OT+E+O+K+EE+Y | T+E+Y | OK+AIIN | OK+CH+AL | Y | AL | O | K+EE+Y | AIIN | OT+AR | AL | OT+AIIN | OT+Y | O+EE+Y | S | CH+K+AL | CH+K+AIIN | OT+AIIN | Y | D_ADDR | R | AIIN | AL | Y | O | CH+K+AIIN | OK+AL | OK+E+O+AL | S+AIIN | OT+O | OT+EE+S	DANACH · GRAD I · AUSFÜHRUNG · HIER / WERT / SETZEN · GRAD I · AUSFÜHRUNG / WERT / SETZEN · GRAD II · AKTIVER POSTEN / NEHMEN · GRAD I · AUSFÜHRUNG / GEBEN · GRAD I · AUSFÜHRUNG · ZIELORT / FORTSETZEN / SETZEN · GRAD I · FORTSETZEN / FORTSETZEN · AKTIVER POSTEN / DANACH · GRAD I · AUSFÜHRUNG · GEBEN · GRAD II · AKTIVER POSTEN / EINSTELLEN · GRAD I · AKTIVER POSTEN / SETZEN · WERT / SETZEN · NEHMEN · ZIELORT / AKTIVER POSTEN / ZIELORT / AUSFÜHRUNG / GEBEN · GRAD II · AKTIVER POSTEN / WERT / DANACH · AUSGANG / ZIELORT / DANACH · WERT / DANACH · AKTIVER POSTEN / AUSFÜHRUNG · GRAD II · AKTIVER POSTEN / WÄHLEN / NEHMEN · GEBEN · ZIELORT / NEHMEN · GEBEN · WERT / DANACH · WERT / AKTIVER POSTEN / HIER / MARKIEREN / WERT / ZIELORT / AKTIVER POSTEN / AUSFÜHRUNG / NEHMEN · GEBEN · WERT / SETZEN · ZIELORT / SETZEN · GRAD I · AUSFÜHRUNG · ZIELORT / WÄHLEN · WERT / DANACH · AUSFÜHRUNG / DANACH · GRAD II · WÄHLEN	P1008-E0195|P1008-E0201|P1008-E0206|P1008-E0220|P1008-E0221|P1008-E0230|P1008-E0232|P1008-E0235
P1009-S058	f72r	CELESTIAL	17	oteey tey teodal chokaly ol cheol ol aiin oteo daiin shokal otey otaiin otaly dal okaly dalchdy	OT+EE+Y | T+EE+Y | T+E+O+D_ADDR+AL | OK+AL | OL | CH+E+O+L | OL | AIIN | OT+O | AIIN | OK+AL | OT+E+Y | OT+AIIN | OT+AL+Y | AL | OK+AL | AL+CHD+DY	OT+EE+Y | T+E+Y | T+E+O+D_ADDR+AL | OK+AL+Y | OL | CH+E+O+L | OL | AIIN | OT+E+O | AIIN | SH+OK+AL | OT+E+Y | OT+AIIN | OT+AL+Y | AL | OK+AL+Y | AL+CHD+DY	DANACH · GRAD II · AKTIVER POSTEN / EINSTELLEN · GRAD I · AKTIVER POSTEN / EINSTELLEN · GRAD I · AUSFÜHRUNG · HIER · ZIELORT / SETZEN · ZIELORT · AKTIVER POSTEN / FORTSETZEN / NEHMEN · GRAD I · AUSFÜHRUNG · VERBINDUNG / FORTSETZEN / WERT / DANACH · GRAD I · AUSFÜHRUNG / WERT / HALTEN · SETZEN · ZIELORT / DANACH · GRAD I · AKTIVER POSTEN / DANACH · WERT / DANACH · ZIELORT · AKTIVER POSTEN / ZIELORT / SETZEN · ZIELORT · AKTIVER POSTEN / ZIELORT · UMSETZEN · SCHLUSS	P1008-E0254|P1008-E0256|P1008-E0261|P1008-E0263|P1008-E0268
P1009-S059	f72r	CELESTIAL	4	eteeey okal shey qoteeody	T+EEE+Y | OK+AL | SH+E+Y | OT+EE+DY	E+T+EEE+Y | OK+AL | SH+E+Y | OT+EE+O+DY	GRAD I · EINSTELLEN · GRAD III · AKTIVER POSTEN / SETZEN · ZIELORT / HALTEN · GRAD I · AKTIVER POSTEN / DANACH · GRAD II · AUSFÜHRUNG · SCHLUSS	P1008-E0270|P1008-E0273
P1009-S060	f72r	CELESTIAL	5	sheycthy chotal chas otoees aiin	SH+E+CH+T+Y | OT+AL | CH+O+S | OT+EE+Y | AIIN	SH+E+Y+CH+T+Y | OT+AL | CH+A_ADDR+S | OT+EE+Y | AIIN	HALTEN · GRAD I · AKTIVER POSTEN · NEHMEN · EINSTELLEN · AKTIVER POSTEN / DANACH · ZIELORT / NEHMEN · HIER · WÄHLEN / DANACH · GRAD II · AKTIVER POSTEN / WERT	P1008-E0274|P1008-E0276
P1009-S061	f72r	CELESTIAL	15	otoar air aloy okaiin otees chs chchs ar aly taly dar otchey okaiin olaiin y	OT+AR | AIR | AL+Y | OK+AIIN | OT+EE+Y | CH+O+S | CH+CH+S | AR | AL+Y | T+AL | D_ADDR+AR | OT+Y | OK+AIIN | OL+AIIN | Y	OT+O+AR | AIR | AL+O+Y | OK+AIIN | OT+EE+S | CH+S | CH+CH+S | AR | AL+Y | T+AL+Y | D_ADDR+AR | OT+Y | OK+AIIN | OL+AIIN | Y	DANACH · AUSFÜHRUNG · AUSGANG / LAUF / ZIELORT · AUSFÜHRUNG · AKTIVER POSTEN / SETZEN · WERT / DANACH · GRAD II · WÄHLEN / NEHMEN · WÄHLEN / NEHMEN · NEHMEN · WÄHLEN / AUSGANG / ZIELORT · AKTIVER POSTEN / EINSTELLEN · ZIELORT · AKTIVER POSTEN / HIER · AUSGANG / DANACH · AKTIVER POSTEN / SETZEN · WERT / FORTSETZEN · WERT / AKTIVER POSTEN	P1008-E0288|P1008-E0290|P1008-E0292|P1008-E0293|P1008-E0297
P1009-S062	f72r	CELESTIAL	11	okeey chekoy oteo ykeey chedaiin okeeol cheeor chocthar ar oteody oteedy	OK+EE+Y | CH+K+O+D_ADDR+Y | OT+O | Y+K+EE+Y | CHD+AIIN | OK+EE+OL | CH+EE+OR | CH+O+CH+T+AR | AR | OT+E+O+Y | OT+EE+DY	OK+EE+Y | CH+K+O+Y | OT+E+O | Y+K+EE+Y | CHD+AIIN | OK+EE+OL | CH+EE+OR | CH+O+CH+T+AR | AR | OT+E+O+Y | OT+EE+DY	SETZEN · GRAD II · AKTIVER POSTEN / NEHMEN · GEBEN · AUSFÜHRUNG · AKTIVER POSTEN / DANACH · GRAD I · AUSFÜHRUNG / AKTIVER POSTEN · GEBEN · GRAD II · AKTIVER POSTEN / UMSETZEN · WERT / SETZEN · GRAD II · FORTSETZEN / NEHMEN · GRAD II · EINHEIT / NEHMEN · AUSFÜHRUNG · NEHMEN · EINSTELLEN · AUSGANG / AUSGANG / DANACH · GRAD I · AUSFÜHRUNG · AKTIVER POSTEN / DANACH · GRAD II · SCHLUSS	P1008-E0304|P1008-E0305
P1009-S063	f72r	CELESTIAL	19	okeolaiin oteey okarar teo sheol al alaiiin okeos alaiin okor o keodar okee s ar aiin chekackhy chokees oteedy	OK+E+OL+AIIN | OT+EE+Y | OK+AL+AR | E+OL | SH+E+OL | AL | AL+AIIN | OK+E+O | AL+AIIN | OK+OR | O | O+D_ADDR+AR | OK+EE+Y | S | AR | AIIN | CH+E+CH+K+Y | OK+EE+Y | OT+EE+DY	OK+E+OL+AIIN | OT+EE+Y | OK+AR+AR | T+E+O | SH+E+OL | AL | AL+AIIN+LOCAL_CHAR_I | OK+E+O+S | AL+AIIN | OK+OR | O | O+D_ADDR+AR | OK+EE | S | AR | AIIN | CH+E+CH+K+Y | OK+EE+S | OT+EE+DY	SETZEN · GRAD I · FORTSETZEN · WERT / DANACH · GRAD II · AKTIVER POSTEN / SETZEN · AUSGANG · AUSGANG / EINSTELLEN · GRAD I · AUSFÜHRUNG / HALTEN · GRAD I · FORTSETZEN / ZIELORT / ZIELORT · WERT · VARIANTE / SETZEN · GRAD I · AUSFÜHRUNG · WÄHLEN / ZIELORT · WERT / SETZEN · EINHEIT / AUSFÜHRUNG / AUSFÜHRUNG · HIER · AUSGANG / SETZEN · GRAD II / WÄHLEN / AUSGANG / WERT / NEHMEN · GRAD I · NEHMEN · GEBEN · AKTIVER POSTEN / SETZEN · GRAD II · WÄHLEN / DANACH · GRAD II · SCHLUSS	P1008-E0316|P1008-E0317|P1008-E0320|P1008-E0321|P1008-E0326|P1008-E0331
P1009-S064	f72r	CELESTIAL	17	chekar okar choly ches os oiin okeeey cheey ches okeody chealdy shocthy choteey sheoly eol sheey chorain	CH+K+AR | OK+AR | OL+Y | CH+E+S | OS | O+IIN | OK+EE+Y | SH+EE+Y | CH+E+S | OK+E+O+D_ADDR+Y | AL+Y | SH+CH+T+Y | CH+OT+EE+Y | SH+E+OL | OL | SH+EE+Y | OR+AIN	CH+K+AR | OK+AR | OL+Y | CH+E+S | OS | O+IIN | OK+EEE+Y | SH+EE+Y | CH+E+S | OK+E+O+D_ADDR+Y | AL+Y | SH+O+CH+T+Y | CH+OT+EE+Y | SH+E+OL+Y | E+OL | SH+EE+Y | OR+AIN	NEHMEN · GEBEN · AUSGANG / SETZEN · AUSGANG / FORTSETZEN · AKTIVER POSTEN / NEHMEN · GRAD I · WÄHLEN / VORBEZUG / AUSFÜHRUNG · STUFE / SETZEN · GRAD III · AKTIVER POSTEN / HALTEN · GRAD II · AKTIVER POSTEN / NEHMEN · GRAD I · WÄHLEN / SETZEN · GRAD I · AUSFÜHRUNG · HIER · AKTIVER POSTEN / ZIELORT · AKTIVER POSTEN / HALTEN · AUSFÜHRUNG · NEHMEN · EINSTELLEN · AKTIVER POSTEN / NEHMEN · DANACH · GRAD II · AKTIVER POSTEN / HALTEN · GRAD I · FORTSETZEN · AKTIVER POSTEN / GRAD I · FORTSETZEN / HALTEN · GRAD II · AKTIVER POSTEN / EINHEIT · ANTEIL	P1008-E0339|P1008-E0344|P1008-E0346|P1008-E0347
P1009-S065	f72r	CELESTIAL	1	otochedy	OT+CHD+DY	OT+O+CHD+DY	DANACH · AUSFÜHRUNG · UMSETZEN · SCHLUSS	P1008-E0368
P1009-S066	f72r	CELESTIAL	4	otey o koey sheedy	OT+E+Y | O | K+EE+Y | SH+EE+DY	OT+E+Y | O | K+O+E+Y | SH+EE+DY	DANACH · GRAD I · AKTIVER POSTEN / AUSFÜHRUNG / GEBEN · AUSFÜHRUNG · GRAD I · AKTIVER POSTEN / HALTEN · GRAD II · SCHLUSS	P1008-E0371
P1009-S067	f72r	CELESTIAL	36	oteodar ykeolol y air oteos cheo l aiin ykeeoly otaiin shear oiiin oral o tealy cheokeor oteody oes otees chteos doteey sosor oteol shol cheeg okeody eol shey sheysy shoteey cheor yoeteey okeeol chy okeeo ykoly	OT+E+O+D_ADDR+AR | Y+K+E+OL+OL | Y | AIR | OT+EE+O+S_ADDR | CH+E+O | L | AIIN | Y+K+OL+Y | OT+AIIN | SH+E+AR | O+IIN | OR+AL+Y | O | AL+Y | OK+OR | OT+E+O+Y | OS | OT+EE+Y | CH+T+O+S | OT+EE+Y | S+OR | OT+E+OL | SH+OL | SH+EE+Y | OK+E+O+D_ADDR+Y | OL | SH+E+Y | SH+E+Y | CH+OT+EE+Y | CH+E+O+R | Y+T+EE+Y | OK+EE+OL | Y | OK+E+O | Y+K+OL+Y	OT+E+O+D_ADDR+AR | Y+K+E+OL+OL | Y | AIR | OT+E+O+S_ADDR | CH+E+O | L | AIIN | Y+K+OL+Y | OT+AIIN | SH+E+AR | O+IIN | OR+AL | O | AL+Y | OK+OR | OT+E+O+Y | OS | OT+EE+S | CH+T+E+O+S | D_ADDR+OT+EE+Y | S+OR | OT+E+OL | SH+OL | SH+EE+LOCAL_CHAR_G | OK+E+O+D_ADDR+Y | E+OL | SH+E+Y | SH+E+Y | SH+OT+EE+Y | CH+E+O+R | Y+T+EE+Y | OK+EE+OL | Y | OK+EE+O | Y+K+OL+Y	DANACH · GRAD I · AUSFÜHRUNG · HIER · AUSGANG / AKTIVER POSTEN · GEBEN · GRAD I · FORTSETZEN · FORTSETZEN / AKTIVER POSTEN / LAUF / DANACH · GRAD I · AUSFÜHRUNG · HIER / NEHMEN · GRAD I · AUSFÜHRUNG / VERBINDUNG / WERT / AKTIVER POSTEN · GEBEN · FORTSETZEN · AKTIVER POSTEN / DANACH · WERT / HALTEN · GRAD I · AUSGANG / AUSFÜHRUNG · STUFE / EINHEIT · ZIELORT / AUSFÜHRUNG / ZIELORT · AKTIVER POSTEN / SETZEN · EINHEIT / DANACH · GRAD I · AUSFÜHRUNG · AKTIVER POSTEN / VORBEZUG / DANACH · GRAD II · WÄHLEN / NEHMEN · EINSTELLEN · GRAD I · AUSFÜHRUNG · WÄHLEN / HIER · DANACH · GRAD II · AKTIVER POSTEN / WÄHLEN · EINHEIT / DANACH · GRAD I · FORTSETZEN / HALTEN · FORTSETZEN / HALTEN · GRAD II · VARIANTE / SETZEN · GRAD I · AUSFÜHRUNG · HIER · AKTIVER POSTEN / GRAD I · FORTSETZEN / HALTEN · GRAD I · AKTIVER POSTEN / HALTEN · GRAD I · AKTIVER POSTEN / HALTEN · DANACH · GRAD II · AKTIVER POSTEN / NEHMEN · GRAD I · AUSFÜHRUNG · MARKIEREN / AKTIVER POSTEN · EINSTELLEN · GRAD II · AKTIVER POSTEN / SETZEN · GRAD II · FORTSETZEN / AKTIVER POSTEN / SETZEN · GRAD II · AUSFÜHRUNG / AKTIVER POSTEN · GEBEN · FORTSETZEN · AKTIVER POSTEN	P1008-E0377|P1008-E0385|P1008-E0391|P1008-E0392|P1008-E0393|P1008-E0397|P1008-E0399|P1008-E0402|P1008-E0407
