surface	old_current_recipe	corrected_recipe	audit_decision	rule	confidence
cheo	CH+E+O	CH+E+O	CURRENT_ALREADY_REPAIRED	DIRECT_VISIBLE_PACKAGE	HIGH
cheocphy	CH+E+O+CH+K+Y	CH+E+O+CH+P+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
cheodain	CHD+AIN	CH+E+O+D_ADDR+AIN	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
cheodal	CH+E+O+K+AL	CH+E+O+AL	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
cheok	CH+E+O+L	CH+E+O+K	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
cheokor	OK+OR	OK+E+OR	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
cheoldy	CH+E+O+Y	CH+E+O+L+Y	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
cheolor	OL+OR	OL+E+OR	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
chep	Y	CH+E+P	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
chepy	Y	CH+E+P+Y	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
cheyl	Y	Y+L	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_L	WORKING
chkaiin	CH+AIIN	CH+K+AIIN	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_K	WORKING
chlol	OL	L+OL	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_L	WORKING
chokaiin	SH+OK+AIIN	OK+AIIN	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
chokaly	OK+AL	OK+AL+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_Y	WORKING
chokees	OK+EE+Y	OK+EE+S	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
chokeol	OK+OL	OK+E+OL	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
choldy	OL+Y	OL+Y	LICENSED_SAME_RECIPE	DIRECT_VISIBLE_PACKAGE	HIGH
chom	HO	HO+M_LOCAL	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_M	WORKING
chs	CH+O+S	CH+S	RESEGMENT_VISIBLE_EDIT	VISIBLE_DELETE_O	WORKING
chteos	CH+T+O+S	CH+T+E+O+S	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
chykchy	OK+CH+Y	Y+K+CH+Y	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
ckhal	CH+AL	CH+K+AL	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
ckho	CH+K+Y	CH+K+O	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
ckhol	OL	CH+K+OL	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
ctheody	CH+E+O+Y	CH+T+E+O+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_T	WORKING
daim	AIN	A_ADDR+LOCAL_CHAR_I+M_LOCAL	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
dalaiin	AL+AIIN	AL+AIIN	LICENSED_SAME_RECIPE	DIRECT_VISIBLE_PACKAGE	HIGH
daldaiin	S+AL+D_ADDR+AIIN	AL+AIIN	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
daldal	AL+AL	AL+AL	LICENSED_SAME_RECIPE	DIRECT_VISIBLE_PACKAGE	HIGH
dals	AL	AL+S	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_S	WORKING
dalshedy	AL+CHD+DY	AL+SH+E+DY	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
daly	AL	AL+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_Y	WORKING
darod	D_ADDR+AR+OR	D_ADDR+AR+O+D_ADDR	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
dcheedy	CH+EE+D_ADDR+Y	D_ADDR+CH+EE+D_ADDR+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_D_ADDRESS	WORKING
doldaiin	OL+D_ADDR+AIIN	OL+AIIN	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
doldy	OL+DY	OL+DY	LICENSED_SAME_RECIPE	DIRECT_VISIBLE_PACKAGE	HIGH
doteey	OT+EE+Y	D_ADDR+OT+EE+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_D_ADDRESS	WORKING
dshdy	SH+E+DY	SH+DY	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
dshody	SH+E+DY	SH+O+DY	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
edy	Y	E+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
eedy	EEE+DY	EE+DY	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
eky	E+Y	E+K+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_K	WORKING
eol	OL	E+OL	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
eteeey	T+EEE+Y	E+T+EEE+Y	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
g	Y	LOCAL_CHAR_G	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
keeo	K+EE+O+D_ADDR	K+EE+O	RESEGMENT_VISIBLE_EDIT	VISIBLE_REMOVE_D_ADDRESS	WORKING
keodal	T+E+O+D_ADDR+AL	K+E+O+AL	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
koey	K+EE+Y	K+O+E+Y	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
kolpy	K+OL+DY	K+OL+P+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
koly	OL+Y	K+OL+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_K	WORKING
lchar	AR	L+AR	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_L	WORKING
ldaiin	AIIN	L+AIIN	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_L	WORKING
ldain	AIN	L+AIN	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_L	WORKING
lkain	K+AIN	L+K+AIN	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_L	WORKING
lkar	K+AR	L+K+AR	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_L	WORKING
lkey	L+K+E+DY	L+K+E+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_REMOVE_CLOSE	WORKING
loiiin	O+IIN	L+O+IIN	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_L	WORKING
lsh	L+SH+O	L+SH	RESEGMENT_VISIBLE_EDIT	VISIBLE_DELETE_O	WORKING
lshcthy	SH+CH+T+Y	L+SH+CH+T+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_L	WORKING
ocheol	CH+E+O+L	O+CH+E+O+L	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_O	WORKING
octhor	CH+T+OR	O+CH+T+OR	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_O	WORKING
oeckhy	O+CH+K+Y	O+E+CH+K+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
oeeor	OT+E+OR	O+EE+OR	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
oes	OS	OS	LICENSED_SAME_RECIPE	LICENSED_OS_OES	HIGH
okaiir	OK+AIIN	OK+IIN+R	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
okalal	OK+AL+AR	OK+AL+AL	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
okaly	OK+AL	OK+AL+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_Y	WORKING
okarar	OK+AL+AR	OK+AR+AR	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
okedor	OK+EE+OR	OK+E+D_ADDR+OR	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
okee	OK+EE+Y	OK+EE	RESEGMENT_VISIBLE_EDIT	VISIBLE_REMOVE_Y	WORKING
okeed	OK+EE+DY	OK+EE+D_ADDR	RESEGMENT_VISIBLE_EDIT	VISIBLE_REMOVE_Y	WORKING
okeedal	OK+EE+AL	OK+EE+AL	LICENSED_SAME_RECIPE	LICENSED_Q_WRAPPER	HIGH
okeeey	OK+EE+Y	OK+EEE+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
okeeo	OK+E+O	OK+EE+O	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
okeeols	OK+EE+OL	OK+EE+OL+S	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_S	WORKING
okees	OK+EE+Y	OK+EE+S	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
okeor	OK+E+OR	OK+E+OR	CURRENT_ALREADY_REPAIRED	DIRECT_VISIBLE_PACKAGE	HIGH
okeos	OK+E+O	OK+E+O+S	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_S	WORKING
okeoy	OK+E+O+Y	OK+E+O+Y	LICENSED_SAME_RECIPE	LICENSED_Q_WRAPPER	HIGH
okochey	OK+Y	OK+O+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_O	WORKING
okoiin	OK+AIIN	OK+O+IIN	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
okshal	OK+CH+AL	OK+SH+AL	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
olain	OL+AIIN	OL+AIN	RESEGMENT_VISIBLE_EDIT	VISIBLE_I_CHANGE	WORKING
olchdy	OL+CHD+DY	OL+CHD+DY	LICENSED_SAME_RECIPE	LICENSED_CHD_CHED	HIGH
oldain	OL+D_ADDR+AIIN	OL+AIN	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
oleeed	O+EEE+D_ADDR	OL+EEE+D_ADDR	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
olkey	OL+K+EE+Y	OL+K+E+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
ollchy	OL+CH+Y	OL+L+CH+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_L	WORKING
olody	OL+DY	OL+O+DY	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_O	WORKING
olsheed	OL+SH+EE+DY	OL+SH+EE+D_ADDR	RESEGMENT_VISIBLE_EDIT	VISIBLE_REMOVE_Y	WORKING
opar	P+AR	O+P+AR	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_O	WORKING
opchdy	P+CHD+Y	O+P+CHD+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_O	WORKING
opchedy	P+CHD+DY	O+P+CHD+DY	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_O	WORKING
opcheol	O+P+CH+EE+OL	O+P+CH+E+OL	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
opcheor	O+P+CH+OR	O+P+CH+E+OR	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
opchey	P+Y	O+P+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_O	WORKING
opshdy	CARRIER_Q+O+P+SH+D_ADDR+Y	O+P+SH+D_ADDR+Y	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
opshey	O+P+SH+E+Y	O+P+SH+E+Y	LICENSED_SAME_RECIPE	VISIBLE_REMOVE_D_ADDRESS	WORKING
oral	OR+AL+Y	OR+AL	RESEGMENT_VISIBLE_EDIT	VISIBLE_REMOVE_Y	WORKING
oshor	SH+OR	O+SH+OR	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_O	WORKING
ot	OT+Y	OT	RESEGMENT_VISIBLE_EDIT	VISIBLE_REMOVE_Y	WORKING
otalam	T+AL+AM_ADDR	OT+AL+AM_ADDR	RESEGMENT_VISIBLE_EDIT	VISIBLE_OT_FRAME	WORKING
otear	OT+AR	OT+E+AR	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
otedar	OT+E+O+D_ADDR+AR	OT+E+D_ADDR+AR	RESEGMENT_VISIBLE_EDIT	VISIBLE_DELETE_O	WORKING
otedyl	OT+E+DY	OT+E+DY+L	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_L	WORKING
oteees	OT+EE+O+S_ADDR	OT+EEE+S_ADDR	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
oteeo	OT+EE+Y	OT+EE+O	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
oteeor	OT+E+OR	OT+EE+OR	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
otees	OT+EE+Y	OT+EE+S	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
oteo	OT+O	OT+E+O	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
oteos	OT+EE+O+S_ADDR	OT+E+O+S_ADDR	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
otoar	OT+AR	OT+O+AR	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_O	WORKING
otochedy	OT+CHD+DY	OT+O+CHD+DY	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_O	WORKING
otos	OT+O	OT+O+S	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_S	WORKING
otshol	OT+CH+OL	OT+SH+OL	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
pshedy	SH+E+DY	P+SH+E+DY	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_P	WORKING
pshol	SH+OL	P+SH+OL	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_P	WORKING
qa	O	A_ADDR	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
qeaiin	CARRIER_Q+O+AIIN	CARRIER_Q+E+AIIN	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
qeeey	CARRIER_Q+EE+Y	CARRIER_Q+EEE+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
qkor	OR	K+OR	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_K	WORKING
qoaiis	CARRIER_Q+O+AIIN	CARRIER_Q+O+IIN+S	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
qoar	O+D_ADDR+AR	O+AR	RESEGMENT_VISIBLE_EDIT	VISIBLE_REMOVE_D_ADDRESS	WORKING
qoay	K+O+A_ADDR+Y	CARRIER_Q+O+A_ADDR+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
qochy	O+P+Y	O+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_DELETE_P	WORKING
qockhedy	O+CH+K+E+Y	O+CH+K+E+Y	LICENSED_SAME_RECIPE	DIRECT_VISIBLE_PACKAGE	HIGH
qocthy	O+D_ADDR+CH+T+Y	O+CH+T+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_REMOVE_D_ADDRESS	WORKING
qodaiin	CARRIER_Q+O+AIIN	CARRIER_Q+O+AIIN	LICENSED_SAME_RECIPE	DIRECT_VISIBLE_PACKAGE	HIGH
qoeair	CARRIER_Q+O+LOCAL_CHAR_F+AIR	CARRIER_Q+O+E+AIR	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
qokaldy	OK+AL+Y	OK+AL+Y	LICENSED_SAME_RECIPE	DIRECT_VISIBLE_PACKAGE	HIGH
qokas	OK+AL	OK+A_ADDR+S	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
qokchdyl	OK+CHD+DY	OK+CHD+DY+L	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_L	WORKING
qokchor	OK+CH+OR	OK+CH+OR	LICENSED_SAME_RECIPE	LICENSED_Q_WRAPPER	HIGH
qokchsdy	OK+CHD+DY	OK+CHD+S+DY	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_S	WORKING
qokechy	OK+Y	OK+E+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
qokedar	OK+E+AR	OK+E+D_ADDR+AR	RESEGMENT_VISIBLE_EDIT	VISIBLE_D_ADDRESS	WORKING
qokeeo	OK+EE+Y	OK+EE+O	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
qokeeol	OK+E+OL	OK+EE+OL	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
qokeeyl	OK+EE+Y	OK+EE+Y+L	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_L	WORKING
qokeodal	OK+EE+AL	OK+E+O+AL	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
qokod	OK+O+DY	OK+O+D_ADDR	RESEGMENT_VISIBLE_EDIT	VISIBLE_REMOVE_Y	WORKING
qolaiin	OL+AIIN	OL+AIIN	LICENSED_SAME_RECIPE	LICENSED_Q_WRAPPER	HIGH
qolain	OK+AIN	OL+AIN	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
qolp	OL	OL+P	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_P	WORKING
qopchey	O+P+Y	O+P+E+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
qorain	OR+AIN	OR+AIN	LICENSED_SAME_RECIPE	LICENSED_Q_WRAPPER	HIGH
qotaly	OT+AL	OT+AL+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_Y	WORKING
qoteeody	OT+EE+DY	OT+EE+O+DY	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_O	WORKING
qoteol	OT+E+OL	OT+E+OL	LICENSED_SAME_RECIPE	LICENSED_Q_WRAPPER	HIGH
qotes	OT+E+Y	OT+E+S	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
raiiin	R+AIIN	R+AIIN+LOCAL_CHAR_I	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
rory	R+OR	R+OR+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_Y	WORKING
scheor	CH+E+O+R	S+CH+E+O+R	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_S	WORKING
seey	SH+EE+Y	S+EE+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_REMOVE_H	WORKING
shar	SH+E+AR	SH+AR	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
sheals	SH+E+AL	SH+E+AL+S	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_S	WORKING
shed	SH+E+DY	SH+E+D_ADDR	RESEGMENT_VISIBLE_EDIT	VISIBLE_REMOVE_Y	WORKING
sheeos	SH+EE+S	SH+EE+O+S	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_O	WORKING
sheodal	SH+E+AL	SH+E+O+AL	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
sheoly	SH+E+OL	SH+E+OL+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_Y	WORKING
shes	SH+EE+S	SH+E+S	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
shetey	SH+EE+Y	SH+E+T+E+Y	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
sheycthy	SH+E+CH+T+Y	SH+E+Y+CH+T+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_Y	WORKING
sheyr	SH+E+Y	SH+E+Y+R	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_R	WORKING
shocthy	SH+CH+T+Y	SH+O+CH+T+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_O	WORKING
shoety	SH+EE+T+Y	SH+O+E+T+Y	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
shokal	OK+AL	SH+OK+AL	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
sholdy	S+OL+D_ADDR+Y	SH+OL+D_ADDR+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_SH_FRAME	WORKING
shoteey	CH+OT+EE+Y	SH+OT+EE+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
soin	S+AIN	S+O+IIN	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
solshey	OL+SH+E+DY	OL+SH+E+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_REMOVE_CLOSE	WORKING
taly	T+AL	T+AL+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_Y	WORKING
tchodol	P+CH+O+D_ADDR+OL	T+CH+O+D_ADDR+OL	RESEGMENT_VISIBLE_EDIT	VISIBLE_SUBSTITUTION	WORKING
tdain	AIN	T+AIN	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_T	WORKING
teeody	OT+EE+O+DY	T+EE+O+DY	RESEGMENT_VISIBLE_EDIT	VISIBLE_REMOVE_OT_FRAME	WORKING
teo	E+OL	T+E+O	RESEGMENT_VISIBLE_EDIT	DIRECT_VISIBLE_PACKAGE	HIGH
tey	T+EE+Y	T+E+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_E_GRADE	HIGH
ychair	CH+AIR	Y+CH+AIR	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_Y	WORKING
ychekch	Y+CH+K+Y	Y+CH+K	RESEGMENT_VISIBLE_EDIT	VISIBLE_REMOVE_Y	WORKING
ycheo	Y+CH+E+O+R	Y+CH+E+O	RESEGMENT_VISIBLE_EDIT	VISIBLE_DELETE_R	WORKING
ychy	Y	Y+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_Y	WORKING
ykchdy	K+CHD+Y	Y+K+CHD+Y	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_Y	WORKING
ykchol	K+OL	Y+K+OL	RESEGMENT_VISIBLE_EDIT	VISIBLE_INSERT_Y	WORKING
