passage_id	kind	group_id	outcome	stem	distance_cell	candidate_locus	candidate_span	candidate_full_line	control_locus	control_span	control_full_line	note
G803-P011	CORE_COUNTEREXAMPLE	LEFT_QOK4	M_SURFACE_INSIDE_L_FAVOURING_CONTEXT	dala	0	f108v.37	qokain dalam NONE	sain sheor sheey sheckhey qokey okey shey lkain shedy qokain dalam	NONE	NONE	NONE	explicit counterexample; construction is a preference, not a deterministic rule
G803-P012	CORE_COUNTEREXAMPLE	LEFT_QOK4	M_SURFACE_INSIDE_L_FAVOURING_CONTEXT	a	0	f111v.9	qokain am NONE	lshey shedal okear l kedy cheolkeey lkey okeey qokeey qokey qokain am	NONE	NONE	NONE	explicit counterexample; construction is a preference, not a deterministic rule
G803-P013	CORE_COUNTEREXAMPLE	LEFT_QOK4	M_SURFACE_INSIDE_L_FAVOURING_CONTEXT	cheo	0	f112r.30	qokedy cheom NONE	tar ar cheokey okeody chol ol chedy qokedy cheom	NONE	NONE	NONE	explicit counterexample; construction is a preference, not a deterministic rule
G803-P014	CORE_COUNTEREXAMPLE	LEFT_QOK4	M_SURFACE_INSIDE_L_FAVOURING_CONTEXT	oka	3	f58v.39	qokain okam shear	oshar qokain okam shear cher sarols	NONE	NONE	NONE	explicit counterexample; construction is a preference, not a deterministic rule
G803-P015	CORE_COUNTEREXAMPLE	LEFT_QOK4	M_SURFACE_INSIDE_L_FAVOURING_CONTEXT	sheda	0	f76v.11	qokedy shedam NONE	cheor sheedy daiin oekeedy qokeey qokedy oteedy shedy qokedy shedam	NONE	NONE	NONE	explicit counterexample; construction is a preference, not a deterministic rule
G803-P016	CORE_COUNTEREXAMPLE	LEFT_QOK4	M_SURFACE_INSIDE_L_FAVOURING_CONTEXT	qoka	0	f77v.40	qokeedy qokam NONE	qokeey rol chdor cheey qokaiin saiin shedy qokeedy qokam	NONE	NONE	NONE	explicit counterexample; construction is a preference, not a deterministic rule
G803-P017	CORE_COUNTEREXAMPLE	LEFT_QOK4	M_SURFACE_INSIDE_L_FAVOURING_CONTEXT	otara	0	f79v.3	qokeedy otaram NONE	dolsheol okchy qokain sheedy qokshedy qokeedy otaram	NONE	NONE	NONE	explicit counterexample; construction is a preference, not a deterministic rule
G803-P018	CORE_COUNTEREXAMPLE	LEFT_QOK4	M_SURFACE_INSIDE_L_FAVOURING_CONTEXT	olka	0	f80r.18	qokain olkam NONE	paiin sheol qokain chety qokeedy qokar shcthy qotol shecthy qokain olkam	NONE	NONE	NONE	explicit counterexample; construction is a preference, not a deterministic rule
G803-P019	CORE_COUNTEREXAMPLE	LEFT_QOK4	M_SURFACE_INSIDE_L_FAVOURING_CONTEXT	ta	0	f94v.3	qokeey tam NONE	yshedy chdaiin otedy sdal tamdy chdy qokeey tam	NONE	NONE	NONE	explicit counterexample; construction is a preference, not a deterministic rule
G803-P020	CORE_COUNTEREXAMPLE	RIGHT_RESULT3	M_SURFACE_INSIDE_L_FAVOURING_CONTEXT	oka	5	f116r.4	chckhy okam chedy	padar shey osheeky qol laiin chckhy okam chedy oteedy qotar aralar y	NONE	NONE	NONE	explicit counterexample; construction is a preference, not a deterministic rule
G803-P021	CORE_COUNTEREXAMPLE	RIGHT_RESULT3	M_SURFACE_INSIDE_L_FAVOURING_CONTEXT	dcho	1	f52r.8	cheey dchom daiin	or cheey dor shey kom s cheey dchom daiin	NONE	NONE	NONE	explicit counterexample; construction is a preference, not a deterministic rule
