lesson_id	mould_id	renderer_id	workshop_hand	hand_habit	target_record_unit_id	target_page	target_owner_de	master_card_sequence	visible_copy	recovered_master_card_ids	roundtrip
L05	M05_STATE_CLOSE	R-A	VORLAGENHAND	master head	B2	f82r	bei der Arbeitsflüssigkeit der oberen Doppelbecken	aiin cheeky sheey qokedy	aiin cheeky sheey qokedy	MC039|MC032|MC095|MC083	PASS
L05	M05_STATE_CLOSE	R-B	Q-EINTRITTSHAND	prefer registered q initial	B2	f82r	bei der Arbeitsflüssigkeit der oberen Doppelbecken	aiin cheeky sheey qokedy	aiin cheeky sheey qokedy	MC039|MC032|MC095|MC083	PASS
L05	M05_STATE_CLOSE	R-C	S-FLUSSHAND	prefer registered sh or s initial	B2	f82r	bei der Arbeitsflüssigkeit der oberen Doppelbecken	aiin cheeky sheey qokedy	saiin cheeky sheey qokedy	MC039|MC032|MC095|MC083	PASS
L05	M05_STATE_CLOSE	R-D	KURZHAND	shortest registered form	B2	f82r	bei der Arbeitsflüssigkeit der oberen Doppelbecken	aiin cheeky sheey qokedy	aiin cheeky sheey qokedy	MC039|MC032|MC095|MC083	PASS
L06	M06_FILTER_CLEAR_PRODUCT	R-A	VORLAGENHAND	master head	H4	f55v	beim Blattauszug der Bildpflanze	tshol schoal cfhy shfydaiin cphy cheey tchody	tshol schoal cfhy shfydaiin cphy cheey tchody	MC098|MC049|MC129|MC111|MC156|MC119|MC037	PASS
L06	M06_FILTER_CLEAR_PRODUCT	R-B	Q-EINTRITTSHAND	prefer registered q initial	H4	f55v	beim Blattauszug der Bildpflanze	tshol schoal cfhy shfydaiin cphy cheey tchody	tshol schoal cfhy shfydaiin cphy cheey tchody	MC098|MC049|MC129|MC111|MC156|MC119|MC037	PASS
L06	M06_FILTER_CLEAR_PRODUCT	R-C	S-FLUSSHAND	prefer registered sh or s initial	H4	f55v	beim Blattauszug der Bildpflanze	tshol schoal cfhy shfydaiin cphy cheey tchody	tshol schoal cfhy shfydaiin cphy shey tchody	MC098|MC049|MC129|MC111|MC156|MC119|MC037	PASS
L06	M06_FILTER_CLEAR_PRODUCT	R-D	KURZHAND	shortest registered form	H4	f55v	beim Blattauszug der Bildpflanze	tshol schoal cfhy shfydaiin cphy cheey tchody	tshol schoal cfhy shfydaiin cphy shey tchody	MC098|MC049|MC129|MC111|MC156|MC119|MC037	PASS
L07	M07_PAIRED_MEASURE_FRAME	R-A	VORLAGENHAND	master head	H2	f10r	bei den zwei Portionen des Blatt-/Sprossansatzes	chey aiin chey lchedy	chey aiin chey lchedy	MC123|MC039|MC123|MC155	PASS
L07	M07_PAIRED_MEASURE_FRAME	R-B	Q-EINTRITTSHAND	prefer registered q initial	H2	f10r	bei den zwei Portionen des Blatt-/Sprossansatzes	chey aiin chey lchedy	chey aiin chey lchedy	MC123|MC039|MC123|MC155	PASS
L07	M07_PAIRED_MEASURE_FRAME	R-C	S-FLUSSHAND	prefer registered sh or s initial	H2	f10r	bei den zwei Portionen des Blatt-/Sprossansatzes	chey aiin chey lchedy	shy saiin shy lchedy	MC123|MC039|MC123|MC155	PASS
L07	M07_PAIRED_MEASURE_FRAME	R-D	KURZHAND	shortest registered form	H2	f10r	bei den zwei Portionen des Blatt-/Sprossansatzes	chey aiin chey lchedy	y aiin y lchedy	MC123|MC039|MC123|MC155	PASS
L08	M08_CARRIED_PREPARATION_FRAME	R-A	VORLAGENHAND	master head	B1	f81v	beim weitergeführten Ansatz im gemeinsamen Becken	otchor chor otol cheol cholor cheol aiin char	otchor chor otol cheol cholor cheol aiin char	MC013|MC080|MC053|MC153|MC157|MC153|MC039|MC055	PASS
L08	M08_CARRIED_PREPARATION_FRAME	R-B	Q-EINTRITTSHAND	prefer registered q initial	B1	f81v	beim weitergeführten Ansatz im gemeinsamen Becken	otchor chor otol cheol cholor cheol aiin char	qotchor chor otol qol cholor qol aiin char	MC013|MC080|MC053|MC153|MC157|MC153|MC039|MC055	PASS
L08	M08_CARRIED_PREPARATION_FRAME	R-C	S-FLUSSHAND	prefer registered sh or s initial	B1	f81v	beim weitergeführten Ansatz im gemeinsamen Becken	otchor chor otol cheol cholor cheol aiin char	otchor shor otol sol cholor sol saiin sar	MC013|MC080|MC053|MC153|MC157|MC153|MC039|MC055	PASS
L08	M08_CARRIED_PREPARATION_FRAME	R-D	KURZHAND	shortest registered form	B1	f81v	beim weitergeführten Ansatz im gemeinsamen Becken	otchor chor otol cheol cholor cheol aiin char	otchor or otol ol olor ol aiin dar	MC013|MC080|MC053|MC153|MC157|MC153|MC039|MC055	PASS
L09	M09_APPLICATION_FASTEN	R-A	VORLAGENHAND	master head	B4	f83r	am Hauptpaar mit sichtbarer Tuchanwendung	cho chokchy kchoar sotodan	cho chokchy kchoar sotodan	MC034|MC103|MC136|MC068	PASS
L09	M09_APPLICATION_FASTEN	R-B	Q-EINTRITTSHAND	prefer registered q initial	B4	f83r	am Hauptpaar mit sichtbarer Tuchanwendung	cho chokchy kchoar sotodan	cho qokchy kchoar sotodan	MC034|MC103|MC136|MC068	PASS
L09	M09_APPLICATION_FASTEN	R-C	S-FLUSSHAND	prefer registered sh or s initial	B4	f83r	am Hauptpaar mit sichtbarer Tuchanwendung	cho chokchy kchoar sotodan	sho chokchy kchoar sotodan	MC034|MC103|MC136|MC068	PASS
L09	M09_APPLICATION_FASTEN	R-D	KURZHAND	shortest registered form	B4	f83r	am Hauptpaar mit sichtbarer Tuchanwendung	cho chokchy kchoar sotodan	cho okchy kchoar sotodan	MC034|MC103|MC136|MC068	PASS
L10	M10_LOCAL_EXACT_CELL	R-A	VORLAGENHAND	master head	B2	f82r	an der Durchlassstation des Mittelgeräts	chckhy choky	chckhy choky	MC035|MC026	PASS
L10	M10_LOCAL_EXACT_CELL	R-B	Q-EINTRITTSHAND	prefer registered q initial	B2	f82r	an der Durchlassstation des Mittelgeräts	chckhy choky	chckhy qoky	MC035|MC026	PASS
L10	M10_LOCAL_EXACT_CELL	R-C	S-FLUSSHAND	prefer registered sh or s initial	B2	f82r	an der Durchlassstation des Mittelgeräts	chckhy choky	shckhy choky	MC035|MC026	PASS
L10	M10_LOCAL_EXACT_CELL	R-D	KURZHAND	shortest registered form	B2	f82r	an der Durchlassstation des Mittelgeräts	chckhy choky	chckhy oky	MC035|MC026	PASS
