key	value	selection_credit
FIXED_LOGLOSS	carrier-class-weighted binary cross entropy of sigmoid(sum of relevant mean-LLR deck scores)	PRIMARY
LABEL_NULL_MOBILITY	emit changed count and fraction per repetition; below 0.20 is reporting-only LOW_MOBILITY	AUDIT_ONLY
LABEL_NULL_DIRECTION	destination i receives source i-k modulo stratum size; inherited GDT807 right rotation	PRIMARY
OVERLAY_JOIN	exact page+locus plus 1-based ordinal; recompute physical folio from page	TOPOLOGY_ONLY
OVERLAY_ACCESS	guarded allow-list query with explicit output columns for GDT759 GDT768 and GDT757 derived atlases	REQUIRED
OVERLAY_QUARANTINE	drop GDT759 contact unless both endpoint surfaces are outside Q152; drop GDT768/GDT757 anchor if its surface is Q152	TOPOLOGY_ONLY
AMOUNT_CONTACT	GDT759 QUANTITY_VALUE span; focal outside closed span and distance to span is one or two	TOPOLOGY_ONLY
QUALITY_VALUE_CONTACT	GDT759 PART_STATE or PREPARATION_VALUE span; focal outside closed span and distance to span is one or two	TOPOLOGY_ONLY
PART_FORM_CONTACT	GDT768 anchor at nonzero absolute ordinal distance one or two	TOPOLOGY_ONLY
FORMULA_CONTACT	GDT757 anchor at nonzero absolute ordinal distance one or two; display audit only with no rival points	AUDIT_ONLY
CONTACT_LOG_OR	per axis absolute Haldane-corrected expanded/base log odds; zero total contacts gives NA; take maximum axis	TOPOLOGY_ONLY
CONTACT_FOLIO_COUPLING	folio score uses contact folios on same axis selected by maximum absolute log odds; lexical axis breaks exact tie	TOPOLOGY_ONLY
READER_STABILITY_DENOMINATOR	minimum L/DY stable proportion among parsed strict CORE13 occurrences before stability LCS and singleton filters	TOPOLOGY_ONLY
REVERSED_CARRIER_COUNT	maximum across M01/M02 count of scoreable carriers with augmented AUC below 0.50; ties not reversed	TOPOLOGY_ONLY
RECORD_NO_LOCAL_INCREMENT	PORTABLE_RECORD_OR_FORM_RELATION requires local gain strictly below 0.02	PRIMARY
EVENT_ID_RULE	assign on sorted accepted ALL28 stream; CORE13 subset retains its nonconsecutive global event IDs	AUDIT_ONLY
HISTORICAL_RIVAL_TIEBREAK	total points descending then rival_id lexical	TOPOLOGY_ONLY
SOURCE_LOCK_TIMING	verify every manifest input plus registered run.py and validate.py hashes before corpus loading or model fitting	REQUIRED
OUTPUT_DIR_SCOPE	builder output directory must resolve inside repository so guarded GDT388 intake remains applicable	REQUIRED
EDGE_PACKET_SCOPE	emit only same-page distinct-locus base/expanded carrier-axis pairs; expected fixed capacity 19	AUDIT_ONLY
EDGE_PACKET_EXPECTED_FAILURE	every packet row must fail only because FORMAL_ACCESSED is not sealed; any other intake error aborts	AUDIT_ONLY
EDGE_PACKET_PREFLIGHT	guarded intake before model fitting; published packet bytes must match preflight SHA256	REQUIRED
TSV_SCHEMA_GATE	all row keys must be contained in the declared or first-row schema before projection; later-only fields abort instead of truncating	REQUIRED
