surface	candidate_id	candidate_class	concrete_working_reading_de	left_support_axes	right_support_axes	context_bridge_hypothesis	literal_identity	pre_gdt805_confidence	countercandidate_de	component_export_credit	external_physical_folios	mapped_axis_breadth	expected_signature_count	dominant_role_lead_count	dominant_role_leads	full_role_lead_count	full_role_leads	near_only_lead_count	near_only_leads	context_bridge_flag	context_bridge_detail	context_bridge_is_independent_semantics	direct_content_bridge_pass	candidate_score	candidate_score_density	score_is_probability	semantic_status	confirmed_lexeme
ol	OL-MEDIUM	SPECIFIC_MEDIUM	bestimmtes Medium: Öl, Wasser oder Wein	PROCESS|PREPARATION	CLOSE|AMOUNT	LIQUID_SPECIFIC_BRIDGE	OPEN	C0	allgemeiner Ansatz-/Zubereitungsträger	0	104	11	4	0	NONE	1	R1:AMOUNT	0	NONE	0	channels=DESCRIPTIVE_MATERIA:4|DESCRIPTIVE_QUALITY:3|PRESCRIPTIVE_RECIPE:2;field_hits=9;positional_amount_candidates=9;direct_clean_content_hits=0;prior=GENERAL_CONTENT_CARRIER;independent_semantic_credit=0	0	0	2	0.5	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
otal	OTAL-MAT	MATERIAL_PREPARATION	Ausgangsansatz oder Stoffzubereitung	HOT|COLD|DRY|MOIST|VALUE	CLOSE|DRY|MOIST|VALUE	MATERIA_FIELD_OR_AMOUNT	OPEN	C1	Qualitäts- oder Zustandsfeld	0	56	10	9	1	R1:CLOSE	5	L1:HOT|L1:COLD|L1:VALUE|R1:CLOSE|R1:DRY	0	NONE	1	channels=DESCRIPTIVE_MATERIA:1|DESCRIPTIVE_QUALITY:1;field_hits=2;positional_amount_candidates=1;direct_clean_content_hits=0;prior=PREPARATION_OR_QUALITY_HEAD;independent_semantic_credit=0	0	0	13	1.44444444444	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
otal	OTAL-QUAL	QUALITY_STATE	Qualitäts- oder Zustandsfeld	MATERIAL|PREPARATION|PART	VALUE|CLOSE	QUALITY_FIELD	OPEN	C0	Ausgangsansatz oder Stoffzubereitung	0	56	10	5	1	R1:CLOSE	1	R1:CLOSE	0	NONE	1	channels=DESCRIPTIVE_MATERIA:1|DESCRIPTIVE_QUALITY:1;field_hits=2;positional_amount_candidates=1;direct_clean_content_hits=0;prior=PREPARATION_OR_QUALITY_HEAD;independent_semantic_credit=0	0	0	5	1	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
qokeol	QOKEOL-PROC	PROCESS	Behandlungs- oder Prozessfeld	MATERIAL|PREPARATION|PART	CLOSE|DRY|MOIST	PRESCRIPTIVE_FIELD	OPEN	C0	Zubereitungs- oder Stofffeld	0	25	7	6	0	NONE	0	NONE	0	NONE	0	channels=DESCRIPTIVE_MATERIA:1;field_hits=1;positional_amount_candidates=0;direct_clean_content_hits=0;prior=PROCESS_OR_PREPARATION_FIELD;independent_semantic_credit=0	0	0	0	0	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
qokeol	QOKEOL-MAT	MATERIAL_PREPARATION	Zubereitungs- oder Stofffeld	HOT|COLD|DRY|MOIST|PROCESS	VALUE|CLOSE	MATERIA_FIELD	OPEN	C0	Behandlungs- oder Prozessfeld	0	25	7	7	0	NONE	1	R1:VALUE	0	NONE	1	channels=DESCRIPTIVE_MATERIA:1;field_hits=1;positional_amount_candidates=0;direct_clean_content_hits=0;prior=PROCESS_OR_PREPARATION_FIELD;independent_semantic_credit=0	0	0	2	0.285714285714	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
qokol	QOKOL-PROC	PROCESS	Behandlungs- oder Prozessfeld	MATERIAL|PREPARATION|PART	CLOSE|DRY|MOIST	PRESCRIPTIVE_FIELD	OPEN	C0	Zubereitungs- oder Stofffeld	0	51	8	6	0	NONE	0	NONE	1	R1:CLOSE	0	channels=DESCRIPTIVE_MATERIA:1;field_hits=1;positional_amount_candidates=1;direct_clean_content_hits=0;prior=PROCESS_OR_PREPARATION_FIELD;independent_semantic_credit=0	0	0	1	0.166666666667	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
qokol	QOKOL-MAT	MATERIAL_PREPARATION	Zubereitungs- oder Stofffeld	HOT|COLD|DRY|MOIST|PROCESS	VALUE|CLOSE	MATERIA_FIELD	OPEN	C0	Behandlungs- oder Prozessfeld	0	51	8	7	0	NONE	1	R1:VALUE	1	R1:CLOSE	1	channels=DESCRIPTIVE_MATERIA:1;field_hits=1;positional_amount_candidates=1;direct_clean_content_hits=0;prior=PROCESS_OR_PREPARATION_FIELD;independent_semantic_credit=0	0	0	3	0.428571428571	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
qotal	QOTAL-QUAL	QUALITY_STATE	Qualitäts- oder Zustandsfeld	MATERIAL|PREPARATION|PART	VALUE|CLOSE	QUALITY_FIELD	OPEN	C0	Stoff- oder Zubereitungsfeld	0	34	7	5	0	NONE	0	NONE	0	NONE	0	channels=NONE;field_hits=0;positional_amount_candidates=0;direct_clean_content_hits=0;prior=QUALITY_OR_MATERIAL_FIELD;independent_semantic_credit=0	0	0	0	0	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
qotal	QOTAL-MAT	MATERIAL_PREPARATION	Stoff- oder Zubereitungsfeld	HOT|COLD|DRY|MOIST|VALUE	CLOSE|DRY|MOIST|VALUE	MATERIA_FIELD	OPEN	C0	Qualitäts- oder Zustandsfeld	0	34	7	9	0	NONE	0	NONE	0	NONE	0	channels=NONE;field_hits=0;positional_amount_candidates=0;direct_clean_content_hits=0;prior=QUALITY_OR_MATERIAL_FIELD;independent_semantic_credit=0	0	0	0	0	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
sail	SAIL-OPAQUE	OPAQUE_ENTRY	uninterpretierter Eintrag	NONE	NONE	OPAQUE_PRIOR	OPEN	C0	Stoffart oder Mengenfeld	0	1	0	0	0	NONE	0	NONE	0	NONE	1	channels=NONE;field_hits=0;positional_amount_candidates=0;direct_clean_content_hits=0;prior=OPAQUE_ENTRY;independent_semantic_credit=0	0	0	0	0	0	WIDTH_SCALED_AXIS_CORRELATED_RIVAL_DIAGNOSTIC_ONLY__NO_SELECTION	0
