unit_id	record_id	page	local_owner_sequence	contains_visible_owner_break	group_count	surface_sequence	clause_shape_sequence	short_card_sequence_de	period_source_clause_sequence	local_station_working_reading_de	station_reset_rule	global_network_claim
B1-S011	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	2	chckhy qoky	C07>C07	durchleiten; aktuellen Posten ansetzen	Führe es mit diesem laufenden Posten aus: durchleiten. Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Durch die verbundenen Läufe. Die Badecharge am vorgesehenen Waschplatz gebrauchen.	KEEP_CURRENT_LOCAL_OWNER	NONE
B1-S012	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	3	lsho qokey lshedy	C01>C03>C08	Waschgang beginnen; kurz ansetzen; waschen; Schluss	Setze die gelernte Fachkarte: Waschgang beginnen. Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen. Führe die Handlung aus; schließe nur bei Endkarte: waschen; Schluss.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Beginne die Spülung. Warmes Wasser. Wasche einmal und beende diesen Durchgang.	KEEP_CURRENT_LOCAL_OWNER	NONE
B1-S013	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	1	lshedy	C08	waschen; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: waschen; Schluss.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Wasche einmal und beende diesen Durchgang.	KEEP_CURRENT_LOCAL_OWNER	NONE
B1-S014	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	5	chedy qolky lchedal qol otar	C07>C02>C01>C02>C02	laufenden Posten umsetzen; auf dem Arbeitsweg weiterleiten; zur Ablaufstelle führen; fortsetzen; danach von dort	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen. Danach oder in demselben Gang: auf dem Arbeitsweg weiterleiten. Setze die gelernte Fachkarte: zur Ablaufstelle führen. Danach oder in demselben Gang: fortsetzen. Danach oder in demselben Gang: danach von dort.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Die betroffene Stelle. Das untere Becken. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Benutze danach den unteren Ablauf.	KEEP_CURRENT_LOCAL_OWNER	NONE
B1-S015	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	2	ytey okchedy	C10>C08	kurzen Teil des aktuellen Postens nehmen; angesetzten Inhalt überführen; Schluss	Setze Maß, Portion oder Stufe: kurzen Teil des aktuellen Postens nehmen. Führe die Handlung aus; schließe nur bei Endkarte: angesetzten Inhalt überführen; Schluss.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Fülle danach das Gefäß. Lasse es abkühlen und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B1-S016	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	4	qokal okeey qol cheedy	C04>C03>C02>C03	dort ansetzen; länger ansetzen; fortsetzen; kurz absetzen lassen; Schluss	Führe es an der bezeichneten Stelle aus: dort ansetzen. Führe aus und beachte Dauer oder Endpunkt: länger ansetzen. Danach oder in demselben Gang: fortsetzen. Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die Charge für den vorgesehenen Gebrauch temperieren. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B1-S017	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	3	sal teol dchdy	C11>C02>C08	dorthin; kurz weiterleiten; weitergeführten Posten überführen; Schluss	Setze die bezeichnete Zielstelle: dorthin. Danach oder in demselben Gang: kurz weiterleiten. Führe die Handlung aus; schließe nur bei Endkarte: weitergeführten Posten überführen; Schluss.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die erste Öffnung. Seihe es klar und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B1-S018	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	4	ly dsheol oiiin olkeedy	C01>C02>C10>C03	aktuellen Posten abführen; kurz weiter ruhen lassen; Sollstufe; länger sammeln; Schluss	Setze die gelernte Fachkarte: aktuellen Posten abführen. Danach oder in demselben Gang: kurz weiter ruhen lassen. Setze Maß, Portion oder Stufe: Sollstufe. Führe aus und beachte Dauer oder Endpunkt: länger sammeln; Schluss.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Fülle danach das Gefäß. Wende es an der markierten Stelle an. Bis es klar ist. Lasse die Flüssigkeit sich setzen und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B1-S019	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	1	tedy	C03	kurz absetzen lassen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B1-S020	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	2	cheky shckhedy	C03>C08	kurz wärmen; seihen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz wärmen. Führe die Handlung aus; schließe nur bei Endkarte: seihen; Schluss.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Bei sanfter Wärme. Seihe es einmal durch ein Tuch und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B1-S021	B1	f81v	B1_SHARED_TWO_ROW_POOL	NO	1	chal	C11	dorthin	Setze die bezeichnete Zielstelle: dorthin.	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S001	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	1	dchedy	C08	Posten überführen; Schluss	Führe die Handlung aus; schließe nur bei Endkarte: Posten überführen; Schluss.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S002	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	1	qolchedy	C02	weiterüberführen; Schluss	Danach oder in demselben Gang: weiterüberführen; Schluss.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S003	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	3	qokain dy qokeedy	C06>C12>C03	eine Portion zugeben; dieser Posten; länger ansetzen; Schluss	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben. Nimm diesen Posten wieder auf: dieser Posten. Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Gib einen abgemessenen Anteil in das Gefäß. Diese aktive Portion. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S004	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	5	qokal lcheckhy lched qokeey lcheckhedy	C04>C01>C01>C03>C01	dort ansetzen; Ausgangsdurchlass; abführen; länger ansetzen; abseihen; Schluss	Führe es an der bezeichneten Stelle aus: dort ansetzen. Setze die gelernte Fachkarte: Ausgangsdurchlass. Setze die gelernte Fachkarte: abführen. Führe aus und beachte Dauer oder Endpunkt: länger ansetzen. Setze die gelernte Fachkarte: abseihen; Schluss.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die zweite Öffnung. Und gehe zum nächsten Becken weiter. Die Charge für den vorgesehenen Gebrauch temperieren. Seihe es klar und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S005	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	8	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	C04>C06>C07>C06>C06>C02>C03>C01	dies dort ansetzen; bis Sollmass sammeln; durchleiten; auf Sollmaß einstellen; auf Sollmaß einstellen; bereitgestellten Gang fortsetzen; diesen Posten länger warm halten; abziehen; Ende	Führe es an der bezeichneten Stelle aus: dies dort ansetzen. Führe es in der angegebenen Portion oder Stufe aus: bis Sollmass sammeln. Führe es mit diesem laufenden Posten aus: durchleiten. Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen. Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen. Danach oder in demselben Gang: bereitgestellten Gang fortsetzen. Führe aus und beachte Dauer oder Endpunkt: diesen Posten länger warm halten. Setze die gelernte Fachkarte: abziehen; Ende.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Fahre am zweiten Lauf fort. Durch ein Tuch. Durch die verbundenen Läufe. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Unter derselben Einstellung. Das breite Gefäß. Ziehe es ab und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S006	B2	f82r	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	NO	4	oteey qokal sheckhy qoky	C02>C04>C03>C07	langer Folgeposten; dort ansetzen; kurz durchleiten; aktuellen Posten ansetzen	Danach oder in demselben Gang: langer Folgeposten. Führe es an der bezeichneten Stelle aus: dort ansetzen. Führe aus und beachte Dauer oder Endpunkt: kurz durchleiten. Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen.	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten an der örtlich bezeichneten Station führen. Über der örtlich bezeichneten Stelle. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S007	B2	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	NO	1	dshedy	C03	kurz absetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz absetzen; Schluss.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Gib sauberes Wasser hinzu und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S008	B2	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	NO	3	sotaiin qokar shedy	C02>C05>C03	Folgemaß; daraus ansetzen; kurz absetzen lassen; Schluss	Danach oder in demselben Gang: Folgemaß. Führe es aus dem Vorrat oder am Ansatz aus: daraus ansetzen. Führe aus und beachte Dauer oder Endpunkt: kurz absetzen lassen; Schluss.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Für dieselbe Dauer wie zuvor. Über der örtlich bezeichneten Stelle. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S009	B2	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	NO	1	solshedy	C02	weiter absetzen; Schluss	Danach oder in demselben Gang: weiter absetzen; Schluss.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Halte es warm und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S010	B2	f82r	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	NO	4	qokeey qoky ls cheey	C03>C07>C01>C01	länger ansetzen; aktuellen Posten ansetzen; Durchlassöffnung; klarer Auszug	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen. Führe es mit diesem laufenden Posten aus: aktuellen Posten ansetzen. Setze die gelernte Fachkarte: Durchlassöffnung. Setze die gelernte Fachkarte: klarer Auszug.	[[LOKALER BESITZER: mittlere linke Geräte-/Inline-Knotenstation]] Die Charge für den vorgesehenen Gebrauch temperieren. Die Badeflüssigkeit am bezeichneten Körper- oder Teilbadbereich gebrauchen. Die erste Öffnung. Den örtlichen Prüfzustand der Charge feststellen.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S011	B2	f82r	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	NO	4	okain char okain qokeedy	C06>C09>C06>C03	eine Portion zugeben; aus dem Ansatz; eine Portion zugeben; länger ansetzen; Schluss	Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben. Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz. Führe es in der angegebenen Portion oder Stufe aus: eine Portion zugeben. Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	[[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Gib einen abgemessenen Anteil in das Gefäß. Daraus, aus demselben Ansatz. Gib einen abgemessenen Anteil in das Gefäß. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S012	B2	f82r	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL	YES	8	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	C01>C01>C03>C03>C01>C10>C12>C03	abziehen; klarer Auszug; kurz bereithalten; länger ansetzen; Klarlauf abfuehren; Sollmaß; dieser Posten; vollständig ansetzen; Schluss	Setze die gelernte Fachkarte: abziehen. Setze die gelernte Fachkarte: klarer Auszug. Führe aus und beachte Dauer oder Endpunkt: kurz bereithalten. Führe aus und beachte Dauer oder Endpunkt: länger ansetzen. Setze die gelernte Fachkarte: Klarlauf abfuehren. Setze Maß, Portion oder Stufe: Sollmaß. Nimm diesen Posten wieder auf: dieser Posten. Führe aus und beachte Dauer oder Endpunkt: vollständig ansetzen; Schluss.	[[LOKALER BESITZER: ungelöste mittlere rechte Linie-/Liegepodeststation]] Ziehe die klare Flüssigkeit ab. [[STATIONSWECHSEL: ungelöste mittlere rechte Linie-/Liegepodeststation -> unteres grünes Mehrfigurenfeld; STOFF, ZIEL UND RICHTUNG WERDEN NICHT VERERBT]] Den örtlichen Prüfzustand der Charge feststellen. Unter derselben Einstellung. Die Charge für den vorgesehenen Gebrauch temperieren. Der benetzte Körperbereich. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Diese aktive Portion. Benetze den bezeichneten Körperbereich vollständig und beende den Schritt.	RESET_SOURCE_TARGET_DIRECTION_AT_VISIBLE_OWNER_BREAK	NONE
B2-S013	B2	f82r	B2_LOWER_GREEN_MULTI_FIGURE_POOL	NO	1	lchedy	C01	abführen; Schluss	Setze die gelernte Fachkarte: abführen; Schluss.	[[LOKALER BESITZER: unteres grünes Mehrfigurenfeld]] Die verbrauchte Flüssigkeit zum Auffang- oder Auslassbereich abführen.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S014	B2	f82r	B2_LOWER_GREEN_MULTI_FIGURE_POOL	NO	1	lar	C01	von dort abfuehren	Setze die gelernte Fachkarte: von dort abfuehren.	[[LOKALER BESITZER: unteres grünes Mehrfigurenfeld]] Schließe den unteren Ablauf.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S015	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	NO	2	tshey qokeedy	C01>C03	Klarlauf zugeben; länger ansetzen; Schluss	Setze die gelernte Fachkarte: Klarlauf zugeben. Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Beginne die Spülung. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S016	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	NO	8	cheal lchedar ches aiin oteey qokaiin okey pchedy	C11>C01>C08>C10>C02>C06>C03>C01	dorthin; von dort abführen; teilen; Sollmaß; langer Folgeposten; auf Sollmaß einstellen; kurz ansetzen; einführen; Schluss	Setze die bezeichnete Zielstelle: dorthin. Setze die gelernte Fachkarte: von dort abführen. Führe die Handlung aus; schließe nur bei Endkarte: teilen. Setze Maß, Portion oder Stufe: Sollmaß. Danach oder in demselben Gang: langer Folgeposten. Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen. Führe aus und beachte Dauer oder Endpunkt: kurz ansetzen. Setze die gelernte Fachkarte: einführen; Schluss.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Den aktiven Posten an der örtlich bezeichneten Station führen. Kühles Wasser. Zu gleichen Anteilen. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der vorbereitete Bade- oder Waschzusatz. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Warmes Wasser. Ziehe es ab und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S017	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	NO	2	rsheal daldy	C03>C11	kurz am Ziel ruhen; Nebenoeffnung; Schluss	Führe aus und beachte Dauer oder Endpunkt: kurz am Ziel ruhen. Setze die bezeichnete Zielstelle: Nebenoeffnung; Schluss.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Gieße das erwärmte Wasser ein. Wiederhole es an der zweiten Öffnung und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S018	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	NO	1	qokeedy	C03	länger ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S019	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	NO	1	rshedy	C08	Waschgang abschließen	Führe die Handlung aus; schließe nur bei Endkarte: Waschgang abschließen.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Verwende den Anteil als örtliche Waschung und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S020	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	NO	1	qoteedy	C02	lange Folge; Schluss	Danach oder in demselben Gang: lange Folge; Schluss.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lege ein warmes Tuch auf die bezeichnete äußere Stelle und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S021	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	NO	1	qokeedy	C03	länger ansetzen; Schluss	Führe aus und beachte Dauer oder Endpunkt: länger ansetzen; Schluss.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B2-S022	B2	f82r	B2_LOWER_POOL_EDGE_STATIONS	NO	1	lochedy	C01	Rest abfuehren; Schluss	Setze die gelernte Fachkarte: Rest abfuehren; Schluss.	[[LOKALER BESITZER: lokale Randstationen des unteren Feldes]] Mische zu gleichen Teilen und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B3-S001	B3	f83r	B3_UPPER_MARGIN_OPEN_FAN_STATION	NO	1	olkeedy	C03	länger sammeln; Schluss	Führe aus und beachte Dauer oder Endpunkt: länger sammeln; Schluss.	[[LOKALER BESITZER: obere offene Fächer-Randstation]] Lasse die Flüssigkeit sich setzen und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
B3-S002	B3	f83r	B3_UPPER_MARGIN_OPEN_FAN_STATION	NO	2	qotal chkeedy	C02>C03	danach dorthin; länger wärmen; Schluss	Danach oder in demselben Gang: danach dorthin. Führe aus und beachte Dauer oder Endpunkt: länger wärmen; Schluss.	[[LOKALER BESITZER: obere offene Fächer-Randstation]] Zum unteren Ablauf hin. Benetze den bezeichneten Bereich vollständig und beende den Schritt.	KEEP_CURRENT_LOCAL_OWNER	NONE
