rank	role_sequence	statement_count	example_statements	spoken_instruction_de
61	PROCESS_OR_STATE>PROCESS_OR_STATE>TRANSFER_OR_ADDRESS>LINK_OR_ORDER>QUANTITY_OR_STAGE>LINK_OR_ORDER>OBJECT>ANAPHOR>TRANSFER_OR_ADDRESS	1	B6-S001	örtlichen Prozess oder Zustand ausführen; dann örtlichen Prozess oder Zustand ausführen; dann Quelle, Ziel oder Überführung setzen; dann Folge oder Fortsetzung markieren; dann Menge oder Stufe setzen; dann Folge oder Fortsetzung markieren; dann Arbeitsgegenstand nennen; dann auf den laufenden Bezug zeigen; dann Quelle, Ziel oder Überführung setzen
62	PROCESS_OR_STATE>TRANSFER_OR_ADDRESS	1	B2-S017	örtlichen Prozess oder Zustand ausführen; dann Quelle, Ziel oder Überführung setzen
63	QUANTITY_OR_STAGE>ANAPHOR>TRANSFER_OR_ADDRESS>OPERATION_CLOSE	1	B4-S016	Menge oder Stufe setzen; dann auf den laufenden Bezug zeigen; dann Quelle, Ziel oder Überführung setzen; dann ausführen und Schritt schließen
64	QUANTITY_OR_STAGE>OBJECT>OPERATION>STATE_CLOSE	1	H4-S003	Menge oder Stufe setzen; dann Arbeitsgegenstand nennen; dann Handlung ausführen; dann Zustand setzen und Schritt schließen
65	QUANTITY_OR_STAGE>OPERATION>OPERATION	1	H4-S002	Menge oder Stufe setzen; dann Handlung ausführen; dann Handlung ausführen
66	QUANTITY_OR_STAGE>OPERATION>PROCESS_OR_STATE>OBJECT>ANAPHOR>OBJECT	1	H4-S004	Menge oder Stufe setzen; dann Handlung ausführen; dann örtlichen Prozess oder Zustand ausführen; dann Arbeitsgegenstand nennen; dann auf den laufenden Bezug zeigen; dann Arbeitsgegenstand nennen
67	QUANTITY_OR_STAGE>OPERATION>PROCESS_OR_STATE>OPERATION>OPERATION>LINK_OR_ORDER>PROCESS_OR_STATE	1	B4-S011	Menge oder Stufe setzen; dann Handlung ausführen; dann örtlichen Prozess oder Zustand ausführen; dann Handlung ausführen; dann Handlung ausführen; dann Folge oder Fortsetzung markieren; dann örtlichen Prozess oder Zustand ausführen
68	QUANTITY_OR_STAGE>OPERATION>PROCESS_OR_STATE>OPERATION_CLOSE	1	B4-S008	Menge oder Stufe setzen; dann Handlung ausführen; dann örtlichen Prozess oder Zustand ausführen; dann ausführen und Schritt schließen
69	QUANTITY_OR_STAGE>STATE>QUANTITY_OR_STAGE>QUANTITY_OR_STAGE>TRANSFER_OR_ADDRESS>OPERATION_CLOSE	1	B3-S034	Menge oder Stufe setzen; dann Zustand nennen; dann Menge oder Stufe setzen; dann Menge oder Stufe setzen; dann Quelle, Ziel oder Überführung setzen; dann ausführen und Schritt schließen
70	QUANTITY_OR_STAGE>TRANSFER_OR_ADDRESS>OPERATION_CLOSE	1	B2-S008	Menge oder Stufe setzen; dann Quelle, Ziel oder Überführung setzen; dann ausführen und Schritt schließen
71	STATE>ANAPHOR>LINK_OR_ORDER>TRANSFER_OR_ADDRESS>TRANSFER_OR_ADDRESS>QUANTITY_OR_STAGE>LINK_OR_ORDER>QUANTITY_OR_STAGE>OPERATION	1	B5-S003	Zustand nennen; dann auf den laufenden Bezug zeigen; dann Folge oder Fortsetzung markieren; dann Quelle, Ziel oder Überführung setzen; dann Quelle, Ziel oder Überführung setzen; dann Menge oder Stufe setzen; dann Folge oder Fortsetzung markieren; dann Menge oder Stufe setzen; dann Handlung ausführen
72	TRANSFER_OR_ADDRESS>OBJECT>OPERATION>OPERATION>PATH_OPERATION>QUANTITY_OR_STAGE>ANAPHOR>PROCESS_OR_STATE	1	B2-S012	Quelle, Ziel oder Überführung setzen; dann Arbeitsgegenstand nennen; dann Handlung ausführen; dann Handlung ausführen; dann örtlichen Weg oder Durchgang ausführen; dann Menge oder Stufe setzen; dann auf den laufenden Bezug zeigen; dann örtlichen Prozess oder Zustand ausführen
73	TRANSFER_OR_ADDRESS>OPERATION>OPERATION_CLOSE	1	B3-S006	Quelle, Ziel oder Überführung setzen; dann Handlung ausführen; dann ausführen und Schritt schließen
74	TRANSFER_OR_ADDRESS>OPERATION>PROCESS_OR_STATE>QUANTITY_OR_STAGE>PROCESS_OR_STATE	1	B3-S032	Quelle, Ziel oder Überführung setzen; dann Handlung ausführen; dann örtlichen Prozess oder Zustand ausführen; dann Menge oder Stufe setzen; dann örtlichen Prozess oder Zustand ausführen
75	TRANSFER_OR_ADDRESS>OPERATION_CLOSE	1	B3-S016	Quelle, Ziel oder Überführung setzen; dann ausführen und Schritt schließen
76	TRANSFER_OR_ADDRESS>PROCESS_OR_STATE>OPERATION>OPERATION>OPERATION>PROCESS_OR_STATE>PROCESS_OR_STATE>OPERATION_CLOSE	1	B2-S005	Quelle, Ziel oder Überführung setzen; dann örtlichen Prozess oder Zustand ausführen; dann Handlung ausführen; dann Handlung ausführen; dann Handlung ausführen; dann örtlichen Prozess oder Zustand ausführen; dann örtlichen Prozess oder Zustand ausführen; dann ausführen und Schritt schließen
77	TRANSFER_OR_ADDRESS>PROCESS_OR_STATE>OPERATION>OPERATION>STATE>OBJECT>OPERATION_CLOSE	1	B3-S026	Quelle, Ziel oder Überführung setzen; dann örtlichen Prozess oder Zustand ausführen; dann Handlung ausführen; dann Handlung ausführen; dann Zustand nennen; dann Arbeitsgegenstand nennen; dann ausführen und Schritt schließen
78	TRANSFER_OR_ADDRESS>PROCESS_OR_STATE>QUANTITY_OR_STAGE>OPERATION_CLOSE	1	B1-S018	Quelle, Ziel oder Überführung setzen; dann örtlichen Prozess oder Zustand ausführen; dann Menge oder Stufe setzen; dann ausführen und Schritt schließen
