event_serial	record_unit_id	statement_id	page	visible_surface	master_card_id	visible_owner	apprentice_layer	card_value_de	terminal_status	spoken_role	role_spoken_atom_de
36	H2	H2-S003	f10r	kaiiin	MC048	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	Arbeitsstufe	NONCLOSE	QUANTITY_OR_STAGE	QUANTITY_OR_STAGE[Arbeitsstufe]
37	H2	H2-S003	f10r	dy	MC123	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LEHRWORT	dies	NONCLOSE	ANAPHOR	ANAPHOR[dies]
38	H2	H2-S003	f10r	chodaiin	MC087	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	LOKALKARTE	Zugabe · Sollmaß	NONCLOSE	OBJECT	OBJECT[Zugabe · Sollmaß]
39	H3	H3-S001	f11r	tshol	MC098	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	Zugabe · abführen	NONCLOSE	OBJECT	OBJECT[Zugabe · abführen]
40	H3	H3-S001	f11r	schoal	MC049	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	Zugabe · Ziel	NONCLOSE	OBJECT	OBJECT[Zugabe · Ziel]
41	H3	H3-S001	f11r	cfhy	MC129	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	auswringen · Posten	NONCLOSE	PATH_OPERATION	PATH_OPERATION[auswringen · Posten]
42	H3	H3-S001	f11r	shfydaiin	MC111	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	halten · Sollmaß	NONCLOSE	PROCESS_OR_STATE	PROCESS_OR_STATE[halten · Sollmaß]
43	H3	H3-S001	f11r	cphy	MC156	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	nachseihen · Posten	NONCLOSE	PATH_OPERATION	PATH_OPERATION[nachseihen · Posten]
44	H3	H3-S001	f11r	shey	MC119	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LEHRWORT	Klarauszug	NONCLOSE	OBJECT	OBJECT[Klarauszug]
45	H3	H3-S001	f11r	tchody	MC037	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	Zugabe; schließen	TERMINAL	OBJECT	OBJECT[Zugabe; schließen]
46	H3	H3-S002	f11r	shoyty	MC062	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	Zugabe · Posten · Teil	NONCLOSE	OBJECT	OBJECT[Zugabe · Posten · Teil]
47	H3	H3-S003	f11r	dchol	MC142	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LEHRWORT	vom vorigen	NONCLOSE	ANAPHOR	ANAPHOR[vom vorigen]
48	H3	H3-S003	f11r	chy	MC123	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LEHRWORT	dies	NONCLOSE	ANAPHOR	ANAPHOR[dies]
49	H3	H3-S003	f11r	kchy	MC117	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	bearbeiten · Posten	NONCLOSE	OPERATION	OPERATION[bearbeiten · Posten]
50	H3	H3-S003	f11r	dy	MC123	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LEHRWORT	dies	NONCLOSE	ANAPHOR	ANAPHOR[dies]
51	H3	H3-S003	f11r	daiin	MC039	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LEHRWORT	Sollmaß	NONCLOSE	QUANTITY_OR_STAGE	QUANTITY_OR_STAGE[Sollmaß]
52	H3	H3-S004	f11r	qotchy	MC107	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	danach · Posten	NONCLOSE	LINK_OR_ORDER	LINK_OR_ORDER[danach · Posten]
53	H3	H3-S004	f11r	okchol	MC041	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LOKALKARTE	einsetzen · weiter	NONCLOSE	LINK_OR_ORDER	LINK_OR_ORDER[einsetzen · weiter]
54	H3	H3-S004	f11r	cthy	MC161	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LEHRWORT	bereit	NONCLOSE	STATE	STATE[bereit]
55	H3	H3-S004	f11r	dy	MC123	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	LEHRWORT	dies	NONCLOSE	ANAPHOR	ANAPHOR[dies]
56	H4	H4-S001	f55v	qokaiin	MC120	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	bemessen	NONCLOSE	OPERATION	OPERATION[bemessen]
57	H4	H4-S001	f55v	chaiin	MC039	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	Sollmaß	NONCLOSE	QUANTITY_OR_STAGE	QUANTITY_OR_STAGE[Sollmaß]
58	H4	H4-S001	f55v	ykain	MC047	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LOKALKARTE	Posten · Anteil	NONCLOSE	QUANTITY_OR_STAGE	QUANTITY_OR_STAGE[Posten · Anteil]
59	H4	H4-S001	f55v	ykan	MC148	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LOKALKARTE	Posten · Anteil	NONCLOSE	QUANTITY_OR_STAGE	QUANTITY_OR_STAGE[Posten · Anteil]
60	H4	H4-S001	f55v	ody	MC100	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LOKALKARTE	kühlen	TERMINAL	PROCESS_OR_STATE	PROCESS_OR_STATE[kühlen]
61	H4	H4-S002	f55v	daiin	MC039	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	Sollmaß	NONCLOSE	QUANTITY_OR_STAGE	QUANTITY_OR_STAGE[Sollmaß]
62	H4	H4-S002	f55v	chedy	MC074	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	überführen	NONCLOSE	OPERATION	OPERATION[überführen]
63	H4	H4-S002	f55v	talam	MC160	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LOKALKARTE	Ziel · verwahren	TERMINAL	OPERATION	OPERATION[Ziel · verwahren]
64	H4	H4-S003	f55v	ykaiin	MC170	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LOKALKARTE	Posten · Sollmaß	NONCLOSE	QUANTITY_OR_STAGE	QUANTITY_OR_STAGE[Posten · Sollmaß]
65	H4	H4-S003	f55v	cheoar	MC085	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LOKALKARTE	Auszug · Quelle	NONCLOSE	OBJECT	OBJECT[Auszug · Quelle]
66	H4	H4-S003	f55v	cheeky	MC032	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	länger bearbeiten	NONCLOSE	OPERATION	OPERATION[länger bearbeiten]
67	H4	H4-S003	f55v	oldy	MC019	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	fertig	TERMINAL	STATE_CLOSE	STATE_CLOSE[fertig]
68	H4	H4-S004	f55v	aiin	MC039	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	Sollmaß	NONCLOSE	QUANTITY_OR_STAGE	QUANTITY_OR_STAGE[Sollmaß]
69	H4	H4-S004	f55v	okal	MC040	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	dorthin einsetzen	NONCLOSE	OPERATION	OPERATION[dorthin einsetzen]
70	H4	H4-S004	f55v	oltchy	MC021	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LOKALKARTE	weiter · bereitstellen · Posten	NONCLOSE	PROCESS_OR_STATE	PROCESS_OR_STATE[weiter · bereitstellen · Posten]
71	H4	H4-S004	f55v	or	MC080	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	Ansatz	NONCLOSE	OBJECT	OBJECT[Ansatz]
72	H4	H4-S004	f55v	y	MC123	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LEHRWORT	dies	NONCLOSE	ANAPHOR	ANAPHOR[dies]
73	H4	H4-S004	f55v	orain	MC072	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	LOKALKARTE	Bereitung · Anteil	NONCLOSE	OBJECT	OBJECT[Bereitung · Anteil]
74	H5	H5-S001	f56r	chochor	MC125	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	Zugabe · Bereitung	NONCLOSE	OBJECT	OBJECT[Zugabe · Bereitung]
75	H5	H5-S001	f56r	cho	MC034	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	weitere Zutat	NONCLOSE	OBJECT	OBJECT[weitere Zutat]
76	H5	H5-S001	f56r	chodaly	MC010	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	Zugabe · Ziel · Posten	NONCLOSE	OBJECT	OBJECT[Zugabe · Ziel · Posten]
77	H5	H5-S001	f56r	daiin	MC039	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	Sollmaß	NONCLOSE	QUANTITY_OR_STAGE	QUANTITY_OR_STAGE[Sollmaß]
78	H5	H5-S001	f56r	sho	MC034	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	weitere Zutat	NONCLOSE	OBJECT	OBJECT[weitere Zutat]
79	H5	H5-S001	f56r	kchol	MC090	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	bearbeiten · weiter	NONCLOSE	LINK_OR_ORDER	LINK_OR_ORDER[bearbeiten · weiter]
80	H5	H5-S001	f56r	otchor	MC013	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	Folgeansatz	NONCLOSE	ORDERED_OBJECT	ORDERED_OBJECT[Folgeansatz]
81	H5	H5-S001	f56r	choky	MC026	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	einsetzen	NONCLOSE	OPERATION	OPERATION[einsetzen]
82	H5	H5-S001	f56r	dal	MC154	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	dorthin	NONCLOSE	ANAPHOR	ANAPHOR[dorthin]
83	H5	H5-S002	f56r	schol	MC142	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	vom vorigen	NONCLOSE	ANAPHOR	ANAPHOR[vom vorigen]
84	H5	H5-S002	f56r	choy	MC131	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	Zugabe · Posten	NONCLOSE	OBJECT	OBJECT[Zugabe · Posten]
85	H5	H5-S002	f56r	choky	MC026	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	einsetzen	NONCLOSE	OPERATION	OPERATION[einsetzen]
86	H5	H5-S002	f56r	cheeckhody	MC099	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	Langpassage; Schluss	TERMINAL	PATH_OPERATION	PATH_OPERATION[Langpassage; Schluss]
87	H5	H5-S003	f56r	sh	MC114	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	halten	NONCLOSE	PROCESS_OR_STATE	PROCESS_OR_STATE[halten]
88	H5	H5-S003	f56r	cho	MC034	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	weitere Zutat	NONCLOSE	OBJECT	OBJECT[weitere Zutat]
89	H5	H5-S003	f56r	kchey	MC122	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	bearbeiten · kurz · Posten	NONCLOSE	PROCESS_OR_STATE	PROCESS_OR_STATE[bearbeiten · kurz · Posten]
90	H5	H5-S003	f56r	qokokchy	MC015	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	einsetzen · einsetzen · Posten	NONCLOSE	OPERATION	OPERATION[einsetzen · einsetzen · Posten]
91	H5	H5-S004	f56r	okchy	MC103	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	weiterbearbeiten	NONCLOSE	OPERATION	OPERATION[weiterbearbeiten]
92	H5	H5-S004	f56r	chokcheo	MC006	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	einsetzen · Auszug	NONCLOSE	OBJECT	OBJECT[einsetzen · Auszug]
93	H5	H5-S004	f56r	kchal	MC077	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	bearbeiten · Ziel	NONCLOSE	TRANSFER_OR_ADDRESS	TRANSFER_OR_ADDRESS[bearbeiten · Ziel]
94	H5	H5-S005	f56r	sho	MC034	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	weitere Zutat	NONCLOSE	OBJECT	OBJECT[weitere Zutat]
95	H5	H5-S005	f56r	chokchy	MC103	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	weiterbearbeiten	NONCLOSE	OPERATION	OPERATION[weiterbearbeiten]
96	H5	H5-S005	f56r	kchoar	MC136	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	Auszug · Quelle	NONCLOSE	OBJECT	OBJECT[Auszug · Quelle]
97	H5	H5-S005	f56r	sotodan	MC068	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	danach · anwenden	NONCLOSE	OPERATION	OPERATION[danach · anwenden]
98	H5	H5-S006	f56r	otchey	MC171	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	das nächste	NONCLOSE	ANAPHOR	ANAPHOR[das nächste]
99	H5	H5-S006	f56r	keol	MC104	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LOKALKARTE	kurz · weiter	NONCLOSE	PROCESS_OR_STATE	PROCESS_OR_STATE[kurz · weiter]
100	H5	H5-S006	f56r	daiin	MC039	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	LEHRWORT	Sollmaß	NONCLOSE	QUANTITY_OR_STAGE	QUANTITY_OR_STAGE[Sollmaß]
101	B1	B1-S001	f81v	qokedy	MC083	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	kurz einwirken; Schluss	TERMINAL	OPERATION_CLOSE	OPERATION_CLOSE[kurz einwirken; Schluss]
102	B1	B1-S002	f81v	okaiin	MC120	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	bemessen	NONCLOSE	OPERATION	OPERATION[bemessen]
103	B1	B1-S002	f81v	kair	MC023	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	Lauf	NONCLOSE	TRANSFER_OR_ADDRESS	TRANSFER_OR_ADDRESS[Lauf]
104	B1	B1-S002	f81v	okal	MC040	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	dorthin einsetzen	NONCLOSE	OPERATION	OPERATION[dorthin einsetzen]
105	B1	B1-S002	f81v	sar	MC055	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	davon	NONCLOSE	ANAPHOR	ANAPHOR[davon]
106	B1	B1-S002	f81v	ol	MC153	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	weiter	NONCLOSE	LINK_OR_ORDER	LINK_OR_ORDER[weiter]
107	B1	B1-S002	f81v	kain	MC105	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	Anteil	NONCLOSE	QUANTITY_OR_STAGE	QUANTITY_OR_STAGE[Anteil]
108	B1	B1-S002	f81v	olkain	MC097	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	weiterer Anteil	NONCLOSE	QUANTITY_OR_STAGE	QUANTITY_OR_STAGE[weiterer Anteil]
109	B1	B1-S002	f81v	al	MC154	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	dorthin	NONCLOSE	ANAPHOR	ANAPHOR[dorthin]
110	B1	B1-S002	f81v	ol	MC153	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	weiter	NONCLOSE	LINK_OR_ORDER	LINK_OR_ORDER[weiter]
111	B1	B1-S002	f81v	rol	MC016	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	weiter	NONCLOSE	LINK_OR_ORDER	LINK_OR_ORDER[weiter]
112	B1	B1-S002	f81v	dl	MC012	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	Zusatz	NONCLOSE	OBJECT	OBJECT[Zusatz]
113	B1	B1-S002	f81v	olor	MC157	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	derselbe Ansatz	NONCLOSE	ANAPHOR	ANAPHOR[derselbe Ansatz]
114	B1	B1-S002	f81v	ol	MC153	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	weiter	NONCLOSE	LINK_OR_ORDER	LINK_OR_ORDER[weiter]
115	B1	B1-S002	f81v	sheckhal	MC058	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	Passage · kurz · Ziel	NONCLOSE	PATH_OPERATION	PATH_OPERATION[Passage · kurz · Ziel]
116	B1	B1-S002	f81v	daiin	MC039	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	Sollmaß	NONCLOSE	QUANTITY_OR_STAGE	QUANTITY_OR_STAGE[Sollmaß]
117	B1	B1-S002	f81v	qokeedal	MC096	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	einsetzen · länger · Ziel	NONCLOSE	PROCESS_OR_STATE	PROCESS_OR_STATE[einsetzen · länger · Ziel]
118	B1	B1-S002	f81v	daiin	MC039	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	Sollmaß	NONCLOSE	QUANTITY_OR_STAGE	QUANTITY_OR_STAGE[Sollmaß]
119	B1	B1-S002	f81v	chckhy	MC035	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	durchleiten	NONCLOSE	OPERATION	OPERATION[durchleiten]
120	B1	B1-S002	f81v	schedy	MC025	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	überführen; Schluss	TERMINAL	OPERATION_CLOSE	OPERATION_CLOSE[überführen; Schluss]
121	B1	B1-S003	f81v	qol	MC153	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	weiter	NONCLOSE	LINK_OR_ORDER	LINK_OR_ORDER[weiter]
122	B1	B1-S003	f81v	sshkchdy	MC061	gemeinsames zweireihiges Figuren-/Beckenfeld	LOKALKARTE	Haltetransfer; Schluss	TERMINAL	PROCESS_OR_STATE	PROCESS_OR_STATE[Haltetransfer; Schluss]
123	B1	B1-S004	f81v	chedy	MC074	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	überführen	NONCLOSE	OPERATION	OPERATION[überführen]
124	B1	B1-S004	f81v	ol	MC153	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	weiter	NONCLOSE	LINK_OR_ORDER	LINK_OR_ORDER[weiter]
125	B1	B1-S004	f81v	shedy	MC128	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	kurz absetzen; Schluss	TERMINAL	OPERATION_CLOSE	OPERATION_CLOSE[kurz absetzen; Schluss]
126	B1	B1-S005	f81v	qolchedy	MC028	gemeinsames zweireihiges Figuren-/Beckenfeld	LEHRWORT	weiterführen; Schluss	TERMINAL	OPERATION_CLOSE	OPERATION_CLOSE[weiterführen; Schluss]
