exercise_id	register	specialist_drawer	renderer_id	workshop_hand	hand_habit	ordinary_source_instruction_de	master_card_sequence	literal_card_reading_de	visible_copy	recovered_master_sequence	roundtrip
C05	BOTH	D5_QUANTITY_PART_STAGE	R-B	Q-EINTRITTSHAND	prefer registered q initial	Zwei Posten unter dasselbe Sollmaß stellen; die Arbeitsstufe wählen.	chey aiin chey oiiin	dies | Sollmaß | dies | Arbeitsstufe	chey aiin chey oiiin	chey aiin chey oiiin	PASS
C05	BOTH	D5_QUANTITY_PART_STAGE	R-C	S-FLUSSHAND	prefer registered sh or s initial	Zwei Posten unter dasselbe Sollmaß stellen; die Arbeitsstufe wählen.	chey aiin chey oiiin	dies | Sollmaß | dies | Arbeitsstufe	shy saiin shy soiiin	chey aiin chey oiiin	PASS
C05	BOTH	D5_QUANTITY_PART_STAGE	R-D	KURZHAND	shortest registered form	Zwei Posten unter dasselbe Sollmaß stellen; die Arbeitsstufe wählen.	chey aiin chey oiiin	dies | Sollmaß | dies | Arbeitsstufe	y aiin y oiiin	chey aiin chey oiiin	PASS
C06	BOTH	D6_ORDER_CONTINUATION	R-A	VORLAGENHAND	master head	Den Folgeansatz danach weiterführen und einsetzen.	otchor otol choky	Folgeansatz | danach · weiter | einsetzen	otchor otol choky	otchor otol choky	PASS
C06	BOTH	D6_ORDER_CONTINUATION	R-B	Q-EINTRITTSHAND	prefer registered q initial	Den Folgeansatz danach weiterführen und einsetzen.	otchor otol choky	Folgeansatz | danach · weiter | einsetzen	qotchor otol qoky	otchor otol choky	PASS
C06	BOTH	D6_ORDER_CONTINUATION	R-C	S-FLUSSHAND	prefer registered sh or s initial	Den Folgeansatz danach weiterführen und einsetzen.	otchor otol choky	Folgeansatz | danach · weiter | einsetzen	otchor otol choky	otchor otol choky	PASS
C06	BOTH	D6_ORDER_CONTINUATION	R-D	KURZHAND	shortest registered form	Den Folgeansatz danach weiterführen und einsetzen.	otchor otol choky	Folgeansatz | danach · weiter | einsetzen	otchor otol oky	otchor otol choky	PASS
C07	BIOLOGICAL_CELL	D7_APPLICATION_FASTEN_STORE	R-A	VORLAGENHAND	master head	Davon einen Anteil dorthin einsetzen und festbinden.	char chety okal qokylddy	davon | Anteil | dorthin einsetzen | einsetzen · Posten · festbinden	char chety okal qokylddy	char chety okal qokylddy	PASS
C07	BIOLOGICAL_CELL	D7_APPLICATION_FASTEN_STORE	R-B	Q-EINTRITTSHAND	prefer registered q initial	Davon einen Anteil dorthin einsetzen und festbinden.	char chety okal qokylddy	davon | Anteil | dorthin einsetzen | einsetzen · Posten · festbinden	char chety qokal qokylddy	char chety okal qokylddy	PASS
C07	BIOLOGICAL_CELL	D7_APPLICATION_FASTEN_STORE	R-C	S-FLUSSHAND	prefer registered sh or s initial	Davon einen Anteil dorthin einsetzen und festbinden.	char chety okal qokylddy	davon | Anteil | dorthin einsetzen | einsetzen · Posten · festbinden	sar chety okal qokylddy	char chety okal qokylddy	PASS
C07	BIOLOGICAL_CELL	D7_APPLICATION_FASTEN_STORE	R-D	KURZHAND	shortest registered form	Davon einen Anteil dorthin einsetzen und festbinden.	char chety okal qokylddy	davon | Anteil | dorthin einsetzen | einsetzen · Posten · festbinden	dar chty okal qokylddy	char chety okal qokylddy	PASS
C08	BOTH	D8_LOCAL_OPERATION	R-A	VORLAGENHAND	master head	Den Posten bereit halten, teilen und nach Folgemaß weiterführen.	checthy ches otaiin cheol	bereit | teilen | Folgemaß | weiter	checthy ches otaiin cheol	checthy ches otaiin cheol	PASS
C08	BOTH	D8_LOCAL_OPERATION	R-B	Q-EINTRITTSHAND	prefer registered q initial	Den Posten bereit halten, teilen und nach Folgemaß weiterführen.	checthy ches otaiin cheol	bereit | teilen | Folgemaß | weiter	checthy ches otaiin qol	checthy ches otaiin cheol	PASS
C08	BOTH	D8_LOCAL_OPERATION	R-C	S-FLUSSHAND	prefer registered sh or s initial	Den Posten bereit halten, teilen und nach Folgemaß weiterführen.	checthy ches otaiin cheol	bereit | teilen | Folgemaß | weiter	shcthy ches sotaiin sol	checthy ches otaiin cheol	PASS
C08	BOTH	D8_LOCAL_OPERATION	R-D	KURZHAND	shortest registered form	Den Posten bereit halten, teilen und nach Folgemaß weiterführen.	checthy ches otaiin cheol	bereit | teilen | Folgemaß | weiter	cthy ches otaiin ol	checthy ches otaiin cheol	PASS
