unified_serial	domain	page	unit_id	local_address	visible_identity	owner_or_namespace	construction_or_event	short_form_reading	concrete_unit_reading_de	content_precision
17	HERBAL_RECIPE	f10r	H2	H2-S001	chor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
18	HERBAL_RECIPE	f10r	H2	H2-S001	cthaiin	H2	C06	Führe es in der angegebenen Portion oder Stufe aus: Fertigmaß.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
19	HERBAL_RECIPE	f10r	H2	H2-S001	qoctholy	H2	C02	Danach oder in demselben Gang: bereiten Posten weiterfuehren.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
20	HERBAL_RECIPE	f10r	H2	H2-S001	dy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
21	HERBAL_RECIPE	f10r	H2	H2-S001	chy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
22	HERBAL_RECIPE	f10r	H2	H2-S001	taiin	H2	C10	Setze Maß, Portion oder Stufe: Sollmaß.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
23	HERBAL_RECIPE	f10r	H2	H2-S001	shy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
24	HERBAL_RECIPE	f10r	H2	H2-S002	qotchor	H2	C02	Danach oder in demselben Gang: Folgeansatz.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
25	HERBAL_RECIPE	f10r	H2	H2-S002	chor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
26	HERBAL_RECIPE	f10r	H2	H2-S002	otol	H2	C02	Danach oder in demselben Gang: danach fortsetzen.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
27	HERBAL_RECIPE	f10r	H2	H2-S002	chol	H2	C02	Danach oder in demselben Gang: fortsetzen.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
28	HERBAL_RECIPE	f10r	H2	H2-S002	cholor	H2	C02	Danach oder in demselben Gang: Fortsetzungsansatz.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
29	HERBAL_RECIPE	f10r	H2	H2-S002	chol	H2	C02	Danach oder in demselben Gang: fortsetzen.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
30	HERBAL_RECIPE	f10r	H2	H2-S002	daiin	H2	C10	Setze Maß, Portion oder Stufe: Sollmaß.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
31	HERBAL_RECIPE	f10r	H2	H2-S002	dar	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: aus dem Ansatz.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
32	HERBAL_RECIPE	f10r	H2	H2-S003	oykchor	H2	C05	Führe es aus dem Vorrat oder am Ansatz aus: aktuellen Ansatz bearbeiten.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
33	HERBAL_RECIPE	f10r	H2	H2-S003	shor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
34	HERBAL_RECIPE	f10r	H2	H2-S003	chor	H2	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Ansatz.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
35	HERBAL_RECIPE	f10r	H2	H2-S003	chy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
36	HERBAL_RECIPE	f10r	H2	H2-S003	kaiiin	H2	C10	Setze Maß, Portion oder Stufe: Weichstufe.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
37	HERBAL_RECIPE	f10r	H2	H2-S003	dy	H2	C12	Nimm diesen Posten wieder auf: dieser Posten.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
38	HERBAL_RECIPE	f10r	H2	H2-S003	chodaiin	H2	C01	Setze die gelernte Fachkarte: Zutatenmaß.	Jungen Spross und Blatt nehmen, durch Tuch auswringen und den Auszug mit Trägerstoff im Gefäß zu einem streichfähigen Mittel ansetzen. Eine örtliche Portion als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
39	HERBAL_RECIPE	f11r	H3	H3-S001	tshol	H3	C01	Setze die gelernte Fachkarte: Zutat entnehmen.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
40	HERBAL_RECIPE	f11r	H3	H3-S001	schoal	H3	C01	Setze die gelernte Fachkarte: Zutat an die Arbeitsstelle geben.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
41	HERBAL_RECIPE	f11r	H3	H3-S001	cfhy	H3	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten auswringen.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
42	HERBAL_RECIPE	f11r	H3	H3-S001	shfydaiin	H3	C06	Führe es in der angegebenen Portion oder Stufe aus: Standmaß.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
43	HERBAL_RECIPE	f11r	H3	H3-S001	cphy	H3	C07	Führe es mit diesem laufenden Posten aus: aktuellen Posten nachseihen.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
44	HERBAL_RECIPE	f11r	H3	H3-S001	shey	H3	C01	Setze die gelernte Fachkarte: klarer Auszug.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
45	HERBAL_RECIPE	f11r	H3	H3-S001	tchody	H3	C01	Setze die gelernte Fachkarte: Eingangsposten beiseitestellen; Schluss.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
46	HERBAL_RECIPE	f11r	H3	H3-S002	shoyty	H3	C01	Setze die gelernte Fachkarte: Zutatenteil.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
47	HERBAL_RECIPE	f11r	H3	H3-S003	dchol	H3	C02	Danach oder in demselben Gang: vorigen Posten fortsetzen.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
48	HERBAL_RECIPE	f11r	H3	H3-S003	chy	H3	C12	Nimm diesen Posten wieder auf: dieser Posten.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
49	HERBAL_RECIPE	f11r	H3	H3-S003	kchy	H3	C07	Führe es mit diesem laufenden Posten aus: diesen Posten bearbeiten.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
50	HERBAL_RECIPE	f11r	H3	H3-S003	dy	H3	C12	Nimm diesen Posten wieder auf: dieser Posten.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
51	HERBAL_RECIPE	f11r	H3	H3-S003	daiin	H3	C10	Setze Maß, Portion oder Stufe: Sollmaß.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
52	HERBAL_RECIPE	f11r	H3	H3-S004	qotchy	H3	C02	Danach oder in demselben Gang: anschließender Arbeitsposten.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
53	HERBAL_RECIPE	f11r	H3	H3-S004	okchol	H3	C02	Danach oder in demselben Gang: weiterlaufenden Posten aufnehmen.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
54	HERBAL_RECIPE	f11r	H3	H3-S004	cthy	H3	C07	Führe es mit diesem laufenden Posten aus: bereit.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
55	HERBAL_RECIPE	f11r	H3	H3-S004	dy	H3	C12	Nimm diesen Posten wieder auf: dieser Posten.	Blüte und Blatt in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Eine Portion des Auszugs als dosiertes Mittel verwenden; den übrigen Auszug mit Trägerstoff als äußerliche Anwendung ansetzen.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
56	HERBAL_RECIPE	f55v	H4	H4-S001	qokaiin	H4	C06	Führe es in der angegebenen Portion oder Stufe aus: auf Sollmaß einstellen.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
57	HERBAL_RECIPE	f55v	H4	H4-S001	chaiin	H4	C10	Setze Maß, Portion oder Stufe: Sollmaß.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
58	HERBAL_RECIPE	f55v	H4	H4-S001	ykain	H4	C10	Setze Maß, Portion oder Stufe: Postenportion.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
59	HERBAL_RECIPE	f55v	H4	H4-S001	ykan	H4	C10	Setze Maß, Portion oder Stufe: dieser Anteil.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
60	HERBAL_RECIPE	f55v	H4	H4-S001	ody	H4	C01	Setze die gelernte Fachkarte: kühlen.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
61	HERBAL_RECIPE	f55v	H4	H4-S002	daiin	H4	C10	Setze Maß, Portion oder Stufe: Sollmaß.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
62	HERBAL_RECIPE	f55v	H4	H4-S002	chedy	H4	C07	Führe es mit diesem laufenden Posten aus: laufenden Posten umsetzen.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
63	HERBAL_RECIPE	f55v	H4	H4-S002	talam	H4	C01	Setze die gelernte Fachkarte: am Ziel verwahren.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
64	HERBAL_RECIPE	f55v	H4	H4-S003	ykaiin	H4	C10	Setze Maß, Portion oder Stufe: Postenmaß.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
65	HERBAL_RECIPE	f55v	H4	H4-S003	cheoar	H4	C09	Nenne Quelle, Lauf, Auszug oder Ansatz: Auszug entnehmen.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
66	HERBAL_RECIPE	f55v	H4	H4-S003	cheeky	H4	C03	Führe aus und beachte Dauer oder Endpunkt: länger erwärmen und offen halten.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
67	HERBAL_RECIPE	f55v	H4	H4-S003	oldy	H4	C02	Danach oder in demselben Gang: Fortsetzung abschließen.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
68	HERBAL_RECIPE	f55v	H4	H4-S004	aiin	H4	C10	Setze Maß, Portion oder Stufe: Sollmaß.	Blatt in Auszugsflüssigkeit im Gefäß ansetzen, durch Tuch auswringen und den Auszug als Waschung sammeln. Den Pflanzenrest mit Bindestoff binden und als gebundene Anwendung verwenden.	FUNCTION_CLASS_PRIMARY__EXACT_RECIPE_NOUN_SECONDARY
