amber_id	surface	event_id	physical_page	statement_id	register	primary_locked_recipe	atom_count	all_atoms_locked	adjacent_pair_count	pairs_supported_outside_surface	pairs_supported_in_old22	pairs_supported_on_two_pages	minimum_other_page_support	minimum_other_surface_support	trigram_count	trigrams_supported_outside_surface	trigrams_supported_in_old22	longest_supported_span_max4	longest_old22_supported_span_max4	unsupported_adjacent_pairs	risk_flags	package_support_tier	locked_primary_bigram_rank_among_candidates	candidate_recipe_count_including_primary	rivals_with_lower_descriptive_bigram_bits	promotion_status	lock_action
G405-M011	dloo	G404-E0152	f1r	G404-S005	SOURCE_SECTION_T	D_ADDR+L+O+O	4	YES	3	2	2	2	0	0	2	1	0	3	2	O+O	LOCAL_SIGN|REPEATED_ATOM	AMBER__PARTIAL_PACKAGE_SUPPORT	17	17	16	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M012	dlos	G404-E0246	f24v	G404-S009	HERBAL	D_ADDR+L+O+S	4	YES	3	3	3	3	2	3	2	1	0	3	2	NONE	LOCAL_SIGN	AMBER__CURRENT_CROSS_PAGE_PACKAGE_SUPPORT	2	3	1	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M013	dn	G404-E0104	f1r	G404-S005	SOURCE_SECTION_T	D_ADDR+AN	2	YES	1	1	1	1	2	2	0	0	0	2	2	NONE	LOCAL_SIGN	AMBER__STRONG_OLD_PACKAGE_SUPPORT	1	2	0	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M014	dydyd	G404-E0133	f1r	G404-S005	SOURCE_SECTION_T	Y+DY+D_LABEL	3	YES	2	2	2	1	1	1	1	0	0	2	2	NONE	CONTAINS_DY|LOCAL_SIGN	AMBER__PARTIAL_PACKAGE_SUPPORT	1	2	0	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M015	eses	G404-E0342	f81r	G404-S015	BIOLOGICAL	E+S+E+S	4	YES	3	3	3	3	6	6	2	1	1	3	3	NONE	REPEATED_ATOM	AMBER__STRONG_OLD_PACKAGE_SUPPORT	2	2	1	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M016	fachys	G404-E0001	f1r	G404-S001	SOURCE_SECTION_T	LOCAL_CHAR_F+A_ADDR+CH+Y+S	5	YES	4	4	3	1	1	1	3	0	0	2	2	NONE	LOCAL_SIGN	AMBER__PARTIAL_PACKAGE_SUPPORT	18	18	17	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M017	kaipy	G404-E0530	f95v	G404-S063	HERBAL	K+A_ADDR+LOCAL_CHAR_I+P+Y	5	YES	4	4	4	3	1	1	3	2	2	3	3	NONE	LOCAL_SIGN	AMBER__STRONG_OLD_PACKAGE_SUPPORT	3	3	2	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M018	kochky	G404-E0259	f24v	G404-S010	HERBAL	K+O+CH+K+Y	5	YES	4	4	4	4	11	20	3	2	2	4	4	NONE	REPEATED_ATOM	AMBER__STRONG_OLD_PACKAGE_SUPPORT	1	3	0	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M019	odchees	G404-E0237	f24v	G404-S009	HERBAL	O+D_ADDR+CH+EE+S	5	YES	4	4	4	4	6	9	3	2	2	3	3	NONE	LOCAL_SIGN	AMBER__STRONG_OLD_PACKAGE_SUPPORT	1	3	0	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M020	oesearies	G404-E0238	f24v	G404-S009	HERBAL	O+E+S+E+AR+LOCAL_CHAR_I+E+S	8	YES	7	5	5	5	0	0	6	2	2	4	4	AR+LOCAL_CHAR_I|LOCAL_CHAR_I+E	LOCAL_SIGN|LONG_CHAIN|REPEATED_ATOM	AMBER__ISOLATED_BOUNDARY	22	22	21	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M021	okady	G404-E0526	f95v	G404-S063	HERBAL	OK+A_ADDR+Y	3	YES	2	2	2	2	4	4	1	0	0	2	2	NONE	LOCAL_SIGN	AMBER__PARTIAL_PACKAGE_SUPPORT	2	2	1	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M022	oraiiin	G404-E0510	f81r	G404-S058	BIOLOGICAL	OR+LOCAL_CHAR_I+AIIN	3	YES	2	0	0	0	0	0	1	0	0	1	1	OR+LOCAL_CHAR_I|LOCAL_CHAR_I+AIIN	LOCAL_SIGN	AMBER__ISOLATED_BOUNDARY	1	4	0	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M023	oraisy	G404-E0400	f81r	G404-S033	BIOLOGICAL	OR+AIN+S+Y	4	YES	3	2	2	2	0	0	2	0	0	2	2	AIN+S	PLAIN_CORE_CHAIN	AMBER__PARTIAL_PACKAGE_SUPPORT	3	3	2	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M024	otaiir	G404-E0232	f24v	G404-S009	HERBAL	OT+IIN+R	3	YES	2	1	1	1	0	0	1	0	0	2	2	OT+IIN	R_INTERNAL	AMBER__PARTIAL_PACKAGE_SUPPORT	1	2	0	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M025	otairin	G404-E0082	f1r	G404-S005	SOURCE_SECTION_T	OT+AIR+IIN	3	YES	2	0	0	0	0	0	1	0	0	1	1	OT+AIR|AIR+IIN	PLAIN_CORE_CHAIN	AMBER__ISOLATED_BOUNDARY	2	2	1	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M026	otolodal	G404-E0289	f24v	G404-S010	HERBAL	OT+OL+O+D_ADDR+AL	5	YES	4	4	4	4	4	3	3	1	1	3	3	NONE	LOCAL_SIGN	AMBER__STRONG_OLD_PACKAGE_SUPPORT	2	5	1	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M027	pydeey	G404-E0166	f1r	G404-S006	SOURCE_SECTION_T	P+Y+D_ADDR+EE+Y	5	YES	4	4	4	4	4	3	3	2	2	3	3	NONE	LOCAL_SIGN|REPEATED_ATOM	AMBER__STRONG_OLD_PACKAGE_SUPPORT	10	13	9	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M028	qcthdys	G404-E0469	f81r	G404-S048	BIOLOGICAL	CH+T+D_ADDR+Y+S	5	YES	4	4	3	3	1	1	3	2	2	4	4	NONE	LOCAL_SIGN	AMBER__CURRENT_CROSS_PAGE_PACKAGE_SUPPORT	2	2	1	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M029	qodom	G404-E0274	f24v	G404-S010	HERBAL	CARRIER_Q+O+D_ADDR+O+AM_ADDR	5	YES	4	4	4	4	7	9	3	2	2	3	3	NONE	LOCAL_SIGN|REPEATED_ATOM	AMBER__STRONG_OLD_PACKAGE_SUPPORT	2	3	1	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M030	qokeeod	G404-E0651	f95v	G404-S082	HERBAL	OK+EE+O+D_ADDR	4	YES	3	3	3	3	7	19	2	2	2	4	4	NONE	LOCAL_SIGN	AMBER__STRONG_OLD_PACKAGE_SUPPORT	1	1	0	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M031	qokesdy	G404-E0476	f81r	G404-S050	BIOLOGICAL	OK+E+S+DY	4	YES	3	3	3	3	2	2	2	0	0	2	2	NONE	CONTAINS_DY|CLOSE_CANDIDATE	AMBER__PARTIAL_PACKAGE_SUPPORT	2	3	1	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M032	qopchol	G404-E0396	f81r	G404-S032	BIOLOGICAL	CARRIER_Q+O+P+CH+OL	5	YES	4	4	4	4	9	8	3	3	3	4	4	NONE	PLAIN_CORE_CHAIN	AMBER__STRONG_OLD_PACKAGE_SUPPORT	2	2	1	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M033	qotchey	G404-E0522	f95v	G404-S063	HERBAL	OT+CHD+Y	3	YES	2	2	2	2	2	3	1	0	0	2	2	NONE	PLAIN_CORE_CHAIN	AMBER__PARTIAL_PACKAGE_SUPPORT	1	1	0	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M034	qoteesy	G404-E0358	f81r	G404-S016	BIOLOGICAL	OT+EE+S+Y	4	YES	3	3	3	3	6	7	2	2	1	3	3	NONE	PLAIN_CORE_CHAIN	AMBER__STRONG_OLD_PACKAGE_SUPPORT	1	2	0	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M035	roloty	G404-E0034	f1r	G404-S001	SOURCE_SECTION_T	R+OL+OT+Y	4	YES	3	2	2	2	0	0	2	0	0	2	2	OL+OT	R_INTERNAL	AMBER__PARTIAL_PACKAGE_SUPPORT	2	2	1	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M036	shekoiin	G404-E0532	f95v	G404-S063	HERBAL	SH+E+K+O+IIN	5	YES	4	4	4	4	10	15	3	1	1	3	3	NONE	PLAIN_CORE_CHAIN	AMBER__STRONG_OLD_PACKAGE_SUPPORT	2	2	1	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M037	shekshey	G404-E0605	f95v	G404-S071	HERBAL	SH+E+K+SH+E+Y	6	YES	5	5	5	5	7	10	4	4	3	4	4	NONE	LONG_CHAIN|REPEATED_ATOM	AMBER__STRONG_OLD_PACKAGE_SUPPORT	1	6	0	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M038	shekydy	G404-E0544	f95v	G404-S064	HERBAL	SH+E+K+Y+DY	5	YES	4	4	4	4	5	5	3	2	2	4	4	NONE	CONTAINS_DY|CLOSE_CANDIDATE	AMBER__STRONG_OLD_PACKAGE_SUPPORT	3	3	2	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M039	shodary	G404-E0054	f1r	G404-S002	SOURCE_SECTION_T	SH+O+D_ADDR+AR+Y	5	YES	4	4	4	4	5	7	3	3	2	3	3	NONE	LOCAL_SIGN	AMBER__STRONG_OLD_PACKAGE_SUPPORT	1	5	0	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M040	shotshey	G404-E0674	f95v	G404-S086	HERBAL	SH+OT+SH+E+Y	5	YES	4	4	4	3	1	1	3	1	1	3	3	NONE	REPEATED_ATOM	AMBER__STRONG_OLD_PACKAGE_SUPPORT	1	2	0	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M041	shoyfar	G404-E0575	f95v	G404-S068	HERBAL	SH+O+Y+LOCAL_CHAR_F+AR	5	YES	4	4	4	4	2	2	3	2	2	3	3	NONE	LOCAL_SIGN	AMBER__STRONG_OLD_PACKAGE_SUPPORT	1	2	0	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M042	syaiir	G404-E0022	f1r	G404-S001	SOURCE_SECTION_T	S+Y+IIN+R	4	YES	3	2	2	2	0	0	2	0	0	2	2	Y+IIN	R_INTERNAL	AMBER__PARTIAL_PACKAGE_SUPPORT	1	2	0	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M043	tchey	G404-E0129	f1r	G404-S005	SOURCE_SECTION_T	T+CH+E+Y	4	YES	3	3	3	3	13	12	2	2	2	3	3	NONE	PLAIN_CORE_CHAIN	AMBER__STRONG_OLD_PACKAGE_SUPPORT	3	3	2	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M044	tshodeesy	G404-E0164	f1r	G404-S006	SOURCE_SECTION_T	T+SH+O+D_ADDR+EE+S+Y	7	YES	6	6	6	6	3	3	5	4	2	3	3	NONE	LOCAL_SIGN|LONG_CHAIN	AMBER__STRONG_OLD_PACKAGE_SUPPORT	76	85	75	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M045	ychedy	G404-E0372	f81r	G404-S022	BIOLOGICAL	Y+CHD+Y	3	YES	2	1	1	1	0	0	1	0	0	2	2	Y+CHD	REPEATED_ATOM	AMBER__PARTIAL_PACKAGE_SUPPORT	1	2	0	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M046	ydaraishy	G404-E0046	f1r	G404-S001	SOURCE_SECTION_T	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	7	YES	6	5	5	4	0	0	5	2	2	3	3	LOCAL_CHAR_I+SH	LOCAL_SIGN|LONG_CHAIN|REPEATED_ATOM	AMBER__PARTIAL_PACKAGE_SUPPORT	2	5	1	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M047	ydoin	G404-E0170	f1r	G404-S006	SOURCE_SECTION_T	Y+D_ADDR+O+IIN	4	YES	3	3	3	3	8	12	2	1	1	3	3	NONE	LOCAL_SIGN	AMBER__STRONG_OLD_PACKAGE_SUPPORT	2	2	1	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M048	ytasal	G404-E0569	f95v	G404-S066	HERBAL	Y+T+A_ADDR+S+AL	5	YES	4	3	3	3	0	0	3	0	0	2	2	T+A_ADDR	LOCAL_SIGN	AMBER__PARTIAL_PACKAGE_SUPPORT	2	2	1	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
G405-M049	ytchdy	G404-E0588	f95v	G404-S069	HERBAL	Y+T+CHD+Y	4	YES	3	3	3	3	4	4	2	1	1	3	3	NONE	REPEATED_ATOM	AMBER__STRONG_OLD_PACKAGE_SUPPORT	2	3	1	REMAINS_AMBER__NO_EXACT_RECURRENCE	KEEP_GDT405_PRIMARY_RECIPE
