gdt751_match_id	q_pair_id	q_surface	q_base_surface	control_pair_id	control_prefix_character	control_prefix_surface	control_base_surface	match_cost_pre_outcome	q_base_length	control_base_length	q_prefix_occurrences	control_prefix_occurrences	q_base_occurrences	control_base_occurrences	matching_used_position_or_semantic_outcome	component_export_credit
G751-M023	G751-Q001	qoaiin	oaiin	G751-C066	o	okchor	kchor	1.533640	5	5	20	12	17	18	0	0
G751-M024	G751-Q012	qokair	okair	G751-C065	o	okchol	kchol	1.693147	5	5	17	9	17	19	0	0
G751-M025	G751-Q013	qokaly	okaly	G751-C087	o	otchol	tchol	1.551648	5	5	17	24	14	11	0	0
G751-M026	G751-Q005	qodain	odain	G751-C063	o	okchdy	kchdy	1.182322	5	5	9	10	11	10	0	0
G751-M027	G751-Q023	qokees	okees	G751-C157	y	yteody	teody	1.251314	5	5	7	7	8	6	0	0
G751-M028	G751-Q031	qokshy	okshy	G751-C070	o	okeeol	keeol	1.490206	5	5	7	6	9	6	0	0
G751-M029	G751-Q004	qockhy	ockhy	G751-C155	y	yteedy	teedy	1.421213	5	5	14	19	6	7	0	0
G751-M030	G751-Q039	qotcho	otcho	G751-C078	o	okshey	kshey	1.664976	5	5	9	5	6	5	0	0
G751-M031	G751-Q008	qoiiin	oiiin	G751-C052	o	octhdy	cthdy	1.798508	5	5	4	2	7	5	0	0
G751-M032	G751-Q020	qokeal	okeal	G751-C140	y	ykchor	kchor	1.747214	5	5	4	4	8	18	0	0
G751-M033	G751-Q051	qotshy	otshy	G751-C075	o	okoldy	koldy	1.510826	5	5	4	4	4	2	0	0
G751-M034	G751-Q007	qoeees	oeees	G751-C096	o	otshdy	tshdy	1.847298	5	5	3	2	6	3	0	0
G751-M035	G751-Q033	qolain	olain	G751-C139	y	ykchol	kchol	2.003302	5	5	3	5	10	19	0	0
G751-M036	G751-Q042	qoteal	oteal	G751-C083	o	otchal	tchal	1.693147	5	5	2	2	5	2	0	0
G751-M037	G751-Q045	qoteos	oteos	G751-C076	o	okshdy	kshdy	1.916291	5	5	1	1	4	1	0	0
G751-M038	G751-Q010	qokaiin	okaiin	G751-C039	k	kodaiin	odaiin	5.810909	6	6	241	2	177	42	0	0
G751-M039	G751-Q022	qokeedy	okeedy	G751-C104	t	tcheody	cheody	4.611818	6	6	201	5	49	54	0	0
G751-M040	G751-Q017	qokchey	okchey	G751-C115	t	tolkain	olkain	2.258414	6	6	24	2	26	30	0	0
G751-M041	G751-Q040	qotchol	otchol	G751-C021	d	doraiin	oraiin	2.073744	6	6	13	1	24	21	0	0
G751-M042	G751-Q041	qotchor	otchor	G751-C147	y	yodaiin	odaiin	2.719746	6	6	11	1	16	42	0	0
G751-M043	G751-Q018	qokchol	okchol	G751-C097	o	otshedy	tshedy	2.673976	6	6	15	4	9	5	0	0
G751-M044	G751-Q003	qockhey	ockhey	G751-C064	o	okcheey	kcheey	2.178655	6	6	12	5	5	3	0	0
G751-M045	G751-Q030	qokshey	okshey	G751-C084	o	otcheey	tcheey	1.847298	6	6	5	2	5	6	0	0
G751-M046	G751-Q049	qotshdy	otshdy	G751-C050	o	ockhedy	ckhedy	1.405465	6	6	3	3	2	1	0	0
G751-M047	G751-Q028	qokshdy	okshdy	G751-C028	k	kalchdy	alchdy	1.405465	6	6	2	1	1	1	0	0
G751-M048	G751-Q038	qotchedy	otchedy	G751-C005	d	dalchedy	alchedy	3.839078	7	7	17	4	18	3	0	0
G751-M049	G751-Q016	qokcheey	okcheey	G751-C125	y	ycheoky	cheoky	5.154151	7	6	2	2	5	6	0	0
G751-M050	G751-Q050	qotshedy	otshedy	G751-C085	o	otcheor	tcheor	5.223144	7	6	2	2	4	3	0	0
G751-M051	G751-Q029	qokshedy	okshedy	G751-C077	o	okshedy	kshedy	6.386294	7	6	7	1	1	1	0	0
