gdt751_contact_id	pair_id	q_surface	base_surface	q_canonical_axes	base_canonical_axes	quality_stage_exactly_preserved	preparation_relation	page	physical_folio	locus	q_ordinal	base_ordinal	signed_base_from_q	written_order	written_line_eva	literal_identity	confirmed_lexeme	component_export_credit
G751-D024	G751-Q024	qokeey	okeey	HOT|END_STAGE	HOT|END_STAGE|PREPARATION	1	BASE_ONLY	f3r	f3	f3r.14	4	3	-1	BASE_THEN_Q	chor qodair okeey qokeey	OPEN	0	0
G751-D025	G751-Q024	qokeey	okeey	HOT|END_STAGE	HOT|END_STAGE|PREPARATION	1	BASE_ONLY	f76r	f76	f76r.16	4	5	1	Q_THEN_BASE	qotes chedy shckhy qokeey okeey kain checkhy qokeedy qotey qotain chekair	OPEN	0	0
G751-D026	G751-Q024	qokeey	okeey	HOT|END_STAGE	HOT|END_STAGE|PREPARATION	1	BASE_ONLY	f81v	f81	f81v.11	2	3	1	Q_THEN_BASE	yshey qokeey okeey oky ykeey qoky oky lky olchy ky dsholyd	OPEN	0	0
G751-D027	G751-Q024	qokeey	okeey	HOT|END_STAGE	HOT|END_STAGE|PREPARATION	1	BASE_ONLY	f99r	f99	f99r.50	3	2	-1	BASE_THEN_Q	qokeeo okeey qokeey okesy qokeeo sar sheseky or al	OPEN	0	0
G751-D028	G751-Q024	qokeey	okeey	HOT|END_STAGE	HOT|END_STAGE|PREPARATION	1	BASE_ONLY	f103r	f103	f103r.27	3	2	-1	BASE_THEN_Q	qokechy okeey qokeey lkeeody sheey qokeey lkeol tchey qokeey okeey qokaly	OPEN	0	0
G751-D029	G751-Q024	qokeey	okeey	HOT|END_STAGE	HOT|END_STAGE|PREPARATION	1	BASE_ONLY	f103r	f103	f103r.50	7	8	1	Q_THEN_BASE	ssheey l shey qol cheey chey qokeey okeey qokain cheey qotain	OPEN	0	0
G751-D030	G751-Q024	qokeey	okeey	HOT|END_STAGE	HOT|END_STAGE|PREPARATION	1	BASE_ONLY	f103v	f103	f103v.4	3	4	1	Q_THEN_BASE	y cheey qokeey okeey lkees ol qoteedy ykeedy	OPEN	0	0
G751-D031	G751-Q024	qokeey	okeey	HOT|END_STAGE	HOT|END_STAGE|PREPARATION	1	BASE_ONLY	f108r	f108	f108r.27	5	4	-1	BASE_THEN_Q	ychedain orcheory qoaiin okeey qokeey chdal okedy qokedy okedam chdy	OPEN	0	0
G751-D032	G751-Q024	qokeey	okeey	HOT|END_STAGE	HOT|END_STAGE|PREPARATION	1	BASE_ONLY	f108r	f108	f108r.42	2	1	-1	BASE_THEN_Q	okeey qokeey qokeedy qokeey chedal chedy qokeey okeedain otain oolals	OPEN	0	0
G751-D033	G751-Q024	qokeey	okeey	HOT|END_STAGE	HOT|END_STAGE|PREPARATION	1	BASE_ONLY	f111v	f111	f111v.9	9	8	-1	BASE_THEN_Q	lshey shedal okear l kedy cheolkeey lkey okeey qokeey qokey qokain am	OPEN	0	0
G751-D034	G751-Q024	qokeey	okeey	HOT|END_STAGE	HOT|END_STAGE|PREPARATION	1	BASE_ONLY	f112r	f112	f112r.9	4	3	-1	BASE_THEN_Q	saiin ol okeey qokeey y chedy teedy qokchy qokar y	OPEN	0	0
G751-D035	G751-Q024	qokeey	okeey	HOT|END_STAGE	HOT|END_STAGE|PREPARATION	1	BASE_ONLY	f112r	f112	f112r.13	5	6	1	Q_THEN_BASE	sor aiin chdy ches qokeey okeey otaiin chcthy oteey dy	OPEN	0	0
G751-D036	G751-Q024	qokeey	okeey	HOT|END_STAGE	HOT|END_STAGE|PREPARATION	1	BASE_ONLY	f116r	f116	f116r.17	3	4	1	Q_THEN_BASE	dain chey qokeey okeey lain okeey qol chedy	OPEN	0	0
G751-D037	G751-Q025	qokeol	okeol	HOT|MIDDLE_STAGE|MATERIAL|PROCESS	HOT|MIDDLE_STAGE|PREPARATION	1	BASE_ONLY	f99v	f99	f99v.22	8	7	-1	BASE_THEN_Q	doiin otey o keeol s aiin okeol qokeol ctheol qokeol dy qokaiin	OPEN	0	0
G751-D038	G751-Q025	qokeol	okeol	HOT|MIDDLE_STAGE|MATERIAL|PROCESS	HOT|MIDDLE_STAGE|PREPARATION	1	BASE_ONLY	f99v	f99	f99v.38	3	4	1	Q_THEN_BASE	ol cheey qokeol okeol okeol shokol ykey	OPEN	0	0
G751-D039	G751-Q026	qokey	okey	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE|PREPARATION	1	BASE_ONLY	f79v	f79	f79v.30	5	4	-1	BASE_THEN_Q	qokain sheeky okar okey qokey tedy skain oteedy qoky	OPEN	0	0
G751-D040	G751-Q026	qokey	okey	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE|PREPARATION	1	BASE_ONLY	f108v	f108	f108v.37	5	6	1	Q_THEN_BASE	sain sheor sheey sheckhey qokey okey shey lkain shedy qokain dalam	OPEN	0	0
G751-D041	G751-Q043	qotedy	otedy	COLD|MIDDLE_STAGE|END_STAGE|CLOSE	COLD|MIDDLE_STAGE|PREPARATION	0	BASE_ONLY	f75v	f75	f75v.7	10	9	-1	BASE_THEN_Q	qokchdy qokal dal ol chety lchdy shedy ched otedy qotedy otar	OPEN	0	0
G751-D042	G751-Q043	qotedy	otedy	COLD|MIDDLE_STAGE|END_STAGE|CLOSE	COLD|MIDDLE_STAGE|PREPARATION	0	BASE_ONLY	f76r	f76	f76r.3	7	8	1	Q_THEN_BASE	yshey qokeey qokey qokeed okedy shky qotedy otedy shol qoty ol chedy aiiny	OPEN	0	0
G751-D043	G751-Q044	qoteey	oteey	COLD|END_STAGE	COLD|END_STAGE|PREPARATION	1	BASE_ONLY	f107v	f107	f107v.46	8	9	1	Q_THEN_BASE	soain aiin chey qolaiin al chedy kedy qoteey oteey qokeeylkain	OPEN	0	0
G751-D044	G751-Q044	qoteey	oteey	COLD|END_STAGE	COLD|END_STAGE|PREPARATION	1	BASE_ONLY	f108r	f108	f108r.10	3	4	1	Q_THEN_BASE	taiin shkeedy qoteey oteey ykeol ykeedy chekar qokeeodaiin okeyty ody	OPEN	0	0
