pair_id	prefix_character	prefix_surface	base_surface	base_initial	base_length	prefix_canonical_axes	base_canonical_axes	prefix_quality_stage_axes	base_quality_stage_axes	quality_stage_exactly_preserved	preparation_relation	axes_shared	axes_prefix_only	axes_base_only	prefix_clean_mode_support	prefix_clean_axis_occurrences	base_clean_mode_support	base_clean_axis_occurrences	prefix_reader_exact_occurrences	base_reader_exact_occurrences	prefix_reader_exact_pages	base_reader_exact_pages	prefix_mean_normalized_position	base_mean_normalized_position	raw_position_delta_prefix_minus_base	section_residual_position_delta_prefix_minus_base	line_first_delta_prefix_minus_base	line_last_delta_prefix_minus_base	paragraph_first_delta_prefix_minus_base	paragraph_last_delta_prefix_minus_base	paragraph_start_line_delta_prefix_minus_base	paragraph_end_line_delta_prefix_minus_base	direct_contacts	direct_contact_pages	prefix_then_base_contacts	base_then_prefix_contacts	contacts_per_1000_min_occurrences	literal_identity	confirmed_lexeme	component_export_credit
G751-Q011	q	qokain	okain	o	5	HOT|LEVEL_II	HOT|LEVEL_II|PREPARATION	HOT	HOT	1	BASE_ONLY	HOT|LEVEL_II	NONE	PREPARATION	5	5	3	3	256	112	44	43	0.469765	0.517518	-0.047754	-0.046101	0.001674	-0.045201	0.000000	-0.018973	0.011161	-0.084821	5	4	3	2	44.642857	OPEN	0	0
G751-Q012	q	qokair	okair	o	5	HOT|PART|PROCESS	HOT|PART|MATERIAL|PREPARATION	HOT	HOT	1	BASE_ONLY	HOT|PART	PROCESS	MATERIAL|PREPARATION	17	17	17	17	17	17	11	14	0.447772	0.443297	0.004474	0.006038	0.000000	0.000000	0.000000	0.000000	0.176471	0.235294	0	0	0	0	0.000000	OPEN	0	0
G751-Q013	q	qokaly	okaly	o	5	HOT|MATERIAL|PROCESS	HOT|MATERIAL|PREPARATION|PROCESS	HOT	HOT	1	BASE_ONLY	HOT|MATERIAL|PROCESS	NONE	PREPARATION	17	17	14	14	17	14	11	12	0.665457	0.654968	0.010489	0.012337	-0.071429	-0.180672	0.000000	-0.142857	-0.012605	-0.155462	1	1	1	0	71.428571	OPEN	0	0
G751-Q014	q	qokam	okam	o	4	HOT|AMOUNT|PROCESS	HOT|AMOUNT|PREPARATION	HOT	HOT	1	BASE_ONLY	HOT|AMOUNT	PROCESS	PREPARATION	1	1	17	17	22	17	20	17	0.919421	0.841311	0.078110	0.076969	0.000000	0.171123	0.000000	-0.058824	0.077540	-0.072193	0	0	0	0	0.000000	OPEN	0	0
G751-Q015	q	qokar	okar	o	4	HOT|PART|MATERIAL	HOT|PART|PREPARATION	HOT	HOT	1	BASE_ONLY	HOT|PART	MATERIAL	PREPARATION	6	6	1	1	132	91	59	47	0.475124	0.500969	-0.025846	-0.023582	0.009074	-0.010240	0.000000	-0.003413	0.030636	-0.092491	5	4	5	0	54.945055	OPEN	0	0
G751-Q016	q	qokcheey	okcheey	o	7	HOT|DRY|END_STAGE	HOT|DRY|END_STAGE|PREPARATION	HOT|DRY|END_STAGE	HOT|DRY|END_STAGE	1	BASE_ONLY	HOT|DRY|END_STAGE	NONE	PREPARATION	2	2	5	5	2	5	2	5	0.550000	0.246667	0.303333	0.303781	-0.400000	0.000000	0.000000	0.000000	0.000000	-0.200000	0	0	0	0	0.000000	OPEN	0	0
G751-Q017	q	qokchey	okchey	o	6	HOT|DRY|MIDDLE_STAGE	HOT|DRY|MIDDLE_STAGE|PREPARATION	HOT|DRY|MIDDLE_STAGE	HOT|DRY|MIDDLE_STAGE	1	BASE_ONLY	HOT|DRY|MIDDLE_STAGE	NONE	PREPARATION	24	24	26	26	24	26	16	23	0.373522	0.392373	-0.018850	-0.019206	-0.067308	-0.076923	0.000000	-0.038462	0.214744	-0.067308	1	1	0	1	41.666667	OPEN	0	0
G751-Q018	q	qokchol	okchol	o	6	HOT|DRY|MATERIAL	HOT|DRY|PREPARATION	HOT|DRY	HOT|DRY	1	BASE_ONLY	HOT|DRY	MATERIAL	PREPARATION	15	15	9	9	15	9	11	7	0.339642	0.544312	-0.204671	-0.211888	0.022222	0.000000	0.000000	0.000000	0.000000	-0.200000	0	0	0	0	0.000000	OPEN	0	0
G751-Q019	q	qokdy	okdy	o	4	HOT|BEGIN_STAGE|END_STAGE|CLOSE	HOT|BEGIN_STAGE|END_STAGE|PREPARATION|CLOSE	HOT|BEGIN_STAGE|END_STAGE	HOT|BEGIN_STAGE|END_STAGE	1	BASE_ONLY	HOT|BEGIN_STAGE|END_STAGE|CLOSE	NONE	PREPARATION	1	1	1	1	1	1	1	1	0.777778	1.000000	-0.222222	-0.212385	0.000000	-1.000000	0.000000	0.000000	-1.000000	0.000000	0	0	0	0	0.000000	OPEN	0	0
G751-Q020	q	qokeal	okeal	o	5	HOT|MIDDLE_STAGE|MATERIAL	HOT|MIDDLE_STAGE|MATERIAL|PREPARATION	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE	1	BASE_ONLY	HOT|MIDDLE_STAGE|MATERIAL	NONE	PREPARATION	4	4	8	8	4	8	4	7	0.628274	0.393953	0.234321	0.236780	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	0	0	0	0.000000	OPEN	0	0
G751-Q021	q	qokedy	okedy	o	5	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE|PREPARATION	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE	1	BASE_ONLY	HOT|MIDDLE_STAGE	NONE	PREPARATION	1	1	1	1	164	47	45	26	0.438917	0.491918	-0.053001	-0.051642	0.085366	-0.018163	0.000000	-0.042553	0.000519	-0.090944	4	4	2	2	85.106383	OPEN	0	0
G751-Q022	q	qokeedy	okeedy	o	6	HOT|END_STAGE	HOT|END_STAGE|PREPARATION|CLOSE	HOT|END_STAGE	HOT|END_STAGE	1	BASE_ONLY	HOT|END_STAGE	NONE	PREPARATION|CLOSE	1	1	49	49	201	49	45	29	0.405895	0.544345	-0.138450	-0.136997	0.103970	-0.102041	0.014925	-0.020408	-0.059803	-0.058280	4	4	1	3	81.632653	OPEN	0	0
G751-Q023	q	qokees	okees	o	5	HOT|END_STAGE|AMOUNT|PROCESS	HOT|END_STAGE|PREPARATION	HOT|END_STAGE	HOT|END_STAGE	1	BASE_ONLY	HOT|END_STAGE	AMOUNT|PROCESS	PREPARATION	7	7	1	1	7	8	7	6	0.394104	0.503720	-0.109616	-0.108386	-0.107143	0.000000	-0.125000	0.000000	0.017857	-0.250000	0	0	0	0	0.000000	OPEN	0	0
G751-Q024	q	qokeey	okeey	o	5	HOT|END_STAGE	HOT|END_STAGE|PREPARATION	HOT|END_STAGE	HOT|END_STAGE	1	BASE_ONLY	HOT|END_STAGE	NONE	PREPARATION	264	264	2	2	264	116	67	44	0.433355	0.434417	-0.001062	-0.000691	0.003657	0.008229	0.007576	0.005486	-0.016719	-0.066745	13	10	6	7	112.068966	OPEN	0	0
G751-Q025	q	qokeol	okeol	o	5	HOT|MIDDLE_STAGE|MATERIAL|PROCESS	HOT|MIDDLE_STAGE|PREPARATION	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE	1	BASE_ONLY	HOT|MIDDLE_STAGE	MATERIAL|PROCESS	PREPARATION	34	34	41	41	34	41	24	24	0.459938	0.505280	-0.045342	-0.045379	0.063845	-0.092539	0.000000	-0.048780	-0.004304	-0.014347	2	1	1	1	58.823529	OPEN	0	0
G751-Q026	q	qokey	okey	o	4	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE|PREPARATION	HOT|MIDDLE_STAGE	HOT|MIDDLE_STAGE	1	BASE_ONLY	HOT|MIDDLE_STAGE	NONE	PREPARATION	88	88	36	36	88	36	42	23	0.447979	0.437294	0.010685	0.011443	0.001263	-0.015152	0.000000	0.000000	0.002525	0.053030	2	2	1	1	55.555556	OPEN	0	0
G751-Q027	q	qokor	okor	o	4	HOT|AMOUNT|MATERIAL	HOT|AMOUNT|MATERIAL|PREPARATION	HOT	HOT	1	BASE_ONLY	HOT|AMOUNT|MATERIAL	NONE	PREPARATION	21	21	16	16	21	16	18	16	0.397499	0.441518	-0.044019	-0.049561	0.002976	0.000000	0.000000	0.000000	0.175595	-0.154762	0	0	0	0	0.000000	OPEN	0	0
G751-Q028	q	qokshdy	okshdy	o	6	HOT|MOIST|BEGIN_STAGE|END_STAGE|CLOSE	HOT|MOIST|BEGIN_STAGE|END_STAGE|PREPARATION|CLOSE	HOT|MOIST|BEGIN_STAGE|END_STAGE	HOT|MOIST|BEGIN_STAGE|END_STAGE	1	BASE_ONLY	HOT|MOIST|BEGIN_STAGE|END_STAGE|CLOSE	NONE	PREPARATION	2	2	1	1	2	1	2	1	0.222222	0.250000	-0.027778	-0.027778	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0	0	0	0	0.000000	OPEN	0	0
G751-Q029	q	qokshedy	okshedy	o	7	HOT|MOIST|MIDDLE_STAGE|END_STAGE|CLOSE	HOT|MOIST|MIDDLE_STAGE|END_STAGE|PREPARATION|CLOSE	HOT|MOIST|MIDDLE_STAGE|END_STAGE	HOT|MOIST|MIDDLE_STAGE|END_STAGE	1	BASE_ONLY	HOT|MOIST|MIDDLE_STAGE|END_STAGE|CLOSE	NONE	PREPARATION	7	7	1	1	7	1	6	1	0.241270	0.375000	-0.133730	-0.131236	0.571429	0.000000	0.000000	0.000000	0.142857	0.000000	0	0	0	0	0.000000	OPEN	0	0
G751-Q030	q	qokshey	okshey	o	6	HOT|MOIST|MIDDLE_STAGE	HOT|MOIST|MIDDLE_STAGE|PREPARATION	HOT|MOIST|MIDDLE_STAGE	HOT|MOIST|MIDDLE_STAGE	1	BASE_ONLY	HOT|MOIST|MIDDLE_STAGE	NONE	PREPARATION	5	5	5	5	5	5	5	5	0.393651	0.495873	-0.102222	-0.102878	0.200000	0.000000	0.000000	0.000000	-0.600000	0.200000	0	0	0	0	0.000000	OPEN	0	0
G751-Q031	q	qokshy	okshy	o	5	HOT|MOIST|BEGIN_STAGE	HOT|MOIST|BEGIN_STAGE|PREPARATION	HOT|MOIST|BEGIN_STAGE	HOT|MOIST|BEGIN_STAGE	1	BASE_ONLY	HOT|MOIST|BEGIN_STAGE	NONE	PREPARATION	7	7	9	9	7	9	7	9	0.214342	0.442460	-0.228118	-0.226590	0.063492	-0.111111	0.000000	0.000000	0.206349	0.000000	0	0	0	0	0.000000	OPEN	0	0
G751-Q032	q	qoky	oky	o	3	HOT|BEGIN_STAGE	HOT|BEGIN_STAGE|PREPARATION	HOT|BEGIN_STAGE	HOT|BEGIN_STAGE	1	BASE_ONLY	HOT|BEGIN_STAGE	NONE	PREPARATION	125	125	2	2	125	80	64	62	0.606266	0.626651	-0.020385	-0.021092	-0.010000	-0.083000	0.000000	0.008000	0.004000	0.009500	0	0	0	0	0.000000	OPEN	0	0
G751-Q033	q	qolain	olain	o	5	PART|MATERIAL	AMOUNT|MATERIAL	NONE	NONE	1	NEITHER	MATERIAL	PART	AMOUNT	3	3	10	10	3	10	2	8	0.432530	0.393586	0.038945	0.046248	-0.200000	0.000000	0.000000	0.000000	-0.100000	-0.100000	0	0	0	0	0.000000	OPEN	0	0
G751-Q034	q	qoor	oor	o	3	AMOUNT|MATERIAL	AMOUNT|MATERIAL|PREPARATION	NONE	NONE	1	BASE_ONLY	AMOUNT|MATERIAL	NONE	PREPARATION	5	5	2	2	5	2	5	2	0.369697	0.333333	0.036364	0.064395	-0.500000	0.000000	0.000000	0.000000	0.000000	0.400000	0	0	0	0	0.000000	OPEN	0	0
G751-Q035	q	qor	or	o	2	AMOUNT|MATERIAL	AMOUNT|MATERIAL	NONE	NONE	1	NEITHER	AMOUNT|MATERIAL	NONE	NONE	1	1	4	4	19	235	17	96	0.265962	0.436253	-0.170291	-0.173345	0.262038	0.066965	0.000000	-0.004255	-0.001120	0.043001	0	0	0	0	0.000000	OPEN	0	0
G751-Q036	q	qotain	otain	o	5	COLD|LEVEL_II|PREPARATION	COLD|LEVEL_II|PREPARATION	COLD	COLD	1	BOTH	COLD|LEVEL_II|PREPARATION	NONE	NONE	1	1	2	2	60	88	29	42	0.537099	0.616073	-0.078974	-0.078580	0.038636	-0.024242	0.000000	-0.034091	0.171212	-0.137121	0	0	0	0	0.000000	OPEN	0	0
G751-Q037	q	qotam	otam	o	4	COLD|AMOUNT|PREPARATION	COLD|AMOUNT|PREPARATION	COLD	COLD	1	BOTH	COLD|AMOUNT|PREPARATION	NONE	NONE	10	10	2	2	10	39	9	30	0.944444	0.887562	0.056883	0.055509	0.000000	0.133333	0.000000	-0.051282	0.197436	-0.076923	0	0	0	0	0.000000	OPEN	0	0
G751-Q038	q	qotchedy	otchedy	o	7	COLD|DRY|MIDDLE_STAGE	COLD|DRY|MIDDLE_STAGE|END_STAGE|PREPARATION|CLOSE	COLD|DRY|MIDDLE_STAGE	COLD|DRY|MIDDLE_STAGE|END_STAGE	0	BASE_ONLY	COLD|DRY|MIDDLE_STAGE	NONE	END_STAGE|PREPARATION|CLOSE	1	1	18	18	17	18	9	14	0.514710	0.478438	0.036272	0.037137	0.003268	0.003268	0.000000	-0.055556	0.251634	0.003268	0	0	0	0	0.000000	OPEN	0	0
G751-Q039	q	qotcho	otcho	o	5	DRY	COLD|DRY|PREPARATION	DRY	COLD|DRY	0	BASE_ONLY	DRY	NONE	COLD|PREPARATION	9	9	6	6	9	6	9	6	0.260802	0.334722	-0.073920	-0.078416	0.222222	0.000000	0.111111	0.000000	0.166667	-0.166667	0	0	0	0	0.000000	OPEN	0	0
G751-Q040	q	qotchol	otchol	o	6	COLD|DRY|MATERIAL	COLD|DRY|MATERIAL|PREPARATION	COLD|DRY	COLD|DRY	1	BASE_ONLY	COLD|DRY|MATERIAL	NONE	PREPARATION	13	13	24	24	13	24	11	22	0.467949	0.392584	0.075365	0.072636	-0.179487	0.076923	0.000000	0.000000	-0.089744	0.070513	0	0	0	0	0.000000	OPEN	0	0
G751-Q041	q	qotchor	otchor	o	6	COLD|DRY|AMOUNT|MATERIAL	COLD|DRY|AMOUNT|MATERIAL|PREPARATION	COLD|DRY	COLD|DRY	1	BASE_ONLY	COLD|DRY|AMOUNT|MATERIAL	NONE	PREPARATION	11	11	16	16	11	16	10	14	0.100000	0.356027	-0.256027	-0.258527	0.443182	-0.062500	0.000000	-0.062500	-0.187500	0.210227	0	0	0	0	0.000000	OPEN	0	0
G751-Q042	q	qoteal	oteal	o	5	COLD|MIDDLE_STAGE|MATERIAL	COLD|MIDDLE_STAGE|MATERIAL|PREPARATION	COLD|MIDDLE_STAGE	COLD|MIDDLE_STAGE	1	BASE_ONLY	COLD|MIDDLE_STAGE|MATERIAL	NONE	PREPARATION	2	2	5	5	2	5	2	4	0.650000	0.577778	0.072222	0.072222	0.000000	0.300000	0.000000	0.000000	-0.100000	0.000000	0	0	0	0	0.000000	OPEN	0	0
G751-Q043	q	qotedy	otedy	o	5	COLD|MIDDLE_STAGE|END_STAGE|CLOSE	COLD|MIDDLE_STAGE|PREPARATION	COLD|MIDDLE_STAGE|END_STAGE	COLD|MIDDLE_STAGE	0	BASE_ONLY	COLD|MIDDLE_STAGE	END_STAGE|CLOSE	PREPARATION	49	49	1	1	49	75	30	34	0.548023	0.536082	0.011941	0.012993	-0.046259	-0.005442	-0.013333	-0.013333	0.147755	-0.080000	2	2	1	1	40.816327	OPEN	0	0
G751-Q044	q	qoteey	oteey	o	5	COLD|END_STAGE	COLD|END_STAGE|PREPARATION	COLD|END_STAGE	COLD|END_STAGE	1	BASE_ONLY	COLD|END_STAGE	NONE	PREPARATION	38	38	90	90	38	90	27	40	0.389224	0.521466	-0.132242	-0.132624	0.027485	-0.044444	0.000000	-0.022222	0.085380	0.035673	2	2	2	0	52.631579	OPEN	0	0
G751-Q045	q	qoteos	oteos	o	5	MIDDLE_STAGE|PREPARATION|PROCESS	COLD|MIDDLE_STAGE|AMOUNT|PREPARATION	MIDDLE_STAGE	COLD|MIDDLE_STAGE	0	BOTH	MIDDLE_STAGE|PREPARATION	PROCESS	COLD|AMOUNT	1	1	4	4	1	4	1	4	0.083333	0.677083	-0.593750	-0.597105	0.000000	0.000000	0.000000	0.000000	0.000000	-0.250000	0	0	0	0	0.000000	OPEN	0	0
G751-Q046	q	qotey	otey	o	4	COLD|MIDDLE_STAGE	COLD|MIDDLE_STAGE|PREPARATION	COLD|MIDDLE_STAGE	COLD|MIDDLE_STAGE	1	BASE_ONLY	COLD|MIDDLE_STAGE	NONE	PREPARATION	23	23	38	38	23	38	19	25	0.451754	0.626458	-0.174705	-0.173358	0.086957	-0.026316	0.000000	-0.026316	-0.062929	-0.053776	0	0	0	0	0.000000	OPEN	0	0
G751-Q047	q	qotol	otol	o	4	COLD|MATERIAL	COLD|PREPARATION	COLD	COLD	1	BASE_ONLY	COLD	MATERIAL	PREPARATION	40	40	56	56	40	56	28	47	0.413019	0.510047	-0.097028	-0.095033	0.050000	-0.071429	0.025000	-0.017857	0.046429	-0.085714	0	0	0	0	0.000000	OPEN	0	0
G751-Q048	q	qotor	otor	o	4	COLD|AMOUNT|MATERIAL	COLD|AMOUNT|MATERIAL|PREPARATION	COLD	COLD	1	BASE_ONLY	COLD|AMOUNT|MATERIAL	NONE	PREPARATION	22	22	24	24	22	24	19	22	0.298496	0.469963	-0.171467	-0.172296	0.375000	0.003788	0.045455	0.045455	-0.018939	0.045455	0	0	0	0	0.000000	OPEN	0	0
G751-Q049	q	qotshdy	otshdy	o	6	COLD|MOIST|BEGIN_STAGE|END_STAGE|CLOSE	COLD|MOIST|BEGIN_STAGE|END_STAGE|PREPARATION|CLOSE	COLD|MOIST|BEGIN_STAGE|END_STAGE	COLD|MOIST|BEGIN_STAGE|END_STAGE	1	BASE_ONLY	COLD|MOIST|BEGIN_STAGE|END_STAGE|CLOSE	NONE	PREPARATION	3	3	2	2	3	2	3	2	0.458333	0.479167	-0.020833	-0.027392	0.000000	0.000000	0.000000	0.000000	-0.333333	0.333333	0	0	0	0	0.000000	OPEN	0	0
G751-Q050	q	qotshedy	otshedy	o	7	COLD|MOIST|MIDDLE_STAGE|END_STAGE|CLOSE	COLD|MOIST|MIDDLE_STAGE|END_STAGE|PREPARATION|CLOSE	COLD|MOIST|MIDDLE_STAGE|END_STAGE	COLD|MOIST|MIDDLE_STAGE|END_STAGE	1	BASE_ONLY	COLD|MOIST|MIDDLE_STAGE|END_STAGE|CLOSE	NONE	PREPARATION	2	2	4	4	2	4	2	4	0.192857	0.831818	-0.638961	-0.636502	0.000000	-0.500000	0.000000	-0.250000	-0.500000	-0.250000	0	0	0	0	0.000000	OPEN	0	0
G751-Q051	q	qotshy	otshy	o	5	COLD|MOIST|BEGIN_STAGE	COLD|MOIST|BEGIN_STAGE|PREPARATION	COLD|MOIST|BEGIN_STAGE	COLD|MOIST|BEGIN_STAGE	1	BASE_ONLY	COLD|MOIST|BEGIN_STAGE	NONE	PREPARATION	4	4	4	4	4	4	4	4	0.157242	0.260417	-0.103175	-0.101834	-0.250000	0.000000	0.000000	0.000000	0.250000	0.000000	0	0	0	0	0.000000	OPEN	0	0
