page	locus	section	language	hand	token_count	zl3b_line	v62_practical_translation_de	v63_main_translation_de	v63_changed_token_positions	v63_noun_occurrences	v63_apparatus_entries	v63_compact_apparatus_de	v63_status
f112r	f112r.36	S	B	3	6	sain ol checkhy olchain okeey olam	Saatgut, Typ/Charge II; Grundansatz; trockenes Arzneikompositum am Gradanfang; Holzdrogenansatz, trocken auf Stufe II; heißer Ansatz am Ende des Grades; ein Maß Ansatz-/Drogenmaterial; Holzbindung offen.	Samen, Charge II; Grundansatz; trockenes Arzneikompositum am Gradanfang; Holzansatz, trocken auf Stufe II; heißer Ansatz am Ende des Grades; ein Maß Holz.	3	12	3	#1 sain: Samen [Rivalen: Salz|Saft|Arzneispecies; PRODUCTIVE_INITIAL_HEAD] || #4 olchain: Holz [Rivalen: Auszug|Flüssigkeit; BOUNDED_L_HEAD] || #6 olam: Holz [Rivalen: Drogenholz|Holzstoff|Auszug; PROVISIONAL_LOCAL_SCOPE_HEAD]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f112v	f112v.10	S	B	3	4	dain sheey okchedy oror	Feuchtgrad II; feucht am Ende des Grades; heiß-trockener Ansatz, Mittelstufe erreicht; zwei Portionen.	Feuchtgrad II; feucht am Ende des Grades; heiß-trockener Ansatz, Mittelstufe erreicht; zwei Portionen.	0	6	0	NONE	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f113v	f113v.12	S	B	3	5	solchedy otsheody arl olchey oror	Bis zur Mittelstufe fertig getrockneter Saatgutansatz; fertiger kalt angefeuchteter Ansatz; erste Holzdrogenfraktion; Holzdrogenansatz, bis Mittelstufe getrocknet; zwei Portionen.	Bis zur Mittelstufe fertig getrockneter Samenansatz; fertiger kalt angefeuchteter Ansatz; erste Holzfraktion; Holzansatz, bis Mittelstufe getrocknet; zwei Portionen.	3	7	3	#1 solchedy: Samen [Rivalen: Salz|Saft|Arzneispecies; PRODUCTIVE_INITIAL_HEAD] || #3 arl: Holz [Rivalen: Drogenfraktion; BOUNDED_L_HEAD] || #4 olchey: Holz [Rivalen: Auszug|Flüssigkeit; BOUNDED_L_HEAD]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f113v	f113v.17	S	B	3	7	saraiin shedy lcheey olkar okaiin cthororaiin yteeeor	Drei Teile der ersten Samenfraktion; mittlere Feuchtstufe erreicht; Drogenholz, trocken gebunden, Form II; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; heiß, Grad III, im Ansatzrahmen; drei Portionen Blatt- oder Krautdroge; hiervon eine Portion bis zur letzten Stufe abkühlen.	Drei Teile der ersten Samenfraktion; mittlere Feuchtstufe erreicht; trocken gebundenes Holz, Form II; erste erhitzte Holzfraktion im Ansatz; heißer Ansatz, Grad III; drei Portionen Krautdroge; hiervon eine Portion bis zur letzten Stufe abkühlen.	4	13	5	#1 saraiin: Samen [Rivalen: Salz|Saft|Arzneispecies; PRODUCTIVE_INITIAL_HEAD] || #3 lcheey: Holz [Rivalen: Auszug|Flüssigkeit; PRODUCTIVE_INITIAL_HEAD] || #4 olkar: Holz [Rivalen: Drogenholz|Holzstoff|Auszug; PROVISIONAL_LOCAL_SCOPE_HEAD] || #5 okaiin: Ansatz [Rivalen: Zubereitung; STRUCTURAL_FRAME_WITH_CONTENT] || #6 cthororaiin: Krautdroge [Rivalen: Blattdroge; LOCAL_CTH_FAMILY]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f113v	f113v.3	S	B	3	7	sar aiin chotar okeeodar qokain olol olam	Samenfraktion I; Menge III; erste Fraktion des abgekühlten Trockenansatzes; erste abgemessene Fraktion des vollständig erhitzten Ansatzes; heiß, Grad II; Holzdrogen-Grundansatz; ein Maß Ansatz-/Drogenmaterial; Holzbindung offen.	Erste Samenfraktion; Menge III; erste Fraktion des abgekühlten Trockenansatzes; erste abgemessene Fraktion des vollständig erhitzten Ansatzes; heiß, Grad II; Holz-Grundansatz; ein Maß Holz.	3	10	3	#1 sar: Samen [Rivalen: Salz|Saft|Arzneispecies; PRODUCTIVE_INITIAL_HEAD] || #6 olol: Holz [Rivalen: Auszug|Flüssigkeit; BOUNDED_L_HEAD] || #7 olam: Holz [Rivalen: Drogenholz|Holzstoff|Auszug; PROVISIONAL_LOCAL_SCOPE_HEAD]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f114r	f114r.24	S	B	3	13	tchedaiin oldal chor chpcheey chcphey cphochy chos aiir chty chopo sair cphy dair	Drei Dosen bis zur Mittelstufe kalt-getrocknete Droge; abgemessener Drogenrohstoff I; Pflanzen-/Reproduktionsteil; nachgetrocknetes Pulver, Form II; bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum; leicht angetrocknetes Arzneikompositum im Ansatz; eine Charge Trockenansatz; Drogenfraktion III; trocken-kalt am Gradanfang; Pulverzubereitung aus Trockenansatz; Samenfraktion II; Arzneikompositum in Grundform; abgemessene Fraktion II.	Drei Dosen bis zur Mittelstufe kalt-getrocknete Droge; abgemessener Drogenrohstoff I; Pflanzenteil; nachgetrocknetes Pulver, Form II; bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum; leicht angetrocknetes Arzneikompositum im Ansatz; eine Charge Trockenansatz; Drogenfraktion III; trocken-kalt am Gradanfang; Pulverzubereitung aus Trockenansatz; zweite Samenfraktion; Arzneikompositum in Grundform; abgemessene Fraktion II.	2	21	2	#3 chor: Pflanzenteil [Rivalen: Blütenteil|Fruchtteil; LOCAL_LEARNED_WHOLE] || #11 sair: Samen [Rivalen: Salz|Saft|Arzneispecies; PRODUCTIVE_INITIAL_HEAD]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f114r	f114r.26	S	B	3	10	ycheeodaiin olkaiir qokaiin chodaiin okar olkaiin okaiin cheody airoy olam	Hiervon drei Dosen des zweiten Trockenansatzes abmessen; dritte erhitzte Holzdrogenfraktion im Ansatz; heiß, Grad III; Trockenansatz, Dosis III; heiße Drogenfraktion I im Ansatz; heiße Drogenbasis, Stufe III; heiß, Grad III, im Ansatzrahmen; getrockneter Ansatz; zweite Drogenfraktion als Grundansatz; ein Maß Ansatz-/Drogenmaterial; Holzbindung offen.	Hiervon drei Dosen des zweiten Trockenansatzes abmessen; dritte erhitzte Holzfraktion im Ansatz; heiß, Grad III; Trockenansatz, Dosis III; heiße Drogenfraktion I im Ansatz; heiße Drogenbasis, Stufe III; heißer Ansatz, Grad III; getrockneter Ansatz; zweite Drogenfraktion als Grundansatz; ein Maß Holz.	3	18	3	#2 olkaiir: Holz [Rivalen: Auszug|Flüssigkeit; BOUNDED_L_HEAD] || #7 okaiin: Ansatz [Rivalen: Zubereitung; STRUCTURAL_FRAME_WITH_CONTENT] || #10 olam: Holz [Rivalen: Drogenholz|Holzstoff|Auszug; PROVISIONAL_LOCAL_SCOPE_HEAD]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f114v	f114v.36	S	B	3	11	tshey oidal op shoko otchey qopchol qopaiin qotar al kal ram	Kalt und feucht in der Mitte des Grades; abgemessene Rohstoffmenge I im Ansatz, Grundform; Pulveransatz; erhitzter Feuchtansatz; kalt-trockener Ansatz in der Mitte des Grades; nimm getrockneten Pulverstoff; drei Teile Pulveransatz nehmen; kalte Drogenfraktion I; Rohstoffklasse I; Rohstoffklasse I, heiß am Gradanfang; Wurzel/Wurzeldroge: Maß-/Einheitsform I.	Kalt und feucht in der Mitte des Grades; abgemessene Rohstoffmenge I im Ansatz, Grundform; Pulveransatz; erhitzter Feuchtansatz; kalt-trockener Ansatz in der Mitte des Grades; nimm getrockneten Pulverstoff; drei Teile Pulveransatz nehmen; kalte Drogenfraktion I; Rohstoffklasse I; Rohstoffklasse I, heiß am Gradanfang; ein Maß Wurzel.	1	19	1	#11 ram: Wurzel [Rivalen: Wurzeldroge|Harz; PRODUCTIVE_INITIAL_HEAD]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f115r	f115r.1	S	B	@	11	fdar qopchol qochedain otedy cheop ol teeedy oroiir oechedy oteedy qotchedy	Erste Blütenfraktion abmessen; nimm getrockneten Pulverstoff; zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen; kalter Ansatz, Mittelstufe erreicht; bis zur Mittelstufe getrocknet; Pulverstoff; vollständig abgekühlter Ansatz, fertig; eine Portion der dritten Ansatzfraktion; fertiger bis zur Mittelstufe getrockneter Ansatz; kalter Ansatz am Ende des Grades; kalt-trockene Mittelstufe erreicht.	Erste Blütenfraktion abmessen; nimm getrockneten Pulverstoff; zwei Dosen bis zur Mittelstufe getrocknetes Gut abmessen; kalter Ansatz, Mittelstufe erreicht; bis zur Mittelstufe getrocknet; Pulverstoff; vollständig abgekühlter Ansatz, fertig; eine Portion der dritten Ansatzfraktion; fertiger bis zur Mittelstufe getrockneter Ansatz; kalter Ansatz am Ende des Grades; kalt-trockene Mittelstufe erreicht.	0	18	0	NONE	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f115r	f115r.23	S	B	@	13	dchey keey qokeod chody qokcho s checthy qokeeey keeey lol chedy qokchedy ldy	Eine abgemessene Portion bis zur Mittelstufe trocknen; heiß am Ende des Grades; heißen Auszug bereiten und abschließen; leicht abgeschlossener Trockenansatz; erhitze, trockne und setze an; Samen-/Saatgutposten; trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut; stark erhitzt, Endstufe III; stark erhitzt, Endstufe III; Holzstoff; mittlere Trockenstufe erreicht; heiß-trockene Mittelstufe erreicht; fertig aufbereitetes Drogenholz.	Eine abgemessene Portion bis zur Mittelstufe trocknen; heiß am Ende des Grades; heißen Auszug bereiten und abschließen; leicht abgeschlossener Trockenansatz; erhitze, trockne und setze an; Samenposten; trockenes Kraut; stark erhitzt, Endstufe III; stark erhitzt, Endstufe III; Holzstoff; mittlere Trockenstufe erreicht; heiß-trockene Mittelstufe erreicht; fertig aufbereitetes Holz.	3	14	4	#6 s: Samen [Rivalen: Salz|Saft|Arzneispecies; PRODUCTIVE_INITIAL_HEAD] || #7 checthy: Kraut [Rivalen: Blattdroge|Krautdroge; LOCAL_CTH_FAMILY] || #10 lol: Holz [Rivalen: Auszug|Flüssigkeit; PRODUCTIVE_INITIAL_HEAD] || #13 ldy: Holz [Rivalen: Auszug|Flüssigkeit; PRODUCTIVE_INITIAL_HEAD]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f116r	f116r.12	S	B	3	12	qoin ar cholches okain dain cheey okeey otain olchdy otal dain olam	Zweiten Ansatz nehmen; Drogenfraktion I; nachgetrocknetes Drogenmaterial, Mittelstufe; heiß im Zubereitungsrahmen, Grad II; zwei Portionen des erhitzten nachgetrockneten Drogenmaterials; trocken am Ende des Grades; heißer Ansatz am Ende des Grades; kalt im Zubereitungsrahmen, Grad II; Holzdroge im Ansatz fertig getrocknet; Rohstoffklasse I im Ansatz, kalt am Gradanfang; zwei Portionen der Rohdroge I im kalten Anfangsansatz; ein Maß Ansatz-/Drogenmaterial; Holzbindung offen.	Zweiten Ansatz nehmen; Drogenfraktion I; nachgetrocknetes Drogenmaterial, Mittelstufe; heißer Ansatz, Grad II; zwei Portionen des erhitzten nachgetrockneten Drogenmaterials; trocken am Ende des Grades; heißer Ansatz am Ende des Grades; kalter Ansatz, Grad II; Holz im Ansatz fertig getrocknet; Rohstoffklasse I im Ansatz, kalt am Gradanfang; zwei Portionen der Rohdroge I im kalten Anfangsansatz; ein Maß Holz.	4	25	4	#4 okain: Ansatz [Rivalen: Zubereitung; STRUCTURAL_FRAME_WITH_CONTENT] || #8 otain: Ansatz [Rivalen: Zubereitung; STRUCTURAL_FRAME_WITH_CONTENT] || #9 olchdy: Holz [Rivalen: Auszug|Flüssigkeit; BOUNDED_L_HEAD] || #12 olam: Holz [Rivalen: Drogenholz|Holzstoff|Auszug; PROVISIONAL_LOCAL_SCOPE_HEAD]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f23r	f23r.6	H	A	1	12	tshol y kor qokaiin yky dar okol dchey daiidal dam ytcho ldals	Kalt eingeweichter Drogenstoff; Hierzu: heiße Drogenportion; heiß, Grad III; hierzu leicht erhitzen; abgemessene Fraktion I; heißer Ansatzstoff; fertige abgemessene Mittelstufen-Trockenportion; drei abgemessene Mengen Rohdroge I; Dosis I; hieraus einen Kalt-Trockenansatz herstellen; eine Charge Holzrohdroge I abmessen.	Kalt eingeweichter Drogenstoff; Hierzu: heiße Drogenportion; heiß, Grad III; hierzu leicht erhitzen; abgemessene Fraktion I; heißer Ansatzstoff; fertige abgemessene Mittelstufen-Trockenportion; drei abgemessene Mengen Rohdroge I; Dosis I; hieraus einen Kalt-Trockenansatz herstellen; eine Charge Holzrohstoff I abmessen.	1	12	1	#12 ldals: Holz [Rivalen: Auszug|Flüssigkeit; PRODUCTIVE_INITIAL_HEAD]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f24v	f24v.15	H	A	1	4	dchey kchod dchal ochdy	Eine abgemessene Portion bis zur Mittelstufe trocknen; heiß-trockener Ansatz, abgezogen und abgeschlossen; eine Dosis angetrocknete Rohdroge I; fertiger Trockenansatz.	Eine abgemessene Portion bis zur Mittelstufe trocknen; heiß-trockener Ansatz, abgezogen und abgeschlossen; eine Dosis angetrocknete Rohdroge I; fertiger Trockenansatz.	0	6	0	NONE	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f26r	f26r.2	H	B	2	9	dchey aiin adeeody ykecthey chedy ytedy dy checthedy ls	Fertige abgemessene Mittelstufen-Trockenportion; Menge III; gleicher abgemessener Teil des fertigen Ansatzes; hiervon Blatt- oder Krautdroge bis zur Mittelstufe erhitzen und abschließen; mittlere Trockenstufe erreicht; hiervon bis zur Mittelstufe abkühlen und abschließen; Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen; eine Charge Holzdroge.	Fertige abgemessene Mittelstufen-Trockenportion; Menge III; gleicher abgemessener Teil des fertigen Ansatzes; hiervon Krautdroge bis zur Mittelstufe erhitzen und abschließen; mittlere Trockenstufe erreicht; hiervon bis zur Mittelstufe abkühlen und abschließen; Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen; eine Charge Holz.	2	11	3	#4 ykecthey: Krautdroge [Rivalen: Blattdroge; LOCAL_CTH_FAMILY] || #8 checthedy: Krautdroge [Rivalen: Blattdroge; LOCAL_CTH_FAMILY] || #9 ls: Holz [Rivalen: Auszug|Flüssigkeit; PRODUCTIVE_INITIAL_HEAD]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f27r	f27r.9	H	A	1	7	dchey keeod shotchey chol oty chy tolg	Eine abgemessene Portion bis zur Mittelstufe trocknen; vollständig erhitzter und abgezogener Ansatz; Feuchtansatz aus kalt bis Mittelstufe getrockneter Droge; trocken; kalter Ansatz am Anfang des Grades; trocken am Anfang des Grades; ein Gran kalten Drogenmaterials.	Eine abgemessene Portion bis zur Mittelstufe trocknen; vollständig erhitzter und abgezogener Ansatz; Feuchtansatz aus kalt bis Mittelstufe getrockneter Droge; trocken; kalter Ansatz am Anfang des Grades; trocken am Anfang des Grades; ein Gran kalten Drogenmaterials.	0	13	0	NONE	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
f30r	f30r.9	H	A	1	7	dchey qochar chol keeaiin chcthey chor cheky	Eine abgemessene Portion bis zur Mittelstufe trocknen; erste Trockenfraktion nehmen; trocken; vollständig erhitzt, Stufe III; Krautdroge bis zur mittleren Stufe trocknen; Pflanzen-/Reproduktionsteil; bis zur mittleren Trockenstufe, dann leicht erhitzen.	Eine abgemessene Portion bis zur Mittelstufe trocknen; erste Trockenfraktion nehmen; trocken; vollständig erhitzt, Stufe III; Krautdroge bis zur mittleren Stufe trocknen; Pflanzenteil; bis zur mittleren Trockenstufe, dann leicht erhitzen.	1	8	2	#5 chcthey: Krautdroge [Rivalen: Blattdroge; LOCAL_CTH_FAMILY] || #6 chor: Pflanzenteil [Rivalen: Blütenteil|Fruchtteil; LOCAL_LEARNED_WHOLE]	EVERY_MAIN_NOUN_EXACT_WRITTEN_ORDINAL
