statement_id	page	record	meta_rules	variant_ids	bound_exemplar	forward_recipe_sequence	forward_cards
B1-S014	f81v	B1	NONE	NONE	NONE	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	5
B1-S015	f81v	B1	M6_USE_ATTESTED_WITHIN_CARD_ORDER	P754:R3_USE_ATTESTED_T_E_Y_ORDER	NONE	T+E+Y | OK+CHD+DY	2
B1-S016	f81v	B1	NONE	NONE	NONE	OK+AL | OK+EE+Y | OL | SHED+DY	4
B1-S017	f81v	B1	NONE	NONE	NONE	AL | E+OL | CHD+DY	3
B1-S018	f81v	B1	NONE	NONE	NONE	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	4
B1-S019	f81v	B1	NONE	NONE	NONE	SHED+DY	1
B1-S020	f81v	B1	NONE	NONE	NONE	CHK+E+Y | SH+CKH+E+DY	2
B1-S021	f81v	B1	NONE	NONE	NONE	AL	1
B2-S001	f82r	B2	NONE	NONE	NONE	CHD+DY	1
B2-S002	f82r	B2	NONE	NONE	NONE	OL+CHD+DY	1
B2-S003	f82r	B2	NONE	NONE	NONE	OK+AIN | Y | OK+EE+DY	3
B2-S004	f82r	B2	M5_PACK_ADDRESS_OR_HEAD_WITH_NEIGHBOR	P754:R4_PACK_L_WITH_PASSAGE_ITEM	NONE	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	5
B2-S005	f82r	B2	M7_REPEAT_ONE_CARD	P754:R5_REPEAT_MEASURED_ACTIVATION	NONE	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	8
B2-S006	f82r	B2	NONE	NONE	NONE	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	4
B2-S007	f82r	B2	NONE	NONE	NONE	SH+E+DY	1
B2-S008	f82r	B2	NONE	NONE	NONE	OT+AIIN | OK+AR | SHED+DY	3
B2-S009	f82r	B2	NONE	NONE	NONE	OL+SH+E+DY	1
B2-S010	f82r	B2	M2_SHIFT_GRADE_IN_ACTIVATION_CASCADE	P748:R2_STAGED_ACTIVATION_BEFORE_HOLD	NONE	OK+EE+Y | OK+Y | OL | SH+EE+Y	4
B2-S011	f82r	B2	NONE	NONE	NONE	OK+AIN | AR | OK+AIN | OK+EE+DY	4
B2-S012	f82r	B2	M3_PACK_MEASURE_FRAME	P751:R2_MEASURED_ITEM_BEFORE_FULL_CLOSE	NONE	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	8
B2-S013	f82r	B2	NONE	NONE	NONE	L+CHD+DY	1
B2-S014	f82r	B2	NONE	NONE	NONE	L+AR	1
B2-S015	f82r	B2	NONE	NONE	NONE	SH+E+Y | OK+EE+DY	2
B2-S016	f82r	B2	M5_PACK_ADDRESS_OR_HEAD_WITH_NEIGHBOR	P754:R6_PACK_OK_WITH_MEASURE	NONE	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	8
B2-S017	f82r	B2	NONE	NONE	NONE	R+SH+E+AL | AL+DY	2
B2-S018	f82r	B2	NONE	NONE	NONE	OK+EE+DY	1
B2-S019	f82r	B2	NONE	NONE	NONE	R+SHED+DY	1
B2-S020	f82r	B2	NONE	NONE	NONE	OT+EE+DY	1
B2-S021	f82r	B2	NONE	NONE	NONE	OK+EE+DY	1
B2-S022	f82r	B2	NONE	NONE	NONE	L+O+CHD+DY	1
B3-S001	f83r	B3	NONE	NONE	NONE	SOLK+EE+DY	1
B3-S002	f83r	B3	NONE	NONE	NONE	OT+AL | CHK+EE+DY	2
B3-S003	f83r	B3	M1_ECHO_CURRENT_ITEM_OR_PREPARATION	P748:R1_MEASURED_ITEM_BEFORE_CLOSED_TRANSFER	NONE	Y | AIIN | Y | L+CHD+DY	4
B3-S004	f83r	B3	NONE	NONE	NONE	OK+AIIN | OT+AL | AR	3
B3-S005	f83r	B3	NONE	NONE	NONE	CHD+DY	1
B3-S006	f83r	B3	NONE	NONE	NONE	CHD+Y | OK+AL | OL+CHD+DY	3
B3-S007	f83r	B3	NONE	NONE	NONE	OK+AIIN | CHD+Y | OK+EE+DY	3
B3-S008	f83r	B3	NONE	NONE	NONE	L+CHD+DY	1
B3-S009	f83r	B3	NONE	NONE	NONE	OK+Y	1
B3-S010	f83r	B3	NONE	NONE	NONE	P+CHD+AL | OT+E+DY	2
B3-S011	f83r	B3	M5_PACK_ADDRESS_OR_HEAD_WITH_NEIGHBOR	P754:R7_PACK_SOURCE_WITH_ITEM	NONE	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	4
B3-S012	f83r	B3	NONE	NONE	NONE	OR | SHED+DY	2
B3-S013	f83r	B3	NONE	NONE	NONE	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	4
B3-S014	f83r	B3	NONE	NONE	NONE	OK+AIR | SH+EE+DY	2
B3-S015	f83r	B3	NONE	NONE	NONE	L+CHD+DY	1
B3-S016	f83r	B3	NONE	NONE	NONE	L+O | OK+CHD+DY	2
B3-S017	f83r	B3	NONE	NONE	NONE	OK+EE+DY	1
B3-S018	f83r	B3	NONE	NONE	NONE	SHED+DY	1
B3-S019	f83r	B3	NONE	NONE	NONE	OK+SH+E+DY	1
B3-S020	f83r	B3	NONE	NONE	NONE	AL | L+CHD+DY	2
B3-S021	f83r	B3	NONE	NONE	EXEMPLAR_B3-S021	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	11
B3-S022	f83r	B3	NONE	NONE	NONE	OT+CHD+DY	1
B3-S023	f83r	B3	NONE	NONE	NONE	L+CHD+DY	1
B3-S024	f83r	B3	NONE	NONE	NONE	CHD+DY	1
B3-S025	f83r	B3	NONE	NONE	NONE	OK+CHD+DY	1
B3-S026	f83r	B3	NONE	NONE	NONE	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	7
B3-S027	f83r	B3	NONE	NONE	NONE	OT+EE+DY	1
B3-S028	f83r	B3	NONE	NONE	NONE	OK+EE+Y | OK+E+DY	2
B3-S029	f83r	B3	NONE	NONE	NONE	OL | EEE+T+Y | OK+E+DY	3
B3-S030	f83r	B3	M3_PACK_MEASURE_FRAME	P751:R3_ACTIVATE_THEN_MEASURE_BEFORE_WATER_TRANSFER	NONE	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	4
B3-S031	f83r	B3	NONE	NONE	NONE	OK+EE+DY	1
B3-S032	f83r	B3	M9_WRITE_ORDERED_CADENCE	P756:R3_ORDERED_TRANSFER_MEASURE_CLOSE	NONE	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	5
B3-S033	f83r	B3	NONE	NONE	NONE	L+DY	1
B3-S034	f83r	B3	NONE	NONE	NONE	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	6
B4-S001	f83r	B4	NONE	NONE	NONE	OK+EE+DY	1
B4-S002	f83r	B4	M8_SPLIT_OR_REDISTRIBUTE_NEIGHBORS	P755:R2_REDISTRIBUTE_CONTINUATION_AND_ACTIVE_ITEM	NONE	OL+Y | OK+EE+Y | OK+E+DY	3
B4-S003	f83r	B4	M2_SHIFT_GRADE_IN_ACTIVATION_CASCADE	P748:R3_STAGED_ACTIVATION_AFTER_NEXT_TARGET	NONE	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	7
B4-S004	f83r	B4	NONE	NONE	NONE	OK+Y+LD+DY	1
B4-S005	f83r	B4	NONE	NONE	NONE	AIN | CHD+Y | OK+EE+DY	3
B4-S006	f83r	B4	NONE	NONE	NONE	SH+CKH+E+DY	1
B4-S007	f83r	B4	NONE	NONE	NONE	SH+CKH+E+DY	1
B4-S008	f83r	B4	NONE	NONE	NONE	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	4
B4-S009	f83r	B4	NONE	NONE	NONE	SHED+DY	1
B4-S010	f83r	B4	NONE	NONE	NONE	OL+DY	1
B4-S011	f83r	B4	NONE	NONE	NONE	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	7
B4-S012	f83r	B4	NONE	NONE	NONE	L+CHD+DY	1
B4-S013	f83r	B4	NONE	NONE	NONE	OK+OL | SHED+DY	2
B4-S014	f83r	B4	M1_ECHO_CURRENT_ITEM_OR_PREPARATION	P750:R3_PREPARATION_BEFORE_PASSAGE	NONE	OR | Y | O+CKH+E+Y | AIR+Y+DY	4
B4-S015	f83r	B4	NONE	NONE	NONE	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	6
B4-S016	f83r	B4	M5_PACK_ADDRESS_OR_HEAD_WITH_NEIGHBOR	P752:R3_PORTION_TARGET_SOURCE_BRIDGE	NONE	OL+K+AIN | AL | K+AR | SHED+DY	4
B5-S001	f83r	B5	NONE	NONE	NONE	OT+CHD+DY	1
B5-S002	f83r	B5	NONE	NONE	NONE	OK+CHD+DY	1
B5-S003	f83r	B5	M4_WRITE_CONTINUATION_BRIDGE	P752:R4_TARGET_CONTINUATION_BEFORE_TRANSFER	NONE	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	9
B6-S001	f83r	B6	NONE	NONE	EXEMPLAR_B6-S001	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR	9
