statement_id	y_packer_output	meta_rule_count	meta_rules	variant_ids	after_parameterized_rules	bound_exemplar	final_output
H5-S001	HO+CH+OR | AL | AIIN | K+OL | OT+CH+OR | OK+AL+Y	0	NONE	NONE	HO+CH+OR | AL | AIIN | K+OL | OT+CH+OR | OK+AL+Y	EXEMPLAR_H5-S001	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL
H5-S002	RESUME_CARD | HO | OK+Y | CH+EE+CKH+O+DY	1	M5_PACK_ADDRESS_OR_HEAD_WITH_NEIGHBOR	P754:R2_PACK_INGREDIENT_WITH_ITEM_AFTER_RESUME	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	NONE	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY
H5-S003	HO | SH | K+E+Y | OK+Y	1	M9_WRITE_ORDERED_CADENCE	P756:R2_HOLD_INGREDIENT_REPEAT_ACTIVATION	SH | HO | K+E+Y | OK+OK+Y	NONE	SH | HO | K+E+Y | OK+OK+Y
H5-S004	OK+Y | OK+CH+E+O | K+AL	0	NONE	NONE	OK+Y | OK+CH+E+O | K+AL	NONE	OK+Y | OK+CH+E+O | K+AL
H5-S005	HO | OK+Y | K+HO+AR | OT+O+AIN	0	NONE	NONE	HO | OK+Y | K+HO+AR | OT+O+AIN	NONE	HO | OK+Y | K+HO+AR | OT+O+AIN
H5-S006	OT+Y | K+E+OL | AIIN	0	NONE	NONE	OT+Y | K+E+OL | AIIN	NONE	OT+Y | K+E+OL | AIIN
B1-S001	OK+E+DY	0	NONE	NONE	OK+E+DY	NONE	OK+E+DY
B1-S002	OK+AIIN | K+AIR | AL | AR | AIN | OL+K+AIN | R+OL | L | OL+OR | SH+E+CKH+AL | AIIN | OK+EE+Y | CKH+Y | CHD+DY	0	NONE	NONE	OK+AIIN | K+AIR | AL | AR | AIN | OL+K+AIN | R+OL | L | OL+OR | SH+E+CKH+AL | AIIN | OK+EE+Y | CKH+Y | CHD+DY	EXEMPLAR_B1-S002	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY
B1-S003	OL | SH+K+CHD+DY	0	NONE	NONE	OL | SH+K+CHD+DY	NONE	OL | SH+K+CHD+DY
B1-S004	CHD+Y | OL | SHED+DY	0	NONE	NONE	CHD+Y | OL | SHED+DY	NONE	CHD+Y | OL | SHED+DY
B1-S005	OL+CHD+DY	0	NONE	NONE	OL+CHD+DY	NONE	OL+CHD+DY
B1-S006	OK+AIN | L+CKH+Y | R+AL	1	M8_SPLIT_OR_REDISTRIBUTE_NEIGHBORS	P755:R1_SPLIT_PASSAGE_AND_TRANSFER	OK+AIN | CKH+Y | L | R+AL	NONE	OK+AIN | CKH+Y | L | R+AL
B1-S007	OK+CHD+DY	0	NONE	NONE	OK+CHD+DY	NONE	OK+CHD+DY
B1-S008	OL+Y | CHK+E+Y | OL | SHED+DY	1	M4_WRITE_CONTINUATION_BRIDGE	P752:R2_CURRENT_ITEM_CONTINUATION_CADENCE	Y | OL | CHK+E+Y | OL | SHED+DY	NONE	Y | OL | CHK+E+Y | OL | SHED+DY
B1-S009	OK+E+DY	0	NONE	NONE	OK+E+DY	NONE	OK+E+DY
B1-S010	OK+E+DY	0	NONE	NONE	OK+E+DY	NONE	OK+E+DY
B1-S011	CKH+Y | OK+Y	0	NONE	NONE	CKH+Y | OK+Y	NONE	CKH+Y | OK+Y
B1-S012	LSH+O | OK+E+Y | LSH+E+DY	0	NONE	NONE	LSH+O | OK+E+Y | LSH+E+DY	NONE	LSH+O | OK+E+Y | LSH+E+DY
B1-S013	LSH+E+DY	0	NONE	NONE	LSH+E+DY	NONE	LSH+E+DY
B1-S014	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	0	NONE	NONE	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	NONE	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR
B1-S015	E+T+Y | OK+CHD+DY	1	M6_USE_ATTESTED_WITHIN_CARD_ORDER	P754:R3_USE_ATTESTED_T_E_Y_ORDER	T+E+Y | OK+CHD+DY	NONE	T+E+Y | OK+CHD+DY
B1-S016	OK+AL | OK+EE+Y | OL | SHED+DY	0	NONE	NONE	OK+AL | OK+EE+Y | OL | SHED+DY	NONE	OK+AL | OK+EE+Y | OL | SHED+DY
B1-S017	AL | E+OL | CHD+DY	0	NONE	NONE	AL | E+OL | CHD+DY	NONE	AL | E+OL | CHD+DY
B1-S018	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	0	NONE	NONE	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	NONE	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY
B1-S019	SHED+DY	0	NONE	NONE	SHED+DY	NONE	SHED+DY
B1-S020	CHK+E+Y | SH+CKH+E+DY	0	NONE	NONE	CHK+E+Y | SH+CKH+E+DY	NONE	CHK+E+Y | SH+CKH+E+DY
B1-S021	AL	0	NONE	NONE	AL	NONE	AL
B2-S001	CHD+DY	0	NONE	NONE	CHD+DY	NONE	CHD+DY
B2-S002	OL+CHD+DY	0	NONE	NONE	OL+CHD+DY	NONE	OL+CHD+DY
B2-S003	OK+AIN | Y | OK+EE+DY	0	NONE	NONE	OK+AIN | Y | OK+EE+DY	NONE	OK+AIN | Y | OK+EE+DY
B2-S004	OK+AL | CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	1	M5_PACK_ADDRESS_OR_HEAD_WITH_NEIGHBOR	P754:R4_PACK_L_WITH_PASSAGE_ITEM	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	NONE	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY
B2-S005	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	1	M7_REPEAT_ONE_CARD	P754:R5_REPEAT_MEASURED_ACTIVATION	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY	NONE	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | O+CTH+E+OL | CHK+EE+Y | L+DY
B2-S006	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	0	NONE	NONE	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y	NONE	OT+EE+Y | OK+AL | SH+E+CKH+Y | OK+Y
B2-S007	SH+E+DY	0	NONE	NONE	SH+E+DY	NONE	SH+E+DY
B2-S008	OT+AIIN | OK+AR | SHED+DY	0	NONE	NONE	OT+AIIN | OK+AR | SHED+DY	NONE	OT+AIIN | OK+AR | SHED+DY
B2-S009	OL+SH+E+DY	0	NONE	NONE	OL+SH+E+DY	NONE	OL+SH+E+DY
B2-S010	OK+EE+Y | OK+EE+OL | SH	1	M2_SHIFT_GRADE_IN_ACTIVATION_CASCADE	P748:R2_STAGED_ACTIVATION_BEFORE_HOLD	OK+EE+Y | OK+Y | OL | SH+EE+Y	NONE	OK+EE+Y | OK+Y | OL | SH+EE+Y
B2-S011	OK+AIN | AR | OK+AIN | OK+EE+DY	0	NONE	NONE	OK+AIN | AR | OK+AIN | OK+EE+DY	NONE	OK+AIN | AR | OK+AIN | OK+EE+DY
B2-S012	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | OK+EEE+DY	1	M3_PACK_MEASURE_FRAME	P751:R2_MEASURED_ITEM_BEFORE_FULL_CLOSE	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY	NONE	L+CH+Y | SH+EE+Y | CTH+E+Y | OK+EE+Y | L+EE+Y | AIIN | Y | OK+EEE+DY
B2-S013	L+CHD+DY	0	NONE	NONE	L+CHD+DY	NONE	L+CHD+DY
B2-S014	L+AR	0	NONE	NONE	L+AR	NONE	L+AR
B2-S015	SH+E+Y | OK+EE+DY	0	NONE	NONE	SH+E+Y | OK+EE+DY	NONE	SH+E+Y | OK+EE+DY
B2-S016	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | AIIN | OK+E+Y | P+CHD+DY	1	M5_PACK_ADDRESS_OR_HEAD_WITH_NEIGHBOR	P754:R6_PACK_OK_WITH_MEASURE	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY	NONE	AL | L+CHD+AR | CH+E+S | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+DY
B2-S017	R+SH+E+AL | AL+DY	0	NONE	NONE	R+SH+E+AL | AL+DY	NONE	R+SH+E+AL | AL+DY
B2-S018	OK+EE+DY	0	NONE	NONE	OK+EE+DY	NONE	OK+EE+DY
B2-S019	R+SHED+DY	0	NONE	NONE	R+SHED+DY	NONE	R+SHED+DY
B2-S020	OT+EE+DY	0	NONE	NONE	OT+EE+DY	NONE	OT+EE+DY
B2-S021	OK+EE+DY	0	NONE	NONE	OK+EE+DY	NONE	OK+EE+DY
B2-S022	L+O+CHD+DY	0	NONE	NONE	L+O+CHD+DY	NONE	L+O+CHD+DY
B3-S001	SOLK+EE+DY	0	NONE	NONE	SOLK+EE+DY	NONE	SOLK+EE+DY
B3-S002	OT+AL | CHK+EE+DY	0	NONE	NONE	OT+AL | CHK+EE+DY	NONE	OT+AL | CHK+EE+DY
B3-S003	Y | AIIN | L+CHD+DY	1	M1_ECHO_CURRENT_ITEM_OR_PREPARATION	P748:R1_MEASURED_ITEM_BEFORE_CLOSED_TRANSFER	Y | AIIN | Y | L+CHD+DY	NONE	Y | AIIN | Y | L+CHD+DY
B3-S004	OK+AIIN | OT+AL | AR	0	NONE	NONE	OK+AIIN | OT+AL | AR	NONE	OK+AIIN | OT+AL | AR
B3-S005	CHD+DY	0	NONE	NONE	CHD+DY	NONE	CHD+DY
B3-S006	CHD+Y | OK+AL | OL+CHD+DY	0	NONE	NONE	CHD+Y | OK+AL | OL+CHD+DY	NONE	CHD+Y | OK+AL | OL+CHD+DY
B3-S007	OK+AIIN | CHD+Y | OK+EE+DY	0	NONE	NONE	OK+AIIN | CHD+Y | OK+EE+DY	NONE	OK+AIIN | CHD+Y | OK+EE+DY
B3-S008	L+CHD+DY	0	NONE	NONE	L+CHD+DY	NONE	L+CHD+DY
B3-S009	OK+Y	0	NONE	NONE	OK+Y	NONE	OK+Y
B3-S010	P+CHD+AL | OT+E+DY	0	NONE	NONE	P+CHD+AL | OT+E+DY	NONE	P+CHD+AL | OT+E+DY
B3-S011	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR	1	M5_PACK_ADDRESS_OR_HEAD_WITH_NEIGHBOR	P754:R7_PACK_SOURCE_WITH_ITEM	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	NONE	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y
B3-S012	OR | SHED+DY	0	NONE	NONE	OR | SHED+DY	NONE	OR | SHED+DY
B3-S013	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	0	NONE	NONE	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	NONE	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY
B3-S014	OK+AIR | SH+EE+DY	0	NONE	NONE	OK+AIR | SH+EE+DY	NONE	OK+AIR | SH+EE+DY
B3-S015	L+CHD+DY	0	NONE	NONE	L+CHD+DY	NONE	L+CHD+DY
B3-S016	L+O | OK+CHD+DY	0	NONE	NONE	L+O | OK+CHD+DY	NONE	L+O | OK+CHD+DY
B3-S017	OK+EE+DY	0	NONE	NONE	OK+EE+DY	NONE	OK+EE+DY
B3-S018	SHED+DY	0	NONE	NONE	SHED+DY	NONE	SHED+DY
B3-S019	OK+SH+E+DY	0	NONE	NONE	OK+SH+E+DY	NONE	OK+SH+E+DY
B3-S020	AL | L+CHD+DY	0	NONE	NONE	AL | L+CHD+DY	NONE	AL | L+CHD+DY
B3-S021	OK+AIIN | CTH+Y | AL | AIIN | UNPACKED(SHED) | SH+E+CTH+Y | AL | CTH+Y | CHD+DY	0	NONE	NONE	OK+AIIN | CTH+Y | AL | AIIN | UNPACKED(SHED) | SH+E+CTH+Y | AL | CTH+Y | CHD+DY	EXEMPLAR_B3-S021	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY
B3-S022	OT+CHD+DY	0	NONE	NONE	OT+CHD+DY	NONE	OT+CHD+DY
B3-S023	L+CHD+DY	0	NONE	NONE	L+CHD+DY	NONE	L+CHD+DY
B3-S024	CHD+DY	0	NONE	NONE	CHD+DY	NONE	CHD+DY
B3-S025	OK+CHD+DY	0	NONE	NONE	OK+CHD+DY	NONE	OK+CHD+DY
B3-S026	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	0	NONE	NONE	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	NONE	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY
B3-S027	OT+EE+DY	0	NONE	NONE	OT+EE+DY	NONE	OT+EE+DY
B3-S028	OK+EE+Y | OK+E+DY	0	NONE	NONE	OK+EE+Y | OK+E+DY	NONE	OK+EE+Y | OK+E+DY
B3-S029	OL | EEE+T+Y | OK+E+DY	0	NONE	NONE	OL | EEE+T+Y | OK+E+DY	NONE	OL | EEE+T+Y | OK+E+DY
B3-S030	Y | OK+AIIN | CHD+AIR | OT+CHD+DY	1	M3_PACK_MEASURE_FRAME	P751:R3_ACTIVATE_THEN_MEASURE_BEFORE_WATER_TRANSFER	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	NONE	OK+Y | AIIN | CHD+AIR | OT+CHD+DY
B3-S031	OK+EE+DY	0	NONE	NONE	OK+EE+DY	NONE	OK+EE+DY
B3-S032	AIN | CHD+Y | OT+E+AIIN | OT+E+AIIN | UNPACKED(DY)	1	M9_WRITE_ORDERED_CADENCE	P756:R3_ORDERED_TRANSFER_MEASURE_CLOSE	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	NONE	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY
B3-S033	L+DY	0	NONE	NONE	L+DY	NONE	L+DY
B3-S034	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	0	NONE	NONE	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	NONE	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY
B4-S001	OK+EE+DY	0	NONE	NONE	OK+EE+DY	NONE	OK+EE+DY
B4-S002	Y | OK+EE+OL | OK+E+DY	1	M8_SPLIT_OR_REDISTRIBUTE_NEIGHBORS	P755:R2_REDISTRIBUTE_CONTINUATION_AND_ACTIVE_ITEM	OL+Y | OK+EE+Y | OK+E+DY	NONE	OL+Y | OK+EE+Y | OK+E+DY
B4-S003	CHD+Y | OT+AL | OT+EE+Y | OK+OL | OK+OL | SHED+DY	1	M2_SHIFT_GRADE_IN_ACTIVATION_CASCADE	P748:R3_STAGED_ACTIVATION_AFTER_NEXT_TARGET	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	NONE	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY
B4-S004	OK+Y+LD+DY	0	NONE	NONE	OK+Y+LD+DY	NONE	OK+Y+LD+DY
B4-S005	AIN | CHD+Y | OK+EE+DY	0	NONE	NONE	AIN | CHD+Y | OK+EE+DY	NONE	AIN | CHD+Y | OK+EE+DY
B4-S006	SH+CKH+E+DY	0	NONE	NONE	SH+CKH+E+DY	NONE	SH+CKH+E+DY
B4-S007	SH+CKH+E+DY	0	NONE	NONE	SH+CKH+E+DY	NONE	SH+CKH+E+DY
B4-S008	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	0	NONE	NONE	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	NONE	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY
B4-S009	SHED+DY	0	NONE	NONE	SHED+DY	NONE	SHED+DY
B4-S010	OL+DY	0	NONE	NONE	OL+DY	NONE	OL+DY
B4-S011	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	0	NONE	NONE	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	NONE	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY
B4-S012	L+CHD+DY	0	NONE	NONE	L+CHD+DY	NONE	L+CHD+DY
B4-S013	OK+OL | SHED+DY	0	NONE	NONE	OK+OL | SHED+DY	NONE	OK+OL | SHED+DY
B4-S014	OR | O+CKH+E+Y | AIR+Y+DY	1	M1_ECHO_CURRENT_ITEM_OR_PREPARATION	P750:R3_PREPARATION_BEFORE_PASSAGE	OR | Y | O+CKH+E+Y | AIR+Y+DY	NONE	OR | Y | O+CKH+E+Y | AIR+Y+DY
B4-S015	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	0	NONE	NONE	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	NONE	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY
B4-S016	OL+K+AIN | AL | AR | SHED+DY	1	M5_PACK_ADDRESS_OR_HEAD_WITH_NEIGHBOR	P752:R3_PORTION_TARGET_SOURCE_BRIDGE	OL+K+AIN | AL | K+AR | SHED+DY	NONE	OL+K+AIN | AL | K+AR | SHED+DY
B5-S001	OT+CHD+DY	0	NONE	NONE	OT+CHD+DY	NONE	OT+CHD+DY
B5-S002	OK+CHD+DY	0	NONE	NONE	OK+CHD+DY	NONE	OK+CHD+DY
B5-S003	SHED+AL | L+OL | OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	1	M4_WRITE_CONTINUATION_BRIDGE	P752:R4_TARGET_CONTINUATION_BEFORE_TRANSFER	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	NONE	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y
B6-S001	SOLK+EE+Y | K+E+Y | R+AL | AIIN | OL | AIN | L+AL+OR	0	NONE	NONE	SOLK+EE+Y | K+E+Y | R+AL | AIIN | OL | AIN | L+AL+OR	EXEMPLAR_B6-S001	SOLK+EE+Y | E+K+E+Y | R+AL+Y | OL | AIIN | OL | AIN | Y | L+AL+OR
