segment_id	source_event_id	tile_mode	segment_ordinal	start_component_ordinal	component_length	semantic_fragment	recurrent_in_other_event	donor_event_count	donor_event_ids	donor_page_count	donor_register_count	donor_surface_examples	contains_name_slot
G482-S011	P1003-E0600	MODEL_FREE_BACKOFF	3	3	1	EINSETZEN	YES	1	P1008-E1183	1	1	opcheor	NO
G482-S012	P1003-E0600	MODEL_FREE_BACKOFF	4	4	1	POSTEN	YES	39	P1003-E0414|P1003-E0597|P1003-E0605|P1008-E0128|P1008-E0131|P1008-E0136|P1008-E0140|P1008-E0172|P1008-E0174|P1008-E0175|P1008-E0176|P1008-E0236|P1008-E0239|P1008-E0241|P1008-E0242|P1008-E0245|P1008-E0249|P1008-E0282|P1008-E0286|P1008-E0351|P1008-E0360|P1008-E0361|P1008-E0365|P1008-E0412|P1008-E0413|P1008-E0414|P1008-E0417|P1008-E1038|P1008-E1090|P1008-E1175|P1008-E1178|P1008-E1179|P1008-E1180|P1008-E1229|P1008-E1232|P1008-E1296|P1008-E1298|P1008-E1299|P1008-E1411	4	2	cheocthy|chfaly|aly|chdaiirdainy|ary|otaraldy|ys|otchoshy|okeey|otainy|okaly|dy|otalshy|ainaly|olalsy|alaly|oteey|opoeey|ory|ochey|fydy|eeesaly|okchshy|ykyd|ykocfhy|yddy|odory|doly|y|korainy|cheys|cheody|otalsy	NO
G482-S013	P1003-E0642	MODEL_CONDITIONED	1	1	1	DANACH	YES	15	P1003-E0079|P1003-E0084|P1003-E0088|P1003-E0416|P1003-E0458|P1003-E0459|P1003-E0555|P1003-E0556|P1003-E0599|P1008-E0172|P1008-E0173|P1008-E0243|P1008-E1041|P1008-E1093|P1008-E1228	6	4	oteeeon|otork|dotedy|otar|otoram|otora|otydary|otdordy|otchody|otchoshy|otchdal|oteeary|otoldy|otorain|otold	NO
G482-S014	P1003-E0642	MODEL_CONDITIONED	2	2	2	ZIELORT · {N1}	YES	2	P1008-E0135|P1008-E0409	1	1	alif|oralkam	YES
G482-S015	P1003-E0642	MODEL_FREE_BACKOFF	1	1	3	DANACH · ZIELORT · {N1}	YES	1	P1008-E0139	1	1	otalef	YES
G482-S016	P1003-E0646	MODEL_CONDITIONED	1	1	2	HALTEN · FORTSETZEN	YES	2	P1008-E0364|P1008-E1231	2	2	ofsholdy|shol	NO
G482-S017	P1003-E0646	MODEL_CONDITIONED	2	3	2	HALTEN · {N1}	YES	1	P1008-E1301	1	1	okshdchos	YES
G482-S018	P1003-E0646	MODEL_FREE_BACKOFF	1	1	2	HALTEN · FORTSETZEN	YES	2	P1008-E0364|P1008-E1231	2	2	ofsholdy|shol	NO
G482-S019	P1003-E0646	MODEL_FREE_BACKOFF	2	3	2	HALTEN · {N1}	YES	1	P1008-E1301	1	1	okshdchos	YES
G482-S020	P1008-E0127	MODEL_CONDITIONED	1	1	3	{N1} · HALTEN · {N2}	YES	1	P1008-E0424	1	1	olfsheoral	YES
G482-S021	P1008-E0127	MODEL_FREE_BACKOFF	1	1	3	{N1} · HALTEN · {N2}	YES	1	P1008-E0424	1	1	olfsheoral	YES
G482-S022	P1008-E0171	MODEL_CONDITIONED	1	1	1	AUSFÜHRUNG	YES	3	P1003-E0412|P1008-E0129|P1008-E0354	2	2	o|oaiin|oto	NO
G482-S023	P1008-E0171	MODEL_CONDITIONED	2	2	1	HIER	YES	4	P1003-E0607|P1008-E0252|P1008-E0285|P1008-E1178	3	2	am|otolam|otam|yddy	NO
G482-S024	P1008-E0171	MODEL_CONDITIONED	3	3	2	AUSGANG · ZIELORT	YES	3	P1008-E0136|P1008-E0236|P1008-E0458	1	1	otaraldy|aral	NO
G482-S025	P1008-E0171	MODEL_CONDITIONED	4	5	1	AUSGANG	YES	10	P1003-E0603|P1003-E0604|P1003-E0606|P1008-E0130|P1008-E0131|P1008-E0136|P1008-E0236|P1008-E0248|P1008-E0458|P1008-E1413	3	2	otar|ar|opalar|ary|otaraldy|aral|otolarol	NO
G482-S026	P1008-E0171	MODEL_FREE_BACKOFF	1	1	2	AUSFÜHRUNG · HIER	YES	5	P1003-E0641|P1008-E0190|P1008-E0364|P1008-E0415|P1008-E1410	3	2	ofaom|ofchdamy|ofsholdy|of|ofakal	NO
G482-S027	P1008-E0171	MODEL_FREE_BACKOFF	2	3	2	AUSGANG · ZIELORT	YES	3	P1008-E0136|P1008-E0236|P1008-E0458	1	1	otaraldy|aral	NO
G482-S028	P1008-E0171	MODEL_FREE_BACKOFF	3	5	1	AUSGANG	YES	44	P1003-E0081|P1003-E0416|P1003-E0417|P1003-E0554|P1003-E0555|P1003-E0557|P1003-E0595|P1003-E0596|P1003-E0598|P1003-E0602|P1003-E0603|P1003-E0604|P1003-E0606|P1003-E0610|P1003-E0644|P1003-E0645|P1008-E0130|P1008-E0131|P1008-E0134|P1008-E0136|P1008-E0143|P1008-E0175|P1008-E0192|P1008-E0194|P1008-E0236|P1008-E0237|P1008-E0242|P1008-E0243|P1008-E0248|P1008-E0250|P1008-E0284|P1008-E0287|P1008-E0353|P1008-E0418|P1008-E0420|P1008-E0421|P1008-E0453|P1008-E0455|P1008-E0456|P1008-E0458|P1008-E1042|P1008-E1177|P1008-E1412|P1008-E1413	5	3	darchdar|otar|arody|daramdal|otydary|dararda|char|arom|okolar|okaraiin|ar|opalar|shar|ary|otaraldy|sharam|okaram|okealar|okalar|oteeary|orary|chosar|okarcham|osarsheeeo|ykaraiin|orara|yfary|ytoar|aral|ararchodaiin|sydarary|ytarem|otolarol	NO
G482-S029	P1008-E0173	MODEL_CONDITIONED	1	1	2	DANACH · {N1}	YES	10	P1003-E0079|P1003-E0084|P1003-E0458|P1003-E0459|P1003-E0555|P1003-E0556|P1003-E0599|P1008-E0172|P1008-E0243|P1008-E1093	6	4	oteeeon|otork|otoram|otora|otydary|otdordy|otchody|otchoshy|oteeary|otorain	YES
G482-S030	P1008-E0173	MODEL_CONDITIONED	2	3	1	ZIELORT	YES	17	P1003-E0087|P1003-E0554|P1003-E0597|P1003-E0609|P1003-E0642|P1008-E0135|P1008-E0280|P1008-E0286|P1008-E0360|P1008-E0409|P1008-E0410|P1008-E0417|P1008-E0419|P1008-E0452|P1008-E0454|P1008-E1176|P1008-E1410	5	3	soral|daramdal|chfaly|opalor|otalody|alif|ralal|ainaly|alaly|oralkam|ytairal|eeesaly|airal|opalal|oraiiral|saldam|ofakal	NO
G482-S031	P1008-E0173	MODEL_FREE_BACKOFF	1	1	2	DANACH · {N1}	YES	10	P1003-E0079|P1003-E0084|P1003-E0458|P1003-E0459|P1003-E0555|P1003-E0556|P1003-E0599|P1008-E0172|P1008-E0243|P1008-E1093	6	4	oteeeon|otork|otoram|otora|otydary|otdordy|otchody|otchoshy|oteeary|otorain	YES
G482-S032	P1008-E0173	MODEL_FREE_BACKOFF	2	3	1	ZIELORT	YES	47	P1003-E0087|P1003-E0413|P1003-E0554|P1003-E0597|P1003-E0600|P1003-E0605|P1003-E0606|P1003-E0609|P1003-E0642|P1003-E0643|P1008-E0132|P1008-E0133|P1008-E0135|P1008-E0136|P1008-E0139|P1008-E0171|P1008-E0194|P1008-E0236|P1008-E0237|P1008-E0238|P1008-E0239|P1008-E0240|P1008-E0247|P1008-E0249|P1008-E0279|P1008-E0280|P1008-E0282|P1008-E0283|P1008-E0286|P1008-E0350|P1008-E0351|P1008-E0357|P1008-E0360|P1008-E0409|P1008-E0410|P1008-E0417|P1008-E0419|P1008-E0420|P1008-E0424|P1008-E0452|P1008-E0454|P1008-E0458|P1008-E0459|P1008-E1176|P1008-E1182|P1008-E1410|P1008-E1411	5	3	soral|okalyd|daramdal|chfaly|alcphy|aly|opalar|opalor|otalody|otalaiin|okalam|ytalshdy|alif|otaraldy|otalef|ofaralar|okealar|okalar|okal|okaly|okeal|otal|ralal|otalshy|okaldy|ainaly|olkalaiin|olalsy|al|alaly|oralkam|ytairal|eeesaly|airal|olfsheoral|opalal|oraiiral|aral|oletal|saldam|saloiinsheol|ofakal|otalsy	NO
G482-S033	P1008-E0176	MODEL_CONDITIONED	1	1	2	DANACH · ANTEIL	YES	1	P1008-E0138	1	1	otain	NO
G482-S034	P1008-E0176	MODEL_CONDITIONED	2	3	1	POSTEN	YES	11	P1003-E0605|P1008-E0131|P1008-E0136|P1008-E0236|P1008-E0245|P1008-E0282|P1008-E0351|P1008-E0361|P1008-E0412|P1008-E1178|P1008-E1411	3	2	aly|ary|otaraldy|dy|otalshy|olalsy|oteey|ory|yddy|otalsy	NO
G482-S035	P1008-E0176	MODEL_FREE_BACKOFF	1	1	2	DANACH · ANTEIL	YES	1	P1008-E0138	1	1	otain	NO
G482-S036	P1008-E0176	MODEL_FREE_BACKOFF	2	3	1	POSTEN	YES	39	P1003-E0414|P1003-E0597|P1003-E0600|P1003-E0605|P1008-E0128|P1008-E0131|P1008-E0136|P1008-E0140|P1008-E0172|P1008-E0174|P1008-E0175|P1008-E0236|P1008-E0239|P1008-E0241|P1008-E0242|P1008-E0245|P1008-E0249|P1008-E0282|P1008-E0286|P1008-E0351|P1008-E0360|P1008-E0361|P1008-E0365|P1008-E0412|P1008-E0413|P1008-E0414|P1008-E0417|P1008-E1038|P1008-E1090|P1008-E1175|P1008-E1178|P1008-E1179|P1008-E1180|P1008-E1229|P1008-E1232|P1008-E1296|P1008-E1298|P1008-E1299|P1008-E1411	4	2	cheocthy|chfaly|alcphy|aly|chdaiirdainy|ary|otaraldy|ys|otchoshy|okeey|okaly|dy|otalshy|ainaly|olalsy|alaly|oteey|opoeey|ory|ochey|fydy|eeesaly|okchshy|ykyd|ykocfhy|yddy|odory|doly|y|korainy|cheys|cheody|otalsy	NO
G482-S037	P1008-E0191	MODEL_CONDITIONED	1	1	2	SETZEN · {N1}	YES	3	P1008-E0194|P1008-E0247|P1008-E0251	1	1	okealar|okeal|okyd	YES
G482-S038	P1008-E0191	MODEL_CONDITIONED	2	3	1	BAHN	YES	3	P1008-E0193|P1008-E0246|P1008-E0367	1	1	okairy|okaircham|ykolairol	NO
G482-S039	P1008-E0191	MODEL_CONDITIONED	3	4	1	{N2}	YES	5	P1008-E0127|P1008-E0133|P1008-E0353|P1008-E0424|P1008-E1182	2	2	oshodady|ytalshdy|osarsheeeo|olfsheoral|saloiinsheol	YES
G482-S040	P1008-E0191	MODEL_FREE_BACKOFF	1	1	2	SETZEN · {N1}	YES	3	P1008-E0194|P1008-E0247|P1008-E0251	1	1	okealar|okeal|okyd	YES
G482-S041	P1008-E0191	MODEL_FREE_BACKOFF	2	3	1	BAHN	YES	6	P1008-E0193|P1008-E0244|P1008-E0246|P1008-E0367|P1008-E0410|P1008-E0419	1	1	okairy|otair|okaircham|ykolairol|ytairal|airal	NO
G482-S042	P1008-E0191	MODEL_FREE_BACKOFF	3	4	1	{N2}	YES	14	P1003-E0081|P1003-E0088|P1003-E0554|P1003-E0557|P1008-E0127|P1008-E0133|P1008-E0243|P1008-E0353|P1008-E0424|P1008-E0453|P1008-E1176|P1008-E1177|P1008-E1182|P1008-E1412	4	3	darchdar|dotedy|daramdal|dararda|oshodady|ytalshdy|oteeary|osarsheeeo|olfsheoral|yfary|saldam|sydarary|saloiinsheol|ytarem	YES
G482-S043	P1008-E0194	MODEL_CONDITIONED	1	1	2	SETZEN · {N1}	YES	3	P1008-E0191|P1008-E0247|P1008-E0251	1	1	oklairdy|okeal|okyd	YES
G482-S044	P1008-E0194	MODEL_CONDITIONED	2	3	2	ZIELORT · AUSGANG	YES	2	P1008-E0237|P1008-E0420	1	1	okalar	NO
G482-S045	P1008-E0194	MODEL_FREE_BACKOFF	1	1	2	SETZEN · {N1}	YES	3	P1008-E0191|P1008-E0247|P1008-E0251	1	1	oklairdy|okeal|okyd	YES
G482-S046	P1008-E0194	MODEL_FREE_BACKOFF	2	3	2	ZIELORT · AUSGANG	YES	4	P1003-E0606|P1008-E0171|P1008-E0237|P1008-E0420	2	1	opalar|ofaralar|okalar	NO
G482-S047	P1008-E0243	MODEL_CONDITIONED	1	1	2	DANACH · {N1}	YES	10	P1003-E0079|P1003-E0084|P1003-E0458|P1003-E0459|P1003-E0555|P1003-E0556|P1003-E0599|P1008-E0172|P1008-E0173|P1008-E1093	6	4	oteeeon|otork|otoram|otora|otydary|otdordy|otchody|otchoshy|otchdal|otorain	YES
G482-S048	P1008-E0243	MODEL_CONDITIONED	2	3	2	AUSGANG · {N2}	YES	6	P1003-E0081|P1003-E0554|P1003-E0557|P1008-E0453|P1008-E1177|P1008-E1412	4	3	darchdar|daramdal|dararda|yfary|sydarary|ytarem	YES
G482-S049	P1008-E0243	MODEL_FREE_BACKOFF	1	1	2	DANACH · {N1}	YES	10	P1003-E0079|P1003-E0084|P1003-E0458|P1003-E0459|P1003-E0555|P1003-E0556|P1003-E0599|P1008-E0172|P1008-E0173|P1008-E1093	6	4	oteeeon|otork|otoram|otora|otydary|otdordy|otchody|otchoshy|otchdal|otorain	YES
G482-S050	P1008-E0243	MODEL_FREE_BACKOFF	2	3	2	AUSGANG · {N2}	YES	6	P1003-E0081|P1003-E0554|P1003-E0557|P1008-E0453|P1008-E1177|P1008-E1412	4	3	darchdar|daramdal|dararda|yfary|sydarary|ytarem	YES
G482-S051	P1008-E0247	MODEL_CONDITIONED	1	1	3	SETZEN · {N1} · ZIELORT	YES	1	P1008-E0194	1	1	okealar	YES
G482-S052	P1008-E0247	MODEL_FREE_BACKOFF	1	1	3	SETZEN · {N1} · ZIELORT	YES	1	P1008-E0194	1	1	okealar	YES
G482-S053	P1008-E0251	MODEL_CONDITIONED	1	1	2	SETZEN · {N1}	YES	3	P1008-E0191|P1008-E0194|P1008-E0247	1	1	oklairdy|okealar|okeal	YES
G482-S054	P1008-E0251	MODEL_FREE_BACKOFF	1	1	2	SETZEN · {N1}	YES	3	P1008-E0191|P1008-E0194|P1008-E0247	1	1	oklairdy|okealar|okeal	YES
G482-S055	P1008-E0252	MODEL_CONDITIONED	1	1	2	DANACH · FORTSETZEN	YES	3	P1003-E0085|P1003-E0411|P1008-E1413	2	2	otol|otolaiin|otolarol	NO
G482-S056	P1008-E0252	MODEL_CONDITIONED	2	3	1	HIER	YES	4	P1003-E0607|P1008-E0171|P1008-E0285|P1008-E1178	3	2	am|ofaralar|otam|yddy	NO
G482-S057	P1008-E0252	MODEL_FREE_BACKOFF	1	1	2	DANACH · FORTSETZEN	YES	5	P1003-E0085|P1003-E0411|P1008-E1041|P1008-E1228|P1008-E1413	2	2	otol|otolaiin|otoldy|otold|otolarol	NO
G482-S058	P1008-E0252	MODEL_FREE_BACKOFF	2	3	1	HIER	YES	26	P1003-E0458|P1003-E0555|P1003-E0607|P1003-E0641|P1008-E0132|P1008-E0141|P1008-E0143|P1008-E0171|P1008-E0190|P1008-E0192|P1008-E0246|P1008-E0281|P1008-E0285|P1008-E0287|P1008-E0352|P1008-E0364|P1008-E0409|P1008-E0415|P1008-E1040|P1008-E1090|P1008-E1175|P1008-E1176|P1008-E1177|P1008-E1178|P1008-E1181|P1008-E1410	4	2	otoram|otydary|am|ofaom|okalam|ainam|sharam|ofaralar|ofchdamy|okaram|okaircham|okam|otam|okarcham|oraiinam|ofsholdy|oralkam|of|oldam|ykyd|ykocfhy|saldam|sydarary|yddy|opchosam|ofakal	NO
G482-S059	P1008-E0352	MODEL_CONDITIONED	1	1	2	EINHEIT · {N1}	YES	1	P1008-E0454	1	1	oraiiral	YES
G482-S060	P1008-E0352	MODEL_CONDITIONED	2	3	1	HIER	YES	10	P1003-E0458|P1003-E0555|P1003-E0641|P1008-E0190|P1008-E0409|P1008-E0415|P1008-E1176|P1008-E1177|P1008-E1181|P1008-E1410	4	2	otoram|otydary|ofaom|ofchdamy|oralkam|of|saldam|sydarary|opchosam|ofakal	NO
G482-S061	P1008-E0352	MODEL_FREE_BACKOFF	1	1	2	EINHEIT · {N1}	YES	1	P1008-E0454	1	1	oraiiral	YES
G482-S062	P1008-E0352	MODEL_FREE_BACKOFF	2	3	1	HIER	YES	26	P1003-E0458|P1003-E0555|P1003-E0607|P1003-E0641|P1008-E0132|P1008-E0141|P1008-E0143|P1008-E0171|P1008-E0190|P1008-E0192|P1008-E0246|P1008-E0252|P1008-E0281|P1008-E0285|P1008-E0287|P1008-E0364|P1008-E0409|P1008-E0415|P1008-E1040|P1008-E1090|P1008-E1175|P1008-E1176|P1008-E1177|P1008-E1178|P1008-E1181|P1008-E1410	4	2	otoram|otydary|am|ofaom|okalam|ainam|sharam|ofaralar|ofchdamy|okaram|okaircham|otolam|okam|otam|okarcham|ofsholdy|oralkam|of|oldam|ykyd|ykocfhy|saldam|sydarary|yddy|opchosam|ofakal	NO
G482-S063	P1008-E0364	MODEL_CONDITIONED	1	1	1	AUSFÜHRUNG	YES	6	P1008-E0142|P1008-E0356|P1008-E0413|P1008-E1183|P1008-E1297|P1008-E1299	2	2	ochol|opoiiinoin|ochey|opcheor|sodar|cheody	NO
G482-S064	P1008-E0364	MODEL_CONDITIONED	2	2	1	HIER	YES	10	P1008-E0132|P1008-E0141|P1008-E0143|P1008-E0192|P1008-E0246|P1008-E0281|P1008-E0287|P1008-E1040|P1008-E1090|P1008-E1175	2	2	okalam|ainam|sharam|okaram|okaircham|okam|okarcham|oldam|ykyd|ykocfhy	NO
G482-S065	P1008-E0364	MODEL_CONDITIONED	3	3	2	HALTEN · FORTSETZEN	YES	2	P1003-E0646|P1008-E1231	2	2	sholshdy|shol	NO
G482-S066	P1008-E0364	MODEL_CONDITIONED	4	5	1	{N1}	YES	26	P1003-E0413|P1003-E0414|P1003-E0646|P1008-E0127|P1008-E0133|P1008-E0139|P1008-E0191|P1008-E0193|P1008-E0194|P1008-E0246|P1008-E0247|P1008-E0251|P1008-E0287|P1008-E0350|P1008-E0353|P1008-E0356|P1008-E0365|P1008-E0367|P1008-E0414|P1008-E0424|P1008-E0457|P1008-E1039|P1008-E1040|P1008-E1175|P1008-E1182|P1008-E1301	4	2	okalyd|cheocthy|sholshdy|oshodady|ytalshdy|otalef|oklairdy|okairy|okealar|okaircham|okeal|okyd|okarcham|olkalaiin|osarsheeeo|opoiiinoin|opoeey|ykolairol|fydy|olfsheoral|octho|qkol|oldam|ykocfhy|saloiinsheol|okshdchos	YES
G482-S067	P1008-E0364	MODEL_FREE_BACKOFF	1	1	2	AUSFÜHRUNG · HIER	YES	5	P1003-E0641|P1008-E0171|P1008-E0190|P1008-E0415|P1008-E1410	3	2	ofaom|ofaralar|ofchdamy|of|ofakal	NO
G482-S068	P1008-E0364	MODEL_FREE_BACKOFF	2	3	2	HALTEN · FORTSETZEN	YES	2	P1003-E0646|P1008-E1231	2	2	sholshdy|shol	NO
G482-S069	P1008-E0364	MODEL_FREE_BACKOFF	3	5	1	{N1}	YES	88	P1003-E0079|P1003-E0080|P1003-E0081|P1003-E0082|P1003-E0084|P1003-E0087|P1003-E0088|P1003-E0413|P1003-E0414|P1003-E0415|P1003-E0417|P1003-E0458|P1003-E0459|P1003-E0460|P1003-E0554|P1003-E0555|P1003-E0556|P1003-E0557|P1003-E0596|P1003-E0597|P1003-E0599|P1003-E0606|P1003-E0609|P1003-E0641|P1003-E0642|P1003-E0646|P1008-E0127|P1008-E0128|P1008-E0133|P1008-E0135|P1008-E0139|P1008-E0172|P1008-E0173|P1008-E0190|P1008-E0191|P1008-E0193|P1008-E0194|P1008-E0243|P1008-E0246|P1008-E0247|P1008-E0250|P1008-E0251|P1008-E0280|P1008-E0284|P1008-E0286|P1008-E0287|P1008-E0350|P1008-E0352|P1008-E0353|P1008-E0356|P1008-E0359|P1008-E0363|P1008-E0365|P1008-E0367|P1008-E0409|P1008-E0410|P1008-E0411|P1008-E0414|P1008-E0417|P1008-E0418|P1008-E0421|P1008-E0423|P1008-E0424|P1008-E0452|P1008-E0453|P1008-E0454|P1008-E0455|P1008-E0457|P1008-E0459|P1008-E1039|P1008-E1040|P1008-E1041|P1008-E1042|P1008-E1093|P1008-E1175|P1008-E1176|P1008-E1177|P1008-E1179|P1008-E1180|P1008-E1181|P1008-E1182|P1008-E1228|P1008-E1233|P1008-E1300|P1008-E1301|P1008-E1409|P1008-E1410|P1008-E1412	6	4	oteeeon|oiil|darchdar|olkchs|otork|soral|dotedy|okalyd|cheocthy|cpheor|arody|otoram|otora|cheosdy|daramdal|otydary|otdordy|dararda|arom|chfaly|otchody|opalar|opalor|ofaom|otalody|sholshdy|oshodady|chdaiirdainy|ytalshdy|alif|otalef|otchoshy|otchdal|ofchdamy|oklairdy|okairy|okealar|oteeary|okaircham|okeal|orary|okyd|ralal|chosar|ainaly|okarcham|olkalaiin|oraiinam|osarsheeeo|opoiiinoin|ypaiin|oeeodaiin|opoeey|ykolairol|oralkam|ytairal|oeeesaiin|fydy|eeesaly|ykaraiin|orara|olay|olfsheoral|opalal|yfary|oraiiral|ytoar|octho|oletal|qkol|oldam|otoldy|ararchodaiin|otorain|ykocfhy|saldam|sydarary|odory|doly|opchosam|saloiinsheol|otold|opchoroiin|oporain|okshdchos|yorain|ofakal|ytarem	YES
G482-S070	P1008-E0409	MODEL_CONDITIONED	1	1	1	EINHEIT	YES	7	P1003-E0415|P1003-E0609|P1008-E0250|P1008-E0352|P1008-E0421|P1008-E0454|P1008-E1179	4	2	cpheor|opalor|orary|oraiinam|orara|oraiiral|odory	NO
G482-S071	P1008-E0409	MODEL_CONDITIONED	2	2	2	ZIELORT · {N1}	YES	2	P1003-E0642|P1008-E0135	2	1	otalody|alif	YES
G482-S072	P1008-E0409	MODEL_CONDITIONED	3	4	1	HIER	YES	10	P1003-E0458|P1003-E0555|P1003-E0641|P1008-E0190|P1008-E0352|P1008-E0415|P1008-E1176|P1008-E1177|P1008-E1181|P1008-E1410	4	2	otoram|otydary|ofaom|ofchdamy|oraiinam|of|saldam|sydarary|opchosam|ofakal	NO
G482-S073	P1008-E0409	MODEL_FREE_BACKOFF	1	1	1	EINHEIT	YES	10	P1003-E0415|P1003-E0609|P1008-E0250|P1008-E0352|P1008-E0412|P1008-E0421|P1008-E0454|P1008-E1179|P1008-E1183|P1008-E1296	4	2	cpheor|opalor|orary|oraiinam|ory|orara|oraiiral|odory|opcheor|korainy	NO
G482-S074	P1008-E0409	MODEL_FREE_BACKOFF	2	2	2	ZIELORT · {N1}	YES	4	P1003-E0413|P1003-E0642|P1008-E0135|P1008-E0139	3	2	okalyd|otalody|alif|otalef	YES
