sequence_id	source_event_id	record_id	bundle_id	physical_page	register	active_model	surface	working_recipe	literal_working_reading_de	normalized_literal_de	token_count	semantic_tokens	semantic_separators	is_gdt481_single_event_residual	definitive_event_reading_de
G482-E011	P1003-E0603	G475-R009	G474-B009	f71v	CELESTIAL	COORDINATE	otar	OT+AR	DANACH · AUSGANG	DANACH · AUSGANG	2	DANACH|AUSGANG	DOT	NO	Adressspur: danach → Ausgangsposition. Reihenfolge konkret: OT — danach Ausgang.
G482-E012	P1003-E0604	G475-R009	G474-B009	f71v	CELESTIAL	COORDINATE	ar	AR	AUSGANG	AUSGANG	1	AUSGANG	NONE	NO	Adressspur: Ausgangsposition.
G482-E013	P1003-E0605	G475-R009	G474-B009	f71v	CELESTIAL	COORDINATE	aly	AL+Y	ZIELORT · POSTEN	ZIELORT · POSTEN	2	ZIELORT|POSTEN	DOT	NO	Adressspur: Zielposition → Positionsposten.
G482-E014	P1003-E0606	G475-R010	G474-B010	f71v	CELESTIAL	COORDINATE	opalar	AL+AR	[STERNSTELLENNAME:op] · ZIELORT · AUSGANG	{N1} · ZIELORT · AUSGANG	3	{N1}|ZIELORT|AUSGANG	DOT|DOT	NO	Adressspur: Sternstelle »op« → Zielposition → Ausgangsposition.
G482-E015	P1003-E0607	G475-R010	G474-B010	f71v	CELESTIAL	COORDINATE	am	AM_ADDR	HIER	HIER	1	HIER	NONE	NO	Adressspur: hier.
G482-E016	P1003-E0608	G475-R010	G474-B010	f71v	CELESTIAL	COORDINATE	dan	AIN	ANTEIL	ANTEIL	1	ANTEIL	NONE	NO	Adressspur: Sektoranteil.
G482-E017	P1003-E0609	G475-R011	G474-B011	f71v	CELESTIAL	CATALOGUE	opalor	AL+OR	[STERNSTELLENNAME:op] · ZIELORT · EINHEIT	{N1} · ZIELORT · EINHEIT	3	{N1}|ZIELORT|EINHEIT	DOT|DOT	NO	Sternstelle »op« — Zielzuordnung, Einheitsangabe.
G482-E018	P1003-E0610	G475-R011	G474-B011	f71v	CELESTIAL	CATALOGUE	ar	AR	AUSGANG	AUSGANG	1	AUSGANG	NONE	NO	Eintrag »ar« — Ausgangszuordnung.
G482-E019	P1003-E0641	G475-R012	G474-B012	f71v	CELESTIAL	CATALOGUE	ofaom	O+LOCAL_CHAR_F	AUSFÜHRUNG · HIER · [STERNSTELLENNAME:aom]	AUSFÜHRUNG · HIER · {N1}	3	AUSFÜHRUNG|HIER|{N1}	DOT|DOT	NO	Sternstelle »aom« — Ausführungsvermerk, Hier-Vermerk.
G482-E020	P1003-E0642	G475-R013	G474-B013	f71v	CELESTIAL	CATALOGUE	otalody	OT+AL	DANACH · ZIELORT · [STERNSTELLENNAME:ody]	DANACH · ZIELORT · {N1}	3	DANACH|ZIELORT|{N1}	DOT|DOT	YES	Sternstelle »ody« — Folgevermerk, Zielzuordnung. Reihenfolge konkret: OT — danach Zielort.
G482-E021	P1003-E0643	G475-R014	G474-B014	f71v	CELESTIAL	COORDINATE	otalaiin	OT+AL+AIIN	DANACH · ZIELORT · WERT	DANACH · ZIELORT · WERT	3	DANACH|ZIELORT|WERT	DOT|DOT	NO	Adressspur: danach → Zielposition → Positionswert. Reihenfolge konkret: OT — danach Zielort.
G482-E022	P1003-E0644	G475-R015	G474-B015	f71v	CELESTIAL	INSTRUCTION	otar	OT+AR	DANACH · AUSGANG	DANACH · AUSGANG	2	DANACH|AUSGANG	DOT	NO	Danach beziehe den Eintrag von der Ausgangsposition. Reihenfolge konkret: OT — danach Ausgang.
G482-E023	P1003-E0645	G475-R015	G474-B015	f71v	CELESTIAL	INSTRUCTION	shar	SH+AR	HALTEN · AUSGANG	HALTEN · AUSGANG	2	HALTEN|AUSGANG	DOT	NO	Halte den Eintrag von der Ausgangsposition.
G482-E024	P1003-E0646	G475-R016	G474-B016	f71v	CELESTIAL	INSTRUCTION	sholshdy	SH+OL+SH	HALTEN · FORTSETZEN · HALTEN · [STERNSTELLENNAME:dy]	HALTEN · FORTSETZEN · HALTEN · {N1}	4	HALTEN|FORTSETZEN|HALTEN|{N1}	DOT|DOT|DOT	YES	Weiter halte den Sternstelleneintrag »dy« und halte den Sternstelleneintrag »dy«. Reihenfolge konkret: OL — Halten in Halten weiterführen.
G482-E025	P1008-E0127	G475-R017	G474-B017	f72r	CELESTIAL	INSTRUCTION	oshodady	SH	[STERNSTELLENNAME:o] · HALTEN · [STERNSTELLENNAME:odady]	{N1} · HALTEN · {N2}	3	{N1}|HALTEN|{N2}	DOT|DOT	YES	Halte den Sternstelleneintrag »o« und den Sternstelleneintrag »odady«.
G482-E026	P1008-E0128	G475-R018	G474-B018	f72r	CELESTIAL	CATALOGUE	chdaiirdainy	AIN+Y	[STERNSTELLENNAME:chdaiird] · ANTEIL · POSTEN	{N1} · ANTEIL · POSTEN	3	{N1}|ANTEIL|POSTEN	DOT|DOT	NO	Sternstelle »chdaiird« — Anteilsangabe, Postenangabe.
G482-E027	P1008-E0129	G475-R019	G474-B019	f72r	CELESTIAL	COORDINATE	oaiin	O+AIIN	AUSFÜHRUNG · WERT	AUSFÜHRUNG · WERT	2	AUSFÜHRUNG|WERT	DOT	NO	Adressspur: Ausführungspunkt → Positionswert.
G482-E028	P1008-E0130	G475-R019	G474-B019	f72r	CELESTIAL	COORDINATE	ar	AR	AUSGANG	AUSGANG	1	AUSGANG	NONE	NO	Adressspur: Ausgangsposition.
G482-E029	P1008-E0131	G475-R019	G474-B019	f72r	CELESTIAL	COORDINATE	ary	AR+Y	AUSGANG · POSTEN	AUSGANG · POSTEN	2	AUSGANG|POSTEN	DOT	NO	Adressspur: Ausgangsposition → Positionsposten.
G482-E030	P1008-E0132	G475-R020	G474-B020	f72r	CELESTIAL	INSTRUCTION	okalam	OK+AL+AM_ADDR	SETZEN · ZIELORT · HIER	SETZEN · ZIELORT · HIER	3	SETZEN|ZIELORT|HIER	DOT|DOT	NO	Setze den Eintrag zur Zielposition an der bezeichneten Stelle.
G482-E031	P1008-E0133	G475-R021	G474-B021	f72r	CELESTIAL	INSTRUCTION	ytalshdy	AL+SH	[STERNSTELLENNAME:yt] · ZIELORT · HALTEN · [STERNSTELLENNAME:dy]	{N1} · ZIELORT · HALTEN · {N2}	4	{N1}|ZIELORT|HALTEN|{N2}	DOT|DOT|DOT	NO	Halte den Sternstelleneintrag »yt« und den Sternstelleneintrag »dy« zur Zielposition.
G482-E032	P1008-E0134	G475-R022	G474-B022	f72r	CELESTIAL	CATALOGUE	char	AR	AUSGANG	AUSGANG	1	AUSGANG	NONE	NO	Eintrag »char« — Ausgangszuordnung.
G482-E033	P1008-E0135	G475-R022	G474-B022	f72r	CELESTIAL	CATALOGUE	alif	AL	ZIELORT · [STERNSTELLENNAME:if]	ZIELORT · {N1}	2	ZIELORT|{N1}	DOT	NO	Sternstelle »if« — Zielzuordnung.
G482-E034	P1008-E0136	G475-R023	G474-B023	f72r	CELESTIAL	COORDINATE	otaraldy	OT+AR+AL+Y	DANACH · AUSGANG · ZIELORT · POSTEN	DANACH · AUSGANG · ZIELORT · POSTEN	4	DANACH|AUSGANG|ZIELORT|POSTEN	DOT|DOT|DOT	NO	Adressspur: danach → Ausgangsposition → Zielposition → Positionsposten. Reihenfolge konkret: OT — danach Ausgang.
G482-E035	P1008-E0137	G475-R024	G474-B024	f72r	CELESTIAL	COORDINATE	otaiin	OT+AIIN	DANACH · WERT	DANACH · WERT	2	DANACH|WERT	DOT	NO	Adressspur: danach → Positionswert. Reihenfolge konkret: OT — danach Wert.
G482-E036	P1008-E0138	G475-R024	G474-B024	f72r	CELESTIAL	COORDINATE	otain	OT+AIN	DANACH · ANTEIL	DANACH · ANTEIL	2	DANACH|ANTEIL	DOT	NO	Adressspur: danach → Sektoranteil. Reihenfolge konkret: OT — danach Anteil.
G482-E037	P1008-E0139	G475-R025	G474-B025	f72r	CELESTIAL	INSTRUCTION	otalef	OT+AL	DANACH · ZIELORT · [STERNSTELLENNAME:ef]	DANACH · ZIELORT · {N1}	3	DANACH|ZIELORT|{N1}	DOT|DOT	NO	Danach beziehe den Sternstelleneintrag »ef« zur Zielposition. Reihenfolge konkret: OT — danach Zielort.
G482-E038	P1008-E0140	G475-R025	G474-B025	f72r	CELESTIAL	INSTRUCTION	ys	Y+S	POSTEN · WÄHLEN	POSTEN · WÄHLEN	2	POSTEN|WÄHLEN	DOT	NO	Wähle den Positionsposten.
G482-E039	P1008-E0141	G475-R025	G474-B025	f72r	CELESTIAL	INSTRUCTION	ainam	AIN+AM_ADDR	ANTEIL · HIER	ANTEIL · HIER	2	ANTEIL|HIER	DOT	NO	Im selben Gang wähle den Sektoranteil an der bezeichneten Stelle.
G482-E040	P1008-E0142	G475-R026	G474-B026	f72r	CELESTIAL	INSTRUCTION	ochol	O+OL	AUSFÜHRUNG · FORTSETZEN	AUSFÜHRUNG · FORTSETZEN	2	AUSFÜHRUNG|FORTSETZEN	DOT	NO	Weiter beziehe den Eintrag, als Ausführung. Reihenfolge konkret: OL — Ausführung weiterführen.
G482-E041	P1008-E0143	G475-R026	G474-B026	f72r	CELESTIAL	INSTRUCTION	sharam	SH+AR+AM_ADDR	HALTEN · AUSGANG · HIER	HALTEN · AUSGANG · HIER	3	HALTEN|AUSGANG|HIER	DOT|DOT	NO	Halte den Eintrag von der Ausgangsposition an der bezeichneten Stelle.
G482-E042	P1008-E0171	G475-R027	G474-B027	f72r	CELESTIAL	COORDINATE	ofaralar	O+LOCAL_CHAR_F+AR+AL+AR	AUSFÜHRUNG · HIER · AUSGANG · ZIELORT · AUSGANG	AUSFÜHRUNG · HIER · AUSGANG · ZIELORT · AUSGANG	5	AUSFÜHRUNG|HIER|AUSGANG|ZIELORT|AUSGANG	DOT|DOT|DOT|DOT	YES	Adressspur: Ausführungspunkt → hier → Ausgangsposition → Zielposition → Ausgangsposition.
G482-E043	P1008-E0172	G475-R028	G474-B028	f72r	CELESTIAL	CATALOGUE	otchoshy	OT+Y	DANACH · [STERNSTELLENNAME:cho] · POSTEN	DANACH · {N1} · POSTEN	3	DANACH|{N1}|POSTEN	DOT|DOT	NO	Sternstelle »cho« — Folgevermerk, Postenangabe. Reihenfolge konkret: OT — danach Sternstelle »cho«.
G482-E044	P1008-E0173	G475-R029	G474-B029	f72r	CELESTIAL	CATALOGUE	otchdal	OT+AL	DANACH · [STERNSTELLENNAME:ch] · ZIELORT	DANACH · {N1} · ZIELORT	3	DANACH|{N1}|ZIELORT	DOT|DOT	YES	Sternstelle »ch« — Folgevermerk, Zielzuordnung. Reihenfolge konkret: OT — danach Sternstelle »ch«.
G482-E045	P1008-E0174	G475-R030	G474-B030	f72r	CELESTIAL	INSTRUCTION	okeey	OK+EE+Y	SETZEN · GRAD II · POSTEN	SETZEN · GRAD II · POSTEN	3	SETZEN|GRAD II|POSTEN	DOT|DOT	NO	Setze den Positionsposten, auf Grad II.
G482-E046	P1008-E0175	G475-R030	G474-B030	f72r	CELESTIAL	INSTRUCTION	ary	AR+Y	AUSGANG · POSTEN	AUSGANG · POSTEN	2	AUSGANG|POSTEN	DOT	NO	Im selben Gang setze den Positionsposten von der Ausgangsposition.
G482-E047	P1008-E0176	G475-R031	G474-B031	f72r	CELESTIAL	COORDINATE	otainy	OT+AIN+Y	DANACH · ANTEIL · POSTEN	DANACH · ANTEIL · POSTEN	3	DANACH|ANTEIL|POSTEN	DOT|DOT	YES	Adressspur: danach → Sektoranteil → Positionsposten. Reihenfolge konkret: OT — danach Anteil.
G482-E048	P1008-E0190	G475-R032	G474-B032	f72r	CELESTIAL	CATALOGUE	ofchdamy	O+LOCAL_CHAR_F	AUSFÜHRUNG · HIER · [STERNSTELLENNAME:chdamy]	AUSFÜHRUNG · HIER · {N1}	3	AUSFÜHRUNG|HIER|{N1}	DOT|DOT	NO	Sternstelle »chdamy« — Ausführungsvermerk, Hier-Vermerk.
G482-E049	P1008-E0191	G475-R033	G474-B033	f72r	CELESTIAL	INSTRUCTION	oklairdy	OK+AIR	SETZEN · [STERNSTELLENNAME:l] · BAHN · [STERNSTELLENNAME:dy]	SETZEN · {N1} · BAHN · {N2}	4	SETZEN|{N1}|BAHN|{N2}	DOT|DOT|DOT	YES	Setze den Sternstelleneintrag »l« und den Sternstelleneintrag »dy« entlang der Ringbahn.
G482-E050	P1008-E0192	G475-R034	G474-B034	f72r	CELESTIAL	INSTRUCTION	okaram	OK+AR+AM_ADDR	SETZEN · AUSGANG · HIER	SETZEN · AUSGANG · HIER	3	SETZEN|AUSGANG|HIER	DOT|DOT	NO	Setze den Eintrag von der Ausgangsposition an der bezeichneten Stelle.
G482-E051	P1008-E0193	G475-R035	G474-B035	f72r	CELESTIAL	INSTRUCTION	okairy	OK+AIR	SETZEN · BAHN · [STERNSTELLENNAME:y]	SETZEN · BAHN · {N1}	3	SETZEN|BAHN|{N1}	DOT|DOT	NO	Setze den Sternstelleneintrag »y« entlang der Ringbahn.
G482-E052	P1008-E0194	G475-R036	G474-B036	f72r	CELESTIAL	INSTRUCTION	okealar	OK+AL+AR	SETZEN · [STERNSTELLENNAME:e] · ZIELORT · AUSGANG	SETZEN · {N1} · ZIELORT · AUSGANG	4	SETZEN|{N1}|ZIELORT|AUSGANG	DOT|DOT|DOT	YES	Setze den Sternstelleneintrag »e« zur Zielposition und von der Ausgangsposition.
G482-E053	P1008-E0236	G475-R037	G474-B037	f72r	CELESTIAL	COORDINATE	otaraldy	OT+AR+AL+Y	DANACH · AUSGANG · ZIELORT · POSTEN	DANACH · AUSGANG · ZIELORT · POSTEN	4	DANACH|AUSGANG|ZIELORT|POSTEN	DOT|DOT|DOT	NO	Adressspur: danach → Ausgangsposition → Zielposition → Positionsposten. Reihenfolge konkret: OT — danach Ausgang.
G482-E054	P1008-E0237	G475-R038	G474-B038	f72r	CELESTIAL	INSTRUCTION	okalar	OK+AL+AR	SETZEN · ZIELORT · AUSGANG	SETZEN · ZIELORT · AUSGANG	3	SETZEN|ZIELORT|AUSGANG	DOT|DOT	NO	Setze den Eintrag zur Zielposition und von der Ausgangsposition.
G482-E055	P1008-E0238	G475-R039	G474-B039	f72r	CELESTIAL	INSTRUCTION	okal	OK+AL	SETZEN · ZIELORT	SETZEN · ZIELORT	2	SETZEN|ZIELORT	DOT	NO	Setze den Eintrag zur Zielposition.
G482-E056	P1008-E0239	G475-R040	G474-B040	f72r	CELESTIAL	INSTRUCTION	okaly	OK+AL+Y	SETZEN · ZIELORT · POSTEN	SETZEN · ZIELORT · POSTEN	3	SETZEN|ZIELORT|POSTEN	DOT|DOT	NO	Setze den Positionsposten zur Zielposition.
G482-E057	P1008-E0240	G475-R041	G474-B041	f72r	CELESTIAL	INSTRUCTION	okal	OK+AL	SETZEN · ZIELORT	SETZEN · ZIELORT	2	SETZEN|ZIELORT	DOT	NO	Setze den Eintrag zur Zielposition.
G482-E058	P1008-E0241	G475-R042	G474-B042	f72r	CELESTIAL	INSTRUCTION	okeey	OK+EE+Y	SETZEN · GRAD II · POSTEN	SETZEN · GRAD II · POSTEN	3	SETZEN|GRAD II|POSTEN	DOT|DOT	NO	Setze den Positionsposten, auf Grad II.
G482-E059	P1008-E0242	G475-R042	G474-B042	f72r	CELESTIAL	INSTRUCTION	ary	AR+Y	AUSGANG · POSTEN	AUSGANG · POSTEN	2	AUSGANG|POSTEN	DOT	NO	Im selben Gang setze den Positionsposten von der Ausgangsposition.
G482-E060	P1008-E0243	G475-R043	G474-B043	f72r	CELESTIAL	CATALOGUE	oteeary	OT+AR	DANACH · [STERNSTELLENNAME:ee] · AUSGANG · [STERNSTELLENNAME:y]	DANACH · {N1} · AUSGANG · {N2}	4	DANACH|{N1}|AUSGANG|{N2}	DOT|DOT|DOT	YES	Sternstelle »ee« / Sternstelle »y« — Folgevermerk, Ausgangszuordnung. Reihenfolge konkret: OT — danach Sternstelle »ee«.
G482-E061	P1008-E0244	G475-R044	G474-B044	f72r	CELESTIAL	COORDINATE	otair	OT+AIR	DANACH · BAHN	DANACH · BAHN	2	DANACH|BAHN	DOT	NO	Adressspur: danach → Ringbahn. Reihenfolge konkret: OT — danach Bahn.
G482-E062	P1008-E0245	G475-R044	G474-B044	f72r	CELESTIAL	COORDINATE	dy	Y	POSTEN	POSTEN	1	POSTEN	NONE	NO	Adressspur: Positionsposten.
G482-E063	P1008-E0246	G475-R045	G474-B045	f72r	CELESTIAL	INSTRUCTION	okaircham	OK+AIR+AM_ADDR	SETZEN · BAHN · [STERNSTELLENNAME:ch] · HIER	SETZEN · BAHN · {N1} · HIER	4	SETZEN|BAHN|{N1}|HIER	DOT|DOT|DOT	NO	Setze den Sternstelleneintrag »ch« entlang der Ringbahn an der bezeichneten Stelle.
G482-E064	P1008-E0247	G475-R046	G474-B046	f72r	CELESTIAL	INSTRUCTION	okeal	OK+AL	SETZEN · [STERNSTELLENNAME:e] · ZIELORT	SETZEN · {N1} · ZIELORT	3	SETZEN|{N1}|ZIELORT	DOT|DOT	YES	Setze den Sternstelleneintrag »e« zur Zielposition.
G482-E065	P1008-E0248	G475-R047	G474-B047	f72r	CELESTIAL	COORDINATE	otar	OT+AR	DANACH · AUSGANG	DANACH · AUSGANG	2	DANACH|AUSGANG	DOT	NO	Adressspur: danach → Ausgangsposition. Reihenfolge konkret: OT — danach Ausgang.
G482-E066	P1008-E0249	G475-R048	G474-B048	f72r	CELESTIAL	INSTRUCTION	okaly	OK+AL+Y	SETZEN · ZIELORT · POSTEN	SETZEN · ZIELORT · POSTEN	3	SETZEN|ZIELORT|POSTEN	DOT|DOT	NO	Setze den Positionsposten zur Zielposition.
G482-E067	P1008-E0250	G475-R049	G474-B049	f72r	CELESTIAL	CATALOGUE	orary	OR+AR	EINHEIT · AUSGANG · [STERNSTELLENNAME:y]	EINHEIT · AUSGANG · {N1}	3	EINHEIT|AUSGANG|{N1}	DOT|DOT	NO	Sternstelle »y« — Einheitsangabe, Ausgangszuordnung.
G482-E068	P1008-E0251	G475-R050	G474-B050	f72r	CELESTIAL	INSTRUCTION	okyd	OK	SETZEN · [STERNSTELLENNAME:yd]	SETZEN · {N1}	2	SETZEN|{N1}	DOT	YES	Setze den Sternstelleneintrag »yd«.
G482-E069	P1008-E0252	G475-R051	G474-B051	f72r	CELESTIAL	COORDINATE	otolam	OT+OL+AM_ADDR	DANACH · FORTSETZEN · HIER	DANACH · FORTSETZEN · HIER	3	DANACH|FORTSETZEN|HIER	DOT|DOT	YES	Adressspur: danach → weiter → hier. Reihenfolge konkret: OT — danach Fortsetzung; OL — Folgeschritt in bezeichnete Stelle weiterführen.
G482-E070	P1008-E0279	G475-R052	G474-B052	f72r	CELESTIAL	COORDINATE	otal	OT+AL	DANACH · ZIELORT	DANACH · ZIELORT	2	DANACH|ZIELORT	DOT	NO	Adressspur: danach → Zielposition. Reihenfolge konkret: OT — danach Zielort.
G482-E071	P1008-E0280	G475-R053	G474-B053	f72r	CELESTIAL	CATALOGUE	ralal	AL+AL	[STERNSTELLENNAME:r] · ZIELORT · ZIELORT	{N1} · ZIELORT · ZIELORT	3	{N1}|ZIELORT|ZIELORT	DOT|DOT	NO	Sternstelle »r« — Zielzuordnung, Zielzuordnung.
G482-E072	P1008-E0281	G475-R054	G474-B054	f72r	CELESTIAL	INSTRUCTION	okam	OK+AM_ADDR	SETZEN · HIER	SETZEN · HIER	2	SETZEN|HIER	DOT	NO	Setze den Eintrag an der bezeichneten Stelle.
G482-E073	P1008-E0282	G475-R055	G474-B055	f72r	CELESTIAL	COORDINATE	otalshy	OT+AL+Y	DANACH · ZIELORT · POSTEN	DANACH · ZIELORT · POSTEN	3	DANACH|ZIELORT|POSTEN	DOT|DOT	NO	Adressspur: danach → Zielposition → Positionsposten. Reihenfolge konkret: OT — danach Zielort.
G482-E074	P1008-E0283	G475-R056	G474-B056	f72r	CELESTIAL	INSTRUCTION	okaldy	OK+AL+DY	SETZEN · ZIELORT · SCHLUSS	SETZEN · ZIELORT · SCHLUSS	3	SETZEN|ZIELORT|SCHLUSS	DOT|DOT	NO	Setze den Eintrag zur Zielposition, und schließe den Schritt.
G482-E075	P1008-E0284	G475-R057	G474-B057	f72r	CELESTIAL	CATALOGUE	chosar	AR	[STERNSTELLENNAME:chos] · AUSGANG	{N1} · AUSGANG	2	{N1}|AUSGANG	DOT	NO	Sternstelle »chos« — Ausgangszuordnung.
G482-E076	P1008-E0285	G475-R058	G474-B058	f72r	CELESTIAL	COORDINATE	otam	OT+AM_ADDR	DANACH · HIER	DANACH · HIER	2	DANACH|HIER	DOT	NO	Adressspur: danach → hier. Reihenfolge konkret: OT — danach bezeichnete Stelle.
G482-E077	P1008-E0286	G475-R059	G474-B059	f72r	CELESTIAL	CATALOGUE	ainaly	AL+Y	[STERNSTELLENNAME:ain] · ZIELORT · POSTEN	{N1} · ZIELORT · POSTEN	3	{N1}|ZIELORT|POSTEN	DOT|DOT	NO	Sternstelle »ain« — Zielzuordnung, Postenangabe.
G482-E078	P1008-E0287	G475-R060	G474-B060	f72r	CELESTIAL	INSTRUCTION	okarcham	OK+AR+AM_ADDR	SETZEN · AUSGANG · [STERNSTELLENNAME:ch] · HIER	SETZEN · AUSGANG · {N1} · HIER	4	SETZEN|AUSGANG|{N1}|HIER	DOT|DOT|DOT	NO	Setze den Sternstelleneintrag »ch« von der Ausgangsposition an der bezeichneten Stelle.
G482-E079	P1008-E0350	G475-R060	G474-B061	f72r	CELESTIAL	INSTRUCTION	olkalaiin	OL+AL+AIIN	FORTSETZEN · [STERNSTELLENNAME:k] · ZIELORT · WERT	FORTSETZEN · {N1} · ZIELORT · WERT	4	FORTSETZEN|{N1}|ZIELORT|WERT	DOT|DOT|DOT	NO	Weiter beziehe den Sternstelleneintrag »k« und den Positionswert zur Zielposition. Reihenfolge konkret: OL — weiter mit Sternstelle »k«.
G482-E080	P1008-E0351	G475-R060	G474-B062	f72r	CELESTIAL	COORDINATE	olalsy	OL+AL+Y	FORTSETZEN · ZIELORT · POSTEN	FORTSETZEN · ZIELORT · POSTEN	3	FORTSETZEN|ZIELORT|POSTEN	DOT|DOT	NO	Adressspur: weiter → Zielposition → Positionsposten. Reihenfolge konkret: OL — weiter mit Zielort.
G482-E081	P1008-E0352	G475-R061	G474-B063	f72r	CELESTIAL	CATALOGUE	oraiinam	OR+AM_ADDR	EINHEIT · [STERNSTELLENNAME:aiin] · HIER	EINHEIT · {N1} · HIER	3	EINHEIT|{N1}|HIER	DOT|DOT	YES	Sternstelle »aiin« — Einheitsangabe, Hier-Vermerk.
G482-E082	P1008-E0353	G475-R062	G474-B064	f72r	CELESTIAL	INSTRUCTION	osarsheeeo	AR+SH	[STERNSTELLENNAME:os] · AUSGANG · HALTEN · [STERNSTELLENNAME:eeeo]	{N1} · AUSGANG · HALTEN · {N2}	4	{N1}|AUSGANG|HALTEN|{N2}	DOT|DOT|DOT	NO	Halte den Sternstelleneintrag »os« und den Sternstelleneintrag »eeeo« von der Ausgangsposition.
G482-E083	P1008-E0354	G475-R063	G474-B065	f72r	CELESTIAL	COORDINATE	oto	OT+O	DANACH · AUSFÜHRUNG	DANACH · AUSFÜHRUNG	2	DANACH|AUSFÜHRUNG	DOT	NO	Adressspur: danach → Ausführungspunkt. Reihenfolge konkret: OT — danach Ausführung.
G482-E084	P1008-E0355	G475-R063	G474-B065	f72r	CELESTIAL	COORDINATE	aiin	AIIN	WERT	WERT	1	WERT	NONE	NO	Adressspur: Positionswert.
G482-E085	P1008-E0356	G475-R064	G474-B066	f72r	CELESTIAL	INSTRUCTION	opoiiinoin	O+IIN	[STERNSTELLENNAME:opoiiin] · AUSFÜHRUNG · STUFE	{N1} · AUSFÜHRUNG · STUFE	3	{N1}|AUSFÜHRUNG|STUFE	DOT|DOT	NO	Beziehe den Sternstelleneintrag »opoiiin«, als Ausführung und auf der bezeichneten Stufe.
G482-E086	P1008-E0357	G475-R064	G474-B066	f72r	CELESTIAL	INSTRUCTION	al	AL	ZIELORT	ZIELORT	1	ZIELORT	NONE	NO	Beziehe den Eintrag zur Zielposition.
G482-E087	P1008-E0358	G475-R064	G474-B066	f72r	CELESTIAL	INSTRUCTION	ches	CH+E+S	NEHMEN · GRAD I · WÄHLEN	NEHMEN · GRAD I · WÄHLEN	3	NEHMEN|GRAD I|WÄHLEN	DOT|DOT	NO	Nimm den Eintrag auf und wähle den Eintrag, auf Grad I.
G482-E088	P1008-E0359	G475-R065	G474-B067	f72r	CELESTIAL	CATALOGUE	ypaiin	AIIN	[STERNSTELLENNAME:yp] · WERT	{N1} · WERT	2	{N1}|WERT	DOT	NO	Sternstelle »yp« — Wertangabe.
