local_code	surface	register	drawer	visible_owner_or_default_de	form_recipe_if_any	events	loci	apprentice_rule_de
B-W011	lky	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W011 aus	WHOLE[lky]	2	f81v.11|f81v.6	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W012	opedy	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W012 aus	WHOLE[opedy]	1	f83r.1	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W013	qedy	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W013 aus	WHOLE[qedy]	1	f83r.13	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W014	qody	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W014 aus	WHOLE[qody]	1	f83r.29	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W015	qoesedy	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W015 aus	WHOLE[qoesedy]	1	f82r.25	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W016	qop	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W016 aus	WHOLE[qop]	1	f81v.10	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W017	qopy	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W017 aus	WHOLE[qopy]	1	f83r.9	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W018	rag	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W018 aus	WHOLE[rag]	1	f82r.30	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W019	rasy	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W019 aus	WHOLE[rasy]	1	f82r.22	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W020	saii	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W020 aus	WHOLE[saii]	1	f83r.30	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W021	sam	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W021 aus	WHOLE[sam]	1	f83r.10	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W022	shocphedy	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W022 aus	WHOLE[shocphedy]	1	f83r.18	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W023	ydy	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W023 aus	WHOLE[ydy]	1	f82r.24	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W024	ykedy	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W024 aus	WHOLE[ykedy]	1	f81v.13	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
B-W025	ytedy	BIOLOGICAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Stationsschritt B-W025 aus	WHOLE[ytedy]	4	f81v.12|f81v.13	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
H-W001	dky	HERBAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Pflanzen-Arbeitsschritt H-W001 aus	WHOLE[dky]	1	f11r.5	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
H-W002	dod	HERBAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Pflanzen-Arbeitsschritt H-W002 aus	WHOLE[dod]	1	f11r.3	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
H-W003	dodyd	HERBAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Pflanzen-Arbeitsschritt H-W003 aus	WHOLE[dodyd]	1	f55v.1	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
H-W004	doiir	HERBAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Pflanzen-Arbeitsschritt H-W004 aus	WHOLE[doiir]	1	f10r.4	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
H-W005	esedy	HERBAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Pflanzen-Arbeitsschritt H-W005 aus	WHOLE[esedy]	1	f56r.1	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
H-W006	kom	HERBAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Pflanzen-Arbeitsschritt H-W006 aus	WHOLE[kom]	1	f10r.1	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
H-W007	odl	HERBAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Pflanzen-Arbeitsschritt H-W007 aus	WHOLE[odl]	1	f11r.6	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
H-W008	ychocphy	HERBAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Pflanzen-Arbeitsschritt H-W008 aus	WHOLE[ychocphy]	1	f56r.1	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
H-W009	ykaky	HERBAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Pflanzen-Arbeitsschritt H-W009 aus	WHOLE[ykaky]	1	f55v.9	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
H-W010	yty	HERBAL	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Pflanzen-Arbeitsschritt H-W010 aus	WHOLE[yty]	2	f10r.3|f10r.7	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
P-L001	am	PHARMA	PICTURED_NAME_OR_CLASS	kleinteil n · kleinteil o	AM_ADDR	1	f88r.24	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
P-L002	dary	PHARMA	PICTURED_NAME_OR_CLASS	schmale wurzel i	DA+R+Y	1	f88r.14	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
P-L003	ofaldo	PHARMA	PICTURED_NAME_OR_CLASS	wurzelkoerper p	O+LOCAL_CHAR_F+AL+D_ADDR+O	1	f88r.25	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
P-L004	ofyskydal	PHARMA	PICTURED_NAME_OR_CLASS	untere wurzelmengung m	O+LOCAL_CHAR_F+Y+S+K+Y+DA+L	1	f88r.23	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
P-L005	okol	PHARMA	PICTURED_NAME_OR_CLASS	senkrechter pflanzenteil j	OK+OL	1	f88r.15	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
P-L006	oldar	PHARMA	PICTURED_NAME_OR_CLASS	doppelknolle d	OL+DA+R	1	f88r.4	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
P-L007	orald	PHARMA	PICTURED_NAME_OR_CLASS	gebuendelte wurzel c	OR+AL+D_ADDR	1	f88r.3	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
P-L008	oram	PHARMA	PICTURED_NAME_OR_CLASS	gelappter pflanzenteil h	OR+A_ADDR+AM_ADDR	1	f88r.13	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
P-L009	osal	PHARMA	PICTURED_NAME_OR_CLASS	dunkle pfahlwurzel b	O+S+AL	1	f88r.2	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
P-L010	otaldy	PHARMA	PICTURED_NAME_OR_CLASS	wurzelbuendel g	OT+AL+DY	1	f88r.12	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
P-L011	otaly	PHARMA	PICTURED_NAME_OR_CLASS	blattwurzel f	OT+AL+Y	1	f88r.6	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
P-L012	otoky	PHARMA	PICTURED_NAME_OR_CLASS	knotenwurzel e	OT+OK+Y	1	f88r.5	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
P-L013	otor	PHARMA	PICTURED_NAME_OR_CLASS	kleinteil n · kleinteil o	OT+OR	1	f88r.24	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
P-L014	otorchety	PHARMA	PICTURED_NAME_OR_CLASS	feine faserwurzel a	OT+OR+CH+E+T+Y	1	f88r.1	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
P-L015	otyda	PHARMA	PICTURED_NAME_OR_CLASS	blattzweig l	OT+Y+DA	1	f88r.17	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
P-L016	sorory	PHARMA	PICTURED_NAME_OR_CLASS	gefleckter koerper k	S+OR+OR+Y	1	f88r.16	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
P-W001	cphol	PHARMA	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Zubereitungsschritt P-W001 aus	WHOLE[cphol]	1	f88r.18	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
P-W002	koay	PHARMA	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Zubereitungsschritt P-W002 aus	WHOLE[koay]	1	f88r.18	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
P-W003	sam	PHARMA	COPIED_WORKSHOP_CARD	fuehre den im Muster bezeichneten Zubereitungsschritt P-W003 aus	WHOLE[sam]	2	f88r.11|f88r.8	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
Z-W001	saiir	ZODIAC	COPIED_WORKSHOP_CARD	lies den im Muster bezeichneten Ringwert Z-W001	WHOLE[saiir]	1	f69v.20	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
Z-W002	ykeydy	ZODIAC	COPIED_WORKSHOP_CARD	lies den im Muster bezeichneten Ringwert Z-W002	WHOLE[ykeydy]	1	f69v.17	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
Z-W003	ytody	ZODIAC	COPIED_WORKSHOP_CARD	lies den im Muster bezeichneten Ringwert Z-W003	WHOLE[ytody]	1	f69v.10	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
Z-L001	air	ZODIAC	PICTURED_NAME_OR_CLASS	Kennung am zwei lokale Himmelsraeder (f67r2.64)	AIR	1	f67r2.64	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
Z-L002	al	ZODIAC	PICTURED_NAME_OR_CLASS	Kennung fuer pisces inner figure 02	AL	1	f70v2.23	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
Z-L003	alals	ZODIAC	PICTURED_NAME_OR_CLASS	Kennung fuer aries inner figure 03	AL+AL+S_ADDR	1	f70v1.15	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
Z-L004	am	ZODIAC	PICTURED_NAME_OR_CLASS	Kennung am zwei lokale Himmelsraeder (f67r2.28)	AM_ADDR	3	f67r2.28|f70v1.2|f70v2.22	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
Z-L005	ar	ZODIAC	PICTURED_NAME_OR_CLASS	Kennung fuer pisces outer figure 06	AR	1	f70v2.7	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
Z-L006	araly	ZODIAC	PICTURED_NAME_OR_CLASS	Kennung fuer aries inner figure 03	AR+AL+Y	1	f70v1.15	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
Z-L007	aram	ZODIAC	PICTURED_NAME_OR_CLASS	Kennung am zwei lokale Himmelsraeder (f67r2.1)	AR+AM_ADDR	1	f67r2.1	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
Z-L008	arar	ZODIAC	PICTURED_NAME_OR_CLASS	Kennung fuer pisces outer figure 15	AR+AR	1	f70v2.16	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
Z-L009	araydy	ZODIAC	PICTURED_NAME_OR_CLASS	Kennung fuer aries inner figure 05	AR+A_ADDR+Y+DY	1	f70v1.17	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
Z-L010	ay	ZODIAC	PICTURED_NAME_OR_CLASS	Kennung am zwei lokale Himmelsraeder (f67r2.69)	A_ADDR+Y	1	f67r2.69	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
Z-L011	chkchdar	ZODIAC	PICTURED_NAME_OR_CLASS	Kennung am zwei lokale Himmelsraeder (f67r2.8)	CHK+CHD+AR	1	f67r2.8	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
Z-L012	chky	ZODIAC	PICTURED_NAME_OR_CLASS	Kennung am zwei lokale Himmelsraeder (f67r2.11)	CHK+Y	1	f67r2.11	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
Z-L013	cho	ZODIAC	PICTURED_NAME_OR_CLASS	Kennung am zwei lokale Himmelsraeder (f67r2.58)	HO	1	f67r2.58	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
Z-L014	chocfhy	ZODIAC	PICTURED_NAME_OR_CLASS	Kennung am mehrteiliger Sternatlas mit lokalen Zentren (f68r1.12)	CH+O+CFH+Y	1	f68r1.12	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
Z-L015	chy	ZODIAC	PICTURED_NAME_OR_CLASS	Kennung am zwei lokale Himmelsraeder (f67r2.11)	Y	2	f67r2.11|f70v2.14	Kopiere die ganze Karte mit ihrem sichtbaren Besitzer; leite ihren Sachwert nicht aus den Teilzeichen ab.
