group_ordinal	gdt575_duplicate_group_id	event_id	statement_id	physical_page	register	surface	final_context_recipe	repeat_root	repeat_scope	slot_count	slot_positions_zero_based	intervening_atom_sequences	attachment_topology	topology_short	head_identity_sequence	placement_sequence	assignment_source_sequence	renderer_route	renderer_ready	renderer_history_conflict	current_clause_de	recommended_voice_pattern	guard
11	GDT575-D021	G407-E0736	G407-S036	f55v	HERBAL	sheokey	SH+E+OK+E+Y	E	PLAIN	2	1+3	OK	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E0736@0:SH | ACTION:G407-E0736@2:OK	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Halte den Pflanzenposten und setze ihn im Arbeitsgang an; auf Grad I und auf Grad I.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
12	GDT575-D022	G407-E0802	G407-S038	f56r	HERBAL	esedy	E+S+E+DY	E	PLAIN	2	0+2	S	BRACKETING_SAME_HEAD	B	ACTION:G407-E0802@1:S | ACTION:G407-E0802@1:S	PRE_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Wähle denselben Pflanzenposten; auf Grad I und auf Grad I; schließe den Schritt.	Beide Seiten des Kopfes sichtbar halten: X vor A und erneut X nach A.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
13	GDT575-D023	G407-E0902	G407-S041	f67r2	CELESTIAL	opodchol	O+P+O+D_ADDR+OL	O	PLAIN	2	0+2	P	BRACKETING_SAME_HEAD	B	ACTION:G407-E0902@1:P | ACTION:G407-E0902@1:P	PRE_HEAD+POST_HEAD	EXPLORATORY_NEAREST_VISIBLE_ACTION+EXPLORATORY_NEAREST_VISIBLE_ACTION	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Weiter: setze ein; als Ausführung und als Ausführung; an der D-Stelle.	Beide Seiten des Kopfes sichtbar halten: X vor A und erneut X nach A.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
14	GDT575-D024	G407-E0966	G407-S048	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	O	PLAIN	2	2+4	E	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E0966@1:T | ACTION:G407-E0966@5:P	POST_HEAD+PRE_HEAD	EXPLORATORY_NEAREST_VISIBLE_ACTION+EXPLORATORY_NEAREST_VISIBLE_ACTION	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Stelle den äußeren Positionsposten und den inneren Positionsposten ein, setze den äußeren Positionsposten und den inneren Positionsposten ein und nimm den äußeren Positionsposten und den inneren Positionsposten auf; als Ausführung, auf Grad I, als Ausführung und auf Grad I.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
15	GDT575-D025	G407-E0966	G407-S048	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	E	PLAIN	2	3+7	O+P+CH	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E0966@1:T | ACTION:G407-E0966@6:CH	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Stelle den äußeren Positionsposten und den inneren Positionsposten ein, setze den äußeren Positionsposten und den inneren Positionsposten ein und nimm den äußeren Positionsposten und den inneren Positionsposten auf; als Ausführung, auf Grad I, als Ausführung und auf Grad I.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
16	GDT575-D026	G407-E0968	G407-S048	f67r2	CELESTIAL	sosho	S+O+SH+O	O	PLAIN	2	1+3	SH	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E0968@0:S | ACTION:G407-E0968@2:SH	POST_HEAD+POST_HEAD	EXPLORATORY_NEAREST_VISIBLE_ACTION+EXPLORATORY_NEAREST_VISIBLE_ACTION	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Wähle denselben Positionsposten und halte ihn; als Ausführung und als Ausführung.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
17	GDT575-D027	G407-E1018	G407-S051	f67r2	CELESTIAL	oeeos	O+EE+O+S	O	PLAIN	2	0+2	EE	SAME_HEAD_SAME_SIDE	U	ACTION:G407-E1018@3:S | ACTION:G407-E1018@3:S	PRE_HEAD+PRE_HEAD	EXPLORATORY_NEAREST_VISIBLE_ACTION+EXPLORATORY_NEAREST_VISIBLE_ACTION	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Wähle denselben Positionsposten; als Ausführung, auf Grad II und als Ausführung.	Ein Kopfbündel bilden, die beiden geschriebenen Slots aber in Rohreihenfolge nennen.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
18	GDT575-D028	G407-E1037	G407-S052	f68r1	CELESTIAL	tochso	T+O+CH+S+O	O	PLAIN	2	1+4	CH+S	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E1037@0:T | ACTION:G407-E1037@3:S	POST_HEAD+POST_HEAD	EXPLORATORY_NEAREST_VISIBLE_ACTION+EXPLORATORY_NEAREST_VISIBLE_ACTION	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Stelle denselben Positionsposten ein, nimm ihn auf und wähle ihn; als Ausführung und als Ausführung.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
19	GDT575-D029	G407-E1041	G407-S053	f68r1	CELESTIAL	cheeteey	CH+EE+T+EE+Y	EE	PLAIN	2	1+3	T	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E1041@0:CH | ACTION:G407-E1041@2:T	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Nimm den Positionsposten auf und stelle ihn ein; auf Grad II und auf Grad II.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
20	GDT575-D030	G407-E1044	G407-S054	f68r1	CELESTIAL	cheokorchey	CH+E+O+K+OR+CH+E+Y	E	PLAIN	2	1+6	O+K+OR+CH	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E1044@0:CH | ACTION:G407-E1044@5:CH	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Nimm die Positionseinheit und den Positionsposten auf, ordne sie und ihn zu und nimm sie und ihn auf; auf Grad I, als Ausführung und auf Grad I.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
21	GDT575-D031	G407-E1052	G407-S054	f68r1	CELESTIAL	eckhear	E+CH+K+E+AR	E	PLAIN	2	0+3	CH+K	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E1052@1:CH | ACTION:G407-E1052@2:K	PRE_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Nimm dieselbe Positionseinheit auf und ordne sie zu; von der Ausgangsposition; auf Grad I und auf Grad I.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
22	GDT575-D033	G407-E1059	G407-S055	f71v	CELESTIAL	osheo	O+SH+E+O	O	PLAIN	2	0+3	SH+E	BRACKETING_SAME_HEAD	B	ACTION:G407-E1059@1:SH | ACTION:G407-E1059@1:SH	PRE_HEAD+POST_HEAD	EXPLORATORY_NEAREST_VISIBLE_ACTION+EXPLORATORY_NEAREST_VISIBLE_ACTION	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Halte; als Ausführung, auf Grad I und als Ausführung.	Beide Seiten des Kopfes sichtbar halten: X vor A und erneut X nach A.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
23	GDT575-D034	G407-E1115	G407-S057	f71v	CELESTIAL	shopcho	SH+O+P+CH+O	O	PLAIN	2	1+4	P+CH	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E1115@0:SH | ACTION:G407-E1115@3:CH	POST_HEAD+POST_HEAD	EXPLORATORY_NEAREST_VISIBLE_ACTION+EXPLORATORY_NEAREST_VISIBLE_ACTION	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Halte dieselbe Positionseinheit, setze sie ein und nimm sie auf; als Ausführung und als Ausführung.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
24	GDT575-D035	G407-E1152	G407-S063	f72r	CELESTIAL	sheoltey	SH+E+OL+T+E+Y	E	PLAIN	2	1+4	OL+T	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E1152@0:SH | ACTION:G407-E1152@3:T	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Weiter: halte den Positionsposten und stelle ihn ein; auf Grad I und auf Grad I.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
25	GDT575-D036	G407-E1182	G407-S064	f72r	CELESTIAL	shetey	SH+E+T+E+Y	E	PLAIN	2	1+3	T	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E1182@0:SH | ACTION:G407-E1182@2:T	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Halte den Positionsposten und stelle ihn ein; auf Grad I und auf Grad I.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
26	GDT575-D037	G407-E1188	G407-S064	f72r	CELESTIAL	chetey	CH+E+T+E+Y	E	PLAIN	2	1+3	T	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E1188@0:CH | ACTION:G407-E1188@2:T	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Nimm den Positionsposten auf und stelle ihn ein; auf Grad I und auf Grad I.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
27	GDT575-D039	G407-E1755	G407-S149	f75r	BIOLOGICAL	dardardy	D_ADDR+AR+D_ADDR+AR+DY	D_ADDR	PLAIN	2	0+2	AR	ACTIVE_CONTEXT_HEAD	C	ACTION:G407-E1753@0:OK | ACTION:G407-E1753@0:OK	ACTIVE_CONTEXT+ACTIVE_CONTEXT	EXPLORATORY_ACTIVE_CONTEXT_HEAD+EXPLORATORY_ACTIVE_CONTEXT_HEAD	EVENT_QUARANTINE_COMPANION__KEEP_CURRENT_CLAUSE	NO	NO	Im laufenden Gang: Setze denselben Stationsposten im Stationsgang an; an der D-Stelle; von der Ausgangsstation; an der D-Stelle; von der Ausgangsstation; schließe den Schritt.	Den aktiven Kopf nennen und darunter die vollständige Slotfolge sprechen.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
28	GDT575-D040	G407-E1755	G407-S149	f75r	BIOLOGICAL	dardardy	D_ADDR+AR+D_ADDR+AR+DY	AR	PLAIN	2	1+3	D_ADDR	ACTIVE_CONTEXT_HEAD	C	ACTION:G407-E1753@0:OK | ACTION:G407-E1753@0:OK	ACTIVE_CONTEXT+ACTIVE_CONTEXT	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	QUARANTINE_PRIOR_OUTER_INNER_VOICE_CONFLICT	NO	YES	Im laufenden Gang: Setze denselben Stationsposten im Stationsgang an; an der D-Stelle; von der Ausgangsstation; an der D-Stelle; von der Ausgangsstation; schließe den Schritt.	Den aktiven Kopf nennen und darunter die vollständige Slotfolge sprechen.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
29	GDT575-D042	G407-E1924	G407-S212	f76r	BIOLOGICAL	qotedshedy	OT+E+D_ADDR+SH+E+DY	E	PLAIN	2	1+4	D_ADDR+SH	BRACKETING_SAME_HEAD	B	ACTION:G407-E1924@3:SH | ACTION:G407-E1924@3:SH	PRE_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Danach: halte; auf Grad I; an der D-Stelle; auf Grad I; schließe den Schritt.	Beide Seiten des Kopfes sichtbar halten: X vor A und erneut X nach A.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
30	GDT575-D043	G407-E1955	G407-S218	f76r	BIOLOGICAL	sheckhey	SH+E+CH+K+E+Y	E	PLAIN	2	1+4	CH+K	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E1955@0:SH | ACTION:G407-E1955@3:K	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Halte den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I und auf Grad I.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
31	GDT575-D044	G407-E1999	G407-S228	f76r	BIOLOGICAL	dcheedy	D_ADDR+CH+EE+D_ADDR+Y	D_ADDR	PLAIN	2	0+3	CH+EE	BRACKETING_SAME_HEAD	B	ACTION:G407-E1999@1:CH | ACTION:G407-E1999@1:CH	PRE_HEAD+POST_HEAD	EXPLORATORY_NEAREST_VISIBLE_ACTION+EXPLORATORY_NEAREST_VISIBLE_ACTION	EXPLICIT_ORDERED_HEAD_TRACE__NO_TWICE_COMPRESSION	YES	NO	Entnimm den Stationsposten; auf Grad II; an der D-Stelle und an der D-Stelle.	Beide Seiten des Kopfes sichtbar halten: X vor A und erneut X nach A.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
32	GDT575-D045	G407-E2115	G407-S253	f76r	BIOLOGICAL	cheolchey	CH+E+OL+CH+E+Y	E	PLAIN	2	1+4	OL+CH	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E2115@0:CH | ACTION:G407-E2115@3:CH	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Weiter: entnimm den Stationsposten und entnimm ihn; auf Grad I und auf Grad I.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
33	GDT575-D046	G407-E2385	G407-S309	f76r	BIOLOGICAL	checkhey	CH+E+CH+K+E+Y	E	PLAIN	2	1+4	CH+K	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E2385@0:CH | ACTION:G407-E2385@3:K	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I und auf Grad I.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
34	GDT575-D048	G407-E2410	G407-S313	f77r	BIOLOGICAL	chetey	CH+E+T+E+Y	E	PLAIN	2	1+3	T	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E2410@0:CH | ACTION:G407-E2410@2:T	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Entnimm den Stationsposten und stelle ihn ein; auf Grad I und auf Grad I.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
35	GDT575-D049	G407-E2481	G407-S341	f77r	BIOLOGICAL	sheckhedy	SH+E+CH+K+E+DY	E	PLAIN	2	1+4	CH+K	DISTINCT_ACTION_OCCURRENCES	D	ACTION:G407-E2481@0:SH | ACTION:G407-E2481@3:K	POST_HEAD+POST_HEAD	GDT407_FIXED_FOCUS_ATTACHMENT+GDT407_FIXED_FOCUS_ATTACHMENT	INLINE_GRADE_AT_EACH_DISTINCT_HEAD	YES	NO	Halte dieselbe Stationseinheit und entnimm sie und führe sie zu; auf Grad I und auf Grad I; schließe den Schritt.	Jeden Slot beim eigenen Kopf aussprechen; Grade dürfen lokal in beide Verbrahmen einrücken.	GROUP_TOPOLOGY_ONLY__NO_SLOT_OR_SCOPE_COLLAPSE
