slot_ordinal	gdt575_duplicate_group_id	event_id	statement_id	physical_page	register	surface	final_context_recipe	repeat_root	repeat_scope	slot_occurrence_in_group	slot_atom_position_zero_based	repeat_marker_candidate	assignment_source	selector_rule	source_geometry	head_kind	head_event_id	head_atom_position_zero_based	head_root	head_identity	placement	duplicate_mode	duplicate_role	renderer_history_conflict	guard
11	GDT575-D012	G407-E0522	G407-S026	f18r	HERBAL	darod	D_ADDR+AR+O+D_ADDR	D_ADDR	PLAIN	1	0	FIRST_FULL	EXPLORATORY_ACTIVE_CONTEXT_HEAD	SAME_PAGE_AND_OWNER_ACTIVE_HEAD	OWNER_ACTIVE_ACTION_CONTEXT	ACTION	G407-E0521	2	R	ACTION:G407-E0521@2:R	ACTIVE_CONTEXT	ANALYTICAL_REPEAT_SLOT	CANDIDATE_CONTEXT_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
12	GDT575-D012	G407-E0522	G407-S026	f18r	HERBAL	darod	D_ADDR+AR+O+D_ADDR	D_ADDR	PLAIN	2	3	WIEDER	EXPLORATORY_ACTIVE_CONTEXT_HEAD	SAME_PAGE_AND_OWNER_ACTIVE_HEAD	OWNER_ACTIVE_ACTION_CONTEXT	ACTION	G407-E0521	2	R	ACTION:G407-E0521@2:R	ACTIVE_CONTEXT	ANALYTICAL_REPEAT_SLOT	CANDIDATE_CONTEXT_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
13	GDT575-D013	G407-E0607	G407-S030	f24v	HERBAL	opom	O+P+O+AM_ADDR	O	PLAIN	1	0	FIRST_FULL	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E0607	1	P	ACTION:G407-E0607@1:P	PRE_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
14	GDT575-D013	G407-E0607	G407-S030	f24v	HERBAL	opom	O+P+O+AM_ADDR	O	PLAIN	2	2	ERNEUT	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E0607	1	P	ACTION:G407-E0607@1:P	POST_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
15	GDT575-D014	G407-E0610	G407-S030	f24v	HERBAL	opshody	O+P+SH+O+DY	O	PLAIN	1	0	FIRST_FULL	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E0610	1	P	ACTION:G407-E0610@1:P	PRE_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
16	GDT575-D014	G407-E0610	G407-S030	f24v	HERBAL	opshody	O+P+SH+O+DY	O	PLAIN	2	3	ERNEUT	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E0610	2	SH	ACTION:G407-E0610@2:SH	POST_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
17	GDT575-D015	G407-E0628	G407-S031	f24v	HERBAL	oesearies	O+E+S+E+AR+LOCAL_CHAR_I+E+S	E	PLAIN	1	1	FIRST_FULL	GDT407_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_RIGHT_ACTION	ACTION	G407-E0628	2	S	ACTION:G407-E0628@2:S	PRE_HEAD	SINGLE	SINGLE	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
18	GDT575-D015	G407-E0628	G407-S031	f24v	HERBAL	oesearies	O+E+S+E+AR+LOCAL_CHAR_I+E+S	E	PLAIN	2	3	ERNEUT	GDT407_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION	G407-E0628	2	S	ACTION:G407-E0628@2:S	POST_HEAD	SINGLE	SINGLE	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
19	GDT575-D015	G407-E0628	G407-S031	f24v	HERBAL	oesearies	O+E+S+E+AR+LOCAL_CHAR_I+E+S	E	PLAIN	3	6	NOCHMALS	GDT407_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_RIGHT_ACTION	ACTION	G407-E0628	7	S	ACTION:G407-E0628@7:S	PRE_HEAD	SINGLE	SINGLE	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
20	GDT575-D016	G407-E0664	G407-S032	f24v	HERBAL	qodom	CARRIER_Q+O+D_ADDR+O+AM_ADDR	O	PLAIN	1	1	FIRST_FULL	EXPLORATORY_ACTIVE_CONTEXT_HEAD	SAME_PAGE_AND_OWNER_ACTIVE_HEAD	OWNER_ACTIVE_ACTION_CONTEXT	ACTION	G407-E0663	0	CH	ACTION:G407-E0663@0:CH	ACTIVE_CONTEXT	ANALYTICAL_REPEAT_SLOT	CANDIDATE_CONTEXT_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
21	GDT575-D016	G407-E0664	G407-S032	f24v	HERBAL	qodom	CARRIER_Q+O+D_ADDR+O+AM_ADDR	O	PLAIN	2	3	ERNEUT	EXPLORATORY_ACTIVE_CONTEXT_HEAD	SAME_PAGE_AND_OWNER_ACTIVE_HEAD	OWNER_ACTIVE_ACTION_CONTEXT	ACTION	G407-E0663	0	CH	ACTION:G407-E0663@0:CH	ACTIVE_CONTEXT	ANALYTICAL_REPEAT_SLOT	CANDIDATE_CONTEXT_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
22	GDT575-D021	G407-E0736	G407-S036	f55v	HERBAL	sheokey	SH+E+OK+E+Y	E	PLAIN	1	1	FIRST_FULL	GDT407_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION	G407-E0736	0	SH	ACTION:G407-E0736@0:SH	POST_HEAD	SINGLE	SINGLE	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
23	GDT575-D021	G407-E0736	G407-S036	f55v	HERBAL	sheokey	SH+E+OK+E+Y	E	PLAIN	2	3	ERNEUT	GDT407_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION	G407-E0736	2	OK	ACTION:G407-E0736@2:OK	POST_HEAD	SINGLE	SINGLE	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
24	GDT575-D022	G407-E0802	G407-S038	f56r	HERBAL	esedy	E+S+E+DY	E	PLAIN	1	0	FIRST_FULL	GDT407_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_RIGHT_ACTION	ACTION	G407-E0802	1	S	ACTION:G407-E0802@1:S	PRE_HEAD	SINGLE	SINGLE	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
25	GDT575-D022	G407-E0802	G407-S038	f56r	HERBAL	esedy	E+S+E+DY	E	PLAIN	2	2	ERNEUT	GDT407_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION	G407-E0802	1	S	ACTION:G407-E0802@1:S	POST_HEAD	SINGLE	SINGLE	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
26	GDT575-D023	G407-E0902	G407-S041	f67r2	CELESTIAL	opodchol	O+P+O+D_ADDR+OL	O	PLAIN	1	0	FIRST_FULL	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E0902	1	P	ACTION:G407-E0902@1:P	PRE_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
27	GDT575-D023	G407-E0902	G407-S041	f67r2	CELESTIAL	opodchol	O+P+O+D_ADDR+OL	O	PLAIN	2	2	ERNEUT	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E0902	1	P	ACTION:G407-E0902@1:P	POST_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
28	GDT575-D024	G407-E0966	G407-S048	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	O	PLAIN	1	2	FIRST_FULL	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E0966	1	T	ACTION:G407-E0966@1:T	POST_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
29	GDT575-D024	G407-E0966	G407-S048	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	O	PLAIN	2	4	ERNEUT	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E0966	5	P	ACTION:G407-E0966@5:P	PRE_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
30	GDT575-D025	G407-E0966	G407-S048	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	E	PLAIN	1	3	FIRST_FULL	GDT407_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION	G407-E0966	1	T	ACTION:G407-E0966@1:T	POST_HEAD	SINGLE	SINGLE	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
31	GDT575-D025	G407-E0966	G407-S048	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	E	PLAIN	2	7	ERNEUT	GDT407_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION	G407-E0966	6	CH	ACTION:G407-E0966@6:CH	POST_HEAD	SINGLE	SINGLE	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
32	GDT575-D026	G407-E0968	G407-S048	f67r2	CELESTIAL	sosho	S+O+SH+O	O	PLAIN	1	1	FIRST_FULL	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E0968	0	S	ACTION:G407-E0968@0:S	POST_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
33	GDT575-D026	G407-E0968	G407-S048	f67r2	CELESTIAL	sosho	S+O+SH+O	O	PLAIN	2	3	ERNEUT	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E0968	2	SH	ACTION:G407-E0968@2:SH	POST_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
34	GDT575-D027	G407-E1018	G407-S051	f67r2	CELESTIAL	oeeos	O+EE+O+S	O	PLAIN	1	0	FIRST_FULL	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E1018	3	S	ACTION:G407-E1018@3:S	PRE_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
35	GDT575-D027	G407-E1018	G407-S051	f67r2	CELESTIAL	oeeos	O+EE+O+S	O	PLAIN	2	2	ERNEUT	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E1018	3	S	ACTION:G407-E1018@3:S	PRE_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
36	GDT575-D028	G407-E1037	G407-S052	f68r1	CELESTIAL	tochso	T+O+CH+S+O	O	PLAIN	1	1	FIRST_FULL	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E1037	0	T	ACTION:G407-E1037@0:T	POST_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
37	GDT575-D028	G407-E1037	G407-S052	f68r1	CELESTIAL	tochso	T+O+CH+S+O	O	PLAIN	2	4	ERNEUT	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E1037	3	S	ACTION:G407-E1037@3:S	POST_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
38	GDT575-D029	G407-E1041	G407-S053	f68r1	CELESTIAL	cheeteey	CH+EE+T+EE+Y	EE	PLAIN	1	1	FIRST_FULL	GDT407_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION	G407-E1041	0	CH	ACTION:G407-E1041@0:CH	POST_HEAD	SINGLE	SINGLE	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
39	GDT575-D029	G407-E1041	G407-S053	f68r1	CELESTIAL	cheeteey	CH+EE+T+EE+Y	EE	PLAIN	2	3	ERNEUT	GDT407_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION	G407-E1041	2	T	ACTION:G407-E1041@2:T	POST_HEAD	SINGLE	SINGLE	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
40	GDT575-D030	G407-E1044	G407-S054	f68r1	CELESTIAL	cheokorchey	CH+E+O+K+OR+CH+E+Y	E	PLAIN	1	1	FIRST_FULL	GDT407_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION	G407-E1044	0	CH	ACTION:G407-E1044@0:CH	POST_HEAD	SINGLE	SINGLE	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
41	GDT575-D030	G407-E1044	G407-S054	f68r1	CELESTIAL	cheokorchey	CH+E+O+K+OR+CH+E+Y	E	PLAIN	2	6	ERNEUT	GDT407_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION	G407-E1044	5	CH	ACTION:G407-E1044@5:CH	POST_HEAD	SINGLE	SINGLE	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
42	GDT575-D031	G407-E1052	G407-S054	f68r1	CELESTIAL	eckhear	E+CH+K+E+AR	E	PLAIN	1	0	FIRST_FULL	GDT407_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_RIGHT_ACTION	ACTION	G407-E1052	1	CH	ACTION:G407-E1052@1:CH	PRE_HEAD	SINGLE	SINGLE	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
43	GDT575-D031	G407-E1052	G407-S054	f68r1	CELESTIAL	eckhear	E+CH+K+E+AR	E	PLAIN	2	3	ERNEUT	GDT407_FIXED_FOCUS_ATTACHMENT	NEAREST_HEAD_LEFT_TIE	SAME_CARD_LEFT_ACTION	ACTION	G407-E1052	2	K	ACTION:G407-E1052@2:K	POST_HEAD	SINGLE	SINGLE	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
44	GDT575-D033	G407-E1059	G407-S055	f71v	CELESTIAL	osheo	O+SH+E+O	O	PLAIN	1	0	FIRST_FULL	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E1059	1	SH	ACTION:G407-E1059@1:SH	PRE_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
45	GDT575-D033	G407-E1059	G407-S055	f71v	CELESTIAL	osheo	O+SH+E+O	O	PLAIN	2	3	ERNEUT	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E1059	1	SH	ACTION:G407-E1059@1:SH	POST_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
46	GDT575-D034	G407-E1115	G407-S057	f71v	CELESTIAL	shopcho	SH+O+P+CH+O	O	PLAIN	1	1	FIRST_FULL	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E1115	0	SH	ACTION:G407-E1115@0:SH	POST_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
47	GDT575-D034	G407-E1115	G407-S057	f71v	CELESTIAL	shopcho	SH+O+P+CH+O	O	PLAIN	2	4	ERNEUT	EXPLORATORY_NEAREST_VISIBLE_ACTION	VISIBLE_ACTION_INSIDE_OT_OL_DY_INTERVAL	SAME_CARRIER_DISTANCE_MINIMUM__LEFT_TIE	ACTION	G407-E1115	3	CH	ACTION:G407-E1115@3:CH	POST_HEAD	ANALYTICAL_REPEAT_SLOT	CANDIDATE_LOCAL_HEAD	NO	EVERY_WRITTEN_SLOT_RETAINED__CANDIDATE_HEAD_IS_WORKSHOP_VOICE_ONLY
