event_profile_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	duplicate_group_ids	repeat_roots	attachment_topologies	ordered_slot_head_trace	overlapping_group_count	renderer_ready	current_clause_de	next_voice_instruction	guard
15	G407-E0902	G407-S041	f67r2	CELESTIAL	opodchol	O+P+O+D_ADDR+OL	GDT575-D023	O	BRACKETING_SAME_HEAD	p0:O→ACTION:G407-E0902@1:P[PRE_HEAD] | p2:O→ACTION:G407-E0902@1:P[POST_HEAD]	1	YES	Weiter: setze ein; als Ausführung und als Ausführung; an der D-Stelle.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
16	G407-E0966	G407-S048	f67r2	CELESTIAL	ytoeopchey	Y+T+O+E+O+P+CH+E+Y	GDT575-D024|GDT575-D025	O+E	DISTINCT_ACTION_OCCURRENCES+DISTINCT_ACTION_OCCURRENCES	p2:O→ACTION:G407-E0966@1:T[POST_HEAD] | p3:E→ACTION:G407-E0966@1:T[POST_HEAD] | p4:O→ACTION:G407-E0966@5:P[PRE_HEAD] | p7:E→ACTION:G407-E0966@6:CH[POST_HEAD]	2	YES	Stelle den äußeren Positionsposten und den inneren Positionsposten ein, setze den äußeren Positionsposten und den inneren Positionsposten ein und nimm den äußeren Positionsposten und den inneren Positionsposten auf; als Ausführung, auf Grad I, als Ausführung und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
17	G407-E0968	G407-S048	f67r2	CELESTIAL	sosho	S+O+SH+O	GDT575-D026	O	DISTINCT_ACTION_OCCURRENCES	p1:O→ACTION:G407-E0968@0:S[POST_HEAD] | p3:O→ACTION:G407-E0968@2:SH[POST_HEAD]	1	YES	Wähle denselben Positionsposten und halte ihn; als Ausführung und als Ausführung.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
18	G407-E1018	G407-S051	f67r2	CELESTIAL	oeeos	O+EE+O+S	GDT575-D027	O	SAME_HEAD_SAME_SIDE	p0:O→ACTION:G407-E1018@3:S[PRE_HEAD] | p2:O→ACTION:G407-E1018@3:S[PRE_HEAD]	1	YES	Wähle denselben Positionsposten; als Ausführung, auf Grad II und als Ausführung.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
19	G407-E1037	G407-S052	f68r1	CELESTIAL	tochso	T+O+CH+S+O	GDT575-D028	O	DISTINCT_ACTION_OCCURRENCES	p1:O→ACTION:G407-E1037@0:T[POST_HEAD] | p4:O→ACTION:G407-E1037@3:S[POST_HEAD]	1	YES	Stelle denselben Positionsposten ein, nimm ihn auf und wähle ihn; als Ausführung und als Ausführung.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
20	G407-E1041	G407-S053	f68r1	CELESTIAL	cheeteey	CH+EE+T+EE+Y	GDT575-D029	EE	DISTINCT_ACTION_OCCURRENCES	p1:EE→ACTION:G407-E1041@0:CH[POST_HEAD] | p3:EE→ACTION:G407-E1041@2:T[POST_HEAD]	1	YES	Nimm den Positionsposten auf und stelle ihn ein; auf Grad II und auf Grad II.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
21	G407-E1044	G407-S054	f68r1	CELESTIAL	cheokorchey	CH+E+O+K+OR+CH+E+Y	GDT575-D030	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E1044@0:CH[POST_HEAD] | p6:E→ACTION:G407-E1044@5:CH[POST_HEAD]	1	YES	Nimm die Positionseinheit und den Positionsposten auf, ordne sie und ihn zu und nimm sie und ihn auf; auf Grad I, als Ausführung und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
22	G407-E1052	G407-S054	f68r1	CELESTIAL	eckhear	E+CH+K+E+AR	GDT575-D031	E	DISTINCT_ACTION_OCCURRENCES	p0:E→ACTION:G407-E1052@1:CH[PRE_HEAD] | p3:E→ACTION:G407-E1052@2:K[POST_HEAD]	1	YES	Nimm dieselbe Positionseinheit auf und ordne sie zu; von der Ausgangsposition; auf Grad I und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
23	G407-E1059	G407-S055	f71v	CELESTIAL	osheo	O+SH+E+O	GDT575-D033	O	BRACKETING_SAME_HEAD	p0:O→ACTION:G407-E1059@1:SH[PRE_HEAD] | p3:O→ACTION:G407-E1059@1:SH[POST_HEAD]	1	YES	Halte; als Ausführung, auf Grad I und als Ausführung.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
24	G407-E1115	G407-S057	f71v	CELESTIAL	shopcho	SH+O+P+CH+O	GDT575-D034	O	DISTINCT_ACTION_OCCURRENCES	p1:O→ACTION:G407-E1115@0:SH[POST_HEAD] | p4:O→ACTION:G407-E1115@3:CH[POST_HEAD]	1	YES	Halte dieselbe Positionseinheit, setze sie ein und nimm sie auf; als Ausführung und als Ausführung.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
25	G407-E1152	G407-S063	f72r	CELESTIAL	sheoltey	SH+E+OL+T+E+Y	GDT575-D035	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E1152@0:SH[POST_HEAD] | p4:E→ACTION:G407-E1152@3:T[POST_HEAD]	1	YES	Weiter: halte den Positionsposten und stelle ihn ein; auf Grad I und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
26	G407-E1182	G407-S064	f72r	CELESTIAL	shetey	SH+E+T+E+Y	GDT575-D036	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E1182@0:SH[POST_HEAD] | p3:E→ACTION:G407-E1182@2:T[POST_HEAD]	1	YES	Halte den Positionsposten und stelle ihn ein; auf Grad I und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
27	G407-E1188	G407-S064	f72r	CELESTIAL	chetey	CH+E+T+E+Y	GDT575-D037	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E1188@0:CH[POST_HEAD] | p3:E→ACTION:G407-E1188@2:T[POST_HEAD]	1	YES	Nimm den Positionsposten auf und stelle ihn ein; auf Grad I und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
28	G407-E1755	G407-S149	f75r	BIOLOGICAL	dardardy	D_ADDR+AR+D_ADDR+AR+DY	GDT575-D039|GDT575-D040	D_ADDR+AR	ACTIVE_CONTEXT_HEAD+ACTIVE_CONTEXT_HEAD	p0:D_ADDR→ACTION:G407-E1753@0:OK[ACTIVE_CONTEXT] | p1:AR→ACTION:G407-E1753@0:OK[ACTIVE_CONTEXT] | p2:D_ADDR→ACTION:G407-E1753@0:OK[ACTIVE_CONTEXT] | p3:AR→ACTION:G407-E1753@0:OK[ACTIVE_CONTEXT]	2	NO	Im laufenden Gang: Setze denselben Stationsposten im Stationsgang an; an der D-Stelle; von der Ausgangsstation; an der D-Stelle; von der Ausgangsstation; schließe den Schritt.	KEEP_CURRENT_CLAUSE__AUDIT_PRIOR_SCOPE_VOICE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
29	G407-E1924	G407-S212	f76r	BIOLOGICAL	qotedshedy	OT+E+D_ADDR+SH+E+DY	GDT575-D042	E	BRACKETING_SAME_HEAD	p1:E→ACTION:G407-E1924@3:SH[PRE_HEAD] | p4:E→ACTION:G407-E1924@3:SH[POST_HEAD]	1	YES	Danach: halte; auf Grad I; an der D-Stelle; auf Grad I; schließe den Schritt.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
30	G407-E1955	G407-S218	f76r	BIOLOGICAL	sheckhey	SH+E+CH+K+E+Y	GDT575-D043	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E1955@0:SH[POST_HEAD] | p4:E→ACTION:G407-E1955@3:K[POST_HEAD]	1	YES	Halte den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
31	G407-E1999	G407-S228	f76r	BIOLOGICAL	dcheedy	D_ADDR+CH+EE+D_ADDR+Y	GDT575-D044	D_ADDR	BRACKETING_SAME_HEAD	p0:D_ADDR→ACTION:G407-E1999@1:CH[PRE_HEAD] | p3:D_ADDR→ACTION:G407-E1999@1:CH[POST_HEAD]	1	YES	Entnimm den Stationsposten; auf Grad II; an der D-Stelle und an der D-Stelle.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
32	G407-E2115	G407-S253	f76r	BIOLOGICAL	cheolchey	CH+E+OL+CH+E+Y	GDT575-D045	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E2115@0:CH[POST_HEAD] | p4:E→ACTION:G407-E2115@3:CH[POST_HEAD]	1	YES	Weiter: entnimm den Stationsposten und entnimm ihn; auf Grad I und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
33	G407-E2385	G407-S309	f76r	BIOLOGICAL	checkhey	CH+E+CH+K+E+Y	GDT575-D046	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E2385@0:CH[POST_HEAD] | p4:E→ACTION:G407-E2385@3:K[POST_HEAD]	1	YES	Entnimm den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
34	G407-E2410	G407-S313	f77r	BIOLOGICAL	chetey	CH+E+T+E+Y	GDT575-D048	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E2410@0:CH[POST_HEAD] | p3:E→ACTION:G407-E2410@2:T[POST_HEAD]	1	YES	Entnimm den Stationsposten und stelle ihn ein; auf Grad I und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
35	G407-E2481	G407-S341	f77r	BIOLOGICAL	sheckhedy	SH+E+CH+K+E+DY	GDT575-D049	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E2481@0:SH[POST_HEAD] | p4:E→ACTION:G407-E2481@3:K[POST_HEAD]	1	YES	Halte dieselbe Stationseinheit und entnimm sie und führe sie zu; auf Grad I und auf Grad I; schließe den Schritt.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
36	G407-E2638	G407-S382	f77r	BIOLOGICAL	sheckhey	SH+E+CH+K+E+Y	GDT575-D050	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E2638@0:SH[POST_HEAD] | p4:E→ACTION:G407-E2638@3:K[POST_HEAD]	1	YES	Halte den Stationsposten, entnimm ihn und führe ihn zu; auf Grad I und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
37	G407-E2755	G407-S397	f81r	BIOLOGICAL	eses	E+S+E+S	GDT575-D052	E	BRACKETING_SAME_HEAD	p0:E→ACTION:G407-E2755@1:S[PRE_HEAD] | p2:E→ACTION:G407-E2755@1:S[POST_HEAD]	1	YES	Wähle denselben Stationsanteil und wähle ihn; auf Grad I und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
38	G407-E2783	G407-S402	f81r	BIOLOGICAL	sheckhedy	SH+E+CH+K+E+DY	GDT575-D053	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E2783@0:SH[POST_HEAD] | p4:E→ACTION:G407-E2783@3:K[POST_HEAD]	1	YES	Halte denselben Stationsposten und entnimm ihn und führe ihn zu; auf Grad I und auf Grad I; schließe den Schritt.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
39	G407-E3030	G407-S458	f81v	BIOLOGICAL	dsholyd	D_ADDR+SH+OL+Y+D_ADDR	GDT575-D057	D_ADDR	ACTION_PLUS_SEQUENCE_HEAD	p0:D_ADDR→ACTION:G407-E3030@1:SH[PRE_HEAD] | p4:D_ADDR→SEQUENCE:G407-E3030@2:OL[SEQUENCE_CARRY]	1	YES	Weiter: halte den Stationsposten; an der D-Stelle und an der D-Stelle.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
40	G407-E3037	G407-S461	f81v	BIOLOGICAL	chetedy	CH+E+T+E+D_ADDR+Y	GDT575-D058	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E3037@0:CH[POST_HEAD] | p3:E→ACTION:G407-E3037@2:T[POST_HEAD]	1	YES	Entnimm den Stationsposten und stelle ihn ein; auf Grad I und auf Grad I; an der D-Stelle.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
41	G407-E3038	G407-S461	f81v	BIOLOGICAL	lkedey	L+K+E+D_ADDR+E+Y	GDT575-D059	E	SAME_HEAD_SAME_SIDE	p2:E→ACTION:G407-E3038@1:K[POST_HEAD] | p4:E→ACTION:G407-E3038@1:K[POST_HEAD]	1	YES	Führe den Stationsposten zu; über die sichtbare Verbindung; auf Grad I und auf Grad I; an der D-Stelle.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
42	G407-E3040	G407-S462	f81v	BIOLOGICAL	ykeshey	Y+K+E+SH+E+Y	GDT575-D060	E	DISTINCT_ACTION_OCCURRENCES	p2:E→ACTION:G407-E3040@1:K[POST_HEAD] | p4:E→ACTION:G407-E3040@3:SH[POST_HEAD]	1	YES	Führe den äußeren Stationsposten und den inneren Stationsposten zu und halte den äußeren Stationsposten und den inneren Stationsposten; auf Grad I und auf Grad I.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
43	G407-E3041	G407-S462	f81v	BIOLOGICAL	dchsed	D_ADDR+CH+S+E+D_ADDR	GDT575-D061	D_ADDR	DISTINCT_ACTION_OCCURRENCES	p0:D_ADDR→ACTION:G407-E3041@1:CH[PRE_HEAD] | p4:D_ADDR→ACTION:G407-E3041@2:S[POST_HEAD]	1	YES	Entnimm denselben Stationsposten und wähle ihn; auf Grad I; an der D-Stelle und an der D-Stelle.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
44	G407-E3278	G407-S513	f82r	BIOLOGICAL	deeedy	D_ADDR+EEE+D_ADDR+Y	GDT575-D063	D_ADDR	ACTIVE_CONTEXT_HEAD	p0:D_ADDR→ACTION:G407-E3277@0:OK[ACTIVE_CONTEXT] | p2:D_ADDR→ACTION:G407-E3277@0:OK[ACTIVE_CONTEXT]	1	YES	Im laufenden Gang setze den Stationsposten im Stationsgang an; auf Grad III; an der D-Stelle und an der D-Stelle.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
45	G407-E3377	G407-S535	f82r	BIOLOGICAL	qoesedy	CARRIER_Q+O+E+S+E+DY	GDT575-D064	E	BRACKETING_SAME_HEAD	p2:E→ACTION:G407-E3377@3:S[PRE_HEAD] | p4:E→ACTION:G407-E3377@3:S[POST_HEAD]	1	YES	Wähle denselben Stationsposten; als neuen Einsatz, als Ausführung, auf Grad I und auf Grad I; schließe den Schritt.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
46	G407-E3528	G407-S576	f83r	BIOLOGICAL	checphedy	CH+E+CH+P+E+DY	GDT575-D065	E	DISTINCT_ACTION_OCCURRENCES	p1:E→ACTION:G407-E3528@0:CH[POST_HEAD] | p4:E→ACTION:G407-E3528@3:P[POST_HEAD]	1	YES	Entnimm dieselbe Stationseinheit und entnimm sie und setze sie ein; auf Grad I und auf Grad I; schließe den Schritt.	RENDER_WHOLE_EVENT_ONCE_FROM_ORDERED_SLOT_HEAD_TRACE	EVENT_LEVEL_OVERLAP_CONTROL__NEVER_RENDER_GROUPS_INDEPENDENTLY
