mode	record	block_id	origin	topic	previous_topic	kind	end_before	end_reason	actions	predicate_count	complete_predicates	different_from_L1	different_from_T0	row_status
L1	F83_P1	L1:f83r.1:6	f83r.1:6	A	NA	INITIAL	f83r.3:7	NEXT_TOPIC_SWITCH	f83r.2:10	1	1	0	0	recorded
L1	F83_P1	L1:f83r.3:7	f83r.3:7	C	A	SWITCH	f83r.4:7	NEXT_TOPIC_SWITCH	f83r.4:2	1	1	0	1	recorded
L1	F83_P1	L1:f83r.4:7	f83r.4:7	A	C	SWITCH	f83r.6:8	NEXT_TOPIC_SWITCH	f83r.4:9,f83r.6:6,f83r.6:7	3	3	0	0	recorded
L1	F83_P1	L1:f83r.6:8	f83r.6:8	C	A	SWITCH	RECORD_END	RECORD_END	f83r.8:5	1	1	0	1	recorded
L1	F83_P2	L1:f83r.11:2	f83r.11:2	A	NA	INITIAL	f83r.11:9	NEXT_TOPIC_SWITCH	NONE	0	0	0	0	recorded
L1	F83_P2	L1:f83r.11:9	f83r.11:9	C	A	SWITCH	f83r.13:3	NEXT_TOPIC_SWITCH	NONE	0	0	0	0	recorded
L1	F83_P2	L1:f83r.13:3	f83r.13:3	A	C	SWITCH	f83r.14:6	NEXT_TOPIC_SWITCH	f83r.14:2	1	1	0	0	recorded
L1	F83_P2	L1:f83r.14:6	f83r.14:6	C	A	SWITCH	RECORD_END	RECORD_END	f83r.16:5	1	1	0	1	recorded
L1	F83_P3	L1:f83r.18:4	f83r.18:4	A	NA	INITIAL	f83r.19:11	NEXT_TOPIC_SWITCH	NONE	0	0	0	0	recorded
L1	F83_P3	L1:f83r.19:11	f83r.19:11	C	A	SWITCH	f83r.23:4	NEXT_TOPIC_SWITCH	f83r.21:5,f83r.22:3,f83r.22:5	3	2	0	3	recorded
L1	F83_P3	L1:f83r.23:4	f83r.23:4	A	C	SWITCH	RECORD_END	RECORD_END	f83r.23:9	1	1	0	0	recorded
L1	F83_P4	L1:f83r.26:5	f83r.26:5	A	NA	INITIAL	RECORD_END	RECORD_END	f83r.27:2,f83r.27:3,f83r.30:3	3	1	0	0	recorded
L1	F83_P5	L1:f83r.32:3	f83r.32:3	C	NA	INITIAL	f83r.37:5	NEXT_TOPIC_SWITCH	NONE	0	0	0	0	recorded
L1	F83_P5	L1:f83r.37:5	f83r.37:5	A	C	SWITCH	f83r.41:2	NEXT_TOPIC_SWITCH	NONE	0	0	0	0	recorded
L1	F83_P5	L1:f83r.41:2	f83r.41:2	C	A	SWITCH	f83r.44:2	NEXT_TOPIC_SWITCH	f83r.42:5,f83r.43:3	2	2	0	0	recorded
L1	F83_P5	L1:f83r.44:2	f83r.44:2	A	C	SWITCH	RECORD_END	RECORD_END	NONE	0	0	0	0	recorded
T0	F83_P1	T0:f83r.1:6	f83r.1:6	A	NA	INITIAL	RECORD_END	RECORD_END	f83r.2:10,f83r.4:2,f83r.4:9,f83r.6:6,f83r.6:7,f83r.8:5	6	6	2	0	recorded
T0	F83_P2	T0:f83r.11:2	f83r.11:2	A	NA	INITIAL	RECORD_END	RECORD_END	f83r.14:2,f83r.16:5	2	2	1	0	recorded
T0	F83_P3	T0:f83r.18:4	f83r.18:4	A	NA	INITIAL	RECORD_END	RECORD_END	f83r.21:5,f83r.22:3,f83r.22:5,f83r.23:9	4	3	3	0	recorded
T0	F83_P4	T0:f83r.26:5	f83r.26:5	A	NA	INITIAL	RECORD_END	RECORD_END	f83r.27:2,f83r.27:3,f83r.30:3	3	1	0	0	recorded
T0	F83_P5	T0:f83r.32:3	f83r.32:3	C	NA	INITIAL	RECORD_END	RECORD_END	f83r.42:5,f83r.43:3	2	2	0	0	recorded
