statement_id	record_unit_id	page	field_path	event_count	operating_mode_sequence	primary_operating_mode	event_mode_trace	visual_owner_bindings	owner_transition	procedure_block_id	procedure_block_role	fluent_imperative_de	mode_reading_de
B1-S011	B1	f81v	F033	2	PASS_FILTER>CHARGE	CHARGE	E139:PASS_FILTER|E140:CHARGE	F033=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F033:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	NONE	NONE	Leite den Posten hindurch; dann setze den Posten ein ↪	Beschicken
B1-S012	B1	f81v	F034	3	PASS_FILTER>TREAT>PASS_FILTER	PASS_FILTER	E141:PASS_FILTER|E142:TREAT|E143:PASS_FILTER	F034=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F034:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	NONE	NONE	Führe einen Waschgang aus; dann lass ihn kurz einwirken; dann führe einen Waschgang aus;	Durchlassen/Filtern
B1-S013	B1	f81v	F035	1	PASS_FILTER	PASS_FILTER	E144:PASS_FILTER	F035=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F035:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	NONE	NONE	Führe einen Waschgang aus;	Durchlassen/Filtern
B1-S014	B1	f81v	F036	5	CHARGE>LOCAL_CONTROL>DISCHARGE>LOCAL_CONTROL	LOCAL_CONTROL	E145:CHARGE|E146:LOCAL_CONTROL|E147:DISCHARGE|E148:LOCAL_CONTROL|E149:LOCAL_CONTROL	F036=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F036:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	NONE	NONE	Führe den Posten über; dann führe auf dem Weg weiter; dann führe ihn am Ziel ab; dann arbeite weiter; dann wechsle zur folgenden Quelle ↪	Lokal steuern
B1-S015	B1	f81v	F037	2	LOCAL_CONTROL>CHARGE	CHARGE	E150:LOCAL_CONTROL|E151:CHARGE	F037=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F037:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	NONE	NONE	Nimm einen kleinen Teil; dann führe den vorigen Posten über;	Beschicken
B1-S016	B1	f81v	F038	4	CHARGE>TREAT>LOCAL_CONTROL>SETTLE	SETTLE	E152:CHARGE|E153:TREAT|E154:LOCAL_CONTROL|E155:SETTLE	F038=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F038:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	NONE	NONE	Setze ihn dort ein; dann lass ihn länger einwirken; dann arbeite weiter; dann lass ihn kurz absetzen;	Absetzen/Sammeln
B1-S017	B1	f81v	F039	3	LOCAL_CONTROL>CHARGE	CHARGE	E156:LOCAL_CONTROL|E157:LOCAL_CONTROL|E158:CHARGE	F039=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F039:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	NONE	NONE	Führe ihn dorthin; dann führe ihn kurz weiter; dann führe ihn über;	Beschicken
B1-S018	B1	f81v	F040|F041	4	LOCAL_CONTROL>MEASURE>SETTLE	SETTLE	E159:LOCAL_CONTROL|E160:LOCAL_CONTROL|E161:MEASURE|E162:SETTLE	F040=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL > F041=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F040:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL] -> INHERIT_OWNER[F041:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	NONE	NONE	Stelle das Auffanggefäß bereit; dann öffne das nächste Feld; dann halte ihn kurz; dann stelle die Arbeitsstufe ein; dann sammle ihn lange;	Absetzen/Sammeln
B1-S019	B1	f81v	F042	1	SETTLE	SETTLE	E163:SETTLE	F042=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F042:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	NONE	NONE	Lass ihn kurz absetzen;	Absetzen/Sammeln
B1-S020	B1	f81v	F043	2	TREAT>PASS_FILTER	PASS_FILTER	E164:TREAT|E165:PASS_FILTER	F043=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F043:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL]	NONE	NONE	Wärme ihn kurz; dann lass ihn hindurch;	Durchlassen/Filtern
B1-S021	B1	f81v	F044	1	LOCAL_CONTROL	LOCAL_CONTROL	E166:LOCAL_CONTROL	F044=INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL	INHERIT_OWNER[F044:INHERITED_VISIBLE:B1_SHARED_TWO_ROW_POOL] -> RESET_AT_RECORD_END	NONE	NONE	Führe ihn dorthin …	Lokal steuern
B2-S001	B2	f82r	F045	1	CHARGE	CHARGE	E167:CHARGE	F045=DIRECT_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER	RESET_RECORD -> SET_DIRECT_OWNER[F045:DIRECT_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER]	PB02	UPPER_PAIR_BALANCE_AND_LINK_CHECK	Führe den Posten über;	Beschicken
B2-S002	B2	f82r	F046	1	LOCAL_CONTROL	LOCAL_CONTROL	E168:LOCAL_CONTROL	F046=INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER	INHERIT_OWNER[F046:INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER]	PB02	UPPER_PAIR_BALANCE_AND_LINK_CHECK	Führe ihn weiter;	Lokal steuern
B2-S003	B2	f82r	F047	3	CHARGE>LOCAL_CONTROL>TREAT	TREAT	E169:CHARGE|E170:LOCAL_CONTROL|E171:TREAT	F047=INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER	INHERIT_OWNER[F047:INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER]	NONE	NONE	Gib einen Anteil zu; dann halte diesen Posten aktiv; dann lass ihn lange einwirken;	Behandeln
B2-S004	B2	f82r	F048|F049	5	CHARGE>DISCHARGE>TREAT>DISCHARGE	DISCHARGE	E172:CHARGE|E173:DISCHARGE|E174:DISCHARGE|E175:TREAT|E176:DISCHARGE	F048=INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER > F049=INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER	INHERIT_OWNER[F048:INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER] -> INHERIT_OWNER[F049:INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER]	NONE	NONE	Setze ihn dort ein; dann führe ihn durch die Abführpassage; dann führe ihn ab; dann öffne das nächste Feld; dann lass ihn länger einwirken; dann ziehe die getrennte Fraktion ab;	Abführen
B2-S005	B2	f82r	F050|F051	8	LOCAL_CONTROL>PASS_FILTER>MEASURE>LOCAL_CONTROL>TREAT>DISCHARGE	DISCHARGE	E177:LOCAL_CONTROL|E178:LOCAL_CONTROL|E179:PASS_FILTER|E180:MEASURE|E181:MEASURE|E182:LOCAL_CONTROL|E183:TREAT|E184:DISCHARGE	F050=INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER > F051=INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER	INHERIT_OWNER[F050:INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER] -> INHERIT_OWNER[F051:INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER]	NONE	NONE	Setze ihn am Ziel ein; dann sammle ihn bis zur Sollmenge; dann leite den Posten hindurch; dann messe den Posten ab und lies die Randwiederholung nur einmal; dann öffne das nächste Feld; dann setze den nächsten Durchgang an; dann wärme ihn lange; dann ziehe ihn ab;	Abführen
B2-S006	B2	f82r	F052	4	LOCAL_CONTROL>CHARGE>PASS_FILTER>CHARGE	CHARGE	E185:LOCAL_CONTROL|E186:CHARGE|E187:PASS_FILTER|E188:CHARGE	F052=INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER	INHERIT_OWNER[F052:INHERITED_VISIBLE:B2_UPPER_PAIRED_BASINS_AND_CYLINDER]	NONE	NONE	Führe ihn länger im Folgegang weiter; dann setze ihn dort ein; dann führe ihn kurz hindurch; dann setze den Posten ein ↪	Beschicken
B2-S007	B2	f82r	F053	1	LOCAL_CONTROL	LOCAL_CONTROL	E189:LOCAL_CONTROL	F053=DIRECT_VISIBLE:B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	BREAK_VISIBLE_GAP -> SET_DIRECT_OWNER[F053:DIRECT_VISIBLE:B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]	NONE	NONE	Lass frische Spülflüssigkeit ein;	Lokal steuern
B2-S008	B2	f82r	F054	3	MEASURE>LOCAL_CONTROL>SETTLE	SETTLE	E190:MEASURE|E191:LOCAL_CONTROL|E192:SETTLE	F054=INHERITED_VISIBLE:B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	INHERIT_OWNER[F054:INHERITED_VISIBLE:B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]	NONE	NONE	Arbeite danach nach dem nächsten Maß; dann setze den Quellposten ein; dann lass ihn kurz absetzen;	Absetzen/Sammeln
B2-S009	B2	f82r	F055	1	SETTLE	SETTLE	E193:SETTLE	F055=INHERITED_VISIBLE:B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	INHERIT_OWNER[F055:INHERITED_VISIBLE:B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]	NONE	NONE	Lass danach den nächsten Posten absetzen;	Absetzen/Sammeln
B2-S010	B2	f82r	F056	4	TREAT>CHARGE>DISCHARGE>PASS_FILTER	PASS_FILTER	E194:TREAT|E195:CHARGE|E196:DISCHARGE|E197:PASS_FILTER	F056=INHERITED_VISIBLE:B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	INHERIT_OWNER[F056:INHERITED_VISIBLE:B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE]	NONE	NONE	Lass ihn länger einwirken; dann setze den Posten ein; dann führe zum Auslass; dann nimm den klaren Ablauf ↪	Durchlassen/Filtern
B2-S011	B2	f82r	F057	4	CHARGE>LOCAL_CONTROL>CHARGE>TREAT	TREAT	E198:CHARGE|E199:LOCAL_CONTROL|E200:CHARGE|E201:TREAT	F057=UNRESOLVED:B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	BREAK_VISIBLE_GAP -> SET_UNRESOLVED_OWNER[F057:UNRESOLVED:B2_MIDDLE_RIGHT_AMBIGUOUS_STATION]	NONE	NONE	Gib einen Anteil zu; dann nimm davon; dann gib einen Anteil zu; dann lass ihn lange einwirken;	Behandeln
B2-S012	B2	f82r	F058|F059	8	DISCHARGE>PASS_FILTER>LOCAL_CONTROL>TREAT>DISCHARGE>MEASURE>LOCAL_CONTROL	LOCAL_CONTROL	E202:DISCHARGE|E203:PASS_FILTER|E204:LOCAL_CONTROL|E205:TREAT|E206:DISCHARGE|E207:MEASURE|E208:LOCAL_CONTROL|E209:LOCAL_CONTROL	F058=UNRESOLVED:B2_MIDDLE_RIGHT_AMBIGUOUS_STATION > F059=DIRECT_VISIBLE:B2_LOWER_GREEN_MULTI_FIGURE_POOL	KEEP_UNRESOLVED_OWNER[F058:UNRESOLVED:B2_MIDDLE_RIGHT_AMBIGUOUS_STATION] -> BREAK_VISIBLE_GAP -> SET_DIRECT_OWNER[F059:DIRECT_VISIBLE:B2_LOWER_GREEN_MULTI_FIGURE_POOL]	NONE	NONE	Nimm das abzuführende Gut; dann öffne das nächste Feld; dann setze den sichtbaren Besitzer neu; dann nimm den klaren Ablauf; dann bereite ihn kurz vor; dann lass ihn länger einwirken; dann ziehe den klaren Anteil ab; dann arbeite nach dem vorgeschriebenen Maß; dann halte diesen Posten aktiv; dann setze ihn vollständig ein;	Lokal steuern
B2-S013	B2	f82r	F060	1	DISCHARGE	DISCHARGE	E210:DISCHARGE	F060=INHERITED_VISIBLE:B2_LOWER_GREEN_MULTI_FIGURE_POOL	INHERIT_OWNER[F060:INHERITED_VISIBLE:B2_LOWER_GREEN_MULTI_FIGURE_POOL]	PB03	LOWER_POOL_DISCHARGE_AND_RESTART	Führe ihn ab;	Abführen
B2-S014	B2	f82r	F061	1	DISCHARGE	DISCHARGE	E211:DISCHARGE	F061=INHERITED_VISIBLE:B2_LOWER_GREEN_MULTI_FIGURE_POOL	INHERIT_OWNER[F061:INHERITED_VISIBLE:B2_LOWER_GREEN_MULTI_FIGURE_POOL]	PB03	LOWER_POOL_DISCHARGE_AND_RESTART	Ziehe ihn aus der Quelle ab ↪	Abführen
B2-S015	B2	f82r	F062	2	PASS_FILTER>TREAT	TREAT	E212:PASS_FILTER|E213:TREAT	F062=DIRECT_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS	BREAK_VISIBLE_GAP -> SET_DIRECT_OWNER[F062:DIRECT_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS]	NONE	NONE	Nimm danach den klaren Ablauf; dann lass ihn lange einwirken;	Behandeln
B2-S016	B2	f82r	F063|F064	8	LOCAL_CONTROL>DISCHARGE>LOCAL_CONTROL>MEASURE>LOCAL_CONTROL>MEASURE>TREAT>CHARGE	CHARGE	E214:LOCAL_CONTROL|E215:DISCHARGE|E216:LOCAL_CONTROL|E217:MEASURE|E218:LOCAL_CONTROL|E219:MEASURE|E220:TREAT|E221:CHARGE	F063=INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS > F064=INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS	INHERIT_OWNER[F063:INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS] -> INHERIT_OWNER[F064:INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS]	NONE	NONE	Führe ihn dorthin; dann führe ihn von der Quelle ab; dann teile den Posten; dann arbeite nach dem vorgeschriebenen Maß; dann führe ihn länger im Folgegang weiter; dann messe den Posten ab; dann lass ihn kurz einwirken; dann öffne das nächste Feld; dann führe ihn zu;	Beschicken
B2-S017	B2	f82r	F065	2	LOCAL_CONTROL	LOCAL_CONTROL	E222:LOCAL_CONTROL|E223:LOCAL_CONTROL	F065=INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS	INHERIT_OWNER[F065:INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS]	NONE	NONE	Halte den zugeführten Posten kurz am Ziel; dann schließe den Schritt am Ziel ab;	Lokal steuern
B2-S018	B2	f82r	F066	1	TREAT	TREAT	E224:TREAT	F066=INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS	INHERIT_OWNER[F066:INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS]	NONE	NONE	Lass ihn lange einwirken;	Behandeln
B2-S019	B2	f82r	F067	1	PASS_FILTER	PASS_FILTER	E225:PASS_FILTER	F067=INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS	INHERIT_OWNER[F067:INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS]	NONE	NONE	Wasche ihn vollständig;	Durchlassen/Filtern
B2-S020	B2	f82r	F068	1	MEASURE	MEASURE	E226:MEASURE	F068=INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS	INHERIT_OWNER[F068:INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS]	NONE	NONE	Führe die lange Folgestufe aus;	Messen/Einstellen
B2-S021	B2	f82r	F069	1	TREAT	TREAT	E227:TREAT	F069=INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS	INHERIT_OWNER[F069:INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS]	NONE	NONE	Lass ihn lange einwirken;	Behandeln
B2-S022	B2	f82r	F070	1	DISCHARGE	DISCHARGE	E228:DISCHARGE	F070=INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS	INHERIT_OWNER[F070:INHERITED_VISIBLE:B2_LOWER_POOL_EDGE_STATIONS] -> RESET_AT_RECORD_END	NONE	NONE	Führe ihn ab;	Abführen
B3-S001	B3	f83r	F071	1	SETTLE	SETTLE	E229:SETTLE	F071=DIRECT_VISIBLE:B3_UPPER_MARGIN_OPEN_FAN_STATION	RESET_RECORD -> SET_DIRECT_OWNER[F071:DIRECT_VISIBLE:B3_UPPER_MARGIN_OPEN_FAN_STATION]	NONE	NONE	Sammle ihn lange;	Absetzen/Sammeln
B3-S002	B3	f83r	F072	2	LOCAL_CONTROL>TREAT	TREAT	E230:LOCAL_CONTROL|E231:TREAT	F072=INHERITED_VISIBLE:B3_UPPER_MARGIN_OPEN_FAN_STATION	INHERIT_OWNER[F072:INHERITED_VISIBLE:B3_UPPER_MARGIN_OPEN_FAN_STATION]	NONE	NONE	Führe ihn danach dorthin; dann wärme ihn lange;	Behandeln
B3-S003	B3	f83r	F073	4	LOCAL_CONTROL>MEASURE>LOCAL_CONTROL>DISCHARGE	DISCHARGE	E232:LOCAL_CONTROL|E233:MEASURE|E234:LOCAL_CONTROL|E235:DISCHARGE	F073=INHERITED_VISIBLE:B3_UPPER_MARGIN_OPEN_FAN_STATION	INHERIT_OWNER[F073:INHERITED_VISIBLE:B3_UPPER_MARGIN_OPEN_FAN_STATION]	NONE	NONE	Halte diesen Posten aktiv; dann arbeite nach dem vorgeschriebenen Maß; dann halte diesen Posten aktiv; dann führe ihn ab;	Abführen
B3-S004	B3	f83r	F074	3	MEASURE>LOCAL_CONTROL	LOCAL_CONTROL	E236:MEASURE|E237:LOCAL_CONTROL|E238:LOCAL_CONTROL	F074=INHERITED_VISIBLE:B3_UPPER_MARGIN_OPEN_FAN_STATION	INHERIT_OWNER[F074:INHERITED_VISIBLE:B3_UPPER_MARGIN_OPEN_FAN_STATION]	NONE	NONE	Messe den Posten ab; dann führe ihn danach dorthin; dann nimm davon ↪	Lokal steuern
B3-S005	B3	f83r	F075	1	CHARGE	CHARGE	E239:CHARGE	F075=DIRECT_VISIBLE:B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	BREAK_VISIBLE_GAP -> SET_DIRECT_OWNER[F075:DIRECT_VISIBLE:B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION]	NONE	NONE	Führe den Posten über;	Beschicken
B3-S006	B3	f83r	F076	3	CHARGE>LOCAL_CONTROL	LOCAL_CONTROL	E240:CHARGE|E241:CHARGE|E242:LOCAL_CONTROL	F076=INHERITED_VISIBLE:B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	INHERIT_OWNER[F076:INHERITED_VISIBLE:B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION]	NONE	NONE	Führe den aktuellen Posten über; dann setze ihn dort ein; dann führe ihn weiter;	Lokal steuern
B3-S007	B3	f83r	F077	3	MEASURE>CHARGE>TREAT	TREAT	E243:MEASURE|E244:CHARGE|E245:TREAT	F077=INHERITED_VISIBLE:B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	INHERIT_OWNER[F077:INHERITED_VISIBLE:B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION]	NONE	NONE	Messe den Posten ab; dann führe den Posten über; dann lass ihn lange einwirken;	Behandeln
B3-S008	B3	f83r	F078	1	DISCHARGE	DISCHARGE	E246:DISCHARGE	F078=INHERITED_VISIBLE:B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	INHERIT_OWNER[F078:INHERITED_VISIBLE:B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION]	NONE	NONE	Führe ihn ab;	Abführen
B3-S009	B3	f83r	F079	1	CHARGE	CHARGE	E247:CHARGE	F079=INHERITED_VISIBLE:B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	INHERIT_OWNER[F079:INHERITED_VISIBLE:B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION]	NONE	NONE	Setze den Posten ein ↪	Beschicken
B3-S010	B3	f83r	F080	2	CHARGE>LOCAL_CONTROL	LOCAL_CONTROL	E248:CHARGE|E249:LOCAL_CONTROL	F080=DIRECT_VISIBLE:B3_LOWER_MARGIN_BASKET_VESSEL_STATION	BREAK_VISIBLE_GAP -> SET_DIRECT_OWNER[F080:DIRECT_VISIBLE:B3_LOWER_MARGIN_BASKET_VESSEL_STATION]	NONE	NONE	Führe ihn dem Ziel zu; dann führe ihn kurz zum Folgeschritt weiter;	Lokal steuern
B3-S011	B3	f83r	F081	4	CHARGE>LOCAL_CONTROL	LOCAL_CONTROL	E250:CHARGE|E251:CHARGE|E252:CHARGE|E253:LOCAL_CONTROL	F081=INHERITED_VISIBLE:B3_LOWER_MARGIN_BASKET_VESSEL_STATION	INHERIT_OWNER[F081:INHERITED_VISIBLE:B3_LOWER_MARGIN_BASKET_VESSEL_STATION]	NONE	NONE	Führe die vorbereitete Portion über; dann setze den Posten ein; dann führe den Posten über; dann nimm den Posten aus der Quelle ↪	Lokal steuern
B3-S012	B3	f83r	F082	2	CHARGE>SETTLE	SETTLE	E254:CHARGE|E255:SETTLE	F082=INHERITED_VISIBLE:B3_LOWER_MARGIN_BASKET_VESSEL_STATION	INHERIT_OWNER[F082:INHERITED_VISIBLE:B3_LOWER_MARGIN_BASKET_VESSEL_STATION]	NONE	NONE	Verwende den Ansatz; dann lass ihn kurz absetzen;	Absetzen/Sammeln
