page	locus	ordinal	surface	sister_surface	v61_literal_gloss_de	v62_literal_gloss_de	v62_class	formal_dy_status	action_before	action_after	preservation_rule
f113v	f113v.12	1	solchedy	solchey	fertig getrockneter Saatgutstoff	bis zur Mittelstufe fertig getrockneter Saatgutansatz	RESULT_PARTICIPLE	NO_FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f113v	f113v.17	2	shedy	shey	fertige mittlere Feuchtstufe	mittlere Feuchtstufe erreicht	RESULT_PARTICIPLE	FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f114r	f114r.26	8	cheody	cheoy	fertiger Trockenansatz	getrockneter Ansatz	FIELD_END	NO_FORMAL_DY	0	0	SAME_RECIPE_TARGET_WHOLE_CARD__NO_VISIBLE_D_SEMANTIC_LOAD
f115r	f115r.1	4	otedy	otey	fertiger kalter Ansatz, Mittelstufe	kalter Ansatz, Mittelstufe erreicht	RESULT_PARTICIPLE	MIXED_FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f115r	f115r.1	10	oteedy	oteey	fertiger kalter Ansatz, Endstufe	kalter Ansatz am Ende des Grades	FIELD_END	FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f115r	f115r.1	11	qotchedy	qotchey	fertige kalt-trockene Mittelstufe	kalt-trockene Mittelstufe erreicht	RESULT_PARTICIPLE	FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f115r	f115r.23	4	chody	choy	fertiger Trockenansatz	leicht abgeschlossener Trockenansatz	RESULT_PARTICIPLE	NO_FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f115r	f115r.23	11	chedy	chey	fertige mittlere Trockenstufe	mittlere Trockenstufe erreicht	RESULT_PARTICIPLE	NO_FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f115r	f115r.23	12	qokchedy	qokchey	fertige heiß-trockene Mittelstufe	heiß-trockene Mittelstufe erreicht	RESULT_PARTICIPLE	NO_FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f115r	f115r.23	13	ldy	ly	fertig aufbereitete Holzdroge	fertig aufbereitetes Drogenholz	RESULT_PARTICIPLE	FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f116r	f116r.12	9	olchdy	olchy	Trockenstoff vollständig trocknen	Holzdroge im Ansatz fertig getrocknet	RESULT_PARTICIPLE	FORMAL_DY	1	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f26r	f26r.2	5	chedy	chey	fertige mittlere Trockenstufe	mittlere Trockenstufe erreicht	RESULT_PARTICIPLE	NO_FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f26r	f26r.2	6	ytedy	ytey	hiervon bis zur Mittelstufe abkühlen	hiervon bis zur Mittelstufe abkühlen und abschließen	FIELD_END	FORMAL_DY	1	1	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f26r	f26r.2	8	checthedy	checthey	Krautdroge in zwei mäßigen Trockengängen fertig trocknen	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	FIELD_END	UNRESOLVED	1	1	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f76v	f76v.10	4	dshedy	dshey	eine abgemessene Portion Droge bis zur Mittelstufe einweichen	bis zur Mittelstufe angefeuchtete Drogenportion	FIELD_END	FORMAL_DY	1	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f76v	f76v.10	5	shedy	shey	fertige mittlere Feuchtstufe	mittlere Feuchtstufe erreicht	RESULT_PARTICIPLE	FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f76v	f76v.10	6	tchedy	tchey	fertige kalt-trockene Mittelstufe	kalt-trockene Mittelstufe erreicht	RESULT_PARTICIPLE	NO_FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f77r	f77r.38	2	shedy	shey	fertige mittlere Feuchtstufe	mittlere Feuchtstufe erreicht	RESULT_PARTICIPLE	FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f77r	f77r.38	3	qoeedy	qoeey	den vollständig fertigen Ansatz nehmen	nimm die Endportion hinzu	FIELD_END	NO_FORMAL_DY	1	1	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f77r	f77r.38	8	shedy	shey	fertige mittlere Feuchtstufe	mittlere Feuchtstufe erreicht	RESULT_PARTICIPLE	FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f77v	f77v.7	1	olshedy	olshey	vollständig eingeweichte Holzdroge im Ansatz, fertig	bis zur Mittelstufe eingeweichte Drogenbasis, abgeschlossen	RESULT_PARTICIPLE	FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f77v	f77v.7	2	qolsheedy	qolsheey	vollständig eingeweichte Droge zugeben	vollständig eingeweichten Drogenstoff zugeben und abschließen	FIELD_END	FORMAL_DY	1	1	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f77v	f77v.7	5	ycheedy	ycheey	hiervon vollständig trocknen	hiervon bis zur Endstufe trocknen	FIELD_END	UNRESOLVED	1	1	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f77v	f77v.7	6	okedy	okey	fertiger heißer Ansatz, Mittelstufe	heißer Ansatz, Mittelstufe erreicht	RESULT_PARTICIPLE	FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f77v	f77v.7	7	lshedy	lshey	fertig eingeweichtes Drogenholz	vollständig eingeweichtes Drogenholz, Form I	RESULT_PARTICIPLE	FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f77v	f77v.7	10	chedy	chey	fertige mittlere Trockenstufe	mittlere Trockenstufe erreicht	RESULT_PARTICIPLE	NO_FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f7r	f7r.2	9	cheody	cheoy	fertiger Trockenansatz	getrockneter Ansatz	FIELD_END	NO_FORMAL_DY	0	0	SAME_RECIPE_TARGET_WHOLE_CARD__NO_VISIBLE_D_SEMANTIC_LOAD
f80v	f80v.35	12	ldy	ly	fertig aufbereitete Holzdroge	fertig aufbereitetes Drogenholz	RESULT_PARTICIPLE	FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f83v	f83v.12	7	qokeedy	qokeey	fertige heiße Endstufe	heiß am Ende des Grades	FIELD_END	FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f83v	f83v.12	9	sheedy	sheey	fertige feuchte Endstufe	feucht am Ende des Grades	FIELD_END	FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f86v3	f86v3.13	9	chedy	chey	fertige mittlere Trockenstufe	mittlere Trockenstufe erreicht	RESULT_PARTICIPLE	NO_FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f86v3	f86v3.18	3	qokchdy	qokchy	fertige heiß-trockene Anfangsstufe	heiß-trockene Anfangsstufe erreicht	RESULT_PARTICIPLE	FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f86v3	f86v3.18	6	sheody	sheoy	fertiger angefeuchteter Ansatz	feucht angesetzte Zubereitung auf Anfangsstufe, abgeschlossen	RESULT_PARTICIPLE	NO_FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f86v3	f86v3.19	6	kchdy	kchy	fertige heiß-trockene Anfangsstufe	heiß-trockene Anfangsstufe erreicht	RESULT_PARTICIPLE	NO_FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f86v3	f86v3.19	8	tchdy	tchy	fertige kalt-trockene Anfangsstufe	kalt-trockene Anfangsstufe erreicht	RESULT_PARTICIPLE	UNRESOLVED	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f86v6	f86v6.25	1	yteedy	yteey	hiervon vollständig abkühlen	hiervon bis zur Endstufe abkühlen	FIELD_END	UNRESOLVED	1	1	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f86v6	f86v6.4	2	shdy	shy	fertige feuchte Anfangsstufe	feuchte Anfangsstufe erreicht	RESULT_PARTICIPLE	NO_FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f86v6	f86v6.4	6	olkeedy	olkeey	vollständig erhitzter Holzdrogenansatz, fertig	Holzdrogenansatz vollständig erhitzt	FIELD_END	FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f95v1	f95v1.7	8	chdy	chy	fertige Trocken-Anfangsstufe	trockene Anfangsstufe erreicht	RESULT_PARTICIPLE	NO_FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
f95v1	f95v1.7	9	kchdy	kchy	fertige heiß-trockene Anfangsstufe	heiß-trockene Anfangsstufe erreicht	RESULT_PARTICIPLE	NO_FORMAL_DY	0	0	KEEP_SISTER_HEAD_DEGREE_AND_BASE_ACTION__ADD_ONLY_SELECTED_DY_EFFECT
