page	locus	changed_ordinals	changed_surfaces	v61_action_ordinals	v62_action_ordinals	v61_practical_translation_de	v62_practical_translation_de	revision_rule
f115r	f115r.23	4|11|12|13	chody|chedy|qokchedy|ldy	1|3|5	1|3|5	Eine abgemessene Portion bis zur Mittelstufe trocknen; heiß am Ende des Grades; heißen Auszug bereiten und abschließen; fertiger Trockenansatz; erhitze, trockne und setze an; Samen-/Saatgutposten; trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut; stark erhitzt, Endstufe III; stark erhitzt, Endstufe III; Holzstoff; fertige mittlere Trockenstufe; fertige heiß-trockene Mittelstufe; fertig aufbereitete Holzdroge.	Eine abgemessene Portion bis zur Mittelstufe trocknen; heiß am Ende des Grades; heißen Auszug bereiten und abschließen; leicht abgeschlossener Trockenansatz; erhitze, trockne und setze an; Samen-/Saatgutposten; trockenes CTH-Drogenmaterial; im Herbal trockenes Blatt-/Krautgut; stark erhitzt, Endstufe III; stark erhitzt, Endstufe III; Holzstoff; mittlere Trockenstufe erreicht; heiß-trockene Mittelstufe erreicht; fertig aufbereitetes Drogenholz.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f116r	f116r.12	9	olchdy	1|9	1	Zweiten Ansatz nehmen; Drogenfraktion I; nachgetrocknetes Drogenmaterial, Mittelstufe; heiß im Zubereitungsrahmen, Grad II; zwei Portionen des erhitzten nachgetrockneten Drogenmaterials; trocken am Ende des Grades; heißer Ansatz am Ende des Grades; kalt im Zubereitungsrahmen, Grad II; Trockenstoff vollständig trocknen; Rohstoffklasse I im Ansatz, kalt am Gradanfang; zwei Portionen der Rohdroge I im kalten Anfangsansatz; ein Maß Ansatz-/Drogenmaterial; Holzbindung offen.	Zweiten Ansatz nehmen; Drogenfraktion I; nachgetrocknetes Drogenmaterial, Mittelstufe; heiß im Zubereitungsrahmen, Grad II; zwei Portionen des erhitzten nachgetrockneten Drogenmaterials; trocken am Ende des Grades; heißer Ansatz am Ende des Grades; kalt im Zubereitungsrahmen, Grad II; Holzdroge im Ansatz fertig getrocknet; Rohstoffklasse I im Ansatz, kalt am Gradanfang; zwei Portionen der Rohdroge I im kalten Anfangsansatz; ein Maß Ansatz-/Drogenmaterial; Holzbindung offen.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f26r	f26r.2	5|6|8	chedy|ytedy|checthedy	4|6|8	4|6|8	Fertige abgemessene Mittelstufen-Trockenportion; Menge III; gleicher abgemessener Teil des fertigen Ansatzes; hiervon Blatt- oder Krautdroge bis zur Mittelstufe erhitzen und abschließen; fertige mittlere Trockenstufe; hiervon bis zur Mittelstufe abkühlen; Krautdroge in zwei mäßigen Trockengängen fertig trocknen; eine Charge Holzdroge.	Fertige abgemessene Mittelstufen-Trockenportion; Menge III; gleicher abgemessener Teil des fertigen Ansatzes; hiervon Blatt- oder Krautdroge bis zur Mittelstufe erhitzen und abschließen; mittlere Trockenstufe erreicht; hiervon bis zur Mittelstufe abkühlen und abschließen; Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen; eine Charge Holzdroge.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f76v	f76v.10	4|5|6	dshedy|shedy|tchedy	1|3|4	1|3	Eine Portion Arzneikompositum abmessen; feuchte abgemessene Rohstoffmenge I in der Gradmitte; fertig getrocknetes Pulver nehmen; eine abgemessene Portion Droge bis zur Mittelstufe einweichen; fertige mittlere Feuchtstufe; fertige kalt-trockene Mittelstufe; Rohholzdroge I, vollständig eingeweicht und kaltgestellt; bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum; drei Portionen des eingeweichten Arzneikompositums.	Eine Portion Arzneikompositum abmessen; feuchte abgemessene Rohstoffmenge I in der Gradmitte; fertig getrocknetes Pulver nehmen; bis zur Mittelstufe angefeuchtete Drogenportion; mittlere Feuchtstufe erreicht; kalt-trockene Mittelstufe erreicht; Rohholzdroge I, vollständig eingeweicht und kaltgestellt; bis zur Mittelstufe eingeweichtes und abgeschlossenes Arzneikompositum; drei Portionen des eingeweichten Arzneikompositums.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f77r	f77r.38	2|3|8	shedy|qoeedy|shedy	3|6|9	3|6|9	Pulverstoff; fertige mittlere Feuchtstufe; den vollständig fertigen Ansatz nehmen; heiß, Grad III; bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum; Drogenstoff zugeben; Holzdroge, kalt auf Stufe III; fertige mittlere Feuchtstufe; Drogenstoff zugeben.	Pulverstoff; mittlere Feuchtstufe erreicht; nimm die Endportion hinzu; heiß, Grad III; bis zur Mittelstufe getrocknetes und abgeschlossenes Arzneikompositum; Drogenstoff zugeben; Holzdroge, kalt auf Stufe III; mittlere Feuchtstufe erreicht; Drogenstoff zugeben.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f77v	f77v.7	1|2|5|6|7|10	olshedy|qolsheedy|ycheedy|okedy|lshedy|chedy	2|3|5|11	2|3|5|11	Vollständig eingeweichte Holzdroge im Ansatz, fertig; vollständig eingeweichte Droge zugeben; hiervon nehmen; getrocknete Wurzeldroge; hiervon vollständig trocknen; fertiger heißer Ansatz, Mittelstufe; fertig eingeweichtes Drogenholz; Trockengut, Grundform; feuchte abgemessene Rohstoffmenge I am Gradanfang; fertige mittlere Trockenstufe; leicht erhitzten Drogenstoff hinzugeben.	Bis zur Mittelstufe eingeweichte Drogenbasis, abgeschlossen; vollständig eingeweichten Drogenstoff zugeben und abschließen; hiervon nehmen; getrocknete Wurzeldroge; hiervon bis zur Endstufe trocknen; heißer Ansatz, Mittelstufe erreicht; vollständig eingeweichtes Drogenholz, Form I; Trockengut, Grundform; feuchte abgemessene Rohstoffmenge I am Gradanfang; mittlere Trockenstufe erreicht; leicht erhitzten Drogenstoff hinzugeben.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f7r	f7r.2	9	cheody	1|5	1|5	Eine Dosis vollständig trocknen und abschließen; Ansatz auf mittlerer Heizstufe; Wurzel; Blüten-/Fruchtstand; reproduktiver Teil; Drogenstoff abmessen und abschließen; fertige abgemessene Mittelstufen-Trockenportion; heiß und trocken in der Mitte des Grades; kalt-trockener Ansatz am Anfang des Grades; fertiger Trockenansatz.	Eine Dosis vollständig trocknen und abschließen; Ansatz auf mittlerer Heizstufe; Wurzel; Blüten-/Fruchtstand; reproduktiver Teil; Drogenstoff abmessen und abschließen; fertige abgemessene Mittelstufen-Trockenportion; heiß und trocken in der Mitte des Grades; kalt-trockener Ansatz am Anfang des Grades; getrockneter Ansatz.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f80v	f80v.35	12	ldy	5|6	5|6	Kalt; Holzdrogenansatz, kalt auf Stufe II; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; Hierzu: Drogenstoff zugeben; Drogenstoff zugeben; heiß, Grad II; erhitzter Ansatz, Form III; Grundansatz; heiß, Grad II; feucht in der Mitte des Grades; fertig aufbereitete Holzdroge.	Kalt; Holzdrogenansatz, kalt auf Stufe II; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; Hierzu: Drogenstoff zugeben; Drogenstoff zugeben; heiß, Grad II; erhitzter Ansatz, Form III; Grundansatz; heiß, Grad II; feucht in der Mitte des Grades; fertig aufbereitetes Drogenholz.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f83v	f83v.12	7|9	qokeedy|sheedy	4	4	Drei Portionen feuchten Arzneikompositums; Arzneikompositum: feucht, Gradanfang; zweiter Mazerationsansatz; erste Holzdrogenfraktion abmessen; trocken am Ende des Grades; Rohstoffklasse I; fertige heiße Endstufe; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; fertige feuchte Endstufe; heiß, Grad II; Ansatz aus Holzrohstoff, Form I.	Drei Portionen feuchten Arzneikompositums; Arzneikompositum: feucht, Gradanfang; zweiter Mazerationsansatz; erste Holzdrogenfraktion abmessen; trocken am Ende des Grades; Rohstoffklasse I; heiß am Ende des Grades; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; feucht am Ende des Grades; heiß, Grad II; Ansatz aus Holzrohstoff, Form I.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f86v3	f86v3.13	9	chedy	3|10	3|10	Vollständig eingeweichter Ansatz; eine Portion vollständig eingeweichte Droge; abkühlen, bis zur Mittelstufe trocknen und ansetzen; heiß, Grad II; drei Portionen der ersten erhitzten Drogenfraktion im Ansatz; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; abgemessene Trockendroge, Dosis III; Hierzu: fertige mittlere Trockenstufe; einen gleichen Teil erhitzen; Trockengut, heiß auf Stufe II.	Vollständig eingeweichter Ansatz; eine Portion vollständig eingeweichte Droge; abkühlen, bis zur Mittelstufe trocknen und ansetzen; heiß, Grad II; drei Portionen der ersten erhitzten Drogenfraktion im Ansatz; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; abgemessene Trockendroge, Dosis III; Hierzu: mittlere Trockenstufe erreicht; einen gleichen Teil erhitzen; Trockengut, heiß auf Stufe II.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f86v3	f86v3.18	3|6	qokchdy|sheody	4	4	Drei Dosen bis Mittelstufe getrocknetes Pulver; fertige abgemessene Trockenportion; fertige heiß-trockene Anfangsstufe; nimm getrockneten Pulverstoff; feucht; fertiger angefeuchteter Ansatz; ein Maß erhitzter Saatgutzubereitung.	Drei Dosen bis Mittelstufe getrocknetes Pulver; fertige abgemessene Trockenportion; heiß-trockene Anfangsstufe erreicht; nimm getrockneten Pulverstoff; feucht; feucht angesetzte Zubereitung auf Anfangsstufe, abgeschlossen; ein Maß erhitzter Saatgutzubereitung.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f86v3	f86v3.19	6|8	kchdy|tchdy	1|3|4	1|3|4	Eine abgemessene Portion bis zur Mittelstufe trocknen; kalt im Zubereitungsrahmen, Grad II; Holzdrogenansatz mäßig erhitzen, trocknen und abschließen; nimm ein Maß und erhitze es; trocken; fertige heiß-trockene Anfangsstufe; trocken; fertige kalt-trockene Anfangsstufe; abgemessene Fraktion I; drei fertig abgeteilte Teile.	Eine abgemessene Portion bis zur Mittelstufe trocknen; kalt im Zubereitungsrahmen, Grad II; Holzdrogenansatz mäßig erhitzen, trocknen und abschließen; nimm ein Maß und erhitze es; trocken; heiß-trockene Anfangsstufe erreicht; trocken; kalt-trockene Anfangsstufe erreicht; abgemessene Fraktion I; drei fertig abgeteilte Teile.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f86v6	f86v6.25	1	yteedy	1|4|5	1|4|5	Hiervon vollständig abkühlen; heiße Drogenfraktion I; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; die erste Ansatzfraktion abmessen; erhitze hiervon auf Stufe III; Drogenportion; Ansatz vollständig bis zur letzten Heizstufe geführt; fertig getrockneter Blütenansatz; heiß, Grad III; ein Maß der ersten Drogenfraktion.	Hiervon bis zur Endstufe abkühlen; heiße Drogenfraktion I; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; die erste Ansatzfraktion abmessen; erhitze hiervon auf Stufe III; Drogenportion; Ansatz vollständig bis zur letzten Heizstufe geführt; fertig getrockneter Blütenansatz; heiß, Grad III; ein Maß der ersten Drogenfraktion.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f86v6	f86v6.4	2|6	shdy|olkeedy	NONE	NONE	Abgemessene Blüten-/Fruchtdroge; fertige feuchte Anfangsstufe; Blüten-/Fruchtstand; reproduktiver Teil; Grundansatz; Menge III; vollständig erhitzter Holzdrogenansatz, fertig; feuchte abgemessene Rohstoffmenge I am Gradanfang; eine Portion kalten Ansatzes, Mittelstufe; abgemessene Trockenfraktion I, Anfangsstufe; Holzdroge in der gebundenen Anschlussform; vollständig getrocknete Kräutercharge der ersten heißen Fraktion; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; ein Maß Rohdroge I.	Abgemessene Blüten-/Fruchtdroge; feuchte Anfangsstufe erreicht; Blüten-/Fruchtstand; reproduktiver Teil; Grundansatz; Menge III; Holzdrogenansatz vollständig erhitzt; feuchte abgemessene Rohstoffmenge I am Gradanfang; eine Portion kalten Ansatzes, Mittelstufe; abgemessene Trockenfraktion I, Anfangsstufe; Holzdroge in der gebundenen Anschlussform; vollständig getrocknete Kräutercharge der ersten heißen Fraktion; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; ein Maß Rohdroge I.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
f95v1	f95v1.7	8|9	chdy|kchdy	NONE	NONE	Eine Dosis bis zur Mittelstufe angefeuchtete Droge; heiß, Grad II; heiße Drogenfraktion I; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; trocken am Anfang des Grades; kalte Drogenfraktion I; kalte Drogenfraktion I im Ansatz; fertige Trocken-Anfangsstufe; fertige heiß-trockene Anfangsstufe; abgemessenes heißes Drogenmaterial, Stufe II; fertige erste kalte Ansatzfraktion.	Eine Dosis bis zur Mittelstufe angefeuchtete Droge; heiß, Grad II; heiße Drogenfraktion I; erste erhitzte Drogenfraktion im Ansatz; Holzbindung offen; trocken am Anfang des Grades; kalte Drogenfraktion I; kalte Drogenfraktion I im Ansatz; trockene Anfangsstufe erreicht; heiß-trockene Anfangsstufe erreicht; abgemessenes heißes Drogenmaterial, Stufe II; fertige erste kalte Ansatzfraktion.	SISTER_HEAD_STAGE_ACTION_PRESERVATION
