surface	positions	lines	v60_action_positions	v60_result_positions	v60_dispatch_class	v60_literal_gloss_de	derived_one_edit_sister	sister_occurrences_v48	sister_pages_v48	sister_source	sister_working_meaning_de	pair_status	v62_class	evidence_basis	transfer_policy	v62_literal_gloss_de	formal_dy_status	gdt515_recipes	gdt516_pair_recipe_relation	gdt516_bound_recipe	gdt516_sister_recipe	rationale_de
lkedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige erhitzte Holzdroge, Mittelstufe	lkey	2	2	V48_WORKING_CARD	Holzdroge bis zur mittleren Heizstufe	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	bis zur mittleren Heizstufe erhitzte Holzdroge	FORMAL_DY	L+K+E+DY	DIFFERENT_RECIPE	L+K+E+DY	L+K+E+Y	Erhitzte Holzdroge der Mittelstufe steht ausdrücklich erreichtem Ergebnis gegenüber.
lshedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertig eingeweichtes Drogenholz	lshey	6	4	V48_WORKING_CARD	eingeweichtes Drogenholz, Form I	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	vollständig eingeweichtes Drogenholz, Form I	FORMAL_DY	L+SH+E+DY	DIFFERENT_RECIPE	L+SH+E+DY	L+SH+E+Y	Eingeweichtes Drogenholz der Form I steht dem vollständig eingeweichten Resultat gegenüber.
okchedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger heiß-trockener Ansatz, Mittelstufe	okchey	12	12	V48_WORKING_CARD	heiß-trockener Ansatz in der Mitte des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	GRID_QUALITY_PAIR	GRID_RESULTATIVE_DEFAULT	heiß-trockener Ansatz, Mittelstufe erreicht	FORMAL_DY	OK+CHD+DY	DIFFERENT_RECIPE	OK+CHD+DY	OK+Y	Das Qualitätsraster kontrastiert heiß-trockene Mittelqualität mit fertiger Zustandsform.
okedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger heißer Ansatz, Mittelstufe	okey	12	5	V48_WORKING_CARD	heißer Ansatz in der Mitte des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	heißer Ansatz, Mittelstufe erreicht	FORMAL_DY	OK+E+DY	DIFFERENT_RECIPE	OK+E+DY	OK+E+Y	Heiße Mittelqualität steht einem fertigen heißen Mittelzustand gegenüber.
olchdy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	Trockenstoff vollständig trocknen	olchy	3	3	V48_WORKING_CARD	Holzdroge im Ansatz leicht getrocknet	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	HEAD_PRESERVING_RESULT_CORRECTION	PAIRED_SURFACE_RESULTATIVE_DEFAULT	Holzdroge im Ansatz fertig getrocknet	FORMAL_DY	OL+CHD+DY	DIFFERENT_RECIPE	OL+CHD+DY	OL+CH+Y	Die Schwester erzwingt Holzdroge und Ansatz; dy darf weder den Kopf zu Trockenstoff noch den Zustand zum Befehl wechseln.
olkeedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	vollständig erhitzter Holzdrogenansatz, fertig	olkeey	19	10	V48_WORKING_CARD	Holzdrogenansatz vollständig erhitzt	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	Holzdrogenansatz vollständig erhitzt	FORMAL_DY	OL+K+EE+DY	DIFFERENT_RECIPE	OL+K+EE+DY	OL+K+EE+Y	Vollständig erhitzt ist bereits endpunktgebunden; dy schließt nur das Feld.
olshedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	vollständig eingeweichte Holzdroge im Ansatz, fertig	olshey	4	3	V48_WORKING_CARD	eingeweichte Drogenbasis, Mittelstufe	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	HEAD_PRESERVING_RESULT_CORRECTION	PAIRED_SURFACE_RESULTATIVE_DEFAULT	bis zur Mittelstufe eingeweichte Drogenbasis, abgeschlossen	FORMAL_DY	OL+SH+E+DY	DIFFERENT_RECIPE	OL+SH+E+DY	OL+SH+E+Y	Dy darf die Drogenbasis nicht in eine neue Holzdroge umbenennen.
otchdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger kalt-trockener Anfangsansatz	otchy	7	6	V48_WORKING_CARD	kalt-trockener Ansatz am Anfang des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	GRID_QUALITY_PAIR	GRID_RESULTATIVE_DEFAULT	kalt-trockener Ansatz, Anfangsstufe erreicht	MIXED_FORMAL_DY	LOCAL_ADDRESS|OT+CHD+DY	DIFFERENT_RECIPE	OT+CHD+DY	OT+CH+Y	Das Qualitätsraster kontrastiert kalt-trockene Anfangsqualität mit fertiger Zustandsform.
oteedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger kalter Ansatz, Endstufe	oteey	35	14	V48_WORKING_CARD	kalter Ansatz am Ende des Grades	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	kalter Ansatz am Ende des Grades	FORMAL_DY	OT+EE+DY	DIFFERENT_RECIPE	OT+EE+DY	OT+EE+Y	Die Schwester liegt bereits am Gradende; fertig wäre doppelt gesprochen.
qoeedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	den vollständig fertigen Ansatz nehmen	qoeey	8	6	V48_WORKING_CARD	nimm die Endportion hinzu	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	nimm die Endportion hinzu	NO_FORMAL_DY	CARRIER_Q+O+EE+D_ADDR+Y	DIFFERENT_RECIPE	CARRIER_Q+O+EE+D_ADDR+Y	O+EE+Y	Die Schwester enthält Handlung und Endportion bereits vollständig; das sichtbare d ist formal kein DY und erhält keinen eigenen Bedeutungswert.
qokchdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige heiß-trockene Anfangsstufe	qokchy	17	12	V48_WORKING_CARD	heiß und trocken am Anfang des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	GRID_QUALITY_PAIR	GRID_RESULTATIVE_DEFAULT	heiß-trockene Anfangsstufe erreicht	FORMAL_DY	OK+CHD+DY	DIFFERENT_RECIPE	OK+CHD+DY	OK+Y	Das Qualitätsraster kontrastiert heiß-trockene Anfangsqualität mit fertiger Zustandsform.
qokchedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige heiß-trockene Mittelstufe	qokchey	6	4	V48_WORKING_CARD	heiß und trocken in der Mitte des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	GRID_QUALITY_PAIR	GRID_RESULTATIVE_DEFAULT	heiß-trockene Mittelstufe erreicht	NO_FORMAL_DY	OK+CHD+Y	DIFFERENT_RECIPE	OK+CHD+Y	OK+CH+E+Y	Das Qualitätsraster kontrastiert heiß-trockene Mittelqualität mit fertiger Zustandsform.
qokedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige heiße Mittelstufe	qokey	26	10	V48_WORKING_CARD	heiß in der Mitte des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	heiße Mittelstufe erreicht	FORMAL_DY	OK+E+DY	DIFFERENT_RECIPE	OK+E+DY	OK+E+Y	Heiße Mittelqualität steht einer fertigen heißen Mittelstufe gegenüber.
qokeedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige heiße Endstufe	qokeey	75	24	V48_WORKING_CARD	heiß am Ende des Grades	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	heiß am Ende des Grades	FORMAL_DY	OK+EE+DY	DIFFERENT_RECIPE	OK+EE+DY	OK+EE+Y	Die Schwester liegt bereits am Gradende; fertig wäre doppelt gesprochen.
qolsheedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	vollständig eingeweichte Droge zugeben	qolsheey	0	0	V48_WORKING_CARD	gib vollständig eingeweichten Drogenstoff hinzu und schließe ab	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	vollständig eingeweichten Drogenstoff zugeben und abschließen	FORMAL_DY	OL+SH+EE+DY	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Die Schwester schreibt bereits Zugeben und Abschluss; die dy-Form erhält keinen zusätzlichen Endpunktwert.
qotchedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige kalt-trockene Mittelstufe	qotchey	5	4	V48_WORKING_CARD	kalt und trocken in der Mitte des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	GRID_QUALITY_PAIR	GRID_RESULTATIVE_DEFAULT	kalt-trockene Mittelstufe erreicht	FORMAL_DY	OT+CHD+DY	DIFFERENT_RECIPE	OT+CHD+DY	OT+CHD+Y	Das Qualitätsraster kontrastiert kalt-trockene Mittelqualität mit fertiger Zustandsform.
shdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige feuchte Anfangsstufe	shy	28	16	V48_WORKING_CARD	feucht am Anfang des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	feuchte Anfangsstufe erreicht	NO_FORMAL_DY	SH+D_ADDR+Y	DIFFERENT_RECIPE	SH+D_ADDR+Y	Y	Offene Feucht-Anfangsqualität steht der erreichten feuchten Anfangsstufe gegenüber.
sheedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige feuchte Endstufe	sheey	41	21	V48_WORKING_CARD	feucht am Ende des Grades	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	feucht am Ende des Grades	FORMAL_DY	SH+EE+DY	DIFFERENT_RECIPE	SH+EE+DY	SH+EE+Y	Die Schwester liegt bereits am Gradende; fertig wäre doppelt gesprochen.
sheody	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger angefeuchteter Ansatz	sheoy	1	1	V48_WORKING_CARD	feucht angesetzte Zubereitung am Gradanfang	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	HEAD_PRESERVING_RESULT_CORRECTION	PAIRED_SURFACE_RESULTATIVE_DEFAULT	feucht angesetzte Zubereitung auf Anfangsstufe, abgeschlossen	NO_FORMAL_DY	SH+E+O+D_ADDR+Y	DIFFERENT_RECIPE	SH+E+O+D_ADDR+Y	SH+E+O+Y	Stoffkopf und Anfangsstufe der Schwester bleiben erhalten.
solchedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertig getrockneter Saatgutstoff	solchey	2	1	V48_WORKING_CARD	Saatgutansatz bis zur mittleren Stufe trocknen	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	HEAD_PRESERVING_RESULT_CORRECTION	PAIRED_SURFACE_RESULTATIVE_DEFAULT	bis zur Mittelstufe fertig getrockneter Saatgutansatz	NO_FORMAL_DY	S+OL+CHD+Y	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Dy darf den Saatgutansatz nicht in einen neuen Saatgutstoff umbenennen.
tchdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige kalt-trockene Anfangsstufe	tchy	3	3	V48_WORKING_CARD	kalt und trocken am Anfang des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	GRID_QUALITY_PAIR	GRID_RESULTATIVE_DEFAULT	kalt-trockene Anfangsstufe erreicht	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Das Qualitätsraster kontrastiert kalt-trockene Anfangsqualität mit fertiger Zustandsform.
tchedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige kalt-trockene Mittelstufe	tchey	6	6	V48_WORKING_CARD	kalt und trocken in der Mitte des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	GRID_QUALITY_PAIR	GRID_RESULTATIVE_DEFAULT	kalt-trockene Mittelstufe erreicht	NO_FORMAL_DY	T+CHD+Y	DIFFERENT_RECIPE	T+CHD+Y	T+CH+E+Y	Das Qualitätsraster kontrastiert kalt-trockene Mittelqualität mit fertiger Zustandsform.
ychedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	Eintrag: fertige getrocknete Droge	ychey	6	6	V48_WORKING_CARD	trockne hiervon bis zur Mittelstufe und schließe ab	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	INHERITED_TARGET_RESULT_PLUS_ACTION_SISTER	PAIRED_SURFACE_RESULTATIVE_DEFAULT	bis zur Mittelstufe getrocknet und abgeschlossen	NO_FORMAL_DY	Y+CHD+Y	DIFFERENT_RECIPE	Y+CHD+Y	Y+Y	Der bisherige Zielwert ist nominal, die Schwester liefert Trocknung und Abschluss; dieser einzige mechanische Regeloverride bleibt ein In-Sample-Ganzwortentscheid, nicht eine gehaltene Prognose.
ycheedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	hiervon vollständig trocknen	ycheey	6	5	V48_WORKING_CARD	trockne hiervon bis zur Endstufe	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	hiervon bis zur Endstufe trocknen	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Die Schwester reicht bereits bis zur Endstufe; die dy-Form erhält keinen zusätzlichen Endpunktwert.
ytedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	hiervon bis zur Mittelstufe abkühlen	ytey	0	0	V48_WORKING_CARD	kühle hiervon bis zur Mittelstufe ab und schließe ab	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	hiervon bis zur Mittelstufe abkühlen und abschließen	FORMAL_DY	Y+T+E+DY	DIFFERENT_RECIPE	Y+T+E+DY	T+E+Y	Die Schwester enthält bereits Abkühlung bis Mittelstufe und Abschluss; die dy-Form erhält keinen zusätzlichen Endpunktwert.
yteedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	hiervon vollständig abkühlen	yteey	12	6	V48_WORKING_CARD	kühle hiervon bis zur Endstufe ab	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	hiervon bis zur Endstufe abkühlen	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Die Schwester reicht bereits bis zur Endstufe; die dy-Form erhält keinen zusätzlichen Endpunktwert.
