surface	positions	lines	v60_action_positions	v60_result_positions	v60_dispatch_class	v60_literal_gloss_de	derived_one_edit_sister	sister_occurrences_v48	sister_pages_v48	sister_source	sister_working_meaning_de	pair_status	v62_class	evidence_basis	transfer_policy	v62_literal_gloss_de	formal_dy_status	gdt515_recipes	gdt516_pair_recipe_relation	gdt516_bound_recipe	gdt516_sister_recipe	rationale_de
chdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige Trocken-Anfangsstufe	chy	36	22	V48_WORKING_CARD	trocken am Anfang des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	trockene Anfangsstufe erreicht	NO_FORMAL_DY	CHD+Y	DIFFERENT_RECIPE	CHD+Y	Y	Offene Trocken-Anfangsqualität steht der erreichten Trocken-Anfangsstufe gegenüber.
checthedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	Krautdroge in zwei mäßigen Trockengängen fertig trocknen	checthey	1	1	V48_WORKING_CARD	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	Krautdroge mäßig trocknen, nochmals mäßig trocknen und abschließen	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Die Schwester enthält bereits doppelte Trocknung und Abschluss; die dy-Form erhält keinen zusätzlichen Endpunktwert.
chody	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger Trockenansatz	choy	2	2	V48_WORKING_CARD	Trockenansatz leicht abschließen	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	leicht abgeschlossener Trockenansatz	NO_FORMAL_DY	CH+O+D_ADDR+Y	DIFFERENT_RECIPE	CH+O+D_ADDR+Y	HO+Y	Leichte Abschlussoperation der Schwester steht nominal fertigem Trockenansatz gegenüber.
dairody	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige abgemessene Ansatzfraktion II	dairoy	0	0	ABSENT	NONE	NO_REAL_SISTER	UNPAIRED_WHOLE_RETAINED	NO_NON_DY_SISTER_IN_V48	WHOLE_ONLY_NO_PAIR_EXPORT	fertige abgemessene Ansatzfraktion II	FORMAL_DY	D_ADDR+AIR+O+DY	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Keine reale nicht-dy-Schwester; aktuelle Ganzform bleibt ohne Suffixexport stehen.
dchedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige abgemessene Trockenportion	dchey	14	14	GDT516_PARSER_CONTROL	NONE	PARSER_INVALID_PAIR	PAIR_INVALID	NON_MINIMAL_WHOLE_PAIR	WHOLE_ONLY_NO_SUFFIX_EXPORT	fertige abgemessene Trockenportion	NO_FORMAL_DY	D_ADDR+CHD+Y	DIFFERENT_RECIPE	D_ADDR+CHD+Y	CH+E+Y	D_ADDR+CHD+Y gegen CH+E+Y und dchey selbst ist scope-abhängig; keinerlei Suffixschluss.
dshedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	eine abgemessene Portion Droge bis zur Mittelstufe einweichen	dshey	2	2	V48_WORKING_CARD	eine Dosis bis zur Mittelstufe angefeuchtete Droge	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	bis zur Mittelstufe angefeuchtete Drogenportion	FORMAL_DY	SH+E+DY	DIFFERENT_RECIPE	SH+E+DY	D_ADDR+SH+E+Y	Die Schwester ist bereits eine angefeuchtete Dosis auf Mittelstufe; die dy-Form übernimmt diesen nominalen Endpunkt ohne neues Verb.
kchody	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger heiß-trockener Ansatz	kchoy	0	0	ABSENT	NONE	VISIBLE_SISTER_WITHOUT_CARD	UNPAIRED_WHOLE_RETAINED	SISTER_HAS_NO_INDEPENDENT_WORKING_VALUE	WHOLE_ONLY_NO_PAIR_EXPORT	fertiger heiß-trockener Ansatz	NO_FORMAL_DY	K+CH+O+D_ADDR+Y	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Die sichtbare Schwester besitzt keinen selbständigen Arbeitswert; aktuelle Ganzform bleibt ohne Suffixexport stehen.
lkedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige erhitzte Holzdroge, Mittelstufe	lkey	2	2	V48_WORKING_CARD	Holzdroge bis zur mittleren Heizstufe	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	bis zur mittleren Heizstufe erhitzte Holzdroge	FORMAL_DY	L+K+E+DY	DIFFERENT_RECIPE	L+K+E+DY	L+K+E+Y	Erhitzte Holzdroge der Mittelstufe steht ausdrücklich erreichtem Ergebnis gegenüber.
lshedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertig eingeweichtes Drogenholz	lshey	6	4	V48_WORKING_CARD	eingeweichtes Drogenholz, Form I	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	vollständig eingeweichtes Drogenholz, Form I	FORMAL_DY	L+SH+E+DY	DIFFERENT_RECIPE	L+SH+E+DY	L+SH+E+Y	Eingeweichtes Drogenholz der Form I steht dem vollständig eingeweichten Resultat gegenüber.
ltedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertig abgekühlte Holzdroge, Mittelstufe	ltey	0	0	ABSENT	NONE	NO_REAL_SISTER	UNPAIRED_WHOLE_RETAINED	NO_NON_DY_SISTER_IN_V48	WHOLE_ONLY_NO_PAIR_EXPORT	fertig abgekühlte Holzdroge, Mittelstufe	FORMAL_DY	L+T+E+DY	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Keine reale nicht-dy-Schwester; aktuelle Ganzform bleibt ohne Suffixexport stehen.
ochdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger Trockenansatz	ochy	0	0	ABSENT	NONE	VISIBLE_SISTER_WITHOUT_CARD	UNPAIRED_WHOLE_RETAINED	SISTER_HAS_NO_INDEPENDENT_WORKING_VALUE	WHOLE_ONLY_NO_PAIR_EXPORT	fertiger Trockenansatz	NO_FORMAL_DY	O+CHD+Y	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Die sichtbare Schwester besitzt keinen selbständigen Arbeitswert; aktuelle Ganzform bleibt ohne Suffixexport stehen.
oechedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger bis zur Mittelstufe getrockneter Ansatz	oechey	0	0	ABSENT	NONE	NO_REAL_SISTER	UNPAIRED_WHOLE_RETAINED	NO_NON_DY_SISTER_IN_V48	WHOLE_ONLY_NO_PAIR_EXPORT	fertiger bis zur Mittelstufe getrockneter Ansatz	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Keine reale nicht-dy-Schwester; aktuelle Ganzform bleibt ohne Suffixexport stehen.
ofchedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertig getrockneter Blütenansatz	ofchey	2	2	VISIBLE_WITHOUT_WORKING_CARD	NONE	VISIBLE_SISTER_WITHOUT_CARD	UNPAIRED_WHOLE_RETAINED	SISTER_HAS_NO_INDEPENDENT_WORKING_VALUE	WHOLE_ONLY_NO_PAIR_EXPORT	fertig getrockneter Blütenansatz	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Die sichtbare Schwester besitzt keinen selbständigen Arbeitswert; aktuelle Ganzform bleibt ohne Suffixexport stehen.
okchedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger heiß-trockener Ansatz, Mittelstufe	okchey	12	12	V48_WORKING_CARD	heiß-trockener Ansatz in der Mitte des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	GRID_QUALITY_PAIR	GRID_RESULTATIVE_DEFAULT	heiß-trockener Ansatz, Mittelstufe erreicht	FORMAL_DY	OK+CHD+DY	DIFFERENT_RECIPE	OK+CHD+DY	OK+Y	Das Qualitätsraster kontrastiert heiß-trockene Mittelqualität mit fertiger Zustandsform.
okedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger heißer Ansatz, Mittelstufe	okey	12	5	V48_WORKING_CARD	heißer Ansatz in der Mitte des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	heißer Ansatz, Mittelstufe erreicht	FORMAL_DY	OK+E+DY	DIFFERENT_RECIPE	OK+E+DY	OK+E+Y	Heiße Mittelqualität steht einem fertigen heißen Mittelzustand gegenüber.
olchdy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	Trockenstoff vollständig trocknen	olchy	3	3	V48_WORKING_CARD	Holzdroge im Ansatz leicht getrocknet	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	HEAD_PRESERVING_RESULT_CORRECTION	PAIRED_SURFACE_RESULTATIVE_DEFAULT	Holzdroge im Ansatz fertig getrocknet	FORMAL_DY	OL+CHD+DY	DIFFERENT_RECIPE	OL+CHD+DY	OL+CH+Y	Die Schwester erzwingt Holzdroge und Ansatz; dy darf weder den Kopf zu Trockenstoff noch den Zustand zum Befehl wechseln.
olkchdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige heiß-trockene Drogenportion	olkchy	2	2	VISIBLE_WITHOUT_WORKING_CARD	NONE	VISIBLE_SISTER_WITHOUT_CARD	UNPAIRED_WHOLE_RETAINED	SISTER_HAS_NO_INDEPENDENT_WORKING_VALUE	WHOLE_ONLY_NO_PAIR_EXPORT	fertige heiß-trockene Drogenportion	NO_FORMAL_DY	OL+K+CHD+Y	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Die sichtbare Schwester besitzt keinen selbständigen Arbeitswert; aktuelle Ganzform bleibt ohne Suffixexport stehen.
olkeedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	vollständig erhitzter Holzdrogenansatz, fertig	olkeey	19	10	V48_WORKING_CARD	Holzdrogenansatz vollständig erhitzt	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	Holzdrogenansatz vollständig erhitzt	FORMAL_DY	OL+K+EE+DY	DIFFERENT_RECIPE	OL+K+EE+DY	OL+K+EE+Y	Vollständig erhitzt ist bereits endpunktgebunden; dy schließt nur das Feld.
olshedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	vollständig eingeweichte Holzdroge im Ansatz, fertig	olshey	4	3	V48_WORKING_CARD	eingeweichte Drogenbasis, Mittelstufe	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	HEAD_PRESERVING_RESULT_CORRECTION	PAIRED_SURFACE_RESULTATIVE_DEFAULT	bis zur Mittelstufe eingeweichte Drogenbasis, abgeschlossen	FORMAL_DY	OL+SH+E+DY	DIFFERENT_RECIPE	OL+SH+E+DY	OL+SH+E+Y	Dy darf die Drogenbasis nicht in eine neue Holzdroge umbenennen.
otardy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige erste kalte Ansatzfraktion	otary	2	2	VISIBLE_WITHOUT_WORKING_CARD	NONE	VISIBLE_SISTER_WITHOUT_CARD	UNPAIRED_WHOLE_RETAINED	SISTER_HAS_NO_INDEPENDENT_WORKING_VALUE	WHOLE_ONLY_NO_PAIR_EXPORT	fertige erste kalte Ansatzfraktion	FORMAL_DY	OT+AR+DY	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Die sichtbare Schwester besitzt keinen selbständigen Arbeitswert; aktuelle Ganzform bleibt ohne Suffixexport stehen.
otchdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger kalt-trockener Anfangsansatz	otchy	7	6	V48_WORKING_CARD	kalt-trockener Ansatz am Anfang des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	GRID_QUALITY_PAIR	GRID_RESULTATIVE_DEFAULT	kalt-trockener Ansatz, Anfangsstufe erreicht	MIXED_FORMAL_DY	LOCAL_ADDRESS|OT+CHD+DY	DIFFERENT_RECIPE	OT+CHD+DY	OT+CH+Y	Das Qualitätsraster kontrastiert kalt-trockene Anfangsqualität mit fertiger Zustandsform.
oteedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger kalter Ansatz, Endstufe	oteey	35	14	V48_WORKING_CARD	kalter Ansatz am Ende des Grades	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	kalter Ansatz am Ende des Grades	FORMAL_DY	OT+EE+DY	DIFFERENT_RECIPE	OT+EE+DY	OT+EE+Y	Die Schwester liegt bereits am Gradende; fertig wäre doppelt gesprochen.
otsheody	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertiger kalt angefeuchteter Ansatz	otsheoy	0	0	ABSENT	NONE	NO_REAL_SISTER	UNPAIRED_WHOLE_RETAINED	NO_NON_DY_SISTER_IN_V48	WHOLE_ONLY_NO_PAIR_EXPORT	fertiger kalt angefeuchteter Ansatz	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Keine reale nicht-dy-Schwester; aktuelle Ganzform bleibt ohne Suffixexport stehen.
qckhedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	das Arzneikompositum bis zur Mittelstufe aufbereiten	qckhey	0	0	ABSENT	NONE	NO_REAL_SISTER	UNPAIRED_WHOLE_RETAINED	NO_NON_DY_SISTER_IN_V48	WHOLE_ONLY_NO_PAIR_EXPORT	das Arzneikompositum bis zur Mittelstufe aufbereiten	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Keine reale nicht-dy-Schwester; aktuelle Ganzformaktion bleibt ohne Suffixexport stehen.
qody	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige Zubereitung	qoy	3	2	VISIBLE_WITHOUT_WORKING_CARD	NONE	VISIBLE_SISTER_WITHOUT_CARD	UNPAIRED_WHOLE_RETAINED	SISTER_HAS_NO_INDEPENDENT_WORKING_VALUE	WHOLE_ONLY_NO_PAIR_EXPORT	fertige Zubereitung	FORMAL_DY	CARRIER_Q+O+DY	DIFFERENT_RECIPE	CARRIER_Q+O+DY	O+Y	Qoy ist sichtbar, besitzt aber keinen selbständigen Arbeitswert; qody bleibt eine gelernte Ganzform ohne Suffixexport.
qoeedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	den vollständig fertigen Ansatz nehmen	qoeey	8	6	V48_WORKING_CARD	nimm die Endportion hinzu	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	nimm die Endportion hinzu	NO_FORMAL_DY	CARRIER_Q+O+EE+D_ADDR+Y	DIFFERENT_RECIPE	CARRIER_Q+O+EE+D_ADDR+Y	O+EE+Y	Die Schwester enthält Handlung und Endportion bereits vollständig; das sichtbare d ist formal kein DY und erhält keinen eigenen Bedeutungswert.
qokady	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	einen gleichen Teil erhitzen	qokay	1	1	VISIBLE_WITHOUT_WORKING_CARD	NONE	VISIBLE_SISTER_WITHOUT_CARD	UNPAIRED_WHOLE_RETAINED	SISTER_HAS_NO_INDEPENDENT_WORKING_VALUE	WHOLE_ONLY_NO_PAIR_EXPORT	einen gleichen Teil erhitzen	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Die sichtbare Schwester besitzt keinen selbständigen Arbeitswert; aktuelle Ganzformaktion bleibt ohne Suffixexport stehen.
qokamdy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	ein Maß nehmen und erhitzen	qokamy	0	0	ABSENT	NONE	NO_REAL_SISTER	UNPAIRED_WHOLE_RETAINED	NO_NON_DY_SISTER_IN_V48	WHOLE_ONLY_NO_PAIR_EXPORT	ein Maß nehmen und erhitzen	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Keine reale nicht-dy-Schwester; aktuelle Ganzformaktion bleibt ohne Suffixexport stehen.
qokchdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige heiß-trockene Anfangsstufe	qokchy	17	12	V48_WORKING_CARD	heiß und trocken am Anfang des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	GRID_QUALITY_PAIR	GRID_RESULTATIVE_DEFAULT	heiß-trockene Anfangsstufe erreicht	FORMAL_DY	OK+CHD+DY	DIFFERENT_RECIPE	OK+CHD+DY	OK+Y	Das Qualitätsraster kontrastiert heiß-trockene Anfangsqualität mit fertiger Zustandsform.
qokchedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige heiß-trockene Mittelstufe	qokchey	6	4	V48_WORKING_CARD	heiß und trocken in der Mitte des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	GRID_QUALITY_PAIR	GRID_RESULTATIVE_DEFAULT	heiß-trockene Mittelstufe erreicht	NO_FORMAL_DY	OK+CHD+Y	DIFFERENT_RECIPE	OK+CHD+Y	OK+CH+E+Y	Das Qualitätsraster kontrastiert heiß-trockene Mittelqualität mit fertiger Zustandsform.
qokedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige heiße Mittelstufe	qokey	26	10	V48_WORKING_CARD	heiß in der Mitte des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	heiße Mittelstufe erreicht	FORMAL_DY	OK+E+DY	DIFFERENT_RECIPE	OK+E+DY	OK+E+Y	Heiße Mittelqualität steht einer fertigen heißen Mittelstufe gegenüber.
qokeedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige heiße Endstufe	qokeey	75	24	V48_WORKING_CARD	heiß am Ende des Grades	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	heiß am Ende des Grades	FORMAL_DY	OK+EE+DY	DIFFERENT_RECIPE	OK+EE+DY	OK+EE+Y	Die Schwester liegt bereits am Gradende; fertig wäre doppelt gesprochen.
qolsheedy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	vollständig eingeweichte Droge zugeben	qolsheey	0	0	V48_WORKING_CARD	gib vollständig eingeweichten Drogenstoff hinzu und schließe ab	REAL_NON_DY_SISTER	FIELD_END	SISTER_ALREADY_ENDPOINT	NO_DY_SEMANTIC_LOAD	vollständig eingeweichten Drogenstoff zugeben und abschließen	FORMAL_DY	OL+SH+EE+DY	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Die Schwester schreibt bereits Zugeben und Abschluss; die dy-Form erhält keinen zusätzlichen Endpunktwert.
qopchdy	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	fertig getrocknetes Pulver nehmen	qopchy	4	4	VISIBLE_WITHOUT_WORKING_CARD	NONE	VISIBLE_SISTER_WITHOUT_CARD	UNPAIRED_WHOLE_RETAINED	SISTER_HAS_NO_INDEPENDENT_WORKING_VALUE	WHOLE_ONLY_NO_PAIR_EXPORT	fertig getrocknetes Pulver nehmen	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Die sichtbare Schwester besitzt keinen selbständigen Arbeitswert; aktuelle Ganzformaktion bleibt ohne Suffixexport stehen.
qotchedy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige kalt-trockene Mittelstufe	qotchey	5	4	V48_WORKING_CARD	kalt und trocken in der Mitte des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	GRID_QUALITY_PAIR	GRID_RESULTATIVE_DEFAULT	kalt-trockene Mittelstufe erreicht	FORMAL_DY	OT+CHD+DY	DIFFERENT_RECIPE	OT+CHD+DY	OT+CHD+Y	Das Qualitätsraster kontrastiert kalt-trockene Mittelqualität mit fertiger Zustandsform.
qotchody	1	1	1	0	ACTION_WHOLE_WITH_FINISHED_ENDPOINT	abkühlen, bis zur Mittelstufe trocknen und neu ansetzen	qotchoy	0	0	ABSENT	NONE	NO_REAL_SISTER	UNPAIRED_WHOLE_RETAINED	NO_NON_DY_SISTER_IN_V48	WHOLE_ONLY_NO_PAIR_EXPORT	abkühlen, bis zur Mittelstufe trocknen und neu ansetzen	UNRESOLVED	NONE	NOT_IN_GDT516_PAIR_ATLAS	NONE	NONE	Keine reale nicht-dy-Schwester; aktuelle Ganzformaktion bleibt ohne Suffixexport stehen.
shdy	1	1	0	1	NOMINAL_FINISHED_RESULT_STATE	fertige feuchte Anfangsstufe	shy	28	16	V48_WORKING_CARD	feucht am Anfang des Grades	REAL_NON_DY_SISTER	RESULT_PARTICIPLE	PAIRED_NOMINAL_CONTRAST	PAIRED_SURFACE_RESULTATIVE_DEFAULT	feuchte Anfangsstufe erreicht	NO_FORMAL_DY	SH+D_ADDR+Y	DIFFERENT_RECIPE	SH+D_ADDR+Y	Y	Offene Feucht-Anfangsqualität steht der erreichten feuchten Anfangsstufe gegenüber.
