locus_order	physical_page	source_page	register	locus	source_kind	events	owner_bound_events	repaired_events	surface_sequence	atomic_sequence_de	continuous_reading_de	physical_line_is_sentence_end
13	f11r	f11r	HERBAL	f11r.1	P	8	0	1	tshol · schoal · cfhy · shfydaiin · cphy · shey · tchody · shoyty	BEARBEITEN/MARKIEREN · HALTEN · FORTSETZEN | HALTEN · GANG · ZIELSTELLE | TRENNEN/PRESSEN · DIESER POSTEN | HALTEN · DIESER POSTEN · SOLL-MASS | GEGEN-/EMPFANGSGANG · DIESER POSTEN | HALTEN · KURZ · DIESER POSTEN | BEARBEITEN/MARKIEREN · ENTNEHMEN/ABLESEN · GANG · SCHLUSS | HALTEN · GANG · DIESER POSTEN · BEARBEITEN/MARKIEREN · DIESER POSTEN	den Teil bearbeiten; den Ansatz halten; fortsetzen; den Ansatz halten; den Verarbeitungsgang ausführen; zur Zielstelle; auspressen oder trennen; diesen Posten; den Ansatz halten; diesen Posten; nach Sollmaß; in den Nachlauf oder zweiten Durchgang geben; diesen Posten; den Ansatz halten; kurz; diesen Posten; den Teil bearbeiten; den Pflanzenteil entnehmen; den Verarbeitungsgang ausführen; den Schritt schließen; den Ansatz halten; den Verarbeitungsgang ausführen; diesen Posten; den Teil bearbeiten; diesen Posten	NO
14	f11r	f11r	HERBAL	f11r.2	P	9	0	0	socthody · qodor · y · kshy · daiin · ytchy · ytchoky · kchol · daiin	KONTEXT/PROBE · GANG · STATUS · GANG · TEILADRESSE · DIESER POSTEN | GANG · TEILADRESSE · ANSATZ/EINTRAG | DIESER POSTEN | ZUORDNEN/ZUGEBEN · HALTEN · DIESER POSTEN | SOLL-MASS | DIESER POSTEN · BEARBEITEN/MARKIEREN · DIESER POSTEN | DIESER POSTEN · BEARBEITEN/MARKIEREN · ANSETZEN · DIESER POSTEN | ZUORDNEN/ZUGEBEN · FORTSETZEN | SOLL-MASS	prüfen oder weitergehen; den Verarbeitungsgang ausführen; den Zubereitungsstatus prüfen; den Verarbeitungsgang ausführen; an der Teiladresse; diesen Posten; den Verarbeitungsgang ausführen; an der Teiladresse; mit dem Pflanzenansatz; diesen Posten; Material zugeben; den Ansatz halten; diesen Posten; nach Sollmaß; diesen Posten; den Teil bearbeiten; diesen Posten; diesen Posten; den Teil bearbeiten; die Zubereitung ansetzen; diesen Posten; Material zugeben; fortsetzen; nach Sollmaß	NO
15	f11r	f11r	HERBAL	f11r.3	P	10	0	1	qoty · chol · cthy · dor · ykychy · choty · dain · chaiin · daiin · dod	DANACH · DIESER POSTEN | FORTSETZEN | STATUS · DIESER POSTEN | TEILADRESSE · ANSATZ/EINTRAG | DIESER POSTEN · ZUORDNEN/ZUGEBEN · DIESER POSTEN · ENTNEHMEN/ABLESEN · DIESER POSTEN | ENTNEHMEN/ABLESEN · DANACH · DIESER POSTEN | PORTION | ENTNEHMEN/ABLESEN · SOLL-MASS | SOLL-MASS | TEILADRESSE · GANG · TEILADRESSE	danach; diesen Posten; fortsetzen; den Zubereitungsstatus prüfen; diesen Posten; an der Teiladresse; mit dem Pflanzenansatz; diesen Posten; Material zugeben; diesen Posten; den Pflanzenteil entnehmen; diesen Posten; den Pflanzenteil entnehmen; danach; diesen Posten; eine Portion; den Pflanzenteil entnehmen; nach Sollmaß; nach Sollmaß; an der Teiladresse; den Verarbeitungsgang ausführen; an der Teiladresse	NO
16	f11r	f11r	HERBAL	f11r.4	P	5	0	0	dchol · chy · kchy · dy · daiin	TEILADRESSE · FORTSETZEN | DIESER POSTEN | ZUORDNEN/ZUGEBEN · DIESER POSTEN | DIESER POSTEN | SOLL-MASS	an der Teiladresse; fortsetzen; diesen Posten; Material zugeben; diesen Posten; diesen Posten; nach Sollmaß	NO
17	f11r	f11r	HERBAL	f11r.5	P	11	0	1	tchol · shor · shor · dky · y · daiin · cthy · d · y · chodl · daiin	BEARBEITEN/MARKIEREN · FORTSETZEN | HALTEN · ANSATZ/EINTRAG | HALTEN · ANSATZ/EINTRAG | TEILADRESSE · ZUORDNEN/ZUGEBEN · DIESER POSTEN | DIESER POSTEN | SOLL-MASS | STATUS · DIESER POSTEN | TEILADRESSE | DIESER POSTEN | ENTNEHMEN/ABLESEN · GANG · TEILADRESSE · LEITEN | SOLL-MASS	den Teil bearbeiten; fortsetzen; den Ansatz halten; mit dem Pflanzenansatz; den Ansatz halten; mit dem Pflanzenansatz; an der Teiladresse; Material zugeben; diesen Posten; diesen Posten; nach Sollmaß; den Zubereitungsstatus prüfen; diesen Posten; an der Teiladresse; diesen Posten; den Pflanzenteil entnehmen; den Verarbeitungsgang ausführen; an der Teiladresse; weiterleiten; nach Sollmaß	NO
18	f11r	f11r	HERBAL	f11r.6	P	12	0	1	odl · d · s · y · otol · chaiin · ykchor · dair · chody · cthy · s · daiin	GANG · TEILADRESSE · LEITEN | TEILADRESSE | KONTEXT/PROBE | DIESER POSTEN | DANACH · FORTSETZEN | ENTNEHMEN/ABLESEN · SOLL-MASS | DIESER POSTEN · ZUORDNEN/ZUGEBEN · ENTNEHMEN/ABLESEN · ANSATZ/EINTRAG | TEILADRESSE · LAUF | ENTNEHMEN/ABLESEN · GANG · TEILADRESSE · DIESER POSTEN | STATUS · DIESER POSTEN | KONTEXT/PROBE | SOLL-MASS	den Verarbeitungsgang ausführen; an der Teiladresse; weiterleiten; an der Teiladresse; prüfen oder weitergehen; diesen Posten; danach; fortsetzen; den Pflanzenteil entnehmen; nach Sollmaß; diesen Posten; Material zugeben; den Pflanzenteil entnehmen; mit dem Pflanzenansatz; an der Teiladresse; entlang des Laufs; den Pflanzenteil entnehmen; den Verarbeitungsgang ausführen; an der Teiladresse; diesen Posten; den Zubereitungsstatus prüfen; diesen Posten; prüfen oder weitergehen; nach Sollmaß	NO
19	f11r	f11r	HERBAL	f11r.7	P	4	0	0	qotchy · okchol · cthy · dy	DANACH · DIESER POSTEN | ANSETZEN · FORTSETZEN | STATUS · DIESER POSTEN | DIESER POSTEN	danach; diesen Posten; die Zubereitung ansetzen; fortsetzen; den Zubereitungsstatus prüfen; diesen Posten; diesen Posten	NO
20	f13r	f13r	HERBAL	f13r.1	P	9	0	0	torshor · opchy · shol · dy · qopchy · shol · opchor · dypchy · dchg	BEARBEITEN/MARKIEREN · ANSATZ/EINTRAG · HALTEN · ANSATZ/EINTRAG | GANG · BEGINNEN/EINSETZEN · DIESER POSTEN | HALTEN · FORTSETZEN | DIESER POSTEN | GANG · BEGINNEN/EINSETZEN · DIESER POSTEN | HALTEN · FORTSETZEN | GANG · BEGINNEN/EINSETZEN · ENTNEHMEN/ABLESEN · ANSATZ/EINTRAG | TEILADRESSE · DIESER POSTEN · BEGINNEN/EINSETZEN · DIESER POSTEN | TEILADRESSE · ENTNEHMEN/ABLESEN · G-KENNZEICHEN	den Teil bearbeiten; mit dem Pflanzenansatz; den Ansatz halten; mit dem Pflanzenansatz; den Verarbeitungsgang ausführen; den Teil einsetzen; diesen Posten; den Ansatz halten; fortsetzen; diesen Posten; den Verarbeitungsgang ausführen; den Teil einsetzen; diesen Posten; den Ansatz halten; fortsetzen; den Verarbeitungsgang ausführen; den Teil einsetzen; den Pflanzenteil entnehmen; mit dem Pflanzenansatz; an der Teiladresse; diesen Posten; den Teil einsetzen; diesen Posten; an der Teiladresse; den Pflanzenteil entnehmen; mit lokalem G-Kennzeichen	NO
21	f13r	f13r	HERBAL	f13r.2	P	11	0	0	dchol · chol · dol · shkchy · ydal · shy · ykchy · qoty · daiin · s · y	TEILADRESSE · FORTSETZEN | FORTSETZEN | TEILADRESSE · FORTSETZEN | HALTEN · ZUORDNEN/ZUGEBEN · DIESER POSTEN | DIESER POSTEN · ZIELSTELLE | DIESER POSTEN | DIESER POSTEN · ZUORDNEN/ZUGEBEN · DIESER POSTEN | DANACH · DIESER POSTEN | SOLL-MASS | KONTEXT/PROBE | DIESER POSTEN	an der Teiladresse; fortsetzen; fortsetzen; an der Teiladresse; fortsetzen; den Ansatz halten; Material zugeben; diesen Posten; diesen Posten; zur Zielstelle; diesen Posten; diesen Posten; Material zugeben; diesen Posten; danach; diesen Posten; nach Sollmaß; prüfen oder weitergehen; diesen Posten	NO
22	f13r	f13r	HERBAL	f13r.3	P	11	0	0	s · y · dchor · shaiin · oeees · ykor · chor · ytshy · ykchy · kchy · dar	KONTEXT/PROBE | DIESER POSTEN | TEILADRESSE · ENTNEHMEN/ABLESEN · ANSATZ/EINTRAG | HALTEN · SOLL-MASS | GANG · VOLL · KONTEXT/PROBE | DIESER POSTEN · ZUORDNEN/ZUGEBEN · ANSATZ/EINTRAG | ENTNEHMEN/ABLESEN · ANSATZ/EINTRAG | DIESER POSTEN · BEARBEITEN/MARKIEREN · DIESER POSTEN | DIESER POSTEN · ZUORDNEN/ZUGEBEN · DIESER POSTEN | ZUORDNEN/ZUGEBEN · DIESER POSTEN | TEILADRESSE · QUELLSTELLE	prüfen oder weitergehen; diesen Posten; an der Teiladresse; den Pflanzenteil entnehmen; mit dem Pflanzenansatz; den Ansatz halten; nach Sollmaß; den Verarbeitungsgang ausführen; vollständig; prüfen oder weitergehen; diesen Posten; Material zugeben; mit dem Pflanzenansatz; den Pflanzenteil entnehmen; mit dem Pflanzenansatz; diesen Posten; den Teil bearbeiten; diesen Posten; diesen Posten; Material zugeben; diesen Posten; Material zugeben; diesen Posten; an der Teiladresse; von der Quellstelle	NO
23	f13r	f13r	HERBAL	f13r.4	P	3	0	0	qodchy · ytchy · otchor	GANG · TEILADRESSE · DIESER POSTEN | DIESER POSTEN · BEARBEITEN/MARKIEREN · DIESER POSTEN | DANACH · ENTNEHMEN/ABLESEN · ANSATZ/EINTRAG	den Verarbeitungsgang ausführen; an der Teiladresse; diesen Posten; diesen Posten; den Teil bearbeiten; diesen Posten; danach; den Pflanzenteil entnehmen; mit dem Pflanzenansatz	NO
24	f13r	f13r	HERBAL	f13r.5	P	8	0	0	shorodo · shy · tshy · kchol · dpchy · qopchy · otchol · cfholdy	HALTEN · ANSATZ/EINTRAG · GANG · TEILADRESSE · GANG | DIESER POSTEN | BEARBEITEN/MARKIEREN · DIESER POSTEN | ZUORDNEN/ZUGEBEN · FORTSETZEN | TEILADRESSE · BEGINNEN/EINSETZEN · DIESER POSTEN | GANG · BEGINNEN/EINSETZEN · DIESER POSTEN | DANACH · ENTNEHMEN/ABLESEN · FORTSETZEN | TRENNEN/PRESSEN · FORTSETZEN · SCHLUSS	den Ansatz halten; mit dem Pflanzenansatz; den Verarbeitungsgang ausführen; an der Teiladresse; den Verarbeitungsgang ausführen; diesen Posten; den Teil bearbeiten; diesen Posten; Material zugeben; fortsetzen; an der Teiladresse; den Teil einsetzen; diesen Posten; den Verarbeitungsgang ausführen; den Teil einsetzen; diesen Posten; danach; den Pflanzenteil entnehmen; fortsetzen; auspressen oder trennen; fortsetzen; den Schritt schließen	NO
25	f13r	f13r	HERBAL	f13r.6	P	9	0	0	tchor · dor · daiin · qotchol · okchy · okchor · oiin · chckhy · d	BEARBEITEN/MARKIEREN · ENTNEHMEN/ABLESEN · ANSATZ/EINTRAG | TEILADRESSE · ANSATZ/EINTRAG | SOLL-MASS | DANACH · ENTNEHMEN/ABLESEN · FORTSETZEN | ANSETZEN · DIESER POSTEN | ANSETZEN · ENTNEHMEN/ABLESEN · ANSATZ/EINTRAG | GANG · STUFE | DURCHLASS · DIESER POSTEN | TEILADRESSE	den Teil bearbeiten; den Pflanzenteil entnehmen; mit dem Pflanzenansatz; an der Teiladresse; mit dem Pflanzenansatz; nach Sollmaß; danach; den Pflanzenteil entnehmen; fortsetzen; die Zubereitung ansetzen; diesen Posten; die Zubereitung ansetzen; den Pflanzenteil entnehmen; mit dem Pflanzenansatz; den Verarbeitungsgang ausführen; auf der Stufe; durch den Durchlass; diesen Posten; an der Teiladresse	NO
26	f13r	f13r	HERBAL	f13r.7	P	9	0	0	dchy · qoky · chol · dy · qoy · d · oldy · okchor · doaiin	TEILADRESSE · DIESER POSTEN | ANSETZEN · DIESER POSTEN | FORTSETZEN | DIESER POSTEN | GANG · DIESER POSTEN | TEILADRESSE | FORTSETZEN · SCHLUSS | ANSETZEN · ENTNEHMEN/ABLESEN · ANSATZ/EINTRAG | TEILADRESSE · GANG · SOLL-MASS	an der Teiladresse; diesen Posten; die Zubereitung ansetzen; diesen Posten; fortsetzen; diesen Posten; den Verarbeitungsgang ausführen; diesen Posten; an der Teiladresse; fortsetzen; den Schritt schließen; die Zubereitung ansetzen; den Pflanzenteil entnehmen; mit dem Pflanzenansatz; an der Teiladresse; den Verarbeitungsgang ausführen; nach Sollmaß	NO
27	f13r	f13r	HERBAL	f13r.8	P	7	0	0	shochy · qokchy · torchy · k · s · okchey · daiin	OBJEKTTEIL · DIESER POSTEN | ANSETZEN · DIESER POSTEN | BEARBEITEN/MARKIEREN · ANSATZ/EINTRAG · DIESER POSTEN | ZUORDNEN/ZUGEBEN | KONTEXT/PROBE | ANSETZEN · DIESER POSTEN | SOLL-MASS	den Objektteil nehmen; diesen Posten; die Zubereitung ansetzen; diesen Posten; den Teil bearbeiten; mit dem Pflanzenansatz; diesen Posten; Material zugeben; prüfen oder weitergehen; die Zubereitung ansetzen; diesen Posten; nach Sollmaß	NO
28	f13r	f13r	HERBAL	f13r.9	P	7	0	0	oldy · shey · chol · doiin · ykoly · okchal · daldy	FORTSETZEN · SCHLUSS | HALTEN · KURZ · DIESER POSTEN | FORTSETZEN | TEILADRESSE · GANG · STUFE | DIESER POSTEN · ZUORDNEN/ZUGEBEN · FORTSETZEN · DIESER POSTEN | ANSETZEN · ENTNEHMEN/ABLESEN · ZIELSTELLE | ZIELSTELLE · SCHLUSS	fortsetzen; den Schritt schließen; den Ansatz halten; kurz; diesen Posten; fortsetzen; an der Teiladresse; den Verarbeitungsgang ausführen; auf der Stufe; diesen Posten; Material zugeben; fortsetzen; diesen Posten; die Zubereitung ansetzen; den Pflanzenteil entnehmen; zur Zielstelle; zur Zielstelle; den Schritt schließen	NO
29	f13r	f13r	HERBAL	f13r.10	P	3	0	0	sotchy · kchy · okorory	KONTEXT/PROBE · DANACH · DIESER POSTEN | ZUORDNEN/ZUGEBEN · DIESER POSTEN | ANSETZEN · ANSATZ/EINTRAG · ANSATZ/EINTRAG · DIESER POSTEN	prüfen oder weitergehen; danach; diesen Posten; Material zugeben; diesen Posten; die Zubereitung ansetzen; mit dem Pflanzenansatz; mit dem Pflanzenansatz; diesen Posten	NO
30	f55v	f55v	HERBAL	f55v.1	P	5	0	1	kcheedchdy · oedain · chckhy · otoldaiin · dodyd	ZUORDNEN/ZUGEBEN · ENTNEHMEN/ABLESEN · LANG · TEILADRESSE · UMSETZEN · DIESER POSTEN | GANG · KURZ · TEILADRESSE · PORTION | DURCHLASS · DIESER POSTEN | DANACH · FORTSETZEN · TEILADRESSE · SOLL-MASS | TEILADRESSE · GANG · SCHLUSS · D-KENNZEICHEN	Material zugeben; den Pflanzenteil entnehmen; länger; an der Teiladresse; das Material umsetzen; diesen Posten; den Verarbeitungsgang ausführen; kurz; an der Teiladresse; eine Portion; durch den Durchlass; diesen Posten; danach; fortsetzen; an der Teiladresse; nach Sollmaß; an der Teiladresse; den Verarbeitungsgang ausführen; den Schritt schließen; mit D-Kennzeichen	NO
31	f55v	f55v	HERBAL	f55v.2	P	6	0	0	oeeed · yteey · okeedy · qoaiin · okeody · ykeesan	GANG · VOLL · TEILADRESSE | DIESER POSTEN · BEARBEITEN/MARKIEREN · LANG · DIESER POSTEN | ANSETZEN · LANG · SCHLUSS | GANG · SOLL-MASS | ANSETZEN · KURZ · GANG · TEILADRESSE · DIESER POSTEN | DIESER POSTEN · ZUORDNEN/ZUGEBEN · LANG · KONTEXT/PROBE · ZUSATZ	den Verarbeitungsgang ausführen; vollständig; an der Teiladresse; diesen Posten; den Teil bearbeiten; länger; diesen Posten; die Zubereitung ansetzen; länger; den Schritt schließen; den Verarbeitungsgang ausführen; nach Sollmaß; die Zubereitung ansetzen; kurz; den Verarbeitungsgang ausführen; an der Teiladresse; diesen Posten; diesen Posten; Material zugeben; länger; prüfen oder weitergehen; mit einem Zusatz	NO
32	f55v	f55v	HERBAL	f55v.3	P	11	0	0	qokeeey · os · ain · qool · al · chedy · sar · aiin · ol · kar · am	ANSETZEN · VOLL · DIESER POSTEN | AUCH | PORTION | GANG · FORTSETZEN | ZIELSTELLE | UMSETZEN · DIESER POSTEN | KONTEXT/PROBE · QUELLSTELLE | SOLL-MASS | FORTSETZEN | ZUORDNEN/ZUGEBEN · QUELLSTELLE | GEGEN-/INNENFELD	die Zubereitung ansetzen; vollständig; diesen Posten; ebenfalls; eine Portion; den Verarbeitungsgang ausführen; fortsetzen; zur Zielstelle; das Material umsetzen; diesen Posten; prüfen oder weitergehen; von der Quellstelle; nach Sollmaß; fortsetzen; Material zugeben; von der Quellstelle; am Gegen-/Innenfeld	NO
