locus_row	diagram_id	page	locus	local_namespace	groups	group_serials	atomic_reading_de	celestial_context_reading_de	orientation	cross_instrument_join
11	A1	f67r2	f67r2.11	A67_RIGHT_CELESTIAL_WHEEL	3	24|25|26	anheben + dies; dies + zufuehren + entnehmen + Sternbezug; dies	Stufe anheben; dieser Eintrag. dieser Eintrag; zuordnen; Eintrag entnehmen; Sternbezug. dieser Eintrag.	UNSPECIFIED	NONE
12	A1	f67r2	f67r2.12	A67_RIGHT_CELESTIAL_WHEEL	2	27|28	dies + zufuehren + laenger + Sternbezug; dies + zufuehren + Gabe + Sternbezug	dieser Eintrag; zuordnen; lange Stufe; Sternbezug. dieser Eintrag; zuordnen; Eintrag; Sternbezug.	UNSPECIFIED	NONE
13	A1	f67r2	f67r2.13	A67_RIGHT_CELESTIAL_WHEEL	4	29|30|31|32	Arbeitsgang + hinein + Arbeitsgang + fortsetzen; Sternbezug; Portion; Stelle + Schluss	Lesegang; hinein; Lesegang; weiterzaehlen. Sternbezug. Teilwert. Position; Eintrag schliessen.	UNSPECIFIED	NONE
14	A1	f67r2	f67r2.14	A67_RIGHT_CELESTIAL_WHEEL	3	33|34|35	Sternbezug + Arbeitsgang + laenger + dies; Teiladresse + Arbeitsgang + Sollstufe; fortsetzen; Schluss	Sternbezug; Lesegang; lange Stufe; dieser Eintrag. Teiladresse; Lesegang; Sollstufe. weiterzaehlen; Eintrag schliessen.	UNSPECIFIED	NONE
15	A1	f67r2	f67r2.15	A67_LEFT_CELESTIAL_WHEEL	1	36	Teiladresse + fortsetzen + entnehmen + Sternbezug + Arbeitsgang + Schluss	Teiladresse; weiterzaehlen; Eintrag entnehmen; Sternbezug; Lesegang; Eintrag schliessen.	UNSPECIFIED	NONE
16	A1	f67r2	f67r2.16	A67_LEFT_CELESTIAL_WHEEL	4	37|38|39|40	Arbeitsgang + Teiladresse + Nebenadresse + kurz + Sollstufe; ansetzen + Arbeitsgang + kurz + Sternbezug; Arbeitsgang + kurz + zufuehren + Portion; dies	Lesegang; Teiladresse; Nebenadresse; kurze Stufe; Sollstufe. markieren; Lesegang; kurze Stufe; Sternbezug. Lesegang; kurze Stufe; zuordnen; Teilwert. dieser Eintrag.	UNSPECIFIED	NONE
17	A1	f67r2	f67r2.17	A67_LEFT_CELESTIAL_WHEEL	3	41|42|43	nächster Posten; Ansatz + Nebenadresse + Zaehlstrich + Zaehlstrich + senken; dies	naechster Eintrag; dieser Eintrag. Einstellung; Nebenadresse; Zaehlstrich; Zaehlstrich; senken. dieser Eintrag.	UNSPECIFIED	NONE
18	A1	f67r2	f67r2.18	A67_LEFT_CELESTIAL_WHEEL	3	44|45|46	Arbeitsgang + hinein + dies; Mass; Stelle	Lesegang; hinein; dieser Eintrag. Wert. Position.	UNSPECIFIED	NONE
19	A1	f67r2	f67r2.19	A67_LEFT_CELESTIAL_WHEEL	4	47|48|49|50	dies + Teiladresse + Gabe + Sternbezug; Portion; von dort; Gegenfeld + dies	dieser Eintrag; Teiladresse; Eintrag; Sternbezug. Teilwert. von dieser Position. Gegenfeld; dieser Eintrag.	UNSPECIFIED	NONE
20	A1	f67r2	f67r2.20	A67_LEFT_CELESTIAL_WHEEL	2	51|52	Gabe + Sternhaufen + dies; von dort + Stelle	Eintrag; Sternhaufen; dieser Eintrag. von dieser Position; Position.	UNSPECIFIED	NONE
21	A1	f67r2	f67r2.21	A67_LEFT_CELESTIAL_WHEEL	3	53|54|55	Sternbezug + Portion; Gegenfeld; von dort	Sternbezug; Teilwert. Gegenfeld. von dieser Position.	UNSPECIFIED	NONE
22	A1	f67r2	f67r2.22	A67_LEFT_CELESTIAL_WHEEL	1	56	an die Stelle setzen	markieren; Position.	UNSPECIFIED	NONE
23	A1	f67r2	f67r2.23	A67_LEFT_CELESTIAL_WHEEL	2	57|58	Arbeitsgang + hinein + von dort + dies; Stelle + Sternbezug + Portion	Lesegang; hinein; von dieser Position; dieser Eintrag. Position; Sternbezug; Teilwert.	UNSPECIFIED	NONE
24	A1	f67r2	f67r2.24	A67_LEFT_CELESTIAL_WHEEL	3	59|60|61	Sternbezug + Arbeitsgang + von dort; Arbeitsgang + Aussenbezug + von dort; von dort	Sternbezug; Lesegang; von dieser Position. Lesegang; Aussenbezug; von dieser Position. von dieser Position.	UNSPECIFIED	NONE
25	A1	f67r2	f67r2.25	A67_LEFT_CELESTIAL_WHEEL	1	62	dies + Teiladresse + Gegenfeld	dieser Eintrag; Teiladresse; Gegenfeld.	UNSPECIFIED	NONE
26	A1	f67r2	f67r2.26	A67_LEFT_CELESTIAL_WHEEL	3	63|64|65	dies + eintragen + kurz + Arbeitsgang + Ansatz; dies + eintragen + Arbeitsgang; dies + zufuehren + Ansatz	dieser Eintrag; eintragen; kurze Stufe; Lesegang; Einstellung. dieser Eintrag; eintragen; Lesegang. dieser Eintrag; zuordnen; Einstellung.	UNSPECIFIED	NONE
27	A1	f67r2	f67r2.27	A67_LEFT_CELESTIAL_WHEEL	4	66|67|68|69	ansetzen + kurz + Arbeitsgang; senken; Mass; Gegenfeld	markieren; kurze Stufe; Lesegang. senken. Wert. Gegenfeld.	UNSPECIFIED	NONE
28	A1	f67r2	f67r2.28	A67_LEFT_CELESTIAL_WHEEL	2	70|71	eine Portion zugeben; Gegenfeld	markieren; Teilwert. Gegenfeld.	UNSPECIFIED	NONE
29	A1	f67r2	f67r2.29	A67_LEFT_CELESTIAL_WHEEL	2	72|73	dies + eintragen + Arbeitsgang + dies; Mass	dieser Eintrag; eintragen; Lesegang; dieser Eintrag. Wert.	UNSPECIFIED	NONE
30	A1	f67r2	f67r2.30	A67_LEFT_CELESTIAL_WHEEL	2	74|75	Arbeitsgang + fortsetzen; fortsetzen + fortsetzen	Lesegang; weiterzaehlen. weiterzaehlen; weiterzaehlen.	UNSPECIFIED	NONE
31	A1	f67r2	f67r2.31	A67_LEFT_CELESTIAL_WHEEL	1	76	Arbeitsgang + hinein + fortsetzen + Schluss	Lesegang; hinein; weiterzaehlen; Eintrag schliessen.	UNSPECIFIED	NONE
32	A1	f67r2	f67r2.32	A67_LEFT_CELESTIAL_WHEEL	4	77|78|79|80	Teiladresse + Arbeitsgang + von dort; Arbeitsgang + Teiladresse + Nebenadresse + Sternbezug; Lauf; Stelle + Mass	Teiladresse; Lesegang; von dieser Position. Lesegang; Teiladresse; Nebenadresse; Sternbezug. Bahn. Position; Wert.	UNSPECIFIED	NONE
33	A1	f67r2	f67r2.33	A67_LEFT_CELESTIAL_WHEEL	3	81|82|83	Teiladresse + ansetzen + Abschnitt; Arbeitsgang + kurz + von dort; Arbeitsgang + Stelle	Teiladresse; markieren; Abschnitt. Lesegang; kurze Stufe; von dieser Position. Lesegang; Position.	UNSPECIFIED	NONE
34	A1	f67r2	f67r2.34	A67_LEFT_CELESTIAL_WHEEL	2	84|85	Arbeitsgang + Aussenbezug + von dort; Arbeitsgang + kurz + fortsetzen + Teiladresse + Abschnitt	Lesegang; Aussenbezug; von dieser Position. Lesegang; kurze Stufe; weiterzaehlen; Teiladresse; Abschnitt.	UNSPECIFIED	NONE
35	A1	f67r2	f67r2.35	A67_LEFT_CELESTIAL_WHEEL	3	86|87|88	fortsetzen; Strahlmarke + Sollstufe; ansetzen + fortsetzen	weiterzaehlen. Strahlmarke; Sollstufe. markieren; weiterzaehlen.	UNSPECIFIED	NONE
36	A1	f67r2	f67r2.36	A67_LEFT_CELESTIAL_WHEEL	3	89|90|91	dies + eintragen + Ansatz; Mass; Ansatz	dieser Eintrag; eintragen; Einstellung. Wert. Einstellung.	UNSPECIFIED	NONE
37	A1	f67r2	f67r2.37	A67_LEFT_CELESTIAL_WHEEL	1	92	dies + eintragen + Arbeitsgang + Mass	dieser Eintrag; eintragen; Lesegang; Wert.	UNSPECIFIED	NONE
38	A1	f67r2	f67r2.38	A67_LEFT_CELESTIAL_WHEEL	2	93|94	danach + fortsetzen + Teiladresse + Arbeitsgang + Sternbezug; Arbeitsgang + bereit + fortsetzen + kurz	naechster Eintrag; weiterzaehlen; Teiladresse; Lesegang; Sternbezug. Lesegang; gueltig; weiterzaehlen; kurze Stufe.	UNSPECIFIED	NONE
39	A1	f67r2	f67r2.39	A67_LEFT_CELESTIAL_WHEEL	3	95|96|97	Ansatz; umsetzen + Mass; dies	Einstellung. uebertragen; Wert. dieser Eintrag.	UNSPECIFIED	NONE
40	A1	f67r2	f67r2.40	A67_LEFT_CELESTIAL_WHEEL	3	98|99|100	dies + eintragen + kurz + Arbeitsgang + Sternbezug; Arbeitsgang + Sollstufe; Arbeitsgang + Strahlmarke	dieser Eintrag; eintragen; kurze Stufe; Lesegang; Sternbezug. Lesegang; Sollstufe. Lesegang; Strahlmarke.	UNSPECIFIED	NONE
41	A1	f67r2	f67r2.41	A67_LEFT_CELESTIAL_WHEEL	2	101|102	dies + eintragen + Arbeitsgang + kurz + Arbeitsgang + hinein + dies; entnehmen + kurz + zufuehren + Arbeitsgang + Schluss	dieser Eintrag; eintragen; Lesegang; kurze Stufe; Lesegang; hinein; dieser Eintrag. Eintrag entnehmen; kurze Stufe; zuordnen; Lesegang; Eintrag schliessen.	UNSPECIFIED	NONE
42	A1	f67r2	f67r2.42	A67_LEFT_CELESTIAL_WHEEL	3	103|104|105	Sternbezug + Arbeitsgang + Gabe; Gabe + Sternbezug; Arbeitsgang + Durchgang + dies	Sternbezug; Lesegang; Eintrag. Eintrag; Sternbezug. Lesegang; Diagrammdurchgang; dieser Eintrag.	UNSPECIFIED	NONE
43	A1	f67r2	f67r2.43	A67_LEFT_CELESTIAL_WHEEL	4	106|107|108|109	Mass; Mass; Fach; Sternbezug + Strahlmarke	Wert. Wert. Feld. Sternbezug; Strahlmarke.	UNSPECIFIED	NONE
44	A1	f67r2	f67r2.44	A67_LEFT_CELESTIAL_WHEEL	3	110|111|112	Arbeitsgang + Aussenbezug + dies + dies; halten + kurz + Arbeitsgang + dies; Mass	Lesegang; Aussenbezug; dieser Eintrag; dieser Eintrag. beibehalten; kurze Stufe; Lesegang; dieser Eintrag. Wert.	UNSPECIFIED	NONE
45	A1	f67r2	f67r2.45	A67_LEFT_CELESTIAL_WHEEL	3	113|114|115	dies + Entnahme + dies; kurz + Sternbezug; Arbeitsgang + Teiladresse + Nebenadresse + Zaehlstrich + Sollstufe	dieser Eintrag; entnommener Wert; dieser Eintrag. kurze Stufe; Sternbezug. Lesegang; Teiladresse; Nebenadresse; Zaehlstrich; Sollstufe.	UNSPECIFIED	NONE
46	A1	f67r2	f67r2.46	A67_LEFT_CELESTIAL_WHEEL	2	116|117	dies + kurz + zufuehren + laenger + Sternbezug; Ansatz + Stelle + dies	dieser Eintrag; kurze Stufe; zuordnen; lange Stufe; Sternbezug. Einstellung; Position; dieser Eintrag.	UNSPECIFIED	NONE
47	A1	f67r2	f67r2.47	A67_LEFT_CELESTIAL_WHEEL	1	118	dies + Aussenbezug + Portion	dieser Eintrag; Aussenbezug; Teilwert.	UNSPECIFIED	NONE
48	A1	f67r2	f67r2.48	A67_LEFT_CELESTIAL_WHEEL	3	119|120|121	eintragen + Arbeitsgang + Mass; Portion; dies	eintragen; Lesegang; Wert. Teilwert. dieser Eintrag.	UNSPECIFIED	NONE
49	A1	f67r2	f67r2.49	A67_LEFT_CELESTIAL_WHEEL	3	122|123|124	Fach; Gabe + kurz + senken; Mass	Feld. Eintrag; kurze Stufe; senken. Wert.	UNSPECIFIED	NONE
50	A1	f67r2	f67r2.50	A67_LEFT_CELESTIAL_WHEEL	2	125|126	Gabe + laenger + Nebenadresse; Stelle	Eintrag; lange Stufe; Nebenadresse. Position.	UNSPECIFIED	NONE
51	A1	f67r2	f67r2.51	A67_LEFT_CELESTIAL_WHEEL	1	127	Teiladresse + Nebenadresse + Mass	Teiladresse; Nebenadresse; Wert.	UNSPECIFIED	NONE
52	A1	f67r2	f67r2.52	A67_LEFT_CELESTIAL_WHEEL	1	128	danach + Arbeitsgang + kurz + von dort	naechster Eintrag; Lesegang; kurze Stufe; von dieser Position.	UNSPECIFIED	NONE
53	A1	f67r2	f67r2.53	A67_LEFT_CELESTIAL_WHEEL	1	129	Teiladresse + umsetzen + von dort	Teiladresse; uebertragen; von dieser Position.	UNSPECIFIED	NONE
54	A1	f67r2	f67r2.54	A67_LEFT_CELESTIAL_WHEEL	2	130|131	dies; Stelle + Stelle	dieser Eintrag. Position; Position.	UNSPECIFIED	NONE
55	A1	f67r2	f67r2.55	A67_LEFT_CELESTIAL_WHEEL	1	132	dies + eintragen + Arbeitsgang + Stelle	dieser Eintrag; eintragen; Lesegang; Position.	UNSPECIFIED	NONE
56	A1	f67r2	f67r2.56	A67_LEFT_CELESTIAL_WHEEL	2	133|134	fortsetzen; Mass	weiterzaehlen. Wert.	UNSPECIFIED	NONE
57	A1	f67r2	f67r2.57	A67_LEFT_CELESTIAL_WHEEL	2	135|136	danach von dort; dies	naechster Eintrag; von dieser Position. dieser Eintrag.	UNSPECIFIED	NONE
58	A1	f67r2	f67r2.58	A67_LEFT_CELESTIAL_WHEEL	3	137|138|139	Gabe; Stelle; Strahlmarke	Eintrag. Position. Strahlmarke.	UNSPECIFIED	NONE
59	A1	f67r2	f67r2.59	A67_LEFT_CELESTIAL_WHEEL	1	140	dies + eintragen + Gabe + fuehren + dies	dieser Eintrag; eintragen; Eintrag; fuehren; dieser Eintrag.	UNSPECIFIED	NONE
60	A1	f67r2	f67r2.60	A67_LEFT_CELESTIAL_WHEEL	1	141	Arbeitsgang + bereit + dies + Sternbezug	Lesegang; gueltig; dieser Eintrag; Sternbezug.	UNSPECIFIED	NONE
61	A1	f67r2	f67r2.61	A67_LEFT_CELESTIAL_WHEEL	1	142	dies + eintragen + ansetzen + von dort	dieser Eintrag; eintragen; markieren; von dieser Position.	UNSPECIFIED	NONE
62	A1	f67r2	f67r2.62	A67_LEFT_CELESTIAL_WHEEL	1	143	danach + fortsetzen + Ansatz	naechster Eintrag; weiterzaehlen; Einstellung.	UNSPECIFIED	NONE
63	A1	f67r2	f67r2.63	A67_LEFT_CELESTIAL_WHEEL	1	144	ansetzen + Arbeitsgang + von dort	markieren; Lesegang; von dieser Position.	UNSPECIFIED	NONE
64	A1	f67r2	f67r2.64	A67_RIGHT_CELESTIAL_WHEEL	2	145|146	Sternbezug; Lauf	Sternbezug. Bahn.	UNSPECIFIED	NONE
65	A1	f67r2	f67r2.65	A67_RIGHT_CELESTIAL_WHEEL	1	147	Sternbezug + Arbeitsgang + kurz + von dort	Sternbezug; Lesegang; kurze Stufe; von dieser Position.	UNSPECIFIED	NONE
66	A1	f67r2	f67r2.66	A67_RIGHT_CELESTIAL_WHEEL	1	148	Sternfigur + laenger + dies	Sternfigur; lange Stufe; dieser Eintrag.	UNSPECIFIED	NONE
67	A1	f67r2	f67r2.67	A67_RIGHT_CELESTIAL_WHEEL	1	149	ansetzen + Arbeitsgang + von dort	markieren; Lesegang; von dieser Position.	UNSPECIFIED	NONE
68	A1	f67r2	f67r2.68	A67_RIGHT_CELESTIAL_WHEEL	1	150	Arbeitsgang + kurz + hinein + Gabe + Teiladresse	Lesegang; kurze Stufe; hinein; Eintrag; Teiladresse.	UNSPECIFIED	NONE
69	A1	f67r2	f67r2.69	A67_RIGHT_CELESTIAL_WHEEL	2	151|152	Sternbezug; Nebenadresse + dies	Sternbezug. Nebenadresse; dieser Eintrag.	UNSPECIFIED	NONE
70	A1	f67r2	f67r2.70	A67_RIGHT_CELESTIAL_WHEEL	1	153	Arbeitsgang + von dort	Lesegang; von dieser Position.	UNSPECIFIED	NONE
71	A1	f67r2	f67r2.71	A67_RIGHT_CELESTIAL_WHEEL	1	154	Ansatz + Abschnitt	Einstellung; Abschnitt.	UNSPECIFIED	NONE
72	A1	f67r2	f67r2.72	A67_LEFT_CELESTIAL_WHEEL	12	155|156|157|158|159|160|161|162|163|164|165|166	von dort; Stelle + Mass; dies + Mass; zufuehren + Arbeitsgang + dies; dies + Mass; Arbeitsgang + Aussenbezug + Lauf; dies + hinein + Lauf; dies + zufuehren + Arbeitsgang + Mass; dies + Teiladresse + fortsetzen + dies; dies + Stelle + Gabe + Sternbezug; fortsetzen + dies; kurz ansetzen	von dieser Position. Position; Wert. dieser Eintrag; Wert. zuordnen; Lesegang; dieser Eintrag. dieser Eintrag; Wert. Lesegang; Aussenbezug; Bahn. dieser Eintrag; hinein; Bahn. dieser Eintrag; zuordnen; Lesegang; Wert. dieser Eintrag; Teiladresse; weiterzaehlen; dieser Eintrag. dieser Eintrag; Position; Eintrag; Sternbezug. weiterzaehlen; dieser Eintrag. markieren; kurze Stufe; dieser Eintrag.	UNSPECIFIED	NONE
73	A1	f67r2	f67r2.73	A67_RIGHT_CELESTIAL_WHEEL	11	167|168|169|170|171|172|173|174|175|176|177	Sternbezug + halten + kurz + dies; dies; halten + laenger + Sternbezug; kurz + dies + zufuehren + laenger + dies; dies + zufuehren + dies; dies + zufuehren + dies; ansetzen + kurz + Arbeitsgang + dies; Arbeitsgang + Mass; ansetzen + fortsetzen; von dort; fortsetzen + von dort	Sternbezug; beibehalten; kurze Stufe; dieser Eintrag. dieser Eintrag. beibehalten; lange Stufe; Sternbezug. kurze Stufe; dieser Eintrag; zuordnen; lange Stufe; dieser Eintrag. dieser Eintrag; zuordnen; dieser Eintrag. dieser Eintrag; zuordnen; dieser Eintrag. markieren; kurze Stufe; Lesegang; dieser Eintrag. Lesegang; Wert. markieren; weiterzaehlen. von dieser Position. weiterzaehlen; von dieser Position.	UNSPECIFIED	NONE
74	A1	f67r2	f67r2.74	A67_PAIRED_WHEEL_PAGE_LEGEND_UNRESOLVED	13	178|179|180|181|182|183|184|185|186|187|188|189|190	dies + halten + kurz + dies; ansetzen + laenger + Arbeitsgang + dies; Entnahme + Sternbezug; Arbeitsgang + laenger + Arbeitsgang + Sternbezug; Arbeitsgang + Durchgang + dies; Gabe + Sternbezug; Mass; ansetzen + laenger + Arbeitsgang + dies; ansetzen + Arbeitsgang + Mass; Arbeitsgang + Portion; von dort; Lauf; Nebenadresse + dies	dieser Eintrag; beibehalten; kurze Stufe; dieser Eintrag. markieren; lange Stufe; Lesegang; dieser Eintrag. entnommener Wert; Sternbezug. Lesegang; lange Stufe; Lesegang; Sternbezug. Lesegang; Diagrammdurchgang; dieser Eintrag. Eintrag; Sternbezug. Wert. markieren; lange Stufe; Lesegang; dieser Eintrag. markieren; Lesegang; Wert. Lesegang; Teilwert. von dieser Position. Bahn. Nebenadresse; dieser Eintrag.	UNSPECIFIED	NONE
75	A2	f68r1	f68r1.1	A68_LEFT_STAR_PANEL	9	191|192|193|194|195|196|197|198|199	Gabe + zufuehren + dies; entnehmen + eintragen + laenger + dies; Gabe + eintragen + laenger + dies; Sternfigur + fortsetzen; Entnahme + senken; Arbeitsgang + hinein + entnehmen + laenger + fortsetzen; danach + Ansatz; Gabe + bereit + vollstaendig + dies; ansetzen + Gabe + Stelle	Eintrag; zuordnen; dieser Eintrag. Eintrag entnehmen; eintragen; lange Stufe; dieser Eintrag. Eintrag; eintragen; lange Stufe; dieser Eintrag. Sternfigur; weiterzaehlen. entnommener Wert; senken. Lesegang; hinein; Eintrag entnehmen; lange Stufe; weiterzaehlen. naechster Eintrag; Einstellung. Eintrag; gueltig; volle Stufe; dieser Eintrag. markieren; Eintrag; Position.	UNSPECIFIED	NONE
76	A2	f68r1	f68r1.2	A68_MIDDLE_STAR_PANEL	9	200|201|202|203|204|205|206|207|208	eintragen + Arbeitsgang + entnehmen + Sternbezug + Arbeitsgang; danach + entnehmen + fuehren; vollständig ansetzen; Schluss; Ergebnis; entnehmen + laenger + eintragen + laenger + dies; dies + eintragen + kurz + Arbeitsgang + dies; entnehmen + hinein + Ansatz; Entnahme + zufuehren + Ansatz + dies; Gabe + Teiladresse	eintragen; Lesegang; Eintrag entnehmen; Sternbezug; Lesegang. naechster Eintrag; Eintrag entnehmen; fuehren. markieren; volle Stufe; Eintrag schliessen. Resultat. Eintrag entnehmen; lange Stufe; eintragen; lange Stufe; dieser Eintrag. dieser Eintrag; eintragen; kurze Stufe; Lesegang; dieser Eintrag. Eintrag entnehmen; hinein; Einstellung. entnommener Wert; zuordnen; Einstellung; dieser Eintrag. Eintrag; Teiladresse.	UNSPECIFIED	NONE
77	A2	f68r1	f68r1.3	A68_RIGHT_STAR_PANEL	8	209|210|211|212|213|214|215|216	dies + zufuehren + Ansatz; Ergebnis; Arbeitsgang + entnehmen + laenger + dies; Gabe + zufuehren + Stelle; länger ansetzen; senken + Ansatz; kurz + trennen + von dort; von dort + Gegenfeld	dieser Eintrag; zuordnen; Einstellung. Resultat. Lesegang; Eintrag entnehmen; lange Stufe; dieser Eintrag. Eintrag; zuordnen; Position. markieren; lange Stufe; dieser Eintrag. senken; Einstellung. kurze Stufe; Bereiche trennen; von dieser Position. von dieser Position; Gegenfeld.	UNSPECIFIED	NONE
78	A2	f68r1	f68r1.4	A68_MULTIPANEL_STAR_ATLAS	2	217|218	Teiladresse + Ansatz; ansetzen + Nebenadresse + Zaehlstrich + Sollstufe	Teiladresse; Einstellung. markieren; Nebenadresse; Zaehlstrich; Sollstufe.	UNSPECIFIED	NONE
79	A2	f68r1	f68r1.5	A68_MULTIPANEL_STAR_ATLAS	1	219	dies + zufuehren + dies	dieser Eintrag; zuordnen; dieser Eintrag.	UNSPECIFIED	NONE
80	A2	f68r1	f68r1.6	A68_MULTIPANEL_STAR_ATLAS	1	220	von dort + dies	von dieser Position; dieser Eintrag.	UNSPECIFIED	NONE
81	A2	f68r1	f68r1.7	A68_MULTIPANEL_STAR_ATLAS	1	221	anheben + dies + zufuehren + fortsetzen + dies	Stufe anheben; dieser Eintrag; zuordnen; weiterzaehlen; dieser Eintrag.	UNSPECIFIED	NONE
82	A2	f68r1	f68r1.8	A68_MULTIPANEL_STAR_ATLAS	1	222	ansetzen + Arbeitsgang + Stelle + dies	markieren; Lesegang; Position; dieser Eintrag.	UNSPECIFIED	NONE
83	A2	f68r1	f68r1.9	A68_MULTIPANEL_STAR_ATLAS	1	223	Arbeitsgang + Teiladresse + entnehmen + kurz + bereit + dies	Lesegang; Teiladresse; Eintrag entnehmen; kurze Stufe; gueltig; dieser Eintrag.	UNSPECIFIED	NONE
84	A2	f68r1	f68r1.10	A68_MULTIPANEL_STAR_ATLAS	1	224	danach + Entnahme + Schluss	naechster Eintrag; entnommener Wert; Eintrag schliessen.	UNSPECIFIED	NONE
85	A2	f68r1	f68r1.11	A68_MULTIPANEL_STAR_ATLAS	1	225	ansetzen + Arbeitsgang + Stelle + dies	markieren; Lesegang; Position; dieser Eintrag.	UNSPECIFIED	NONE
86	A2	f68r1	f68r1.12	A68_MULTIPANEL_STAR_ATLAS	1	226	Gabe + Sternhaufen + dies	Eintrag; Sternhaufen; dieser Eintrag.	UNSPECIFIED	NONE
87	A2	f68r1	f68r1.13	A68_MULTIPANEL_STAR_ATLAS	1	227	Arbeitsgang + bereit + kurz + dies	Lesegang; gueltig; kurze Stufe; dieser Eintrag.	UNSPECIFIED	NONE
88	A2	f68r1	f68r1.14	A68_MULTIPANEL_STAR_ATLAS	1	228	danach + halten + kurz + dies	naechster Eintrag; beibehalten; kurze Stufe; dieser Eintrag.	UNSPECIFIED	NONE
89	A2	f68r1	f68r1.15	A68_MULTIPANEL_STAR_ATLAS	1	229	danach + dies + Schluss	naechster Eintrag; dieser Eintrag; Eintrag schliessen.	UNSPECIFIED	NONE
90	A2	f68r1	f68r1.16	A68_MULTIPANEL_STAR_ATLAS	1	230	ansetzen + kurz + von dort	markieren; kurze Stufe; von dieser Position.	UNSPECIFIED	NONE
91	A2	f68r1	f68r1.17	A68_MULTIPANEL_STAR_ATLAS	1	231	Sternfigur + Arbeitsgang + bereit + dies	Sternfigur; Lesegang; gueltig; dieser Eintrag.	UNSPECIFIED	NONE
92	A2	f68r1	f68r1.18	A68_MULTIPANEL_STAR_ATLAS	1	232	dies + eintragen + Gabe + Schluss	dieser Eintrag; eintragen; Eintrag; Eintrag schliessen.	UNSPECIFIED	NONE
93	A2	f68r1	f68r1.19	A68_MULTIPANEL_STAR_ATLAS	1	233	danach + dies + Sternbezug	naechster Eintrag; dieser Eintrag; Sternbezug.	UNSPECIFIED	NONE
94	A2	f68r1	f68r1.20	A68_MULTIPANEL_STAR_ATLAS	1	234	weiterer Ansatz	weiterzaehlen; Einstellung.	UNSPECIFIED	NONE
95	A2	f68r1	f68r1.21	A68_MULTIPANEL_STAR_ATLAS	1	235	Arbeitsgang + Durchgang + dies	Lesegang; Diagrammdurchgang; dieser Eintrag.	UNSPECIFIED	NONE
