surface	target_family	reader_exact_occurrences	dry_d1	dry_r3	dry_line	dry_d1_r3_line	moist_d1	moist_r3	moist_line	moist_d1_r3_line	hot_d1	hot_r3	hot_line	hot_d1_r3_line	cold_d1	cold_r3	cold_line	cold_d1_r3_line	stage_d1	stage_r3	stage_line	stage_d1_r3_line	value_amount_d1	value_amount_r3	value_amount_line	value_amount_d1_r3_line	cthy_leaf_d1	cthy_leaf_r3	cthy_leaf_line	cthy_leaf_d1_r3_line	chor_repro_d1	chor_repro_r3	chor_repro_line	chor_repro_d1_r3_line	prep_d1	prep_r3	prep_line	prep_d1_r3_line	process_close_d1	process_close_r3	process_close_line	process_close_d1_r3_line	h1_d1	h1_r3	h1_line	h1_d1_r3_line	h2_d1	h2_r3	h2_line	h2_d1_r3_line	specific_substance_identity_from_cofields	component_credit
ofchy	OFCH_CONTAINING	3	0	0	1	0/0/1	0	0	0	0/0/0	1	1	1	1/1/1	0	1	1	0/1/1	0	1	2	0/1/2	2	2	2	2/2/2	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	1	1	0/1/1	1	1	1	1/1/1	0	0	1	0/0/1	OPEN	0
qofchal	OFCH_CONTAINING	1	1	1	1	1/1/1	0	0	1	0/0/1	1	1	1	1/1/1	0	0	0	0/0/0	1	1	1	1/1/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	1	0/0/1	0	0	0	0/0/0	OPEN	0
qofchdar	OFCH_CONTAINING	1	1	1	1	1/1/1	0	1	1	0/1/1	0	0	1	0/0/1	0	0	1	0/0/1	0	1	1	0/1/1	1	1	1	1/1/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	1	1	0/1/1	0	0	0	0/0/0	0	0	0	0/0/0	OPEN	0
qofchdy	OFCH_CONTAINING	1	0	1	1	0/1/1	1	1	1	1/1/1	0	0	0	0/0/0	0	0	0	0/0/0	1	1	1	1/1/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	1	1	0/1/1	0	0	0	0/0/0	0	0	0	0/0/0	OPEN	0
qofchedy	OFCH_CONTAINING	5	0	2	2	0/2/2	0	0	0	0/0/0	0	1	2	0/1/2	0	0	0	0/0/0	0	2	3	0/2/3	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	1	1	0/1/1	0	2	3	0/2/3	1	1	1	1/1/1	OPEN	0
qofcheepy	OFCH_CONTAINING	1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	1	0/0/1	0	0	1	0/0/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	1	1	1	1/1/1	0	0	0	0/0/0	OPEN	0
qofcheol	OFCH_CONTAINING	2	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	OPEN	0
qofchey	OFCH_CONTAINING	1	0	0	0	0/0/0	1	1	1	1/1/1	0	0	0	0/0/0	0	0	0	0/0/0	1	1	1	1/1/1	0	0	1	0/0/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	OPEN	0
qofchol	OFCH_CONTAINING	2	1	1	1	1/1/1	0	0	0	0/0/0	1	1	1	1/1/1	0	0	0	0/0/0	1	1	1	1/1/1	0	1	1	0/1/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	OPEN	0
qofchor	OFCH_CONTAINING	1	0	0	0	0/0/0	0	0	1	0/0/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	1	0/0/1	0	1	1	0/1/1	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	0	0	0	0/0/0	1	1	1	1/1/1	OPEN	0
schor	CHOR_SCHOR_LCHOR	3	1	1	1	1/1/1	0	1	1	0/1/1	1	1	1	1/1/1	0	0	0	0/0/0	1	1	1	1/1/1	1	1	2	1/1/2	0	0	0	0/0/0	0	0	0	0/0/0	1	1	1	1/1/1	0	0	0	0/0/0	0	0	1	0/0/1	1	1	1	1/1/1	OPEN	0
