surface	target_family	reader_exact_occurrences	predicted_channel	selected_target_free_substance_candidate	selected_target_free_substance_de	substance_evidence_level_0_4	selected_target_free_form_candidate	selected_target_free_form_de	form_evidence_level_0_4	portable_working_class_de	forced_concrete_default_de	forced_concrete_identity_confidence	form_confidence	prior_concrete_default_de	gdt767_default_disposition	primary_rival_de	secondary_rival_de	dry_d1_r3_line	moist_d1_r3_line	value_amount_d1_r3_line	prep_d1_r3_line	process_close_d1_r3_line	cthy_leaf_d1_r3_line	chor_repro_d1_r3_line	zero_admitted_target_free_features	evidence	counterevidence	specific_identity_replaceable	confirmed_lexeme	component_credit	unseen_form_export
ofchtar	OFCH_CONTAINING	1	PART_AMOUNT	S00	benannte Arzneidroge	0	F00	Arzneiform offen	0	Drogenportion oder Drogenanteil; target-freie Kontextklasse Arzneiform offen	abgemessener Blütenanteil	C0_REPLACEABLE_DEFAULT	C0_LOCAL_OR_FALLBACK_FORM	abgemessener Blütenanteil	legacy concrete default retained until contradicted or replaced	feuchter Blütenanteil	Anteil einer anderen Arzneidroge	0/0/0	0/1/1	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0	form=F00 level=0, hits D1/R3/line=0/0/0; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
ofchy	OFCH_CONTAINING	3	BASE_CONTENT	S00	benannte Arzneidroge	0	F01	Rohdroge	4	benannter Drogen- oder Pflanzenteilkopf; target-freie Kontextklasse Rohdroge	Blütenmasse	C0_REPLACEABLE_DEFAULT	C2_REPEATED_TARGET_FREE_FORM_GATE	Blütenmasse	legacy concrete default retained until contradicted or replaced	Blütenzubereitung	sonstige benannte Arzneidroge	0/0/1	0/0/0	2/2/2	0/0/0	0/1/1	0/0/0	0/0/0	0	form=F01 level=4, hits D1/R3/line=2/2/2; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
qofchal	OFCH_CONTAINING	1	DRY_RESULT	S00	benannte Arzneidroge	0	F02	getrocknete Droge	2	Trockenmaterial oder Trockenbereitung; target-freie Kontextklasse getrocknete Droge	heiß-trockener Blütenrohstoff	C0_REPLACEABLE_DEFAULT	C1_TARGET_FREE_FORM_GATE	heiß-trockener Blütenrohstoff	legacy concrete default retained until contradicted or replaced	getrocknete Blütenzubereitung	qualifizierter Rohstoff ohne Stoffidentität	1/1/1	0/0/1	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0	form=F02 level=2, hits D1/R3/line=1/1/1; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
qofchdar	OFCH_CONTAINING	1	PART_AMOUNT	S00	benannte Arzneidroge	0	F01	Rohdroge	2	Drogenportion oder Drogenanteil; target-freie Kontextklasse Rohdroge	abgemessener Blütenanteil	C0_REPLACEABLE_DEFAULT	C1_TARGET_FREE_FORM_GATE	abgemessener Blütenanteil	legacy concrete default retained until contradicted or replaced	Blütendosis	abgemessener Anteil einer anderen Droge	1/1/1	0/1/1	1/1/1	0/0/0	0/1/1	0/0/0	0/0/0	0	form=F01 level=2, hits D1/R3/line=1/1/1; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
qofchdy	OFCH_CONTAINING	1	MOIST_PREPARATION	S00	benannte Arzneidroge	0	F00	Arzneiform offen	0	feuchte Zubereitung einer benannten Droge; target-freie Kontextklasse Arzneiform offen	angefeuchtete Blütenzubereitung	C0_REPLACEABLE_DEFAULT	C0_LOCAL_OR_FALLBACK_FORM	angefeuchtete Blütenzubereitung	legacy concrete default retained until contradicted or replaced	Blütenmazerat	angefeuchtete sonstige Zubereitung	0/1/1	1/1/1	0/0/0	0/0/0	0/1/1	0/0/0	0/0/0	0	form=F00 level=0, hits D1/R3/line=0/0/0; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
qofchedy	OFCH_CONTAINING	5	DRY_RESULT	S00	benannte Arzneidroge	0	F02	getrocknete Droge	4	Trockenmaterial oder Trockenbereitung; target-freie Kontextklasse getrocknete Droge	vollständig getrocknete Blütenfraktion	C0_REPLACEABLE_DEFAULT	C2_REPEATED_TARGET_FREE_FORM_GATE	vollständig getrocknete Blütenfraktion	legacy concrete default retained until contradicted or replaced	getrocknete Fruchtfraktion	qualifizierte Trockenfraktion ohne Stoffidentität	0/2/2	0/0/0	0/0/0	0/0/0	0/1/1	0/0/0	0/0/0	0	form=F02 level=4, hits D1/R3/line=0/2/2; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
qofcheepy	OFCH_CONTAINING	1	PREPARATION	S00	benannte Arzneidroge	0	F00	Arzneiform offen	0	Zubereitung einer benannten Droge; target-freie Kontextklasse Arzneiform offen	feine Blütenzubereitung	C0_REPLACEABLE_DEFAULT	C0_LOCAL_OR_FALLBACK_FORM	feine Blütenzubereitung	legacy concrete default retained until contradicted or replaced	Blütenzubereitung Form II	Zubereitung ohne Stoffidentität	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0	form=F00 level=0, hits D1/R3/line=0/0/0; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
qofcheol	OFCH_CONTAINING	2	EXTRACT	S00	benannte Arzneidroge	0	F00	Arzneiform offen	0	benannte Zubereitung; Auszug oder Flüssigkeit nicht identifiziert; target-freie Kontextklasse Arzneiform offen	Blütenzubereitung	C0_REPLACEABLE_DEFAULT	C0_LOCAL_OR_FALLBACK_FORM	Blütenauszug	Auszug, Oel, Wasser, Wein oder Essig bleiben C0-Rivalen	Blütenaufguss	qualifizierte Zubereitung ohne Stoffidentität	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	0/0/0	1	form=F00 level=0, hits D1/R3/line=0/0/0; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
qofchey	OFCH_CONTAINING	1	MOIST_PREPARATION	S00	benannte Arzneidroge	0	F00	Arzneiform offen	0	feuchte Zubereitung einer benannten Droge; target-freie Kontextklasse Arzneiform offen	angefeuchtete Blütenzubereitung	C0_REPLACEABLE_DEFAULT	C0_LOCAL_OR_FALLBACK_FORM	angefeuchtete Blütenzubereitung	legacy concrete default retained until contradicted or replaced	Blütenmazerat	angefeuchtete sonstige Zubereitung	0/0/0	1/1/1	0/0/1	0/0/0	0/0/0	0/0/0	0/0/0	0	form=F00 level=0, hits D1/R3/line=0/0/0; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
qofchol	OFCH_CONTAINING	2	DRY_RESULT	S00	benannte Arzneidroge	0	F02	getrocknete Droge	2	Trockenmaterial oder Trockenbereitung; target-freie Kontextklasse getrocknete Droge	getrocknete Blütenzubereitung	C0_REPLACEABLE_DEFAULT	C1_TARGET_FREE_FORM_GATE	getrocknete Blütenzubereitung	legacy concrete default retained until contradicted or replaced	getrocknete Blütendroge	qualifizierte Trockenbereitung ohne Stoffidentität	1/1/1	0/0/0	0/1/1	0/0/0	0/0/0	0/0/0	0/0/0	0	form=F02 level=2, hits D1/R3/line=1/1/1; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
qofchor	OFCH_CONTAINING	1	PART_AMOUNT	S00	benannte Arzneidroge	0	F01	Rohdroge	2	Drogenportion oder Drogenanteil; target-freie Kontextklasse Rohdroge	Blütenportion	C0_REPLACEABLE_DEFAULT	C1_TARGET_FREE_FORM_GATE	Blütenportion	legacy concrete default retained until contradicted or replaced	Blütenstandsposten	qualifizierter Drogenposten ohne Stoffidentität	0/0/0	0/0/1	0/1/1	0/0/0	0/0/0	0/0/0	0/0/0	0	form=F01 level=2, hits D1/R3/line=0/1/1; substance=S00 level=0	No independent exact chor or cthy anchor identifies an ofch substance; specific noun is a forced working default.	1	0	0	0
schor	CHOR_SCHOR_LCHOR	3	BASE_CONTENT	S00	benannte Arzneidroge	0	F01	Rohdroge	2	Pflanzenteil-Unterposten	Blütenstandsposten	C0_REPLACEABLE_DEFAULT	C1_TARGET_FREE_FORM_GATE	Blütenstandsposten	legacy concrete default retained until contradicted or replaced	Samenstandsposten	allgemeiner Drogenposten	1/1/1	0/1/1	1/1/2	1/1/1	0/0/0	0/0/0	0/0/0	0	form=F01 level=2, hits D1/R3/line=1/1/2; substance=S00 level=0	Specific substance identity is not independently selected.	1	0	0	0
