source_occurrence_id	target_family	surface	page	locus	ordinal	line_token_count	d1_features	r3_features	line_features	d1_donors	r3_donors	line_donors	written_line_eva	all_target_surfaces_blocked_as_donors	all_donors_reader_exact_and_clean	component_credit
G767-CF0011	CHOR_SCHOR_LCHOR	chor	f107v	f107v.19	3	6	NONE	DRY|HOT|STAGE|H2	DRY|HOT|STAGE|H2	NONE	soral@1:d2[H2]|chkain@5:d2[DRY|HOT|STAGE]	soral@1:d2[H2]|chkain@5:d2[DRY|HOT|STAGE]	soral olaiin chor okaiin chkain okaiin	1	1	0
G767-CF0012	OFCH_CONTAINING	ofchdy	f108r	f108r.2	10	11	NONE	NONE	MOIST|STAGE	NONE	NONE	shedy@5:d5[MOIST|STAGE]	qokeedy chokedy chockhed qokeor shedy otal otaiin otedy qokechy ofchdy qody	1	1	0
G767-CF0013	OFCH_CONTAINING	qofchdy	f108r	f108r.35	6	10	MOIST|STAGE	DRY|MOIST|STAGE|PROCESS_CLOSE	DRY|MOIST|STAGE|PROCESS_CLOSE	shedy@5:d1[MOIST|STAGE]	shedy@5:d1[MOIST|STAGE]|cheedy@8:d2[DRY|STAGE|PROCESS_CLOSE]	shedy@5:d1[MOIST|STAGE]|cheedy@8:d2[DRY|STAGE|PROCESS_CLOSE]	pychory opchey lkeol chdar shedy qofchdy opalal cheedy qokalchdy opchdy	1	1	0
G767-CF0014	CHOR_SCHOR_LCHOR	chor	f108v	f108v.36	5	12	NONE	DRY|STAGE	DRY|STAGE|VALUE_AMOUNT	NONE	chedy@8:d3[DRY|STAGE]	daiin@1:d4[VALUE_AMOUNT]|chedy@8:d3[DRY|STAGE]	daiin shechy qokedy qokain chor chal chal chedy dain alal keedy otalys	1	1	0
G767-CF0015	CHOR_SCHOR_LCHOR	chor	f10r	f10r.6	3	9	CTHY_LEAF	CTHY_LEAF	DRY|MOIST|STAGE|CTHY_LEAF	cthy@2:d1[CTHY_LEAF]	cthy@2:d1[CTHY_LEAF]	cthy@2:d1[CTHY_LEAF]|chy@7:d4[DRY|STAGE]|shy@9:d6[MOIST|STAGE]	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	1	1	0
G767-CF0016	CHOR_SCHOR_LCHOR	chor	f10r	f10r.8	2	8	DRY|COLD|VALUE_AMOUNT|PREP	DRY|COLD|VALUE_AMOUNT|PREP	DRY|COLD|VALUE_AMOUNT|PREP	qotchor@1:d1[DRY|COLD|VALUE_AMOUNT]|otol@3:d1[COLD|PREP]	qotchor@1:d1[DRY|COLD|VALUE_AMOUNT]|otol@3:d1[COLD|PREP]|chol@4:d2[DRY]|cholor@5:d3[DRY]	qotchor@1:d1[DRY|COLD|VALUE_AMOUNT]|otol@3:d1[COLD|PREP]|chol@4:d2[DRY]|cholor@5:d3[DRY]|chol@6:d4[DRY]|daiin@7:d5[VALUE_AMOUNT]	qotchor chor otol chol cholor chol daiin dar	1	1	0
G767-CF0017	CHOR_SCHOR_LCHOR	chor	f10r	f10r.9	3	7	DRY|STAGE	DRY|STAGE	DRY|STAGE	chy@4:d1[DRY|STAGE]	chy@4:d1[DRY|STAGE]	chy@4:d1[DRY|STAGE]	oykchor shor chor chy kaiiin dy chodaiin	1	1	0
G767-CF0018	CHOR_SCHOR_LCHOR	chor	f10v	f10v.6	2	8	MOIST|PREP	MOIST|COLD|PREP	MOIST|HOT|COLD|PREP|PROCESS_CLOSE	shoiin@1:d1[MOIST|PREP]	shoiin@1:d1[MOIST|PREP]|qotoiin@5:d3[COLD|PREP]	shoiin@1:d1[MOIST|PREP]|qotoiin@5:d3[COLD|PREP]|qokol@6:d4[HOT|PROCESS_CLOSE]	shoiin chor shcthy qoty qotoiin qokol chor aiin	1	1	0
G767-CF0019	OFCH_CONTAINING	qofchedy	f111r	f111r.36	4	10	NONE	NONE	NONE	NONE	NONE	NONE	polal shedal pchedy qofchedy pykeor cheefy qopchey opchedal lfchedy pchal	1	1	0
G767-CF0020	CHOR_SCHOR_LCHOR	chor	f112r	f112r.25	7	11	HOT|STAGE|PROCESS_CLOSE	HOT|STAGE|PROCESS_CLOSE	MOIST|HOT|STAGE|PREP|PROCESS_CLOSE	kedy@6:d1[HOT|STAGE|PROCESS_CLOSE]	kedy@6:d1[HOT|STAGE|PROCESS_CLOSE]	shedy@2:d5[MOIST|STAGE]|kedy@6:d1[HOT|STAGE|PROCESS_CLOSE]|okey@11:d4[HOT|STAGE|PREP]	tedain shedy ochor okchd ykedy kedy chor aiin cheety chcthy okey	1	1	0
G767-CF0021	CHOR_SCHOR_LCHOR	chor	f113r	f113r.11	11	14	NONE	NONE	DRY|STAGE|VALUE_AMOUNT	NONE	NONE	daiin@1:d10[VALUE_AMOUNT]|cholchey@2:d9[DRY|STAGE]	daiin cholchey okecheey chokeo l sheo qoaiin shoo keeeol keody chor chor kal laram	1	1	0
G767-CF0022	CHOR_SCHOR_LCHOR	chor	f113r	f113r.11	12	14	NONE	NONE	DRY|STAGE|VALUE_AMOUNT	NONE	NONE	daiin@1:d11[VALUE_AMOUNT]|cholchey@2:d10[DRY|STAGE]	daiin cholchey okecheey chokeo l sheo qoaiin shoo keeeol keody chor chor kal laram	1	1	0
G767-CF0023	OFCH_CONTAINING	qofchedy	f113r	f113r.16	5	11	NONE	DRY|STAGE	DRY|STAGE|H1	NONE	chedy@7:d2[DRY|STAGE]	chedy@7:d2[DRY|STAGE]|por@9:d4[H1]	pcheoor olkeedy qokeedy shdy qofchedy chcfhor chedy qokeeol por aiin chepchar	1	1	0
G767-CF0024	CHOR_SCHOR_LCHOR	chor	f113r	f113r.20	8	10	NONE	DRY|VALUE_AMOUNT	DRY|VALUE_AMOUNT	NONE	chdain@6:d2[DRY|VALUE_AMOUNT]	chdain@6:d2[DRY|VALUE_AMOUNT]	kshoraiin qokeeoar shoteol lklcheol qokar chdain cphoy chor aiin ckhydy	1	1	0
G767-CF0025	CHOR_SCHOR_LCHOR	chor	f113r	f113r.24	2	7	NONE	VALUE_AMOUNT	VALUE_AMOUNT	NONE	araiin@4:d2[VALUE_AMOUNT]	araiin@4:d2[VALUE_AMOUNT]	dair chor chopchey araiin or ral arody	1	1	0
G767-CF0026	CHOR_SCHOR_LCHOR	chor	f113r	f113r.31	10	13	NONE	HOT|STAGE	HOT|COLD|STAGE	NONE	qoky@13:d3[HOT|STAGE]	ytaiin@1:d9[COLD|STAGE]|qoky@13:d3[HOT|STAGE]	ytaiin okaiin chear ckhar shal shckhy okain o ar chor cky chokain qoky	1	1	0
G767-CF0027	CHOR_SCHOR_LCHOR	chor	f113v	f113v.14	5	13	NONE	MOIST|STAGE	MOIST|STAGE	NONE	sheey@3:d2[MOIST|STAGE]	sheey@3:d2[MOIST|STAGE]	dar al sheey qotaiin chor cthol okeshos olchedy qokaiin okal o kaiin olo	1	1	0
G767-CF0028	OFCH_CONTAINING	qofcheol	f113v	f113v.33	6	10	NONE	NONE	NONE	NONE	NONE	NONE	polsairy oteo qokeedy qokaiin okal qofcheol qokaiin opalor lkch ofchr	1	1	0
G767-CF0029	OFCH_CONTAINING	ofchr	f113v	f113v.33	10	10	NONE	NONE	NONE	NONE	NONE	NONE	polsairy oteo qokeedy qokaiin okal qofcheol qokaiin opalor lkch ofchr	1	1	0
G767-CF0030	OFCH_CONTAINING	ofchedy	f114r	f114r.11	7	11	NONE	MOIST|STAGE	MOIST|STAGE	NONE	shedy@5:d2[MOIST|STAGE]	shedy@5:d2[MOIST|STAGE]	dalchy kolky qoedaiin dolor shedy qokchdy ofchedy tolpchy doiiin chocfhdy opailo	1	1	0
G767-CF0031	CHOR_SCHOR_LCHOR	chor	f114r	f114r.24	3	13	NONE	DRY|COLD|STAGE|VALUE_AMOUNT|PREP|PROCESS_CLOSE	DRY|COLD|STAGE|VALUE_AMOUNT|PREP|PROCESS_CLOSE	NONE	tchedaiin@1:d2[DRY|COLD|STAGE|VALUE_AMOUNT]|chcphey@5:d2[DRY|STAGE|PREP|PROCESS_CLOSE]|cphochy@6:d3[DRY|STAGE|PREP]	tchedaiin@1:d2[DRY|COLD|STAGE|VALUE_AMOUNT]|chcphey@5:d2[DRY|STAGE|PREP|PROCESS_CLOSE]|cphochy@6:d3[DRY|STAGE|PREP]|chos@7:d4[DRY|PREP]|chty@9:d6[DRY|COLD|STAGE]|cphy@12:d9[STAGE|PREP]|dair@13:d10[VALUE_AMOUNT]	tchedaiin oldal chor chpcheey chcphey cphochy chos aiir chty chopo sair cphy dair	1	1	0
G767-CF0032	OFCH_CONTAINING	ofcheds	f114v	f114v.14	9	9	NONE	STAGE|PREP	DRY|STAGE|PREP	NONE	shody@7:d2[STAGE|PREP]	cheo@2:d7[DRY|PREP]|shody@7:d2[STAGE|PREP]	tsheodar cheo ckhor qopchedy qopchedy qokchedy shody qotaiin ofcheds	1	1	0
G767-CF0033	OFCH_CONTAINING	qofchdar	f114v	f114v.20	7	10	DRY|VALUE_AMOUNT	DRY|MOIST|STAGE|VALUE_AMOUNT|PROCESS_CLOSE	DRY|MOIST|HOT|COLD|STAGE|VALUE_AMOUNT|PROCESS_CLOSE	daiin@6:d1[VALUE_AMOUNT]|chdor@8:d1[DRY|VALUE_AMOUNT]	shedy@4:d3[MOIST|STAGE]|daiin@6:d1[VALUE_AMOUNT]|chdor@8:d1[DRY|VALUE_AMOUNT]|chdy@9:d2[DRY|STAGE]|dary@10:d3[STAGE|VALUE_AMOUNT|PROCESS_CLOSE]	qotchody@2:d5[DRY|COLD|STAGE|PROCESS_CLOSE]|qokol@3:d4[HOT|PROCESS_CLOSE]|shedy@4:d3[MOIST|STAGE]|daiin@6:d1[VALUE_AMOUNT]|chdor@8:d1[DRY|VALUE_AMOUNT]|chdy@9:d2[DRY|STAGE]|dary@10:d3[STAGE|VALUE_AMOUNT|PROCESS_CLOSE]	tshedain qotchody qokol shedy qokchedy daiin qofchdar chdor chdy dary	1	1	0
G767-CF0034	OFCH_CONTAINING	qofchedy	f115r	f115r.19	9	10	NONE	DRY|H1	DRY|HOT|STAGE|H1	NONE	chol@6:d3[DRY]|pchody@7:d2[H1]	qokchey@2:d7[DRY|HOT|STAGE]|polchedy@5:d4[H1]|chol@6:d3[DRY]|pchody@7:d2[H1]	pcheodain qokchey qotchedy darailchedy polchedy chol pchody qotchedy qofchedy ram	1	1	0
G767-CF0035	CHOR_SCHOR_LCHOR	chor	f115r	f115r.20	7	14	HOT|STAGE	DRY|HOT|STAGE	DRY|MOIST|HOT|STAGE	qoky@6:d1[HOT|STAGE]	chedy@4:d3[DRY|STAGE]|qoky@6:d1[HOT|STAGE]|cheey@10:d3[DRY|STAGE]	chedy@4:d3[DRY|STAGE]|qoky@6:d1[HOT|STAGE]|cheey@10:d3[DRY|STAGE]|shey@14:d7[MOIST|STAGE]	lcheod lkchedy chockhy chedy qokchedy qoky chor al alor cheey qol keo r shey	1	1	0
G767-CF0036	CHOR_SCHOR_LCHOR	chor	f115r	f115r.3	3	10	PREP	PREP	DRY|PREP	od@4:d1[PREP]	od@4:d1[PREP]	od@4:d1[PREP]|cholor@8:d5[DRY]	qol cheol chor od qol chedy qockheos cholor daar oraro	1	1	0
G767-CF0037	CHOR_SCHOR_LCHOR	chor	f115r	f115r.4	4	11	DRY|STAGE	DRY|HOT|STAGE|VALUE_AMOUNT	DRY|HOT|COLD|STAGE|VALUE_AMOUNT|PROCESS_CLOSE	chey@5:d1[DRY|STAGE]	chey@5:d1[DRY|STAGE]|kchor@6:d2[DRY|HOT|VALUE_AMOUNT]	chey@5:d1[DRY|STAGE]|kchor@6:d2[DRY|HOT|VALUE_AMOUNT]|qoteedy@10:d6[COLD|STAGE|PROCESS_CLOSE]	dchedain qokeedy olkeechdy chor chey kchor orchedar otar sheod qoteedy dardyr	1	1	0
G767-CF0038	CHOR_SCHOR_LCHOR	chor	f13r	f13r.3	7	11	NONE	DRY|HOT|STAGE|PREP	DRY|HOT|STAGE|VALUE_AMOUNT|PREP	NONE	oeees@5:d2[PREP]|ykchy@9:d2[DRY|HOT|STAGE]|kchy@10:d3[DRY|HOT|STAGE]	dchor@3:d4[VALUE_AMOUNT]|oeees@5:d2[PREP]|ykchy@9:d2[DRY|HOT|STAGE]|kchy@10:d3[DRY|HOT|STAGE]	s y dchor shaiin oeees ykor chor ytshy ykchy kchy dar	1	1	0
G767-CF0039	CHOR_SCHOR_LCHOR	chor	f15r	f15r.11	5	6	H2	DRY|PROCESS_CLOSE|H2	DRY|PROCESS_CLOSE|H2	sy@4:d1[H2]	chl@3:d2[DRY|PROCESS_CLOSE]|sy@4:d1[H2]	chl@3:d2[DRY|PROCESS_CLOSE]|sy@4:d1[H2]	okaiin otaiin chl sy chor choross	1	1	0
G767-CF0040	CHOR_SCHOR_LCHOR	chor	f15v	f15v.10	2	5	PREP|H2	CTHY_LEAF|PREP|H2	CTHY_LEAF|PREP|H2	sor@1:d1[H2]|cthoiin@3:d1[PREP]	sor@1:d1[H2]|cthoiin@3:d1[PREP]|cthy@4:d2[CTHY_LEAF]	sor@1:d1[H2]|cthoiin@3:d1[PREP]|cthy@4:d2[CTHY_LEAF]	sor chor cthoiin cthy qokaiin	1	1	0
G767-CF0041	CHOR_SCHOR_LCHOR	chor	f15v	f15v.12	4	4	DRY	DRY|VALUE_AMOUNT	DRY|VALUE_AMOUNT	chol@3:d1[DRY]	daiin@1:d3[VALUE_AMOUNT]|cthor@2:d2[VALUE_AMOUNT]|chol@3:d1[DRY]	daiin@1:d3[VALUE_AMOUNT]|cthor@2:d2[VALUE_AMOUNT]|chol@3:d1[DRY]	daiin cthor chol chor	1	1	0
G767-CF0042	CHOR_SCHOR_LCHOR	chor	f15v	f15v.2	1	8	NONE	VALUE_AMOUNT|PREP	VALUE_AMOUNT|CTHY_LEAF|PREP	NONE	oro@3:d2[VALUE_AMOUNT|PREP]	oro@3:d2[VALUE_AMOUNT|PREP]|cthy@6:d5[CTHY_LEAF]	chor or oro r aiin cthy ain dar	1	1	0
G767-CF0043	CHOR_SCHOR_LCHOR	chor	f15v	f15v.5	2	6	DRY|COLD|VALUE_AMOUNT|PREP	DRY|COLD|VALUE_AMOUNT|CTHY_LEAF|PREP	DRY|COLD|VALUE_AMOUNT|CTHY_LEAF|PREP	otchor@1:d1[DRY|COLD|VALUE_AMOUNT|PREP]	otchor@1:d1[DRY|COLD|VALUE_AMOUNT|PREP]|ytchor@4:d2[DRY|COLD|VALUE_AMOUNT]|cthy@5:d3[CTHY_LEAF]	otchor@1:d1[DRY|COLD|VALUE_AMOUNT|PREP]|ytchor@4:d2[DRY|COLD|VALUE_AMOUNT]|cthy@5:d3[CTHY_LEAF]	otchor chor chor ytchor cthy s	1	1	0
G767-CF0044	CHOR_SCHOR_LCHOR	chor	f15v	f15v.8	2	7	DRY|COLD|VALUE_AMOUNT	DRY|COLD|VALUE_AMOUNT|PREP	DRY|MOIST|COLD|VALUE_AMOUNT|PREP	ytchor@1:d1[DRY|COLD|VALUE_AMOUNT]	ytchor@1:d1[DRY|COLD|VALUE_AMOUNT]|oiin@4:d2[PREP]	ytchor@1:d1[DRY|COLD|VALUE_AMOUNT]|oiin@4:d2[PREP]|shol@6:d4[MOIST]	ytchor chor ol oiin oty shol daiin	1	1	0
G767-CF0045	CHOR_SCHOR_LCHOR	chor	f16r	f16r.1	9	10	VALUE_AMOUNT	DRY|VALUE_AMOUNT	DRY|VALUE_AMOUNT	orom@10:d1[VALUE_AMOUNT]	ychy@6:d3[DRY]|daiin@7:d2[VALUE_AMOUNT]|orom@10:d1[VALUE_AMOUNT]	dor@5:d4[VALUE_AMOUNT]|ychy@6:d3[DRY]|daiin@7:d2[VALUE_AMOUNT]|orom@10:d1[VALUE_AMOUNT]	pocheody qopchey sykaiin opchy dor ychy daiin dy chor orom	1	1	0
G767-CF0046	CHOR_SCHOR_LCHOR	chor	f16r	f16r.5	2	9	DRY|COLD|VALUE_AMOUNT	DRY|COLD|VALUE_AMOUNT	DRY|COLD|VALUE_AMOUNT	tchor@1:d1[DRY|COLD|VALUE_AMOUNT]	tchor@1:d1[DRY|COLD|VALUE_AMOUNT]	tchor@1:d1[DRY|COLD|VALUE_AMOUNT]	tchor chor chs y kch shocthy opchy ty ky	1	1	0
G767-CF0047	CHOR_SCHOR_LCHOR	chor	f16v	f16v.5	3	6	DRY|PROCESS_CLOSE	DRY|COLD|STAGE|PROCESS_CLOSE	DRY|COLD|STAGE|PROCESS_CLOSE	chyty@2:d1[DRY|PROCESS_CLOSE]|chol@4:d1[DRY]	ytchy@1:d2[DRY|COLD|STAGE]|chyty@2:d1[DRY|PROCESS_CLOSE]|chol@4:d1[DRY]|ytchy@5:d2[DRY|COLD|STAGE]	ytchy@1:d2[DRY|COLD|STAGE]|chyty@2:d1[DRY|PROCESS_CLOSE]|chol@4:d1[DRY]|ytchy@5:d2[DRY|COLD|STAGE]	ytchy chyty chor chol ytchy dan	1	1	0
G767-CF0048	CHOR_SCHOR_LCHOR	chor	f16v	f16v.8	8	9	NONE	NONE	DRY|VALUE_AMOUNT	NONE	NONE	daiin@1:d7[VALUE_AMOUNT]|chol@2:d6[DRY]|daiin@4:d4[VALUE_AMOUNT]	daiin chol y daiin chcthy qot char chor sholo	1	1	0
G767-CF0049	CHOR_SCHOR_LCHOR	chor	f16v	f16v.9	5	8	DRY|VALUE_AMOUNT	DRY|COLD|STAGE|VALUE_AMOUNT	DRY|MOIST|COLD|STAGE|VALUE_AMOUNT	chol@4:d1[DRY]|cthor@6:d1[VALUE_AMOUNT]	chol@4:d1[DRY]|cthor@6:d1[VALUE_AMOUNT]|ty@7:d2[COLD|STAGE]	dshy@1:d4[MOIST|VALUE_AMOUNT]|chol@4:d1[DRY]|cthor@6:d1[VALUE_AMOUNT]|ty@7:d2[COLD|STAGE]	dshy okaiin okaiin chol chor cthor ty chody	1	1	0
G767-CF0050	CHOR_SCHOR_LCHOR	chor	f17r	f17r.3	6	7	HOT|VALUE_AMOUNT|PREP	DRY|HOT|STAGE|VALUE_AMOUNT|PREP	DRY|HOT|STAGE|VALUE_AMOUNT|PREP	okor@5:d1[HOT|VALUE_AMOUNT|PREP]	chy@3:d3[DRY|STAGE]|okor@5:d1[HOT|VALUE_AMOUNT|PREP]	chol@1:d5[DRY]|chy@3:d3[DRY|STAGE]|okor@5:d1[HOT|VALUE_AMOUNT|PREP]	chol or chy qodam okor chor okchom	1	1	0
G767-CF0051	CHOR_SCHOR_LCHOR	chor	f17r	f17r.5	3	9	CTHY_LEAF	CTHY_LEAF	CTHY_LEAF	cthy@2:d1[CTHY_LEAF]	cthy@2:d1[CTHY_LEAF]	cthy@2:d1[CTHY_LEAF]	ychekchy cthy chor shor cphor cphaldy dair cthey qody	1	1	0
G767-CF0052	CHOR_SCHOR_LCHOR	chor	f17v	f17v.1	2	6	NONE	NONE	NONE	NONE	NONE	NONE	pchodol chor pchy opydaiin odal dy	1	1	0
G767-CF0053	CHOR_SCHOR_LCHOR	chor	f17v	f17v.12	6	6	NONE	DRY|STAGE|PREP	DRY|STAGE|PREP	NONE	chckhey@4:d2[DRY|STAGE|PREP]	oy@1:d5[STAGE|PREP]|choy@2:d4[DRY|PREP]|chckhey@4:d2[DRY|STAGE|PREP]	oy choy keaiin chckhey ol chor	1	1	0
G767-CF0054	CHOR_SCHOR_LCHOR	chor	f18r	f18r.11	4	5	NONE	DRY|HOT|STAGE|PREP	DRY|HOT|STAGE|PREP	NONE	chokchy@2:d2[DRY|HOT|STAGE|PREP]	chokchy@2:d2[DRY|HOT|STAGE|PREP]	sotchaiin chokchy chckhol chor g	1	1	0
G767-CF0055	CHOR_SCHOR_LCHOR	chor	f18r	f18r.3	2	8	NONE	NONE	DRY|HOT	NONE	NONE	qokchol@6:d4[DRY|HOT]	qokchor chor ey or chey qokchol dy ytcharg	1	1	0
G767-CF0056	CHOR_SCHOR_LCHOR	chor	f18r	f18r.4	1	5	VALUE_AMOUNT	DRY|HOT|STAGE|VALUE_AMOUNT|PREP|PROCESS_CLOSE	DRY|HOT|STAGE|VALUE_AMOUNT|PREP|PROCESS_CLOSE	cthor@2:d1[VALUE_AMOUNT]	cthor@2:d1[VALUE_AMOUNT]|okeor@3:d2[HOT|STAGE|VALUE_AMOUNT|PREP|PROCESS_CLOSE]|ykchol@4:d3[DRY|HOT|PROCESS_CLOSE]	cthor@2:d1[VALUE_AMOUNT]|okeor@3:d2[HOT|STAGE|VALUE_AMOUNT|PREP|PROCESS_CLOSE]|ykchol@4:d3[DRY|HOT|PROCESS_CLOSE]	chor cthor okeor ykchol okain	1	1	0
G767-CF0057	CHOR_SCHOR_LCHOR	chor	f18v	f18v.6	2	8	COLD|VALUE_AMOUNT	DRY|HOT|COLD|STAGE|VALUE_AMOUNT|PROCESS_CLOSE	DRY|HOT|COLD|STAGE|VALUE_AMOUNT|PROCESS_CLOSE	qotor@1:d1[COLD|VALUE_AMOUNT]	qotor@1:d1[COLD|VALUE_AMOUNT]|qokeees@4:d2[HOT|VALUE_AMOUNT|PROCESS_CLOSE]|chy@5:d3[DRY|STAGE]	qotor@1:d1[COLD|VALUE_AMOUNT]|qokeees@4:d2[HOT|VALUE_AMOUNT|PROCESS_CLOSE]|chy@5:d3[DRY|STAGE]|ykar@8:d6[HOT|VALUE_AMOUNT]	qotor chor otchy qokeees chy s ar ykar	1	1	0
G767-CF0058	CHOR_SCHOR_LCHOR	chor	f19r	f19r.12	2	4	HOT|VALUE_AMOUNT|PROCESS_CLOSE	HOT|VALUE_AMOUNT|PROCESS_CLOSE	HOT|VALUE_AMOUNT|PROCESS_CLOSE	ykchor@1:d1[HOT|VALUE_AMOUNT|PROCESS_CLOSE]	ykchor@1:d1[HOT|VALUE_AMOUNT|PROCESS_CLOSE]	ykchor@1:d1[HOT|VALUE_AMOUNT|PROCESS_CLOSE]	ykchor chor daiin daiinol	1	1	0
