mode	record	source_id	source_family	source_statement	source_material	source_conditions	target_locus	target_material	decision	row_status
A	f32v	S13	HEAT	Mischung mit Flüssigkeit kurz kochen	WINE+VITRIOL+WATER2	kurz kochen mit vorheriger Flüssigkeit	NONE	NONE	NO_TARGET_EVENT	recorded
A	f32v	S14	FILTER	Zum dritten Mal abseihen	INK	erneut gut; dritte Filtration	NONE	NONE	NO_TARGET_EVENT	recorded
A	f32v	S15	RESULT	Ergebnis Tinte	INK	gute Tinte	NONE	NONE	NO_TARGET_EVENT	recorded
A	f29v	S00	GOAL	Gute Tinte herstellen	INK	NA	NONE	NONE	NO_TARGET_EVENT	recorded
A	f29v	S01	TAKE	Regenwasser nehmen	WATER	12 librae Regenwasser	NONE	NONE	NO_TARGET_EVENT	recorded
A	f29v	S02	TAKE	Gallen nehmen	GALLS	2 librae Gallen	NONE	NONE	NO_TARGET_EVENT	recorded
A	f29v	S03	WET	Gallen in Regenwasser einweichen	GALLS+WATER	abends bis morgens; dieselben Gallen und dasselbe Regenwasser	f29v.1:6	cthy	FAMILY_ONLY_MATERIAL_AND_CONDITION_UNBOUND	recorded
A	f29v	S04	HEAT	Gemeinsam kochen bis Halbvolumen	GALLS+WATER	Kochen; Wasser bis zur Hälfte verbraucht	f29v.4:7	cthy	FAMILY_ONLY_MATERIAL_AND_CONDITION_UNBOUND	recorded
A	f29v	S05	FILTER	Flüssigkeit abseihen	WATER1	sehr gut durch feines Tuch; erste Filtration	NONE	NONE	NO_TARGET_EVENT	recorded
A	f29v	S06	HEAT	Filtrat ans Feuer zurückstellen	WATER1	dieselbe Flüssigkeit zurück ans Feuer, kein Ruhenlassen	NONE	NONE	NO_TARGET_EVENT	recorded
A	f29v	S07	TAKE	Gummi nehmen	GUM	4 unciae arabisches Gummi	NONE	NONE	NO_TARGET_EVENT	recorded
A	f29v	S08	HEAT	Gummi mit Flüssigkeit kochen	GUM+WATER1	zusammen kochen bis Gummi aufgelöst	NONE	NONE	NO_TARGET_EVENT	recorded
A	f29v	S09	FILTER	Erneut abseihen	WATER2	erneut; zweite Filtration	NONE	NONE	NO_TARGET_EVENT	recorded
A	f29v	S10	TAKE	Wein nehmen	WINE	1 libra guter weißer klarer Wein	NONE	NONE	NO_TARGET_EVENT	recorded
A	f29v	S11	TAKE	Vitriol nehmen	VITRIOL	3 unciae Vitriol; Portaltext schreibt très	NONE	NONE	NO_TARGET_EVENT	recorded
A	f29v	S12	MIX	Wein und Vitriol vermischen	WINE+VITRIOL	beide gut miteinander	NONE	NONE	NO_TARGET_EVENT	recorded
A	f29v	S13	HEAT	Mischung mit Flüssigkeit kurz kochen	WINE+VITRIOL+WATER2	kurz kochen mit vorheriger Flüssigkeit	NONE	NONE	NO_TARGET_EVENT	recorded
A	f29v	S14	FILTER	Zum dritten Mal abseihen	INK	erneut gut; dritte Filtration	NONE	NONE	NO_TARGET_EVENT	recorded
A	f29v	S15	RESULT	Ergebnis Tinte	INK	gute Tinte	NONE	NONE	NO_TARGET_EVENT	recorded
R	f17r	S00	GOAL	Gute Tinte herstellen	INK	NA	NONE	NONE	NO_TARGET_EVENT	recorded
R	f17r	S01	TAKE	Regenwasser nehmen	WATER	12 librae Regenwasser	NONE	NONE	NO_TARGET_EVENT	recorded
R	f17r	S02	TAKE	Gallen nehmen	GALLS	2 librae Gallen	NONE	NONE	NO_TARGET_EVENT	recorded
R	f17r	S03	WET	Gallen in Regenwasser einweichen	GALLS+WATER	abends bis morgens; dieselben Gallen und dasselbe Regenwasser	NONE	NONE	NO_TARGET_EVENT	recorded
R	f17r	S04	HEAT	Gemeinsam kochen bis Halbvolumen	GALLS+WATER	Kochen; Wasser bis zur Hälfte verbraucht	NONE	NONE	NO_TARGET_EVENT	recorded
R	f17r	S05	FILTER	Flüssigkeit abseihen	WATER1	sehr gut durch feines Tuch; erste Filtration	NONE	NONE	NO_TARGET_EVENT	recorded
R	f17r	S06	HEAT	Filtrat ans Feuer zurückstellen	WATER1	dieselbe Flüssigkeit zurück ans Feuer, kein Ruhenlassen	NONE	NONE	NO_TARGET_EVENT	recorded
R	f17r	S07	TAKE	Gummi nehmen	GUM	4 unciae arabisches Gummi	NONE	NONE	NO_TARGET_EVENT	recorded
R	f17r	S08	HEAT	Gummi mit Flüssigkeit kochen	GUM+WATER1	zusammen kochen bis Gummi aufgelöst	NONE	NONE	NO_TARGET_EVENT	recorded
R	f17r	S09	FILTER	Erneut abseihen	WATER2	erneut; zweite Filtration	NONE	NONE	NO_TARGET_EVENT	recorded
R	f17r	S10	TAKE	Wein nehmen	WINE	1 libra guter weißer klarer Wein	NONE	NONE	NO_TARGET_EVENT	recorded
R	f17r	S11	TAKE	Vitriol nehmen	VITRIOL	3 unciae Vitriol; Portaltext schreibt très	NONE	NONE	NO_TARGET_EVENT	recorded
R	f17r	S12	MIX	Wein und Vitriol vermischen	WINE+VITRIOL	beide gut miteinander	NONE	NONE	NO_TARGET_EVENT	recorded
R	f17r	S13	HEAT	Mischung mit Flüssigkeit kurz kochen	WINE+VITRIOL+WATER2	kurz kochen mit vorheriger Flüssigkeit	NONE	NONE	NO_TARGET_EVENT	recorded
R	f17r	S14	FILTER	Zum dritten Mal abseihen	INK	erneut gut; dritte Filtration	NONE	NONE	NO_TARGET_EVENT	recorded
R	f17r	S15	RESULT	Ergebnis Tinte	INK	gute Tinte	NONE	NONE	NO_TARGET_EVENT	recorded
R	f21r	S00	GOAL	Gute Tinte herstellen	INK	NA	NONE	NONE	NO_TARGET_EVENT	recorded
R	f21r	S01	TAKE	Regenwasser nehmen	WATER	12 librae Regenwasser	NONE	NONE	NO_TARGET_EVENT	recorded
R	f21r	S02	TAKE	Gallen nehmen	GALLS	2 librae Gallen	NONE	NONE	NO_TARGET_EVENT	recorded
R	f21r	S03	WET	Gallen in Regenwasser einweichen	GALLS+WATER	abends bis morgens; dieselben Gallen und dasselbe Regenwasser	NONE	NONE	NO_TARGET_EVENT	recorded
R	f21r	S04	HEAT	Gemeinsam kochen bis Halbvolumen	GALLS+WATER	Kochen; Wasser bis zur Hälfte verbraucht	NONE	NONE	NO_TARGET_EVENT	recorded
R	f21r	S05	FILTER	Flüssigkeit abseihen	WATER1	sehr gut durch feines Tuch; erste Filtration	NONE	NONE	NO_TARGET_EVENT	recorded
R	f21r	S06	HEAT	Filtrat ans Feuer zurückstellen	WATER1	dieselbe Flüssigkeit zurück ans Feuer, kein Ruhenlassen	NONE	NONE	NO_TARGET_EVENT	recorded
R	f21r	S07	TAKE	Gummi nehmen	GUM	4 unciae arabisches Gummi	NONE	NONE	NO_TARGET_EVENT	recorded
R	f21r	S08	HEAT	Gummi mit Flüssigkeit kochen	GUM+WATER1	zusammen kochen bis Gummi aufgelöst	NONE	NONE	NO_TARGET_EVENT	recorded
R	f21r	S09	FILTER	Erneut abseihen	WATER2	erneut; zweite Filtration	NONE	NONE	NO_TARGET_EVENT	recorded
R	f21r	S10	TAKE	Wein nehmen	WINE	1 libra guter weißer klarer Wein	NONE	NONE	NO_TARGET_EVENT	recorded
R	f21r	S11	TAKE	Vitriol nehmen	VITRIOL	3 unciae Vitriol; Portaltext schreibt très	NONE	NONE	NO_TARGET_EVENT	recorded
R	f21r	S12	MIX	Wein und Vitriol vermischen	WINE+VITRIOL	beide gut miteinander	NONE	NONE	NO_TARGET_EVENT	recorded
R	f21r	S13	HEAT	Mischung mit Flüssigkeit kurz kochen	WINE+VITRIOL+WATER2	kurz kochen mit vorheriger Flüssigkeit	NONE	NONE	NO_TARGET_EVENT	recorded
R	f21r	S14	FILTER	Zum dritten Mal abseihen	INK	erneut gut; dritte Filtration	NONE	NONE	NO_TARGET_EVENT	recorded
R	f21r	S15	RESULT	Ergebnis Tinte	INK	gute Tinte	NONE	NONE	NO_TARGET_EVENT	recorded
R	f32v	S00	GOAL	Gute Tinte herstellen	INK	NA	NONE	NONE	NO_TARGET_EVENT	recorded
R	f32v	S01	TAKE	Regenwasser nehmen	WATER	12 librae Regenwasser	f32v.8:7	qotaiin	FAMILY_ONLY_MATERIAL_AND_CONDITION_UNBOUND	recorded
R	f32v	S02	TAKE	Gallen nehmen	GALLS	2 librae Gallen	NONE	NONE	NO_TARGET_EVENT	recorded
R	f32v	S03	WET	Gallen in Regenwasser einweichen	GALLS+WATER	abends bis morgens; dieselben Gallen und dasselbe Regenwasser	NONE	NONE	NO_TARGET_EVENT	recorded
R	f32v	S04	HEAT	Gemeinsam kochen bis Halbvolumen	GALLS+WATER	Kochen; Wasser bis zur Hälfte verbraucht	NONE	NONE	NO_TARGET_EVENT	recorded
R	f32v	S05	FILTER	Flüssigkeit abseihen	WATER1	sehr gut durch feines Tuch; erste Filtration	f32v.9:1	shan	FAMILY_ONLY_MATERIAL_AND_CONDITION_UNBOUND	recorded
R	f32v	S06	HEAT	Filtrat ans Feuer zurückstellen	WATER1	dieselbe Flüssigkeit zurück ans Feuer, kein Ruhenlassen	NONE	NONE	NO_TARGET_EVENT	recorded
R	f32v	S07	TAKE	Gummi nehmen	GUM	4 unciae arabisches Gummi	NONE	NONE	NO_TARGET_EVENT	recorded
R	f32v	S08	HEAT	Gummi mit Flüssigkeit kochen	GUM+WATER1	zusammen kochen bis Gummi aufgelöst	NONE	NONE	NO_TARGET_EVENT	recorded
R	f32v	S09	FILTER	Erneut abseihen	WATER2	erneut; zweite Filtration	NONE	NONE	NO_TARGET_EVENT	recorded
R	f32v	S10	TAKE	Wein nehmen	WINE	1 libra guter weißer klarer Wein	NONE	NONE	NO_TARGET_EVENT	recorded
R	f32v	S11	TAKE	Vitriol nehmen	VITRIOL	3 unciae Vitriol; Portaltext schreibt très	NONE	NONE	NO_TARGET_EVENT	recorded
R	f32v	S12	MIX	Wein und Vitriol vermischen	WINE+VITRIOL	beide gut miteinander	f32v.7:8	NA	FAMILY_ONLY_MATERIAL_AND_CONDITION_UNBOUND	recorded
R	f32v	S13	HEAT	Mischung mit Flüssigkeit kurz kochen	WINE+VITRIOL+WATER2	kurz kochen mit vorheriger Flüssigkeit	NONE	NONE	NO_TARGET_EVENT	recorded
R	f32v	S14	FILTER	Zum dritten Mal abseihen	INK	erneut gut; dritte Filtration	NONE	NONE	NO_TARGET_EVENT	recorded
R	f32v	S15	RESULT	Ergebnis Tinte	INK	gute Tinte	NONE	NONE	NO_TARGET_EVENT	recorded
R	f29v	S00	GOAL	Gute Tinte herstellen	INK	NA	NONE	NONE	NO_TARGET_EVENT	recorded
R	f29v	S01	TAKE	Regenwasser nehmen	WATER	12 librae Regenwasser	NONE	NONE	NO_TARGET_EVENT	recorded
R	f29v	S02	TAKE	Gallen nehmen	GALLS	2 librae Gallen	NONE	NONE	NO_TARGET_EVENT	recorded
R	f29v	S03	WET	Gallen in Regenwasser einweichen	GALLS+WATER	abends bis morgens; dieselben Gallen und dasselbe Regenwasser	f29v.1:6	cthy	FAMILY_ONLY_MATERIAL_AND_CONDITION_UNBOUND	recorded
R	f29v	S04	HEAT	Gemeinsam kochen bis Halbvolumen	GALLS+WATER	Kochen; Wasser bis zur Hälfte verbraucht	f29v.4:7	cthy	FAMILY_ONLY_MATERIAL_AND_CONDITION_UNBOUND	recorded
R	f29v	S05	FILTER	Flüssigkeit abseihen	WATER1	sehr gut durch feines Tuch; erste Filtration	f29v.3:6	odaiin	FAMILY_ONLY_MATERIAL_AND_CONDITION_UNBOUND	recorded
R	f29v	S06	HEAT	Filtrat ans Feuer zurückstellen	WATER1	dieselbe Flüssigkeit zurück ans Feuer, kein Ruhenlassen	NONE	NONE	NO_TARGET_EVENT	recorded
R	f29v	S07	TAKE	Gummi nehmen	GUM	4 unciae arabisches Gummi	NONE	NONE	NO_TARGET_EVENT	recorded
R	f29v	S08	HEAT	Gummi mit Flüssigkeit kochen	GUM+WATER1	zusammen kochen bis Gummi aufgelöst	NONE	NONE	NO_TARGET_EVENT	recorded
R	f29v	S09	FILTER	Erneut abseihen	WATER2	erneut; zweite Filtration	NONE	NONE	NO_TARGET_EVENT	recorded
R	f29v	S10	TAKE	Wein nehmen	WINE	1 libra guter weißer klarer Wein	NONE	NONE	NO_TARGET_EVENT	recorded
R	f29v	S11	TAKE	Vitriol nehmen	VITRIOL	3 unciae Vitriol; Portaltext schreibt très	NONE	NONE	NO_TARGET_EVENT	recorded
R	f29v	S12	MIX	Wein und Vitriol vermischen	WINE+VITRIOL	beide gut miteinander	NONE	NONE	NO_TARGET_EVENT	recorded
R	f29v	S13	HEAT	Mischung mit Flüssigkeit kurz kochen	WINE+VITRIOL+WATER2	kurz kochen mit vorheriger Flüssigkeit	NONE	NONE	NO_TARGET_EVENT	recorded
R	f29v	S14	FILTER	Zum dritten Mal abseihen	INK	erneut gut; dritte Filtration	NONE	NONE	NO_TARGET_EVENT	recorded
R	f29v	S15	RESULT	Ergebnis Tinte	INK	gute Tinte	NONE	NONE	NO_TARGET_EVENT	recorded
