unified_order	section	page	unit_id	source_id	visible_surface	atomic_or_local_value_de	page_job	complete_workshop_expansion_de
33	PROSE	f10r	H2	E033	shor	Ansatz	J1	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.
34	PROSE	f10r	H2	E034	chor	Ansatz	J1	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.
35	PROSE	f10r	H2	E035	chy	dies	J1	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.
36	PROSE	f10r	H2	E036	kaiiin	Arbeitsstufe	J1	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.
37	PROSE	f10r	H2	E037	dy	dies	J1	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.
38	PROSE	f10r	H2	E038	chodaiin	Zugabemaß	J1	Fuehre den Arbeitsansatz durch die naechste Stufe und gib die vorgeschriebene Menge zu.
39	PROSE	f11r	H3	E039	tshol	Kochgut	J2	Nimm das bestimmte Kochgut vom blau bluehenden Waschkraut.
40	PROSE	f11r	H3	E040	schoal	Sudansatz	J2	Setze daraus den Pflanzenwaschauszug an.
41	PROSE	f11r	H3	E041	cfhy	Auswringen	J2	Wringe das ausgekochte Kraut aus.
42	PROSE	f11r	H3	E042	shfydaiin	Stehzeit	J2	Lass die ausgedrueckte Fluessigkeit die vorgeschriebene Zeit stehen.
43	PROSE	f11r	H3	E043	cphy	Nachseihen	J2	Seihe die abgesetzte Fluessigkeit nochmals.
44	PROSE	f11r	H3	E044	shey	Klarauszug	J2	Behalte den klaren Waschauszug.
45	PROSE	f11r	H3	E045	tchody	Endzugabe; Schluss	J2	Gib den vorgesehenen Endzusatz bei und schliesse den Zubereitungsschritt.
46	PROSE	f11r	H3	E046	shoyty	Zugabeteil	J2	Lege den weiteren Zugabeteil bereit.
47	PROSE	f11r	H3	E047	dchol	vom vorigen	J2	Nimm vom vorigen klaren Ansatz.
48	PROSE	f11r	H3	E048	chy	dies	J2	Halte diesen Ansatz als laufenden Posten.
49	PROSE	f11r	H3	E049	kchy	Bearbeiten	J2	Bearbeite diesen Anteil weiter.
50	PROSE	f11r	H3	E050	dy	dies	J2	Fuehre denselben Posten fort.
51	PROSE	f11r	H3	E051	daiin	Sollmaß	J2	Bringe ihn auf das Sollmass.
52	PROSE	f11r	H3	E052	qotchy	Folgeposten	J2	Wechsle zum Folgeposten.
53	PROSE	f11r	H3	E053	okchol	Weiterverarbeitung	J2	Verarbeite den Folgeposten weiter.
54	PROSE	f11r	H3	E054	cthy	bereit	J2	Halte die Zubereitung bereit.
55	PROSE	f11r	H3	E055	dy	dies	J2	Dies ist der bereitgestellte Auszug fuer die Stationsarbeit.
56	PROSE	f55v	H4	E056	qokaiin	bemessen	J3	Bemiss den warm bereiteten Pflanzen-Grundansatz.
57	PROSE	f55v	H4	E057	chaiin	Sollmaß	J3	Bringe die Gesamtmenge auf das Sollmass.
58	PROSE	f55v	H4	E058	ykain	erste Portion	J3	Teile die erste Vorratsportion ab.
59	PROSE	f55v	H4	E059	ykan	zweite Portion	J3	Teile die zweite Vorratsportion ab.
60	PROSE	f55v	H4	E060	ody	Abkühlen	J3	Lass beide Portionen abkuehlen und schliesse den Schritt.
61	PROSE	f55v	H4	E061	daiin	Sollmaß	J3	Pruefe die verwahrte Menge nochmals gegen das Sollmass.
62	PROSE	f55v	H4	E062	chedy	überführen	J3	Fuehre die Portion in das Vorratsgefaess ueber.
63	PROSE	f55v	H4	E063	talam	Verwahrort	J3	Stelle sie am vorgesehenen Verwahrort ab.
64	PROSE	f55v	H4	E064	ykaiin	Sollportion	J3	Nimm spaeter die vorgeschriebene Vorratsportion.
65	PROSE	f55v	H4	E065	cheoar	Quellauszug	J3	Schoepfe sie aus dem vorhandenen Quellauszug.
66	PROSE	f55v	H4	E066	cheeky	länger bearbeiten	J3	Arbeite die entnommene Portion laenger durch.
67	PROSE	f55v	H4	E067	oldy	fertig	J3	Markiere diese Dosis als fertig.
68	PROSE	f55v	H4	E068	aiin	Sollmaß	J3	Bemiss die Dosis fuer den Folgeansatz.
69	PROSE	f55v	H4	E069	okal	dorthin einsetzen	J3	Setze sie an der vorgesehenen Stelle ein.
70	PROSE	f55v	H4	E070	oltchy	Folgebereitung	J3	Beginne damit die Folgezubereitung.
71	PROSE	f55v	H4	E071	or	Ansatz	J3	Fuehre sie als neuen Ansatz.
72	PROSE	f55v	H4	E072	y	dies	J3	Halte diesen Ansatz als laufenden Posten.
73	PROSE	f55v	H4	E073	orain	Bereitungsanteil	J3	Fuege den bereitgestellten Anteil der Zubereitung zu.
74	PROSE	f56r	H5	E074	chochor	Zugabeansatz	J4	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.
75	PROSE	f56r	H5	E075	cho	weitere Zutat	J4	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.
76	PROSE	f56r	H5	E076	chodaly	Zielzugabe	J4	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.
77	PROSE	f56r	H5	E077	daiin	Sollmaß	J4	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.
78	PROSE	f56r	H5	E078	sho	weitere Zutat	J4	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.
79	PROSE	f56r	H5	E079	kchol	Weiterverarbeitung	J4	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.
80	PROSE	f56r	H5	E080	otchor	Folgeansatz	J4	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.
81	PROSE	f56r	H5	E081	choky	einsetzen	J4	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.
82	PROSE	f56r	H5	E082	dal	dorthin	J4	Setze den Wirkzusatz an, gib die bestimmte Pflanzensubstanz bis zum Sollmass in die Zielzubereitung und bringe den Folgeansatz an die bezeichnete Stelle.
83	PROSE	f56r	H5	E083	schol	vom vorigen	J4	Nimm vom vorigen Ansatz einen Anwendungsposten, setze ihn ein und lasse ihn laenger an der Zielstelle einwirken.
84	PROSE	f56r	H5	E084	choy	Zugabeposten	J4	Nimm vom vorigen Ansatz einen Anwendungsposten, setze ihn ein und lasse ihn laenger an der Zielstelle einwirken.
85	PROSE	f56r	H5	E085	choky	einsetzen	J4	Nimm vom vorigen Ansatz einen Anwendungsposten, setze ihn ein und lasse ihn laenger an der Zielstelle einwirken.
86	PROSE	f56r	H5	E086	cheeckhody	Langpassage; Schluss	J4	Nimm vom vorigen Ansatz einen Anwendungsposten, setze ihn ein und lasse ihn laenger an der Zielstelle einwirken.
87	PROSE	f56r	H5	E087	sh	Halten	J4	Halte die Stelle, gib weiteren Wirkzusatz bei, bearbeite kurz und setze die Anwendung erneut an.
88	PROSE	f56r	H5	E088	cho	weitere Zutat	J4	Halte die Stelle, gib weiteren Wirkzusatz bei, bearbeite kurz und setze die Anwendung erneut an.
89	PROSE	f56r	H5	E089	kchey	Kurzbearbeitung	J4	Halte die Stelle, gib weiteren Wirkzusatz bei, bearbeite kurz und setze die Anwendung erneut an.
90	PROSE	f56r	H5	E090	qokokchy	erneut einsetzen	J4	Halte die Stelle, gib weiteren Wirkzusatz bei, bearbeite kurz und setze die Anwendung erneut an.
91	PROSE	f56r	H5	E091	okchy	weiterbearbeiten	J4	Bearbeite die Anwendung weiter, setze den Auszug ein und verteile ihn an der Zielstelle.
92	PROSE	f56r	H5	E092	chokcheo	Auszug einsetzen	J4	Bearbeite die Anwendung weiter, setze den Auszug ein und verteile ihn an der Zielstelle.
93	PROSE	f56r	H5	E093	kchal	Zielbearbeitung	J4	Bearbeite die Anwendung weiter, setze den Auszug ein und verteile ihn an der Zielstelle.
94	PROSE	f56r	H5	E094	sho	weitere Zutat	J4	Gib nochmals Wirkzusatz aus dem Quellauszug bei und fuehre die Folgeanwendung aus.
95	PROSE	f56r	H5	E095	chokchy	weiterbearbeiten	J4	Gib nochmals Wirkzusatz aus dem Quellauszug bei und fuehre die Folgeanwendung aus.
96	PROSE	f56r	H5	E096	kchoar	Quellauszug	J4	Gib nochmals Wirkzusatz aus dem Quellauszug bei und fuehre die Folgeanwendung aus.
97	PROSE	f56r	H5	E097	sotodan	Folgeanwendung	J4	Gib nochmals Wirkzusatz aus dem Quellauszug bei und fuehre die Folgeanwendung aus.
98	PROSE	f56r	H5	E098	otchey	das nächste	J4	Wechsle zur naechsten Zielstelle, fuehre den kurzen Arbeitsgang fort und bemiss die neue Portion.
99	PROSE	f56r	H5	E099	keol	Kurzfortsetzung	J4	Wechsle zur naechsten Zielstelle, fuehre den kurzen Arbeitsgang fort und bemiss die neue Portion.
100	PROSE	f56r	H5	E100	daiin	Sollmaß	J4	Wechsle zur naechsten Zielstelle, fuehre den kurzen Arbeitsgang fort und bemiss die neue Portion.
101	PROSE	f81v	B1	E101	qokedy	kurz einwirken; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Besitzer »gemeinsames zweireihiges Figuren-/Beckenfeld«: kurz einwirken; Schluss.
102	PROSE	f81v	B1	E102	okaiin	bemessen	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
103	PROSE	f81v	B1	E103	kair	Beckenlauf	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
104	PROSE	f81v	B1	E104	okal	dorthin einsetzen	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
105	PROSE	f81v	B1	E105	sar	davon	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
106	PROSE	f81v	B1	E106	ol	weiter	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
107	PROSE	f81v	B1	E107	kain	Anteil	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
108	PROSE	f81v	B1	E108	olkain	weiterer Anteil	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
109	PROSE	f81v	B1	E109	al	dorthin	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
110	PROSE	f81v	B1	E110	ol	weiter	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
111	PROSE	f81v	B1	E111	rol	Anschluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
112	PROSE	f81v	B1	E112	dl	Zusatz	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
113	PROSE	f81v	B1	E113	olor	derselbe Ansatz	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
114	PROSE	f81v	B1	E114	ol	weiter	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
115	PROSE	f81v	B1	E115	sheckhal	Kurze Zielpassage	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
116	PROSE	f81v	B1	E116	daiin	Sollmaß	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
117	PROSE	f81v	B1	E117	qokeedal	Langer Zieleinsatz	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
118	PROSE	f81v	B1	E118	daiin	Sollmaß	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
119	PROSE	f81v	B1	E119	chckhy	durchleiten	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
120	PROSE	f81v	B1	E120	schedy	überführen; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: bemessen — Beckenlauf — dorthin einsetzen — davon — weiter — Anteil — weiterer Anteil — dorthin — weiter — Anschluss — Zusatz — derselbe Ansatz — weiter — Kurze Zielpassage — Sollmaß — Langer Zieleinsatz — Sollmaß — durchleiten — überführen; Schluss.
121	PROSE	f81v	B1	E121	qol	weiter	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: weiter — Haltetransfer; Schluss.
122	PROSE	f81v	B1	E122	sshkchdy	Haltetransfer; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: weiter — Haltetransfer; Schluss.
123	PROSE	f81v	B1	E123	chedy	überführen	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: überführen — weiter — kurz absetzen; Schluss.
124	PROSE	f81v	B1	E124	ol	weiter	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: überführen — weiter — kurz absetzen; Schluss.
125	PROSE	f81v	B1	E125	shedy	kurz absetzen; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: überführen — weiter — kurz absetzen; Schluss.
126	PROSE	f81v	B1	E126	qolchedy	weiterführen; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: weiterführen; Schluss.
127	PROSE	f81v	B1	E127	qokain	Anteil zugeben	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Anteil zugeben — durchleiten — Zusatz — Zielmarke.
128	PROSE	f81v	B1	E128	shckhy	durchleiten	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Anteil zugeben — durchleiten — Zusatz — Zielmarke.
129	PROSE	f81v	B1	E129	dl	Zusatz	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Anteil zugeben — durchleiten — Zusatz — Zielmarke.
130	PROSE	f81v	B1	E130	ral	Zielmarke	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: Anteil zugeben — durchleiten — Zusatz — Zielmarke.
131	PROSE	f81v	B1	E131	qokchdy	einführen; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: am offenen Ziel in die Überführung weiter: einführen; Schluss.
132	PROSE	f81v	B1	E132	chey	dies	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dies — weiter — kurz wärmen — weiter — kurz absetzen; Schluss.
133	PROSE	f81v	B1	E133	ol	weiter	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dies — weiter — kurz wärmen — weiter — kurz absetzen; Schluss.
134	PROSE	f81v	B1	E134	cheky	kurz wärmen	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dies — weiter — kurz wärmen — weiter — kurz absetzen; Schluss.
135	PROSE	f81v	B1	E135	ol	weiter	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dies — weiter — kurz wärmen — weiter — kurz absetzen; Schluss.
136	PROSE	f81v	B1	E136	shedy	kurz absetzen; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: dies — weiter — kurz wärmen — weiter — kurz absetzen; Schluss.
137	PROSE	f81v	B1	E137	qokedy	kurz einwirken; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: kurz einwirken; Schluss.
138	PROSE	f81v	B1	E138	qokedy	kurz einwirken; Schluss	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: kurz einwirken; Schluss.
139	PROSE	f81v	B1	E139	chckhy	durchleiten	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: durchleiten — einsetzen.
140	PROSE	f81v	B1	E140	qoky	einsetzen	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: Neuer Schritt: durchleiten — einsetzen.
141	PROSE	f81v	B1	E141	lsho	Waschgang	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: mit dem eingesetzten Posten am selben Besitzer weiter: Waschgang — kurz einwirken — Waschgang; Schluss.
142	PROSE	f81v	B1	E142	qokey	kurz einwirken	J1	Mit Grundauszug chargenweise bemessen temperieren mischen baden und nachspuelen: mit dem eingesetzten Posten am selben Besitzer weiter: Waschgang — kurz einwirken — Waschgang; Schluss.
