pair_fragment_id	record_id	physical_page	register	pair_ordinal_in_record	left_source_event_id	right_source_event_id	left_bundle_id	right_bundle_id	pair_boundary	surface_pair	strict_template_id	strict_occurrence_count	strict_recurrence_class	strict_frame	recipe_frame	role_shape_id	role_occurrence_count	role_recurrence_class	role_frame	owner_neutral_phrase_de	definitive_fragment_reading_de	all_fragments_have_default
G481-P011	G475-R022	f72r	CELESTIAL	1	P1008-E0134	P1008-E0135	G474-B022	G474-B022	SAME_BUNDLE	char|alif	G481-PT011	1	SINGLETON	CATALOGUE[AUSGANG @NONE] <SAME_BUNDLE> CATALOGUE[ZIELORT · {N1} @NONE]	CATALOGUE[AR @NONE] <SAME_BUNDLE> CATALOGUE[AL @NONE]	G481-PS002	2	CROSS_PAGE	CATALOGUE[REL @NONE] <SAME_BUNDLE> CATALOGUE[REL · NAME @NONE]	Eintrag »{N1}« — Ausgangszuordnung. Dann: Namenseintrag »{N2}« — Zielzuordnung.	Eintrag »char« — Ausgangszuordnung. Dann: Sternstelle »if« — Zielzuordnung.	YES
G481-P012	G475-R024	f72r	CELESTIAL	1	P1008-E0137	P1008-E0138	G474-B024	G474-B024	SAME_BUNDLE	otaiin|otain	G481-PT012	1	SINGLETON	COORDINATE[DANACH · WERT @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[DANACH · ANTEIL @START_FRESH_SIBLING:FORWARD_OPEN]	COORDINATE[OT+AIIN @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[OT+AIN @START_FRESH_SIBLING:FORWARD_OPEN]	G481-PS010	1	SINGLETON	COORDINATE[ORDER · ARG @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[ORDER · ARG @START_FRESH_SIBLING:FORWARD_OPEN]	Adressspur: danach → Wert. Reihenfolge konkret: OT — danach Wert. Dann: Adressspur: danach → Anteil. Reihenfolge konkret: OT — danach Anteil.	Adressspur: danach → Positionswert. Reihenfolge konkret: OT — danach Wert. Dann: Adressspur: danach → Sektoranteil. Reihenfolge konkret: OT — danach Anteil.	YES
G481-P013	G475-R025	f72r	CELESTIAL	1	P1008-E0139	P1008-E0140	G474-B025	G474-B025	SAME_BUNDLE	otalef|ys	G481-PT013	1	SINGLETON	INSTRUCTION[DANACH · ZIELORT · {N1} @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> INSTRUCTION[POSTEN · WÄHLEN @NONE]	INSTRUCTION[OT+AL @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> INSTRUCTION[Y+S @NONE]	G481-PS011	1	SINGLETON	INSTRUCTION[ORDER · REL · NAME @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> INSTRUCTION[ARG · ACTION @NONE]	Danach beziehe den Namenseintrag »{N1}« zum Zielort. Reihenfolge konkret: OT — danach Zielort. Dann: Wähle den Posten.	Danach beziehe den Sternstelleneintrag »ef« zur Zielposition. Reihenfolge konkret: OT — danach Zielort. Dann: Wähle den Positionsposten.	YES
G481-P014	G475-R025	f72r	CELESTIAL	2	P1008-E0140	P1008-E0141	G474-B025	G474-B025	SAME_BUNDLE	ys|ainam	G481-PT014	1	SINGLETON	INSTRUCTION[POSTEN · WÄHLEN @NONE] <SAME_BUNDLE> INSTRUCTION[ANTEIL · HIER @NONE]	INSTRUCTION[Y+S @NONE] <SAME_BUNDLE> INSTRUCTION[AIN+AM_ADDR @NONE]	G481-PS012	1	SINGLETON	INSTRUCTION[ARG · ACTION @NONE] <SAME_BUNDLE> INSTRUCTION[ARG · MOD @NONE]	Wähle den Posten. Dann: Im selben Gang wähle den Anteil an der bezeichneten Stelle.	Wähle den Positionsposten. Dann: Im selben Gang wähle den Sektoranteil an der bezeichneten Stelle.	YES
G481-P015	G475-R026	f72r	CELESTIAL	1	P1008-E0142	P1008-E0143	G474-B026	G474-B026	SAME_BUNDLE	ochol|sharam	G481-PT015	1	SINGLETON	INSTRUCTION[AUSFÜHRUNG · FORTSETZEN @KEEP_ACTIVE_UNIT:BACKWARD_HOLD] <SAME_BUNDLE> INSTRUCTION[HALTEN · AUSGANG · HIER @NONE]	INSTRUCTION[O+OL @KEEP_ACTIVE_UNIT:BACKWARD_HOLD] <SAME_BUNDLE> INSTRUCTION[SH+AR+AM_ADDR @NONE]	G481-PS013	1	SINGLETON	INSTRUCTION[MOD · ORDER @KEEP_ACTIVE_UNIT:BACKWARD_HOLD] <SAME_BUNDLE> INSTRUCTION[ACTION · REL · MOD @NONE]	Weiter beziehe den Eintrag, als Ausführung. Reihenfolge konkret: OL — Ausführung weiterführen. Dann: Halte den Eintrag vom Ausgang an der bezeichneten Stelle.	Weiter beziehe den Eintrag, als Ausführung. Reihenfolge konkret: OL — Ausführung weiterführen. Dann: Halte den Eintrag von der Ausgangsposition an der bezeichneten Stelle.	YES
G481-P016	G475-R030	f72r	CELESTIAL	1	P1008-E0174	P1008-E0175	G474-B030	G474-B030	SAME_BUNDLE	okeey|ary	G481-PT016	2	SAME_PAGE_RECURRENT	INSTRUCTION[SETZEN · GRAD II · POSTEN @NONE] <SAME_BUNDLE> INSTRUCTION[AUSGANG · POSTEN @NONE]	INSTRUCTION[OK+EE+Y @NONE] <SAME_BUNDLE> INSTRUCTION[AR+Y @NONE]	G481-PS014	2	SAME_PAGE_RECURRENT	INSTRUCTION[ACTION · MOD · ARG @NONE] <SAME_BUNDLE> INSTRUCTION[REL · ARG @NONE]	Setze den Posten, auf Grad II. Dann: Im selben Gang setze den Posten vom Ausgang.	Setze den Positionsposten, auf Grad II. Dann: Im selben Gang setze den Positionsposten von der Ausgangsposition.	YES
G481-P017	G475-R042	f72r	CELESTIAL	1	P1008-E0241	P1008-E0242	G474-B042	G474-B042	SAME_BUNDLE	okeey|ary	G481-PT016	2	SAME_PAGE_RECURRENT	INSTRUCTION[SETZEN · GRAD II · POSTEN @NONE] <SAME_BUNDLE> INSTRUCTION[AUSGANG · POSTEN @NONE]	INSTRUCTION[OK+EE+Y @NONE] <SAME_BUNDLE> INSTRUCTION[AR+Y @NONE]	G481-PS014	2	SAME_PAGE_RECURRENT	INSTRUCTION[ACTION · MOD · ARG @NONE] <SAME_BUNDLE> INSTRUCTION[REL · ARG @NONE]	Setze den Posten, auf Grad II. Dann: Im selben Gang setze den Posten vom Ausgang.	Setze den Positionsposten, auf Grad II. Dann: Im selben Gang setze den Positionsposten von der Ausgangsposition.	YES
G481-P018	G475-R044	f72r	CELESTIAL	1	P1008-E0244	P1008-E0245	G474-B044	G474-B044	SAME_BUNDLE	otair|dy	G481-PT017	1	SINGLETON	COORDINATE[DANACH · BAHN @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[POSTEN @NONE]	COORDINATE[OT+AIR @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[Y @NONE]	G481-PS015	1	SINGLETON	COORDINATE[ORDER · REL @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[ARG @NONE]	Adressspur: danach → Bahn. Reihenfolge konkret: OT — danach Bahn. Dann: Adressspur: Posten.	Adressspur: danach → Ringbahn. Reihenfolge konkret: OT — danach Bahn. Dann: Adressspur: Positionsposten.	YES
G481-P019	G475-R060	f72r	CELESTIAL	1	P1008-E0287	P1008-E0350	G474-B060	G474-B061	CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL	okarcham|olkalaiin	G481-PT018	1	SINGLETON	INSTRUCTION[SETZEN · AUSGANG · {N1} · HIER @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[FORTSETZEN · {N2} · ZIELORT · WERT @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	INSTRUCTION[OK+AR+AM_ADDR @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[OL+AL+AIIN @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	G481-PS016	1	SINGLETON	INSTRUCTION[ACTION · REL · NAME · MOD @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[ORDER · NAME · REL · ARG @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	Setze den Namenseintrag »{N1}« vom Ausgang an der bezeichneten Stelle. Dann: Weiter beziehe den Namenseintrag »{N2}« und den Wert zum Zielort. Reihenfolge konkret: OL — weiter mit Namenseintrag »{N2}«.	Setze den Sternstelleneintrag »ch« von der Ausgangsposition an der bezeichneten Stelle. Dann: Weiter beziehe den Sternstelleneintrag »k« und den Positionswert zur Zielposition. Reihenfolge konkret: OL — weiter mit Sternstelle »k«.	YES
G481-P020	G475-R060	f72r	CELESTIAL	2	P1008-E0350	P1008-E0351	G474-B061	G474-B062	CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL	olkalaiin|olalsy	G481-PT019	1	SINGLETON	INSTRUCTION[FORTSETZEN · {N1} · ZIELORT · WERT @KEEP_ACTIVE_UNIT:FORWARD_OPEN] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> COORDINATE[FORTSETZEN · ZIELORT · POSTEN @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	INSTRUCTION[OL+AL+AIIN @KEEP_ACTIVE_UNIT:FORWARD_OPEN] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> COORDINATE[OL+AL+Y @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	G481-PS017	1	SINGLETON	INSTRUCTION[ORDER · NAME · REL · ARG @KEEP_ACTIVE_UNIT:FORWARD_OPEN] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> COORDINATE[ORDER · REL · ARG @KEEP_ACTIVE_UNIT:FORWARD_OPEN]	Weiter beziehe den Namenseintrag »{N1}« und den Wert zum Zielort. Reihenfolge konkret: OL — weiter mit Namenseintrag »{N1}«. Dann: Adressspur: weiter → Zielort → Posten. Reihenfolge konkret: OL — weiter mit Zielort.	Weiter beziehe den Sternstelleneintrag »k« und den Positionswert zur Zielposition. Reihenfolge konkret: OL — weiter mit Sternstelle »k«. Dann: Adressspur: weiter → Zielposition → Positionsposten. Reihenfolge konkret: OL — weiter mit Zielort.	YES
G481-P021	G475-R063	f72r	CELESTIAL	1	P1008-E0354	P1008-E0355	G474-B065	G474-B065	SAME_BUNDLE	oto|aiin	G481-PT020	1	SINGLETON	COORDINATE[DANACH · AUSFÜHRUNG @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[WERT @NONE]	COORDINATE[OT+O @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[AIIN @NONE]	G481-PS018	1	SINGLETON	COORDINATE[ORDER · MOD @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[ARG @NONE]	Adressspur: danach → Ausführungspunkt. Reihenfolge konkret: OT — danach Ausführung. Dann: Adressspur: Wert.	Adressspur: danach → Ausführungspunkt. Reihenfolge konkret: OT — danach Ausführung. Dann: Adressspur: Positionswert.	YES
G481-P022	G475-R064	f72r	CELESTIAL	1	P1008-E0356	P1008-E0357	G474-B066	G474-B066	SAME_BUNDLE	opoiiinoin|al	G481-PT021	1	SINGLETON	INSTRUCTION[{N1} · AUSFÜHRUNG · STUFE @NONE] <SAME_BUNDLE> INSTRUCTION[ZIELORT @NONE]	INSTRUCTION[O+IIN @NONE] <SAME_BUNDLE> INSTRUCTION[AL @NONE]	G481-PS019	1	SINGLETON	INSTRUCTION[NAME · MOD · MOD @NONE] <SAME_BUNDLE> INSTRUCTION[REL @NONE]	Beziehe den Namenseintrag »{N1}«, als Ausführung und auf der bezeichneten Stufe. Dann: Beziehe den Eintrag zum Zielort.	Beziehe den Sternstelleneintrag »opoiiin«, als Ausführung und auf der bezeichneten Stufe. Dann: Beziehe den Eintrag zur Zielposition.	YES
G481-P023	G475-R064	f72r	CELESTIAL	2	P1008-E0357	P1008-E0358	G474-B066	G474-B066	SAME_BUNDLE	al|ches	G481-PT022	1	SINGLETON	INSTRUCTION[ZIELORT @NONE] <SAME_BUNDLE> INSTRUCTION[NEHMEN · GRAD I · WÄHLEN @NONE]	INSTRUCTION[AL @NONE] <SAME_BUNDLE> INSTRUCTION[CH+E+S @NONE]	G481-PS020	1	SINGLETON	INSTRUCTION[REL @NONE] <SAME_BUNDLE> INSTRUCTION[ACTION · MOD · ACTION @NONE]	Beziehe den Eintrag zum Zielort. Dann: Nimm den Eintrag auf und wähle den Eintrag, auf Grad I.	Beziehe den Eintrag zur Zielposition. Dann: Nimm den Eintrag auf und wähle den Eintrag, auf Grad I.	YES
G481-P024	G475-R065	f72r	CELESTIAL	1	P1008-E0359	P1008-E0360	G474-B067	G474-B067	SAME_BUNDLE	ypaiin|alaly	G481-PT023	1	SINGLETON	CATALOGUE[{N1} · WERT @NONE] <SAME_BUNDLE> CATALOGUE[ZIELORT · ZIELORT · POSTEN @NONE]	CATALOGUE[AIIN @NONE] <SAME_BUNDLE> CATALOGUE[AL+AL+Y @NONE]	G481-PS021	1	SINGLETON	CATALOGUE[NAME · ARG @NONE] <SAME_BUNDLE> CATALOGUE[REL · REL · ARG @NONE]	Namenseintrag »{N1}« — Wertangabe. Dann: Eintrag »{N2}« — Zielzuordnung, Zielzuordnung, Postenangabe.	Sternstelle »yp« — Wertangabe. Dann: Eintrag »alaly« — Zielzuordnung, Zielzuordnung, Postenangabe.	YES
G481-P025	G475-R066	f72r	CELESTIAL	1	P1008-E0361	P1008-E0362	G474-B068	G474-B068	SAME_BUNDLE	oteey|daiin	G481-PT024	1	SINGLETON	COORDINATE[DANACH · GRAD II · POSTEN @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[WERT @NONE]	COORDINATE[OT+EE+Y @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[AIIN @NONE]	G481-PS022	1	SINGLETON	COORDINATE[ORDER · MOD · ARG @START_FRESH_SIBLING:FORWARD_OPEN] <SAME_BUNDLE> COORDINATE[ARG @NONE]	Adressspur: danach → Grad II → Posten. Reihenfolge konkret: OT — danach Grad II. Dann: Adressspur: Wert.	Adressspur: danach → Grad II → Positionsposten. Reihenfolge konkret: OT — danach Grad II. Dann: Adressspur: Positionswert.	YES
G481-P026	G475-R069	f72r	CELESTIAL	1	P1008-E0365	P1008-E0366	G474-B071	G474-B071	SAME_BUNDLE	opoeey|okaiin	G481-PT025	1	SINGLETON	INSTRUCTION[{N1} · GRAD II · POSTEN @NONE] <SAME_BUNDLE> INSTRUCTION[SETZEN · WERT @NONE]	INSTRUCTION[EE+Y @NONE] <SAME_BUNDLE> INSTRUCTION[OK+AIIN @NONE]	G481-PS023	1	SINGLETON	INSTRUCTION[NAME · MOD · ARG @NONE] <SAME_BUNDLE> INSTRUCTION[ACTION · ARG @NONE]	Beziehe den Namenseintrag »{N1}« und den Posten, auf Grad II. Dann: Setze den Wert.	Beziehe den Sternstelleneintrag »opo« und den Positionsposten, auf Grad II. Dann: Setze den Positionswert.	YES
G481-P027	G475-R069	f72r	CELESTIAL	2	P1008-E0366	P1008-E0367	G474-B071	G474-B072	CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL	okaiin|ykolairol	G481-PT026	1	SINGLETON	INSTRUCTION[SETZEN · WERT @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[{N1} · FORTSETZEN · BAHN · FORTSETZEN @KEEP_ACTIVE_UNIT|KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT|BACKWARD_HOLD]	INSTRUCTION[OK+AIIN @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[OL+AIR+OL @KEEP_ACTIVE_UNIT|KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT|BACKWARD_HOLD]	G481-PS024	1	SINGLETON	INSTRUCTION[ACTION · ARG @NONE] <CROSS_BUNDLE:EXPLICIT_CONTINUATION_OL> INSTRUCTION[NAME · ORDER · REL · ORDER @KEEP_ACTIVE_UNIT|KEEP_ACTIVE_UNIT:BRIDGE_LEFT_TO_RIGHT|BACKWARD_HOLD]	Setze den Wert. Dann: Weiter und weiter beziehe den Namenseintrag »{N1}« entlang der Bahn. Reihenfolge konkret: OL — Namenseintrag »{N1}« in Bahn weiterführen; OL — Bahn weiterführen.	Setze den Positionswert. Dann: Weiter und weiter beziehe den Sternstelleneintrag »yk« entlang der Ringbahn. Reihenfolge konkret: OL — Sternstelle »yk« in Bahn weiterführen; OL — Bahn weiterführen.	YES
G481-P028	G475-R074	f72r	CELESTIAL	1	P1008-E0413	P1008-E0414	G474-B077	G474-B077	SAME_BUNDLE	ochey|fydy	G481-PT027	1	SINGLETON	INSTRUCTION[AUSFÜHRUNG · NEHMEN · GRAD I · POSTEN @NONE] <SAME_BUNDLE> INSTRUCTION[{N1} · POSTEN · SCHLUSS @NONE]	INSTRUCTION[O+CH+E+Y @NONE] <SAME_BUNDLE> INSTRUCTION[Y+DY @NONE]	G481-PS025	1	SINGLETON	INSTRUCTION[MOD · ACTION · MOD · ARG @NONE] <SAME_BUNDLE> INSTRUCTION[NAME · ARG · MOD @NONE]	Nimm den Posten auf, als Ausführung und auf Grad I. Dann: Im selben Gang nimm den Namenseintrag »{N1}« und den Posten auf, und schließe den Schritt.	Nimm den Positionsposten auf, als Ausführung und auf Grad I. Dann: Im selben Gang nimm den Sternstelleneintrag »f« und den Positionsposten auf, und schließe den Schritt.	YES
G481-P029	G475-R075	f72r	CELESTIAL	1	P1008-E0415	P1008-E0416	G474-B078	G474-B078	SAME_BUNDLE	of|o	G481-PT028	1	SINGLETON	CATALOGUE[AUSFÜHRUNG · HIER @NONE] <SAME_BUNDLE> CATALOGUE[AUSFÜHRUNG @NONE]	CATALOGUE[O+LOCAL_CHAR_F @NONE] <SAME_BUNDLE> CATALOGUE[O @NONE]	G481-PS026	1	SINGLETON	CATALOGUE[MOD · MOD @NONE] <SAME_BUNDLE> CATALOGUE[MOD @NONE]	Eintrag »{N1}« — Ausführungsvermerk, Hier-Vermerk. Dann: Eintrag »{N2}« — Ausführungsvermerk.	Eintrag »of« — Ausführungsvermerk, Hier-Vermerk. Dann: Eintrag »o« — Ausführungsvermerk.	YES
G481-P030	G475-R075	f72r	CELESTIAL	2	P1008-E0416	P1008-E0417	G474-B078	G474-B078	SAME_BUNDLE	o|eeesaly	G481-PT029	1	SINGLETON	CATALOGUE[AUSFÜHRUNG @NONE] <SAME_BUNDLE> CATALOGUE[{N1} · ZIELORT · POSTEN @NONE]	CATALOGUE[O @NONE] <SAME_BUNDLE> CATALOGUE[AL+Y @NONE]	G481-PS027	1	SINGLETON	CATALOGUE[MOD @NONE] <SAME_BUNDLE> CATALOGUE[NAME · REL · ARG @NONE]	Eintrag »{N1}« — Ausführungsvermerk. Dann: Namenseintrag »{N2}« — Zielzuordnung, Postenangabe.	Eintrag »o« — Ausführungsvermerk. Dann: Sternstelle »eees« — Zielzuordnung, Postenangabe.	YES
G481-P031	G475-R076	f72r	CELESTIAL	1	P1008-E0418	P1008-E0419	G474-B079	G474-B079	SAME_BUNDLE	ykaraiin|airal	G481-PT030	1	SINGLETON	CATALOGUE[{N1} · AUSGANG · WERT @NONE] <SAME_BUNDLE> CATALOGUE[BAHN · ZIELORT @NONE]	CATALOGUE[AR+AIIN @NONE] <SAME_BUNDLE> CATALOGUE[AIR+AL @NONE]	G481-PS028	1	SINGLETON	CATALOGUE[NAME · REL · ARG @NONE] <SAME_BUNDLE> CATALOGUE[REL · REL @NONE]	Namenseintrag »{N1}« — Ausgangszuordnung, Wertangabe. Dann: Eintrag »{N2}« — Bahnvermerk, Zielzuordnung.	Sternstelle »yk« — Ausgangszuordnung, Wertangabe. Dann: Eintrag »airal« — Bahnvermerk, Zielzuordnung.	YES
