record_id	physical_page	register	gdt480_strict_template_id	gdt480_strict_recurrence_class	gdt480_whole_record_singleton	event_count	recurrent_strict_event_count	all_events_strict_recurrent	recurrent_role_event_count	all_events_role_recurrent	pair_count	recurrent_strict_pair_count	any_strict_pair_recurrent	recurrent_role_pair_count	any_role_pair_recurrent	decomposition_class	surface_sequence	definitive_record_reading_de
G475-R017	f72r	CELESTIAL	G480-T017	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	oshodady	Halte den Sternstelleneintrag »o« und den Sternstelleneintrag »odady«.
G475-R018	f72r	CELESTIAL	G480-T018	SINGLETON	YES	1	0	NO	1	YES	0	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	chdaiirdainy	Sternstelle »chdaiird« — Anteilsangabe, Postenangabe.
G475-R019	f72r	CELESTIAL	G480-T019	SINGLETON	YES	3	1	NO	2	NO	2	0	NO	1	YES	PARTIAL_STRICT_EVENT_COVERAGE	oaiin|ar|ary	1. Adressspur: Ausführungspunkt → Positionswert. 2. Adressspur: Ausgangsposition. 3. Adressspur: Ausgangsposition → Positionsposten.
G475-R020	f72r	CELESTIAL	G480-T020	SINGLETON	YES	1	0	NO	1	YES	0	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	okalam	Setze den Eintrag zur Zielposition an der bezeichneten Stelle.
G475-R021	f72r	CELESTIAL	G480-T021	SINGLETON	YES	1	0	NO	1	YES	0	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	ytalshdy	Halte den Sternstelleneintrag »yt« und den Sternstelleneintrag »dy« zur Zielposition.
G475-R022	f72r	CELESTIAL	G480-T022	SINGLETON	YES	2	1	NO	2	YES	1	0	NO	1	YES	PARTIAL_STRICT_EVENT_COVERAGE	char|alif	1. Eintrag »char« — Ausgangszuordnung. 2. Sternstelle »if« — Zielzuordnung.
G475-R023	f72r	CELESTIAL	G480-T023	SAME_PAGE_RECURRENT	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	otaraldy	Adressspur: danach → Ausgangsposition → Zielposition → Positionsposten. Reihenfolge konkret: OT — danach Ausgang.
G475-R024	f72r	CELESTIAL	G480-T024	SINGLETON	YES	2	1	NO	2	YES	1	0	NO	0	NO	PARTIAL_STRICT_EVENT_COVERAGE	otaiin|otain	1. Adressspur: danach → Positionswert. 2. Adressspur: danach → Sektoranteil. Reihenfolge konkret: OT — danach Wert; OT — danach Anteil.
G475-R025	f72r	CELESTIAL	G480-T025	SINGLETON	YES	3	1	NO	1	NO	2	0	NO	0	NO	PARTIAL_STRICT_EVENT_COVERAGE	otalef|ys|ainam	1. Danach beziehe den Sternstelleneintrag »ef« zur Zielposition. 2. Wähle den Positionsposten. 3. Im selben Gang wähle den Sektoranteil an der bezeichneten Stelle. Reihenfolge konkret: OT — danach Zielort.
G475-R026	f72r	CELESTIAL	G480-T026	SINGLETON	YES	2	0	NO	1	NO	1	0	NO	0	NO	PARTIAL_ROLE_FRAGMENT_COVERAGE	ochol|sharam	1. Weiter beziehe den Eintrag, als Ausführung. 2. Halte den Eintrag von der Ausgangsposition an der bezeichneten Stelle. Reihenfolge konkret: OL — Ausführung weiterführen.
G475-R027	f72r	CELESTIAL	G480-T027	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	ofaralar	Adressspur: Ausführungspunkt → hier → Ausgangsposition → Zielposition → Ausgangsposition.
G475-R028	f72r	CELESTIAL	G480-T028	SINGLETON	YES	1	0	NO	1	YES	0	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	otchoshy	Sternstelle »cho« — Folgevermerk, Postenangabe. Reihenfolge konkret: OT — danach Sternstelle »cho«.
G475-R029	f72r	CELESTIAL	G480-T029	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	otchdal	Sternstelle »ch« — Folgevermerk, Zielzuordnung. Reihenfolge konkret: OT — danach Sternstelle »ch«.
G475-R030	f72r	CELESTIAL	G480-T030	SAME_PAGE_RECURRENT	NO	2	2	YES	2	YES	1	1	YES	1	YES	FULL_STRICT_EVENT_COVERAGE	okeey|ary	1. Setze den Positionsposten, auf Grad II. 2. Im selben Gang setze den Positionsposten von der Ausgangsposition.
G475-R031	f72r	CELESTIAL	G480-T031	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	otainy	Adressspur: danach → Sektoranteil → Positionsposten. Reihenfolge konkret: OT — danach Anteil.
G475-R032	f72r	CELESTIAL	G480-T012	CROSS_PAGE	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	ofchdamy	Sternstelle »chdamy« — Ausführungsvermerk, Hier-Vermerk.
G475-R033	f72r	CELESTIAL	G480-T032	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	oklairdy	Setze den Sternstelleneintrag »l« und den Sternstelleneintrag »dy« entlang der Ringbahn.
G475-R034	f72r	CELESTIAL	G480-T033	SINGLETON	YES	1	0	NO	1	YES	0	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	okaram	Setze den Eintrag von der Ausgangsposition an der bezeichneten Stelle.
G475-R035	f72r	CELESTIAL	G480-T034	SINGLETON	YES	1	0	NO	1	YES	0	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	okairy	Setze den Sternstelleneintrag »y« entlang der Ringbahn.
G475-R036	f72r	CELESTIAL	G480-T035	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	okealar	Setze den Sternstelleneintrag »e« zur Zielposition und von der Ausgangsposition.
G475-R037	f72r	CELESTIAL	G480-T023	SAME_PAGE_RECURRENT	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	otaraldy	Adressspur: danach → Ausgangsposition → Zielposition → Positionsposten. Reihenfolge konkret: OT — danach Ausgang.
G475-R038	f72r	CELESTIAL	G480-T036	SAME_PAGE_RECURRENT	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	okalar	Setze den Eintrag zur Zielposition und von der Ausgangsposition.
G475-R039	f72r	CELESTIAL	G480-T037	SAME_PAGE_RECURRENT	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	okal	Setze den Eintrag zur Zielposition.
G475-R040	f72r	CELESTIAL	G480-T038	SAME_PAGE_RECURRENT	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	okaly	Setze den Positionsposten zur Zielposition.
G475-R041	f72r	CELESTIAL	G480-T037	SAME_PAGE_RECURRENT	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	okal	Setze den Eintrag zur Zielposition.
G475-R042	f72r	CELESTIAL	G480-T030	SAME_PAGE_RECURRENT	NO	2	2	YES	2	YES	1	1	YES	1	YES	FULL_STRICT_EVENT_COVERAGE	okeey|ary	1. Setze den Positionsposten, auf Grad II. 2. Im selben Gang setze den Positionsposten von der Ausgangsposition.
G475-R043	f72r	CELESTIAL	G480-T039	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	oteeary	Sternstelle »ee« / Sternstelle »y« — Folgevermerk, Ausgangszuordnung. Reihenfolge konkret: OT — danach Sternstelle »ee«.
G475-R044	f72r	CELESTIAL	G480-T040	SINGLETON	YES	2	0	NO	2	YES	1	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	otair|dy	1. Adressspur: danach → Ringbahn. 2. Adressspur: Positionsposten. Reihenfolge konkret: OT — danach Bahn.
G475-R045	f72r	CELESTIAL	G480-T041	SINGLETON	YES	1	0	NO	1	YES	0	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	okaircham	Setze den Sternstelleneintrag »ch« entlang der Ringbahn an der bezeichneten Stelle.
G475-R046	f72r	CELESTIAL	G480-T042	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	okeal	Setze den Sternstelleneintrag »e« zur Zielposition.
G475-R047	f72r	CELESTIAL	G480-T043	SINGLETON	YES	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	otar	Adressspur: danach → Ausgangsposition. Reihenfolge konkret: OT — danach Ausgang.
G475-R048	f72r	CELESTIAL	G480-T038	SAME_PAGE_RECURRENT	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	okaly	Setze den Positionsposten zur Zielposition.
G475-R049	f72r	CELESTIAL	G480-T044	SINGLETON	YES	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	orary	Sternstelle »y« — Einheitsangabe, Ausgangszuordnung.
G475-R050	f72r	CELESTIAL	G480-T045	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	okyd	Setze den Sternstelleneintrag »yd«.
G475-R051	f72r	CELESTIAL	G480-T046	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	otolam	Adressspur: danach → weiter → hier. Reihenfolge konkret: OT — danach Fortsetzung; OL — Folgeschritt in bezeichnete Stelle weiterführen.
G475-R052	f72r	CELESTIAL	G480-T047	SINGLETON	YES	1	0	NO	1	YES	0	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	otal	Adressspur: danach → Zielposition. Reihenfolge konkret: OT — danach Zielort.
G475-R053	f72r	CELESTIAL	G480-T048	SAME_PAGE_RECURRENT	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	ralal	Sternstelle »r« — Zielzuordnung, Zielzuordnung.
G475-R054	f72r	CELESTIAL	G480-T049	SINGLETON	YES	1	0	NO	1	YES	0	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	okam	Setze den Eintrag an der bezeichneten Stelle.
G475-R055	f72r	CELESTIAL	G480-T050	CROSS_REGISTER	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	otalshy	Adressspur: danach → Zielposition → Positionsposten. Reihenfolge konkret: OT — danach Zielort.
G475-R056	f72r	CELESTIAL	G480-T051	SINGLETON	YES	1	0	NO	1	YES	0	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	okaldy	Setze den Eintrag zur Zielposition, und schließe den Schritt.
G475-R057	f72r	CELESTIAL	G480-T052	SINGLETON	YES	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	chosar	Sternstelle »chos« — Ausgangszuordnung.
G475-R058	f72r	CELESTIAL	G480-T053	SINGLETON	YES	1	0	NO	1	YES	0	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	otam	Adressspur: danach → hier. Reihenfolge konkret: OT — danach bezeichnete Stelle.
G475-R059	f72r	CELESTIAL	G480-T003	CROSS_PAGE	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	ainaly	Sternstelle »ain« — Zielzuordnung, Postenangabe.
G475-R060	f72r	CELESTIAL	G480-T054	SINGLETON	YES	3	0	NO	1	NO	2	0	NO	0	NO	PARTIAL_ROLE_FRAGMENT_COVERAGE	okarcham|olkalaiin|olalsy	Setze den Sternstelleneintrag »ch« von der Ausgangsposition an der bezeichneten Stelle. Im selben Arbeitsgang: Weiter beziehe den Sternstelleneintrag »k« und den Positionswert zur Zielposition. Reihenfolge konkret: OL — weiter mit Sternstelle »k«. Dazugehörige Adressspur: weiter → Zielposition → Positionsposten. Reihenfolge konkret: OL — weiter mit Zielort.
G475-R061	f72r	CELESTIAL	G480-T055	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	oraiinam	Sternstelle »aiin« — Einheitsangabe, Hier-Vermerk.
G475-R062	f72r	CELESTIAL	G480-T056	SINGLETON	YES	1	0	NO	1	YES	0	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	osarsheeeo	Halte den Sternstelleneintrag »os« und den Sternstelleneintrag »eeeo« von der Ausgangsposition.
G475-R063	f72r	CELESTIAL	G480-T057	SINGLETON	YES	2	1	NO	2	YES	1	0	NO	0	NO	PARTIAL_STRICT_EVENT_COVERAGE	oto|aiin	1. Adressspur: danach → Ausführungspunkt. 2. Adressspur: Positionswert. Reihenfolge konkret: OT — danach Ausführung.
G475-R064	f72r	CELESTIAL	G480-T058	SINGLETON	YES	3	1	NO	1	NO	2	0	NO	0	NO	PARTIAL_STRICT_EVENT_COVERAGE	opoiiinoin|al|ches	1. Beziehe den Sternstelleneintrag »opoiiin«, als Ausführung und auf der bezeichneten Stufe. 2. Beziehe den Eintrag zur Zielposition. 3. Nimm den Eintrag auf und wähle den Eintrag, auf Grad I.
G475-R065	f72r	CELESTIAL	G480-T059	SINGLETON	YES	2	1	NO	1	NO	1	0	NO	0	NO	PARTIAL_STRICT_EVENT_COVERAGE	ypaiin|alaly	1. Sternstelle »yp« — Wertangabe. 2. Eintrag »alaly« — Zielzuordnung, Zielzuordnung, Postenangabe.
G475-R066	f72r	CELESTIAL	G480-T060	SINGLETON	YES	2	1	NO	1	NO	1	0	NO	0	NO	PARTIAL_STRICT_EVENT_COVERAGE	oteey|daiin	1. Adressspur: danach → Grad II → Positionsposten. 2. Adressspur: Positionswert. Reihenfolge konkret: OT — danach Grad II.
G475-R067	f72r	CELESTIAL	G480-T061	SAME_PAGE_RECURRENT	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	oeeodaiin	Sternstelle »oeeo« — Wertangabe.
G475-R068	f72r	CELESTIAL	G480-T062	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	ofsholdy	Weiter halte den Sternstelleneintrag »dy«, als Ausführung an der bezeichneten Stelle. Reihenfolge konkret: OL — Halten in Sternstelle »dy« weiterführen.
G475-R069	f72r	CELESTIAL	G480-T063	SINGLETON	YES	3	1	NO	1	NO	2	0	NO	0	NO	PARTIAL_STRICT_EVENT_COVERAGE	opoeey|okaiin|ykolairol	1. Beziehe den Sternstelleneintrag »opo« und den Positionsposten, auf Grad II. 2. Setze den Positionswert. Im selben Arbeitsgang: Weiter und weiter beziehe den Sternstelleneintrag »yk« entlang der Ringbahn. Reihenfolge konkret: OL — Sternstelle »yk« in Bahn weiterführen; OL — Bahn weiterführen.
G475-R070	f72r	CELESTIAL	G480-T064	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	oralkam	Sternstelle »k« — Einheitsangabe, Zielzuordnung, Hier-Vermerk.
G475-R071	f72r	CELESTIAL	G480-T065	SINGLETON	YES	1	0	NO	1	YES	0	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	ytairal	Sternstelle »yt« — Bahnvermerk, Zielzuordnung.
G475-R072	f72r	CELESTIAL	G480-T061	SAME_PAGE_RECURRENT	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	oeeesaiin	Sternstelle »oeees« — Wertangabe.
G475-R073	f72r	CELESTIAL	G480-T066	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	ory	Adressspur: Positionseinheit → Positionsposten.
G475-R074	f72r	CELESTIAL	G480-T067	SINGLETON	YES	2	0	NO	0	NO	1	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	ochey|fydy	1. Nimm den Positionsposten auf, als Ausführung und auf Grad I. 2. Im selben Gang nimm den Sternstelleneintrag »f« und den Positionsposten auf, und schließe den Schritt.
G475-R075	f72r	CELESTIAL	G480-T068	SINGLETON	YES	3	1	NO	1	NO	2	0	NO	0	NO	PARTIAL_STRICT_EVENT_COVERAGE	of|o|eeesaly	1. Eintrag »of« — Ausführungsvermerk, Hier-Vermerk. 2. Eintrag »o« — Ausführungsvermerk. 3. Sternstelle »eees« — Zielzuordnung, Postenangabe.
G475-R076	f72r	CELESTIAL	G480-T069	SINGLETON	YES	2	0	NO	1	NO	1	0	NO	0	NO	PARTIAL_ROLE_FRAGMENT_COVERAGE	ykaraiin|airal	1. Sternstelle »yk« — Ausgangszuordnung, Wertangabe. 2. Eintrag »airal« — Bahnvermerk, Zielzuordnung.
G475-R077	f72r	CELESTIAL	G480-T036	SAME_PAGE_RECURRENT	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	okalar	Setze den Eintrag zur Zielposition und von der Ausgangsposition.
G475-R078	f72r	CELESTIAL	G480-T070	SINGLETON	YES	4	2	NO	2	NO	3	0	NO	0	NO	PARTIAL_STRICT_EVENT_COVERAGE	orara|olaiin|olay|olfsheoral	Sternstelle »a« — Einheitsangabe, Ausgangszuordnung. Fortgesetzter Katalogeintrag: 1. Eintrag »olaiin« — Fortsetzungsvermerk, Wertangabe. 2. Sternstelle »ay« — Fortsetzungsvermerk. Reihenfolge konkret: OL — weiter mit Wert; OL — weiter mit Sternstelle »ay«. Im selben Arbeitsgang: Weiter halte den Sternstelleneintrag »f« und den Sternstelleneintrag »eor« zur Zielposition. Reihenfolge konkret: OL — weiter mit Sternstelle »f«.
G475-R079	f72r	CELESTIAL	G480-T048	SAME_PAGE_RECURRENT	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	opalal	Sternstelle »op« — Zielzuordnung, Zielzuordnung.
G475-R080	f72r	CELESTIAL	G480-T071	CROSS_REGISTER	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	yfary	Sternstelle »yf« / Sternstelle »y« — Ausgangszuordnung.
G475-R081	f72r	CELESTIAL	G480-T072	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	oraiiral	Sternstelle »aiir« — Einheitsangabe, Zielzuordnung.
G475-R082	f72r	CELESTIAL	G480-T073	SINGLETON	YES	2	1	NO	1	NO	1	0	NO	0	NO	PARTIAL_STRICT_EVENT_COVERAGE	ytoar|shar	1. Sternstelle »yto« — Ausgangszuordnung. 2. Eintrag »shar« — Haltevermerk, Ausgangszuordnung.
G475-R083	f72r	CELESTIAL	G480-T074	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	octho	Nimm den Sternstelleneintrag »o« und den Sternstelleneintrag »o« auf und stelle den Sternstelleneintrag »o« und den Sternstelleneintrag »o« ein.
G475-R084	f72r	CELESTIAL	G480-T075	SINGLETON	YES	2	0	NO	0	NO	1	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	aral|oletal	Adressspur: Ausgangsposition → Zielposition. Dazugehörige Adressspur: weiter → Sternstelle »et« → Zielposition. Reihenfolge konkret: OL — weiter mit Sternstelle »et«.
G475-R085	f77r	BIOLOGICAL	G480-T076	SINGLETON	YES	2	1	NO	2	YES	1	0	NO	0	NO	PARTIAL_STRICT_EVENT_COVERAGE	darchdar|olkchs	Badstation »d« / Badstation »chd« — Ausgangszuordnung, Ausgangszuordnung. Fortgesetzter Katalogeintrag: Badstation »kchs« — Fortsetzungsvermerk. Reihenfolge konkret: OL — weiter mit Badstation »kchs«.
G475-R086	f77r	BIOLOGICAL	G480-T077	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	otedy	Adressspur: danach → Grad I → Endpunkt. Reihenfolge konkret: OT — danach Grad I.
G475-R087	f77r	BIOLOGICAL	G480-T005	CROSS_REGISTER	NO	1	1	YES	1	YES	0	0	NO	0	NO	FULL_STRICT_EVENT_COVERAGE	otork	Badstation »ork« — Folgevermerk. Reihenfolge konkret: OT — danach Badstation »ork«.
G475-R088	f77r	BIOLOGICAL	G480-T078	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	otol	Adressspur: danach → weiter. Reihenfolge konkret: OT — danach Fortsetzung; OL — Folgeschritt weiterführen.
G475-R089	f77r	BIOLOGICAL	G480-T079	SINGLETON	YES	1	0	NO	1	YES	0	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	dchdy	Bearbeite den Eintrag, und schließe den Schritt.
G475-R090	f77r	BIOLOGICAL	G480-T080	SINGLETON	YES	1	0	NO	1	YES	0	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	soral	Badstation »sor« — Zielzuordnung.
G475-R091	f77r	BIOLOGICAL	G480-T081	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	dotedy	Badstation »d« / Badstation »edy« — Folgevermerk. Reihenfolge konkret: OT — nach Badstation »d« folgt Badstation »edy«.
G475-R092	f77r	BIOLOGICAL	G480-T082	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	otchdy	Danach bearbeite den Eintrag, und schließe den Schritt. Reihenfolge konkret: OT — danach Bearbeiten.
G475-R093	f77r	BIOLOGICAL	G480-T083	SINGLETON	YES	2	0	NO	1	NO	1	0	NO	0	NO	PARTIAL_ROLE_FRAGMENT_COVERAGE	otolaiin|o	1. Adressspur: danach → weiter → Stationswert. 2. Adressspur: Ausführungspunkt. Reihenfolge konkret: OT — danach Fortsetzung; OL — Folgeschritt in Wert weiterführen.
G475-R094	f88v	PHARMA	G480-T084	SINGLETON	YES	1	0	NO	1	YES	0	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	okalyd	Setze den Drogeneintrag »yd« als Ansatz an zum Zielgefäß.
G475-R095	f88v	PHARMA	G480-T085	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	cheocthy	Nimm den Drogeneintrag »cheo« und den Drogenposten und stelle den Drogeneintrag »cheo« und den Drogenposten ein.
G475-R096	f88v	PHARMA	G480-T086	SINGLETON	YES	1	0	NO	1	YES	0	0	NO	0	NO	FULL_ROLE_EVENT_COVERAGE	cpheor	Droge »cphe« — Einheitsangabe.
G475-R097	f88v	PHARMA	G480-T087	SINGLETON	YES	2	1	NO	1	NO	1	0	NO	0	NO	PARTIAL_STRICT_EVENT_COVERAGE	otar|arody	1. Eintrag »otar« — Folgevermerk, Ausgangszuordnung. 2. Droge »ody« — Ausgangszuordnung. Reihenfolge konkret: OT — danach Ausgang.
G475-R098	f88v	PHARMA	G480-T088	SINGLETON	YES	1	0	NO	0	NO	0	0	NO	0	NO	SINGLETON_FRAGMENT_TAIL	otokol	Danach und weiter setze den Eintrag als Ansatz an. Reihenfolge konkret: OT — danach Setzen; OL — Setzen weiterführen.
