surface	working_meaning_de	composition	strongest_rival_de	family
lkshedy	Holzdroge erhitzen, bis zur Mittelstufe einweichen und abschließen	L_WOOD + K_HOT + SH_MOIST + E_MIDDLE + DY_FINISHED	erhitzte, fertig eingeweichte Holzdroge	L_WOOD_COMPOSITE_PROCESS
raraiin	drei Teile der ersten Wurzelfraktion	R_ROOT + AR_FRACTION_I + AIIN_III	Wurzelportion III	ROOT_FRACTION_QUANTITY
cheodar	abgemessene erste Trockenansatz-Fraktion auf Mittelstufe	CH_DRY + E_MIDDLE + O_PREP + D_MEASURE + AR_FRACTION_I	erste Fraktion des Trockenansatzes abmessen	DRY_PREP_FRACTION
keam	ein Maß bis zur Mittelstufe erhitzter Droge	K_HOT + E_MIDDLE + AM_UNIT_I	eine Handvoll Droge vollständig erhitzen	HOT_MEASURE
dalchd	Rohstoff I abmessen, trocknen und abschließen	D_MEASURE + AL_RAW_I + CH_DRY + D_TERM_CLOSE	abgemessener, fertig getrockneter Rohstoff I	MEASURE_DRY_PROCESS
chcthey	Krautdroge bis zur mittleren Stufe trocknen	CH_DRY + CTH_HERB + E_MIDDLE + Y_CLOSE	getrocknete Krautdroge, Form I	CTH_DRY_PROCESS
dcheoty	eine Dosis Trockenansatz nach mittlerem Trocknen leicht abkühlen	D_MEASURE + CH_DRY + E_MIDDLE + O_PREP + T_COLD + Y_CLOSE	abgemessener kalt-trockener Ansatz	MEASURE_COLD_DRY_PROCESS
chdam	ein abgemessenes Maß Trockendroge	CH_DRY + D_MEASURE + AM_UNIT_I	ein Maß Trockendroge	DRY_MEASURE
sokal	leicht erhitzter Saatrohstoff-I-Ansatz	S_SEED + O_PREP + K_HOT + AL_RAW_I	heißer Saatgutabsud	SEED_HOT_PREP
otcheody	kalt angesetzten Trockenansatz fertigstellen	O_PREP + T_COLD + CH_DRY + E_MIDDLE + O_PREP + DY_FINISHED	fertiger kalt-trockener Ansatz	COLD_DRY_PREP_PROCESS
cheedain	zwei Dosen vollständig getrockneter Droge	CH_DRY + EE_END + D_MEASURE + AIN_II	zwei Dosen Trockenansatz	DRY_END_DOSE
chot	kalt angesetztes Trockengut	CH_DRY + O_PREP + T_COLD	Kalt-Trockenansatz	COLD_DRY_MATERIAL
ysheed	weiche hiervon vollständig ein und schließe ab	Y_REFERENCE + SH_MOIST + EE_END + D_TERM_CLOSE	hierzu vollständig eingeweichte Droge	Y_MOIST_COMMAND
rodam	ein Maß Wurzelansatz	R_ROOT + O_PREP + D_MEASURE + AM_UNIT_I	eine Dosis Wurzelansatz	ROOT_PREP_MEASURE
ykeeochody	erhitze hiervon den Trockenansatz vollständig und stelle ihn fertig	Y_REFERENCE + K_HOT + EE_END + O_PREP + CH_DRY + DY_FINISHED	nimm hiervon den vollständig erhitzten Trockenansatz	Y_COMPLEX_COMMAND
chky	leicht trocken erhitzte Droge	CH_DRY + K_HOT + Y_START_OR_CLOSE	Droge leicht trocknen und erhitzen	DRY_HOT_BASIC
chytshy	leicht getrocknete, kalt angefeuchtete Droge	gelernte Ganzform für CH_DRY→T_COLD+SH_MOIST; internes y nicht produktiv exportiert	nach dem Trocknen kalt anfeuchten	DRY_COLD_MOIST_COMPOSITE
ytol	kühle hiervon den Drogenstoff	Y_REFERENCE + T_COLD + OL_MATERIAL	kalter Drogenstoff hiervon	Y_COLD_COMMAND
kch	erhitzen und trocknen	K_HOT + CH_DRY	heiß getrocknete Droge	HOT_DRY_PROCESS
qopchaiin	nimm drei Teile getrocknetes Pulverpräparat	QO_COMMAND + O_PREP + P_POWDER + CH_DRY + AIIN_III	drei Teile Trockenpulveransatz	Q_POWDER_QUANTITY
choltaiin	Trockengut auf Kühlstufe III	CHOL_DRY_MATERIAL + T_COLD + AIIN_III	kalte Trockenzubereitung, Grad III	DRY_COLD_STAGE
shdaiin	drei Dosen eingeweichte Droge	SH_MOIST + D_MEASURE + AIIN_III	feuchte Droge auf Stufe III	MOIST_DOSE
choees	Charge vollständig getrockneten Ansatzes	CHO_DRY_PREP + EE_END + S_TERM_SPECIES	vollständig getrocknete Kräutermischung	DRY_END_CHARGE
okoiin	heißer Ansatz in Zubereitungsform III	O_PREP + K_HOT + O_PREP + IIN_FORM_III	heißer Ansatz auf Stufe III	HOT_PREP_FORM
tolshy	kalt angefeuchtetes Drogenmaterial, Grundstufe	T_COLD + OL_MATERIAL + SH_MOIST + Y_CLOSE	kaltes Drogenmaterial leicht einweichen	COLD_MOIST_MATERIAL
ysheol	weiche hiervon den Drogenstoff bis zur Mittelstufe ein	Y_REFERENCE + SH_MOIST + E_MIDDLE + OL_MATERIAL	nimm hiervon den eingeweichten Drogenstoff	Y_MOIST_MATERIAL_COMMAND
keeees	Charge bis zur letzten Stufe erhitzter Droge	K_HOT + EEE_LONG_OR_FINAL + S_TERM_SPECIES	letzte Charge erhitzten Ansatzes	HOT_FINAL_CHARGE
ykol	erhitze hiervon den Drogenstoff	Y_REFERENCE + K_HOT + OL_MATERIAL	heißer Drogenstoff hiervon	Y_HOT_MATERIAL_COMMAND
kcheor	eine Portion bis zur Mittelstufe heiß getrocknete Droge	K_HOT + CH_DRY + E_MIDDLE + OR_PORTION	heiß-trockene Drogenportion	HOT_DRY_PORTION
ychor	nimm hiervon den Pflanzenteil	Y_REFERENCE + CHOR_PLANT_PART	dieser Pflanzenteil	Y_PLANT_PART_COMMAND
qoaiin	nimm drei Teile	QO_COMMAND + AIIN_III	drei Teile Ansatz	Q_QUANTITY_COMMAND
oaldary	erste Fraktion des Rohstoff-I-Ansatzes abmessen und abschließen	O_PREP + AL_RAW_I + D_MEASURE + AR_FRACTION_I + Y_CLOSE	abgemessene erste Rohstoff-I-Ansatzfraktion	RAW_PREP_FRACTION_PROCESS
g	Mischung fertig	gelerntes freies Schlusssiglum; kein G_GRAIN-Substring	ein Gran	FREE_G_CLOSURE
chcth	trockne die Krautdroge	CH_DRY + CTH_HERB	getrocknete Krautdroge	CTH_DRY_COMMAND
daid	zweite Dosis abmessen und abschließen	D_MEASURE + AI_VALUE_II + D_TERM_CLOSE	abgemessene zweite Dosis	MEASURE_CLOSE
qochol	nimm Trockengut	QO_COMMAND + CHOL_DRY_MATERIAL	nimm einen Trockenansatz	Q_DRY_MATERIAL_COMMAND
cthody	fertiger Krautansatz	CTH_HERB + O_PREP + DY_FINISHED	Krautansatz fertigstellen	CTH_FINISHED_PREP
qoos	nimm eine Ansatzcharge	QO_COMMAND + O_PREP + S_TERM_SPECIES	nimm eine Charge Trockenansatz	Q_PREP_CHARGE
yor	nimm hiervon eine Portion	Y_REFERENCE + OR_PORTION	eine Portion hiervon	Y_PORTION_COMMAND
dkol	eine Dosis heißen Drogenstoffs	D_MEASURE + K_HOT + OL_MATERIAL	heißen Drogenstoff abmessen	HOT_MATERIAL_DOSE
chm	eine Handvoll Trockendroge	gelernte Kurzform CH_DRY + MANIPULUS; nicht produktiv	ein Maß Trockendroge	LEARNED_DRY_HANDFUL
ctholdy	Blatt-/Krautansatz fertigstellen	CTH_HERB + OL_MATERIAL + DY_FINISHED	fertiger Blatt-/Krautansatz	CTH_FINISH_PROCESS
deey	Dosis der Endstufe	D_MEASURE + EE_END + Y_CLOSE	vollständige Dosis	END_STAGE_DOSE
dshodar	erste Fraktion des eingeweichten Ansatzes abmessen	D_MEASURE + SH_MOIST + O_PREP + D_LINK + AR_FRACTION_I	abgemessene erste Feuchtansatz-Fraktion	MOIST_PREP_FRACTION
chekar	erste Trockenfraktion bis zur Mittelstufe erhitzen	CH_DRY + E_MIDDLE + K_HOT + AR_FRACTION_I	erhitzte erste Trockenfraktion	DRY_HOT_FRACTION
arl	erste Holzfraktion	AR_FRACTION_I + L_WOOD	Rohdrogenfraktion I	WOOD_FRACTION
yshos	nimm hiervon eine Charge Feuchtansatz	Y_REFERENCE + SHO_MOIST_PREP + S_TERM_SPECIES	weiche hiervon eine Charge Ansatz ein	Y_MOIST_CHARGE_COMMAND
dchold	miss Trockengut ab und schließe den Posten	D_MEASURE + CHOL_DRY_MATERIAL + D_TERM_CLOSE	eine abgeschlossene Dosis Trockengut	DRY_MATERIAL_MEASURE_CLOSE
ochor	angesetzter Pflanzenteil	O_PREP + CHOR_PLANT_PART	Pflanzenteil im Ansatz	PLANT_PART_PREP
kcholqod	erhitztes Trockengut als Ansatz fertigstellen	K_HOT + CHOL_DRY_MATERIAL + QO_PROCESS + D_TERM_CLOSE	vom erhitzten Trockengut abmessen und abschließen	HOT_DRY_FINISH_PROCESS
orchochor	Portion Trockenansatz aus Pflanzenteil	OR_PORTION + CHO_DRY_PREP + CHOR_PLANT_PART	Pflanzenteil-Portion im Trockenansatz	PLANT_DRY_PORTION
chokokor	heiß bereitete Trockenansatz-Portion	CHO_DRY_PREP + K_HOT + O_PREP + KOR_HOT_PORTION	heiß ausgekochte Trockenansatz-Portion	HOT_DRY_PREP_PORTION
dchdy	eine Dosis Trockendroge fertigstellen	D_MEASURE + CH_DRY + DY_FINISHED	fertige Dosis Trockendroge	DOSE_DRY_FINISH
ycheor	nimm hiervon eine Portion Trockendroge	Y_REFERENCE + CH_DRY + E_MIDDLE + OR_PORTION	dieser trockene Drogenteil	Y_DRY_PORTION_COMMAND
chag	ein Gran Trockendroge	gelernte exakte Form CH_DRY + A_LINK + G_GRAIN_SIGLUM	ein gleicher Teil Trockendroge	LEARNED_DRY_GRAIN
chololy	seihe das Trockengut ab	CHOL_DRY_MATERIAL + OLY_STRAIN	fertiger Trockenrückstand	DRY_STRAIN_PROCESS
chekody	Trockenansatz bis zur Mittelstufe erhitzen und fertigstellen	CH_DRY + E_MIDDLE + K_HOT + O_PREP + DY_FINISHED	fertiger erhitzter Trockenansatz	DRY_HOT_FINISH_PROCESS
ay	zu gleichen Teilen	A_PART_OR_LINK + Y_CLOSE	ein gleicher Teil	EQUAL_PART_LINK
dalain	zwei Dosen Rohdroge I abmessen	D_MEASURE + AL_RAW_I + AIN_II	abgemessene Rohdroge I, Stufe II	RAW_DOSE_II
chtchy	kalt angetrocknete Droge	CH_DRY + T_COLD + CH_DRY + Y_CLOSE	Droge kalt antrocknen	COLD_DRY_BASIC
qokody	erhitze den Ansatz und stelle ihn fertig	QO_COMMAND + K_HOT + O_PREP + DY_FINISHED	fertiger erhitzter Ansatz	Q_HOT_FINISH_COMMAND
qody	stelle den Ansatz fertig	QO_COMMAND + O_PREP + DY_FINISHED	nimm den fertigen Ansatz	Q_PREP_FINISH_COMMAND
om	eine Handvoll Ansatz	gelernte exakte Form O_PREP + MANIPULUS_SIGLUM	ein Maß Ansatz	LEARNED_PREP_HANDFUL
keesy	vollständig erhitztes Saatgut, Grundform	K_HOT + EE_END + S_SEED + Y_CLOSE	Saatgut vollständig erhitzen und abschließen	HOT_SEED_END
qocthedy	nimm die Krautdroge, trockne sie bis zur Mittelstufe und schließe ab	QO_COMMAND + CTH_HERB + E_MIDDLE + DY_FINISHED	Krautdroge bis zur Mittelstufe trocknen und abschließen	Q_CTH_DRY_COMMAND
chosory	Trockenansatz aus einer Samenportion, Grundform	CHO_DRY_PREP + gelernte SOR_SEED_PORTION + Y_CLOSE	Pflanzenportion im Trockenansatz	DRY_SEED_PORTION
koddy	erhitzten Ansatz abmessen und fertigstellen	K_HOT + O_PREP + D_MEASURE + DY_FINISHED	fertiger erhitzter Ansatz	HOT_PREP_MEASURE_FINISH
ycheoky	nimm hierzu den Trockenansatz und erhitze ihn leicht	Y_REFERENCE + CH_DRY + E_MIDDLE + O_PREP + K_HOT + Y_CLOSE	trocken angesetzte heiße Zubereitung hiervon	Y_DRY_HOT_COMMAND
chokan	Trockenansatz auf Heizstufe I	CHO_DRY_PREP + K_HOT + AN_I	Rohstoff-I-Trockenansatz, leicht erhitzt	DRY_PREP_HOT_STAGE
qockhey	bereite das Arzneikompositum bis zur Mittelstufe	QO_COMMAND + CKH_COMPOSITE + E_MIDDLE + Y_CLOSE	Arzneikompositum-Ansatz auf Mittelstufe	Q_COMPOSITE_COMMAND
ke	bis zur mittleren Heizstufe erhitzen	K_HOT + E_MIDDLE	mittlere Heizstufe	HOT_MIDDLE_PROCESS
keeyfar	vollständig erhitzte erste Blütenfraktion	K_HOT + EE_END + F_FLOWER + AR_FRACTION_I	erste Drogenfraktion vollständig erhitzt	HOT_FLOWER_FRACTION
daiiny	drei Maße abteilen und abschließen	D_MEASURE + AIIN_III + Y_CLOSE	drei Maße, abgeteilt	MEASURE_III_CLOSE
chokor	eine Portion erhitzter Trockenansatz	CHO_DRY_PREP + K_HOT + OR_PORTION	heiß-trockene Drogenportion	HOT_DRY_PREP_PORTION
chotchey	Trockenansatz, kalt bis zur Mittelstufe nachgetrocknet	CHO_DRY_PREP + T_COLD + CH_DRY + E_MIDDLE + Y_CLOSE	Trockenansatz bis zur mittleren Kühlstufe	COLD_DRY_MIDDLE_PREP
chotor	eine Portion kalter Trockenansatz	CHO_DRY_PREP + T_COLD + OR_PORTION	kalte Drogenportion	COLD_DRY_PREP_PORTION
skaiiodar	erste Fraktion eines erhitzten Saatgutansatzes abmessen	S_SEED + K_HOT + O_PREP + D_MEASURE + AR_FRACTION_I	abgemessene erste Saatgutfraktion	SEED_HOT_PREP_FRACTION
yodaiin	nimm hiervon drei Dosen Ansatz	Y_REFERENCE + O_PREP + D_MEASURE + AIIN_III	davon drei Maße	Y_PREP_DOSE_COMMAND
choldar	erste Fraktion des Trockenguts abmessen	CHOL_DRY_MATERIAL + D_MEASURE + AR_FRACTION_I	abgemessene erste Trockenfraktion	DRY_MATERIAL_FRACTION
qoked	erhitze bis zur Mittelstufe und schließe ab	QO_COMMAND + K_HOT + E_MIDDLE + D_TERM_CLOSE	heiß auf Mittelstufe, abgeschlossen	Q_HOT_MIDDLE_CLOSE
polshy	Pulverstoff leicht einweichen	P_POWDER + OL_MATERIAL + SH_MOIST + Y_CLOSE	leicht eingeweichter Pulverstoff	POWDER_MOIST_PROCESS
koldy	heißen Drogenstoff fertigstellen	K_HOT + OL_MATERIAL + DY_FINISHED	fertiger heißer Drogenstoff	HOT_MATERIAL_FINISH
ld	Holzdrogenposten abschließen	L_WOOD + D_TERM_CLOSE	Holzdroge abziehen	WOOD_CLOSE
dlshedy	eine Dosis Holzdroge bis zur Mittelstufe einweichen und abschließen	D_MEASURE + L_WOOD + SH_MOIST + E_MIDDLE + DY_FINISHED	fertig eingeweichte Dosis Holzdroge	WOOD_DOSE_MOIST_FINISH
qokalchey	erhitze Rohstoff I und trockne ihn bis zur Mittelstufe	QO_COMMAND + K_HOT + AL_RAW_I + CH_DRY + E_MIDDLE + Y_CLOSE	heiß getrockneter Rohstoff I, Mittelstufe	Q_RAW_HOT_DRY_COMMAND
qopchey	nimm das bis zur Mittelstufe getrocknete Pulverpräparat	QO_COMMAND + O_PREP + P_POWDER + CH_DRY + E_MIDDLE + Y_CLOSE	Trockenpulver-Ansatz, Form I	Q_POWDER_DRY_COMMAND
qochy	nimm leicht getrocknete Droge	QO_COMMAND + CH_DRY + Y_CLOSE	nimm einen leicht getrockneten Ansatz	Q_DRY_BASIC_COMMAND
olsheed	Drogenmaterial vollständig einweichen und abschließen	OL_MATERIAL + SH_MOIST + EE_END + D_TERM_CLOSE	vollständig eingeweichtes Drogenmaterial	MATERIAL_MOIST_CLOSE
chcphedy	Arzneikompositum bis zur Mittelstufe trocknen und abschließen	reader-nahe CPH/CKH-Kompositumform + CH_DRY + E_MIDDLE + DY_FINISHED	Krautdroge bis zur Mittelstufe trocknen und abschließen	COMPOSITE_DRY_FINISH
checthey	Krautdroge bis zur mittleren Trockenstufe bringen	CH_DRY + E_MIDDLE + CTH_HERB + E_MIDDLE + Y_CLOSE	getrocknete Krautdroge, Form I	CTH_MIDDLE_DRY
qolal	gib Rohstoff I hinzu	QOL_ADD + AL_RAW_I	gib einen Ansatz aus Rohstoff I hinzu	QOL_RAW_ADD
solkeey	Saatgutansatz vollständig erhitzen	SOL_SEED_PREP + K_HOT + EE_END + Y_CLOSE	vollständig erhitzter Saatgutansatz	SOL_HOT_END
dsheedal	vollständig eingeweichten Rohstoff I abmessen und abschließen	D_MEASURE + SH_MOIST + EE_END + D_TERM_CLOSE + AL_RAW_I	abgemessener vollständig eingeweichter Rohstoff I	MOIST_RAW_MEASURE_CLOSE
lchor	holziges Pflanzenteil	L_WOOD + CHOR_PLANT_PART	Rindendroge	WOOD_PLANT_PART
ldchey	Holzdroge abmessen und bis zur Mittelstufe trocknen	L_WOOD + D_MEASURE + CH_DRY + E_MIDDLE + Y_CLOSE	abgemessene, mittelstufig getrocknete Holzdroge	WOOD_MEASURE_DRY
cheolkaiin	erhitze den getrockneten Drogenstoff auf Stufe III	CH_DRY + E_MIDDLE + OL_MATERIAL + K_HOT + AIIN_III	getrockneter Drogenstoff, Heizstufe III	DRY_MATERIAL_HOT_STAGE
dalky	Rohstoff I abmessen und leicht erhitzen	D_MEASURE + AL_RAW_I + K_HOT + Y_CLOSE	abgemessener, leicht erhitzter Rohstoff I	RAW_MEASURE_HOT
ykedy	erhitze hiervon bis zur Mittelstufe und schließe ab	Y_REFERENCE + K_HOT + E_MIDDLE + DY_FINISHED	hierzu erhitzte Droge auf Mittelstufe	Y_HOT_MIDDLE_COMMAND
qoke	erhitze bis zur Mittelstufe	QO_COMMAND + K_HOT + E_MIDDLE	heiß auf Mittelstufe	Q_HOT_MIDDLE_COMMAND
qolkeshdy	gib erhitzten Drogenstoff hinzu, weiche ihn bis zur Mittelstufe ein und schließe ab	QOL_ADD + K_HOT + E_MIDDLE + SH_MOIST + DY_FINISHED	gib fertig eingeweichtes erhitztes Material hinzu	QOL_HOT_MOIST_FINISH
otaldy	Kaltansatz aus Rohstoff I fertigstellen	O_PREP + T_COLD + AL_RAW_I + DY_FINISHED	fertiger Kaltansatz	COLD_RAW_PREP_FINISH
oltal	kalt angesetzter Holzdrogen-Rohstoff I	OL_WOOD_MATERIAL + T_COLD + AL_RAW_I	kalter Rohstoff I im Ansatz	WOOD_COLD_RAW
eey	anschließend bis zur Endstufe	E_MIDDLE + E_END + Y_CLOSE	anschließend vollständig	END_STAGE_LINK
scthey	Saatgut-Kraut-Mischung, Form I	S_SEED + CTH_HERB + E_FORM + Y_CLOSE	Saatgut mit Krautdroge bis zur Mittelstufe trocknen	SEED_HERB_MIX
chckhes	Charge getrocknetes Arzneikompositum auf Mittelstufe	CH_DRY + CKH_COMPOSITE + E_MIDDLE + S_TERM_SPECIES	getrocknete Arzneikompositum-Species	COMPOSITE_DRY_CHARGE
okaio	heißer Ansatz auf Stufe II	reader-nahe Variante von O_PREP + K_HOT + AIN_II	heiße Drogenfraktion II im Ansatz	READER_VARIANT_OKAIN
cheokain	erhitze den Trockenansatz auf Stufe II	CH_DRY + E_MIDDLE + O_PREP + K_HOT + AIN_II	Trockenansatz, Heizstufe II	DRY_PREP_HOT_STAGE
oroiiin	eine Portion Ansatz in Zubereitungsform IV	OR_PORTION + O_PREP + IIIN_FORM_IV	eine Drogenportion, Form IV	PORTION_PREP_FORM
yefaiin	nimm hiervon drei Teile Blütendroge	Y_REFERENCE + E_LINK + F_FLOWER + AIIN_III	davon Blütendroge auf Stufe III	Y_FLOWER_QUANTITY_COMMAND
ycheckhey	nimm hiervon das bis zur Mittelstufe getrocknete Arzneikompositum	Y_REFERENCE + CH_DRY + E_MIDDLE + CKH_COMPOSITE + E_MIDDLE + Y_CLOSE	dieses getrocknete Arzneikompositum auf Mittelstufe	Y_COMPOSITE_DRY_COMMAND
dshoy	eine Dosis Feuchtansatz abmessen	D_MEASURE + SHO_MOIST_PREP + Y_CLOSE	eine Dosis leicht angefeuchtete Droge	MOIST_PREP_DOSE
cthd	Krautdrogenposten abschließen	CTH_HERB + D_TERM_CLOSE	Krautansatz abziehen	CTH_CLOSE
dainol	zwei Maße Drogenstoff abmessen	D_MEASURE + AIN_II + OL_MATERIAL	Drogenstoff in Zubereitungsform II	MATERIAL_MEASURE_II
okalol	Grundansatz aus heißem Rohstoff I	O_PREP + K_HOT + AL_RAW_I + LEARNED_OL_BASE	heißer Rohstoff-I-Drogenstoff	HOT_RAW_BASE
cheykain	bis zur Mittelstufe trocknen, dann auf Heizstufe II bringen	gelernte Prozessfolge CHEY→KAIN; internes y nicht produktiv exportiert	trocken-heiße Droge auf Stufe II	DRY_THEN_HOT_PROCESS
okalchy	Rohstoff-I-Ansatz leicht erhitzen und antrocknen	O_PREP + K_HOT + AL_RAW_I + CH_DRY + Y_CLOSE	heiß-trockener Rohstoff-I-Ansatz	HOT_RAW_DRY_PROCESS
qolky	gib leicht erhitzten Drogenstoff hinzu	QOL_ADD + K_HOT + Y_CLOSE	gib heißen Drogenstoff hinzu	QOL_HOT_ADD
ldol	Holzdrogenstoff abmessen	L_WOOD + D_MEASURE + OL_MATERIAL	eine Dosis Holzdrogenstoff	WOOD_MATERIAL_MEASURE
qopchedy	nimm das vollständig getrocknete Pulverpräparat	QO_COMMAND + P_POWDER + CH_DRY + E_MIDDLE + DY_FINISHED	nimm fertig getrocknetes Pulver	Q_POWDER_DRY_FINISH
dsholyd	eine Dosis eingeweichten Drogenstoffs abteilen und abschließen	gelernte Ganzform D_MEASURE+SHOL_MOIST_MATERIAL+D_TERM_CLOSE; internes y nicht exportiert	abgeschlossene Dosis Feuchtgut	MOIST_MATERIAL_MEASURE_CLOSE
qokeoy	bereite einen heißen Auszug und schließe ihn ab	QO_COMMAND + K_HOT + E_MIDDLE + O_PREP + Y_CLOSE	erhitze einen Ansatz bis zur Mittelstufe	Q_HOT_EXTRACT_COMMAND
dytar	danach die erste kalte Drogenfraktion abteilen	DY_SEQUENCE + T_COLD + AR_FRACTION_I	danach die erste gekühlte Fraktion	SEQUENCE_COLD_FRACTION
qolchedy	gib die bis zur Mittelstufe getrocknete Droge hinzu und schließe die Zugabe ab	QOL_ADD + CH_DRY + E_MIDDLE + DY_FINISHED	gib fertig getrocknetes Drogenmaterial hinzu	QOL_DRY_FINISH_ADD
qotee	kühle bis zur Endstufe	QO_COMMAND + T_COLD + EE_END	kalter Ansatz auf Endstufe	Q_COLD_END_COMMAND
yteeedy	kühle hiervon bis zur letzten Stufe und schließe ab	Y_REFERENCE + T_COLD + EEE_LONG_OR_FINAL + DY_FINISHED	kühle hiervon vollständig ab und schließe	Y_COLD_FINAL_COMMAND
yteeo	setze hiervon einen zweiten Kaltansatz an	Y_REFERENCE + T_COLD + EE_END + O_SECOND_PREP	kühle hiervon bis zur Endstufe	Y_SECOND_COLD_PREP
daiinls	Charge aus drei Maßen Holzdroge	D_MEASURE + AIIN_III + L_WOOD + S_TERM_SPECIES	drei Maße Holzstoff	WOOD_MEASURE_CHARGE
acthy	ein gleicher Teil Krautdroge, Grundform	A_PART_OR_LINK + CTH_HERB + Y_CLOSE	Krautansatz, Grundform	EQUAL_HERB_PART
chokar	erste erhitzte Trockenansatz-Fraktion	CHO_DRY_PREP + K_HOT + AR_FRACTION_I	erste heiße Trockenfraktion	HOT_DRY_PREP_FRACTION
chcfhy	leicht getrocknete Blütenfraktion	CH_DRY + CFH_FLOWER + Y_CLOSE	getrocknetes Arzneikompositum, Grundstufe	DRY_FLOWER_FRACTION
qoeear	nimm die erste Fraktion der Endstufe	QO_COMMAND + EE_END + AR_FRACTION_I	nimm die vollständig erhitzte erste Fraktion	Q_END_FRACTION_COMMAND
qoteeos	nimm eine Charge des bis zur letzten Stufe gekühlten Ansatzes	QO_COMMAND + T_COLD + EEE_LONG_OR_FINAL + O_PREP + S_TERM_SPECIES	kalte Ansatzcharge auf Endstufe	Q_COLD_FINAL_CHARGE
chotain	Trockenansatz auf Kühlstufe II	CHO_DRY_PREP + T_COLD + AIN_II	kalt-trockene Droge, Stufe II	DRY_PREP_COLD_STAGE
darala	gleiche Menge der ersten Rohdrogenfraktion abmessen	D_MEASURE + AR_FRACTION_I + AL_RAW_I + A_PART_OR_LINK	abgemessene erste Rohdrogenfraktion	RAW_FRACTION_EQUAL_MEASURE
shodaiin	drei Dosen Feuchtansatz	SHO_MOIST_PREP + D_MEASURE + AIIN_III	drei Dosen eingeweichter Ansatz	MOIST_PREP_DOSE_III
odor	eine Portion Ansatz abmessen	O_PREP + D_MEASURE + OR_PORTION	abgemessene Ansatzportion	PREP_PORTION_MEASURE
cholky	leicht erhitztes Trockengut	CHOL_DRY_MATERIAL + K_HOT + Y_CLOSE	Trockengut leicht erhitzen	DRY_MATERIAL_HOT
ykoldy	stelle hiervon den heißen Drogenstoff fertig	Y_REFERENCE + K_HOT + OL_MATERIAL + DY_FINISHED	nimm hiervon den fertigen heißen Drogenstoff	Y_HOT_MATERIAL_FINISH
qokeol	erhitze den Drogenstoff bis zur Mittelstufe	QO_COMMAND + K_HOT + E_MIDDLE + OL_MATERIAL	bereite einen heißen Auszug	Q_HOT_MATERIAL_COMMAND
kyty	leicht erhitzen und danach leicht abkühlen	gelernte Prozessfolge K_HOT→T_COLD; internes y nicht produktiv exportiert	heiß-kalt behandelte Droge, Grundstufe	HOT_THEN_COLD_PROCESS
daim	zweite Dosis abmessen	D_MEASURE + AI_VALUE_II + M_MEASURE_LINK	ein Maß abmessen	MEASURE_II
