rank	locus	zl3b_line	manual_workshop_translation_de	notes
11	f27r.4	qokey chor char chy dchy keey chos cthody	Erhitze den Pflanzenteil bis zur Mittelstufe; erste Trockenfraktion, leicht getrocknet. Eine Dosis Trockendroge in Grundform bis zur Endstufe erhitzen; Trockenansatz-Charge mit fertigem Krautansatz.	cthody nominal als fertiger Krautansatz; keine Abgießhandlung angenommen.
12	f29r.4	chocthy qoos chos	Getrocknete Krautzubereitung — zu nehmen: eine Ansatzcharge, nämlich eine Trockenansatz-Charge.	Kurzer Herbal-Labelblock; qoos trägt q-Befehl und terminalen Chargenmarker.
13	f39r.5	dchdy chdy ykaiin	Stelle eine Dosis Trockendroge fertig; schließe die erste Trockenstufe ab und erhitze hiervon auf Stufe III.	dchdy als Dosis plus Trocknen plus Fertigstellung; alle drei Token als ausführbare Folge.
14	f3r.4	schey chor chal chag cham cho	Trocken gebundenes Saatgut, Pflanzenteil und angetrockneter Rohstoff I; ein Gran Trockendroge, ein Maß Trockendroge, als Trockenansatz.	Nominale Herbal-Spezifikation; chag als gelernte exakte Gran-Karte, nicht als produktiver freier g-Stamm.
15	f3r.5	qokol chololy s cham cthol	Erhitze und seihe das Trockengut ab; Saatgutposten: ein Maß Trockendroge und Blatt-/Krautdroge.	chololy nutzt die bereits lizenzierte oly-Seihhandlung; kein Wasser und kein Flussresultat ergänzt.
16	f45r.2	shor cthy qoky qokol qokaiin chol chol ykaiin dar om	Blüten-/Fruchtstand und Krautdroge leicht erhitzen, dann weiter bis Stufe III erhitzen. Beide Posten Trockengut hiervon auf Stufe III erhitzen; eine abgemessene erste Fraktion und eine Handvoll Ansatz.	om als gelernte Handvoll Ansatz; die doppelte chol-Setzung bleibt als zwei Trockengutposten sichtbar.
17	f48v.5	lkeey qocthedy taiin shed qokar otedy dy dain tolkain otam	Erhitze die Holzdroge bis zur Endstufe. Nimm die Krautdroge, trockne sie bis zur Mittelstufe und schließe ab; kühle auf Stufe III und schließe das Einweichen auf Mittelstufe ab. Nimm die erste heiße Fraktion, kühle den Ansatz bis zur Mittelstufe und schließe ihn ab. Stufe II: erwärme das gekühlte Material wieder auf Stufe II; miss ein Maß Kaltansatz ab.	qocthedy als vollständiger Kraut-Trockenbefehl; nur otam liefert das eine Maß.
18	f51v.11	ycheoky sheey ykeey chey	Nimm hierzu den Trockenansatz und erhitze ihn leicht; weiche ihn vollständig ein, erhitze ihn anschließend bis zur Endstufe und schließe ab; trockne bis zur Mittelstufe.	ycheoky als y-Bezug plus Trockenansatz plus leichte Erhitzung; kompakte ausführbare Folge.
19	f54v.9	ydaiin qockhey qodal ytam okal dy	Davon drei Maße; bereite das Arzneikompositum bis zur Mittelstufe. Miss Rohstoff I im Ansatz ab; nimm hiervon ein Maß, kühle es, erhitze den Rohstoff-I-Ansatz leicht und schließe ab.	qockhey verlängert die bekannte qockhy-Kompositumhandlung bis zur Mittelstufe; Mengen nur aus ydaiin und ytam.
20	f55v.6	ykaiin daiin ykair cheky daiiny	Erhitze hiervon auf Stufe III. Vom Stufenwert III nimm die zweite erhitzte Fraktion, trockne sie bis zur Mittelstufe und erhitze sie leicht; teile drei Maße ab und schließe.	daiiny als drei Maße plus Abteilung/Abschluss; keine weitere Portion ergänzt.
21	f6v.13	yodaiin cthy s chor oees or	Nimm hiervon drei Dosen Ansatz aus Krautdroge, Saatgut und Pflanzenteil; Endstufen-Charge, eine Portion.	yodaiin liefert die drei Dosen; or liefert die abschließende Portion.
22	f77r.13	qokeedy qol sheedy shol tedy chedy lsheedy qokedy qolal chedy	Bringe den Ansatz bis zur Heizendstufe. Gib vollständig eingeweichtes Feuchtgut hinzu; kühle und trockne jeweils bis zur Mittelstufe und schließe ab. Weiche die Holzdroge vollständig ein und schließe, erhitze bis zur Mittelstufe und schließe; gib Rohstoff I hinzu, trockne bis zur Mittelstufe und schließe.	qolal konkret als Zugabe von Rohstoff I; alle Prozessabschlüsse bleiben erhalten.
23	f77r.35	solkeey okaiin chedy qokain sheedy qokaiin chedaiin chealy	Erhitze den Saatgutansatz vollständig und bringe ihn auf Heizstufe III; trockne bis zur Mittelstufe und schließe. Erhitze auf Stufe II, weiche vollständig ein und schließe, dann erhitze auf Stufe III; dazu abgemessene Trockendroge, Dosis III, und Rohstoff I bis zur Mittelstufe trocknen.	solkeey als vollständig erhitzter Saatgutansatz ohne behaupteten Abschluss; chedaiin bleibt Dosis III statt frei erfundener Menge.
24	f78r.8	dshedy qokedy okar qokedy shedy ykedy shedy qoky	Weiche eine Dosis Droge bis zur Mittelstufe ein und schließe ab; erhitze bis zur Mittelstufe und schließe. Erste heiße Ansatzfraktion: bis zur Mittelstufe erhitzen und abschließen, bis zur Mittelstufe einweichen und abschließen; hiervon erneut bis zur Mittelstufe erhitzen und abschließen, wieder einweichen und zum Schluss leicht erhitzen.	ykedy als y-referenziertes Erhitzen bis Mittelstufe mit Abschluss; okar bleibt nominaler Fraktionskopf.
25	f78v.10	dshedy qokedy or shedy pchedy qoke dy okedy opchedy	Weiche eine Dosis Droge bis zur Mittelstufe ein und schließe, dann erhitze bis zur Mittelstufe und schließe. Weiche eine Portion getrocknetes Pulver bis zur Mittelstufe ein; erhitze bis zur Mittelstufe, schließe ab und bringe den Ansatz auf die abgeschlossene Heizmittelstufe; vollständig getrocknetes Pulverpräparat.	qoke ist der Heizbefehl bis Mittelstufe und das folgende dy liefert den separaten Abschluss.
26	f78v.14	qolkeshdy qol shedy olkedy okol chedy qokain dal	Gib erhitzten Drogenstoff hinzu, weiche ihn bis zur Mittelstufe ein und schließe ab. Gib den bis zur Mittelstufe eingeweichten und abgeschlossenen Posten hinzu: fertig erhitzte Drogenbasis und heißer Ansatzstoff; bis zur Mittelstufe trocknen und schließen, auf Stufe II erhitzen; abgemessener Rohstoff I.	qolkeshdy als kombinierte Zugabe-, Heiz- und Einweichhandlung; keine implizite Menge.
27	f79v.15	yteedy qokeedy qokain olkeey cheokain dy teey qokain	Kühle vollständig ab und schließe, erhitze anschließend bis zur Endstufe und schließe; bringe auf Heizstufe II. Erhitze den Holzdrogenansatz vollständig, erhitze den Trockenansatz auf Stufe II und schließe; kühle bis zur Endstufe und erwärme wieder auf Stufe II.	cheokain als Trockenansatz auf Heizstufe II; dy schließt genau diesen Arbeitsschritt.
28	f80r.31	qokal checthy sol chey okalol okaly qokeedy oly	Setze Rohstoff I leicht heiß an; trockne Krautdroge und Saatgut bis zur Mittelstufe und bereite den Grundansatz aus heißem Rohstoff I. Erhitze den Rohstoff-I-Ansatz leicht und schließe, erhitze bis zur Endstufe und schließe, dann abseihen.	okalol nominal als Grundansatz aus heißem Rohstoff I; die einzige Seihhandlung stammt aus oly.
29	f81r.20	qopchedy qol chedy qokeey odaiin rain daly	Nimm das bis zur Mittelstufe getrocknete und fertiggestellte Pulverpräparat. Gib es hinzu, trockne bis zur Mittelstufe und schließe; erhitze bis zur Endstufe. Dazu Zubereitungsdosis III, Wurzeldroge Charge II und abgemessener Rohstoff I in Grundform.	qopchedy als konkreter Pulverbefehl; Dosis und Charge bleiben die sichtbaren Kartenwerte.
30	f96r.5	daiin chodaiin cthey tol sheor qokeol okol	Stufe III: Trockenansatz, Dosis III, mit Krautdroge Form I und kaltem Material. Erhitze den feuchten Drogenteil als Drogenstoff bis zur Mittelstufe; heißer Ansatzstoff.	qokeol als Erhitzen des Drogenstoffs bis Mittelstufe, nicht als Wasserauszug oder Fließhandlung.
