root	old_value_de	pass1018_value_de	register	occurrence_count	representative_page	representative_statement_id	representative_surface	representative_recipe	visible_owner_or_namespace_de	pass1018_local_expansion_de	representative_statement_translation_de	decision
S	WÄHLEN	WÄHLEN	CELESTIAL	44	f67r2	P1009-S038	chos	CH+O+S	zwei getrennte Himmelsräder und Tabelle	WÄHLEN mit dem sichtbaren Besitzer	Im Himmels-Namensraum „zwei getrennte Himmelsräder und Tabelle“: danach; am Ansatz; den Eintrag nach Maß fortsetzen, wählen, nehmen, einstellen, umsetzen, einsetzen, geben und halten; in Grad I; auf der bezeichneten Arbeitsstufe; mit der lokalen Kennung; schließen.	KEEP_PORTABLE_CORE
S	WÄHLEN	WÄHLEN	PHARMA	46	f88r	P1009-S590	s	S	sechzehn Drogenposten und drei Gefäßansätze	WÄHLEN mit dem sichtbaren Besitzer	Bei der Posten- oder Gefäßgruppe „sechzehn Drogenposten und drei Gefäßansätze“: danach; am Ansatz; eine Portion nach Maß halten, nehmen, einstellen, fortsetzen, geben, markieren, setzen und wählen; vom bezeichneten Ausgang, über die bezeichnete Verbindung und zum bezeichneten Ort; in Grad I/II/III; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
CHD	UMSETZEN	UMSETZEN	HERBAL	8	f55v	P1009-S024	chedy	CHD+Y	große aromatische Doldenpflanze	UMSETZEN mit dem sichtbaren Besitzer	Beim Bildbesitzer „große aromatische Doldenpflanze“: eine Portion nach Maß setzen, geben, wählen, fortsetzen, umsetzen und nehmen; vom bezeichneten Ausgang und zum bezeichneten Ort; in Grad I/II/III; mit der lokalen Kennung; schließen.	KEEP_PORTABLE_CORE
CHD	UMSETZEN	UMSETZEN	BIOLOGICAL	235	f75r	P1009-S072	chedy	CHD+Y	großes Bad-/Stationsblatt mit dreieckiger Insel	UMSETZEN mit dem sichtbaren Besitzer	In der lokalen Szene „großes Bad-/Stationsblatt mit dreieckiger Insel“: danach; den Posten geben, umsetzen, setzen und halten; vom bezeichneten Ausgang; in Grad I/II; schließen.	KEEP_PORTABLE_CORE
CHD	UMSETZEN	UMSETZEN	CELESTIAL	7	f67r2	P1009-S038	chedaiin	CHD+AIIN	zwei getrennte Himmelsräder und Tabelle	UMSETZEN mit dem sichtbaren Besitzer	Im Himmels-Namensraum „zwei getrennte Himmelsräder und Tabelle“: danach; am Ansatz; den Eintrag nach Maß fortsetzen, wählen, nehmen, einstellen, umsetzen, einsetzen, geben und halten; in Grad I; auf der bezeichneten Arbeitsstufe; mit der lokalen Kennung; schließen.	KEEP_PORTABLE_CORE
CHD	UMSETZEN	UMSETZEN	PHARMA	6	f89r	P1009-S614	cheodain	CHD+AIN	Gefäß-/Pflanzenteilgruppe C	UMSETZEN mit dem sichtbaren Besitzer	Bei der Posten- oder Gefäßgruppe „Gefäß-/Pflanzenteilgruppe C“: danach; eine Portion nach Maß halten, fortsetzen, geben, nehmen, wählen, setzen, einstellen, umsetzen und markieren; vom bezeichneten Ausgang, im bezeichneten Lauf und zum bezeichneten Ort; in Grad I/II; auf der bezeichneten Arbeitsstufe; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
OR	ANSATZ	EINHEIT	HERBAL	79	f10r	P1009-S002	chor	CH+OR	zweiknolliges blauköpfiges Heilkraut	Ansatz oder Artikelblock	Danach weitere sichtbare Teile wählen, portionsweise nach Maß in den Ansatz setzen, halten und fortsetzen; der Arbeitsgang bleibt offen.	REVISE_PORTABLE_CORE
OR	ANSATZ	EINHEIT	BIOLOGICAL	69	f75r	P1009-S075	or	OR	großes Bad-/Stationsblatt mit dreieckiger Insel	Stations- oder Arbeitsblock	An der oberen Stationsgruppe eine Portion nach Maß setzen, im zweiten Grad halten, lokal weitergeben und schließen.	REVISE_PORTABLE_CORE
OR	ANSATZ	EINHEIT	CELESTIAL	30	f72r	P1009-S054	chokshor	OK+OR	Tierkreis-Ringgruppe B	Eintragsgruppe	Im Himmels-Namensraum „Tierkreis-Ringgruppe B“: danach; am Ansatz; den Eintrag nach Maß einstellen, halten, setzen, fortsetzen und nehmen; vom bezeichneten Ausgang und zum bezeichneten Ort; in Grad I/II; mit der lokalen Kennung; schließen.	REVISE_PORTABLE_CORE
OR	ANSATZ	EINHEIT	PHARMA	47	f88r	P1009-S592	chor	CH+OR	sechzehn Drogenposten und drei Gefäßansätze	Ansatz oder Charge	Bei der Posten- oder Gefäßgruppe „sechzehn Drogenposten und drei Gefäßansätze“: danach; am Ansatz; den Posten nach Maß wählen, nehmen, setzen, fortsetzen, geben, halten und markieren; über die bezeichnete Verbindung und zum bezeichneten Ort; in Grad I/II; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	REVISE_PORTABLE_CORE
L	VERBINDUNG	VERBINDUNG	HERBAL	3	f11r	P1009-S004	chodl	CH+O+D_ADDR+L	blühender dreikroniger Sodenstock	VERBINDUNG mit dem sichtbaren Besitzer	Einen weiteren sichtbaren Teil nach Maß nehmen, dem Ansatz geben, halten und im Folgegang fortsetzen; der Arbeitsgang bleibt offen.	KEEP_PORTABLE_CORE
L	VERBINDUNG	VERBINDUNG	BIOLOGICAL	198	f75r	P1009-S087	lchedy	L+CHD+DY	großes Bad-/Stationsblatt mit dreieckiger Insel	VERBINDUNG mit dem sichtbaren Besitzer	In der lokalen Szene „großes Bad-/Stationsblatt mit dreieckiger Insel“: den Posten umsetzen; über die bezeichnete Verbindung; schließen.	KEEP_PORTABLE_CORE
L	VERBINDUNG	VERBINDUNG	CELESTIAL	10	f71v	P1009-S046	cheol	CH+E+O+L	erste lokale Figuren-/Sternringgruppe	VERBINDUNG mit dem sichtbaren Besitzer	Im Himmels-Namensraum „erste lokale Figuren-/Sternringgruppe“: danach; am Ansatz; den Eintrag nach Maß nehmen, setzen, einsetzen, halten, einstellen, geben, fortsetzen und wählen; vom bezeichneten Ausgang, über die bezeichnete Verbindung und zum bezeichneten Ort; in Grad I/II/III; auf der bezeichneten Arbeitsstufe; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
L	VERBINDUNG	VERBINDUNG	PHARMA	27	f88r	P1009-S590	cheol	CH+E+O+L	sechzehn Drogenposten und drei Gefäßansätze	VERBINDUNG mit dem sichtbaren Besitzer	Bei der Posten- oder Gefäßgruppe „sechzehn Drogenposten und drei Gefäßansätze“: danach; am Ansatz; eine Portion nach Maß halten, nehmen, einstellen, fortsetzen, geben, markieren, setzen und wählen; vom bezeichneten Ausgang, über die bezeichnete Verbindung und zum bezeichneten Ort; in Grad I/II/III; mit der lokalen Kennung; bis zur sichtbaren Grenze führen.	KEEP_PORTABLE_CORE
T	EINSTELLEN	EINSTELLEN	HERBAL	74	f10r	P1009-S001	chty	CH+T+Y	zweiknolliges blauköpfiges Heilkraut	EINSTELLEN mit dem sichtbaren Besitzer	Vom gezeigten Wurzelstock den bezeichneten Posten nehmen, nach Maß setzen, halten und weitergeben; den Arbeitsgang schließen.	KEEP_PORTABLE_CORE
T	EINSTELLEN	EINSTELLEN	BIOLOGICAL	96	f75r	P1009-S077	chcthy	CH+CH+T+Y	großes Bad-/Stationsblatt mit dreieckiger Insel	EINSTELLEN mit dem sichtbaren Besitzer	In der lokalen Szene „großes Bad-/Stationsblatt mit dreieckiger Insel“: am Ansatz; eine Portion setzen, einsetzen, geben, fortsetzen, nehmen und einstellen; vom bezeichneten Ausgang; in Grad I/II; mit der lokalen Kennung; schließen.	KEEP_PORTABLE_CORE
T	EINSTELLEN	EINSTELLEN	CELESTIAL	36	f71v	P1009-S045	teey	T+EE+Y	erste lokale Figuren-/Sternringgruppe	EINSTELLEN mit dem sichtbaren Besitzer	Im Himmels-Namensraum „erste lokale Figuren-/Sternringgruppe“: danach; den Eintrag nach Maß halten, einsetzen, einstellen, geben und nehmen; vom bezeichneten Ausgang und zum bezeichneten Ort; in Grad I/II; mit der lokalen Kennung; schließen.	KEEP_PORTABLE_CORE
T	EINSTELLEN	EINSTELLEN	PHARMA	20	f88v	P1009-S605	tol	T+OL	zweite Gefaess-/Zutatengruppe	EINSTELLEN mit dem sichtbaren Besitzer	Bei der Posten- oder Gefäßgruppe „zweite Gefaess-/Zutatengruppe“: danach; am Ansatz; eine Portion nach Maß umsetzen, setzen, markieren, einstellen, fortsetzen, geben und halten; vom bezeichneten Ausgang und über die bezeichnete Verbindung; in Grad I/II; auf der bezeichneten Arbeitsstufe; mit der lokalen Kennung; schließen.	KEEP_PORTABLE_CORE
AIN	PORTION	ANTEIL	HERBAL	14	f10r	P1009-S002	dain	AIN	zweiknolliges blauköpfiges Heilkraut	Pflanzen- oder Mengenanteil	Danach weitere sichtbare Teile wählen, portionsweise nach Maß in den Ansatz setzen, halten und fortsetzen; der Arbeitsgang bleibt offen.	REVISE_PORTABLE_CORE
AIN	PORTION	ANTEIL	BIOLOGICAL	146	f75r	P1009-S075	qokain	OK+AIN	großes Bad-/Stationsblatt mit dreieckiger Insel	Teilposten oder Füllanteil	An der oberen Stationsgruppe eine Portion nach Maß setzen, im zweiten Grad halten, lokal weitergeben und schließen.	REVISE_PORTABLE_CORE
