contact_id	subject_kind	subject_surface	occurrence_id	source_selector	physical_folio	locus	token_index	side	neighbor_surface	pair_sequence_stable_all_three	assigned_disjoint_channel	channel_axis_tags	channel_macro_tags	global652_mapped	global652_axis_tags	global652_macro_tags	semantic_credit	renderer_license	component_export_credit
G806-C00018	TARGET	qokeol	GDT800-O0030	f100v	f100v	f100v.15	9	R1	chotol	0	C3_GDT734_GLOBAL_RESIDUAL	COLD|DRY|MATERIAL|PREPARATION	CARRIER|QUALITY	1	COLD|DRY|MATERIAL|PREPARATION	CARRIER|QUALITY	0	0	0
G806-C00019	TARGET	qokeol	GDT800-O0035	f100v	f100v	f100v.17	3	L1	sholkcheol	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00020	TARGET	qokeol	GDT800-O0035	f100v	f100v	f100v.17	3	R1	okol	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00021	TARGET	ol	GDT800-O0038	f100v	f100v	f100v.18	3	L1	s	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00022	TARGET	ol	GDT800-O0038	f100v	f100v	f100v.18	3	R1	cheo	0	C2_GDT739_NARROW_PROJECTED	DRY|PREPARATION	CARRIER|QUALITY	1	DRY|PREPARATION	CARRIER|QUALITY	0	0	0
G806-C00023	TARGET	qokeol	GDT800-O0039	f100v	f100v	f100v.18	10	L1	chod	1	C3_GDT734_GLOBAL_RESIDUAL	DRY|PREPARATION	CARRIER|QUALITY	1	DRY|PREPARATION	CARRIER|QUALITY	0	0	0
G806-C00024	TARGET	qokeol	GDT800-O0039	f100v	f100v	f100v.18	10	R1	sal	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00025	TARGET	ol	GDT800-O0041	f100v	f100v	f100v.20	7	L1	cheor	1	C3_GDT734_GLOBAL_RESIDUAL	DRY|PART|MATERIAL	CARRIER|QUALITY	1	DRY|PART|MATERIAL	CARRIER|QUALITY	0	0	0
G806-C00026	TARGET	ol	GDT800-O0041	f100v	f100v	f100v.20	7	R1	chockhar	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00027	TARGET	ol	GDT800-O0042	f100v	f100v	f100v.21	3	L1	okor	1	C3_GDT734_GLOBAL_RESIDUAL	HOT|AMOUNT|MATERIAL|PREPARATION	CARRIER|QUALITY|SCALAR	1	HOT|AMOUNT|MATERIAL|PREPARATION	CARRIER|QUALITY|SCALAR	0	0	0
G806-C00028	TARGET	ol	GDT800-O0042	f100v	f100v	f100v.21	3	R1	choy	1	C3_GDT734_GLOBAL_RESIDUAL	DRY|PREPARATION	CARRIER|QUALITY	1	DRY|PREPARATION	CARRIER|QUALITY	0	0	0
G806-C00029	TARGET	qokeol	GDT800-O0048	f102r1	f102r	f102r1.13	6	L1	okshey	0	C3_GDT734_GLOBAL_RESIDUAL	HOT|MOIST|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	1	HOT|MOIST|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	0	0	0
G806-C00030	TARGET	qokeol	GDT800-O0048	f102r1	f102r	f102r1.13	6	R1	sheofoly	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00031	TARGET	qokol	GDT800-O0055	f102r1	f102r	f102r1.5	9	L1	ekey	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00032	TARGET	qokol	GDT800-O0055	f102r1	f102r	f102r1.5	9	R1	dain	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00033	TARGET	qokeol	GDT800-O0057	f102r1	f102r	f102r1.9	3	L1	orsheoldy	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00034	TARGET	qokeol	GDT800-O0057	f102r1	f102r	f102r1.9	3	R1	oteeody	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00035	TARGET	ol	GDT800-O0058	f102v1	f102v	f102v1.10	2	L1	kochor	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00036	TARGET	ol	GDT800-O0058	f102v1	f102v	f102v1.10	2	R1	ydaiin	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00037	TARGET	qokol	GDT800-O0061	f102v1	f102v	f102v1.11	4	L1	qooiin	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00038	TARGET	qokol	GDT800-O0061	f102v1	f102v	f102v1.11	4	R1	cheol	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00039	TARGET	cheol	GDT800-O0062	f102v1	f102v	f102v1.11	5	L1	qokol	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00040	TARGET	cheol	GDT800-O0062	f102v1	f102v	f102v1.11	5	R1	chey	1	C3_GDT734_GLOBAL_RESIDUAL	DRY|VALUE	QUALITY|SCALAR	1	DRY|VALUE	QUALITY|SCALAR	0	0	0
G806-C00041	TARGET	cheol	GDT800-O0063	f102v1	f102v	f102v1.12	2	L1	y	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00042	TARGET	cheol	GDT800-O0063	f102v1	f102v	f102v1.12	2	R1	cheol	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00043	TARGET	cheol	GDT800-O0064	f102v1	f102v	f102v1.12	3	L1	cheol	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00044	TARGET	cheol	GDT800-O0064	f102v1	f102v	f102v1.12	3	R1	doiir	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00045	TARGET	ol	GDT800-O0065	f102v1	f102v	f102v1.13	2	L1	toiin	1	C3_GDT734_GLOBAL_RESIDUAL	COLD|PREPARATION	CARRIER|QUALITY	1	COLD|PREPARATION	CARRIER|QUALITY	0	0	0
G806-C00046	TARGET	ol	GDT800-O0065	f102v1	f102v	f102v1.13	2	R1	daiin	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00047	TARGET	cheol	GDT800-O0066	f102v1	f102v	f102v1.13	5	L1	qkol	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00048	TARGET	cheol	GDT800-O0066	f102v1	f102v	f102v1.13	5	R1	daiin	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00049	TARGET	cheol	GDT800-O0072	f102v1	f102v	f102v1.22	4	L1	qokeos	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00050	TARGET	cheol	GDT800-O0072	f102v1	f102v	f102v1.22	4	R1	qool	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00051	TARGET	cheol	GDT800-O0073	f102v1	f102v	f102v1.24	4	L1	qoor	1	C3_GDT734_GLOBAL_RESIDUAL	AMOUNT|MATERIAL	CARRIER|SCALAR	1	AMOUNT|MATERIAL	CARRIER|SCALAR	0	0	0
G806-C00052	TARGET	cheol	GDT800-O0073	f102v1	f102v	f102v1.24	4	R1	NONE	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00053	TARGET	ol	GDT800-O0075	f102v1	f102v	f102v1.8	2	L1	dairn	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00054	TARGET	ol	GDT800-O0075	f102v1	f102v	f102v1.8	2	R1	chey	1	C3_GDT734_GLOBAL_RESIDUAL	DRY|VALUE	QUALITY|SCALAR	1	DRY|VALUE	QUALITY|SCALAR	0	0	0
G806-C00055	TARGET	qokeol	GDT800-O0076	f102v1	f102v	f102v1.9	3	L1	ckheey	1	C3_GDT734_GLOBAL_RESIDUAL	VALUE|PREPARATION	CARRIER|SCALAR	1	VALUE|PREPARATION	CARRIER|SCALAR	0	0	0
G806-C00056	TARGET	qokeol	GDT800-O0076	f102v1	f102v	f102v1.9	3	R1	sheky	1	C3_GDT734_GLOBAL_RESIDUAL	HOT|MOIST|VALUE|PROCESS	PROCESS|QUALITY|SCALAR	1	HOT|MOIST|VALUE|PROCESS	PROCESS|QUALITY|SCALAR	0	0	0
G806-C00057	TARGET	ol	GDT800-O0080	f102v2	f102v	f102v2.20	9	L1	dol	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00058	TARGET	ol	GDT800-O0080	f102v2	f102v	f102v2.20	9	R1	sheeoy	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00059	TARGET	cheol	GDT800-O0081	f102v2	f102v	f102v2.21	6	L1	okeeor	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00060	TARGET	cheol	GDT800-O0081	f102v2	f102v	f102v2.21	6	R1	os	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00061	TARGET	cheol	GDT800-O0082	f102v2	f102v	f102v2.22	4	L1	aiin	0	C3_GDT734_GLOBAL_RESIDUAL	AMOUNT	SCALAR	1	AMOUNT	SCALAR	0	0	0
G806-C00062	TARGET	cheol	GDT800-O0082	f102v2	f102v	f102v2.22	4	R1	s	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00063	TARGET	ol	GDT800-O0084	f102v2	f102v	f102v2.22	10	L1	qockhy	1	C3_GDT734_GLOBAL_RESIDUAL	VALUE|PREPARATION	CARRIER|SCALAR	1	VALUE|PREPARATION	CARRIER|SCALAR	0	0	0
G806-C00064	TARGET	ol	GDT800-O0084	f102v2	f102v	f102v2.22	10	R1	keo	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00065	TARGET	ol	GDT800-O0086	f102v2	f102v	f102v2.32	10	L1	cheeor	1	C3_GDT734_GLOBAL_RESIDUAL	DRY|AMOUNT|MATERIAL	CARRIER|QUALITY|SCALAR	1	DRY|AMOUNT|MATERIAL	CARRIER|QUALITY|SCALAR	0	0	0
G806-C00066	TARGET	ol	GDT800-O0086	f102v2	f102v	f102v2.32	10	R1	daiin	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00067	TARGET	qokeol	GDT800-O0091	f102v2	f102v	f102v2.35	9	L1	teody	0	C3_GDT734_GLOBAL_RESIDUAL	PREPARATION	CARRIER	1	PREPARATION	CARRIER	0	0	0
G806-C00068	TARGET	qokeol	GDT800-O0091	f102v2	f102v	f102v2.35	9	R1	daiin	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00069	TARGET	okal	GDT800-O0094	f103r	f103r	f103r.1	11	L1	dain	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00070	TARGET	okal	GDT800-O0094	f103r	f103r	f103r.1	11	R1	daldy	0	C3_GDT734_GLOBAL_RESIDUAL	AMOUNT|MATERIAL|CLOSE	CARRIER|PROCESS|SCALAR	1	AMOUNT|MATERIAL|CLOSE	CARRIER|PROCESS|SCALAR	0	0	0
G806-C00071	TARGET	ol	GDT800-O0095	f103r	f103r	f103r.10	2	L1	daiin	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00072	TARGET	ol	GDT800-O0095	f103r	f103r	f103r.10	2	R1	oain	0	C3_GDT734_GLOBAL_RESIDUAL	PART|PREPARATION	CARRIER	1	PART|PREPARATION	CARRIER	0	0	0
G806-C00073	TARGET	qokeol	GDT800-O0099	f103r	f103r	f103r.11	10	L1	otoy	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00074	TARGET	qokeol	GDT800-O0099	f103r	f103r	f103r.11	10	R1	key	1	C3_GDT734_GLOBAL_RESIDUAL	HOT|VALUE	QUALITY|SCALAR	1	HOT|VALUE	QUALITY|SCALAR	0	0	0
G806-C00075	TARGET	qokeol	GDT800-O0100	f103r	f103r	f103r.12	5	L1	oteey	1	C2_GDT739_NARROW_PROJECTED	COLD|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	1	COLD|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	0	0	0
G806-C00076	TARGET	qokeol	GDT800-O0100	f103r	f103r	f103r.12	5	R1	keedy	0	C3_GDT734_GLOBAL_RESIDUAL	HOT|VALUE|CLOSE	PROCESS|QUALITY|SCALAR	1	HOT|VALUE|CLOSE	PROCESS|QUALITY|SCALAR	0	0	0
G806-C00077	TARGET	qokeol	GDT800-O0105	f103r	f103r	f103r.18	2	L1	polchedy	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00078	TARGET	qokeol	GDT800-O0105	f103r	f103r	f103r.18	2	R1	okain	1	C3_GDT734_GLOBAL_RESIDUAL	HOT|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	1	HOT|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	0	0	0
G806-C00079	TARGET	otal	GDT800-O0109	f103r	f103r	f103r.21	4	L1	dalkar	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00080	TARGET	otal	GDT800-O0109	f103r	f103r	f103r.21	4	R1	qokal	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00081	TARGET	ol	GDT800-O0116	f103r	f103r	f103r.25	12	L1	oteey	1	C2_GDT739_NARROW_PROJECTED	COLD|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	1	COLD|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	0	0	0
G806-C00082	TARGET	ol	GDT800-O0116	f103r	f103r	f103r.25	12	R1	NONE	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00083	TARGET	ol	GDT800-O0117	f103r	f103r	f103r.28	9	L1	ain	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00084	TARGET	ol	GDT800-O0117	f103r	f103r	f103r.28	9	R1	cheey	1	C3_GDT734_GLOBAL_RESIDUAL	DRY|VALUE	QUALITY|SCALAR	1	DRY|VALUE	QUALITY|SCALAR	0	0	0
G806-C00085	TARGET	ol	GDT800-O0128	f103r	f103r	f103r.4	7	L1	chdar	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00086	TARGET	ol	GDT800-O0128	f103r	f103r	f103r.4	7	R1	loty	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00087	TARGET	cheol	GDT800-O0131	f103r	f103r	f103r.41	1	L1	NONE	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00088	TARGET	cheol	GDT800-O0131	f103r	f103r	f103r.41	1	R1	sheeey	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00089	TARGET	ol	GDT800-O0137	f103r	f103r	f103r.43	3	L1	cheal	1	C2_GDT739_NARROW_PROJECTED	DRY|VALUE|MATERIAL	CARRIER|QUALITY|SCALAR	1	DRY|VALUE|MATERIAL	CARRIER|QUALITY|SCALAR	0	0	0
G806-C00090	TARGET	ol	GDT800-O0137	f103r	f103r	f103r.43	3	R1	sheey	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00091	TARGET	cheol	GDT800-O0144	f103r	f103r	f103r.46	4	L1	qokeey	1	C2_GDT739_NARROW_PROJECTED	HOT|VALUE	QUALITY|SCALAR	1	HOT|VALUE	QUALITY|SCALAR	0	0	0
G806-C00092	TARGET	cheol	GDT800-O0144	f103r	f103r	f103r.46	4	R1	chorol	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00093	TARGET	ol	GDT800-O0145	f103r	f103r	f103r.46	9	L1	qokeey	1	C2_GDT739_NARROW_PROJECTED	HOT|VALUE	QUALITY|SCALAR	1	HOT|VALUE	QUALITY|SCALAR	0	0	0
G806-C00094	TARGET	ol	GDT800-O0145	f103r	f103r	f103r.46	9	R1	loiin	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00095	TARGET	ol	GDT800-O0147	f103r	f103r	f103r.49	5	L1	l	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00096	TARGET	ol	GDT800-O0147	f103r	f103r	f103r.49	5	R1	sheed	0	C3_GDT734_GLOBAL_RESIDUAL	MOIST|CLOSE	PROCESS|QUALITY	1	MOIST|CLOSE	PROCESS|QUALITY	0	0	0
G806-C00097	TARGET	ol	GDT800-O0151	f103r	f103r	f103r.7	8	L1	qoedy	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00098	TARGET	ol	GDT800-O0151	f103r	f103r	f103r.7	8	R1	shedy	0	C3_GDT734_GLOBAL_RESIDUAL	MOIST|VALUE	QUALITY|SCALAR	1	MOIST|VALUE	QUALITY|SCALAR	0	0	0
G806-C00099	TARGET	ol	GDT800-O0157	f103v	f103v	f103v.12	7	L1	l	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00100	TARGET	ol	GDT800-O0157	f103v	f103v	f103v.12	7	R1	shedy	0	C3_GDT734_GLOBAL_RESIDUAL	MOIST|VALUE	QUALITY|SCALAR	1	MOIST|VALUE	QUALITY|SCALAR	0	0	0
G806-C00101	TARGET	ol	GDT800-O0161	f103v	f103v	f103v.16	7	L1	otain	0	C3_GDT734_GLOBAL_RESIDUAL	COLD|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	1	COLD|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	0	0	0
G806-C00102	TARGET	ol	GDT800-O0161	f103v	f103v	f103v.16	7	R1	kedy	0	C3_GDT734_GLOBAL_RESIDUAL	HOT|VALUE|CLOSE	PROCESS|QUALITY|SCALAR	1	HOT|VALUE|CLOSE	PROCESS|QUALITY|SCALAR	0	0	0
G806-C00103	TARGET	ol	GDT800-O0163	f103v	f103v	f103v.17	8	L1	qokal	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00104	TARGET	ol	GDT800-O0163	f103v	f103v	f103v.17	8	R1	char	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00105	TARGET	otal	GDT800-O0164	f103v	f103v	f103v.17	10	L1	char	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00106	TARGET	otal	GDT800-O0164	f103v	f103v	f103v.17	10	R1	opchedy	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00107	TARGET	ol	GDT800-O0165	f103v	f103v	f103v.18	2	L1	yshear	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00108	TARGET	ol	GDT800-O0165	f103v	f103v	f103v.18	2	R1	oqaiin	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00109	TARGET	otal	GDT800-O0170	f103v	f103v	f103v.23	8	L1	oteey	1	C2_GDT739_NARROW_PROJECTED	COLD|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	1	COLD|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	0	0	0
G806-C00110	TARGET	otal	GDT800-O0170	f103v	f103v	f103v.23	8	R1	otear	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00111	TARGET	otal	GDT800-O0171	f103v	f103v	f103v.25	6	L1	qotain	1	C3_GDT734_GLOBAL_RESIDUAL	COLD|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	1	COLD|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	0	0	0
G806-C00112	TARGET	otal	GDT800-O0171	f103v	f103v	f103v.25	6	R1	oty	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00113	TARGET	ol	GDT800-O0178	f103v	f103v	f103v.34	3	L1	sheey	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00114	TARGET	ol	GDT800-O0178	f103v	f103v	f103v.34	3	R1	chey	1	C3_GDT734_GLOBAL_RESIDUAL	DRY|VALUE	QUALITY|SCALAR	1	DRY|VALUE	QUALITY|SCALAR	0	0	0
G806-C00115	TARGET	ol	GDT800-O0179	f103v	f103v	f103v.37	3	L1	qokain	1	C3_GDT734_GLOBAL_RESIDUAL	HOT|VALUE	QUALITY|SCALAR	1	HOT|VALUE	QUALITY|SCALAR	0	0	0
G806-C00116	TARGET	ol	GDT800-O0179	f103v	f103v	f103v.37	3	R1	shey	1	C3_GDT734_GLOBAL_RESIDUAL	MOIST|VALUE	QUALITY|SCALAR	1	MOIST|VALUE	QUALITY|SCALAR	0	0	0
G806-C00117	TARGET	ol	GDT800-O0180	f103v	f103v	f103v.38	4	L1	chees	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00118	TARGET	ol	GDT800-O0180	f103v	f103v	f103v.38	4	R1	chey	1	C3_GDT734_GLOBAL_RESIDUAL	DRY|VALUE	QUALITY|SCALAR	1	DRY|VALUE	QUALITY|SCALAR	0	0	0
G806-C00119	TARGET	ol	GDT800-O0183	f103v	f103v	f103v.4	6	L1	lkees	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00120	TARGET	ol	GDT800-O0183	f103v	f103v	f103v.4	6	R1	qoteedy	0	C2_GDT739_NARROW_PROJECTED	COLD|VALUE|CLOSE	PROCESS|QUALITY|SCALAR	1	COLD|VALUE|CLOSE	PROCESS|QUALITY|SCALAR	0	0	0
G806-C00121	TARGET	ol	GDT800-O0185	f103v	f103v	f103v.40	5	L1	qoain	1	C3_GDT734_GLOBAL_RESIDUAL	PART	CARRIER	1	PART	CARRIER	0	0	0
G806-C00122	TARGET	ol	GDT800-O0185	f103v	f103v	f103v.40	5	R1	keey	1	C3_GDT734_GLOBAL_RESIDUAL	HOT|VALUE	QUALITY|SCALAR	1	HOT|VALUE	QUALITY|SCALAR	0	0	0
G806-C00123	TARGET	ol	GDT800-O0188	f103v	f103v	f103v.45	2	L1	okey	1	C2_GDT739_NARROW_PROJECTED	HOT|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	1	HOT|VALUE|PREPARATION	CARRIER|QUALITY|SCALAR	0	0	0
G806-C00124	TARGET	ol	GDT800-O0188	f103v	f103v	f103v.45	2	R1	cheey	1	C3_GDT734_GLOBAL_RESIDUAL	DRY|VALUE	QUALITY|SCALAR	1	DRY|VALUE	QUALITY|SCALAR	0	0	0
G806-C00125	TARGET	cheol	GDT800-O0190	f103v	f103v	f103v.6	4	L1	qokeedy	1	C3_GDT734_GLOBAL_RESIDUAL	HOT|VALUE	QUALITY|SCALAR	1	HOT|VALUE	QUALITY|SCALAR	0	0	0
G806-C00126	TARGET	cheol	GDT800-O0190	f103v	f103v	f103v.6	4	R1	qoeeor	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00127	TARGET	ol	GDT800-O0193	f103v	f103v	f103v.7	11	L1	qokaiin	1	C3_GDT734_GLOBAL_RESIDUAL	HOT|VALUE	QUALITY|SCALAR	1	HOT|VALUE	QUALITY|SCALAR	0	0	0
G806-C00128	TARGET	ol	GDT800-O0193	f103v	f103v	f103v.7	11	R1	chedydy	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00129	TARGET	ol	GDT800-O0195	f103v	f103v	f103v.9	10	L1	qotar	1	C3_GDT734_GLOBAL_RESIDUAL	COLD|PART|MATERIAL	CARRIER|QUALITY	1	COLD|PART|MATERIAL	CARRIER|QUALITY	0	0	0
G806-C00130	TARGET	ol	GDT800-O0195	f103v	f103v	f103v.9	10	R1	lkar	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00131	TARGET	otal	GDT800-O0203	f104r	f104r	f104r.14	8	L1	olkeechey	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00132	TARGET	otal	GDT800-O0203	f104r	f104r	f104r.14	8	R1	ol	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00133	TARGET	ol	GDT800-O0204	f104r	f104r	f104r.14	9	L1	otal	1	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00134	TARGET	ol	GDT800-O0204	f104r	f104r	f104r.14	9	R1	oeeal	1	C3_GDT734_GLOBAL_RESIDUAL	VALUE|MATERIAL|PREPARATION	CARRIER|SCALAR	1	VALUE|MATERIAL|PREPARATION	CARRIER|SCALAR	0	0	0
G806-C00135	TARGET	okal	GDT800-O0205	f104r	f104r	f104r.15	6	L1	otolkeechdy	0	NONE	NONE	NONE	0	NONE	NONE	0	0	0
G806-C00136	TARGET	okal	GDT800-O0205	f104r	f104r	f104r.15	6	R1	kaiin	1	C2_GDT739_NARROW_PROJECTED	HOT|VALUE	QUALITY|SCALAR	1	HOT|VALUE	QUALITY|SCALAR	0	0	0
