audit_serial	event_serial	record_unit_id	page	locus	field_id	statement_id	joint_tuple_id	selection_stratum	surface_examples_archive_only	local_or_page_owner	owner_status	legacy_handle_revealed_after_source_freeze	legacy_support_class	exact_literal_layer_from_selected_edition	legacy_context_expansion	occurrence_consistency_class	occurrence_consistency_reason	exact_source_match_row_id	portable_atomic_reading_after_v77	occurrence_audit_action	strongest_contradiction_from_selected_edition	semantic_ceiling
11	23	H2	f10r	f10r.6	F003	H2-S001	b921a237be883a820352	TOP10_RECURRENT_NONCONTROL	chey|chy|dy|shy|sy|y	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	NONE	UNKNOWN_EXEMPLAR_WHOLE_CARD	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:ACTION_CONDITION]	Erwärme gelinde.	CONTRADICTORY	eighteen expansions include fraction, oil, heat, stirring, storage, use, honey, and deictic portion	NONE	EXEMPLAR_VALUE_UNKNOWN	CONTEXT_EXEMPLAR_ONLY;DO_NOT_EXPORT_THIS_SENTENCE_AS_CARD_MEANING	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Wärme.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
12	25	H2	f10r	f10r.8	F004	H2-S002	7a4bb8136330ee4e6e56	FROZEN_14_CONTROL	chor|or|shor|sor	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	ANSATZ?	EXACT_WORKING_MNEMONIC	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:7a4bb8136330ee4e6e56] > [CARD:ANSATZ?] > [CONTEXT_EXEMPLAR:LOCAL_LINK]	Führe den ersten Ansatz weiter.	BROAD_CONTEXTUAL	active-post/ansatz continuation recurs, but the object and operation are supplied locally	NONE	EXEMPLAR_VALUE_UNKNOWN	CONTEXT_EXEMPLAR_ONLY;DO_NOT_EXPORT_THIS_SENTENCE_AS_CARD_MEANING	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
13	27	H2	f10r	f10r.8	F004	H2-S002	dcda95c81a5460feb191	FROZEN_14_CONTROL	cheol|chol|ol|qol|sol|tol	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	STRICT_FORMAL_PROMPT_NO_WORD_VALUE	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:dcda95c81a5460feb191] > [FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > [CONTEXT_EXEMPLAR:LOCAL_LINK]	Verknüpfe diese Fraktion mit dem laufenden Arbeitsstand.	FORMAL_ONLY	active record-state linkage recurs; it supplies no word value	NONE	FORMAL_LABEL_NOT_WORD	FORMAL_USE_ONLY;DO_NOT_READ_AS_WORD	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
14	28	H2	f10r	f10r.8	F004	H2-S002	dec401773c1f0347793d	FROZEN_14_CONTROL	cholor|olor	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	VORIGES?	EXACT_WORKING_MNEMONIC	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:dec401773c1f0347793d] > [CARD:VORIGES?] > [CONTEXT_EXEMPLAR:LOCAL_LINK]	Nimm den vorherigen Posten hinzu.	HIGH_CONTEXTUAL_LOW_SUPPORT	two occurrences reuse a prior post; support is too small and unattested	NONE	EXEMPLAR_VALUE_UNKNOWN	CONTEXT_EXEMPLAR_ONLY;DO_NOT_EXPORT_THIS_SENTENCE_AS_CARD_MEANING	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind vorheriger Posten.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
15	29	H2	f10r	f10r.8	F004	H2-S002	dcda95c81a5460feb191	FROZEN_14_CONTROL	cheol|chol|ol|qol|sol|tol	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	AKTIVEN_ARBEITSSTAND_VERKNÜPFEN	STRICT_FORMAL_PROMPT_NO_WORD_VALUE	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:dcda95c81a5460feb191] > [FORMAL:AKTIVEN_ARBEITSSTAND_VERKNÜPFEN] > [CONTEXT_EXEMPLAR:LOCAL_LINK]	Führe beide als neuen aktiven Posten.	FORMAL_ONLY	active record-state linkage recurs; it supplies no word value	NONE	FORMAL_LABEL_NOT_WORD	FORMAL_USE_ONLY;DO_NOT_READ_AS_WORD	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Arbeitsansatz.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
16	30	H2	f10r	f10r.8	F004	H2-S002	2f1c5e56e8f0ff459065	FROZEN_14_CONTROL	aiin|chaiin|daiin|saiin|taiin	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	MASS? + SURFACE_DAIIN_ONLY:VORGABEPARAMETER?	EXACT_MNEMONIC_AND_STRICT_FORMAL_PROMPT	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:2f1c5e56e8f0ff459065] > [CARD:MASS?] > [FORMAL:VORGABEPARAMETER?] > [CONTEXT_EXEMPLAR:DOSE]	Gib von beiden das gleiche örtliche Maß.	HIGH_FORMAL_MIXED	measure/prescription expansion recurs; only the restricted formal channel survives, not MASS as a word	NONE	FORMAL_LABEL_NOT_WORD	FORMAL_USE_ONLY;DO_NOT_READ_AS_WORD	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
17	31	H2	f10r	f10r.8	F004	H2-S002	4d4559019a961b834aa1	TOP10_RECURRENT_NONCONTROL	char|dar|sar	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	NONE	UNKNOWN_EXEMPLAR_WHOLE_CARD	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:4d4559019a961b834aa1] > [CONTEXT_EXEMPLAR:ACTION]	Vereinige die beiden Fraktionen.	BROAD_CONTEXTUAL	same-post linkage recurs, but merging and deictic source readings vary	NONE	EXEMPLAR_VALUE_UNKNOWN	CONTEXT_EXEMPLAR_ONLY;DO_NOT_EXPORT_THIS_SENTENCE_AS_CARD_MEANING	Die Bildpflanze enthält passende Formen, doch keine Textlinie bindet dieses Ereignis sicher an Fraktionen.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
18	33	H2	f10r	f10r.9	F005	H2-S003	7a4bb8136330ee4e6e56	FROZEN_14_CONTROL	chor|or|shor|sor	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	ANSATZ?	EXACT_WORKING_MNEMONIC	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:7a4bb8136330ee4e6e56] > [CARD:ANSATZ?] > [CONTEXT_EXEMPLAR:PREPARATION]	Führe die Mischung als Salbenansatz.	BROAD_CONTEXTUAL	active-post/ansatz continuation recurs, but the object and operation are supplied locally	NONE	EXEMPLAR_VALUE_UNKNOWN	CONTEXT_EXEMPLAR_ONLY;DO_NOT_EXPORT_THIS_SENTENCE_AS_CARD_MEANING	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Salbenansatz.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
19	34	H2	f10r	f10r.9	F005	H2-S003	7a4bb8136330ee4e6e56	FROZEN_14_CONTROL	chor|or|shor|sor	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	ANSATZ?	EXACT_WORKING_MNEMONIC	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:7a4bb8136330ee4e6e56] > [CARD:ANSATZ?] > [CONTEXT_EXEMPLAR:PREPARATION]	Der wiederholte Ansatzvermerk bestätigt hier denselben Salbenposten.	BROAD_CONTEXTUAL	active-post/ansatz continuation recurs, but the object and operation are supplied locally	NONE	EXEMPLAR_VALUE_UNKNOWN	CONTEXT_EXEMPLAR_ONLY;DO_NOT_EXPORT_THIS_SENTENCE_AS_CARD_MEANING	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Salbenansatz.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
20	35	H2	f10r	f10r.9	F005	H2-S003	b921a237be883a820352	TOP10_RECURRENT_NONCONTROL	chey|chy|dy|shy|sy|y	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	NONE	UNKNOWN_EXEMPLAR_WHOLE_CARD	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:ACTION_CONDITION]	Rühre bei kleinem Feuer.	CONTRADICTORY	eighteen expansions include fraction, oil, heat, stirring, storage, use, honey, and deictic portion	NONE	EXEMPLAR_VALUE_UNKNOWN	CONTEXT_EXEMPLAR_ONLY;DO_NOT_EXPORT_THIS_SENTENCE_AS_CARD_MEANING	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Feuer.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
21	37	H2	f10r	f10r.9	F005	H2-S003	b921a237be883a820352	TOP10_RECURRENT_NONCONTROL	chey|chy|dy|shy|sy|y	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	PAGE_OWNER_ONLY	NONE	UNKNOWN_EXEMPLAR_WHOLE_CARD	[OWNER:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:STORAGE]	Bewahre sie bedeckt.	CONTRADICTORY	eighteen expansions include fraction, oil, heat, stirring, storage, use, honey, and deictic portion	NONE	EXEMPLAR_VALUE_UNKNOWN	CONTEXT_EXEMPLAR_ONLY;DO_NOT_EXPORT_THIS_SENTENCE_AS_CARD_MEANING	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Vorratsgefäß.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
22	44	H3	f11r	f11r.1	F006	H3-S001	b5df9126607030b95175	FROZEN_14_CONTROL	cheey|shey	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	KLAR?	EXACT_WORKING_MNEMONIC	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:b5df9126607030b95175] > [CARD:KLAR?] > [CONTEXT_EXEMPLAR:STATE]	Warte, bis der örtlich verlangte klare Zustand erreicht ist.	MIXED_CONTEXTUAL	Herbal clear-state and Bio generic test-state expansions do not yield one atomic value	NONE	EXEMPLAR_VALUE_UNKNOWN	CONTEXT_EXEMPLAR_ONLY;DO_NOT_EXPORT_THIS_SENTENCE_AS_CARD_MEANING	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Klarzustand.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
23	48	H3	f11r	f11r.4	F008	H3-S003	b921a237be883a820352	TOP10_RECURRENT_NONCONTROL	chey|chy|dy|shy|sy|y	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	NONE	UNKNOWN_EXEMPLAR_WHOLE_CARD	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:DOSE]	Nimm davon einen Anteil.	CONTRADICTORY	eighteen expansions include fraction, oil, heat, stirring, storage, use, honey, and deictic portion	NONE	EXEMPLAR_VALUE_UNKNOWN	CONTEXT_EXEMPLAR_ONLY;DO_NOT_EXPORT_THIS_SENTENCE_AS_CARD_MEANING	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Anteil.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
24	50	H3	f11r	f11r.4	F008	H3-S003	b921a237be883a820352	TOP10_RECURRENT_NONCONTROL	chey|chy|dy|shy|sy|y	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	NONE	UNKNOWN_EXEMPLAR_WHOLE_CARD	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:b921a237be883a820352] > [CONTEXT_EXEMPLAR:INDICATION]	Gebrauche ihn bei bedrücktem Gemüt und beschwerter Brust.	CONTRADICTORY	eighteen expansions include fraction, oil, heat, stirring, storage, use, honey, and deictic portion	NONE	EXEMPLAR_VALUE_UNKNOWN	CONTEXT_EXEMPLAR_ONLY;DO_NOT_EXPORT_THIS_SENTENCE_AS_CARD_MEANING	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gemütsbeschwerde, Brustbeschwerde.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
25	51	H3	f11r	f11r.4	F008	H3-S003	2f1c5e56e8f0ff459065	FROZEN_14_CONTROL	aiin|chaiin|daiin|saiin|taiin	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	MASS? + SURFACE_DAIIN_ONLY:VORGABEPARAMETER?	EXACT_MNEMONIC_AND_STRICT_FORMAL_PROMPT	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:2f1c5e56e8f0ff459065] > [CARD:MASS?] > [FORMAL:VORGABEPARAMETER?] > [CONTEXT_EXEMPLAR:DOSE]	Gib ein kleines örtliches Maß.	HIGH_FORMAL_MIXED	measure/prescription expansion recurs; only the restricted formal channel survives, not MASS as a word	NONE	FORMAL_LABEL_NOT_WORD	FORMAL_USE_ONLY;DO_NOT_READ_AS_WORD	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Dosis.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
26	54	H3	f11r	f11r.7	F009	H3-S004	e0b630cb1b5df5e7105b	FROZEN_14_CONTROL	checthy|cthy|shcthy	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	PAGE_OWNER_ONLY	BEREIT?	EXACT_WORKING_MNEMONIC	[OWNER:WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT] > [OPAQUE_CARD:e0b630cb1b5df5e7105b] > [CARD:BEREIT?] > [CONTEXT_EXEMPLAR:STATE]	Warte, bis der örtliche Bereitschaftszustand erreicht ist.	MIXED_CONTEXTUAL	flowering time, readiness, and generic test-state expansions are not one invariant atomic value	NONE	EXEMPLAR_VALUE_UNKNOWN	CONTEXT_EXEMPLAR_ONLY;DO_NOT_EXPORT_THIS_SENTENCE_AS_CARD_MEANING	Nicht abgebildet und keiner Karte als Wortwert zugewiesen sind Gebrauchsreife.	THIS_ROW_AUDITS_CONTEXTUAL_COHERENCE_ONLY;IT_DOES_NOT_ATTEST_A_WORD_OR_MEANING
