target_rank	selection_class	anonymous_exact_card_id	surface_examples_display_only	occurrences_audited	pages	records	sections	pre_audit_editorial_value	proposed_value_kind	preexisting_formal_prompt	formal_channel_final_status	event_templates_in_exposed_ledger	occurrence_invariance_result	occurrence_invariance_reason	historical_inventory_match	matched_inventory_entry_id	exact_source_language_entry	historical_key_identity	archive_shelfmark	date_or_dated_correspondence	edition_location	codebook_type	opaque_code_or_sign	citation_and_locator	attestation_confidence	final_decision	decision_reason	interpretation_ceiling
11	V69_REUSABLE_CONTROL	de7321bface5628e35d6	lchedy	8	f82r|f83r	B2|B3|B4	BIOLOGICAL	ABLASSEN?	EXPOSED_CREATIVE_WORKING_MNEMONIC	NONE	NONE	TERMINAL_DRAIN	TEMPLATE_STABLE_NOT_INDEPENDENT	TERMINAL_DRAIN repeats in Biological records only and remains closure-confounded.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
12	V69_REUSABLE_CONTROL	dec401773c1f0347793d	cholor|olor	2	f10r|f81v	B1|H2	BIOLOGICAL|HERBAL	VORIGES?	EXPOSED_CREATIVE_WORKING_MNEMONIC	NONE	NONE	SELECT_PREVIOUS	TEMPLATE_STABLE_NOT_INDEPENDENT	SELECT_PREVIOUS has two cross-section occurrences, both inherited from the exposed card reading.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
13	V69_REUSABLE_CONTROL	e0b630cb1b5df5e7105b	checthy|cthy|shcthy	7	f10r|f11r|f83r	B3|H1|H2|H3	BIOLOGICAL|HERBAL	BEREIT?	EXPOSED_CREATIVE_WORKING_MNEMONIC	NONE	NONE	STATE_GATE	CONTEXT_DRIFT	Flower opening, general readiness and generic Biological test states do not establish one lexical value.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
14	V69_REUSABLE_CONTROL	faf321940aed922846a9	otchey	2	f56r|f83r	B4|H5	BIOLOGICAL|HERBAL	ANTEIL?	EXPOSED_CREATIVE_WORKING_MNEMONIC	NONE	NONE	SELECT_PART	TEMPLATE_STABLE_NOT_INDEPENDENT	SELECT_PART has two cross-section occurrences, both inherited from the exposed card reading.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
15	TOP10_RECURRENT_NONCONTROL	b921a237be883a820352	chey|chy|dy|shy|sy|y	18	f10r|f11r|f55v|f81v|f82r|f83r	B1|B2|B3|B4|B6|H2|H3|H4	BIOLOGICAL|HERBAL	[EXEMPLAR_VALUE_UNKNOWN]	NO_PREEXISTING_WORD_GLOSS	NONE	NONE	EXEMPLAR_ONLY	NONINVARIANT_EXEMPLAR_CONTEXTS	Eighteen occurrences span collect, add, warm, stir, preserve, take, indication, application and deictic-owner expansions.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
16	TOP10_RECURRENT_NONCONTROL	bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	12	f81v|f82r|f83r	B1|B2|B3|B4	BIOLOGICAL	[EXEMPLAR_VALUE_UNKNOWN]	NO_PREEXISTING_WORD_GLOSS	NONE	NONE	EXEMPLAR_ONLY	RECURRENT_CONTEXT_PATTERN_NO_FROZEN_GLOSS	Twelve Biological contexts share a stand/readiness/closure expansion; no source-first word category was proposed or attested.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
17	TOP10_RECURRENT_NONCONTROL	6f7ff8287eddf4da9fdb	chdy|chedy	11	f55v|f81v|f83r	B1|B3|B4|B5|H4	BIOLOGICAL|HERBAL	[EXEMPLAR_VALUE_UNKNOWN]	NO_PREEXISTING_WORD_GLOSS	NONE	NONE	EXEMPLAR_ONLY	CONTEXT_DRIFT	Ten Biological mix expansions conflict with one Herbal wring-and-settle expansion.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
18	TOP10_RECURRENT_NONCONTROL	7d25241b0e56c836372a	qokeedy	10	f82r|f83r	B2|B3|B4	BIOLOGICAL	[EXEMPLAR_VALUE_UNKNOWN]	NO_PREEXISTING_WORD_GLOSS	NONE	NONE	EXEMPLAR_ONLY	BROAD_PATTERN_NO_FROZEN_GLOSS	The ten Biological terminal actions cover sitting in a bath, washing/bathing, and dipping a cloth.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
19	TOP10_RECURRENT_NONCONTROL	1645e612504fcef59ced	okain|qokain	7	f81v|f82r|f83r	B1|B2|B3|B4	BIOLOGICAL	[EXEMPLAR_VALUE_UNKNOWN]	NO_PREEXISTING_WORD_GLOSS	NONE	NONE	EXEMPLAR_ONLY	RECURRENT_CONTEXT_PATTERN_NO_FROZEN_GLOSS	Seven Biological contexts share insertion of a measured portion; no historical entry licenses a word.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
20	TOP10_RECURRENT_NONCONTROL	4d4559019a961b834aa1	char|dar|sar	5	f10r|f81v|f82r|f83r	B1|B2|B3|H1|H2	BIOLOGICAL|HERBAL	[EXEMPLAR_VALUE_UNKNOWN]	NO_PREEXISTING_WORD_GLOSS	NONE	NONE	EXEMPLAR_ONLY	CONTEXT_DRIFT	Same-source/deictic expansions coexist with an instruction to combine two fractions.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
21	TOP10_RECURRENT_NONCONTROL	259b2b3b0bf859882e2c	dchedy|schedy|tchedy	4	f81v|f82r|f83r	B1|B2|B3	BIOLOGICAL	[EXEMPLAR_VALUE_UNKNOWN]	NO_PREEXISTING_WORD_GLOSS	NONE	NONE	EXEMPLAR_ONLY	RECURRENT_CONTEXT_PATTERN_NO_FROZEN_GLOSS	Four Biological contexts share terminal rinsing of a used vessel or run; no historical entry licenses a word.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
22	TOP10_RECURRENT_NONCONTROL	2cc054357a929df85f64	cho|sho	4	f56r	H5	HERBAL	[EXEMPLAR_VALUE_UNKNOWN]	NO_PREEXISTING_WORD_GLOSS	NONE	NONE	EXEMPLAR_ONLY	NONINVARIANT_SINGLE_RECORD_CONTEXTS	Four H5 occurrences are assigned collect, crush, dry, and add-honey actions.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
23	TOP10_RECURRENT_NONCONTROL	2cc8bb3c2af19607888f	chckhy|shckhy	4	f81v|f82r	B1|B2	BIOLOGICAL	[EXEMPLAR_VALUE_UNKNOWN]	NO_PREEXISTING_WORD_GLOSS	NONE	NONE	EXEMPLAR_ONLY	RECURRENT_CONTEXT_PATTERN_NO_FROZEN_GLOSS	Four contexts share a connected-run construction, but no lexical value was frozen or attested.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
24	TOP10_RECURRENT_NONCONTROL	28ffbc88b97772a75f1e	olchedy|qolchedy	3	f81v|f82r|f83r	B1|B2|B3	BIOLOGICAL	[EXEMPLAR_VALUE_UNKNOWN]	NO_PREEXISTING_WORD_GLOSS	NONE	NONE	EXEMPLAR_ONLY	RECURRENT_CONTEXT_PATTERN_NO_FROZEN_GLOSS	Three Biological contexts share set-aside-in-covered-vessel closure, without a source-first word attestation.	NONE_IN_FROZEN_48_ENTRY_INVENTORY	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NONE	NO_ATTESTATION	EXEMPLAR_VALUE_UNKNOWN	No exact historical codebook entry supplies the proposed category with all mandatory documentary fields.	NO_WORD_LEXEME_SOUND_LANGUAGE_PLAINTEXT_OR_SEMANTIC_IDENTITY_CLAIM
