target_rank	selection_class	joint_tuple_id	surface_examples_display_only	occurrences	pages	decision	minimal_editorial_gloss	exact_source_language_entry	historical_attestation	confidence	decision_reason	licence_ceiling
11	V69_REUSABLE_CONTROL	de7321bface5628e35d6	lchedy	8	f82r|f83r	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
12	V69_REUSABLE_CONTROL	dec401773c1f0347793d	cholor|olor	2	f10r|f81v	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
13	V69_REUSABLE_CONTROL	e0b630cb1b5df5e7105b	checthy|cthy|shcthy	7	f10r|f11r|f83r	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
14	V69_REUSABLE_CONTROL	faf321940aed922846a9	otchey	2	f56r|f83r	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
15	TOP10_RECURRENT_NONCONTROL	b921a237be883a820352	chey|chy|dy|shy|sy|y	18	f10r|f11r|f55v|f81v|f82r|f83r	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
16	TOP10_RECURRENT_NONCONTROL	bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	12	f81v|f82r|f83r	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
17	TOP10_RECURRENT_NONCONTROL	6f7ff8287eddf4da9fdb	chdy|chedy	11	f55v|f81v|f83r	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
18	TOP10_RECURRENT_NONCONTROL	7d25241b0e56c836372a	qokeedy	10	f82r|f83r	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
19	TOP10_RECURRENT_NONCONTROL	1645e612504fcef59ced	okain|qokain	7	f81v|f82r|f83r	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
20	TOP10_RECURRENT_NONCONTROL	4d4559019a961b834aa1	char|dar|sar	5	f10r|f81v|f82r|f83r	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
21	TOP10_RECURRENT_NONCONTROL	259b2b3b0bf859882e2c	dchedy|schedy|tchedy	4	f81v|f82r|f83r	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
22	TOP10_RECURRENT_NONCONTROL	2cc054357a929df85f64	cho|sho	4	f56r	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
23	TOP10_RECURRENT_NONCONTROL	2cc8bb3c2af19607888f	chckhy|shckhy	4	f81v|f82r	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
24	TOP10_RECURRENT_NONCONTROL	28ffbc88b97772a75f1e	olchedy|qolchedy	3	f81v|f82r|f83r	EXEMPLAR_VALUE_UNKNOWN	UNKNOWN	NONE	NO_EXACT_PERIOD_CODEBOOK_CATEGORY_PLUS_CONTEXT_MATCH	UNKNOWN	No source-first entry supplies an atomic context-invariant value; former mnemonic is withdrawn.	PERIOD_CATEGORY_GRANULARITY_ONLY__NOT_VOYNICH_IDENTIFICATION_SOUND_LANGUAGE_OR_TRANSLATION
