target_rank	selection_class	selection_rule	joint_tuple_id	surface_examples_display_only	occurrences	pages	records	fields	herbal_occurrences	biological_occurrences	cross_section_power	terminal_occurrences	terminal_fraction	distinct_surface_renderings	legacy_mnemonic_handle	strict_formal_prompt	atomic_minimal_gloss_tested	exact_source_match_ids	exact_source_entry	exact_source_code	documentary_match_result	occurrence_invariance_result	occurrence_assessment_counts	close_or_placement_confound	whole_card_polyfunctionality_stress	false_friend_audit	portable_dictionary_decision	formal_channel_decision	codebook_attested_category	decision_reason	semantic_ceiling
11	V69_REUSABLE_CONTROL	ALL_14_V69_CONTROL_IDENTITIES	de7321bface5628e35d6	lchedy	8	f82r|f83r	B2|B3|B4	8	0	8	BIO_ONLY	8	1.000000	1	ABLASSEN?	NONE	DRAIN_OR_DISCHARGE?	NONE	NONE	NONE	NO_EXACT_SOURCE_CATEGORY_MATCH	NOT_TESTABLE_CROSS_SECTION__BIO_ONLY_AND_8_OF_8_TERMINAL	TERMINAL_CLOSE_CONFOUND__ACTION_NOT_IDENTIFIED:8	PERFECT_TERMINAL_CLOSE_CONFOUND	ACTION_CANNOT_BE_SEPARATED_FROM_GENERIC_TERMINAL_OPERATION	No drain/discharge/outlet entry occurs in the frozen source inventory.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
12	V69_REUSABLE_CONTROL	ALL_14_V69_CONTROL_IDENTITIES	dec401773c1f0347793d	cholor|olor	2	f10r|f81v	B1|H2	2	1	1	BOTH	0	0.000000	2	VORIGES?	NONE	PREVIOUS_ITEM?	NONE	NONE	NONE	NO_EXACT_SOURCE_CATEGORY_MATCH	TWO_CROSS_SECTION_OCCURRENCES_ONLY__LEGACY_REGISTER_EXPANSION_CONSISTENT_BUT_UNPOWERED	LEGACY_EXPANSION_CONSISTENT_BUT_N2_AND_CIRCULAR:2	PREDECESSOR_RECURRENCE_AND_RECORD_POSITION	NO_CONTRADICTION_VISIBLE_AT_N2_BUT_ATOMICITY_UNTESTED	No anaphoric/previous-item entry occurs in the frozen source inventory.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
13	V69_REUSABLE_CONTROL	ALL_14_V69_CONTROL_IDENTITIES	e0b630cb1b5df5e7105b	checthy|cthy|shcthy	7	f10r|f11r|f83r	B3|H1|H2|H3	7	3	4	BOTH	0	0.000000	3	BEREIT?	NONE	READY_OR_RELEASED_STATE?	NONE	NONE	NONE	NO_EXACT_SOURCE_CATEGORY_MATCH	FAIL_NARROW_INVARIANCE__H2_PHENOLOGICAL_OPENING_VS_CHARGE_TEST_STATE	LEGACY_EXPANSION_CONSISTENT_BUT_CIRCULAR:6|PHENOLOGICAL_OPENING__STRAINS_CHARGE_READY_GLOSS:1	STATE_GATE_POSITION_AND_EXEMPLAR_ENDPOINT	PHENOLOGICAL_TIMING_AND_PROCESS_READINESS_SHARE_ONE_BROAD_HANDLE	SRC031 pax and SRC032 guerra are diplomatic topics, not generic ready/released states.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
14	V69_REUSABLE_CONTROL	ALL_14_V69_CONTROL_IDENTITIES	faf321940aed922846a9	otchey	2	f56r|f83r	B4|H5	2	1	1	BOTH	0	0.000000	1	ANTEIL?	NONE	SELECTED_PORTION?	NONE	NONE	NONE	NO_EXACT_SOURCE_CATEGORY_MATCH	TWO_CROSS_SECTION_OCCURRENCES_ONLY__LEGACY_EXPANSION_CONSISTENT_BUT_UNPOWERED	LEGACY_EXPANSION_CONSISTENT_BUT_N2_AND_CIRCULAR:2	SELECTION_SLOT_AND_LOCAL_PARTITION_CONTEXT	PLANT_FRACTION_AND_BIO_CHARGE_COLLAPSED_AT_N2	No pars/portion/select entry occurs in the frozen source inventory.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
15	TOP10_RECURRENT_NONCONTROL	DESC_OCCURRENCES_THEN_ASC_ID	b921a237be883a820352	chey|chy|dy|shy|sy|y	18	f10r|f11r|f55v|f81v|f82r|f83r	B1|B2|B3|B4|B6|H2|H3|H4	13	9	9	BOTH	0	0.000000	6	UNKNOWN	NONE	UNKNOWN	NONE	NONE	NONE	NO_GLOSS_PROPOSED	NO_GLOSS_TO_TEST	NO_GLOSS_PROPOSED__NEGATIVE_CONTROL_OCCURRENCE:18	FREQUENCY_SELECTED_NEGATIVE_CONTROL	UNKNOWN_WHOLE_CARD__LOCAL_CONTEXT_DIVERSITY_RETAINED	No source match was sought from spelling or surface resemblance; no gloss was proposed.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
16	TOP10_RECURRENT_NONCONTROL	DESC_OCCURRENCES_THEN_ASC_ID	bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	12	f81v|f82r|f83r	B1|B2|B3|B4	12	0	12	BIO_ONLY	12	1.000000	3	UNKNOWN	NONE	UNKNOWN	NONE	NONE	NONE	NO_GLOSS_PROPOSED	NO_GLOSS_TO_TEST	NO_GLOSS_PROPOSED__NEGATIVE_CONTROL_OCCURRENCE:12	FREQUENCY_SELECTED_NEGATIVE_CONTROL	UNKNOWN_WHOLE_CARD__LOCAL_CONTEXT_DIVERSITY_RETAINED	No source match was sought from spelling or surface resemblance; no gloss was proposed.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
17	TOP10_RECURRENT_NONCONTROL	DESC_OCCURRENCES_THEN_ASC_ID	6f7ff8287eddf4da9fdb	chdy|chedy	11	f55v|f81v|f83r	B1|B3|B4|B5|H4	11	1	10	BOTH	0	0.000000	2	UNKNOWN	NONE	UNKNOWN	NONE	NONE	NONE	NO_GLOSS_PROPOSED	NO_GLOSS_TO_TEST	NO_GLOSS_PROPOSED__NEGATIVE_CONTROL_OCCURRENCE:11	FREQUENCY_SELECTED_NEGATIVE_CONTROL	UNKNOWN_WHOLE_CARD__LOCAL_CONTEXT_DIVERSITY_RETAINED	No source match was sought from spelling or surface resemblance; no gloss was proposed.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
18	TOP10_RECURRENT_NONCONTROL	DESC_OCCURRENCES_THEN_ASC_ID	7d25241b0e56c836372a	qokeedy	10	f82r|f83r	B2|B3|B4	10	0	10	BIO_ONLY	10	1.000000	1	UNKNOWN	NONE	UNKNOWN	NONE	NONE	NONE	NO_GLOSS_PROPOSED	NO_GLOSS_TO_TEST	NO_GLOSS_PROPOSED__NEGATIVE_CONTROL_OCCURRENCE:10	FREQUENCY_SELECTED_NEGATIVE_CONTROL	UNKNOWN_WHOLE_CARD__LOCAL_CONTEXT_DIVERSITY_RETAINED	No source match was sought from spelling or surface resemblance; no gloss was proposed.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
19	TOP10_RECURRENT_NONCONTROL	DESC_OCCURRENCES_THEN_ASC_ID	1645e612504fcef59ced	okain|qokain	7	f81v|f82r|f83r	B1|B2|B3|B4	6	0	7	BIO_ONLY	0	0.000000	2	UNKNOWN	NONE	UNKNOWN	NONE	NONE	NONE	NO_GLOSS_PROPOSED	NO_GLOSS_TO_TEST	NO_GLOSS_PROPOSED__NEGATIVE_CONTROL_OCCURRENCE:7	FREQUENCY_SELECTED_NEGATIVE_CONTROL	UNKNOWN_WHOLE_CARD__LOCAL_CONTEXT_DIVERSITY_RETAINED	No source match was sought from spelling or surface resemblance; no gloss was proposed.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
20	TOP10_RECURRENT_NONCONTROL	DESC_OCCURRENCES_THEN_ASC_ID	4d4559019a961b834aa1	char|dar|sar	5	f10r|f81v|f82r|f83r	B1|B2|B3|H1|H2	5	2	3	BOTH	0	0.000000	3	UNKNOWN	NONE	UNKNOWN	NONE	NONE	NONE	NO_GLOSS_PROPOSED	NO_GLOSS_TO_TEST	NO_GLOSS_PROPOSED__NEGATIVE_CONTROL_OCCURRENCE:5	FREQUENCY_SELECTED_NEGATIVE_CONTROL	UNKNOWN_WHOLE_CARD__LOCAL_CONTEXT_DIVERSITY_RETAINED	No source match was sought from spelling or surface resemblance; no gloss was proposed.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
21	TOP10_RECURRENT_NONCONTROL	DESC_OCCURRENCES_THEN_ASC_ID	259b2b3b0bf859882e2c	dchedy|schedy|tchedy	4	f81v|f82r|f83r	B1|B2|B3	4	0	4	BIO_ONLY	4	1.000000	3	UNKNOWN	NONE	UNKNOWN	NONE	NONE	NONE	NO_GLOSS_PROPOSED	NO_GLOSS_TO_TEST	NO_GLOSS_PROPOSED__NEGATIVE_CONTROL_OCCURRENCE:4	FREQUENCY_SELECTED_NEGATIVE_CONTROL	UNKNOWN_WHOLE_CARD__LOCAL_CONTEXT_DIVERSITY_RETAINED	No source match was sought from spelling or surface resemblance; no gloss was proposed.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
22	TOP10_RECURRENT_NONCONTROL	DESC_OCCURRENCES_THEN_ASC_ID	2cc054357a929df85f64	cho|sho	4	f56r	H5	4	4	0	HERBAL_ONLY	0	0.000000	2	UNKNOWN	NONE	UNKNOWN	NONE	NONE	NONE	NO_GLOSS_PROPOSED	NO_GLOSS_TO_TEST	NO_GLOSS_PROPOSED__NEGATIVE_CONTROL_OCCURRENCE:4	FREQUENCY_SELECTED_NEGATIVE_CONTROL	UNKNOWN_WHOLE_CARD__LOCAL_CONTEXT_DIVERSITY_RETAINED	No source match was sought from spelling or surface resemblance; no gloss was proposed.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
23	TOP10_RECURRENT_NONCONTROL	DESC_OCCURRENCES_THEN_ASC_ID	2cc8bb3c2af19607888f	chckhy|shckhy	4	f81v|f82r	B1|B2	4	0	4	BIO_ONLY	0	0.000000	2	UNKNOWN	NONE	UNKNOWN	NONE	NONE	NONE	NO_GLOSS_PROPOSED	NO_GLOSS_TO_TEST	NO_GLOSS_PROPOSED__NEGATIVE_CONTROL_OCCURRENCE:4	FREQUENCY_SELECTED_NEGATIVE_CONTROL	UNKNOWN_WHOLE_CARD__LOCAL_CONTEXT_DIVERSITY_RETAINED	No source match was sought from spelling or surface resemblance; no gloss was proposed.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
24	TOP10_RECURRENT_NONCONTROL	DESC_OCCURRENCES_THEN_ASC_ID	28ffbc88b97772a75f1e	olchedy|qolchedy	3	f81v|f82r|f83r	B1|B2|B3	3	0	3	BIO_ONLY	3	1.000000	2	UNKNOWN	NONE	UNKNOWN	NONE	NONE	NONE	NO_GLOSS_PROPOSED	NO_GLOSS_TO_TEST	NO_GLOSS_PROPOSED__NEGATIVE_CONTROL_OCCURRENCE:3	FREQUENCY_SELECTED_NEGATIVE_CONTROL	UNKNOWN_WHOLE_CARD__LOCAL_CONTEXT_DIVERSITY_RETAINED	No source match was sought from spelling or surface resemblance; no gloss was proposed.	EXEMPLAR_VALUE_UNKNOWN	NONE	NO	No frozen 1379 nomenclator entry matches the proposed minimal category; occurrence regularity alone cannot satisfy documentary attestation.	NO_WORD_STEM_SOUND_LANGUAGE_PAGE_HOST_OR_DECIPHERMENT
