component_recipe	intake_tier	reachable_state_count	register_count	transition_cell_count	order_repaired_cell_count	state_sensitivity_per_register	transition_signature_sha256
CH+AR	T1_FUTURE_HIGH	49	5	245	0	SOURCE_SECTION_T:5|HERBAL:5|BIOLOGICAL:5|CELESTIAL:5|PHARMA:5	5ad81788a0b3553385fa48beaaa6fb6909d16fdc4e918d59e94a7af7871a3028
CH+E+O+AIR	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:5|HERBAL:5|BIOLOGICAL:5|CELESTIAL:5|PHARMA:5	02764dc059ea34ff023640c65bc031ece96e242c1eb2ae2049427b698c88893a
CH+K+L	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:5|HERBAL:5|BIOLOGICAL:5|CELESTIAL:5|PHARMA:5	0c05c6d64f200c6ebf795f047f508f05df66c6a3fd57a3cb747359882a556786
CH+O+D_ADDR+OR	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	e82db232c49db53a04e7434ff9b02b34d154fef2cbf07e2b6a8b75095465546a
CH+P+AIIN	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	4523d8e545be2c25d6d9a7d3551a615966564422f9f2f6178fbf8d17af6d5042
CH+P+AIN	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	cad85b8efcea188e7f3c1e360a9c49218caebb8c84b1b82d43e722d8e23f65ca
CH+P+AIR	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:5|HERBAL:5|BIOLOGICAL:5|CELESTIAL:5|PHARMA:5	b922c2389171a16b7a9b046035b90da58cf9787807d70c2adbcc019976367e77
CH+T+AIN	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	724628caef75ef4c81779b60750647acac23ef002fa1eddba9e91081d911b5f8
CHD+L	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:5|HERBAL:5|BIOLOGICAL:5|CELESTIAL:5|PHARMA:5	ec7fd4cd30291cd308de235b546fe62ce16e844f9524c7755eab893a278670a3
D_ADDR+CH+AIN	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	2c7f1f379785a70e05c40a07427f037461e254d850e2dbe57600d119e7637e62
K+CH+Y	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	657a5149106e06e2ffe7126a4bdc1765dc377426f60bb37bbf392c1d72d5a374
K+L	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:5|HERBAL:5|BIOLOGICAL:5|CELESTIAL:5|PHARMA:5	f2cab4ab37387fc3dfb264ecc812f8d18aaf32ad5a4cead7b1b9fab63710ba56
L+CHD+L	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:5|HERBAL:5|BIOLOGICAL:5|CELESTIAL:5|PHARMA:5	3d90e371ea01a6b47b9b9bbe736f987a676efe55b1e9813847b7ab376c4067f2
L+K+OR	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	8805b2468f7f8926e864dc52f5216b89467e9fe67c8c2f2237980495cc26d502
O+OR	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:10|HERBAL:10|BIOLOGICAL:10|CELESTIAL:10|PHARMA:10	ae7cb07ac266337c5c15ed6ba5b5a8830acbd483674f9b68a46419da06f37ecf
OK+CH+AIIN	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	63626291a10f8b9feb42523b039a71e6ec884ae2d388e86bf5fd2aebacb39a3a
OK+L	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:5|HERBAL:5|BIOLOGICAL:5|CELESTIAL:5|PHARMA:5	562a3b7245e64657ef68ffbf71bef17aa7a7dd9be561eddf0a44222fda977d55
OL+K+OR	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	41102bc603f20fa114758013b85a2103f45cbf944ef5457c6e1c306b9d7922af
OT+E+AIN	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:10|HERBAL:10|BIOLOGICAL:10|CELESTIAL:10|PHARMA:10	5ae9851e14ecc5e45d1804eb7a95436519909e64ca2a2d348ebfbb5eb91718f7
P+AIIN	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	ff181c8f3dddba66611fe1552a4627f1e6265d6fc76b15a6c7aa3edcaae5689b
P+AIN	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	58c3a41919cf08cdb210fe6edf874f6a070bf78055fa31b16052f8c6a40922c2
P+AIR	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:5|HERBAL:5|BIOLOGICAL:5|CELESTIAL:5|PHARMA:5	526339505bc6dabbf1232a758e0e9e10fb231bfc12200b85f3368bc66a0af9ae
P+AL	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:5|HERBAL:5|BIOLOGICAL:5|CELESTIAL:5|PHARMA:5	09605cc6e5f07ea6bbc8303e69cb9e75a2cad42714ae696a180cd6d3776d8f39
P+L	T3_SECOND_RING_AMBER	49	5	245	0	SOURCE_SECTION_T:5|HERBAL:5|BIOLOGICAL:5|CELESTIAL:5|PHARMA:5	4e6c2abd42d6ba846ebe5d4975953f8dd914dcd027b07430bc2e457f8259f51c
P+OR	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	e06f08aac1787b7b45006e8c01c59adaf83d42ab55775ec899a76d60937113b1
P+SH+AL	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:5|HERBAL:5|BIOLOGICAL:5|CELESTIAL:5|PHARMA:5	30427e2460a1113157d2075dc87a4bd31d938077a199c66a795c82ffc29723b3
P+SH+Y	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	3f073867d3a4792b2d83b59e1b0c65fa27f9c976d5a22a0ed4d8d1af291a570d
S+Y	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	dbc0b99b6fd6dbb710eb1f3e47cd648dc2e87642887a5ddfe222c1a9b6eb9860
SH+AIN	T1_FUTURE_HIGH	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	89dc1da1692b2439de84f22cd74d043e6c0dc3b0acf86b1257c47ab2729ca59b
SH+AIR	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:5|HERBAL:5|BIOLOGICAL:5|CELESTIAL:5|PHARMA:5	f34f415200c79aff886d13af6ab60ed5e9f805f003c5ab353347b808a4b1f3fc
SH+E+K+AIN	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	d851dd2c7500dc91bc342fc250d40896e7054c6f630c0b1a29b31626dff5e87b
SH+OK+Y	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	d6dceb7f2ec2968caa5613e55ee889b4c1bfdb619a8eef9a1536dbec23b533e3
T+CHD+OR	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	1938487a06a02f17cacf2add260f43543e2dfb669752023e3c8500506ab778ea
T+OR	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	bb93d0e45d3752bcd13963a64c5fcad5f04ac313d8e81e55c5e3d23440b1009c
Y+AIIN	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:10|HERBAL:10|BIOLOGICAL:10|CELESTIAL:10|PHARMA:10	9e30ee17afdefe3c19fbd7f525bf409e151fdbffb819ea1c90c45125624f61b4
Y+AIR	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:10|HERBAL:10|BIOLOGICAL:10|CELESTIAL:10|PHARMA:10	6303a8594467c8d5be308c5326e73ca6031ed669f478f8936a5c79bf0e196614
Y+K+L	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:1|HERBAL:1|BIOLOGICAL:1|CELESTIAL:1|PHARMA:1	1cd805db2d46238383e944ece1bff849ecef2c675dcee9a15b148a33ed115e05
Y+OR	T2_FUTURE_STRONG	49	5	245	0	SOURCE_SECTION_T:10|HERBAL:10|BIOLOGICAL:10|CELESTIAL:10|PHARMA:10	95ff8e98359da813c2f6930ffb5c659e24652fa53e2c7d59ff698a4a3fd12cd2
