statement_id	page	record	copied_y	applied_small_rules	applied_exemplar	forward_recipe_sequence	forward_cards	clean_instruction_de
B3-S007	f83r	B3	0	NONE	NONE	OK+AIIN | CHD+Y | OK+EE+DY	3	Am runden Mittelgefaess: Nach Sollmass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen.
B3-S008	f83r	B3	0	NONE	NONE	L+CHD+DY	1	Am runden Mittelgefaess: Leiten und umsetzen; den Schritt schliessen.
B3-S009	f83r	B3	0	NONE	NONE	OK+Y	1	Am runden Mittelgefaess: Den laufenden Posten ansetzen.
B3-S010	f83r	B3	0	NONE	NONE	P+CHD+AL | OT+E+DY	2	Am unteren Korbgefaess: An der Zielstelle fuellen und umsetzen; danach den kurzen Folgeschritt schliessen.
B3-S011	f83r	B3	2	P754:R7_PACK_SOURCE_WITH_ITEM	NONE	SH+E+CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	4	Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle.
B3-S012	f83r	B3	0	NONE	NONE	OR | SHED+DY	2	Am unteren Korbgefaess: Den Ansatz absetzen lassen und den Schritt schliessen.
B3-S013	f83r	B3	0	NONE	NONE	OK+AIIN | K+AIN | CTH+E+Y | OK+E+DY	4	Am unteren Korbgefaess: Nach Sollmass ansetzen; dann als Portion zugeben; dann kurz den laufenden Posten bereitet halten; dann kurz ansetzen; den Schritt schliessen.
B3-S014	f83r	B3	0	NONE	NONE	OK+AIR | SH+EE+DY	2	Am unteren Korbgefaess: Die laufende Fluessigkeit ansetzen; dann laenger halten; den Schritt schliessen.
B3-S015	f83r	B3	0	NONE	NONE	L+CHD+DY	1	Am unteren Korbgefaess: Leiten und umsetzen; den Schritt schliessen.
B3-S016	f83r	B3	0	NONE	NONE	L+O | OK+CHD+DY	2	Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Arbeitsgang leiten; dann ansetzen und umsetzen; den Schritt schliessen.
B3-S017	f83r	B3	0	NONE	NONE	OK+EE+DY	1	Im bildlich unverbundenen Zwischenabschnitt: Laenger ansetzen; den Schritt schliessen.
B3-S018	f83r	B3	0	NONE	NONE	SHED+DY	1	Im bildlich unverbundenen Zwischenabschnitt: Absetzen lassen; den Schritt schliessen.
B3-S019	f83r	B3	0	NONE	NONE	OK+SH+E+DY	1	Im bildlich unverbundenen Zwischenabschnitt: Kurz ansetzen und halten; den Schritt schliessen.
B3-S020	f83r	B3	0	NONE	NONE	AL | L+CHD+DY	2	Im bildlich unverbundenen Zwischenabschnitt: An der Zielstelle leiten, umsetzen und den Schritt schliessen.
B3-S021	f83r	B3	1	NONE	EXEMPLAR_B3-S021	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | SH+E+CTH+Y | Y | AL | CTH+Y | AL+CHD+DY	11	Im bildlich unverbundenen Zwischenabschnitt: Nach Sollmass ansetzen und den Posten bereitet halten. An der Zielstelle nach Sollmass absetzen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, an der Zielstelle erneut bereitet halten, umsetzen und schliessen.
B3-S022	f83r	B3	0	NONE	NONE	OT+CHD+DY	1	Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen.
B3-S023	f83r	B3	0	NONE	NONE	L+CHD+DY	1	Im bildlich unverbundenen Zwischenabschnitt: Leiten und umsetzen; den Schritt schliessen.
B3-S024	f83r	B3	0	NONE	NONE	CHD+DY	1	Im bildlich unverbundenen Zwischenabschnitt: Umsetzen; den Schritt schliessen.
B3-S025	f83r	B3	0	NONE	NONE	OK+CHD+DY	1	Im bildlich unverbundenen Zwischenabschnitt: Ansetzen und umsetzen; den Schritt schliessen.
B3-S026	f83r	B3	1	NONE	NONE	EE+AR | L+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+R+OR | SOLK+EE+DY	7	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Sollmass leiten, den Posten umsetzen, eine Portion ansetzen und bereitet halten; den Ansatz an der Zielstelle kuehlen, laenger an der Sammelstelle halten und schliessen.
B3-S027	f83r	B3	0	NONE	NONE	OT+EE+DY	1	Am durch den Bogen verbundenen Hauptpaar: Danach laenger; den Schritt schliessen.
B3-S028	f83r	B3	0	NONE	NONE	OK+EE+Y | OK+E+DY	2	Am durch den Bogen verbundenen Hauptpaar: Laenger den laufenden Posten ansetzen; dann kurz ansetzen; den Schritt schliessen.
B3-S029	f83r	B3	0	NONE	NONE	OL | EEE+T+Y | OK+E+DY	3	Am durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; dann vollstaendig den laufenden Posten anwenden; dann kurz ansetzen; den Schritt schliessen.
B3-S030	f83r	B3	0	P751:R3_ACTIVATE_THEN_MEASURE_BEFORE_WATER_TRANSFER	NONE	OK+Y | AIIN | CHD+AIR | OT+CHD+DY	4	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Sollmass ansetzen, die laufende Fluessigkeit umsetzen; danach nochmals umsetzen und schliessen.
B3-S031	f83r	B3	0	NONE	NONE	OK+EE+DY	1	Am durch den Bogen verbundenen Hauptpaar: Laenger ansetzen; den Schritt schliessen.
B3-S032	f83r	B3	0	P756:R3_ORDERED_TRANSFER_MEASURE_CLOSE	NONE	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+DY	5	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Sollmass, anschliessend nochmals nach Sollmass und den folgenden Kurzschritt schliessen.
B3-S033	f83r	B3	0	NONE	NONE	L+DY	1	Am durch den Bogen verbundenen Hauptpaar: Leiten; den Schritt schliessen.
B3-S034	f83r	B3	2	NONE	NONE	O+IIN | CTH+Y | T+Y | OT+AIIN | OL+AL+Y | SHED+DY	6	Am durch den Bogen verbundenen Hauptpaar: Den Arbeitsgang bis zur Arbeitsstufe fuehren; den Posten bereitet halten und anwenden; danach nach Sollmass an der Zielstelle weiterfuehren, absetzen und schliessen.
B4-S001	f83r	B4	0	NONE	NONE	OK+EE+DY	1	Am zweiten durch den Bogen verbundenen Hauptpaar: Laenger ansetzen und den Schritt schliessen.
B4-S002	f83r	B4	0	P755:R2_REDISTRIBUTE_CONTINUATION_AND_ACTIVE_ITEM	NONE	OL+Y | OK+EE+Y | OK+E+DY	3	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten weiterarbeiten; dann ihn laenger ansetzen; dann kurz ansetzen; den Schritt schliessen.
B4-S003	f83r	B4	0	P748:R3_STAGED_ACTIVATION_AFTER_NEXT_TARGET	NONE	CHD+Y | OT+AL | OT+Y | OK+EE+Y | OK+Y | OL | SHED+DY	7	Am zweiten durch den Bogen verbundenen Hauptpaar: Den Posten umsetzen; danach zur Zielstelle und zum naechsten Posten wechseln; diesen laenger ansetzen, weiter ansetzen, weiterarbeiten, absetzen und schliessen.
B4-S004	f83r	B4	0	NONE	NONE	OK+Y+LD+DY	1	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten ansetzen und befestigen; den Schritt schliessen.
B4-S005	f83r	B4	0	NONE	NONE	AIN | CHD+Y | OK+EE+DY	3	Am zweiten durch den Bogen verbundenen Hauptpaar: Eine Portion als laufenden Posten umsetzen, laenger ansetzen und den Schritt schliessen.
B4-S006	f83r	B4	0	NONE	NONE	SH+CKH+E+DY	1	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.
B4-S007	f83r	B4	0	NONE	NONE	SH+CKH+E+DY	1	Am zweiten durch den Bogen verbundenen Hauptpaar: Kurz durch den Durchlass halten; den Schritt schliessen.
B4-S008	f83r	B4	1	NONE	NONE	AIIN | CHK+EE+Y | SH+EE+Y | OK+E+DY	4	Am zweiten durch den Bogen verbundenen Hauptpaar: Nach Sollmass den Posten laenger erwaermen, laenger halten, kurz ansetzen und schliessen.
B4-S009	f83r	B4	0	NONE	NONE	SHED+DY	1	Am zweiten durch den Bogen verbundenen Hauptpaar: Absetzen lassen; den Schritt schliessen.
B4-S010	f83r	B4	0	NONE	NONE	OL+DY	1	Am zweiten durch den Bogen verbundenen Hauptpaar: Weiterarbeiten; den Schritt schliessen.
B4-S011	f83r	B4	0	NONE	NONE	AIIN | CHK+E+Y | OK+EE+OL | OK+AIN | CHD+Y | OL | L+K+E+DY	7	An der linken offenen Randstation: Nach Sollmass den Posten kurz erwaermen, laenger weiter ansetzen, eine Portion ansetzen, den Posten umsetzen, weiterarbeiten, kurz leiten und zugeben, dann schliessen.
B4-S012	f83r	B4	0	NONE	NONE	L+CHD+DY	1	An der linken offenen Randstation: Leiten und umsetzen; den Schritt schliessen.
B4-S013	f83r	B4	0	NONE	NONE	OK+OL | SHED+DY	2	An der linken offenen Randstation: Weiter ansetzen; dann absetzen lassen; den Schritt schliessen.
B4-S014	f83r	B4	0	P750:R3_PREPARATION_BEFORE_PASSAGE	NONE	OR | Y | O+CKH+E+Y | AIR+Y+DY	4	An der linken offenen Randstation: Den Ansatz als laufenden Posten fuehren; ihn kurz im Arbeitsgang am Durchlass halten, die laufende Fluessigkeit als aktuellen Posten fuehren und schliessen.
B4-S015	f83r	B4	1	NONE	NONE	OK+AIN | SH+EE+Y | K+AIN | CH+CKH+AL | SOLK+E+Y | L+CHD+DY	6	An der linken offenen Randstation und an der rechten S-Lauf-Mehrfachstation: Eine Portion ansetzen, den Posten laenger halten, eine Portion zugeben, durch den Durchlass an der Zielstelle entnehmen, kurz an der Sammelstelle halten, leiten, umsetzen und schliessen.
B4-S016	f83r	B4	0	P752:R3_PORTION_TARGET_SOURCE_BRIDGE	NONE	OL+K+AIN | AL | K+AR | SHED+DY	4	An der rechten S-Lauf-Mehrfachstation: Eine Portion weiter zugeben, an der Zielstelle aus der Quelle nachzugeben, absetzen lassen und schliessen.
B5-S001	f83r	B5	0	NONE	NONE	OT+CHD+DY	1	An der linken offenen Nebenstation: Danach umsetzen und den Schritt schliessen.
B5-S002	f83r	B5	0	NONE	NONE	OK+CHD+DY	1	An der linken offenen Nebenstation: Ansetzen und umsetzen; den Schritt schliessen.
B5-S003	f83r	B5	0	P752:R4_TARGET_CONTINUATION_BEFORE_TRANSFER	NONE	SHED+AL | AL | OL | L+OL | CHD+AL | AIIN | OL | DA+IIN | CHD+Y	9	An der linken offenen Nebenstation: An der Zielstelle absetzen und dort weiterarbeiten; leiten und weiterarbeiten, an der Zielstelle umsetzen, nach Sollmass weiterarbeiten, fuer den zweiten Durchgang bis zur Arbeitsstufe fuehren und den Posten umsetzen.
